East Carolina,2429,Charlotte,151
12:01,151,Clarence Williams Offensive Rebound.,9,13
11:57,151,Clarence Williams made Layup.,11,13
11:33,2429,Braxton Ogbueze missed Three Point Jumper.,11,13
11:33,151,East Carolina Defensive Rebound.,11,13
11:26,2429,Official TV Timeout,11,13
11:13,151,Raquan Wilkins made Jumper.,13,13
10:57,2429,JC Washington Turnover.,13,13
10:46,151,Clarence Williams Turnover.,13,13
10:44,2429,Quentin Jackson Steal.,13,13
10:42,2429,Quentin Jackson made Dunk.,13,15
10:21,151,Kentrell Barkley missed Three Point Jumper.,13,15
10:21,2429,Braxton Ogbueze Defensive Rebound.,13,15
10:10,2429,JC Washington missed Jumper.,13,15
10:10,151,Raquan Wilkins Defensive Rebound.,13,15
9:58,151,Foul on Raquan Wilkins.,13,15
9:58,151,Raquan Wilkins Turnover.,13,15
9:51,2429,Braxton Ogbueze missed Three Point Jumper.,13,15
9:51,151,Kentrell Barkley Defensive Rebound.,13,15
9:45,151,Kentrell Barkley Turnover.,13,15
9:33,2429,Quentin Jackson Turnover.,13,15
9:17,151,Andre Washington made Layup. Assisted by B.J. Tyson.,15,15
9:03,2429,Quentin Jackson missed Three Point Jumper.,15,15
9:03,151,Kentrell Barkley Defensive Rebound.,15,15
8:56,151,B.J. Tyson made Three Point Jumper. Assisted by Kentrell Barkley.,18,15
8:40,151,Foul on Addison Hill.,18,15
8:20,2429,Jon Davis missed Jumper.,18,15
8:20,151,Clarence Williams Defensive Rebound.,18,15
7:58,151,Clarence Williams Turnover.,18,15
7:58,2429,Official TV Timeout,18,15
7:44,2429,Hudson Price missed Jumper.,18,15
7:44,151,Andre Washington Defensive Rebound.,18,15
7:22,151,Kentrell Barkley Turnover.,18,15
7:19,2429,Hudson Price Steal.,18,15
7:17,2429,Jon Davis missed Three Point Jumper.,18,15
7:17,151,Andre Washington Defensive Rebound.,18,15
6:48,151,Foul on Andre Washington.,18,15
6:48,151,Andre Washington Turnover.,18,15
6:35,2429,Anthony Vanhook missed Layup.,18,15
6:35,2429,Anthony Vanhook Offensive Rebound.,18,15
6:28,2429,Andrien White missed Jumper.,18,15
6:28,151,East Carolina Defensive Rebound.,18,15
6:10,2429,Foul on JC Washington.,18,15
6:04,151,Andre Washington Turnover.,18,15
5:53,2429,Andrien White missed Layup.,18,15
5:48,151,Kentrell Barkley Defensive Rebound.,18,15
5:39,151,Raquan Wilkins missed Jumper.,18,15
5:39,2429,Anthony Vanhook Defensive Rebound.,18,15
5:25,2429,Andrien White made Three Point Jumper. Assisted by Jon Davis.,18,18
5:11,2429,Foul on Hudson Price.,18,18
5:07,151,Raquan Wilkins missed Three Point Jumper.,18,18
5:07,2429,Jon Davis Defensive Rebound.,18,18
5:00,2429,Jon Davis missed Layup.,18,18
5:00,151,Clarence Williams Block.,18,18
4:56,151,B.J. Tyson Defensive Rebound.,18,18
4:52,151,B.J. Tyson missed Jumper.,18,18
4:52,151,Jabari Craig Offensive Rebound.,18,18
4:51,2429,Foul on JC Washington.,18,18
4:36,151,Clarence Williams Turnover.,18,18
4:03,2429,Reid Aube missed Jumper.,18,18
4:03,151,Andre Washington Defensive Rebound.,18,18
3:47,151,Kentrell Barkley missed Jumper.,18,18
3:47,151,East Carolina Offensive Rebound.,18,18
3:45,2429,Official TV Timeout,18,18
3:26,151,B.J. Tyson missed Three Point Jumper.,18,18
3:26,151,East Carolina Offensive Rebound.,18,18
3:24,2429,Foul on Reid Aube.,18,18
3:19,151,Foul on Andre Washington.,18,18
3:19,151,Andre Washington Turnover.,18,18
2:54,2429,Andrien White made Three Point Jumper. Assisted by Anthony Vanhook.,18,21
2:28,151,B.J. Tyson made Dunk.,20,21
2:10,2429,Andrien White missed Jumper.,20,21
2:10,2429,Reid Aube Offensive Rebound.,20,21
2:05,2429,Andrien White missed Three Point Jumper.,20,21
2:05,151,Deng Riak Defensive Rebound.,20,21
1:48,151,Deng Riak missed Three Point Jumper.,20,21
1:48,2429,Braxton Ogbueze Defensive Rebound.,20,21
1:40,2429,Andrien White missed Layup.,20,21
1:40,2429,Anthony Vanhook Offensive Rebound.,20,21
1:23,2429,Anthony Vanhook Turnover.,20,21
1:21,151,Andre Washington Steal.,20,21
1:18,151,Raquan Wilkins made Layup. Assisted by Andre Washington.,22,21
1:08,2429,Andrien White missed Three Point Jumper.,22,21
1:08,2429,Anthony Vanhook Offensive Rebound.,22,21
1:04,151,Foul on Raquan Wilkins.,22,21
1:04,2429,Anthony Vanhook made Free Throw.,22,22
1:04,2429,Anthony Vanhook made Free Throw.,22,23
0:55,2429,Foul on Reid Aube.,22,23
0:55,151,B.J. Tyson made Free Throw.,23,23
0:55,151,B.J. Tyson made Free Throw.,24,23
0:44,2429,Anthony Vanhook made Jumper. Assisted by Jon Davis.,24,25
0:32,151,B.J. Tyson missed Jumper.,24,25
0:32,2429,Anthony Vanhook Defensive Rebound.,24,25
0:23,2429,Charlotte  Timeout,24,25
0:03,2429,Hudson Price missed Three Point Jumper.,24,25
0:03,151,Deng Riak Defensive Rebound.,24,25
0:00,2429,End of 1st half,24,25
19:49,151,Andre Washington missed Jumper.,24,25
19:49,2429,JC Washington Defensive Rebound.,24,25
19:46,151,Foul on Clarence Williams.,24,25
19:37,2429,Jon Davis made Jumper.,24,27
19:18,151,Clarence Williams made Three Point Jumper. Assisted by Kentrell Barkley.,27,27
19:02,2429,Jon Davis made Three Point Jumper.,27,30
18:34,151,B.J. Tyson missed Layup.,27,30
18:34,2429,Anthony Vanhook Defensive Rebound.,27,30
18:18,2429,Anthony Vanhook missed Jumper.,27,30
18:18,2429,JC Washington Offensive Rebound.,27,30
18:09,2429,Andrien White missed Three Point Jumper.,27,30
18:09,151,Raquan Wilkins Defensive Rebound.,27,30
18:00,2429,Foul on Anthony Vanhook.,27,30
18:00,151,Raquan Wilkins made Free Throw.,28,30
18:00,151,Raquan Wilkins made Free Throw.,29,30
17:37,2429,Anthony Vanhook Turnover.,29,30
17:25,151,Deng Riak missed Dunk.,29,30
17:25,2429,Andrien White Block.,29,30
17:21,2429,Anthony Vanhook Defensive Rebound.,29,30
17:18,2429,Jon Davis made Dunk. Assisted by Anthony Vanhook.,29,32
17:09,2429,Foul on JC Washington.,29,32
17:09,151,Raquan Wilkins made Free Throw.,30,32
17:09,151,Raquan Wilkins missed Free Throw.,30,32
17:09,2429,Andrien White Defensive Rebound.,30,32
16:54,2429,Anthony Vanhook made Jumper.,30,34
16:39,151,Clarence Williams made Layup.,32,34
16:14,2429,Hudson Price made Three Point Jumper. Assisted by Andrien White.,32,37
16:10,2429,Foul on Anthony Vanhook.,32,37
15:55,151,Deng Riak made Layup. Assisted by B.J. Tyson.,34,37
15:55,2429,Foul on Hudson Price.,34,37
15:55,2429,Official TV Timeout,34,37
15:55,151,Deng Riak made Free Throw.,35,37
15:42,2429,Braxton Ogbueze made Three Point Jumper. Assisted by Anthony Vanhook.,35,40
15:30,151,Addison Hill made Jumper.,37,40
15:17,2429,Anthony Vanhook missed Layup.,37,40
15:17,2429,Anthony Vanhook Offensive Rebound.,37,40
15:13,2429,Andrien White made Three Point Jumper. Assisted by Jon Davis.,37,43
15:00,151,Deng Riak Turnover.,37,43
14:58,2429,Braxton Ogbueze Steal.,37,43
14:53,151,Foul on Clarence Williams.,37,43
14:53,2429,Anthony Vanhook made Layup. Assisted by Jon Davis.,37,45
14:53,151,Clarence Williams missed Three Point Jumper.,37,45
14:53,2429,Hudson Price Defensive Rebound.,37,45
14:48,151,Foul on Addison Hill.,37,45
14:23,2429,Hudson Price missed Three Point Jumper.,37,45
14:23,151,Andre Washington Defensive Rebound.,37,45
14:06,151,Andre Washington made Layup. Assisted by Kentrell Barkley.,39,45
13:54,2429,Braxton Ogbueze missed Three Point Jumper.,39,45
13:54,2429,Anthony Vanhook Offensive Rebound.,39,45
13:38,2429,Andrien White missed Three Point Jumper.,39,45
13:38,151,Addison Hill Defensive Rebound.,39,45
13:21,151,Kentrell Barkley made Layup.,41,45
13:21,2429,Foul on Andrien White.,41,45
13:15,151,Kentrell Barkley made Free Throw.,42,45
13:02,2429,Braxton Ogbueze made Jumper.,42,47
12:52,2429,Foul on Quentin Jackson.,42,47
12:52,2429,Foul on Hudson Price.,42,47
12:52,151,Deng Riak missed Free Throw.,42,47
12:52,2429,Hudson Price Defensive Rebound.,42,47
12:27,2429,Jon Davis made Three Point Jumper. Assisted by Quentin Jackson.,42,50
12:05,151,Deng Riak Turnover.,42,50
12:04,2429,Hudson Price Steal.,42,50
12:02,2429,Quentin Jackson made Dunk.,42,52
11:35,151,Kentrell Barkley missed Three Point Jumper.,42,52
11:35,151,Andre Washington Offensive Rebound.,42,52
11:28,2429,Official TV Timeout,42,52
11:21,151,Kentrell Barkley made Layup.,44,52
10:53,2429,Braxton Ogbueze missed Three Point Jumper.,44,52
10:53,2429,Najee Garvin Offensive Rebound.,44,52
10:36,2429,Anthony Vanhook missed Jumper.,44,52
10:36,151,Kentrell Barkley Defensive Rebound.,44,52
10:27,151,B.J. Tyson made Three Point Jumper. Assisted by Kentrell Barkley.,47,52
10:15,2429,Braxton Ogbueze Turnover.,47,52
10:13,151,B.J. Tyson Steal.,47,52
10:09,151,Raquan Wilkins made Three Point Jumper. Assisted by B.J. Tyson.,50,52
9:40,151,Foul on Deng Riak.,50,52
9:40,2429,Anthony Vanhook made Free Throw.,50,53
9:40,2429,Anthony Vanhook missed Free Throw.,50,53
9:40,151,Andre Washington Defensive Rebound.,50,53
9:27,2429,Foul on Braxton Ogbueze.,50,53
9:27,151,Kentrell Barkley missed Free Throw.,50,53
9:27,151,Kentrell Barkley Offensive Rebound.,50,53
9:21,151,Kentrell Barkley missed Jumper.,50,53
9:21,2429,Anthony Vanhook Defensive Rebound.,50,53
9:07,2429,Anthony Vanhook Turnover.,50,53
9:05,151,B.J. Tyson Steal.,50,53
9:00,2429,Foul on Anthony Vanhook.,50,53
9:00,151,Andre Washington made Free Throw.,51,53
9:00,151,Andre Washington made Free Throw.,52,53
8:54,2429,Foul on JC Washington.,52,53
8:54,151,Andre Washington made Free Throw.,53,53
8:54,151,Andre Washington made Free Throw.,54,53
8:28,2429,Jon Davis missed Three Point Jumper.,54,53
8:28,151,Deng Riak Defensive Rebound.,54,53
7:59,151,Raquan Wilkins missed Jumper.,54,53
7:59,2429,Anthony Vanhook Defensive Rebound.,54,53
7:41,2429,Hudson Price made Three Point Jumper. Assisted by Anthony Vanhook.,54,56
7:16,151,Kentrell Barkley missed Jumper.,54,56
7:16,2429,Anthony Vanhook Defensive Rebound.,54,56
7:14,2429,Official TV Timeout,54,56
6:54,2429,Anthony Vanhook made Layup. Assisted by JC Washington.,54,58
6:26,151,B.J. Tyson made Jumper.,56,58
5:57,2429,Jon Davis made Three Point Jumper. Assisted by Anthony Vanhook.,56,61
5:28,151,Raquan Wilkins missed Jumper.,56,61
5:28,2429,JC Washington Defensive Rebound.,56,61
5:26,151,Foul on Andre Washington.,56,61
5:13,2429,Jon Davis missed Jumper.,56,61
5:13,151,Clarence Williams Defensive Rebound.,56,61
5:06,151,B.J. Tyson missed Jumper.,56,61
5:06,2429,JC Washington Defensive Rebound.,56,61
5:02,151,Foul on B.J. Tyson.,56,61
4:48,2429,Braxton Ogbueze made Jumper.,56,63
4:29,151,Clarence Williams Turnover.,56,63
4:10,2429,Jon Davis made Layup.,56,65
4:03,151,East Carolina  Timeout,56,65
4:03,2429,Official TV Timeout,56,65
3:48,151,B.J. Tyson missed Jumper.,56,65
3:48,2429,Jon Davis Defensive Rebound.,56,65
3:27,2429,Jon Davis made Jumper.,56,67
3:09,151,Kentrell Barkley made Layup.,58,67
2:44,2429,JC Washington missed Layup.,58,67
2:44,151,Deng Riak Defensive Rebound.,58,67
2:37,151,Kentrell Barkley Turnover.,58,67
2:35,2429,Anthony Vanhook Steal.,58,67
2:32,2429,Jon Davis made Layup. Assisted by Anthony Vanhook.,58,69
2:32,151,Foul on Deng Riak.,58,69
2:32,2429,Jon Davis made Free Throw.,58,70
2:20,151,B.J. Tyson missed Jumper.,58,70
2:20,151,Deng Riak Offensive Rebound.,58,70
2:17,151,Deng Riak made Layup.,60,70
2:17,151,East Carolina  Timeout,60,70
1:51,2429,Braxton Ogbueze made Jumper.,60,72
1:37,151,Kentrell Barkley missed Three Point Jumper.,60,72
1:37,2429,Jon Davis Defensive Rebound.,60,72
1:22,151,Foul on Raquan Wilkins.,60,72
1:22,2429,Braxton Ogbueze made Free Throw.,60,73
1:22,2429,Braxton Ogbueze made Free Throw.,60,74
1:10,151,Andre Washington made Layup. Assisted by Kentrell Barkley.,62,74
0:41,2429,Anthony Vanhook missed Jumper.,62,74
0:41,151,Andre Washington Defensive Rebound.,62,74
0:34,2429,Foul on Braxton Ogbueze.,62,74
0:34,151,Raquan Wilkins made Free Throw.,63,74
0:34,151,Raquan Wilkins made Free Throw.,64,74
0:34,2429,Charlotte  Timeout,64,74
0:25,151,Foul on B.J. Tyson.,64,74
0:25,2429,Hudson Price made Free Throw.,64,75
0:25,2429,Hudson Price made Free Throw.,64,76
0:18,151,B.J. Tyson missed Jumper.,64,76
0:18,2429,Andrien White Defensive Rebound.,64,76
0:00,2429,End of Game,64,76
