Arkansas-Pine Bluff,45,George Washington,2029
15:52,45,Collin Smith missed Free Throw.,4,9
15:52,2029,Travon Harper Defensive Rebound.,4,9
15:35,2029,Foul on Joe'Randle Toliver.,4,9
15:35,2029,Joe'Randle Toliver Turnover.,4,9
15:13,45,Yuta Watanabe missed Jumper.,4,9
15:12,2029,Travon Harper Defensive Rebound.,4,9
14:55,2029,Travon Harper made Layup.,6,9
14:39,45,Jordan Roland made Layup.,6,11
14:14,2029,Devin Berry made Jumper. Assisted by Joe'Randle Toliver.,8,11
14:04,2029,Foul on Charles Jackson.,8,11
13:57,45,Tyler Cavanaugh missed Jumper.,8,11
13:57,2029,Charles Jackson Defensive Rebound.,8,11
13:48,2029,Jaquan Lynch missed Jumper.,8,11
13:48,45,Matt Hart Block.,8,11
13:46,45,Arnaldo Toro Defensive Rebound.,8,11
13:42,45,Jaren Sina missed Three Point Jumper.,8,11
13:42,45,Tyler Cavanaugh Offensive Rebound.,8,11
13:37,45,Tyler Cavanaugh made Jumper.,8,13
13:37,2029,Foul on Travon Harper.,8,13
13:37,45,Tyler Cavanaugh missed Free Throw.,8,13
13:37,45,Arnaldo Toro Offensive Rebound.,8,13
13:33,45,Tyler Cavanaugh missed Three Point Jumper.,8,13
13:33,2029,Arkansas-Pine Bluff Defensive Rebound.,8,13
13:17,2029,David Tillman Turnover.,8,13
13:01,2029,Foul on Devin Berry.,8,13
13:01,45,Tyler Cavanaugh made Free Throw.,8,14
13:01,45,Tyler Cavanaugh missed Free Throw.,8,14
13:01,2029,Kennedy McKinney Defensive Rebound.,8,14
12:35,2029,Charles Jackson missed Layup.,8,14
12:35,45,Tyler Cavanaugh Defensive Rebound.,8,14
12:22,45,Jordan Roland missed Three Point Jumper.,8,14
12:22,45,Arnaldo Toro Offensive Rebound.,8,14
12:18,2029,Foul on Devin Berry.,8,14
12:18,45,Arnaldo Toro made Free Throw.,8,15
12:18,45,Arnaldo Toro made Free Throw.,8,16
11:52,2029,Kennedy McKinney made Jumper.,10,16
11:34,45,Kevin Marfo Turnover.,10,16
11:34,45,Official TV Timeout,10,16
11:05,2029,Ghiavonni Robinson missed Jumper.,10,16
11:05,45,Kevin Marfo Defensive Rebound.,10,16
10:46,45,Patrick Steeves Turnover.,10,16
10:45,2029,Charles Jackson Steal.,10,16
10:40,2029,Ghiavonni Robinson missed Layup.,10,16
10:40,45,Kevin Marfo Defensive Rebound.,10,16
10:18,45,Jair Bolden Turnover.,10,16
10:17,2029,Trent Steen Steal.,10,16
9:55,2029,Charles Jackson missed Three Point Jumper.,10,16
9:55,45,Jordan Roland Defensive Rebound.,10,16
9:40,45,Kevin Marfo Turnover.,10,16
9:39,2029,Charles Jackson Steal.,10,16
9:34,2029,Arkansas-Pine Bluff  Timeout,10,16
9:18,2029,Trent Steen missed Jumper.,10,16
9:18,45,Jaren Sina Defensive Rebound.,10,16
8:58,45,Tyler Cavanaugh missed Three Point Jumper.,10,16
8:58,45,Collin Smith Offensive Rebound.,10,16
8:44,45,Jaren Sina missed Three Point Jumper.,10,16
8:44,2029,Marcus Wallace Defensive Rebound.,10,16
8:19,2029,Charles Jackson missed Three Point Jumper.,10,16
8:19,45,Yuta Watanabe Defensive Rebound.,10,16
8:13,2029,Foul on Charles Jackson.,10,16
8:13,45,Tyler Cavanaugh made Free Throw.,10,17
8:13,45,Tyler Cavanaugh made Free Throw.,10,18
8:03,2029,Jaquan Lynch missed Jumper.,10,18
8:03,45,Matt Hart Defensive Rebound.,10,18
7:52,45,Yuta Watanabe missed Three Point Jumper.,10,18
7:50,45,Collin Smith Offensive Rebound.,10,18
7:49,2029,Foul on Jaquan Lynch.,10,18
7:49,45,Official TV Timeout,10,18
7:49,45,Collin Smith made Free Throw.,10,19
7:49,45,Collin Smith missed Free Throw.,10,19
7:49,2029,Artavious McDyess Defensive Rebound.,10,19
7:39,2029,Jaquan Lynch missed Layup.,10,19
7:39,45,Collin Smith Defensive Rebound.,10,19
7:33,45,Yuta Watanabe made Dunk. Assisted by Jaren Sina.,10,21
7:14,45,Foul on Collin Smith.,10,21
7:12,2029,Artavious McDyess Turnover.,10,21
6:55,45,Matt Hart missed Three Point Jumper.,10,21
6:54,45,Collin Goss Offensive Rebound.,10,21
6:48,45,George Washington  Timeout,10,21
6:36,45,Yuta Watanabe missed Three Point Jumper.,10,21
6:36,2029,Joe'Randle Toliver Defensive Rebound.,10,21
6:14,45,Foul on Jaren Sina.,10,21
6:10,2029,Joe'Randle Toliver missed Three Point Jumper.,10,21
6:08,45,Tyler Cavanaugh Defensive Rebound.,10,21
6:07,2029,Foul on Travon Harper.,10,21
6:07,45,Tyler Cavanaugh made Free Throw.,10,22
6:07,45,Tyler Cavanaugh made Free Throw.,10,23
5:53,45,Foul on Collin Goss.,10,23
5:35,2029,Ghiavonni Robinson missed Three Point Jumper.,10,23
5:31,45,George Washington Defensive Rebound.,10,23
5:09,45,Matt Hart Turnover.,10,23
5:07,2029,Joe'Randle Toliver Steal.,10,23
5:05,2029,Kennedy McKinney missed Layup.,10,23
5:05,45,Jair Bolden Block.,10,23
5:04,45,Patrick Steeves Defensive Rebound.,10,23
4:58,45,Foul on Jair Bolden.,10,23
4:58,45,Jair Bolden Turnover.,10,23
4:43,45,Foul on Collin Goss.,10,23
4:38,2029,Ghiavonni Robinson missed Three Point Jumper.,10,23
4:38,2029,Devin Berry Offensive Rebound.,10,23
4:31,2029,Ghiavonni Robinson missed Three Point Jumper.,10,23
4:31,45,Patrick Steeves Defensive Rebound.,10,23
4:29,2029,Foul on Marquis Cunningham.,10,23
4:29,45,Patrick Steeves made Free Throw.,10,24
4:29,45,Patrick Steeves made Free Throw.,10,25
4:04,2029,Marquis Cunningham missed Jumper.,10,25
4:04,45,Jair Bolden Defensive Rebound.,10,25
3:45,45,Arnaldo Toro missed Jumper.,10,25
3:45,2029,Kennedy McKinney Defensive Rebound.,10,25
3:23,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Kennedy McKinney.,13,25
3:08,2029,Foul on Ghiavonni Robinson.,13,25
3:08,45,Official TV Timeout,13,25
3:08,45,Jordan Roland missed Free Throw.,13,25
3:08,45,George Washington Deadball Team Rebound.,13,25
3:08,45,Jordan Roland made Free Throw.,13,26
2:52,2029,Devin Berry missed Jumper.,13,26
2:52,45,Jordan Roland Defensive Rebound.,13,26
2:30,45,Arnaldo Toro Turnover.,13,26
2:07,2029,Devin Berry missed Jumper.,13,26
2:05,2029,Arkansas-Pine Bluff Offensive Rebound.,13,26
1:50,2029,Kennedy McKinney Turnover.,13,26
1:49,45,Jordan Roland Steal.,13,26
1:46,45,Jaren Sina made Layup. Assisted by Jordan Roland.,13,28
1:28,2029,Joe'Randle Toliver missed Three Point Jumper.,13,28
1:28,45,Arnaldo Toro Defensive Rebound.,13,28
1:13,45,Jaren Sina missed Three Point Jumper.,13,28
1:13,2029,Kennedy McKinney Defensive Rebound.,13,28
1:06,2029,Kennedy McKinney made Layup. Assisted by Joe'Randle Toliver.,15,28
1:05,45,Foul on Collin Smith.,15,28
1:05,2029,Kennedy McKinney made Free Throw.,16,28
0:53,2029,Foul on Devin Berry.,16,28
0:53,45,Kevin Marfo made Free Throw.,16,29
0:53,45,Kevin Marfo missed Free Throw.,16,29
0:53,2029,Kennedy McKinney Defensive Rebound.,16,29
0:33,45,Foul on Jordan Roland.,16,29
0:33,2029,Marcus Wallace made Free Throw.,17,29
0:33,2029,Marcus Wallace made Free Throw.,18,29
0:06,2029,Foul on Trent Steen.,18,29
0:06,45,Kevin Marfo missed Free Throw.,18,29
0:06,45,George Washington Deadball Team Rebound.,18,29
0:06,45,Kevin Marfo missed Free Throw.,18,29
0:06,2029,Trent Steen Defensive Rebound.,18,29
0:05,45,Foul on Arnaldo Toro.,18,29
0:05,2029,Trent Steen missed Free Throw.,18,29
0:05,45,Kevin Marfo Defensive Rebound.,18,29
0:04,2029,Foul on Kennedy McKinney.,18,29
0:04,45,Kevin Marfo made Free Throw.,18,30
0:04,45,Kevin Marfo missed Free Throw.,18,30
0:04,2029,Kennedy McKinney Defensive Rebound.,18,30
0:00,45,End of 1st half,18,30
19:48,2029,Travon Harper missed Jumper.,18,30
19:48,45,Yuta Watanabe Defensive Rebound.,18,30
19:45,2029,Foul on Travon Harper.,18,30
19:33,45,Collin Smith made Jumper. Assisted by Tyler Cavanaugh.,18,32
19:16,2029,Joe'Randle Toliver missed Three Point Jumper.,18,32
19:16,45,Jaren Sina Defensive Rebound.,18,32
19:01,2029,Foul on Devin Berry.,18,32
19:01,45,Yuta Watanabe made Free Throw.,18,33
19:01,45,Yuta Watanabe made Free Throw.,18,34
18:33,2029,Trent Steen missed Jumper.,18,34
18:33,2029,Joe'Randle Toliver Offensive Rebound.,18,34
18:29,2029,Joe'Randle Toliver made Layup.,20,34
18:16,45,Yuta Watanabe missed Three Point Jumper.,20,34
18:16,2029,Trent Steen Defensive Rebound.,20,34
18:07,2029,Marquis Cunningham Turnover.,20,34
18:06,45,Collin Smith Steal.,20,34
18:02,45,Collin Smith made Layup. Assisted by Matt Hart.,20,36
17:45,2029,Trent Steen missed Layup.,20,36
17:45,45,Collin Smith Block.,20,36
17:43,2029,Arkansas-Pine Bluff Offensive Rebound.,20,36
17:42,2029,Charles Jackson Turnover.,20,36
17:40,45,Collin Smith Steal.,20,36
17:37,2029,Foul on Marquis Cunningham.,20,36
17:37,45,Collin Smith made Free Throw.,20,37
17:37,45,Collin Smith missed Free Throw.,20,37
17:37,2029,Charles Jackson Defensive Rebound.,20,37
17:36,45,Foul on Collin Smith.,20,37
17:10,2029,Ghiavonni Robinson missed Jumper.,20,37
17:10,45,Jaren Sina Defensive Rebound.,20,37
16:58,45,Yuta Watanabe missed Jumper.,20,37
16:58,2029,Ghiavonni Robinson Defensive Rebound.,20,37
16:41,2029,Foul on Marquis Cunningham.,20,37
16:41,2029,Marquis Cunningham Turnover.,20,37
16:27,2029,Foul on Trent Steen.,20,37
16:24,45,Tyler Cavanaugh missed Layup.,20,37
16:24,45,Tyler Cavanaugh Offensive Rebound.,20,37
16:21,45,Tyler Cavanaugh made Two Point Tip Shot.,20,39
16:03,2029,Jaquan Lynch missed Jumper.,20,39
16:02,45,Arnaldo Toro Defensive Rebound.,20,39
15:54,2029,Foul on David Tillman.,20,39
15:52,45,Official TV Timeout,20,39
15:52,45,Tyler Cavanaugh made Free Throw.,20,40
15:52,45,Tyler Cavanaugh made Free Throw.,20,41
15:32,2029,Joe'Randle Toliver missed Three Point Jumper.,20,41
15:32,45,Matt Hart Defensive Rebound.,20,41
15:15,45,Arnaldo Toro Turnover.,20,41
15:14,2029,Ghiavonni Robinson Steal.,20,41
14:55,2029,Jaquan Lynch missed Jumper.,20,41
14:55,45,Matt Hart Defensive Rebound.,20,41
14:48,45,Jaren Sina missed Layup.,20,41
14:48,45,Arnaldo Toro Offensive Rebound.,20,41
14:44,45,Arnaldo Toro made Two Point Tip Shot.,20,43
14:36,2029,Charles Jackson missed Three Point Jumper.,20,43
14:36,45,Matt Hart Defensive Rebound.,20,43
14:22,45,Arnaldo Toro missed Jumper.,20,43
14:22,2029,Arkansas-Pine Bluff Defensive Rebound.,20,43
13:56,2029,Ghiavonni Robinson Turnover.,20,43
13:55,45,Patrick Steeves Steal.,20,43
13:53,2029,Foul on Jaquan Lynch.,20,43
13:53,45,Patrick Steeves missed Free Throw.,20,43
13:53,45,George Washington Deadball Team Rebound.,20,43
13:53,45,Patrick Steeves made Free Throw.,20,44
13:28,2029,Kennedy McKinney missed Three Point Jumper.,20,44
13:28,45,Jordan Roland Defensive Rebound.,20,44
13:07,45,Jordan Roland missed Three Point Jumper.,20,44
13:07,45,Tyler Cavanaugh Offensive Rebound.,20,44
13:04,2029,Foul on Artavious McDyess.,20,44
13:04,45,Tyler Cavanaugh missed Free Throw.,20,44
13:04,45,George Washington Deadball Team Rebound.,20,44
13:04,45,Tyler Cavanaugh made Free Throw.,20,45
12:37,2029,Marcus Wallace made Jumper.,22,45
12:37,45,Foul on Jaren Sina.,22,45
12:37,2029,Marcus Wallace made Free Throw.,23,45
12:24,2029,Foul on Joe'Randle Toliver.,23,45
12:24,45,Kevin Marfo made Free Throw.,23,46
12:24,45,Kevin Marfo missed Free Throw.,23,46
12:24,2029,Kennedy McKinney Defensive Rebound.,23,46
11:58,2029,Kennedy McKinney made Layup.,25,46
11:44,45,Kevin Marfo Turnover.,25,46
11:43,2029,Artavious McDyess Steal.,25,46
11:41,2029,Marcus Wallace made Layup. Assisted by Kennedy McKinney.,27,46
11:23,45,Collin Goss made Jumper.,27,48
10:53,2029,Kennedy McKinney Turnover.,27,48
10:52,45,Kevin Marfo Steal.,27,48
10:51,45,Kevin Marfo Turnover.,27,48
10:50,2029,Marcus Wallace Steal.,27,48
10:48,2029,Kennedy McKinney missed Dunk.,27,48
10:48,45,Kevin Marfo Defensive Rebound.,27,48
10:47,2029,Foul on Kennedy McKinney.,27,48
10:47,45,Official TV Timeout,27,48
10:47,45,Kevin Marfo made Free Throw.,27,49
10:47,45,Kevin Marfo made Free Throw.,27,50
10:30,2029,Artavious McDyess made Dunk. Assisted by Kennedy McKinney.,29,50
10:12,45,Jair Bolden made Three Point Jumper. Assisted by Collin Goss.,29,53
9:39,2029,Joe'Randle Toliver missed Three Point Jumper.,29,53
9:39,45,Jordan Roland Defensive Rebound.,29,53
9:15,45,Jordan Roland missed Layup.,29,53
9:15,2029,Joe'Randle Toliver Defensive Rebound.,29,53
9:10,2029,Kennedy McKinney missed Layup.,29,53
9:09,45,Collin Goss Block.,29,53
9:08,45,Collin Goss Defensive Rebound.,29,53
9:07,45,Collin Goss Turnover.,29,53
9:06,2029,Kennedy McKinney Steal.,29,53
9:02,2029,Kennedy McKinney missed Layup.,29,53
9:01,45,Patrick Steeves Defensive Rebound.,29,53
8:58,45,Patrick Steeves Turnover.,29,53
8:52,2029,Kennedy McKinney missed Three Point Jumper.,29,53
8:52,45,Jordan Roland Defensive Rebound.,29,53
8:38,45,Foul on Kevin Marfo.,29,53
8:19,2029,Travon Harper missed Jumper.,29,53
8:19,45,Tyler Cavanaugh Defensive Rebound.,29,53
8:05,45,Tyler Cavanaugh made Layup. Assisted by Jair Bolden.,29,55
7:47,2029,Joe'Randle Toliver missed Three Point Jumper.,29,55
7:47,45,Jair Bolden Defensive Rebound.,29,55
7:42,2029,Foul on Jaquan Lynch.,29,55
7:42,45,Official TV Timeout,29,55
7:42,45,Jair Bolden made Free Throw.,29,56
7:42,45,Jair Bolden missed Free Throw.,29,56
7:42,2029,Joe'Randle Toliver Defensive Rebound.,29,56
7:29,2029,Ghiavonni Robinson made Three Point Jumper.,32,56
7:09,45,Jair Bolden Turnover.,32,56
6:58,2029,Ghiavonni Robinson made Three Point Jumper. Assisted by Jaquan Lynch.,35,56
6:26,45,Yuta Watanabe missed Jumper.,35,56
6:26,45,Collin Smith Offensive Rebound.,35,56
6:20,45,Foul on Collin Smith.,35,56
6:20,45,Collin Smith Turnover.,35,56
5:57,2029,Marcus Wallace missed Three Point Jumper.,35,56
5:57,45,Tyler Cavanaugh Defensive Rebound.,35,56
5:41,45,Matt Hart made Three Point Jumper. Assisted by Tyler Cavanaugh.,35,59
5:29,2029,Ghiavonni Robinson missed Jumper.,35,59
5:29,45,Tyler Cavanaugh Defensive Rebound.,35,59
5:18,45,Adam Mitola missed Three Point Jumper.,35,59
5:15,45,Collin Goss Offensive Rebound.,35,59
5:01,45,Matt Hart missed Three Point Jumper.,35,59
5:01,45,Tyler Cavanaugh Offensive Rebound.,35,59
4:57,45,Tyler Cavanaugh made Layup.,35,61
4:31,45,Foul on Tyler Cavanaugh.,35,61
4:31,2029,Ghiavonni Robinson missed Free Throw.,35,61
4:31,2029,Arkansas-Pine Bluff Deadball Team Rebound.,35,61
4:31,2029,Ghiavonni Robinson made Free Throw.,36,61
4:15,45,Jaren Sina missed Jumper.,36,61
4:15,2029,Travon Harper Block.,36,61
4:14,2029,Travon Harper Defensive Rebound.,36,61
4:12,45,Foul on Adam Mitola.,36,61
4:02,2029,Ghiavonni Robinson missed Three Point Jumper.,36,61
4:02,45,Jaren Sina Defensive Rebound.,36,61
3:38,45,Collin Goss missed Jumper.,36,61
3:38,2029,Joe'Randle Toliver Defensive Rebound.,36,61
3:30,2029,Travon Harper missed Three Point Jumper.,36,61
3:30,45,Justin Williams Defensive Rebound.,36,61
3:14,45,Jaren Sina missed Three Point Jumper.,36,61
3:14,2029,Marcus Wallace Defensive Rebound.,36,61
3:08,2029,Ghiavonni Robinson made Layup. Assisted by Marcus Wallace.,38,61
2:57,45,George Washington  Timeout,38,61
2:57,45,Official TV Timeout,38,61
2:36,45,Jair Bolden missed Three Point Jumper.,38,61
2:36,2029,Jaquan Lynch Defensive Rebound.,38,61
2:28,2029,Devin Berry missed Layup.,38,61
2:28,45,Kevin Marfo Block.,38,61
2:26,45,Justin Williams Defensive Rebound.,38,61
2:23,45,Justin Williams Turnover.,38,61
2:23,45,Official TV Timeout,38,61
2:10,45,Foul on Collin Goss.,38,61
2:10,2029,Travon Harper missed Free Throw.,38,61
2:10,45,Kevin Marfo Defensive Rebound.,38,61
1:45,45,Kevin Marfo Turnover.,38,61
1:44,2029,Marquis Cunningham Steal.,38,61
1:35,45,Foul on Kevin Marfo.,38,61
1:35,2029,Marquis Cunningham missed Free Throw.,38,61
1:35,2029,Arkansas-Pine Bluff Deadball Team Rebound.,38,61
1:35,2029,Marquis Cunningham made Free Throw.,39,61
1:22,45,Kevin Marfo Turnover.,39,61
1:21,2029,Charles Jackson Steal.,39,61
0:55,2029,Charles Jackson Turnover.,39,61
0:54,45,Kevin Marfo Steal.,39,61
0:28,45,Kevin Marfo Turnover.,39,61
0:27,2029,Charles Jackson Steal.,39,61
0:24,2029,Marcus Wallace made Layup. Assisted by Jaquan Lynch.,41,61
0:00,45,End of Game,41,61
