Long Beach State,97,Louisville,299
1:25,299,Justin Bibbins Offensive Rebound.,25,42
1:18,299,Evan Payne missed Three Point Jumper.,25,42
1:18,97,Anas Mahmoud Defensive Rebound.,25,42
0:57,97,Deng Adel missed Three Point Jumper.,25,42
0:57,299,Gabe Levin Defensive Rebound.,25,42
0:40,299,Loren Jackson Turnover.,25,42
0:39,97,Ray Spalding Steal.,25,42
0:35,97,Quentin Snider missed Jumper.,25,42
0:35,97,David Levitch Offensive Rebound.,25,42
0:29,97,Anas Mahmoud Turnover.,25,42
0:28,299,Justin Bibbins Steal.,25,42
0:24,299,Justin Bibbins missed Jumper.,25,42
0:24,97,V.J. King Defensive Rebound.,25,42
0:13,97,Ray Spalding missed Jumper.,25,42
0:13,97,Anas Mahmoud Offensive Rebound.,25,42
0:08,97,Anas Mahmoud missed Jumper.,25,42
0:08,97,Ray Spalding Offensive Rebound.,25,42
0:06,97,Ray Spalding missed Two Point Tip Shot.,25,42
0:06,299,Jordan Griffin Defensive Rebound.,25,42
0:00,299,Justin Bibbins made Jumper.,27,42
0:00,97,End of 1st half,27,42
19:44,299,Roschon Prince missed Layup.,27,42
19:44,97,Donovan Mitchell Block.,27,42
19:43,97,Donovan Mitchell Defensive Rebound.,27,42
19:37,97,Quentin Snider missed Three Point Jumper.,27,42
19:37,299,Roschon Prince Defensive Rebound.,27,42
19:24,299,Evan Payne missed Jumper.,27,42
19:24,97,Anas Mahmoud Defensive Rebound.,27,42
19:12,97,Anas Mahmoud made Layup. Assisted by Deng Adel.,27,44
18:54,299,Gabe Levin missed Jumper.,27,44
18:54,97,Jaylen Johnson Defensive Rebound.,27,44
18:46,299,Foul on Noah Blackwell.,27,44
18:46,97,Quentin Snider missed Free Throw.,27,44
18:46,97,Louisville Deadball Team Rebound.,27,44
18:46,97,Quentin Snider made Free Throw.,27,45
18:31,299,Roschon Prince missed Layup.,27,45
18:31,97,Anas Mahmoud Block.,27,45
18:30,299,Roschon Prince Offensive Rebound.,27,45
18:28,299,Roschon Prince missed Layup.,27,45
18:28,97,Jaylen Johnson Block.,27,45
18:28,299,Long Beach St Offensive Rebound.,27,45
18:24,97,Foul on Jaylen Johnson.,27,45
18:24,299,Gabe Levin missed Free Throw.,27,45
18:24,299,Long Beach St Deadball Team Rebound.,27,45
18:24,299,Gabe Levin made Free Throw.,28,45
18:05,97,Jaylen Johnson missed Jumper.,28,45
18:05,97,Jaylen Johnson Offensive Rebound.,28,45
18:02,97,Jaylen Johnson made Layup.,28,47
17:44,97,Foul on Anas Mahmoud.,28,47
17:44,299,Roschon Prince made Free Throw.,29,47
17:44,299,Roschon Prince made Free Throw.,30,47
17:29,97,Anas Mahmoud made Dunk. Assisted by Quentin Snider.,30,49
17:13,299,Justin Bibbins Turnover.,30,49
17:12,97,David Levitch Steal.,30,49
16:58,97,David Levitch made Three Point Jumper. Assisted by Anas Mahmoud.,30,52
16:38,299,Justin Bibbins made Layup.,32,52
16:19,97,Deng Adel made Jumper.,32,54
16:03,97,Foul on Jaylen Johnson.,32,54
16:03,299,Gabe Levin missed Free Throw.,32,54
16:03,299,Long Beach St Deadball Team Rebound.,32,54
16:03,299,Gabe Levin made Free Throw.,33,54
15:48,299,Foul on Evan Payne.,33,54
15:48,97,Official TV Timeout,33,54
15:46,97,Mangok Mathiang Turnover.,33,54
15:43,299,Noah Blackwell Steal.,33,54
15:36,299,Justin Bibbins missed Three Point Jumper.,33,54
15:36,97,Mangok Mathiang Defensive Rebound.,33,54
15:25,97,Quentin Snider missed Jumper.,33,54
15:25,97,Mangok Mathiang Offensive Rebound.,33,54
15:24,299,Foul on Roschon Prince.,33,54
15:24,97,Mangok Mathiang made Free Throw.,33,55
14:40,97,Ray Spalding made Dunk. Assisted by Deng Adel.,33,57
14:34,299,Foul on Justin Bibbins.,33,57
14:34,299,Justin Bibbins Turnover.,33,57
14:24,97,Mangok Mathiang made Jumper.,33,59
14:16,97,Deng Adel made Jumper.,33,61
14:05,299,Temidayo Yussuf missed Jumper.,33,61
14:05,299,Gabe Levin Offensive Rebound.,33,61
14:03,299,Gabe Levin Turnover.,33,61
13:51,299,Evan Payne missed Jumper.,33,61
13:51,97,Mangok Mathiang Defensive Rebound.,33,61
13:36,97,David Levitch missed Jumper.,33,61
13:36,97,Mangok Mathiang Offensive Rebound.,33,61
13:33,97,Mangok Mathiang missed Jumper.,33,61
13:33,299,Temidayo Yussuf Defensive Rebound.,33,61
13:16,299,Evan Payne made Three Point Jumper. Assisted by Temidayo Yussuf.,36,61
12:48,97,Mangok Mathiang Turnover.,36,61
12:47,299,Noah Blackwell Steal.,36,61
12:43,97,Foul on Ray Spalding.,36,61
12:21,299,Loren Jackson made Layup.,38,61
12:15,97,Louisville  Timeout,38,61
12:09,97,Mangok Mathiang made Jumper.,38,63
11:49,97,Official TV Timeout,38,63
11:38,299,Gabe Levin made Layup.,40,63
11:20,97,V.J. King missed Jumper.,40,63
11:20,299,Noah Blackwell Block.,40,63
11:18,97,Mangok Mathiang Offensive Rebound.,40,63
11:11,97,V.J. King missed Three Point Jumper.,40,63
11:11,299,Noah Blackwell Defensive Rebound.,40,63
11:03,299,Loren Jackson Turnover.,40,63
10:42,97,Mangok Mathiang missed Layup.,40,63
10:42,299,Gabe Levin Defensive Rebound.,40,63
10:35,299,Jordan Griffin missed Three Point Jumper.,40,63
10:35,97,V.J. King Defensive Rebound.,40,63
10:24,97,Ray Spalding made Layup. Assisted by Ryan McMahon.,40,65
10:11,299,Gabe Levin missed Layup.,40,65
10:11,299,Gabe Levin Offensive Rebound.,40,65
10:06,299,Jordan Griffin missed Jumper.,40,65
10:06,97,Donovan Mitchell Defensive Rebound.,40,65
9:57,97,V.J. King made Jumper.,40,67
9:44,97,Foul on Ryan McMahon.,40,67
9:30,299,Justin Bibbins missed Jumper.,40,67
9:30,299,Temidayo Yussuf Offensive Rebound.,40,67
9:24,97,Foul on Mangok Mathiang.,40,67
9:24,299,Evan Payne made Free Throw.,41,67
9:24,299,Evan Payne made Free Throw.,42,67
9:06,299,Foul on Evan Payne.,42,67
8:59,97,V.J. King missed Jumper.,42,67
8:59,299,LaRond Williams Defensive Rebound.,42,67
8:37,299,Loren Jackson Turnover.,42,67
8:37,97,Ryan McMahon Steal.,42,67
8:25,97,Ray Spalding made Jumper.,42,69
8:13,299,Justin Bibbins missed Jumper.,42,69
8:13,299,Roschon Prince Offensive Rebound.,42,69
8:08,299,Roschon Prince Turnover.,42,69
8:07,97,Ray Spalding Steal.,42,69
8:04,97,Quentin Snider missed Jumper.,42,69
8:04,97,Anas Mahmoud Offensive Rebound.,42,69
7:58,299,Foul on Evan Payne.,42,69
7:58,97,Official TV Timeout,42,69
7:57,97,V.J. King made Jumper. Assisted by Ray Spalding.,42,71
7:20,299,Evan Payne missed Jumper.,42,71
7:20,97,V.J. King Defensive Rebound.,42,71
7:11,97,Quentin Snider Turnover.,42,71
7:10,299,LaRond Williams Steal.,42,71
6:54,97,Foul on Anas Mahmoud.,42,71
6:54,299,LaRond Williams made Free Throw.,43,71
6:54,299,LaRond Williams made Free Throw.,44,71
6:37,97,Quentin Snider missed Jumper.,44,71
6:37,97,Ray Spalding Offensive Rebound.,44,71
6:33,97,Ryan McMahon made Three Point Jumper. Assisted by Quentin Snider.,44,74
6:21,299,Foul on Evan Payne.,44,74
6:21,299,Evan Payne Turnover.,44,74
6:08,299,Foul on LaRond Williams.,44,74
6:08,97,Mangok Mathiang made Free Throw.,44,75
6:08,97,Mangok Mathiang made Free Throw.,44,76
5:53,299,Justin Bibbins made Three Point Jumper. Assisted by LaRond Williams.,47,76
5:39,97,V.J. King made Layup. Assisted by Ryan McMahon.,47,78
5:13,299,Jordan Griffin made Three Point Jumper.,50,78
4:56,97,Quentin Snider missed Three Point Jumper.,50,78
4:56,97,Mangok Mathiang Offensive Rebound.,50,78
4:52,97,Mangok Mathiang missed Jumper.,50,78
4:52,97,Ray Spalding Offensive Rebound.,50,78
4:51,299,Foul on Gabe Levin.,50,78
4:51,97,Ray Spalding missed Free Throw.,50,78
4:51,299,Jordan Griffin Defensive Rebound.,50,78
4:38,299,Justin Bibbins Turnover.,50,78
4:37,97,Mangok Mathiang Steal.,50,78
4:32,97,Jay Henderson missed Three Point Jumper.,50,78
4:32,97,Ray Spalding Offensive Rebound.,50,78
4:26,97,Ray Spalding Turnover.,50,78
4:25,299,Gabe Levin Steal.,50,78
4:14,97,Foul on Jay Henderson.,50,78
4:14,299,LaRond Williams made Free Throw.,51,78
4:14,299,LaRond Williams made Free Throw.,52,78
3:58,97,Jaylen Johnson missed Three Point Jumper.,52,78
3:58,299,Jordan Griffin Defensive Rebound.,52,78
3:37,299,Gabe Levin Turnover.,52,78
3:37,97,Official TV Timeout,52,78
3:14,97,Ryan McMahon Turnover.,52,78
3:13,299,Loren Jackson Steal.,52,78
2:57,299,Jordan Griffin missed Jumper.,52,78
2:57,97,Donovan Mitchell Defensive Rebound.,52,78
2:50,97,Jay Henderson missed Layup.,52,78
2:50,97,Jaylen Johnson Offensive Rebound.,52,78
2:48,97,Jaylen Johnson missed Layup.,52,78
2:48,299,LaRond Williams Block.,52,78
2:46,97,Donovan Mitchell Offensive Rebound.,52,78
2:45,97,Donovan Mitchell missed Jumper.,52,78
2:45,299,LaRond Williams Block.,52,78
2:44,97,Donovan Mitchell Offensive Rebound.,52,78
2:43,97,Donovan Mitchell missed Jumper.,52,78
2:43,97,Mangok Mathiang Offensive Rebound.,52,78
2:39,97,Jaylen Johnson made Dunk. Assisted by Ryan McMahon.,52,80
2:27,299,Loren Jackson missed Layup.,52,80
2:27,299,LaRond Williams Offensive Rebound.,52,80
2:24,299,LaRond Williams made Two Point Tip Shot.,54,80
2:09,97,Ryan McMahon made Three Point Jumper. Assisted by Jay Henderson.,54,83
1:45,299,Roschon Prince missed Layup.,54,83
1:45,97,Jaylen Johnson Defensive Rebound.,54,83
1:26,97,Tyler Sharpe missed Three Point Jumper.,54,83
1:26,299,Roschon Prince Defensive Rebound.,54,83
1:08,299,Javonntie Jackson Turnover.,54,83
1:08,97,Jay Henderson Steal.,54,83
1:08,299,Foul on Javonntie Jackson.,54,83
1:08,97,Jay Henderson made Free Throw.,54,84
1:08,97,Jay Henderson made Free Throw.,54,85
0:52,299,Loren Jackson missed Three Point Jumper.,54,85
0:52,97,Matz Stockman Defensive Rebound.,54,85
0:24,97,David Levitch made Three Point Jumper. Assisted by Deng Adel.,54,88
0:16,299,Loren Jackson missed Layup.,54,88
0:16,299,Javonntie Jackson Offensive Rebound.,54,88
0:13,299,Javonntie Jackson made Layup.,56,88
0:00,97,End of Game,56,88
