Warren Wilson,Error,Appalachian State,2026
12:03,2026,Jake Babic Turnover.,5,17
11:56,-1,Sean Gribble missed Layup.,5,17
11:56,2026,Matt O'Boyle Defensive Rebound.,5,17
11:41,2026,Matt O'Boyle made Three Point Jumper. Assisted by Isaac Johnson.,5,20
11:18,-1,Garth Bailey made Layup.,7,20
10:59,2026,Jake Babic missed Three Point Jumper.,7,20
10:59,2026,Jake Wilson Offensive Rebound.,7,20
10:49,-1,Foul on Devin Davis.,7,20
10:49,2026,Appalachian St  Timeout,7,20
10:49,2026,Isaac Johnson missed Free Throw.,7,20
10:49,2026,Appalachian St Deadball Team Rebound.,7,20
10:49,2026,Isaac Johnson made Free Throw.,7,21
10:35,-1,Michael Pomeroy made Three Point Jumper. Assisted by Marques Sullivan.,10,21
10:16,2026,Bennett Holley missed Three Point Jumper.,10,21
10:16,2026,Matt O'Boyle Offensive Rebound.,10,21
10:06,2026,Griffin Kinney made Layup. Assisted by Jake Babic.,10,23
9:55,-1,Sean Gribble made Layup. Assisted by Marques Sullivan.,12,23
9:43,2026,Bennett Holley made Layup. Assisted by Griffin Kinney.,12,25
9:43,-1,Foul on Garth Bailey.,12,25
9:43,2026,Bennett Holley made Free Throw.,12,26
9:36,-1,Sean Gribble made Jumper. Assisted by Garth Bailey.,14,26
9:11,2026,Matt O'Boyle missed Layup.,14,26
9:11,-1,Steven Horton Jr. Defensive Rebound.,14,26
8:58,-1,Michael Pomeroy made Layup.,16,26
8:58,2026,Appalachian St  Timeout,16,26
8:51,-1,Foul on Marques Sullivan.,16,26
8:51,2026,Kelvin Robinson made Free Throw.,16,27
8:51,2026,Kelvin Robinson made Free Throw.,16,28
8:42,-1,Garth Bailey missed Three Point Jumper.,16,28
8:42,2026,Ronshad Shabazz Defensive Rebound.,16,28
8:28,2026,Emarius Logan made Layup. Assisted by Bennett Holley.,16,30
8:14,-1,Garth Bailey made Three Point Jumper. Assisted by Devin Davis.,19,30
8:07,2026,Kelvin Robinson missed Layup.,19,30
8:07,2026,Kelvin Robinson Offensive Rebound.,19,30
8:02,2026,Emarius Logan missed Three Point Jumper.,19,30
8:02,2026,Griffin Kinney Offensive Rebound.,19,30
7:54,-1,Foul on Michael Pomeroy.,19,30
7:54,2026,Appalachian St  Timeout,19,30
7:54,2026,Griffin Kinney made Free Throw.,19,31
7:54,2026,Griffin Kinney made Free Throw.,19,32
7:41,-1,Garth Bailey Turnover.,19,32
7:40,2026,Kelvin Robinson Steal.,19,32
7:37,2026,Kelvin Robinson made Layup.,19,34
7:16,-1,Devin Davis missed Jumper.,19,34
7:16,2026,Craig Hinton Defensive Rebound.,19,34
7:07,-1,Foul on Steven Horton Jr..,19,34
7:07,2026,Kelvin Robinson made Free Throw.,19,35
7:07,2026,Kelvin Robinson missed Free Throw.,19,35
7:07,-1,Sean Gribble Defensive Rebound.,19,35
6:48,-1,Michael Pomeroy Turnover.,19,35
6:46,2026,Kelvin Robinson Steal.,19,35
6:43,2026,Ronshad Shabazz missed Layup.,19,35
6:43,-1,Garth Bailey Defensive Rebound.,19,35
6:32,-1,Garth Bailey missed Layup.,19,35
6:32,2026,Tyrell Johnson Block.,19,35
6:29,2026,Craig Hinton Defensive Rebound.,19,35
6:25,2026,Kelvin Robinson Turnover.,19,35
6:16,-1,Sean Gribble missed Jumper.,19,35
6:16,2026,Emarius Logan Defensive Rebound.,19,35
5:59,2026,Emarius Logan made Three Point Jumper. Assisted by Tyrell Johnson.,19,38
5:42,-1,Michael Pomeroy Turnover.,19,38
5:38,2026,Patrick Good Turnover.,19,38
5:38,-1,Steven Horton Jr. Steal.,19,38
5:38,2026,Foul on Patrick Good.,19,38
5:17,-1,Steven Horton Jr. missed Jumper.,19,38
5:17,2026,Patrick Good Defensive Rebound.,19,38
5:10,-1,Foul on Michael Pomeroy.,19,38
5:10,2026,Patrick Good made Free Throw.,19,39
5:10,2026,Patrick Good made Free Throw.,19,40
4:50,-1,Steven Horton Jr. missed Layup.,19,40
4:50,2026,Tyrell Johnson Block.,19,40
4:47,2026,Tyrell Johnson Defensive Rebound.,19,40
4:44,2026,Emarius Logan missed Layup.,19,40
4:44,-1,Devin Davis Defensive Rebound.,19,40
4:35,2026,Foul on Ronshad Shabazz.,19,40
4:35,-1,Devin Davis missed Free Throw.,19,40
4:35,2026,Jake Babic Defensive Rebound.,19,40
4:29,2026,Craig Hinton missed Three Point Jumper.,19,40
4:29,-1,Jordan Grant Defensive Rebound.,19,40
4:20,-1,Devin Davis made Layup. Assisted by Jordan Grant.,21,40
4:09,2026,Patrick Good made Three Point Jumper. Assisted by Emarius Logan.,21,43
3:56,-1,Jordan Grant missed Jumper.,21,43
3:56,2026,Tyrell Johnson Defensive Rebound.,21,43
3:50,2026,Emarius Logan missed Three Point Jumper.,21,43
3:50,2026,Jake Babic Offensive Rebound.,21,43
3:46,2026,Patrick Good made Three Point Jumper. Assisted by Jake Babic.,21,46
3:26,-1,Sean Gribble made Layup. Assisted by Devin Davis.,23,46
3:20,2026,Tyrell Johnson made Layup. Assisted by Jake Babic.,23,48
3:20,-1,Foul on Jordan Grant.,23,48
3:20,2026,Appalachian St  Timeout,23,48
3:20,2026,Tyrell Johnson missed Free Throw.,23,48
3:20,-1,Sean Gribble Defensive Rebound.,23,48
2:59,-1,Jordan Grant missed Three Point Jumper.,23,48
2:59,2026,Isaac Johnson Defensive Rebound.,23,48
2:44,2026,Zach Cottrell Turnover.,23,48
2:42,-1,Jordan Grant Steal.,23,48
2:35,-1,Jordan Grant Turnover.,23,48
2:35,2026,Isaac Johnson Steal.,23,48
2:35,-1,Foul on Garth Bailey.,23,48
2:35,2026,Isaac Johnson made Free Throw.,23,49
2:35,2026,Isaac Johnson made Free Throw.,23,50
2:18,-1,Marques Sullivan Turnover.,23,50
2:16,2026,Patrick Good Steal.,23,50
2:05,2026,Patrick Good made Three Point Jumper. Assisted by Isaac Johnson.,23,53
1:50,-1,Steven Horton Jr. Turnover.,23,53
1:50,2026,Patrick Good Steal.,23,53
1:38,2026,Zach Cottrell missed Three Point Jumper.,23,53
1:38,-1,Devin Davis Defensive Rebound.,23,53
1:16,-1,Steven Horton Jr. missed Jumper.,23,53
1:16,2026,Isaac Johnson Defensive Rebound.,23,53
1:06,2026,Patrick Good Turnover.,23,53
0:54,2026,Foul on Isaac Johnson.,23,53
0:54,-1,Devin Davis missed Free Throw.,23,53
0:54,-1,Warren Wilson Deadball Team Rebound.,23,53
0:54,-1,Devin Davis made Free Throw.,24,53
0:43,2026,Patrick Good made Three Point Jumper. Assisted by Jake Babic.,24,56
0:25,-1,Sean Gribble missed Three Point Jumper.,24,56
0:25,2026,Patrick Good Defensive Rebound.,24,56
0:02,-1,Foul on Jordan Grant.,24,56
0:02,2026,Jake Babic missed Free Throw.,24,56
0:02,2026,Appalachian St Deadball Team Rebound.,24,56
0:02,2026,Jake Babic made Free Throw.,24,57
0:00,2026,End of 1st half,24,57
19:49,-1,Warren Wilson  Timeout,24,57
19:32,-1,Sean Gribble missed Jumper.,24,57
19:32,2026,Griffin Kinney Block.,24,57
19:30,2026,Griffin Kinney Defensive Rebound.,24,57
19:23,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Kelvin Robinson.,24,60
19:15,-1,Devin Davis missed Jumper.,24,60
19:15,2026,Kelvin Robinson Defensive Rebound.,24,60
18:57,2026,Griffin Kinney missed Layup.,24,60
18:57,2026,Tyrell Johnson Offensive Rebound.,24,60
18:54,2026,Tyrell Johnson made Layup.,24,62
18:34,-1,Michael Pomeroy made Jumper.,26,62
18:23,2026,Ronshad Shabazz missed Jumper.,26,62
18:23,-1,Steven Horton Jr. Defensive Rebound.,26,62
18:13,-1,Steven Horton Jr. missed Layup.,26,62
18:13,2026,Griffin Kinney Block.,26,62
18:13,-1,Warren Wilson Offensive Rebound.,26,62
18:10,-1,Michael Pomeroy Turnover.,26,62
18:03,-1,Foul on Sean Gribble.,26,62
18:03,2026,Tyrell Johnson made Free Throw.,26,63
18:03,2026,Tyrell Johnson made Free Throw.,26,64
17:53,-1,Devin Davis missed Layup.,26,64
17:53,2026,Kelvin Robinson Defensive Rebound.,26,64
17:47,-1,Foul on Thomas Hay.,26,64
17:34,2026,Ronshad Shabazz missed Three Point Jumper.,26,64
17:34,-1,Michael Pomeroy Defensive Rebound.,26,64
17:23,-1,Sean Gribble missed Jumper.,26,64
17:23,2026,Kelvin Robinson Defensive Rebound.,26,64
17:14,-1,Foul on Jaquann Lockhart.,26,64
17:02,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Griffin Kinney.,26,67
16:48,-1,Michael Pomeroy missed Layup.,26,67
16:48,2026,Kelvin Robinson Defensive Rebound.,26,67
16:42,2026,Ronshad Shabazz made Layup. Assisted by Kelvin Robinson.,26,69
16:17,-1,Steven Horton Jr. Turnover.,26,69
16:16,2026,Kelvin Robinson Steal.,26,69
16:12,2026,Emarius Logan made Layup.,26,71
16:06,-1,Steven Horton Jr. Turnover.,26,71
16:05,2026,Tyrell Johnson Steal.,26,71
16:00,2026,Emarius Logan made Layup.,26,73
15:39,-1,Jaquann Lockhart missed Jumper.,26,73
15:39,2026,Tyrell Johnson Defensive Rebound.,26,73
15:32,2026,Emarius Logan made Layup. Assisted by Kelvin Robinson.,26,75
15:20,-1,Warren Wilson  Timeout,26,75
15:20,-1,Official TV Timeout,26,75
15:07,-1,Jordan Grant missed Three Point Jumper.,26,75
15:07,-1,Warren Wilson Offensive Rebound.,26,75
15:01,-1,Jordan Grant missed Three Point Jumper.,26,75
15:01,-1,Garth Bailey Offensive Rebound.,26,75
14:55,-1,Garth Bailey missed Layup.,26,75
14:55,2026,Isaac Johnson Defensive Rebound.,26,75
14:29,2026,Patrick Good missed Three Point Jumper.,26,75
14:29,-1,Jordan Grant Defensive Rebound.,26,75
14:16,-1,Marques Sullivan missed Three Point Jumper.,26,75
14:16,2026,Matt O'Boyle Defensive Rebound.,26,75
14:04,2026,Isaac Johnson made Layup.,26,77
14:04,-1,Foul on Jaquann Lockhart.,26,77
14:04,2026,Isaac Johnson made Free Throw.,26,78
13:53,-1,Sean Gribble missed Layup.,26,78
13:53,2026,Isaac Johnson Defensive Rebound.,26,78
13:41,2026,Jake Babic made Three Point Jumper. Assisted by Isaac Johnson.,26,81
13:22,-1,Marques Sullivan made Three Point Jumper. Assisted by Merault Almonor.,29,81
13:03,2026,Jake Wilson made Dunk. Assisted by Isaac Johnson.,29,83
12:47,-1,Marques Sullivan Turnover.,29,83
12:27,-1,Foul on Merault Almonor.,29,83
12:25,2026,Isaac Johnson made Layup. Assisted by Jake Babic.,29,85
12:00,-1,Sean Gribble missed Layup.,29,85
12:00,2026,Jake Wilson Defensive Rebound.,29,85
11:50,-1,Foul on Lukas Juozapavicius.,29,85
11:50,2026,Official TV Timeout,29,85
11:36,2026,Jake Babic made Layup.,29,87
11:36,-1,Foul on Merault Almonor.,29,87
11:36,2026,Jake Babic made Free Throw.,29,88
11:27,-1,Sean Gribble Turnover.,29,88
11:26,2026,Isaac Johnson Steal.,29,88
11:19,2026,Isaac Johnson Turnover.,29,88
11:16,-1,Marques Sullivan Steal.,29,88
11:14,2026,Foul on Isaac Johnson.,29,88
11:14,-1,Marques Sullivan made Free Throw.,30,88
11:14,-1,Marques Sullivan missed Free Throw.,30,88
11:14,2026,Matt O'Boyle Defensive Rebound.,30,88
11:01,-1,Foul on Marques Sullivan.,30,88
11:01,2026,Jake Babic made Free Throw.,30,89
11:01,2026,Jake Babic made Free Throw.,30,90
10:44,-1,Thomas Hay Turnover.,30,90
10:43,2026,Matt O'Boyle Steal.,30,90
10:39,2026,Patrick Good made Layup.,30,92
10:28,-1,Jaquann Lockhart missed Layup.,30,92
10:28,2026,Matt O'Boyle Defensive Rebound.,30,92
10:03,2026,Jake Babic missed Layup.,30,92
10:03,-1,Jaquann Lockhart Block.,30,92
10:00,-1,Marques Sullivan Defensive Rebound.,30,92
9:55,-1,Marques Sullivan made Three Point Jumper.,33,92
9:46,2026,Matt O'Boyle made Three Point Jumper. Assisted by Craig Hinton.,33,95
9:43,2026,Foul on Bennett Holley.,33,95
9:34,-1,Devin Davis Turnover.,33,95
9:33,2026,Matt O'Boyle Steal.,33,95
9:31,-1,Foul on Michael Pomeroy.,33,95
9:31,2026,Matt O'Boyle missed Free Throw.,33,95
9:31,-1,Thomas Hay Defensive Rebound.,33,95
9:19,-1,Thomas Hay Turnover.,33,95
9:19,2026,Matt O'Boyle Steal.,33,95
9:01,2026,Matt O'Boyle made Dunk.,33,97
8:46,2026,Foul on Bennett Holley.,33,97
8:46,-1,Jaquann Lockhart missed Free Throw.,33,97
8:46,-1,Warren Wilson Deadball Team Rebound.,33,97
8:46,-1,Jaquann Lockhart made Free Throw.,34,97
8:33,-1,Foul on Thomas Hay.,34,97
8:33,2026,Craig Hinton made Free Throw.,34,98
8:33,2026,Craig Hinton made Free Throw.,34,99
8:23,2026,Foul on Kevin Kerley.,34,99
8:23,-1,Michael Pomeroy made Free Throw.,35,99
8:23,-1,Michael Pomeroy made Free Throw.,36,99
8:23,-1,Michael Pomeroy made Free Throw.,37,99
8:15,2026,Bennett Holley made Layup. Assisted by Trey Ford.,37,101
8:04,2026,Foul on Bennett Holley.,37,101
8:00,-1,Michael Pomeroy missed Three Point Jumper.,37,101
8:00,2026,Craig Hinton Defensive Rebound.,37,101
7:49,-1,Foul on Devin Davis.,37,101
7:49,2026,Official TV Timeout,37,101
7:49,2026,Kevin Kerley made Free Throw.,37,102
7:49,2026,Kevin Kerley missed Free Throw.,37,102
7:49,-1,Merault Almonor Defensive Rebound.,37,102
7:36,-1,Garth Bailey made Layup.,39,102
7:10,2026,Craig Hinton made Layup.,39,104
6:43,-1,Merault Almonor missed Jumper.,39,104
6:43,2026,Craig Hinton Defensive Rebound.,39,104
6:33,2026,Zach Cottrell missed Three Point Jumper.,39,104
6:33,-1,Lukas Juozapavicius Defensive Rebound.,39,104
6:18,-1,Lukas Juozapavicius missed Three Point Jumper.,39,104
6:18,2026,Kevin Kerley Defensive Rebound.,39,104
6:06,2026,Craig Hinton Turnover.,39,104
5:53,-1,Thomas Hay made Layup.,41,104
5:53,2026,Foul on Bennett Holley.,41,104
5:53,-1,Thomas Hay made Free Throw.,42,104
5:46,-1,Foul on Thomas Hay.,42,104
5:46,2026,Bennett Holley made Free Throw.,42,105
5:46,2026,Bennett Holley made Free Throw.,42,106
5:41,-1,Merault Almonor missed Three Point Jumper.,42,106
5:41,2026,Bennett Holley Defensive Rebound.,42,106
5:26,2026,Craig Hinton made Dunk. Assisted by Kevin Kerley.,42,108
5:08,-1,Jordan Grant Turnover.,42,108
5:07,2026,Kevin Kerley Steal.,42,108
4:58,2026,Zach Cottrell Turnover.,42,108
4:57,-1,Jaquann Lockhart Steal.,42,108
4:53,-1,Merault Almonor missed Three Point Jumper.,42,108
4:53,2026,Bennett Holley Defensive Rebound.,42,108
4:37,2026,Trey Ford Turnover.,42,108
4:31,2026,Foul on Craig Hinton.,42,108
4:31,-1,Garth Bailey missed Free Throw.,42,108
4:31,2026,Craig Hinton Defensive Rebound.,42,108
4:19,2026,Kevin Kerley missed Three Point Jumper.,42,108
4:19,-1,Lukas Juozapavicius Defensive Rebound.,42,108
4:08,-1,Garth Bailey Turnover.,42,108
3:56,2026,Kevin Kerley Turnover.,42,108
3:56,2026,Official TV Timeout,42,108
3:46,-1,Marques Sullivan missed Jumper.,42,108
3:46,2026,Bennett Holley Defensive Rebound.,42,108
3:28,2026,Zach Cottrell missed Three Point Jumper.,42,108
3:28,2026,Bennett Holley Offensive Rebound.,42,108
3:23,2026,Bennett Holley missed Layup.,42,108
3:23,2026,Bennett Holley Offensive Rebound.,42,108
3:20,2026,Bennett Holley made Layup.,42,110
3:03,-1,Jordan Grant made Three Point Jumper. Assisted by Marques Sullivan.,45,110
2:45,2026,Trey Ford missed Three Point Jumper.,45,110
2:45,2026,Zach Cottrell Offensive Rebound.,45,110
2:38,-1,Foul on Merault Almonor.,45,110
2:38,2026,Zach Cottrell missed Free Throw.,45,110
2:38,2026,Appalachian St Deadball Team Rebound.,45,110
2:38,2026,Zach Cottrell made Free Throw.,45,111
2:25,-1,Lukas Juozapavicius missed Three Point Jumper.,45,111
2:25,-1,Warren Wilson Offensive Rebound.,45,111
2:12,-1,Jordan Grant made Three Point Jumper.,48,111
1:50,2026,Zach Cottrell missed Three Point Jumper.,48,111
1:50,-1,Marques Sullivan Defensive Rebound.,48,111
1:36,-1,Lukas Juozapavicius made Three Point Jumper. Assisted by Jordan Grant.,51,111
1:18,2026,Trey Ford made Three Point Jumper. Assisted by Craig Hinton.,51,114
1:09,-1,Marques Sullivan missed Three Point Jumper.,51,114
1:09,2026,Craig Hinton Defensive Rebound.,51,114
0:58,2026,Zach Cottrell made Layup. Assisted by Trey Ford.,51,116
0:50,-1,Jordan Grant missed Three Point Jumper.,51,116
0:50,2026,Craig Hinton Defensive Rebound.,51,116
0:37,2026,Craig Hinton made Three Point Jumper. Assisted by Kevin Kerley.,51,119
0:19,-1,Jaquann Lockhart missed Layup.,51,119
0:19,2026,Appalachian St Defensive Rebound.,51,119
0:00,2026,End of Game,51,119
