St. Bonaventure,57,Florida,179
3:30,57,Justin Leon missed Three Point Jumper.,30,31
3:30,57,Canyon Barry Offensive Rebound.,30,31
3:23,57,Kasey Hill missed Jumper.,30,31
3:19,57,Kevarrius Hayes Offensive Rebound.,30,31
3:15,57,KeVaughn Allen made Jumper.,30,33
2:56,179,David Andoh missed Three Point Jumper.,30,33
2:56,57,Florida Defensive Rebound.,30,33
2:28,57,KeVaughn Allen missed Jumper.,30,33
2:28,179,Matt Mobley Defensive Rebound.,30,33
2:22,179,Matt Mobley Turnover.,30,33
2:20,57,Justin Leon Steal.,30,33
2:15,57,KeVaughn Allen missed Layup.,30,33
2:15,179,Denzel Gregg Block.,30,33
2:13,179,Idris Taqqee Defensive Rebound.,30,33
2:04,179,Jaylen Adams Turnover.,30,33
2:02,57,Canyon Barry Steal.,30,33
1:55,57,Chris Chiozza Turnover.,30,33
1:54,179,Jaylen Adams Steal.,30,33
1:50,179,Idris Taqqee missed Layup.,30,33
1:50,57,Kevarrius Hayes Defensive Rebound.,30,33
1:27,57,KeVaughn Allen missed Jumper.,30,33
1:27,179,Matt Mobley Defensive Rebound.,30,33
0:58,179,Denzel Gregg missed Three Point Jumper.,30,33
0:58,57,Canyon Barry Defensive Rebound.,30,33
0:48,179,Foul on Denzel Gregg.,30,33
0:48,57,Chris Chiozza made Free Throw.,30,34
0:48,57,Chris Chiozza made Free Throw.,30,35
0:31,179,David Andoh made Jumper.,32,35
0:29,57,Florida  Timeout,32,35
0:05,57,Justin Leon made Three Point Jumper. Assisted by KeVaughn Allen.,32,38
0:00,57,End of 1st half,32,38
19:45,179,Matt Mobley missed Jumper.,32,38
19:45,57,John Egbunu Defensive Rebound.,32,38
19:30,179,Foul on Chinonso Obokoh.,32,38
19:25,57,John Egbunu missed Free Throw.,32,38
19:25,57,Florida Deadball Team Rebound.,32,38
19:25,57,John Egbunu made Free Throw.,32,39
19:04,179,Idris Taqqee missed Three Point Jumper.,32,39
19:04,179,Josh Ayeni Offensive Rebound.,32,39
18:55,179,Denzel Gregg Turnover.,32,39
18:42,57,KeVaughn Allen made Three Point Jumper. Assisted by John Egbunu.,32,42
18:14,179,Matt Mobley missed Three Point Jumper.,32,42
18:14,57,Devin Robinson Defensive Rebound.,32,42
18:05,57,KeVaughn Allen made Three Point Jumper. Assisted by Kasey Hill.,32,45
18:01,179,St. Bonaventure  Timeout,32,45
17:54,179,Josh Ayeni missed Jumper.,32,45
17:54,179,Idris Taqqee Offensive Rebound.,32,45
17:39,179,Jaylen Adams missed Three Point Jumper.,32,45
17:39,179,Idris Taqqee Offensive Rebound.,32,45
17:36,179,Idris Taqqee missed Layup.,32,45
17:36,179,Idris Taqqee Offensive Rebound.,32,45
17:32,179,Idris Taqqee missed Jumper.,32,45
17:32,57,KeVaughn Allen Defensive Rebound.,32,45
17:25,57,Justin Leon missed Three Point Jumper.,32,45
17:25,57,Justin Leon Offensive Rebound.,32,45
17:19,57,John Egbunu missed Jumper.,32,45
17:19,57,Devin Robinson Offensive Rebound.,32,45
17:03,57,Kasey Hill Turnover.,32,45
17:02,179,Idris Taqqee Steal.,32,45
16:59,179,Denzel Gregg made Layup. Assisted by Idris Taqqee.,34,45
16:40,57,KeVaughn Allen made Jumper.,34,47
16:22,57,Foul on Devin Robinson.,34,47
16:22,179,Denzel Gregg missed Free Throw.,34,47
16:22,179,St. Bonaventure Deadball Team Rebound.,34,47
16:22,179,Denzel Gregg made Free Throw.,35,47
16:07,179,Foul on Josh Ayeni.,35,47
15:54,179,Foul on Josh Ayeni.,35,47
15:54,57,Official TV Timeout,35,47
15:54,57,Justin Leon missed Free Throw.,35,47
15:54,57,Florida Deadball Team Rebound.,35,47
15:54,57,Justin Leon missed Free Throw.,35,47
15:54,179,LaDarien Griffin Defensive Rebound.,35,47
15:34,179,Amadi Ikpeze missed Jumper.,35,47
15:34,57,KeVaughn Allen Defensive Rebound.,35,47
15:28,179,Foul on Jaylen Adams.,35,47
15:13,179,Foul on LaDarien Griffin.,35,47
15:13,57,Kasey Hill missed Free Throw.,35,47
15:13,57,Florida Deadball Team Rebound.,35,47
15:13,57,Kasey Hill missed Free Throw.,35,47
15:13,179,St. Bonaventure Defensive Rebound.,35,47
14:47,179,Matt Mobley missed Jumper.,35,47
14:47,179,St. Bonaventure Offensive Rebound.,35,47
14:44,179,Jaylen Adams missed Layup.,35,47
14:44,57,Kevarrius Hayes Block.,35,47
14:44,57,Canyon Barry Defensive Rebound.,35,47
14:38,57,Canyon Barry missed Three Point Jumper.,35,47
14:38,179,LaDarien Griffin Defensive Rebound.,35,47
14:21,179,Idris Taqqee made Layup.,37,47
14:09,57,KeVaughn Allen missed Jumper.,37,47
14:09,179,Amadi Ikpeze Block.,37,47
14:05,179,Matt Mobley Defensive Rebound.,37,47
13:56,179,Matt Mobley made Layup.,39,47
13:56,57,Foul on Justin Leon.,39,47
13:56,179,Matt Mobley missed Free Throw.,39,47
13:55,179,LaDarien Griffin Offensive Rebound.,39,47
13:41,179,Jaylen Adams made Three Point Jumper.,42,47
13:34,57,Florida  Timeout,42,47
13:22,179,Foul on LaDarien Griffin.,42,47
13:22,57,John Egbunu made Free Throw.,42,48
13:22,57,John Egbunu made Free Throw.,42,49
13:04,179,Jaylen Adams missed Three Point Jumper.,42,49
13:04,179,Idris Taqqee Offensive Rebound.,42,49
12:53,179,Matt Mobley made Three Point Jumper.,45,49
12:38,57,Canyon Barry made Three Point Jumper. Assisted by Chris Chiozza.,45,52
12:19,179,Matt Mobley missed Jumper.,45,52
12:19,57,Chris Chiozza Defensive Rebound.,45,52
12:15,179,Foul on Idris Taqqee.,45,52
12:15,57,Chris Chiozza made Free Throw.,45,53
12:15,57,Chris Chiozza made Free Throw.,45,54
12:02,179,Amadi Ikpeze missed Jumper.,45,54
12:02,57,Chris Chiozza Defensive Rebound.,45,54
11:54,57,Canyon Barry made Three Point Jumper. Assisted by Chris Chiozza.,45,57
11:38,179,Idris Taqqee missed Jumper.,45,57
11:38,57,John Egbunu Defensive Rebound.,45,57
11:29,57,Canyon Barry made Three Point Jumper.,45,60
11:24,179,St. Bonaventure  Timeout,45,60
11:13,57,Foul on Chris Chiozza.,45,60
10:48,179,Idris Taqqee missed Three Point Jumper.,45,60
10:48,57,Devin Robinson Defensive Rebound.,45,60
10:36,57,Chris Chiozza missed Jumper.,45,60
10:36,57,John Egbunu Offensive Rebound.,45,60
10:13,57,John Egbunu Turnover.,45,60
10:12,179,Denzel Gregg Steal.,45,60
10:07,179,Jaylen Adams made Layup.,47,60
9:52,57,Canyon Barry missed Three Point Jumper.,47,60
9:52,57,John Egbunu Offensive Rebound.,47,60
9:35,57,Kasey Hill Turnover.,47,60
9:26,179,Jaylen Adams made Three Point Jumper.,50,60
8:59,57,John Egbunu Turnover.,50,60
8:34,179,Matt Mobley made Jumper.,52,60
8:07,57,Canyon Barry missed Layup.,52,60
8:07,179,Denzel Gregg Defensive Rebound.,52,60
7:42,179,Amadi Ikpeze made Jumper.,54,60
7:22,57,Canyon Barry Turnover.,54,60
7:20,179,Amadi Ikpeze Steal.,54,60
7:02,179,Amadi Ikpeze Turnover.,54,60
7:02,57,Official TV Timeout,54,60
6:48,57,Kasey Hill missed Jumper.,54,60
6:48,57,Devin Robinson Offensive Rebound.,54,60
6:20,57,KeVaughn Allen Turnover.,54,60
5:50,179,Matt Mobley missed Layup.,54,60
5:50,179,St. Bonaventure Offensive Rebound.,54,60
5:29,179,Matt Mobley made Three Point Jumper. Assisted by Jaylen Adams.,57,60
5:10,179,Foul on Amadi Ikpeze.,57,60
5:10,57,Devin Robinson missed Free Throw.,57,60
5:10,57,Florida Deadball Team Rebound.,57,60
5:10,57,Devin Robinson missed Free Throw.,57,60
5:10,179,Amadi Ikpeze Defensive Rebound.,57,60
5:08,57,Foul on Chris Chiozza.,57,60
4:51,179,Jaylen Adams missed Three Point Jumper.,57,60
4:51,57,KeVaughn Allen Block.,57,60
4:49,179,Idris Taqqee Offensive Rebound.,57,60
4:49,57,Foul on Justin Leon.,57,60
4:48,179,Jaylen Adams Turnover.,57,60
4:34,57,John Egbunu missed Jumper.,57,60
4:34,179,Amadi Ikpeze Block.,57,60
4:33,57,Devin Robinson Offensive Rebound.,57,60
4:26,57,Devin Robinson made Jumper.,57,62
4:16,179,Matt Mobley made Three Point Jumper. Assisted by Jaylen Adams.,60,62
3:53,57,Official TV Timeout,60,62
3:44,57,John Egbunu made Dunk. Assisted by Kasey Hill.,60,64
3:34,57,Foul on KeVaughn Allen.,60,64
3:27,179,Matt Mobley missed Three Point Jumper.,60,64
3:27,57,KeVaughn Allen Defensive Rebound.,60,64
3:04,57,Justin Leon missed Three Point Jumper.,60,64
3:04,179,Idris Taqqee Defensive Rebound.,60,64
2:42,179,Matt Mobley made Three Point Jumper. Assisted by Idris Taqqee.,63,64
2:23,57,Devin Robinson made Jumper.,63,66
1:58,179,Denzel Gregg Turnover.,63,66
1:58,179,Foul on Denzel Gregg.,63,66
1:45,57,Kasey Hill Turnover.,63,66
1:44,179,Matt Mobley Steal.,63,66
1:38,57,Foul on KeVaughn Allen.,63,66
1:38,179,Matt Mobley made Layup.,65,66
1:37,179,Matt Mobley made Free Throw.,66,66
1:36,57,Florida  Timeout,66,66
1:22,57,John Egbunu missed Layup.,66,66
1:22,179,Amadi Ikpeze Block.,66,66
1:20,179,Amadi Ikpeze Defensive Rebound.,66,66
1:01,179,Jaylen Adams missed Three Point Jumper.,66,66
1:01,57,Canyon Barry Defensive Rebound.,66,66
0:56,179,Foul on Jaylen Adams.,66,66
0:56,57,Canyon Barry made Free Throw.,66,67
0:56,57,Canyon Barry made Free Throw.,66,68
0:53,179,St. Bonaventure  Timeout,66,68
0:38,179,Matt Mobley missed Three Point Jumper.,66,68
0:38,57,Chris Chiozza Defensive Rebound.,66,68
0:28,57,John Egbunu made Dunk. Assisted by Devin Robinson.,66,70
0:16,179,Matt Mobley Turnover.,66,70
0:15,57,Chris Chiozza Steal.,66,70
0:11,57,Devin Robinson made Dunk.,66,72
0:08,179,Josh Ayeni Turnover.,66,72
0:08,179,Foul on Josh Ayeni.,66,72
0:06,179,Foul on Idris Taqqee.,66,72
0:06,57,Canyon Barry made Free Throw.,66,73
0:06,57,Canyon Barry missed Free Throw.,66,73
0:06,179,Denzel Gregg Defensive Rebound.,66,73
0:01,179,Jaylen Adams missed Three Point Jumper.,66,73
0:01,57,Florida Defensive Rebound.,66,73
0:00,57,End of Game,66,73
