George Fox,Error,Portland State,2502
7:47,-1,Isaac Lee Offensive Rebound.,21,29
7:43,-1,Isaac Lee missed Jumper.,21,29
7:43,2502,De'Sean Parsons Block.,21,29
7:41,-1,Brendan Jones Offensive Rebound.,21,29
7:39,-1,Ryan Thistlewood missed Three Point Jumper.,21,29
7:39,-1,Brendan Jones Offensive Rebound.,21,29
7:33,-1,Jj Lacey missed Three Point Jumper.,21,29
7:33,2502,Portland St Defensive Rebound.,21,29
7:32,-1,Foul on Isaac Lee.,21,29
7:32,2502,Official TV Timeout,21,29
7:12,2502,Brandon Hollins Turnover.,21,29
7:10,-1,Johnathan Doutt Steal.,21,29
7:02,-1,Isaac Lee missed Jumper.,21,29
7:02,2502,Deontae North Defensive Rebound.,21,29
6:54,2502,Calaen Robinson missed Three Point Jumper.,21,29
6:54,-1,Isaac Lee Defensive Rebound.,21,29
6:40,-1,Isaac Lee made Jumper. Assisted by Johnathan Doutt.,23,29
6:16,2502,Calaen Robinson made Three Point Jumper.,23,32
6:06,-1,Jj Lacey made Three Point Jumper. Assisted by Johnathan Doutt.,26,32
5:42,2502,Calaen Robinson missed Three Point Jumper.,26,32
5:42,2502,Deontae North Offensive Rebound.,26,32
5:25,-1,Foul on Isaac Lee.,26,32
5:25,2502,Braxton Tucker missed Free Throw.,26,32
5:25,2502,Portland St Deadball Team Rebound.,26,32
5:25,2502,Braxton Tucker made Free Throw.,26,33
5:14,-1,Johnathan Doutt Turnover.,26,33
5:13,2502,Brandon Hollins Steal.,26,33
5:11,2502,Brandon Hollins made Dunk.,26,35
4:55,-1,Joshua Caddel missed Three Point Jumper.,26,35
4:55,2502,Bryce Canda Defensive Rebound.,26,35
4:41,2502,Bryce Canda missed Three Point Jumper.,26,35
4:41,2502,Brandon Hollins Offensive Rebound.,26,35
4:35,-1,Foul on Joshua Caddel.,26,35
4:35,2502,Brandon Hollins made Free Throw.,26,36
4:35,2502,Brandon Hollins made Free Throw.,26,37
4:26,-1,Jj Lacey made Three Point Jumper. Assisted by Johnathan Doutt.,29,37
4:16,2502,Braxton Tucker missed Layup.,29,37
4:16,2502,Brandon Hollins Offensive Rebound.,29,37
4:11,2502,Brandon Hollins made Jumper.,29,39
3:58,-1,Thomas Rico missed Three Point Jumper.,29,39
3:58,2502,Calaen Robinson Defensive Rebound.,29,39
3:51,2502,Calaen Robinson Turnover.,29,39
3:51,2502,Official TV Timeout,29,39
3:38,-1,Chris Fedler Turnover.,29,39
3:38,2502,Bryce Canda Steal.,29,39
3:25,2502,Braxton Tucker missed Jumper.,29,39
3:25,-1,Dylan Hamlett Block.,29,39
3:22,-1,Chris Fedler Defensive Rebound.,29,39
3:19,-1,Chris Fedler Turnover.,29,39
3:17,2502,Bryce Canda Steal.,29,39
3:13,-1,Foul on Willie Perkins.,29,39
3:13,2502,Braxton Tucker missed Free Throw.,29,39
3:13,2502,Portland St Deadball Team Rebound.,29,39
3:13,2502,Braxton Tucker made Free Throw.,29,40
2:41,-1,Brendan Jones made Layup.,31,40
2:22,2502,Calaen Robinson missed Three Point Jumper.,31,40
2:22,2502,Braxton Tucker Offensive Rebound.,31,40
2:16,2502,Braxton Tucker made Layup.,31,42
2:04,-1,Thomas Rico missed Three Point Jumper.,31,42
2:04,2502,Bryce Canda Defensive Rebound.,31,42
2:00,-1,Foul on Jj Lacey.,31,42
2:00,2502,Bryce Canda missed Free Throw.,31,42
2:00,-1,Jj Lacey Defensive Rebound.,31,42
1:45,-1,Chris Fedler made Jumper.,33,42
1:35,2502,Portland St  Timeout,33,42
1:24,-1,Foul on Felix Tsai.,33,42
1:24,2502,Khari Holloway made Free Throw.,33,43
1:24,2502,Khari Holloway missed Free Throw.,33,43
1:24,2502,De'Sean Parsons Offensive Rebound.,33,43
1:19,2502,De'Sean Parsons made Jumper.,33,45
1:08,2502,Foul on De'Sean Parsons.,33,45
1:08,-1,Felix Tsai missed Free Throw.,33,45
1:08,-1,George Fox Deadball Team Rebound.,33,45
1:08,-1,Felix Tsai made Free Throw.,34,45
0:45,2502,Zach Gengler made Three Point Jumper. Assisted by Khari Holloway.,34,48
0:35,-1,Ryan Thistlewood missed Three Point Jumper.,34,48
0:35,2502,Braxton Tucker Defensive Rebound.,34,48
0:07,2502,Calaen Robinson made Jumper.,34,50
0:07,-1,Foul on Ryan Thistlewood.,34,50
0:07,2502,Calaen Robinson made Free Throw.,34,51
0:00,2502,End of 1st half,34,51
19:43,2502,Braxton Tucker made Jumper. Assisted by De'Sean Parsons.,34,53
19:43,-1,Foul on Dylan Hamlett.,34,53
19:43,2502,Braxton Tucker made Free Throw.,34,54
19:25,-1,Willie Perkins Turnover.,34,54
19:22,2502,Zach Gengler Steal.,34,54
19:20,2502,Calaen Robinson made Layup. Assisted by Zach Gengler.,34,56
19:14,2502,Foul on De'Sean Parsons.,34,56
18:58,-1,Jj Lacey made Three Point Jumper.,37,56
18:37,-1,Foul on Chris Fedler.,37,56
18:34,2502,Bryce Canda missed Three Point Jumper.,37,56
18:34,-1,Jj Lacey Defensive Rebound.,37,56
18:24,-1,Chris Fedler missed Three Point Jumper.,37,56
18:24,2502,De'Sean Parsons Defensive Rebound.,37,56
18:20,-1,Foul on Thomas Rico.,37,56
18:20,2502,De'Sean Parsons made Free Throw.,37,57
18:20,2502,De'Sean Parsons made Free Throw.,37,58
18:08,-1,Ryan Thistlewood missed Three Point Jumper.,37,58
18:08,2502,Bryce Canda Defensive Rebound.,37,58
17:54,2502,Braxton Tucker made Jumper. Assisted by Calaen Robinson.,37,60
17:38,-1,Ryan Thistlewood missed Jumper.,37,60
17:38,2502,De'Sean Parsons Defensive Rebound.,37,60
17:34,2502,Braxton Tucker made Dunk. Assisted by De'Sean Parsons.,37,62
17:26,-1,George Fox  Timeout,37,62
17:03,-1,Brendan Jones made Jumper.,39,62
16:48,2502,Braxton Tucker made Jumper. Assisted by Bryce Canda.,39,64
16:40,-1,Brendan Jones missed Jumper.,39,64
16:40,-1,Brendan Jones Offensive Rebound.,39,64
16:36,-1,Johnathan Doutt made Three Point Jumper. Assisted by Brendan Jones.,42,64
16:16,2502,Calaen Robinson Turnover.,42,64
16:00,-1,Johnathan Doutt missed Three Point Jumper.,42,64
16:00,2502,Bryce Canda Defensive Rebound.,42,64
15:52,2502,Calaen Robinson made Three Point Jumper. Assisted by Bryce Canda.,42,67
15:42,-1,Jj Lacey missed Three Point Jumper.,42,67
15:42,2502,Calaen Robinson Defensive Rebound.,42,67
15:37,-1,Foul on Jj Lacey.,42,67
15:37,2502,Official TV Timeout,42,67
15:37,2502,Calaen Robinson made Free Throw.,42,68
15:37,2502,Calaen Robinson missed Free Throw.,42,68
15:37,-1,Ryan Thistlewood Defensive Rebound.,42,68
15:18,-1,Jj Lacey missed Jumper.,42,68
15:18,2502,Zach Gengler Defensive Rebound.,42,68
15:09,2502,Calaen Robinson Turnover.,42,68
14:56,-1,Johnathan Doutt Turnover.,42,68
14:55,2502,Braxton Tucker Steal.,42,68
14:53,2502,Zach Gengler made Layup. Assisted by Braxton Tucker.,42,70
14:33,-1,Ryan Thistlewood Turnover.,42,70
14:30,-1,Foul on Johnathan Doutt.,42,70
14:30,2502,Braxton Tucker made Free Throw.,42,71
14:30,2502,Braxton Tucker made Free Throw.,42,72
14:08,-1,Dylan Hamlett made Layup. Assisted by Thomas Rico.,44,72
13:53,-1,Foul on Brendan Jones.,44,72
13:53,2502,De'Sean Parsons made Free Throw.,44,73
13:53,2502,De'Sean Parsons missed Free Throw.,44,73
13:53,2502,Braxton Tucker Offensive Rebound.,44,73
13:37,2502,Zach Gengler missed Three Point Jumper.,44,73
13:37,2502,Braxton Tucker Offensive Rebound.,44,73
13:32,2502,Braxton Tucker made Jumper.,44,75
13:13,2502,Foul on Zach Gengler.,44,75
13:13,-1,Johnathan Doutt made Free Throw.,45,75
13:13,-1,Johnathan Doutt made Free Throw.,46,75
13:02,2502,Calaen Robinson Turnover.,46,75
13:02,2502,Foul on Calaen Robinson.,46,75
12:43,-1,Dylan Hamlett made Jumper.,48,75
12:21,-1,Foul on Isaac Lee.,48,75
12:21,2502,Braxton Tucker made Free Throw.,48,76
12:21,2502,Braxton Tucker made Free Throw.,48,77
12:13,-1,Johnathan Doutt missed Three Point Jumper.,48,77
12:13,-1,Isaac Lee Offensive Rebound.,48,77
12:08,-1,Isaac Lee Turnover.,48,77
12:07,2502,Deontae North Steal.,48,77
12:03,2502,Calaen Robinson missed Three Point Jumper.,48,77
12:03,2502,Braxton Tucker Offensive Rebound.,48,77
11:56,2502,Calaen Robinson made Jumper. Assisted by Braxton Tucker.,48,79
11:31,-1,Thomas Rico made Three Point Jumper. Assisted by Felix Tsai.,51,79
11:16,2502,Braxton Tucker Turnover.,51,79
11:05,2502,Foul on Deontae North.,51,79
10:48,-1,Chris Fedler made Three Point Jumper. Assisted by Willie Perkins.,54,79
10:36,2502,Braxton Tucker made Layup. Assisted by Montie Leunen.,54,81
10:23,2502,Foul on Montie Leunen.,54,81
10:23,-1,Jj Lacey made Free Throw.,55,81
10:23,-1,Jj Lacey made Free Throw.,56,81
10:17,2502,Brandon Hollins made Dunk. Assisted by Calaen Robinson.,56,83
10:07,-1,Willie Perkins missed Three Point Jumper.,56,83
10:07,-1,Jj Lacey Offensive Rebound.,56,83
10:02,-1,Jj Lacey made Jumper.,58,83
9:47,2502,Calaen Robinson missed Jumper.,58,83
9:47,2502,Braxton Tucker Offensive Rebound.,58,83
9:43,-1,Foul on Willie Perkins.,58,83
9:43,2502,Braxton Tucker made Free Throw.,58,84
9:43,2502,Braxton Tucker missed Free Throw.,58,84
9:43,-1,Chris Fedler Defensive Rebound.,58,84
9:36,-1,Ryan Thistlewood missed Layup.,58,84
9:36,2502,Portland St Defensive Rebound.,58,84
9:25,-1,Foul on Ryan Thistlewood.,58,84
9:25,2502,Khari Holloway made Free Throw.,58,85
9:25,2502,Khari Holloway made Free Throw.,58,86
9:10,-1,Dylan Hamlett made Jumper. Assisted by Willie Perkins.,60,86
9:07,-1,Foul on Willie Perkins.,60,86
9:07,2502,Calaen Robinson missed Free Throw.,60,86
9:07,2502,Portland St Deadball Team Rebound.,60,86
9:07,2502,Calaen Robinson made Free Throw.,60,87
8:53,-1,Jj Lacey missed Three Point Jumper.,60,87
8:53,-1,Dylan Hamlett Offensive Rebound.,60,87
8:34,-1,Brendan Jones made Three Point Jumper. Assisted by Jj Lacey.,63,87
8:33,-1,George Fox  Timeout,63,87
8:22,2502,Deontae North made Jumper.,63,89
8:08,-1,Dylan Hamlett made Jumper. Assisted by Joshua Caddel.,65,89
7:57,2502,Khari Holloway made Layup.,65,91
7:50,-1,Joshua Caddel missed Three Point Jumper.,65,91
7:50,2502,Calaen Robinson Defensive Rebound.,65,91
7:33,2502,Braxton Tucker made Jumper.,65,93
7:33,2502,Portland St  Timeout,65,93
7:33,2502,Official TV Timeout,65,93
7:09,-1,Dylan Hamlett Turnover.,65,93
7:07,2502,Montie Leunen Steal.,65,93
7:05,-1,Foul on Johnathan Doutt.,65,93
7:05,2502,Khari Holloway made Free Throw.,65,94
7:05,2502,Khari Holloway made Free Throw.,65,95
6:51,-1,Johnathan Doutt made Layup.,67,95
6:32,2502,Zach Gengler made Layup.,67,97
6:18,-1,Dylan Hamlett Turnover.,67,97
6:18,2502,Brandon Hollins Steal.,67,97
6:06,-1,Foul on Isaac Lee.,67,97
6:06,2502,Brandon Hollins missed Free Throw.,67,97
6:06,2502,Portland St Deadball Team Rebound.,67,97
6:06,2502,Brandon Hollins made Free Throw.,67,98
5:48,-1,Jad Darger missed Jumper.,67,98
5:48,-1,Jad Darger Offensive Rebound.,67,98
5:40,-1,Jad Darger Turnover.,67,98
5:39,2502,Brandon Hollins Steal.,67,98
5:26,-1,Foul on Isaac Lee.,67,98
5:26,2502,Brandon Hollins made Free Throw.,67,99
5:26,2502,Brandon Hollins missed Free Throw.,67,99
5:26,-1,Felix Tsai Defensive Rebound.,67,99
5:06,-1,Jad Darger Turnover.,67,99
4:51,2502,Brandon Hollins made Jumper. Assisted by Khari Holloway.,67,101
4:41,-1,Jad Darger made Three Point Jumper. Assisted by Johnathan Doutt.,70,101
4:27,2502,Michael Mayhew made Three Point Jumper. Assisted by Khari Holloway.,70,104
3:57,-1,Chris Fedler made Three Point Jumper. Assisted by Johnathan Doutt.,73,104
3:38,2502,Tyrell Henderson missed Jumper.,73,104
3:38,-1,Adam Schwarz Defensive Rebound.,73,104
3:28,-1,Chris Fedler made Three Point Jumper. Assisted by Adam Schwarz.,76,104
3:14,-1,Foul on Felix Tsai.,76,104
3:14,2502,Official TV Timeout,76,104
3:14,2502,Michael Mayhew made Free Throw.,76,105
3:14,2502,Michael Mayhew made Free Throw.,76,106
3:00,-1,Hayden Ford Turnover.,76,106
2:46,2502,Deontae North missed Three Point Jumper.,76,106
2:46,2502,Brandon Hollins Offensive Rebound.,76,106
2:32,2502,Deontae North Turnover.,76,106
2:32,-1,Jad Darger Steal.,76,106
2:19,-1,Jad Darger missed Three Point Jumper.,76,106
2:19,2502,Brendan Rumel Defensive Rebound.,76,106
2:07,2502,Michael Mayhew made Three Point Jumper. Assisted by Tyrell Henderson.,76,109
1:36,-1,Brendan Jones missed Three Point Jumper.,76,109
1:36,-1,Jad Darger Offensive Rebound.,76,109
1:31,-1,Jad Darger made Jumper.,78,109
1:10,2502,Brandon Hollins made Jumper.,78,111
0:53,-1,Adam Schwarz missed Three Point Jumper.,78,111
0:53,2502,Deontae North Defensive Rebound.,78,111
0:46,2502,Tyrell Henderson missed Three Point Jumper.,78,111
0:46,-1,Adam Schwarz Defensive Rebound.,78,111
0:35,-1,Jad Darger made Three Point Jumper. Assisted by Brendan Jones.,81,111
0:10,-1,Foul on Brendan Jones.,81,111
0:10,2502,Deontae North missed Free Throw.,81,111
0:10,2502,Portland St Deadball Team Rebound.,81,111
0:10,2502,Deontae North missed Free Throw.,81,111
0:10,2502,Brendan Rumel Offensive Rebound.,81,111
0:07,2502,Brendan Rumel made Jumper.,81,113
0:00,2502,End of Game,81,113
