CS Fullerton,264,Washington,2239
3:02,2239,CS Fullerton Deadball Team Rebound.,35,46
3:02,2239,Jackson Rowe made Free Throw.,36,46
2:53,264,David Crisp missed Three Point Jumper.,36,46
2:53,2239,Jackson Rowe Defensive Rebound.,36,46
2:37,2239,Tre Coggins made Jumper.,38,46
2:26,2239,Foul on Kyle Allman.,38,46
2:26,264,Markelle Fultz made Free Throw.,38,47
2:26,264,Markelle Fultz made Free Throw.,38,48
2:10,264,Foul on Matisse Thybulle.,38,48
2:10,2239,Tre Coggins missed Free Throw.,38,48
2:10,2239,CS Fullerton Deadball Team Rebound.,38,48
2:10,2239,Tre Coggins made Free Throw.,39,48
2:02,264,Dominic Green missed Three Point Jumper.,39,48
2:02,264,Washington Deadball Team Rebound.,39,48
1:57,2239,Foul on Richard Peters.,39,48
1:57,264,Malik Dime made Free Throw.,39,49
1:57,264,Malik Dime missed Free Throw.,39,49
1:57,2239,Richard Peters Defensive Rebound.,39,49
1:44,264,Foul on Malik Dime.,39,49
1:44,2239,Lionheart Leslie made Free Throw.,40,49
1:44,2239,Lionheart Leslie missed Free Throw.,40,49
1:44,264,Devenir Duruisseau Defensive Rebound.,40,49
1:27,264,Malik Dime Turnover.,40,49
1:27,2239,Lionheart Leslie Steal.,40,49
1:27,264,Foul on David Crisp.,40,49
1:27,2239,Lionheart Leslie made Free Throw.,41,49
1:27,2239,Lionheart Leslie made Free Throw.,42,49
1:18,264,Matisse Thybulle made Jumper. Assisted by David Crisp.,42,51
1:01,2239,Lionheart Leslie Turnover.,42,51
0:45,264,Dominic Green made Layup.,42,53
0:40,2239,CS Fullerton  Timeout,42,53
0:27,2239,Tre Coggins missed Three Point Jumper.,42,53
0:27,264,David Crisp Defensive Rebound.,42,53
0:11,264,David Crisp missed Jumper.,42,53
0:11,2239,CS Fullerton Defensive Rebound.,42,53
0:06,264,Washington  Timeout,42,53
0:03,2239,Lionheart Leslie missed Three Point Jumper.,42,53
0:03,2239,CS Fullerton Deadball Team Rebound.,42,53
0:00,264,End of 1st half,42,53
19:51,264,Markelle Fultz Turnover.,42,53
19:48,2239,Lionheart Leslie Steal.,42,53
19:42,264,Foul on Malik Dime.,42,53
19:40,2239,Tre Coggins missed Three Point Jumper.,42,53
19:40,264,Sam Timmins Defensive Rebound.,42,53
19:32,264,Matisse Thybulle missed Three Point Jumper.,42,53
19:32,264,Sam Timmins Offensive Rebound.,42,53
19:23,264,Sam Timmins Turnover.,42,53
19:23,2239,Lionheart Leslie Steal.,42,53
19:21,264,Foul on Matisse Thybulle.,42,53
19:21,2239,Lionheart Leslie made Free Throw.,43,53
19:21,2239,Lionheart Leslie made Free Throw.,44,53
19:06,2239,Foul on Lionheart Leslie.,44,53
19:06,264,Markelle Fultz missed Free Throw.,44,53
19:06,264,Washington Deadball Team Rebound.,44,53
19:06,264,Markelle Fultz made Free Throw.,44,54
18:44,2239,Jackson Rowe made Layup. Assisted by Darcy Malone.,46,54
18:34,2239,Foul on Darcy Malone.,46,54
18:34,264,Markelle Fultz made Free Throw.,46,55
18:34,264,Markelle Fultz made Free Throw.,46,56
18:26,2239,Kyle Allman missed Layup.,46,56
18:26,264,Matisse Thybulle Defensive Rebound.,46,56
18:18,2239,Foul on Lionheart Leslie.,46,56
18:18,264,David Crisp made Free Throw.,46,57
18:18,264,David Crisp missed Free Throw.,46,57
18:18,2239,Jackson Rowe Defensive Rebound.,46,57
18:11,2239,Austen Awosika made Layup.,48,57
17:55,264,Sam Timmins missed Layup.,48,57
17:55,2239,Darcy Malone Block.,48,57
17:52,2239,Darcy Malone Defensive Rebound.,48,57
17:45,264,Foul on Matisse Thybulle.,48,57
17:45,2239,Kyle Allman made Free Throw.,49,57
17:45,2239,Kyle Allman made Free Throw.,50,57
17:43,264,Matisse Thybulle missed Three Point Jumper.,50,57
17:43,2239,Tre Coggins Defensive Rebound.,50,57
17:28,2239,Darcy Malone missed Three Point Jumper.,50,57
17:28,264,Markelle Fultz Defensive Rebound.,50,57
17:20,264,David Crisp missed Three Point Jumper.,50,57
17:20,2239,Tre Coggins Defensive Rebound.,50,57
16:55,2239,Darcy Malone made Three Point Jumper. Assisted by Tre Coggins.,53,57
16:37,264,Markelle Fultz made Layup.,53,59
16:17,2239,Austen Awosika made Jumper.,55,59
16:09,2239,Foul on Darcy Malone.,55,59
16:06,264,Markelle Fultz made Layup.,55,61
15:44,2239,Kyle Allman missed Jumper.,55,61
15:44,2239,Kyle Allman Offensive Rebound.,55,61
15:40,2239,Kyle Allman made Two Point Tip Shot.,57,61
15:35,264,Markelle Fultz missed Jumper.,57,61
15:35,2239,Kyle Allman Block.,57,61
15:32,2239,Austen Awosika Defensive Rebound.,57,61
15:28,264,Foul on Noah Dickerson.,57,61
15:28,264,Official TV Timeout,57,61
15:28,2239,Jackson Rowe made Free Throw.,58,61
15:28,2239,Jackson Rowe made Free Throw.,59,61
15:16,264,Dominic Green made Jumper.,59,63
14:55,2239,Jamal Smith made Layup. Assisted by Richard Peters.,61,63
14:28,264,Matisse Thybulle Turnover.,61,63
14:28,2239,Kyle Allman Steal.,61,63
14:12,264,Foul on Devenir Duruisseau.,61,63
13:55,2239,Richard Peters made Layup. Assisted by Jackson Rowe.,63,63
13:42,2239,Foul on Richard Peters.,63,63
13:42,264,Markelle Fultz made Free Throw.,63,64
13:42,264,Markelle Fultz made Free Throw.,63,65
13:27,2239,Austen Awosika missed Layup.,63,65
13:27,264,Malik Dime Block.,63,65
13:24,264,Malik Dime Defensive Rebound.,63,65
13:13,2239,Foul on Davon Clare.,63,65
13:13,264,Markelle Fultz missed Free Throw.,63,65
13:13,264,Washington Deadball Team Rebound.,63,65
13:13,264,Markelle Fultz made Free Throw.,63,66
13:05,264,Foul on Devenir Duruisseau.,63,66
12:53,2239,Jackson Rowe missed Three Point Jumper.,63,66
12:53,264,Washington Deadball Team Rebound.,63,66
12:47,2239,Foul on Davon Clare.,63,66
12:47,264,Malik Dime missed Free Throw.,63,66
12:47,2239,Davon Clare Defensive Rebound.,63,66
12:41,2239,Austen Awosika made Layup.,65,66
12:23,264,Markelle Fultz made Layup.,65,68
12:00,2239,Tre Coggins made Three Point Jumper.,68,68
11:49,264,Dominic Green missed Three Point Jumper.,68,68
11:49,264,Malik Dime Offensive Rebound.,68,68
11:43,2239,Foul on Jamal Smith.,68,68
11:43,264,Official TV Timeout,68,68
11:43,264,Malik Dime made Free Throw.,68,69
11:43,264,Malik Dime made Free Throw.,68,70
11:33,2239,Foul on Jackson Rowe.,68,70
11:33,2239,Jackson Rowe Turnover.,68,70
11:20,2239,Foul on Jhan Paul Mejia.,68,70
11:20,264,Malik Dime made Free Throw.,68,71
11:20,264,Malik Dime made Free Throw.,68,72
11:12,2239,Austen Awosika missed Layup.,68,72
11:12,264,Sam Timmins Defensive Rebound.,68,72
10:59,264,Markelle Fultz Turnover.,68,72
10:43,2239,Tre Coggins missed Three Point Jumper.,68,72
10:43,264,Markelle Fultz Defensive Rebound.,68,72
10:23,2239,Foul on Jhan Paul Mejia.,68,72
10:23,264,Markelle Fultz made Free Throw.,68,73
10:23,264,Markelle Fultz missed Free Throw.,68,73
10:23,2239,Jackson Rowe Defensive Rebound.,68,73
10:12,2239,Jamal Smith missed Layup.,68,73
10:12,264,Noah Dickerson Defensive Rebound.,68,73
9:51,264,Foul on Sam Timmins.,68,73
9:51,264,Sam Timmins Turnover.,68,73
9:44,2239,Darcy Malone Turnover.,68,73
9:43,264,David Crisp Steal.,68,73
9:37,2239,Foul on Austen Awosika.,68,73
9:37,264,David Crisp made Free Throw.,68,74
9:37,264,David Crisp made Free Throw.,68,75
9:33,2239,CS Fullerton  Timeout,68,75
9:24,264,Foul on Markelle Fultz.,68,75
9:24,2239,Kyle Allman missed Free Throw.,68,75
9:24,264,Malik Dime Defensive Rebound.,68,75
9:04,2239,Foul on Jackson Rowe.,68,75
9:04,264,Matisse Thybulle made Free Throw.,68,76
9:04,264,Matisse Thybulle missed Free Throw.,68,76
9:04,2239,Darcy Malone Defensive Rebound.,68,76
8:51,2239,Kyle Allman missed Layup.,68,76
8:51,264,Noah Dickerson Defensive Rebound.,68,76
8:42,264,Noah Dickerson made Jumper. Assisted by Markelle Fultz.,68,78
8:14,2239,Tre Coggins missed Three Point Jumper.,68,78
8:14,264,Malik Dime Defensive Rebound.,68,78
7:57,264,Noah Dickerson missed Jumper.,68,78
7:57,2239,Austen Awosika Defensive Rebound.,68,78
7:42,264,Foul on Malik Dime.,68,78
7:42,264,Official TV Timeout,68,78
7:42,2239,Jackson Rowe made Free Throw.,69,78
7:42,2239,Jackson Rowe made Free Throw.,70,78
7:33,264,David Crisp made Three Point Jumper. Assisted by Dominic Green.,70,81
6:58,264,Foul on Matisse Thybulle.,70,81
6:58,2239,Kyle Allman missed Free Throw.,70,81
6:58,2239,CS Fullerton Deadball Team Rebound.,70,81
6:58,2239,Kyle Allman made Free Throw.,71,81
6:46,2239,Foul on Davon Clare.,71,81
6:46,264,Malik Dime made Free Throw.,71,82
6:46,264,Malik Dime made Free Throw.,71,83
6:38,2239,Tre Coggins missed Three Point Jumper.,71,83
6:38,264,Dominic Green Defensive Rebound.,71,83
6:25,264,Noah Dickerson missed Three Point Jumper.,71,83
6:25,2239,CS Fullerton Defensive Rebound.,71,83
6:05,2239,Kyle Allman missed Layup.,71,83
6:05,264,Malik Dime Block.,71,83
6:02,264,Dominic Green Defensive Rebound.,71,83
5:58,264,Markelle Fultz missed Three Point Jumper.,71,83
5:58,2239,Kyle Allman Defensive Rebound.,71,83
5:49,2239,Jackson Rowe made Jumper. Assisted by Austen Awosika.,73,83
5:35,264,Dominic Green missed Layup.,73,83
5:35,2239,Darcy Malone Defensive Rebound.,73,83
5:25,2239,Austen Awosika made Layup. Assisted by Kyle Allman.,75,83
5:22,264,Foul on Noah Dickerson.,75,83
5:22,2239,Austen Awosika made Free Throw.,76,83
5:11,264,Malik Dime made Layup.,76,85
4:50,264,Foul on Markelle Fultz.,76,85
4:50,2239,Lionheart Leslie made Free Throw.,77,85
4:50,2239,Lionheart Leslie made Free Throw.,78,85
4:43,264,Dominic Green made Layup.,78,87
4:27,2239,Austen Awosika missed Jumper.,78,87
4:27,264,Malik Dime Block.,78,87
4:25,264,Greg Bowman Defensive Rebound.,78,87
4:22,264,Markelle Fultz made Dunk. Assisted by Dominic Green.,78,89
4:03,2239,Tre Coggins missed Layup.,78,89
4:03,264,Malik Dime Block.,78,89
4:03,2239,CS Fullerton Offensive Rebound.,78,89
3:58,2239,Lionheart Leslie Turnover.,78,89
3:55,264,Markelle Fultz Steal.,78,89
3:51,264,Markelle Fultz made Dunk.,78,91
3:45,2239,CS Fullerton  Timeout,78,91
3:36,2239,Lionheart Leslie made Layup.,80,91
3:20,264,Matisse Thybulle made Jumper.,80,93
3:15,2239,Foul on Tre Coggins.,80,93
3:15,264,Matisse Thybulle made Free Throw.,80,94
3:01,264,Foul on Dominic Green.,80,94
3:01,2239,Lionheart Leslie missed Free Throw.,80,94
3:01,2239,CS Fullerton Deadball Team Rebound.,80,94
3:01,2239,Lionheart Leslie made Free Throw.,81,94
2:47,264,Malik Dime made Dunk. Assisted by Markelle Fultz.,81,96
2:18,2239,Lionheart Leslie made Three Point Jumper. Assisted by Austen Awosika.,84,96
1:55,264,Markelle Fultz made Jumper.,84,98
1:35,2239,Darcy Malone made Layup.,86,98
1:18,264,David Crisp made Layup. Assisted by Matisse Thybulle.,86,100
1:03,2239,Lionheart Leslie made Layup.,88,100
0:51,264,Washington  Timeout,88,100
0:44,2239,Foul on Lionheart Leslie.,88,100
0:44,264,Markelle Fultz made Free Throw.,88,101
0:44,264,Markelle Fultz made Free Throw.,88,102
0:26,2239,Jackson Rowe missed Layup.,88,102
0:26,264,Carlos Johnson Defensive Rebound.,88,102
0:12,264,Carlos Johnson made Dunk.,88,104
0:00,264,End of Game,88,104
