Nazareth,2084,Buffalo,110426
12:03,-1,Nazareth College Deadball Team Rebound.,33,57
12:00,2084,Foul on Ikenna Smart.,33,57
12:00,2084,Official TV Timeout,33,57
11:43,-1,Chris Jones missed Layup.,33,57
11:43,-1,Daniel Freilicher Offensive Rebound.,33,57
11:39,-1,Cody Green missed Three Point Jumper.,33,57
11:39,2084,David Kadiri Defensive Rebound.,33,57
11:21,2084,Willie Conner missed Three Point Jumper.,33,57
11:21,2084,David Kadiri Offensive Rebound.,33,57
11:18,-1,Foul on Chris Jones.,33,57
11:05,-1,Foul on Chris Jones.,33,57
11:05,2084,James Jones missed Free Throw.,33,57
11:05,2084,Buffalo Deadball Team Rebound.,33,57
11:05,2084,James Jones made Free Throw.,33,58
10:45,-1,Brendan Wind missed Jumper.,33,58
10:45,2084,Willie Conner Defensive Rebound.,33,58
10:32,2084,Willie Conner missed Layup.,33,58
10:32,2084,Willie Conner Offensive Rebound.,33,58
10:29,2084,Willie Conner made Layup.,33,60
10:29,-1,Foul on Cody Green.,33,60
10:29,2084,Willie Conner made Free Throw.,33,61
10:12,2084,Foul on James Jones.,33,61
10:02,-1,Mitch Keniston missed Jumper.,33,61
10:02,2084,Quate McKinzie Defensive Rebound.,33,61
9:56,2084,Quate McKinzie made Three Point Jumper. Assisted by Davonta Jordan.,33,64
9:26,-1,Daniel Jacob missed Jumper.,33,64
9:26,2084,Blake Hamilton Defensive Rebound.,33,64
9:19,2084,Davonta Jordan missed Three Point Jumper.,33,64
9:19,-1,Denzell Jackson Defensive Rebound.,33,64
9:07,-1,Nazareth College  Timeout,33,64
9:06,-1,Daniel Jacob missed Three Point Jumper.,33,64
9:06,2084,Nick Perkins Defensive Rebound.,33,64
8:58,2084,Dontay Caruthers made Layup. Assisted by Blake Hamilton.,33,66
8:31,-1,Brendan Wind missed Layup.,33,66
8:31,2084,Nick Perkins Block.,33,66
8:31,-1,Nazareth College Offensive Rebound.,33,66
8:26,-1,Jack Mulcahy missed Three Point Jumper.,33,66
8:26,2084,Blake Hamilton Block.,33,66
8:23,2084,Quate McKinzie Defensive Rebound.,33,66
8:10,2084,Nick Perkins made Layup. Assisted by Blake Hamilton.,33,68
7:38,-1,Brendan Wind made Layup.,35,68
7:25,2084,Willie Conner made Three Point Jumper. Assisted by Blake Hamilton.,35,71
7:00,2084,Official TV Timeout,35,71
6:50,-1,Nazareth College  Turnover.,35,71
6:36,2084,Willie Conner missed Three Point Jumper.,35,71
6:36,2084,Blake Hamilton Offensive Rebound.,35,71
6:28,2084,Blake Hamilton missed Three Point Jumper.,35,71
6:28,-1,Nazareth College Defensive Rebound.,35,71
6:10,-1,Cody Green Turnover.,35,71
6:09,2084,Blake Hamilton Steal.,35,71
6:02,-1,Foul on Mitch Keniston.,35,71
6:02,2084,Willie Conner made Free Throw.,35,72
6:02,2084,Willie Conner made Free Throw.,35,73
5:32,-1,Daniel Freilicher missed Jumper.,35,73
5:32,2084,Quate McKinzie Block.,35,73
5:30,2084,Buffalo Defensive Rebound.,35,73
5:17,2084,Nick Perkins made Layup. Assisted by Quate McKinzie.,35,75
4:57,-1,Brendan Broderick Turnover.,35,75
4:57,2084,Blake Hamilton Steal.,35,75
4:54,2084,Blake Hamilton made Dunk.,35,77
4:24,-1,Brendan Wind missed Jumper.,35,77
4:24,2084,Nick Perkins Defensive Rebound.,35,77
4:13,2084,Willie Conner made Layup.,35,79
3:57,-1,Jack Mulcahy missed Three Point Jumper.,35,79
3:57,2084,Nick Perkins Defensive Rebound.,35,79
3:53,2084,Nick Perkins Turnover.,35,79
3:53,-1,Daniel Freilicher Steal.,35,79
3:51,-1,Jack Mulcahy made Three Point Jumper. Assisted by Daniel Freilicher.,38,79
3:47,2084,Buffalo  Timeout,38,79
3:37,2084,Ikenna Smart missed Jumper.,38,79
3:37,-1,Brendan Wind Defensive Rebound.,38,79
3:05,-1,Daniel Jacob missed Layup.,38,79
3:05,2084,Ikenna Smart Block.,38,79
3:05,2084,Buffalo Defensive Rebound.,38,79
3:05,2084,Dontay Caruthers missed Three Point Jumper.,38,79
3:05,-1,Mitch Senecal Defensive Rebound.,38,79
3:05,-1,Daniel Freilicher missed Jumper.,38,79
3:05,-1,Nazareth College Offensive Rebound.,38,79
2:54,-1,Mitch Senecal missed Jumper.,38,79
2:54,2084,Ikenna Smart Defensive Rebound.,38,79
2:47,2084,Christian Pino missed Three Point Jumper.,38,79
2:47,2084,James Jones Offensive Rebound.,38,79
2:40,2084,David Kadiri missed Jumper.,38,79
2:40,2084,Ikenna Smart Offensive Rebound.,38,79
2:35,2084,Christian Pino missed Three Point Jumper.,38,79
2:35,2084,David Kadiri Offensive Rebound.,38,79
2:24,2084,Christian Pino made Layup.,38,81
2:11,-1,Jack Mulcahy missed Three Point Jumper.,38,81
2:11,2084,David Kadiri Defensive Rebound.,38,81
1:36,2084,David Kadiri made Dunk. Assisted by Dontay Caruthers.,38,83
1:04,-1,Daniel Jacob missed Jumper.,38,83
1:04,2084,Christian Pino Defensive Rebound.,38,83
0:41,2084,Christian Pino missed Jumper.,38,83
0:41,-1,Daniel Freilicher Defensive Rebound.,38,83
0:32,-1,Jack Mulcahy missed Layup.,38,83
0:32,-1,Jack Mulcahy Offensive Rebound.,38,83
0:27,-1,Jack Mulcahy missed Jumper.,38,83
0:27,2084,Christian Pino Defensive Rebound.,38,83
0:20,2084,James Jones made Layup. Assisted by Christian Pino.,38,85
0:15,2084,Foul on Dontay Caruthers.,38,85
0:11,-1,Jack Mulcahy missed Three Point Jumper.,38,85
0:11,2084,Dontay Caruthers Defensive Rebound.,38,85
0:00,2084,End of Game,38,85
