NJIT,322,Lafayette,2885
16:43,322,Kyle Stout made Three Point Jumper. Assisted by Paulius Zalys.,40,39
16:33,2885,Abdul Lewis made Layup. Assisted by Damon Lynn.,42,39
16:21,322,Auston Evans Turnover.,42,39
16:20,2885,Abdul Lewis Steal.,42,39
16:07,2885,Abdul Lewis made Jumper. Assisted by Damon Lynn.,44,39
16:04,322,Eric Stafford Turnover.,44,39
16:00,2885,Damon Lynn missed Jumper.,44,39
16:00,322,Matt Klinewski Defensive Rebound.,44,39
15:54,322,Matt Klinewski Turnover.,44,39
15:54,322,Foul on Matt Klinewski.,44,39
15:54,322,Official TV Timeout,44,39
15:32,2885,Damon Lynn made Three Point Jumper. Assisted by Tim Coleman.,47,39
15:09,322,Kyle Stout missed Three Point Jumper.,47,39
15:09,322,Matt Klinewski Offensive Rebound.,47,39
15:09,2885,Foul on Damon Lynn.,47,39
15:01,2885,Foul on Tim Coleman.,47,39
14:58,322,Kyle Stout made Three Point Jumper. Assisted by Nick Lindner.,47,42
14:26,2885,Abdul Lewis missed Jumper.,47,42
14:26,322,Matt Klinewski Defensive Rebound.,47,42
13:59,322,Kyle Stout missed Three Point Jumper.,47,42
13:59,2885,Damon Lynn Defensive Rebound.,47,42
13:54,322,Foul on Nick Lindner.,47,42
13:54,2885,Damon Lynn made Free Throw.,48,42
13:54,2885,Damon Lynn made Free Throw.,49,42
13:39,322,Nick Lindner missed Three Point Jumper.,49,42
13:39,2885,Tim Coleman Defensive Rebound.,49,42
13:17,2885,Anthony Tarke made Layup.,51,42
13:07,322,Paulius Zalys Turnover.,51,42
12:47,2885,Tim Coleman made Layup.,53,42
12:47,322,Foul on Lukas Jarrett.,53,42
12:47,2885,Tim Coleman made Free Throw.,54,42
12:47,2885,Foul on Shyquan Gibbs.,54,42
12:34,322,Matt Klinewski made Jumper. Assisted by Nick Lindner.,54,44
12:07,322,Foul on Matt Klinewski.,54,44
12:07,2885,Tim Coleman made Free Throw.,55,44
12:07,2885,Tim Coleman missed Free Throw.,55,44
12:07,2885,Anthony Tarke Offensive Rebound.,55,44
11:53,2885,Anthony Tarke missed Three Point Jumper.,55,44
11:53,2885,NJIT Offensive Rebound.,55,44
11:48,2885,Tim Coleman missed Jumper.,55,44
11:48,322,Matt Klinewski Defensive Rebound.,55,44
11:48,2885,Foul on Tim Coleman.,55,44
11:47,322,Official TV Timeout,55,44
11:43,322,Nick Lindner missed Three Point Jumper.,55,44
11:43,2885,Anthony Tarke Defensive Rebound.,55,44
11:13,2885,Anthony Tarke made Layup.,57,44
11:04,322,Matt Klinewski Turnover.,57,44
10:57,2885,Tim Coleman Turnover.,57,44
10:57,2885,Foul on Tim Coleman.,57,44
10:45,322,Auston Evans Turnover.,57,44
10:18,2885,Damon Lynn missed Three Point Jumper.,57,44
10:18,322,Nick Lindner Defensive Rebound.,57,44
10:11,322,Nick Lindner Turnover.,57,44
10:10,2885,Anthony Tarke Steal.,57,44
10:05,2885,Damon Lynn missed Three Point Jumper.,57,44
10:05,2885,Anthony Tarke Offensive Rebound.,57,44
10:00,2885,NJIT  Timeout,57,44
9:36,2885,Shyquan Gibbs missed Jumper.,57,44
9:36,322,Nick Lindner Defensive Rebound.,57,44
9:29,322,Hunter Janacek made Three Point Jumper. Assisted by Auston Evans.,57,47
9:01,2885,Shyquan Gibbs made Jumper.,59,47
8:46,2885,Foul on Rob Ukawuba.,59,47
8:39,322,Myles Cherry missed Free Throw.,59,47
8:39,2885,Abdul Lewis Defensive Rebound.,59,47
8:16,2885,Osa Izevbuwa missed Jumper.,59,47
8:16,2885,Anthony Tarke Offensive Rebound.,59,47
8:15,322,Foul on Eric Stafford.,59,47
8:15,2885,Anthony Tarke missed Free Throw.,59,47
8:15,322,Myles Cherry Defensive Rebound.,59,47
7:54,322,Matt Klinewski made Jumper.,59,49
7:43,2885,Abdul Lewis Turnover.,59,49
7:43,2885,Foul on Abdul Lewis.,59,49
7:43,322,Official TV Timeout,59,49
7:26,322,Hunter Janacek made Three Point Jumper. Assisted by Kyle Stout.,59,52
7:07,322,Foul on Nick Lindner.,59,52
7:07,2885,Damon Lynn made Free Throw.,60,52
7:07,2885,Damon Lynn made Free Throw.,61,52
6:56,322,Matt Klinewski made Layup.,61,54
6:39,2885,Damon Lynn made Jumper.,63,54
6:39,322,Foul on Kyle Stout.,63,54
6:39,2885,Damon Lynn made Free Throw.,64,54
6:24,322,Nick Lindner made Three Point Jumper.,64,57
6:08,322,Foul on Myles Cherry.,64,57
6:08,2885,Abdul Lewis missed Free Throw.,64,57
6:08,322,Matt Klinewski Defensive Rebound.,64,57
5:51,322,Hunter Janacek missed Three Point Jumper.,64,57
5:51,322,Matt Klinewski Offensive Rebound.,64,57
5:49,2885,Foul on Chris Jenkins.,64,57
5:49,322,Matt Klinewski made Free Throw.,64,58
5:49,322,Matt Klinewski made Free Throw.,64,59
5:36,322,Foul on Myles Cherry.,64,59
5:36,2885,Foul on Abdul Lewis.,64,59
5:23,2885,Shyquan Gibbs missed Three Point Jumper.,64,59
5:23,2885,Abdul Lewis Offensive Rebound.,64,59
5:19,2885,Abdul Lewis made Layup.,66,59
5:10,322,Lafayette  Timeout,66,59
4:51,322,Kyle Stout missed Three Point Jumper.,66,59
4:51,2885,Anthony Tarke Defensive Rebound.,66,59
4:31,2885,Damon Lynn made Three Point Jumper. Assisted by Abdul Lewis.,69,59
4:23,2885,Foul on Shyquan Gibbs.,69,59
4:23,322,Nick Lindner made Free Throw.,69,60
4:23,322,Nick Lindner made Free Throw.,69,61
4:09,322,Foul on Kyle Stout.,69,61
4:09,2885,Rob Ukawuba missed Free Throw.,69,61
4:09,2885,NJIT Deadball Team Rebound.,69,61
4:09,2885,Rob Ukawuba made Free Throw.,70,61
3:53,322,Matt Klinewski made Jumper. Assisted by Paulius Zalys.,70,63
3:25,322,Foul on Paulius Zalys.,70,63
3:25,322,Official TV Timeout,70,63
3:25,2885,Rob Ukawuba missed Free Throw.,70,63
3:25,2885,NJIT Deadball Team Rebound.,70,63
3:25,2885,Rob Ukawuba missed Free Throw.,70,63
3:25,322,Paulius Zalys Defensive Rebound.,70,63
3:13,322,Nick Lindner made Layup.,70,65
2:50,2885,Damon Lynn missed Three Point Jumper.,70,65
2:50,322,Kyle Stout Defensive Rebound.,70,65
2:41,322,Hunter Janacek made Three Point Jumper. Assisted by Nick Lindner.,70,68
2:13,2885,Shyquan Gibbs missed Jumper.,70,68
2:13,322,Paulius Zalys Defensive Rebound.,70,68
2:02,322,Nick Lindner made Three Point Jumper.,70,71
1:44,2885,Damon Lynn Turnover.,70,71
1:42,322,Hunter Janacek Steal.,70,71
1:40,322,Hunter Janacek made Layup. Assisted by Nick Lindner.,70,73
1:30,2885,NJIT  Timeout,70,73
1:21,322,Foul on Eric Stafford.,70,73
1:21,2885,Abdul Lewis made Free Throw.,71,73
1:21,2885,Abdul Lewis made Free Throw.,72,73
1:05,2885,Foul on Damon Lynn.,72,73
1:05,322,Nick Lindner made Free Throw.,72,74
1:05,322,Nick Lindner made Free Throw.,72,75
0:49,2885,Damon Lynn made Three Point Jumper.,75,75
0:48,2885,NJIT  Timeout,75,75
0:31,322,Nick Lindner made Layup.,75,77
0:31,322,Lafayette  Timeout,75,77
0:25,322,Foul on Auston Evans.,75,77
0:25,2885,Tim Coleman made Free Throw.,76,77
0:25,2885,Tim Coleman made Free Throw.,77,77
0:00,322,Paulius Zalys missed Three Point Jumper.,77,77
0:00,322,Lafayette Offensive Rebound.,77,77
0:00,322,End of 2nd half,77,77
4:42,2885,Foul on Shyquan Gibbs.,77,77
4:37,322,Nick Lindner made Free Throw.,77,78
4:37,322,Nick Lindner made Free Throw.,77,79
4:16,2885,Rob Ukawuba made Layup.,79,79
4:04,322,Kyle Stout missed Layup.,79,79
4:04,2885,Abdul Lewis Defensive Rebound.,79,79
3:46,322,Foul on Matt Klinewski.,79,79
3:46,2885,Abdul Lewis missed Free Throw.,79,79
