Radford,2006,Akron,2515
8:20,2006,Daniel Utomi missed Free Throw.,24,63
8:20,2006,Akron Deadball Team Rebound.,24,63
8:20,2006,Daniel Utomi made Free Throw.,24,64
8:05,2515,Devonnte Holland made Layup.,26,64
7:53,2006,Aaron Jackson missed Three Point Jumper.,26,64
7:53,2515,Caleb Tanner Defensive Rebound.,26,64
7:46,2515,Justin Cousin made Layup.,28,64
7:25,2006,Craig Eubanks Turnover.,28,64
7:24,2515,Ed Polite Jr. Steal.,28,64
7:23,2515,Caleb Tanner missed Three Point Jumper.,28,64
7:23,2515,Ed Polite Jr. Offensive Rebound.,28,64
7:17,2515,Radford  Timeout,28,64
6:40,2515,Randy Phillips made Layup.,30,64
6:29,2006,Foul on Daniel Utomi.,30,64
6:23,2515,Randy Phillips missed Free Throw.,30,64
6:23,2006,Aaron Jackson Defensive Rebound.,30,64
6:02,2006,Emmanuel Olojakpoke made Dunk. Assisted by Tavian Dunn-Martin.,30,66
6:02,2006,Foul on Daniel Utomi.,30,66
6:02,2515,Devin Cooper made Free Throw.,31,66
6:02,2515,Devin Cooper made Free Throw.,32,66
6:02,2515,Foul on Randy Phillips.,32,66
6:02,2006,Jimond Ivey made Free Throw.,32,67
6:02,2006,Jimond Ivey made Free Throw.,32,68
5:44,2515,Devin Cooper missed Jumper.,32,68
5:44,2006,Tavian Dunn-Martin Defensive Rebound.,32,68
5:34,2006,Emmanuel Olojakpoke missed Layup.,32,68
5:34,2006,Emmanuel Olojakpoke Offensive Rebound.,32,68
5:31,2006,Emmanuel Olojakpoke made Layup.,32,70
5:21,2006,Foul on Emmanuel Olojakpoke.,32,70
5:21,2515,Randy Phillips missed Free Throw.,32,70
5:21,2515,Radford Deadball Team Rebound.,32,70
5:21,2515,Randy Phillips missed Free Throw.,32,70
5:21,2006,Jimond Ivey Defensive Rebound.,32,70
5:02,2006,Jimond Ivey made Jumper.,32,72
4:51,2515,Ed Polite Jr. Turnover.,32,72
4:46,2006,Daniel Utomi made Three Point Jumper. Assisted by Antino Jackson.,32,75
4:36,2515,Caleb Tanner missed Three Point Jumper.,32,75
4:36,2515,Ed Polite Jr. Offensive Rebound.,32,75
4:26,2515,Justin Cousin made Layup.,34,75
3:57,2006,Daniel Utomi made Layup.,34,77
3:50,2515,Devin Cooper Turnover.,34,77
3:50,2515,Foul on Devin Cooper.,34,77
3:35,2515,Foul on Donald Hicks.,34,77
3:35,2006,Tavian Dunn-Martin made Free Throw.,34,78
3:35,2006,Tavian Dunn-Martin made Free Throw.,34,79
3:10,2515,Justin Cousin Turnover.,34,79
3:06,2006,Daniel Utomi Steal.,34,79
2:57,2006,Daniel Utomi made Layup.,34,81
2:57,2515,Foul on Ed Polite Jr..,34,81
2:57,2006,Daniel Utomi made Free Throw.,34,82
2:40,2006,Foul on Emmanuel Olojakpoke.,34,82
2:40,2515,Randy Phillips made Free Throw.,35,82
2:40,2515,Randy Phillips missed Free Throw.,35,82
2:40,2006,Daniel Utomi Defensive Rebound.,35,82
2:40,2515,Foul on Devonnte Holland.,35,82
2:40,2006,Daniel Utomi made Free Throw.,35,83
2:40,2006,Daniel Utomi missed Free Throw.,35,83
2:40,2515,Devonnte Holland Defensive Rebound.,35,83
2:27,2515,Christian Bradford missed Layup.,35,83
2:27,2515,Devonnte Holland Offensive Rebound.,35,83
2:20,2515,Devonnte Holland made Layup.,37,83
2:10,2006,Marquelle McIntyre Turnover.,37,83
2:07,2515,Ed Polite Jr. Steal.,37,83
2:06,2515,Christian Bradford made Layup. Assisted by Ed Polite Jr..,39,83
2:00,2006,Daniel Utomi Turnover.,39,83
1:42,2515,Devonnte Holland Turnover.,39,83
1:41,2006,Mark Noble Steal.,39,83
1:32,2006,Marquelle McIntyre Turnover.,39,83
1:30,2515,Ed Polite Jr. Steal.,39,83
1:28,2515,Ed Polite Jr. missed Layup.,39,83
1:28,2515,Christian Bradford Offensive Rebound.,39,83
1:23,2515,Christian Bradford made Layup.,41,83
1:18,2006,Craig Eubanks Turnover.,41,83
1:17,2515,Ed Polite Jr. Steal.,41,83
1:14,2515,Christian Bradford missed Layup.,41,83
1:14,2006,Carlitos Anderson Defensive Rebound.,41,83
1:04,2006,Marquelle McIntyre missed Layup.,41,83
1:04,2006,Marquelle McIntyre Offensive Rebound.,41,83
0:55,2515,Foul on Randy Phillips.,41,83
0:55,2006,Daniel Utomi made Free Throw.,41,84
0:55,2006,Daniel Utomi made Free Throw.,41,85
0:39,2515,Brian Rodriguez missed Jumper.,41,85
0:39,2515,Brian Rodriguez Offensive Rebound.,41,85
0:28,2515,Christian Bradford missed Layup.,41,85
0:28,2006,Craig Eubanks Block.,41,85
0:24,2006,Marquelle McIntyre Defensive Rebound.,41,85
0:18,2515,Foul on Brian Rodriguez.,41,85
0:18,2006,Marquelle McIntyre missed Free Throw.,41,85
0:18,2006,Akron Deadball Team Rebound.,41,85
0:18,2006,Marquelle McIntyre made Free Throw.,41,86
0:03,2515,Christian Bradford Turnover.,41,86
0:00,2006,Mark Noble Steal.,41,86
0:00,2006,Mark Noble made Layup.,41,88
0:00,2006,End of Game,41,86
