Northern Arizona,264,Washington,2464
7:01,264,Matisse Thybulle missed Three Point Jumper.,23,28
7:01,264,Washington Deadball Team Rebound.,23,28
6:58,2464,Foul on Felix Rivera-Vega.,23,28
6:48,264,Noah Dickerson missed Jumper.,23,28
6:48,264,Sam Timmins Offensive Rebound.,23,28
6:43,264,Sam Timmins made Jumper.,23,30
6:17,2464,Marcus DeBerry missed Three Point Jumper.,23,30
6:17,264,Matisse Thybulle Block.,23,30
6:17,2464,Northern Arizona Offensive Rebound.,23,30
6:14,2464,Mike Green missed Three Point Jumper.,23,30
6:14,264,Noah Dickerson Defensive Rebound.,23,30
5:52,2464,Foul on Jordyn Martin.,23,30
5:45,264,Matisse Thybulle missed Jumper.,23,30
5:45,264,Noah Dickerson Offensive Rebound.,23,30
5:42,264,Noah Dickerson missed Jumper.,23,30
5:42,264,Noah Dickerson Offensive Rebound.,23,30
5:39,264,Noah Dickerson made Jumper.,23,32
5:32,264,Foul on Matisse Thybulle.,23,32
5:22,2464,Jaleni Neely missed Three Point Jumper.,23,32
5:22,264,Washington Deadball Team Rebound.,23,32
5:19,2464,Foul on Ako Kaluna.,23,32
5:04,264,Malik Dime made Jumper.,23,34
4:48,2464,Mike Green missed Jumper.,23,34
4:48,264,Markelle Fultz Block.,23,34
4:48,2464,Northern Arizona Offensive Rebound.,23,34
4:38,2464,Mike Green made Three Point Jumper. Assisted by Marcus DeBerry.,26,34
4:20,2464,Foul on Corey Brown.,26,34
4:20,264,Carlos Johnson missed Free Throw.,26,34
4:20,264,Washington Deadball Team Rebound.,26,34
4:20,264,Carlos Johnson made Free Throw.,26,35
3:52,2464,Jordyn Martin missed Jumper.,26,35
3:52,264,Markelle Fultz Defensive Rebound.,26,35
3:45,264,Official TV Timeout,26,35
3:30,264,Malik Dime missed Layup.,26,35
3:30,2464,Felix Rivera-Vega Defensive Rebound.,26,35
3:09,2464,Marcus DeBerry missed Layup.,26,35
3:09,264,Devenir Duruisseau Defensive Rebound.,26,35
3:00,2464,Foul on Felix Rivera-Vega.,26,35
3:00,264,Markelle Fultz missed Free Throw.,26,35
3:00,264,Washington Deadball Team Rebound.,26,35
3:00,264,Markelle Fultz made Free Throw.,26,36
2:49,2464,Marcus DeBerry missed Jumper.,26,36
2:49,264,Noah Dickerson Defensive Rebound.,26,36
2:32,264,Noah Dickerson missed Jumper.,26,36
2:32,2464,Northern Arizona Deadball Team Rebound.,26,36
2:31,264,Foul on Noah Dickerson.,26,36
2:06,2464,Marcus DeBerry missed Jumper.,26,36
2:06,264,Devenir Duruisseau Defensive Rebound.,26,36
2:00,264,Devenir Duruisseau Turnover.,26,36
1:58,2464,Jaleni Neely Steal.,26,36
1:56,2464,Jaleni Neely missed Jumper.,26,36
1:56,264,Devenir Duruisseau Defensive Rebound.,26,36
1:36,264,Noah Dickerson missed Jumper.,26,36
1:36,2464,Brooks DeBisschop Defensive Rebound.,26,36
1:19,264,Foul on David Crisp.,26,36
1:19,2464,JoJo Anderson missed Free Throw.,26,36
1:19,2464,Brooks DeBisschop Offensive Rebound.,26,36
1:16,2464,Brooks DeBisschop missed Layup.,26,36
1:16,264,Devenir Duruisseau Defensive Rebound.,26,36
1:03,264,Devenir Duruisseau missed Jumper.,26,36
1:03,2464,Brooks DeBisschop Defensive Rebound.,26,36
0:38,2464,JoJo Anderson missed Three Point Jumper.,26,36
0:38,264,Markelle Fultz Defensive Rebound.,26,36
0:30,264,Dominic Green missed Three Point Jumper.,26,36
0:30,264,Carlos Johnson Offensive Rebound.,26,36
0:23,264,Noah Dickerson made Layup.,26,38
0:04,2464,Jaleni Neely missed Jumper.,26,38
0:04,264,Noah Dickerson Defensive Rebound.,26,38
0:00,264,End of 1st half,26,38
19:45,264,Foul on David Crisp.,26,38
19:45,2464,Jaleni Neely missed Free Throw.,26,38
19:45,2464,Northern Arizona Deadball Team Rebound.,26,38
19:45,2464,Jaleni Neely made Free Throw.,27,38
19:34,264,David Crisp made Jumper. Assisted by Sam Timmins.,27,40
19:11,2464,Ako Kaluna made Layup. Assisted by Marcus DeBerry.,29,40
19:09,264,Markelle Fultz made Jumper.,29,42
19:09,2464,Foul on Jordyn Martin.,29,42
19:09,264,Markelle Fultz made Free Throw.,29,43
18:41,2464,Jaleni Neely Turnover.,29,43
18:39,264,Sam Timmins Steal.,29,43
18:35,264,David Crisp missed Three Point Jumper.,29,43
18:35,264,Dominic Green Offensive Rebound.,29,43
18:30,264,Dominic Green missed Jumper.,29,43
18:30,264,Malik Dime Offensive Rebound.,29,43
18:17,264,Sam Timmins missed Jumper.,29,43
18:17,2464,Felix Rivera-Vega Defensive Rebound.,29,43
18:02,2464,Northern Arizona  Timeout,29,43
17:46,264,Foul on Sam Timmins.,29,43
17:29,2464,Chris Bowling missed Three Point Jumper.,29,43
17:29,2464,Corey Brown Offensive Rebound.,29,43
17:24,2464,Corey Brown missed Jumper.,29,43
17:24,264,Markelle Fultz Defensive Rebound.,29,43
17:19,264,Dominic Green missed Three Point Jumper.,29,43
17:19,2464,Brooks DeBisschop Defensive Rebound.,29,43
17:10,2464,JoJo Anderson Turnover.,29,43
17:01,2464,Foul on JoJo Anderson.,29,43
16:58,264,Dominic Green made Three Point Jumper. Assisted by Markelle Fultz.,29,46
16:27,2464,JoJo Anderson missed Three Point Jumper.,29,46
16:27,264,David Crisp Defensive Rebound.,29,46
16:15,264,Dominic Green missed Three Point Jumper.,29,46
16:15,2464,Northern Arizona Defensive Rebound.,29,46
15:42,2464,Brooks DeBisschop missed Jumper.,29,46
15:42,2464,Corey Brown Offensive Rebound.,29,46
15:37,2464,Corey Brown made Two Point Tip Shot.,31,46
15:27,264,Noah Dickerson missed Jumper.,31,46
15:27,264,Washington Offensive Rebound.,31,46
15:23,264,Official TV Timeout,31,46
15:19,264,Dominic Green missed Three Point Jumper.,31,46
15:19,264,Dominic Green Offensive Rebound.,31,46
15:15,264,Dominic Green made Layup.,31,48
15:15,2464,Foul on Felix Rivera-Vega.,31,48
15:15,264,Dominic Green made Free Throw.,31,49
15:03,2464,Marcus DeBerry made Layup. Assisted by Ako Kaluna.,33,49
14:46,264,Matthew Atewe missed Jumper.,33,49
14:46,2464,Jordyn Martin Defensive Rebound.,33,49
14:27,2464,Jaleni Neely missed Three Point Jumper.,33,49
14:27,264,Washington Defensive Rebound.,33,49
14:15,264,Foul on Dominic Green.,33,49
14:15,264,Dominic Green Turnover.,33,49
13:55,2464,Marcus DeBerry missed Three Point Jumper.,33,49
13:55,264,Matisse Thybulle Defensive Rebound.,33,49
13:45,264,Dominic Green missed Jumper.,33,49
13:45,2464,Ako Kaluna Defensive Rebound.,33,49
13:34,2464,Jordyn Martin Turnover.,33,49
13:24,264,Matisse Thybulle Turnover.,33,49
13:23,2464,Mike Green Steal.,33,49
13:18,264,Foul on Matisse Thybulle.,33,49
13:18,2464,Mike Green missed Free Throw.,33,49
13:18,2464,Northern Arizona Deadball Team Rebound.,33,49
13:18,2464,Mike Green made Free Throw.,34,49
12:58,2464,Foul on Jaleni Neely.,34,49
12:49,264,Matthew Atewe made Jumper.,34,51
12:34,2464,Jordyn Martin Turnover.,34,51
12:18,264,Matisse Thybulle made Layup.,34,53
12:18,2464,Foul on Corey Brown.,34,53
12:18,264,Matisse Thybulle made Free Throw.,34,54
11:59,2464,Corey Brown missed Jumper.,34,54
11:59,2464,Brooks DeBisschop Offensive Rebound.,34,54
11:54,2464,Marcus DeBerry missed Three Point Jumper.,34,54
11:54,264,Noah Dickerson Defensive Rebound.,34,54
11:41,264,Matisse Thybulle made Three Point Jumper. Assisted by Markelle Fultz.,34,57
11:20,2464,Marcus DeBerry missed Jumper.,34,57
11:20,264,Washington Defensive Rebound.,34,57
11:17,264,Official TV Timeout,34,57
11:05,264,Noah Dickerson made Layup. Assisted by Markelle Fultz.,34,59
10:52,2464,Felix Rivera-Vega Turnover.,34,59
10:50,264,Markelle Fultz Steal.,34,59
10:33,264,Markelle Fultz made Three Point Jumper. Assisted by Noah Dickerson.,34,62
10:14,2464,Corey Brown Turnover.,34,62
10:12,264,Matisse Thybulle Steal.,34,62
10:10,264,Markelle Fultz missed Layup.,34,62
10:10,264,Matisse Thybulle Offensive Rebound.,34,62
10:09,264,Matisse Thybulle made Two Point Tip Shot.,34,64
10:05,2464,Northern Arizona  Timeout,34,64
9:55,2464,Jaleni Neely Turnover.,34,64
9:53,264,Matisse Thybulle Steal.,34,64
9:51,264,Matisse Thybulle made Dunk.,34,66
9:35,2464,Chris Bowling Turnover.,34,66
9:34,264,Malik Dime Steal.,34,66
9:26,264,Matisse Thybulle made Jumper. Assisted by Markelle Fultz.,34,68
9:07,2464,Chris Bowling missed Jumper.,34,68
9:07,264,Noah Dickerson Defensive Rebound.,34,68
8:58,264,Markelle Fultz made Jumper.,34,70
8:53,2464,Northern Arizona  Timeout,34,70
8:34,2464,Ako Kaluna missed Jumper.,34,70
8:34,2464,Jordyn Martin Offensive Rebound.,34,70
8:28,2464,JoJo Anderson Turnover.,34,70
8:28,264,Markelle Fultz Steal.,34,70
8:21,264,Foul on Malik Dime.,34,70
8:21,264,Malik Dime Turnover.,34,70
8:13,2464,Chris Bowling missed Three Point Jumper.,34,70
8:13,264,Malik Dime Defensive Rebound.,34,70
7:59,264,Noah Dickerson Turnover.,34,70
7:56,264,Official TV Timeout,34,70
7:41,2464,Jaleni Neely missed Jumper.,34,70
7:41,264,Noah Dickerson Defensive Rebound.,34,70
7:33,264,Carlos Johnson made Dunk. Assisted by Markelle Fultz.,34,72
7:22,2464,Ako Kaluna made Layup. Assisted by JoJo Anderson.,36,72
7:07,264,Noah Dickerson missed Jumper.,36,72
7:07,2464,JoJo Anderson Defensive Rebound.,36,72
6:57,264,Foul on Markelle Fultz.,36,72
6:48,2464,Ako Kaluna made Jumper. Assisted by Chris Bowling.,38,72
6:37,264,Devenir Duruisseau made Layup. Assisted by Malik Dime.,38,74
6:20,2464,Jordyn Martin missed Jumper.,38,74
6:20,2464,Northern Arizona Offensive Rebound.,38,74
6:11,264,Foul on Carlos Johnson.,38,74
6:11,2464,Ako Kaluna made Free Throw.,39,74
6:11,2464,Ako Kaluna made Free Throw.,40,74
6:02,264,Malik Dime missed Jumper.,40,74
6:02,2464,Northern Arizona Deadball Team Rebound.,40,74
6:01,264,Foul on Devenir Duruisseau.,40,74
6:01,2464,JoJo Anderson missed Free Throw.,40,74
6:01,264,Bitumba Baruti Defensive Rebound.,40,74
5:48,264,Carlos Johnson made Layup.,40,76
5:40,264,Foul on Bitumba Baruti.,40,76
5:38,264,Washington  Timeout,40,76
5:38,2464,Corey Brown missed Free Throw.,40,76
5:38,264,Sam Timmins Defensive Rebound.,40,76
5:29,264,David Crisp made Layup.,40,78
5:11,2464,Ako Kaluna missed Three Point Jumper.,40,78
5:11,2464,JoJo Anderson Offensive Rebound.,40,78
5:07,264,Foul on Bitumba Baruti.,40,78
5:07,2464,JoJo Anderson made Free Throw.,41,78
5:07,2464,JoJo Anderson made Free Throw.,42,78
5:01,2464,Foul on Ako Kaluna.,42,78
4:55,264,David Crisp Turnover.,42,78
4:44,264,Foul on Devenir Duruisseau.,42,78
4:44,2464,JoJo Anderson missed Free Throw.,42,78
4:44,2464,Northern Arizona Deadball Team Rebound.,42,78
4:44,2464,JoJo Anderson missed Free Throw.,42,78
4:44,264,Carlos Johnson Defensive Rebound.,42,78
4:32,264,Carlos Johnson Turnover.,42,78
4:32,2464,Corey Brown Steal.,42,78
4:20,2464,Felix Rivera-Vega missed Three Point Jumper.,42,78
4:20,2464,Brooks DeBisschop Offensive Rebound.,42,78
4:10,2464,Brooks DeBisschop made Jumper.,44,78
3:59,264,Sam Timmins made Layup. Assisted by Bitumba Baruti.,44,80
3:59,2464,Foul on JoJo Anderson.,44,80
3:57,264,Official TV Timeout,44,80
3:57,264,Sam Timmins missed Free Throw.,44,80
3:57,2464,Corey Brown Defensive Rebound.,44,80
3:41,2464,Kye de Laveaga missed Three Point Jumper.,44,80
3:41,2464,JoJo Anderson Offensive Rebound.,44,80
3:34,2464,JoJo Anderson Turnover.,44,80
3:25,264,Bitumba Baruti made Layup.,44,82
3:20,2464,Felix Rivera-Vega made Three Point Jumper. Assisted by JoJo Anderson.,47,82
3:15,264,Bitumba Baruti Turnover.,47,82
3:05,2464,Brooks DeBisschop made Three Point Jumper. Assisted by JoJo Anderson.,50,82
2:46,264,Sam Timmins Turnover.,50,82
2:35,2464,Felix Rivera-Vega missed Three Point Jumper.,50,82
2:35,2464,Northern Arizona Deadball Team Rebound.,50,82
2:34,264,Foul on Greg Bowman.,50,82
2:34,2464,Corey Brown made Free Throw.,51,82
2:34,2464,Corey Brown made Free Throw.,52,82
2:21,264,Carlos Johnson made Layup.,52,84
2:07,2464,Felix Rivera-Vega made Three Point Jumper. Assisted by JoJo Anderson.,55,84
1:50,264,Greg Bowman missed Jumper.,55,84
1:50,264,Sam Timmins Offensive Rebound.,55,84
1:46,264,Sam Timmins made Layup.,55,86
1:46,2464,Foul on Brooks DeBisschop.,55,86
1:46,264,Sam Timmins missed Free Throw.,55,86
1:46,2464,JoJo Anderson Defensive Rebound.,55,86
1:27,2464,Felix Rivera-Vega missed Three Point Jumper.,55,86
1:27,264,Washington Deadball Team Rebound.,55,86
1:10,264,Dan Kingma missed Layup.,55,86
1:10,264,Greg Bowman Offensive Rebound.,55,86
1:07,264,Greg Bowman made Jumper.,55,88
0:56,2464,Felix Rivera-Vega made Dunk. Assisted by JoJo Anderson.,57,88
0:49,264,Carlos Johnson made Jumper.,57,90
0:36,2464,Kye de Laveaga missed Three Point Jumper.,57,90
0:36,264,Bitumba Baruti Defensive Rebound.,57,90
0:28,264,Dan Kingma missed Three Point Jumper.,57,90
0:28,264,Greg Bowman Offensive Rebound.,57,90
0:21,264,Carlos Johnson made Dunk. Assisted by Greg Bowman.,57,92
0:06,264,Foul on Bitumba Baruti.,57,92
0:06,2464,Brooks DeBisschop made Free Throw.,58,92
0:06,2464,Brooks DeBisschop missed Free Throw.,58,92
0:06,264,Carlos Johnson Defensive Rebound.,58,92
0:00,264,End of Game,58,92
