Massachusetts,107,Holy Cross,113
14:09,113,Rashaan Holloway made Layup. Assisted by Donte Clark.,12,2
14:08,107,Holy Cross  Timeout,12,2
13:57,107,Holy Cross  Turnover.,12,2
13:48,113,Luwane Pipkins Turnover.,12,2
13:48,113,Foul on Luwane Pipkins.,12,2
13:40,113,Foul on Tyrn Flowers.,12,2
13:38,107,Matt Husek made Three Point Jumper. Assisted by Karl Charles.,12,5
13:12,113,Luwane Pipkins missed Three Point Jumper.,12,5
13:12,107,Robert Champion Defensive Rebound.,12,5
12:55,107,Robert Champion made Three Point Jumper. Assisted by Matt Husek.,12,8
12:31,113,Tyrn Flowers missed Three Point Jumper.,12,8
12:31,107,Robert Champion Defensive Rebound.,12,8
12:18,113,Foul on Malik Hines.,12,8
12:18,107,Matt Husek missed Free Throw.,12,8
12:18,107,Holy Cross Deadball Team Rebound.,12,8
12:18,107,Matt Husek made Free Throw.,12,9
11:49,113,Zach Lewis made Three Point Jumper. Assisted by Dejon Jarreau.,15,9
11:16,107,Matt Husek Turnover.,15,9
11:16,107,Foul on Matt Husek.,15,9
11:16,113,Massachusetts  Timeout,15,9
11:08,113,Dejon Jarreau Turnover.,15,9
11:06,107,Robert Champion Steal.,15,9
10:54,107,Malachi Alexander missed Three Point Jumper.,15,9
10:54,107,Patrick Benzan Offensive Rebound.,15,9
10:37,107,Karl Charles made Layup.,15,11
10:17,113,Zach Lewis missed Three Point Jumper.,15,11
10:17,113,Seth Berger Offensive Rebound.,15,11
10:12,113,Dejon Jarreau missed Three Point Jumper.,15,11
10:12,107,Matt Husek Defensive Rebound.,15,11
9:56,107,Matt Husek missed Three Point Jumper.,15,11
9:56,113,Malik Hines Defensive Rebound.,15,11
9:46,113,Dejon Jarreau Turnover.,15,11
9:42,113,Foul on Luwane Pipkins.,15,11
9:30,107,Patrick Benzan missed Jumper.,15,11
9:30,113,Zach Lewis Defensive Rebound.,15,11
9:21,113,Luwane Pipkins made Three Point Jumper. Assisted by Zach Lewis.,18,11
8:53,107,Patrick Benzan made Layup. Assisted by Jehyve Floyd.,18,13
8:26,113,Zach Lewis missed Layup.,18,13
8:26,107,Robert Champion Defensive Rebound.,18,13
8:16,113,Foul on Zach Lewis.,18,13
8:16,107,Patrick Benzan made Free Throw.,18,14
8:16,107,Patrick Benzan made Free Throw.,18,15
7:55,113,Donte Clark missed Three Point Jumper.,18,15
7:55,107,Jehyve Floyd Defensive Rebound.,18,15
7:32,107,Jehyve Floyd Turnover.,18,15
7:32,113,Zach Lewis Steal.,18,15
7:28,113,Zach Lewis made Layup.,20,15
7:08,107,Patrick Benzan missed Layup.,20,15
7:08,113,Chris Baldwin Block.,20,15
7:06,113,Chris Baldwin Defensive Rebound.,20,15
7:01,113,Donte Clark made Layup.,22,15
7:01,107,Foul on Patrick Benzan.,22,15
7:01,113,Donte Clark made Free Throw.,23,15
6:47,113,Foul on Tyrn Flowers.,23,15
6:47,107,Karl Charles made Free Throw.,23,16
6:47,107,Karl Charles missed Free Throw.,23,16
6:47,113,Chris Baldwin Defensive Rebound.,23,16
6:33,113,Tyrn Flowers missed Three Point Jumper.,23,16
6:33,107,Karl Charles Defensive Rebound.,23,16
6:05,107,Matt Husek missed Jumper.,23,16
6:05,113,Tyrn Flowers Defensive Rebound.,23,16
5:45,113,Donte Clark made Layup.,25,16
5:12,107,Anthony Thompson missed Three Point Jumper.,25,16
5:12,113,Donte Clark Defensive Rebound.,25,16
5:04,113,Zach Lewis missed Three Point Jumper.,25,16
5:04,107,Anthony Thompson Defensive Rebound.,25,16
4:45,107,Anthony Thompson missed Layup.,25,16
4:45,113,Tyrn Flowers Block.,25,16
4:43,113,Donte Clark Defensive Rebound.,25,16
4:41,113,Donte Clark missed Three Point Jumper.,25,16
4:41,107,Patrick Benzan Defensive Rebound.,25,16
4:34,113,Foul on Donte Clark.,25,16
4:34,107,Anthony Thompson missed Free Throw.,25,16
4:34,107,Holy Cross Deadball Team Rebound.,25,16
4:34,107,Anthony Thompson made Free Throw.,25,17
4:19,113,C.J. Anderson Turnover.,25,17
4:18,107,Patrick Benzan Steal.,25,17
4:16,107,Patrick Benzan made Layup.,25,19
4:00,113,Tyrn Flowers missed Three Point Jumper.,25,19
4:00,113,C.J. Anderson Offensive Rebound.,25,19
3:49,113,Dejon Jarreau missed Three Point Jumper.,25,19
3:49,107,Holy Cross Deadball Team Rebound.,25,19
3:47,113,Foul on Rashaan Holloway.,25,19
3:47,107,Holy Cross  Timeout,25,19
3:47,107,Robert Champion made Free Throw.,25,20
3:47,107,Robert Champion made Free Throw.,25,21
3:24,113,C.J. Anderson Turnover.,25,21
3:23,107,Malachi Alexander Steal.,25,21
3:09,107,Malachi Alexander missed Three Point Jumper.,25,21
3:09,113,Seth Berger Defensive Rebound.,25,21
3:03,107,Foul on Karl Charles.,25,21
3:00,113,Rashaan Holloway made Layup.,27,21
3:00,107,Foul on Robert Champion.,27,21
3:00,113,Rashaan Holloway missed Free Throw.,27,21
3:00,107,Patrick Benzan Defensive Rebound.,27,21
2:38,107,Robert Champion made Three Point Jumper. Assisted by Malachi Alexander.,27,24
2:18,113,Rashaan Holloway Turnover.,27,24
2:16,107,Patrick Benzan Steal.,27,24
1:59,107,Malachi Alexander made Three Point Jumper. Assisted by Robert Champion.,27,27
1:40,113,Seth Berger Turnover.,27,27
1:27,107,Robert Champion missed Three Point Jumper.,27,27
1:27,107,Karl Charles Offensive Rebound.,27,27
1:04,107,Anthony Thompson missed Three Point Jumper.,27,27
1:04,113,Chris Baldwin Defensive Rebound.,27,27
0:56,107,Foul on Anthony Thompson.,27,27
0:45,113,Dejon Jarreau Turnover.,27,27
0:44,107,Anthony Thompson Steal.,27,27
0:29,107,Malachi Alexander missed Three Point Jumper.,27,27
0:29,113,C.J. Anderson Defensive Rebound.,27,27
0:15,113,Massachusetts  Timeout,27,27
0:03,113,Luwane Pipkins missed Three Point Jumper.,27,27
0:03,107,Karl Charles Defensive Rebound.,27,27
0:00,107,End of 1st half,27,27
19:50,113,Rashaan Holloway Turnover.,27,27
19:49,107,Patrick Benzan Steal.,27,27
19:44,107,Robert Champion missed Layup.,27,27
19:44,107,Holy Cross Offensive Rebound.,27,27
19:40,107,Malachi Alexander missed Jumper.,27,27
19:40,113,Donte Clark Defensive Rebound.,27,27
19:30,107,Foul on Malachi Alexander.,27,27
19:30,113,Rashaan Holloway made Free Throw.,28,27
19:30,113,Rashaan Holloway made Free Throw.,29,27
19:04,113,Foul on Rashaan Holloway.,29,27
19:04,107,Malachi Alexander made Free Throw.,29,28
19:04,107,Malachi Alexander missed Free Throw.,29,28
19:04,113,Donte Clark Defensive Rebound.,29,28
18:43,113,Rashaan Holloway missed Layup.,29,28
18:43,107,Patrick Benzan Defensive Rebound.,29,28
18:33,107,Karl Charles missed Three Point Jumper.,29,28
18:33,107,Malachi Alexander Offensive Rebound.,29,28
18:08,107,Robert Champion missed Three Point Jumper.,29,28
18:08,113,Luwane Pipkins Defensive Rebound.,29,28
18:01,113,Luwane Pipkins Turnover.,29,28
18:00,107,Robert Champion Steal.,29,28
17:56,107,Robert Champion missed Layup.,29,28
17:56,107,Patrick Benzan Offensive Rebound.,29,28
17:52,107,Anthony Thompson made Three Point Jumper. Assisted by Patrick Benzan.,29,31
17:42,113,Massachusetts  Timeout,29,31
17:34,107,Foul on Patrick Benzan.,29,31
17:34,113,Dejon Jarreau made Free Throw.,30,31
17:34,113,Dejon Jarreau made Free Throw.,31,31
17:34,113,Dejon Jarreau made Free Throw.,32,31
17:34,107,Holy Cross  Timeout,32,31
17:09,107,Malachi Alexander made Jumper.,32,33
16:40,113,Luwane Pipkins missed Three Point Jumper.,32,33
16:40,107,Patrick Benzan Defensive Rebound.,32,33
16:21,107,Robert Champion missed Three Point Jumper.,32,33
16:21,113,Zach Lewis Defensive Rebound.,32,33
16:09,113,Seth Berger made Dunk. Assisted by Luwane Pipkins.,34,33
15:40,113,Foul on Seth Berger.,34,33
15:40,107,Holy Cross  Timeout,34,33
15:40,107,Karl Charles made Free Throw.,34,34
15:40,107,Karl Charles made Free Throw.,34,35
15:14,113,Donte Clark missed Jumper.,34,35
15:14,107,Patrick Benzan Defensive Rebound.,34,35
15:10,113,Foul on Zach Lewis.,34,35
15:02,107,Anthony Thompson missed Three Point Jumper.,34,35
15:02,113,Donte Clark Defensive Rebound.,34,35
14:57,107,Foul on Robert Champion.,34,35
14:57,113,Zach Lewis made Free Throw.,35,35
14:57,113,Zach Lewis made Free Throw.,36,35
14:57,113,Zach Lewis made Free Throw.,37,35
14:45,107,Robert Champion missed Layup.,37,35
14:45,113,Massachusetts Defensive Rebound.,37,35
14:39,113,Zach Lewis Turnover.,37,35
14:39,113,Foul on Zach Lewis.,37,35
14:32,113,Foul on Dejon Jarreau.,37,35
14:27,113,Foul on C.J. Anderson.,37,35
14:27,113,Foul on C.J. Anderson.,37,35
14:27,107,Malachi Alexander missed Free Throw.,37,35
14:27,113,Chris Baldwin Defensive Rebound.,37,35
14:21,107,Foul on Karl Charles.,37,35
14:16,113,C.J. Anderson Turnover.,37,35
13:51,107,Matt Husek missed Jumper.,37,35
13:51,113,Massachusetts Defensive Rebound.,37,35
13:41,107,Foul on Malachi Alexander.,37,35
13:40,113,Luwane Pipkins made Three Point Jumper. Assisted by Dejon Jarreau.,40,35
13:26,107,Malachi Alexander Turnover.,40,35
13:25,113,Seth Berger Steal.,40,35
13:22,107,Foul on Malachi Alexander.,40,35
13:22,113,Luwane Pipkins missed Free Throw.,40,35
13:22,113,Massachusetts Deadball Team Rebound.,40,35
13:22,113,Luwane Pipkins made Free Throw.,41,35
12:56,107,Anthony Thompson missed Layup.,41,35
12:56,113,Rashaan Holloway Defensive Rebound.,41,35
12:40,113,Donte Clark made Three Point Jumper. Assisted by Dejon Jarreau.,44,35
12:38,107,Holy Cross  Timeout,44,35
12:25,107,Karl Charles Turnover.,44,35
12:12,113,Luwane Pipkins Turnover.,44,35
12:11,107,Karl Charles Steal.,44,35
11:59,107,Anthony Thompson made Three Point Jumper. Assisted by Malachi Alexander.,44,38
11:43,113,Donte Clark made Three Point Jumper. Assisted by Seth Berger.,47,38
11:21,107,Robert Champion missed Three Point Jumper.,47,38
11:21,113,Dejon Jarreau Defensive Rebound.,47,38
11:10,113,Dejon Jarreau Turnover.,47,38
10:53,107,Patrick Benzan missed Layup.,47,38
10:53,113,Dejon Jarreau Defensive Rebound.,47,38
10:40,113,Donte Clark missed Three Point Jumper.,47,38
10:40,107,Karl Charles Defensive Rebound.,47,38
10:15,107,Anthony Thompson made Layup.,47,40
10:15,113,Foul on Dejon Jarreau.,47,40
10:15,107,Holy Cross  Timeout,47,40
10:15,107,Anthony Thompson made Free Throw.,47,41
9:59,113,Luwane Pipkins missed Three Point Jumper.,47,41
9:59,107,Malachi Alexander Defensive Rebound.,47,41
9:37,107,Malachi Alexander missed Layup.,47,41
9:37,113,Rashaan Holloway Defensive Rebound.,47,41
9:28,107,Foul on Patrick Benzan.,47,41
9:28,113,Seth Berger missed Free Throw.,47,41
9:28,113,Massachusetts Deadball Team Rebound.,47,41
9:28,113,Seth Berger made Free Throw.,48,41
9:11,107,Robert Champion missed Layup.,48,41
9:11,113,Rashaan Holloway Defensive Rebound.,48,41
9:01,113,Donte Clark Turnover.,48,41
9:01,107,Patrick Benzan Steal.,48,41
9:01,113,Foul on Zach Lewis.,48,41
9:01,113,Technical Foul on Donte Clark.,48,41
9:01,107,Anthony Thompson missed Free Throw.,48,41
9:01,107,Holy Cross Deadball Team Rebound.,48,41
9:01,107,Anthony Thompson missed Free Throw.,48,41
9:01,107,Holy Cross Deadball Team Rebound.,48,41
9:01,107,Patrick Benzan made Free Throw.,48,42
9:01,107,Patrick Benzan made Free Throw.,48,43
8:33,113,Seth Berger made Layup. Assisted by Donte Clark.,50,43
8:11,107,Karl Charles made Layup. Assisted by Robert Champion.,50,45
8:11,113,Foul on Rashaan Holloway.,50,45
8:11,107,Karl Charles made Free Throw.,50,46
7:56,113,Dejon Jarreau Turnover.,50,46
7:56,107,Holy Cross  Timeout,50,46
7:34,107,Anthony Thompson made Layup.,50,48
7:16,113,Luwane Pipkins missed Three Point Jumper.,50,48
7:16,107,Robert Champion Defensive Rebound.,50,48
7:00,107,Patrick Benzan made Layup. Assisted by Malachi Alexander.,50,50
6:48,113,Massachusetts  Timeout,50,50
6:33,113,Donte Clark made Jumper.,52,50
6:15,107,Patrick Benzan missed Jumper.,52,50
6:15,113,Rashaan Holloway Defensive Rebound.,52,50
6:00,113,Seth Berger made Layup. Assisted by Zach Lewis.,54,50
5:41,107,Malachi Alexander missed Three Point Jumper.,54,50
5:41,113,Seth Berger Defensive Rebound.,54,50
5:27,107,Foul on Malachi Alexander.,54,50
5:27,113,Donte Clark made Free Throw.,55,50
5:27,113,Donte Clark made Free Throw.,56,50
5:13,107,Anthony Thompson missed Layup.,56,50
5:13,113,Rashaan Holloway Defensive Rebound.,56,50
5:04,113,Seth Berger made Dunk. Assisted by Luwane Pipkins.,58,50
4:44,107,Robert Champion missed Three Point Jumper.,58,50
4:44,113,Luwane Pipkins Defensive Rebound.,58,50
4:19,113,Seth Berger Turnover.,58,50
4:04,107,Robert Champion missed Layup.,58,50
4:04,113,Rashaan Holloway Defensive Rebound.,58,50
3:56,113,Zach Lewis made Three Point Jumper. Assisted by Luwane Pipkins.,61,50
3:54,107,Holy Cross  Timeout,61,50
3:33,107,Malachi Alexander missed Layup.,61,50
3:33,113,Donte Clark Defensive Rebound.,61,50
3:25,113,Donte Clark Turnover.,61,50
3:25,113,Foul on Donte Clark.,61,50
3:01,107,Robert Champion missed Three Point Jumper.,61,50
3:01,107,Patrick Benzan Offensive Rebound.,61,50
2:57,107,Patrick Benzan made Layup.,61,52
2:42,113,Seth Berger Turnover.,61,52
2:41,107,Karl Charles Steal.,61,52
2:33,107,Robert Champion Turnover.,61,52
2:30,113,Seth Berger Steal.,61,52
2:29,113,Seth Berger made Layup.,63,52
2:15,107,Malachi Alexander missed Jumper.,63,52
2:15,113,Luwane Pipkins Defensive Rebound.,63,52
2:08,113,Zach Lewis made Jumper. Assisted by Luwane Pipkins.,65,52
1:49,107,Malachi Alexander made Three Point Jumper. Assisted by Karl Charles.,65,55
1:19,113,Rashaan Holloway made Layup. Assisted by Luwane Pipkins.,67,55
1:04,113,Foul on Rashaan Holloway.,67,55
1:04,107,Malachi Alexander missed Free Throw.,67,55
1:04,107,Holy Cross Deadball Team Rebound.,67,55
1:04,107,Malachi Alexander missed Free Throw.,67,55
1:04,113,Rashaan Holloway Defensive Rebound.,67,55
1:03,113,Rashaan Holloway Turnover.,67,55
0:58,113,Foul on Rashaan Holloway.,67,55
0:58,107,Malachi Alexander missed Free Throw.,67,55
0:58,107,Holy Cross Deadball Team Rebound.,67,55
0:58,107,Malachi Alexander made Free Throw.,67,56
0:58,107,Malachi Alexander made Free Throw.,67,57
0:56,107,Foul on Anthony Thompson.,67,57
0:56,113,Luwane Pipkins made Free Throw.,68,57
0:56,113,Luwane Pipkins missed Free Throw.,68,57
0:56,107,Karl Charles Defensive Rebound.,68,57
0:46,107,Matt Zignorski missed Three Point Jumper.,68,57
0:46,113,Chris Baldwin Defensive Rebound.,68,57
0:14,113,Zach Lewis missed Three Point Jumper.,68,57
0:14,107,Patrick Benzan Defensive Rebound.,68,57
0:05,107,Malachi Alexander made Three Point Jumper. Assisted by Anthony Thompson.,68,60
0:00,107,End of Game,68,60
