New Hampshire,277,West Virginia,160
1:21,277,Tarik Phillip made Free Throw.,17,42
1:21,277,Tarik Phillip made Free Throw.,17,43
1:03,160,Jordan Reed made Three Point Jumper. Assisted by Iba Camara.,20,43
0:42,277,Jevon Carter missed Three Point Jumper.,20,43
0:42,160,Iba Camara Defensive Rebound.,20,43
0:23,160,Jaleen Smith Turnover.,20,43
0:03,277,James Bolden made Three Point Jumper. Assisted by Lamont West.,20,46
0:00,277,End of 1st half,20,46
19:45,160,Tanner Leissner missed Jumper.,20,46
19:45,160,Tanner Leissner Offensive Rebound.,20,46
19:36,160,Tanner Leissner made Layup.,22,46
19:21,277,Nathan Adrian made Three Point Jumper. Assisted by Jevon Carter.,22,49
19:00,160,Jordan Reed Turnover.,22,49
18:34,277,Tarik Phillip missed Three Point Jumper.,22,49
18:34,277,Nathan Adrian Offensive Rebound.,22,49
18:21,277,Jevon Carter Turnover.,22,49
18:20,160,Daniel Dion Turnover.,22,49
18:20,277,Sagaba Konate Steal.,22,49
18:19,160,Foul on Kijana Love.,22,49
18:19,277,Nathan Adrian missed Layup.,22,49
18:19,160,Iba Camara Block.,22,49
18:19,277,Esa Ahmad Offensive Rebound.,22,49
18:05,277,Jevon Carter missed Layup.,22,49
18:05,160,Iba Camara Block.,22,49
18:04,160,Iba Camara Defensive Rebound.,22,49
18:03,160,Iba Camara Turnover.,22,49
18:03,277,Jevon Carter Steal.,22,49
18:01,160,Foul on Jaleen Smith.,22,49
17:59,160,Foul on Iba Camara.,22,49
17:59,277,Sagaba Konate missed Free Throw.,22,49
17:59,277,West Virginia Deadball Team Rebound.,22,49
17:59,277,Sagaba Konate missed Free Throw.,22,49
17:59,160,Iba Camara Defensive Rebound.,22,49
17:56,160,Iba Camara Turnover.,22,49
17:53,277,Nathan Adrian missed Three Point Jumper.,22,49
17:53,277,Esa Ahmad Offensive Rebound.,22,49
17:52,160,Foul on Jaleen Smith.,22,49
17:52,277,Esa Ahmad made Free Throw.,22,50
17:52,277,Esa Ahmad made Free Throw.,22,51
17:45,160,New Hampshire  Timeout,22,51
17:24,160,Tanner Leissner made Jumper.,24,51
16:54,277,Nathan Adrian missed Layup.,24,51
16:54,277,Nathan Adrian Offensive Rebound.,24,51
16:47,277,West Virginia  Turnover.,24,51
16:35,160,Kijana Love made Three Point Jumper. Assisted by Keon Burns.,27,51
16:12,277,Esa Ahmad missed Three Point Jumper.,27,51
16:12,277,Esa Ahmad Offensive Rebound.,27,51
16:11,160,Foul on Keon Burns.,27,51
16:11,277,Esa Ahmad made Free Throw.,27,52
16:11,277,Esa Ahmad made Free Throw.,27,53
16:00,160,Iba Camara missed Layup.,27,53
16:00,277,Nathan Adrian Defensive Rebound.,27,53
15:47,277,Nathan Adrian made Layup. Assisted by Esa Ahmad.,27,55
15:30,160,Keon Burns missed Three Point Jumper.,27,55
15:30,277,Nathan Adrian Defensive Rebound.,27,55
15:10,277,Jevon Carter missed Three Point Jumper.,27,55
15:10,160,Tanner Leissner Defensive Rebound.,27,55
14:59,160,Keon Burns Turnover.,27,55
14:58,277,Lamont West Steal.,27,55
14:35,277,Nathan Adrian missed Three Point Jumper.,27,55
14:35,160,Iba Camara Defensive Rebound.,27,55
14:19,277,Official TV Timeout,27,55
14:10,160,Daniel Dion missed Three Point Jumper.,27,55
14:10,277,West Virginia Defensive Rebound.,27,55
13:44,277,Teyvon Myers missed Three Point Jumper.,27,55
13:44,160,Tanner Leissner Defensive Rebound.,27,55
13:31,160,Kijana Love missed Three Point Jumper.,27,55
13:31,277,Tarik Phillip Defensive Rebound.,27,55
13:20,277,Lamont West made Layup. Assisted by Tarik Phillip.,27,57
13:05,160,Kijana Love Turnover.,27,57
13:04,277,Tarik Phillip Steal.,27,57
12:55,277,Nathan Adrian made Three Point Jumper. Assisted by Tarik Phillip.,27,60
12:35,160,Daniel Dion missed Three Point Jumper.,27,60
12:35,160,New Hampshire Offensive Rebound.,27,60
12:23,160,David Watkins missed Three Point Jumper.,27,60
12:23,160,John Ogwuche Offensive Rebound.,27,60
12:13,277,Foul on Maciej Bender.,27,60
12:13,160,John Ogwuche made Free Throw.,28,60
12:13,160,John Ogwuche made Free Throw.,29,60
11:54,277,Lamont West made Jumper.,29,62
11:39,160,Jaleen Smith missed Layup.,29,62
11:39,277,Teyvon Myers Defensive Rebound.,29,62
11:31,277,Teyvon Myers Turnover.,29,62
11:31,277,Official TV Timeout,29,62
11:17,160,Daniel Dion missed Three Point Jumper.,29,62
11:17,277,Jevon Carter Defensive Rebound.,29,62
11:09,277,Teyvon Myers missed Layup.,29,62
11:09,160,New Hampshire Defensive Rebound.,29,62
11:06,277,Foul on Maciej Bender.,29,62
11:06,160,David Watkins missed Free Throw.,29,62
11:06,160,New Hampshire Deadball Team Rebound.,29,62
11:06,160,David Watkins made Free Throw.,30,62
10:42,277,Lamont West missed Jumper.,30,62
10:42,160,Jaleen Smith Defensive Rebound.,30,62
10:23,160,David Watkins Turnover.,30,62
10:21,277,Jevon Carter Steal.,30,62
10:19,277,Esa Ahmad made Dunk. Assisted by Jevon Carter.,30,64
10:18,160,Foul on Daniel Dion.,30,64
10:18,277,Esa Ahmad missed Free Throw.,30,64
10:18,160,Tanner Leissner Defensive Rebound.,30,64
10:06,277,Foul on Jevon Carter.,30,64
9:57,277,Foul on Esa Ahmad.,30,64
9:57,160,Tanner Leissner made Free Throw.,31,64
9:57,160,Tanner Leissner made Free Throw.,32,64
9:32,277,Teyvon Myers made Jumper.,32,66
9:05,160,Tanner Leissner missed Three Point Jumper.,32,66
9:05,277,Sagaba Konate Defensive Rebound.,32,66
8:51,277,Teyvon Myers made Jumper.,32,68
8:51,160,Foul on Daniel Dion.,32,68
8:51,277,Teyvon Myers missed Free Throw.,32,68
8:51,160,Tanner Leissner Defensive Rebound.,32,68
8:44,160,Daniel Dion made Three Point Jumper. Assisted by Jaleen Smith.,35,68
8:26,277,Jevon Carter Turnover.,35,68
8:20,160,Jaleen Smith Turnover.,35,68
8:18,277,Sagaba Konate Steal.,35,68
8:16,277,Jevon Carter made Three Point Jumper. Assisted by Nathan Adrian.,35,71
8:01,160,Jaleen Smith Turnover.,35,71
8:00,277,Teyvon Myers Steal.,35,71
7:50,277,Sagaba Konate made Layup. Assisted by Teyvon Myers.,35,73
7:39,160,Jaleen Smith Turnover.,35,73
7:39,160,Foul on Jaleen Smith.,35,73
7:39,277,Official TV Timeout,35,73
7:39,277,Esa Ahmad missed Layup.,35,73
7:39,277,Nathan Adrian Offensive Rebound.,35,73
7:12,160,Foul on Jordan Reed.,35,73
7:12,277,Tarik Phillip made Free Throw.,35,74
7:12,277,Tarik Phillip missed Free Throw.,35,74
7:12,160,Iba Camara Defensive Rebound.,35,74
7:07,160,Kijana Love Turnover.,35,74
7:04,277,Tarik Phillip Steal.,35,74
7:02,277,Nathan Adrian missed Jumper.,35,74
7:02,160,Tanner Leissner Defensive Rebound.,35,74
6:55,160,Iba Camara made Layup. Assisted by Daniel Dion.,37,74
6:44,277,Chase Harler made Three Point Jumper.,37,77
6:27,160,Daniel Dion Turnover.,37,77
6:26,277,James Long Steal.,37,77
6:25,277,Lamont West made Three Point Jumper. Assisted by James Long.,37,80
6:02,160,Kijana Love missed Jumper.,37,80
6:02,277,Tarik Phillip Defensive Rebound.,37,80
5:37,277,Lamont West made Three Point Jumper. Assisted by James Long.,37,83
5:20,160,Kijana Love Turnover.,37,83
5:16,277,Chase Harler missed Three Point Jumper.,37,83
5:16,160,John Ogwuche Defensive Rebound.,37,83
5:15,277,Foul on Lamont West.,37,83
5:03,160,Daniel Dion missed Three Point Jumper.,37,83
5:03,277,Esa Ahmad Defensive Rebound.,37,83
4:38,277,James Long made Three Point Jumper. Assisted by Lamont West.,37,86
4:28,160,Kijana Love Turnover.,37,86
4:27,277,Lamont West missed Three Point Jumper.,37,86
4:27,160,Iba Camara Defensive Rebound.,37,86
4:25,277,Foul on Logan Routt.,37,86
4:21,160,Iba Camara missed Dunk.,37,86
4:21,277,Logan Routt Defensive Rebound.,37,86
4:13,277,Chase Harler Turnover.,37,86
4:13,277,Foul on Chase Harler.,37,86
4:13,160,Kijana Love Turnover.,37,86
4:13,277,James Long Steal.,37,86
4:11,160,Foul on Kijana Love.,37,86
4:11,277,Lamont West made Free Throw.,37,87
4:11,277,Lamont West missed Free Throw.,37,87
4:11,160,Iba Camara Defensive Rebound.,37,87
4:11,277,Foul on Logan Routt.,37,87
4:11,160,Iba Camara missed Free Throw.,37,87
4:11,160,Tanner Leissner Offensive Rebound.,37,87
4:06,160,Tanner Leissner missed Jumper.,37,87
4:06,277,Lamont West Defensive Rebound.,37,87
3:44,277,James Long made Three Point Jumper. Assisted by James Bolden.,37,90
3:23,160,Iba Camara Turnover.,37,90
3:23,277,Official TV Timeout,37,90
2:58,277,James Long missed Jumper.,37,90
2:58,277,Logan Routt Offensive Rebound.,37,90
2:55,277,Logan Routt made Layup.,37,92
2:45,160,Kijana Love Turnover.,37,92
2:44,277,Chase Harler Steal.,37,92
2:41,277,Maciej Bender made Jumper. Assisted by Chase Harler.,37,94
2:37,277,Foul on Chase Harler.,37,94
2:37,160,Daniel Dion missed Free Throw.,37,94
2:37,277,Maciej Bender Defensive Rebound.,37,94
2:14,277,James Long Turnover.,37,94
2:12,160,Tanner Leissner Steal.,37,94
2:07,160,Kijana Love Turnover.,37,94
2:07,160,Foul on Kijana Love.,37,94
1:45,277,James Bolden Turnover.,37,94
1:44,160,Tanner Leissner Steal.,37,94
1:38,160,Daniel Dion Turnover.,37,94
1:36,277,James Long Steal.,37,94
1:31,277,James Bolden made Three Point Jumper.,37,97
1:15,160,Iba Camara missed Layup.,37,97
1:15,277,Logan Routt Block.,37,97
1:15,160,New Hampshire Offensive Rebound.,37,97
1:15,160,Tanner Leissner missed Jumper.,37,97
1:15,160,New Hampshire Offensive Rebound.,37,97
0:57,160,Kijana Love Turnover.,37,97
0:49,277,Chase Harler made Three Point Jumper. Assisted by James Bolden.,37,100
0:38,160,John Ogwuche made Jumper.,39,100
0:15,277,James Bolden missed Three Point Jumper.,39,100
0:15,160,John Ogwuche Defensive Rebound.,39,100
0:08,160,Kijana Love missed Three Point Jumper.,39,100
0:08,160,John Ogwuche Offensive Rebound.,39,100
0:00,160,Kijana Love made Jumper.,41,100
0:00,277,End of Game,41,100
