Davidson,9,Arizona State,2166
7:35,2166,Foul on Jon Axel Gudmundsson.,15,16
7:35,9,Official TV Timeout,15,16
7:24,9,Sam Cunliffe Turnover.,15,16
7:24,2166,Jack Gibbs Steal.,15,16
7:18,2166,Jack Gibbs made Layup.,17,16
7:18,9,Foul on Shannon Evans II.,17,16
7:18,2166,Jack Gibbs made Free Throw.,18,16
7:04,9,Torian Graham missed Three Point Jumper.,18,16
7:04,2166,Peyton Aldridge Defensive Rebound.,18,16
6:43,2166,Nathan Ekwu Turnover.,18,16
6:24,9,Tra Holder missed Jumper.,18,16
6:24,2166,Nathan Ekwu Defensive Rebound.,18,16
6:09,2166,Rusty Reigel Turnover.,18,16
5:49,9,Obinna Oleka missed Layup.,18,16
5:49,9,Ramon Vila Offensive Rebound.,18,16
5:46,9,Ramon Vila missed Layup.,18,16
5:46,2166,Peyton Aldridge Defensive Rebound.,18,16
5:22,2166,Rusty Reigel made Three Point Jumper. Assisted by Jack Gibbs.,21,16
5:09,9,Ramon Vila made Layup. Assisted by Shannon Evans II.,21,18
4:46,2166,Rusty Reigel made Three Point Jumper. Assisted by Jack Gibbs.,24,18
4:29,2166,Foul on Jon Axel Gudmundsson.,24,18
4:13,9,Tra Holder missed Layup.,24,18
4:13,2166,Will Magarity Defensive Rebound.,24,18
3:49,2166,Jack Gibbs made Layup. Assisted by Jordan Watkins.,26,18
3:35,9,Obinna Oleka made Jumper. Assisted by Shannon Evans II.,26,20
3:13,2166,Jack Gibbs missed Three Point Jumper.,26,20
3:13,2166,Davidson Offensive Rebound.,26,20
3:12,9,Official TV Timeout,26,20
3:00,2166,Peyton Aldridge missed Jumper.,26,20
3:00,9,Tra Holder Defensive Rebound.,26,20
2:38,9,Shannon Evans II missed Three Point Jumper.,26,20
2:38,2166,Peyton Aldridge Defensive Rebound.,26,20
2:13,2166,Will Magarity made Dunk. Assisted by Jordan Watkins.,28,20
1:42,9,Obinna Oleka missed Three Point Jumper.,28,20
1:42,2166,Peyton Aldridge Defensive Rebound.,28,20
1:12,2166,Rusty Reigel made Jumper. Assisted by Will Magarity.,30,20
1:12,9,Foul on Kodi Justice.,30,20
1:12,2166,Rusty Reigel made Free Throw.,31,20
0:57,9,Obinna Oleka missed Three Point Jumper.,31,20
0:57,2166,Davidson Defensive Rebound.,31,20
0:43,2166,Will Magarity missed Layup.,31,20
0:43,9,Kodi Justice Block.,31,20
0:43,9,Kodi Justice Defensive Rebound.,31,20
0:36,9,Obinna Oleka made Dunk. Assisted by Shannon Evans II.,31,22
0:01,2166,Peyton Aldridge missed Three Point Jumper.,31,22
0:01,2166,Davidson Offensive Rebound.,31,22
0:00,2166,Peyton Aldridge missed Jumper.,31,22
0:00,9,Kodi Justice Block.,31,22
0:00,2166,Davidson Deadball Team Rebound.,31,22
0:00,9,End of 1st half,31,22
19:41,2166,Jack Gibbs made Jumper. Assisted by Peyton Aldridge.,33,22
19:26,9,Sam Cunliffe missed Jumper.,33,22
19:26,2166,Jack Gibbs Defensive Rebound.,33,22
19:09,9,Foul on Shannon Evans II.,33,22
19:09,2166,Jack Gibbs missed Free Throw.,33,22
19:09,2166,Davidson Deadball Team Rebound.,33,22
19:09,2166,Jack Gibbs missed Free Throw.,33,22
19:09,2166,Davidson Deadball Team Rebound.,33,22
19:09,2166,Jack Gibbs made Free Throw.,34,22
18:53,9,Shannon Evans II made Three Point Jumper.,34,25
18:31,9,Foul on Tra Holder.,34,25
18:10,2166,Will Magarity made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,37,25
17:53,2166,Foul on Will Magarity.,37,25
17:53,9,Sam Cunliffe made Free Throw.,37,26
17:53,9,Sam Cunliffe missed Free Throw.,37,26
17:53,2166,Peyton Aldridge Defensive Rebound.,37,26
17:42,2166,Jack Gibbs made Layup.,39,26
17:26,9,Torian Graham missed Three Point Jumper.,39,26
17:26,9,Obinna Oleka Offensive Rebound.,39,26
17:23,9,Obinna Oleka made Layup.,39,28
16:54,9,Foul on Torian Graham.,39,28
16:54,2166,Peyton Aldridge made Free Throw.,40,28
16:54,2166,Peyton Aldridge made Free Throw.,41,28
16:43,2166,Rusty Reigel Defensive Rebound.,41,28
16:43,9,Torian Graham missed Layup.,41,28
16:36,2166,Jack Gibbs Turnover.,41,28
16:36,2166,Foul on Jack Gibbs.,41,28
16:27,9,Tra Holder made Layup.,41,30
16:24,9,Foul on Tra Holder.,41,30
16:24,9,Technical Foul on Tra Holder.,41,30
16:24,2166,Jack Gibbs made Free Throw.,42,30
16:24,2166,Jack Gibbs made Free Throw.,43,30
16:12,2166,Rusty Reigel missed Three Point Jumper.,43,30
16:12,2166,Peyton Aldridge Offensive Rebound.,43,30
16:07,2166,Peyton Aldridge missed Layup.,43,30
16:07,9,Tra Holder Defensive Rebound.,43,30
16:02,9,Torian Graham missed Layup.,43,30
15:59,2166,Peyton Aldridge Block.,43,30
15:59,2166,Will Magarity Defensive Rebound.,43,30
15:44,2166,Jack Gibbs made Jumper.,45,30
15:20,9,Tra Holder Turnover.,45,30
15:20,2166,Jack Gibbs Steal.,45,30
15:20,9,Official TV Timeout,45,30
14:58,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by Jack Gibbs.,48,30
14:35,9,Torian Graham missed Three Point Jumper.,48,30
14:35,9,Tra Holder Offensive Rebound.,48,30
14:30,9,Shannon Evans II made Three Point Jumper.,48,33
14:10,2166,Nathan Ekwu Turnover.,48,33
13:52,9,Obinna Oleka missed Three Point Jumper.,48,33
13:52,2166,Nathan Ekwu Defensive Rebound.,48,33
13:43,9,Foul on Kodi Justice.,48,33
13:16,2166,Jon Axel Gudmundsson Turnover.,48,33
13:01,9,Shannon Evans II missed Three Point Jumper.,48,33
13:01,2166,Nathan Ekwu Defensive Rebound.,48,33
13:00,9,Foul on Ramon Vila.,48,33
12:46,2166,Jordan Watkins missed Three Point Jumper.,48,33
12:46,9,Obinna Oleka Defensive Rebound.,48,33
12:36,9,Kodi Justice made Layup. Assisted by Obinna Oleka.,48,35
12:16,2166,Jack Gibbs missed Three Point Jumper.,48,35
12:16,9,Obinna Oleka Defensive Rebound.,48,35
12:01,9,Obinna Oleka Turnover.,48,35
12:01,2166,Nathan Ekwu Steal.,48,35
11:54,9,Foul on Kodi Justice.,48,35
11:54,9,Official TV Timeout,48,35
11:54,2166,Jack Gibbs made Free Throw.,49,35
11:54,2166,Jack Gibbs made Free Throw.,50,35
11:48,2166,Peyton Aldridge Defensive Rebound.,50,35
11:48,9,Sam Cunliffe missed Three Point Jumper.,50,35
11:26,2166,Jack Gibbs missed Layup.,50,35
11:25,2166,Davidson Offensive Rebound.,50,35
11:24,2166,Foul on Nathan Ekwu.,50,35
11:24,9,Shannon Evans II missed Free Throw.,50,35
11:24,9,Arizona St Deadball Team Rebound.,50,35
11:24,9,Shannon Evans II made Free Throw.,50,36
10:55,9,Kodi Justice Defensive Rebound.,50,36
10:55,2166,Jack Gibbs missed Three Point Jumper.,50,36
10:43,9,Tra Holder missed Jumper.,50,36
10:43,2166,Peyton Aldridge Block.,50,36
10:41,2166,Rusty Reigel Defensive Rebound.,50,36
10:26,9,Foul on Kodi Justice.,50,36
10:26,2166,Jordan Watkins made Free Throw.,51,36
10:26,2166,Jordan Watkins missed Free Throw.,51,36
10:26,2166,Peyton Aldridge Offensive Rebound.,51,36
10:10,2166,Jordan Watkins missed Three Point Jumper.,51,36
10:10,9,Sam Cunliffe Defensive Rebound.,51,36
10:04,9,Sam Cunliffe Turnover.,51,36
10:04,2166,Jordan Watkins Steal.,51,36
9:33,2166,Peyton Aldridge missed Three Point Jumper.,51,36
9:33,9,Tra Holder Defensive Rebound.,51,36
9:20,9,Obinna Oleka missed Three Point Jumper.,51,36
9:20,2166,Jack Gibbs Defensive Rebound.,51,36
9:12,2166,Jack Gibbs made Layup.,53,36
9:10,2166,Davidson  Timeout,53,36
9:10,9,Official TV Timeout,53,36
9:02,2166,Foul on Jordan Watkins.,53,36
8:53,9,Shannon Evans II made Three Point Jumper. Assisted by Tra Holder.,53,39
8:21,2166,Jack Gibbs missed Three Point Jumper.,53,39
8:21,2166,Rusty Reigel Offensive Rebound.,53,39
8:09,2166,Peyton Aldridge Turnover.,53,39
7:59,9,Tra Holder missed Three Point Jumper.,53,39
7:58,2166,Davidson Defensive Rebound.,53,39
7:58,9,Official TV Timeout,53,39
7:49,9,Foul on Tra Holder.,53,39
7:49,2166,Jon Axel Gudmundsson missed Free Throw.,53,39
7:49,9,Arizona St Defensive Rebound.,53,39
7:48,2166,Foul on Will Magarity.,53,39
7:37,9,Torian Graham made Three Point Jumper. Assisted by Shannon Evans II.,53,42
7:14,2166,Will Magarity Turnover.,53,42
7:13,9,Shannon Evans II Steal.,53,42
6:56,9,Sam Cunliffe missed Jumper.,53,42
6:56,9,Tra Holder Offensive Rebound.,53,42
6:55,9,Tra Holder made Layup.,53,44
6:55,2166,Foul on Will Magarity.,53,44
6:55,9,Tra Holder made Free Throw.,53,45
6:51,9,Foul on Sam Cunliffe.,53,45
6:51,2166,Jon Axel Gudmundsson made Free Throw.,54,45
6:51,2166,Jon Axel Gudmundsson made Free Throw.,55,45
6:35,9,Tra Holder Turnover.,55,45
6:35,9,Foul on Tra Holder.,55,45
6:11,2166,Peyton Aldridge made Dunk. Assisted by Jon Axel Gudmundsson.,57,45
6:11,9,Foul on Obinna Oleka.,57,45
6:11,2166,Peyton Aldridge made Free Throw.,58,45
6:01,9,Torian Graham missed Three Point Jumper.,58,45
6:01,2166,Jon Axel Gudmundsson Defensive Rebound.,58,45
5:44,2166,Jon Axel Gudmundsson missed Three Point Jumper.,58,45
5:44,9,Kodi Justice Defensive Rebound.,58,45
5:39,9,Shannon Evans II missed Three Point Jumper.,58,45
5:39,2166,Will Magarity Defensive Rebound.,58,45
5:23,9,Foul on Torian Graham.,58,45
5:23,2166,Jack Gibbs missed Free Throw.,58,45
5:23,2166,Davidson Deadball Team Rebound.,58,45
5:23,2166,Jack Gibbs made Free Throw.,59,45
5:18,2166,Foul on Jon Axel Gudmundsson.,59,45
5:18,9,Tra Holder made Free Throw.,59,46
5:18,9,Tra Holder made Free Throw.,59,47
4:51,2166,Jon Axel Gudmundsson Turnover.,59,47
4:50,9,Shannon Evans II Steal.,59,47
4:46,9,Shannon Evans II Turnover.,59,47
4:46,2166,Jon Axel Gudmundsson Steal.,59,47
4:18,2166,Jack Gibbs missed Three Point Jumper.,59,47
4:18,9,Obinna Oleka Defensive Rebound.,59,47
4:11,2166,Foul on Peyton Aldridge.,59,47
4:11,9,Kodi Justice missed Free Throw.,59,47
4:11,9,Obinna Oleka Offensive Rebound.,59,47
4:08,9,Obinna Oleka missed Layup.,59,47
4:08,2166,Will Magarity Block.,59,47
4:06,9,Tra Holder Offensive Rebound.,59,47
4:03,2166,Foul on Jon Axel Gudmundsson.,59,47
4:03,9,Tra Holder made Free Throw.,59,48
4:03,9,Tra Holder made Free Throw.,59,49
3:34,2166,Peyton Aldridge missed Three Point Jumper.,59,49
3:34,9,Obinna Oleka Defensive Rebound.,59,49
3:25,9,Tra Holder made Three Point Jumper.,59,52
3:24,9,Arizona St  Timeout,59,52
2:54,9,Foul on Shannon Evans II.,59,52
2:54,2166,Jack Gibbs made Free Throw.,60,52
2:54,2166,Jack Gibbs made Free Throw.,61,52
2:54,2166,Jack Gibbs made Free Throw.,62,52
2:42,9,Tra Holder missed Layup.,62,52
2:42,2166,Jack Gibbs Defensive Rebound.,62,52
2:26,2166,Jack Gibbs missed Three Point Jumper.,62,52
2:26,9,Arizona St Defensive Rebound.,62,52
2:16,9,Shannon Evans II missed Three Point Jumper.,62,52
2:16,2166,Will Magarity Defensive Rebound.,62,52
1:57,2166,Peyton Aldridge missed Layup.,62,52
1:57,9,Torian Graham Defensive Rebound.,62,52
1:47,9,Obinna Oleka missed Three Point Jumper.,62,52
1:47,2166,Jack Gibbs Defensive Rebound.,62,52
1:45,9,Foul on Tra Holder.,62,52
1:45,2166,Jack Gibbs missed Free Throw.,62,52
1:45,2166,Davidson Deadball Team Rebound.,62,52
1:45,2166,Jack Gibbs missed Free Throw.,62,52
1:45,9,Obinna Oleka Defensive Rebound.,62,52
1:34,9,Torian Graham missed Jumper.,62,52
1:34,2166,Will Magarity Defensive Rebound.,62,52
1:26,9,Foul on Obinna Oleka.,62,52
1:26,2166,Jack Gibbs made Free Throw.,63,52
1:26,2166,Jack Gibbs made Free Throw.,64,52
1:17,9,Sam Cunliffe made Layup. Assisted by Shannon Evans II.,64,54
0:57,2166,Peyton Aldridge Turnover.,64,54
0:57,9,Obinna Oleka Steal.,64,54
0:50,9,Obinna Oleka made Three Point Jumper. Assisted by Shannon Evans II.,64,57
0:48,9,Arizona St  Timeout,64,57
0:42,2166,Will Magarity Turnover.,64,57
0:34,9,Sam Cunliffe missed Three Point Jumper.,64,57
0:34,2166,Jon Axel Gudmundsson Block.,64,57
0:34,9,Arizona St Offensive Rebound.,64,57
0:31,9,Shannon Evans II made Three Point Jumper.,64,60
0:28,9,Foul on Kodi Justice.,64,60
0:28,2166,Jack Gibbs made Free Throw.,65,60
0:28,2166,Jack Gibbs made Free Throw.,66,60
0:22,9,Shannon Evans II missed Layup.,66,60
0:22,2166,Peyton Aldridge Defensive Rebound.,66,60
0:19,9,Foul on Ramon Vila.,66,60
0:19,2166,Jack Gibbs made Free Throw.,67,60
0:19,2166,Jack Gibbs made Free Throw.,68,60
0:12,2166,Foul on Jack Gibbs.,68,60
0:12,9,Shannon Evans II missed Free Throw.,68,60
0:12,9,Arizona St Deadball Team Rebound.,68,60
0:12,9,Shannon Evans II missed Free Throw.,68,60
0:12,2166,Rusty Reigel Defensive Rebound.,68,60
0:00,9,End of Game,68,60
