Florida Intl,2754,Youngstown State,2229
7:19,2229,Anthony Boswell missed Jumper.,56,52
7:19,2754,Matt Donlan Defensive Rebound.,56,52
7:04,2754,Cameron Morse made Layup.,56,54
6:39,2229,Elmo Stephen missed Three Point Jumper.,56,54
6:39,2754,Cameron Morse Defensive Rebound.,56,54
6:23,2229,Foul on Anthony Boswell.,56,54
6:23,2754,Matt Donlan made Free Throw.,56,55
6:23,2754,Matt Donlan made Free Throw.,56,56
6:04,2229,Donte McGill made Three Point Jumper.,59,56
5:40,2229,Foul on Eric Lockett.,59,56
5:40,2754,Jorden Kaufman Turnover.,59,56
5:27,2229,Eric Lockett Turnover.,59,56
5:13,2754,Francisco Santiago made Layup. Assisted by Jorden Kaufman.,59,58
4:54,2229,Donte McGill missed Jumper.,59,58
4:54,2754,Francisco Santiago Block.,59,58
4:53,2754,Cameron Morse Defensive Rebound.,59,58
4:49,2754,Matt Donlan missed Three Point Jumper.,59,58
4:49,2229,Michael Kessens Defensive Rebound.,59,58
4:38,2229,Anthony Boswell made Dunk. Assisted by Donte McGill.,61,58
4:22,2754,Jorden Kaufman missed Jumper.,61,58
4:22,2229,Eric Lockett Defensive Rebound.,61,58
4:13,2229,Eric Lockett Turnover.,61,58
4:10,2754,Cameron Morse made Layup.,61,60
4:10,2229,Foul on Eric Nottage.,61,60
4:10,2754,Cameron Morse made Free Throw.,61,61
3:57,2229,Donte McGill missed Three Point Jumper.,61,61
3:57,2754,Matt Donlan Defensive Rebound.,61,61
3:28,2229,Foul on Michael Kessens.,61,61
3:28,2754,Official TV Timeout,61,61
3:28,2754,Francisco Santiago missed Free Throw.,61,61
3:28,2754,Youngstown St Deadball Team Rebound.,61,61
3:28,2754,Francisco Santiago made Free Throw.,61,62
3:04,2229,Michael Kessens made Layup.,63,62
2:45,2229,Foul on Michael Kessens.,63,62
2:45,2754,Devin Haygood made Free Throw.,63,63
2:45,2754,Devin Haygood made Free Throw.,63,64
2:32,2754,Foul on Devin Haygood.,63,64
2:31,2229,Michael Kessens made Layup. Assisted by Kimar Williams.,65,64
2:30,2754,Foul on Jorden Kaufman.,65,64
2:30,2229,Michael Kessens made Free Throw.,66,64
2:22,2754,Cameron Morse made Three Point Jumper. Assisted by Matt Donlan.,66,67
1:51,2229,Kimar Williams missed Layup.,66,67
1:51,2754,Devin Haygood Block.,66,67
1:49,2229,Donte McGill Offensive Rebound.,66,67
1:48,2754,Foul on Francisco Santiago.,66,67
1:48,2229,Donte McGill missed Free Throw.,66,67
1:48,2754,Matt Donlan Defensive Rebound.,66,67
1:30,2754,Cameron Morse missed Layup.,66,67
1:30,2754,Devin Haygood Offensive Rebound.,66,67
1:27,2754,Devin Haygood made Layup.,66,69
1:01,2229,Anthony Boswell missed Three Point Jumper.,66,69
1:01,2754,Devin Haygood Defensive Rebound.,66,69
0:46,2754,Devin Haygood missed Layup.,66,69
0:46,2229,Kimar Williams Defensive Rebound.,66,69
0:45,2754,Foul on Devin Haygood.,66,69
0:45,2229,Kimar Williams missed Free Throw.,66,69
0:45,2754,Matt Donlan Defensive Rebound.,66,69
0:45,2229,Foul on Michael Kessens.,66,69
0:45,2754,Matt Donlan made Free Throw.,66,70
0:45,2754,Matt Donlan made Free Throw.,66,71
0:38,2229,Cameron Smith made Dunk. Assisted by Eric Nottage.,68,71
0:38,2229,Florida International  Timeout,68,71
0:33,2229,Foul on Anthony Boswell.,68,71
0:33,2754,Francisco Santiago made Free Throw.,68,72
0:33,2754,Francisco Santiago made Free Throw.,68,73
0:26,2229,Eric Nottage missed Jumper.,68,73
0:26,2754,Francisco Santiago Defensive Rebound.,68,73
0:23,2229,Foul on Eric Nottage.,68,73
0:23,2754,Francisco Santiago made Free Throw.,68,74
0:23,2754,Francisco Santiago made Free Throw.,68,75
0:19,2229,Donte McGill missed Three Point Jumper.,68,75
0:19,2754,Francisco Santiago Defensive Rebound.,68,75
0:11,2229,Foul on Donte McGill.,68,75
0:11,2754,Brett Frantz missed Free Throw.,68,75
0:11,2754,Youngstown St Deadball Team Rebound.,68,75
0:11,2754,Brett Frantz made Free Throw.,68,76
0:07,2229,Eric Nottage made Jumper.,70,76
0:04,2229,Foul on Eric Nottage.,70,76
0:04,2754,Matt Donlan made Free Throw.,70,77
0:04,2754,Matt Donlan made Free Throw.,70,78
0:01,2229,Kimar Williams made Three Point Jumper.,73,78
0:00,2754,End of Game,73,78
