Florida Gulf Coast,127,Michigan State,526
0:18,526,Rayjon Tucker missed Layup.,33,38
0:18,127,Miles Bridges Block.,33,38
0:16,526,Christian Terrell Offensive Rebound.,33,38
0:12,526,Brandon Goodwin made Three Point Jumper. Assisted by Christian Terrell.,36,38
0:01,127,Miles Bridges missed Three Point Jumper.,36,38
0:01,526,Brandon Goodwin Defensive Rebound.,36,38
0:00,127,End of 1st half,36,38
19:49,127,Miles Bridges missed Jumper.,36,38
19:49,526,Antravious Simmons Defensive Rebound.,36,38
19:23,526,Demetris Morant missed Jumper.,36,38
19:23,526,Antravious Simmons Offensive Rebound.,36,38
19:20,526,Antravious Simmons made Layup.,38,38
18:53,127,Matt McQuaid missed Three Point Jumper.,38,38
18:53,526,Zach Johnson Defensive Rebound.,38,38
18:31,526,Antravious Simmons made Jumper. Assisted by Zach Johnson.,40,38
18:19,526,Foul on Brandon Goodwin.,40,38
18:14,127,Eron Harris made Three Point Jumper. Assisted by Matt McQuaid.,40,41
17:49,526,Antravious Simmons missed Jumper.,40,41
17:49,127,Kenny Goins Block.,40,41
17:47,127,Matt McQuaid Defensive Rebound.,40,41
17:39,526,Foul on Demetris Morant.,40,41
17:21,526,Foul on Zach Johnson.,40,41
17:18,127,Eron Harris Turnover.,40,41
17:08,526,Antravious Simmons missed Layup.,40,41
17:08,526,Demetris Morant Offensive Rebound.,40,41
17:06,127,Foul on Kenny Goins.,40,41
17:00,526,Zach Johnson Turnover.,40,41
16:42,127,Nick Ward made Jumper. Assisted by Miles Bridges.,40,43
16:21,526,Demetris Morant missed Jumper.,40,43
16:21,127,Cassius Winston Defensive Rebound.,40,43
16:13,526,Foul on Antravious Simmons.,40,43
16:13,127,Nick Ward made Free Throw.,40,44
16:13,127,Nick Ward missed Free Throw.,40,44
16:13,526,Christian Terrell Defensive Rebound.,40,44
15:55,526,RaySean Scott Jr. made Three Point Jumper. Assisted by Brandon Goodwin.,43,44
15:48,127,Nick Ward made Dunk. Assisted by Cassius Winston.,43,46
15:31,526,Foul on Brandon Goodwin.,43,46
15:31,526,Brandon Goodwin Turnover.,43,46
15:31,127,Official TV Timeout,43,46
15:18,526,Foul on Christian Terrell.,43,46
15:11,127,Nick Ward missed Jumper.,43,46
15:11,526,RaySean Scott Jr. Defensive Rebound.,43,46
14:45,526,RaySean Scott Jr. missed Jumper.,43,46
14:45,127,Miles Bridges Block.,43,46
14:43,127,Nick Ward Defensive Rebound.,43,46
14:39,127,Eron Harris made Three Point Jumper. Assisted by Cassius Winston.,43,49
14:08,526,Brandon Goodwin missed Three Point Jumper.,43,49
14:08,526,Kevin Mickle Offensive Rebound.,43,49
14:05,127,Foul on Eron Harris.,43,49
13:45,526,Antravious Simmons made Layup. Assisted by Christian Terrell.,45,49
13:39,127,Cassius Winston Turnover.,45,49
13:38,526,Christian Terrell Steal.,45,49
13:33,526,Zach Johnson missed Three Point Jumper.,45,49
13:33,127,Joshua Langford Defensive Rebound.,45,49
13:08,127,Joshua Langford made Jumper. Assisted by Miles Bridges.,45,51
12:42,526,Zach Johnson missed Jumper.,45,51
12:42,526,RaySean Scott Jr. Offensive Rebound.,45,51
12:37,127,Foul on Joshua Langford.,45,51
12:37,526,RaySean Scott Jr. made Free Throw.,46,51
12:37,526,RaySean Scott Jr. made Free Throw.,47,51
12:20,127,Miles Bridges missed Jumper.,47,51
12:20,526,Zach Johnson Defensive Rebound.,47,51
12:09,526,RaySean Scott Jr. made Three Point Jumper. Assisted by Zach Johnson.,50,51
11:44,127,Cassius Winston made Jumper.,50,53
11:27,127,Official TV Timeout,50,53
11:17,127,Foul on Matt McQuaid.,50,53
11:03,526,Antravious Simmons Turnover.,50,53
11:02,127,Miles Bridges Steal.,50,53
10:55,526,Foul on RaySean Scott Jr..,50,53
10:55,127,Nick Ward missed Free Throw.,50,53
10:55,127,Michigan St Deadball Team Rebound.,50,53
10:55,127,Nick Ward made Free Throw.,50,54
10:44,526,Antravious Simmons made Layup. Assisted by Christian Terrell.,52,54
10:18,127,Cassius Winston Turnover.,52,54
