Navy,2430,UNC Greensboro,2426
2:16,2430,Demetrius Troy Turnover.,53,70
2:14,2426,Hasan Abdullah Steal.,53,70
2:08,2426,Bryce Dulin missed Three Point Jumper.,53,70
2:08,2426,Hasan Abdullah Offensive Rebound.,53,70
2:04,2426,Mo Lewis made Layup. Assisted by Hasan Abdullah.,55,70
1:30,2430,Marvin Smith Turnover.,55,70
1:17,2426,James Butler made Jumper. Assisted by Kyran McClure.,57,70
0:51,2430,Diante Baldwin Turnover.,57,70
0:49,2426,Hasan Abdullah Steal.,57,70
0:44,2426,Hasan Abdullah Turnover.,57,70
0:44,2430,Diante Baldwin Steal.,57,70
0:40,2430,Malik Massey made Layup.,57,72
0:20,2426,Mo Lewis missed Jumper.,57,72
0:20,2426,Grant Vermeer Offensive Rebound.,57,72
0:17,2426,Grant Vermeer made Two Point Tip Shot.,59,72
0:00,2430,End of Game,59,72
