East Tennessee State,350,UNC Wilmington,2193
4:33,350,Chris Flemmings missed Free Throw.,15,26
4:33,2193,Tevin Glass Defensive Rebound.,15,26
4:18,2193,Julian Walters Turnover.,15,26
4:02,350,Denzel Ingram missed Jumper.,15,26
4:02,2193,Hanner Mosquera-Perea Defensive Rebound.,15,26
3:34,2193,Julian Walters missed Three Point Jumper.,15,26
3:34,2193,T.J. Cromer Offensive Rebound.,15,26
3:25,2193,Hanner Mosquera-Perea made Dunk. Assisted by Julian Walters.,17,26
3:16,350,JaQuel Richmond missed Layup.,17,26
3:16,2193,T.J. Cromer Block.,17,26
3:16,2193,East Tennessee St Defensive Rebound.,17,26
3:16,350,Official TV Timeout,17,26
3:16,2193,Jason Williams Turnover.,17,26
3:12,350,Chris Flemmings missed Layup.,17,26
3:12,2193,Tevin Glass Block.,17,26
3:10,350,JaQuel Richmond Offensive Rebound.,17,26
3:08,350,Foul on Marcus Bryan.,17,26
3:08,350,Marcus Bryan Turnover.,17,26
3:08,2193,Jason Williams Turnover.,17,26
2:58,350,C.J. Bryce made Jumper.,17,28
2:50,2193,T.J. Cromer Turnover.,17,28
2:49,350,Chris Flemmings Steal.,17,28
2:46,350,Chris Flemmings made Three Point Jumper. Assisted by Ambrose Mosley.,17,31
2:33,350,Foul on Marcus Bryan.,17,31
2:33,2193,Tevin Glass missed Free Throw.,17,31
2:33,2193,East Tennessee St Deadball Team Rebound.,17,31
2:33,2193,Tevin Glass made Free Throw.,18,31
2:24,2193,Foul on A.J. Merriweather.,18,31
2:24,350,Devontae Cacok missed Free Throw.,18,31
2:24,2193,Tevin Glass Defensive Rebound.,18,31
1:55,2193,T.J. Cromer made Jumper. Assisted by Julian Walters.,20,31
1:35,350,Chris Flemmings Turnover.,20,31
1:33,2193,Julian Walters Steal.,20,31
1:24,2193,Tevin Glass missed Jumper.,20,31
1:24,350,Chris Flemmings Block.,20,31
1:24,350,Chris Flemmings Defensive Rebound.,20,31
1:05,350,Denzel Ingram made Layup.,20,33
0:57,2193,T.J. Cromer Turnover.,20,33
0:40,350,Chris Flemmings missed Jumper.,20,33
0:40,2193,Tevin Glass Block.,20,33
0:38,2193,Tevin Glass Defensive Rebound.,20,33
0:33,2193,T.J. Cromer made Three Point Jumper. Assisted by Julian Walters.,23,33
0:24,350,UNC Wilmington  Timeout,23,33
0:02,350,C.J. Bryce missed Three Point Jumper.,23,33
0:02,350,Ambrose Mosley Offensive Rebound.,23,33
0:00,350,Ambrose Mosley made Jumper.,23,35
0:00,350,End of 1st half,23,33
19:50,2193,Hanner Mosquera-Perea missed Jumper.,23,35
19:50,350,Devontae Cacok Block.,23,35
19:48,350,Devontae Cacok Defensive Rebound.,23,35
19:29,350,JaQuel Richmond made Jumper.,23,37
19:29,2193,Foul on Hanner Mosquera-Perea.,23,37
19:29,2193,Hanner Mosquera-Perea Turnover.,23,37
19:21,350,Denzel Ingram made Jumper.,23,39
19:03,2193,A.J. Merriweather missed Jumper.,23,39
19:03,350,Chris Flemmings Block.,23,39
19:01,2193,East Tennessee St Offensive Rebound.,23,39
18:55,2193,A.J. Merriweather Turnover.,23,39
18:55,350,Devontae Cacok Steal.,23,39
18:55,2193,Foul on A.J. Merriweather.,23,39
18:29,350,Chris Flemmings missed Three Point Jumper.,23,39
18:29,350,Chris Flemmings Offensive Rebound.,23,39
18:24,350,JaQuel Richmond missed Three Point Jumper.,23,39
18:24,350,Chris Flemmings Offensive Rebound.,23,39
18:20,350,Chris Flemmings made Layup.,23,41
17:59,2193,A.J. Merriweather missed Three Point Jumper.,23,41
17:59,2193,Hanner Mosquera-Perea Offensive Rebound.,23,41
17:51,2193,T.J. Cromer made Three Point Jumper.,26,41
17:32,350,JaQuel Richmond Turnover.,26,41
17:30,2193,Desonta Bradford Steal.,26,41
17:28,2193,Desonta Bradford made Layup.,28,41
17:21,350,Devontae Cacok missed Jumper.,28,41
17:21,2193,Devontavius Payne Defensive Rebound.,28,41
17:12,2193,Devontavius Payne missed Layup.,28,41
17:12,350,Devontae Cacok Block.,28,41
17:12,2193,East Tennessee St Offensive Rebound.,28,41
16:53,2193,David Burrell made Three Point Jumper. Assisted by Devontavius Payne.,31,41
16:37,2193,Foul on Desonta Bradford.,31,41
16:34,2193,Foul on T.J. Cromer.,31,41
16:25,350,Chris Flemmings missed Jumper.,31,41
16:25,350,Denzel Ingram Offensive Rebound.,31,41
16:21,350,Devontae Cacok made Layup. Assisted by Denzel Ingram.,31,43
16:07,350,Foul on Chris Flemmings.,31,43
16:07,2193,T.J. Cromer made Free Throw.,32,43
16:07,2193,T.J. Cromer made Free Throw.,33,43
15:41,2193,Foul on Julian Walters.,33,43
15:41,350,Official TV Timeout,33,43
15:41,350,Devontae Cacok made Free Throw.,33,44
15:41,350,Devontae Cacok missed Free Throw.,33,44
15:41,2193,Desonta Bradford Defensive Rebound.,33,44
15:28,2193,David Burrell missed Jumper.,33,44
15:28,2193,Hanner Mosquera-Perea Offensive Rebound.,33,44
15:25,2193,Hanner Mosquera-Perea made Dunk.,35,44
15:15,350,JaQuel Richmond made Layup.,35,46
15:02,2193,T.J. Cromer made Jumper.,37,46
14:49,350,C.J. Bryce made Layup. Assisted by JaQuel Richmond.,37,48
14:20,2193,David Burrell missed Jumper.,37,48
14:20,350,UNC Wilmington Defensive Rebound.,37,48
14:00,350,Devontae Cacok made Dunk. Assisted by Denzel Ingram.,37,50
13:39,2193,Hanner Mosquera-Perea missed Jumper.,37,50
13:39,350,Devontae Cacok Defensive Rebound.,37,50
13:33,350,JaQuel Richmond Turnover.,37,50
13:33,2193,Hanner Mosquera-Perea Steal.,37,50
13:21,2193,Devontavius Payne made Layup.,39,50
13:01,350,JaQuel Richmond missed Layup.,39,50
13:01,2193,Desonta Bradford Defensive Rebound.,39,50
12:48,2193,Isaac Banks made Layup.,41,50
12:40,2193,David Burrell missed Three Point Jumper.,41,50
12:40,350,Denzel Ingram Defensive Rebound.,41,50
12:35,350,C.J. Bryce missed Jumper.,41,50
12:35,350,Devontae Cacok Offensive Rebound.,41,50
12:32,350,Devontae Cacok made Jumper.,41,52
12:23,2193,Devontavius Payne missed Free Throw.,41,52
12:23,2193,Devontavius Payne made Layup.,43,52
12:23,350,Chris Flemmings Defensive Rebound.,43,52
12:23,350,Foul on Ambrose Mosley.,43,52
12:23,350,Ambrose Mosley missed Layup.,43,52
12:23,2193,A.J. Merriweather Defensive Rebound.,43,52
12:20,2193,Foul on Desonta Bradford.,43,52
12:19,2193,Desonta Bradford Turnover.,43,52
11:54,350,Official TV Timeout,43,52
11:41,350,Ambrose Mosley missed Three Point Jumper.,43,52
11:41,2193,David Burrell Defensive Rebound.,43,52
11:31,350,Foul on Ambrose Mosley.,43,52
11:23,2193,David Burrell missed Three Point Jumper.,43,52
11:23,2193,East Tennessee St Offensive Rebound.,43,52
11:14,350,Foul on Ambrose Mosley.,43,52
11:14,350,Foul on C.J. Bryce.,43,52
11:01,2193,David Burrell missed Jumper.,43,52
11:01,350,Marcus Bryan Block.,43,52
11:01,2193,East Tennessee St Offensive Rebound.,43,52
10:50,2193,T.J. Cromer missed Three Point Jumper.,43,52
10:50,2193,Julian Walters Offensive Rebound.,43,52
10:37,350,Foul on Marcus Bryan.,43,52
10:37,2193,David Burrell missed Free Throw.,43,52
10:37,2193,East Tennessee St Deadball Team Rebound.,43,52
10:37,2193,David Burrell missed Free Throw.,43,52
10:37,350,Chris Flemmings Defensive Rebound.,43,52
10:29,350,Denzel Ingram missed Jumper.,43,52
10:29,2193,Julian Walters Defensive Rebound.,43,52
10:18,2193,Isaac Banks made Layup.,45,52
9:50,2193,Foul on Julian Walters.,45,52
9:50,350,C.J. Bryce made Free Throw.,45,53
9:50,350,C.J. Bryce made Free Throw.,45,54
9:50,350,UNC Wilmington  Timeout,45,54
9:34,2193,Tevin Glass missed Three Point Jumper.,45,54
9:34,350,JaQuel Richmond Defensive Rebound.,45,54
9:13,350,Denzel Ingram Turnover.,45,54
9:12,2193,Tevin Glass Steal.,45,54
9:09,2193,T.J. Cromer made Layup. Assisted by Tevin Glass.,47,54
8:57,350,JaQuel Richmond made Jumper.,47,56
8:35,2193,Isaac Banks made Layup. Assisted by A.J. Merriweather.,49,56
8:05,350,C.J. Bryce made Three Point Jumper. Assisted by Denzel Ingram.,49,59
7:40,2193,Isaac Banks made Layup. Assisted by Julian Walters.,51,59
7:22,2193,Foul on A.J. Merriweather.,51,59
7:22,350,Official TV Timeout,51,59
7:22,350,C.J. Bryce made Free Throw.,51,60
7:22,350,C.J. Bryce made Free Throw.,51,61
7:04,2193,T.J. Cromer Turnover.,51,61
7:04,350,Denzel Ingram Steal.,51,61
6:32,350,Denzel Ingram missed Three Point Jumper.,51,61
6:32,2193,David Burrell Defensive Rebound.,51,61
6:19,2193,Devontavius Payne Turnover.,51,61
5:58,350,JaQuel Richmond missed Jumper.,51,61
5:58,2193,Devontavius Payne Defensive Rebound.,51,61
5:44,2193,Foul on T.J. Cromer.,51,61
5:44,2193,T.J. Cromer Turnover.,51,61
5:27,350,Devontae Cacok Turnover.,51,61
5:10,2193,T.J. Cromer made Three Point Jumper. Assisted by Desonta Bradford.,54,61
4:47,350,Denzel Ingram missed Jumper.,54,61
4:47,2193,David Burrell Defensive Rebound.,54,61
4:32,2193,Desonta Bradford missed Jumper.,54,61
4:32,350,C.J. Bryce Defensive Rebound.,54,61
4:19,350,Chris Flemmings missed Three Point Jumper.,54,61
4:19,2193,Desonta Bradford Defensive Rebound.,54,61
4:11,2193,A.J. Merriweather made Jumper. Assisted by Desonta Bradford.,56,61
3:51,350,Chris Flemmings Turnover.,56,61
3:51,350,Official TV Timeout,56,61
3:32,2193,Tevin Glass Turnover.,56,61
3:32,2193,Foul on Tevin Glass.,56,61
3:11,2193,Foul on A.J. Merriweather.,56,61
3:11,350,JaQuel Richmond missed Free Throw.,56,61
3:11,350,UNC Wilmington Deadball Team Rebound.,56,61
3:11,350,JaQuel Richmond made Free Throw.,56,62
3:00,2193,Devontavius Payne Turnover.,56,62
2:58,350,JaQuel Richmond Steal.,56,62
2:54,350,Chris Flemmings made Three Point Jumper. Assisted by Denzel Ingram.,56,65
2:31,350,Foul on Denzel Ingram.,56,65
2:31,2193,T.J. Cromer missed Free Throw.,56,65
2:31,350,C.J. Bryce Defensive Rebound.,56,65
2:05,350,JaQuel Richmond Turnover.,56,65
2:03,2193,A.J. Merriweather Steal.,56,65
2:01,2193,Desonta Bradford made Dunk. Assisted by A.J. Merriweather.,58,65
1:45,350,UNC Wilmington  Turnover.,58,65
1:28,2193,David Burrell Turnover.,58,65
1:26,350,Devontae Cacok Steal.,58,65
1:00,350,Denzel Ingram made Jumper.,58,67
0:50,350,Foul on Devontae Cacok.,58,67
0:50,2193,T.J. Cromer made Free Throw.,59,67
0:50,2193,T.J. Cromer missed Free Throw.,59,67
0:50,350,Chris Flemmings Defensive Rebound.,59,67
0:31,2193,Foul on David Burrell.,59,67
0:31,350,Denzel Ingram missed Free Throw.,59,67
0:31,350,UNC Wilmington Deadball Team Rebound.,59,67
0:31,350,Denzel Ingram made Free Throw.,59,68
0:19,350,Foul on Devontae Cacok.,59,68
0:19,2193,Hanner Mosquera-Perea missed Free Throw.,59,68
0:19,2193,East Tennessee St Deadball Team Rebound.,59,68
0:19,2193,Hanner Mosquera-Perea missed Free Throw.,59,68
0:19,350,Devontae Cacok Defensive Rebound.,59,68
0:00,350,End of Game,59,68
