Saint Peter's,161,Fairleigh Dickinson,2612
11:49,2612,Foul on Cavon Baker.,14,13
11:49,161,Official TV Timeout,14,13
11:34,161,Stephan Jiggetts made Layup.,14,15
11:10,2612,Cavon Baker missed Jumper.,14,15
11:05,2612,Quadir Welton Offensive Rebound.,14,15
11:04,2612,Quadir Welton made Layup.,16,15
10:51,161,Foul on Mike Holloway.,16,15
10:26,2612,Quadir Welton made Layup. Assisted by Trevis Wyche.,18,15
10:13,161,Kaleb Bishop made Layup.,18,17
9:52,2612,Quadir Welton made Layup.,20,17
9:30,161,Malik Miller made Layup. Assisted by Darian Anderson.,20,19
9:09,2612,Chazz Patterson missed Layup.,20,19
9:09,161,Darnell Edge Block.,20,19
9:09,2612,Saint Peter's Offensive Rebound.,20,19
8:53,161,Foul on Darnell Edge.,20,19
8:49,2612,Nnamdi Enechionyia made Jumper.,22,19
8:35,161,Stephan Jiggetts Turnover.,22,19
8:33,2612,Trevis Wyche Steal.,22,19
8:24,161,Foul on Dondre Rhoden.,22,19
8:22,2612,Nick Griffin missed Jumper.,22,19
8:22,161,Kaleb Bishop Defensive Rebound.,22,19
8:20,2612,Foul on Cavon Baker.,22,19
8:05,161,Darian Anderson missed Jumper.,22,19
8:05,161,Fairleigh Dickinson Offensive Rebound.,22,19
7:59,161,Darian Anderson missed Jumper.,22,19
7:59,2612,Sam Idowu Defensive Rebound.,22,19
7:38,161,Foul on Darnell Edge.,22,19
7:38,161,Official TV Timeout,22,19
7:36,2612,Nnamdi Enechionyia missed Jumper.,22,19
7:36,2612,Cavon Baker Offensive Rebound.,22,19
7:24,2612,Trevis Wyche missed Jumper.,22,19
7:24,2612,Mamadou Ndiaye Offensive Rebound.,22,19
7:22,2612,Mamadou Ndiaye made Layup.,24,19
7:04,161,Kaleb Bishop missed Jumper.,24,19
7:04,2612,Nnamdi Enechionyia Block.,24,19
7:03,2612,Trevis Wyche Defensive Rebound.,24,19
6:55,161,Foul on Mike Schroback.,24,19
6:55,2612,Trevis Wyche made Free Throw.,25,19
6:55,2612,Trevis Wyche made Free Throw.,26,19
6:45,161,Darian Anderson made Layup.,26,21
6:26,2612,Antwon Portley missed Three Point Jumper.,26,21
6:26,2612,Mamadou Ndiaye Offensive Rebound.,26,21
6:20,161,Foul on Malik Miller.,26,21
6:20,2612,Mamadou Ndiaye made Free Throw.,27,21
6:20,2612,Mamadou Ndiaye made Free Throw.,28,21
6:12,161,Malik Miller Turnover.,28,21
6:11,2612,Nnamdi Enechionyia Steal.,28,21
6:03,2612,Chazz Patterson Turnover.,28,21
6:02,161,Mike Holloway Steal.,28,21
5:56,161,Stephan Jiggetts missed Layup.,28,21
5:56,2612,Quadir Welton Block.,28,21
5:56,2612,Saint Peter's Defensive Rebound.,28,21
5:24,2612,Quadir Welton missed Jumper.,28,21
5:24,161,Darian Anderson Defensive Rebound.,28,21
5:20,161,Darnell Edge made Layup. Assisted by Stephan Jiggetts.,28,23
5:18,2612,Saint Peter's  Timeout,28,23
5:14,161,Foul on Stephan Jiggetts.,28,23
5:14,2612,Trevis Wyche made Free Throw.,29,23
5:14,2612,Trevis Wyche missed Free Throw.,29,23
5:14,161,Malik Miller Defensive Rebound.,29,23
5:02,161,Malik Miller made Jumper.,29,25
4:45,2612,Trevis Wyche made Three Point Jumper. Assisted by Quadir Welton.,32,25
4:26,161,Stephan Jiggetts missed Three Point Jumper.,32,25
4:26,2612,Quadir Welton Defensive Rebound.,32,25
4:14,161,Foul on Darnell Edge.,32,25
4:14,2612,Trevis Wyche made Free Throw.,33,25
4:14,2612,Trevis Wyche made Free Throw.,34,25
4:03,161,Darian Anderson Turnover.,34,25
4:01,2612,Chazz Patterson Steal.,34,25
3:59,2612,Chazz Patterson made Layup.,36,25
3:59,161,Foul on Darian Anderson.,36,25
3:59,2612,Chazz Patterson made Free Throw.,37,25
3:34,161,Kaleb Bishop made Layup. Assisted by Stephan Jiggetts.,37,27
3:00,2612,Nnamdi Enechionyia made Three Point Jumper. Assisted by Antwon Portley.,40,27
2:43,161,Mike Schroback missed Three Point Jumper.,40,27
2:43,2612,Quadir Welton Defensive Rebound.,40,27
2:27,2612,Antwon Portley made Three Point Jumper. Assisted by Nnamdi Enechionyia.,43,27
2:02,161,Foul on Kaleb Bishop.,43,27
2:02,161,Kaleb Bishop Turnover.,43,27
2:02,161,Official TV Timeout,43,27
1:36,2612,Antwon Portley made Three Point Jumper.,46,27
1:10,2612,Foul on Antwon Portley.,46,27
1:08,2612,Foul on Chazz Patterson.,46,27
1:08,161,Darian Anderson made Free Throw.,46,28
1:08,161,Darian Anderson made Free Throw.,46,29
1:08,161,Darian Anderson missed Free Throw.,46,29
1:08,2612,Chazz Patterson Defensive Rebound.,46,29
0:52,2612,Nick Griffin made Layup. Assisted by Quadir Welton.,48,29
0:52,161,Foul on Stephan Jiggetts.,48,29
0:52,2612,Nick Griffin made Free Throw.,49,29
0:40,2612,Foul on Quadir Welton.,49,29
0:40,161,Mike Holloway made Free Throw.,49,30
0:40,161,Mike Holloway made Free Throw.,49,31
0:24,161,Nadi Beciri Turnover.,49,31
0:03,161,Darnell Edge Turnover.,49,31
0:00,2612,Chazz Patterson Steal.,49,31
0:00,161,End of 1st half,49,31
19:41,161,Stephan Jiggetts Turnover.,49,31
19:41,2612,Chazz Patterson Steal.,49,31
19:29,2612,Antwon Portley made Three Point Jumper. Assisted by Trevis Wyche.,52,31
19:10,161,Darnell Edge Turnover.,52,31
19:09,2612,Nnamdi Enechionyia Steal.,52,31
18:45,2612,Chazz Patterson missed Three Point Jumper.,52,31
18:45,2612,Nnamdi Enechionyia Offensive Rebound.,52,31
18:42,2612,Nnamdi Enechionyia made Layup.,54,31
18:11,161,Mike Schroback Turnover.,54,31
18:10,2612,Chazz Patterson Steal.,54,31
17:52,2612,Antwon Portley missed Three Point Jumper.,54,31
17:52,161,Darnell Edge Defensive Rebound.,54,31
17:32,161,Darian Anderson missed Three Point Jumper.,54,31
17:32,161,Fairleigh Dickinson Offensive Rebound.,54,31
17:31,2612,Foul on Nnamdi Enechionyia.,54,31
17:17,161,Stephan Jiggetts made Jumper.,54,33
16:48,2612,Quadir Welton missed Jumper.,54,33
16:48,161,Darian Anderson Block.,54,33
16:48,2612,Saint Peter's Offensive Rebound.,54,33
16:45,2612,Antwon Portley missed Jumper.,54,33
16:45,2612,Nnamdi Enechionyia Offensive Rebound.,54,33
16:42,161,Foul on Nadi Beciri.,54,33
16:42,2612,Nnamdi Enechionyia missed Free Throw.,54,33
16:42,2612,Saint Peter's Deadball Team Rebound.,54,33
16:42,2612,Nnamdi Enechionyia made Free Throw.,55,33
16:33,2612,Foul on Antwon Portley.,55,33
16:33,161,Stephan Jiggetts missed Free Throw.,55,33
16:33,161,Fairleigh Dickinson Deadball Team Rebound.,55,33
16:33,161,Stephan Jiggetts made Free Throw.,55,34
16:11,161,Foul on Darian Anderson.,55,34
16:11,2612,Antwon Portley made Free Throw.,56,34
16:11,2612,Antwon Portley missed Free Throw.,56,34
16:11,161,Mike Holloway Defensive Rebound.,56,34
15:52,161,Darian Anderson made Layup.,56,36
15:19,2612,Quadir Welton missed Layup.,56,36
15:19,2612,Nnamdi Enechionyia Offensive Rebound.,56,36
15:11,2612,Nnamdi Enechionyia made Three Point Jumper. Assisted by Antwon Portley.,59,36
14:50,161,Stephan Jiggetts missed Layup.,59,36
14:50,2612,Nnamdi Enechionyia Block.,59,36
14:47,161,Nadi Beciri Offensive Rebound.,59,36
14:45,161,Nadi Beciri made Layup.,59,38
14:29,2612,Nick Griffin missed Three Point Jumper.,59,38
14:29,2612,Nnamdi Enechionyia Offensive Rebound.,59,38
14:28,161,Foul on Nadi Beciri.,59,38
14:28,161,Official TV Timeout,59,38
14:28,2612,Saint Peter's  Timeout,59,38
14:28,161,Official TV Timeout,59,38
14:19,161,Foul on Stephan Jiggetts.,59,38
14:14,2612,Nick Griffin made Three Point Jumper. Assisted by Quadir Welton.,62,38
13:55,161,Mike Holloway made Layup.,62,40
13:28,2612,Quadir Welton missed Jumper.,62,40
13:28,161,Nadi Beciri Defensive Rebound.,62,40
13:28,2612,Foul on Mamadou Ndiaye.,62,40
13:21,2612,Foul on Cavon Baker.,62,40
13:08,2612,Foul on Nnamdi Enechionyia.,62,40
13:01,161,Nadi Beciri made Jumper.,62,42
12:39,2612,Trevis Wyche made Three Point Jumper. Assisted by Quadir Welton.,65,42
12:13,161,Mike Holloway made Jumper. Assisted by Darian Anderson.,65,44
12:13,2612,Foul on Cavon Baker.,65,44
12:13,161,Mike Holloway made Free Throw.,65,45
12:09,2612,Nnamdi Enechionyia Turnover.,65,45
11:52,161,Kaleb Bishop missed Jumper.,65,45
11:52,2612,Quadir Welton Defensive Rebound.,65,45
11:51,161,Foul on Kaleb Bishop.,65,45
11:51,161,Official TV Timeout,65,45
11:26,161,Foul on Nadi Beciri.,65,45
10:57,2612,Quadir Welton missed Jumper.,65,45
10:57,161,Kaleb Bishop Defensive Rebound.,65,45
10:44,161,Stephan Jiggetts made Three Point Jumper.,65,48
10:33,161,Foul on Kaleb Bishop.,65,48
10:33,2612,Nick Griffin made Free Throw.,66,48
10:33,2612,Nick Griffin made Free Throw.,67,48
10:26,161,Mike Holloway missed Jumper.,67,48
10:26,2612,Nnamdi Enechionyia Defensive Rebound.,67,48
10:06,2612,Nnamdi Enechionyia missed Three Point Jumper.,67,48
10:06,2612,Chazz Patterson Offensive Rebound.,67,48
10:02,2612,Chazz Patterson made Dunk.,69,48
9:54,2612,Foul on Quadir Welton.,69,48
9:54,161,Stephan Jiggetts missed Free Throw.,69,48
9:54,2612,Chazz Patterson Defensive Rebound.,69,48
9:30,2612,Sam Idowu missed Three Point Jumper.,69,48
9:30,161,Stephan Jiggetts Defensive Rebound.,69,48
9:19,161,Stephan Jiggetts made Jumper.,69,50
9:05,161,Foul on Malik Miller.,69,50
9:05,2612,Nick Griffin made Free Throw.,70,50
9:05,2612,Nick Griffin made Free Throw.,71,50
8:53,161,Kaleb Bishop missed Three Point Jumper.,71,50
8:53,2612,Chazz Patterson Defensive Rebound.,71,50
8:25,2612,Antwon Portley missed Three Point Jumper.,71,50
8:25,161,Mike Holloway Defensive Rebound.,71,50
8:19,161,Darian Anderson made Three Point Jumper.,71,53
8:02,2612,Quadir Welton missed Layup.,71,53
8:02,161,Kaleb Bishop Block.,71,53
8:01,2612,Quadir Welton Offensive Rebound.,71,53
7:59,2612,Quadir Welton made Layup.,73,53
7:43,161,Darian Anderson missed Three Point Jumper.,73,53
7:43,2612,Chazz Patterson Defensive Rebound.,73,53
7:42,161,Foul on Darian Anderson.,73,53
7:42,161,Official TV Timeout,73,53
7:42,2612,Chazz Patterson made Free Throw.,74,53
7:42,2612,Chazz Patterson made Free Throw.,75,53
7:19,2612,Foul on Quadir Welton.,75,53
7:19,161,Mike Holloway missed Free Throw.,75,53
7:19,2612,Quadir Welton Defensive Rebound.,75,53
7:02,2612,Quadir Welton made Layup.,77,53
6:44,161,Mike Holloway Turnover.,77,53
6:43,2612,Antwon Portley Steal.,77,53
6:37,2612,Nnamdi Enechionyia missed Three Point Jumper.,77,53
6:37,2612,Chazz Patterson Offensive Rebound.,77,53
6:09,161,Foul on Darnell Edge.,77,53
6:09,2612,Trevis Wyche missed Free Throw.,77,53
6:09,2612,Saint Peter's Deadball Team Rebound.,77,53
6:09,2612,Trevis Wyche made Free Throw.,78,53
5:54,161,Stephan Jiggetts missed Layup.,78,53
5:54,2612,Quadir Welton Block.,78,53
5:53,2612,Saint Peter's Defensive Rebound.,78,53
5:31,161,Foul on Darnell Edge.,78,53
5:31,2612,Quadir Welton missed Free Throw.,78,53
5:31,2612,Saint Peter's Deadball Team Rebound.,78,53
5:31,2612,Quadir Welton missed Free Throw.,78,53
5:31,161,Malik Miller Defensive Rebound.,78,53
5:09,161,Malik Miller missed Three Point Jumper.,78,53
5:09,2612,Quadir Welton Defensive Rebound.,78,53
4:41,2612,Trevis Wyche missed Three Point Jumper.,78,53
4:41,161,Malik Miller Defensive Rebound.,78,53
4:36,161,DaRon Curry missed Three Point Jumper.,78,53
4:36,2612,Antwon Portley Defensive Rebound.,78,53
4:11,2612,Chazz Patterson missed Dunk.,78,53
4:11,2612,Quadir Welton Offensive Rebound.,78,53
4:09,161,Foul on Dondre Rhoden.,78,53
4:09,2612,Quadir Welton made Free Throw.,79,53
4:09,2612,Quadir Welton made Free Throw.,80,53
4:03,161,DaRon Curry made Layup.,80,55
3:41,161,Mike Schroback missed Three Point Jumper.,80,55
3:41,161,Fairleigh Dickinson Offensive Rebound.,80,55
3:41,161,Official TV Timeout,80,55
3:13,2612,Nick Griffin missed Three Point Jumper.,80,55
3:13,2612,Quinn Taylor Offensive Rebound.,80,55
2:53,2612,Nick Griffin made Jumper. Assisted by Cavon Baker.,82,55
2:40,161,Mike Schroback Turnover.,82,55
2:10,2612,Saint Peter's  Turnover.,82,55
1:52,161,Malik Miller made Jumper.,82,57
1:17,2612,Cavon Baker missed Three Point Jumper.,82,57
1:17,2612,Quinn Taylor Offensive Rebound.,82,57
0:55,161,Foul on Mike Schroback.,82,57
0:55,2612,Antwon Portley made Free Throw.,83,57
0:55,2612,Antwon Portley made Free Throw.,84,57
0:47,2612,Foul on J.R. William.,84,57
0:47,161,Mike Schroback made Free Throw.,84,58
0:47,161,Mike Schroback missed Free Throw.,84,58
0:47,2612,Sean Barksdale Defensive Rebound.,84,58
0:37,2612,Cavon Baker Turnover.,84,58
0:36,161,Kaleb Bishop Steal.,84,58
0:34,161,DaRon Curry missed Three Point Jumper.,84,58
0:34,2612,Saint Peter's Defensive Rebound.,84,58
0:21,2612,Sean Barksdale missed Three Point Jumper.,84,58
0:21,2612,Mamadou Ndiaye Offensive Rebound.,84,58
0:00,161,End of Game,84,58
