Omaha,2239,CS Fullerton,2437
17:56,2239,Jackson Rowe made Layup.,41,27
17:37,2437,Marcus Tyus made Layup. Assisted by Daniel Meyer.,43,27
17:18,2239,Tre Coggins missed Three Point Jumper.,43,27
17:18,2239,Lionheart Leslie Offensive Rebound.,43,27
17:11,2239,Lionheart Leslie made Layup.,43,29
16:56,2437,Tra-Deon Hollins made Three Point Jumper.,46,29
16:42,2437,Foul on JT Gibson.,46,29
16:25,2239,Arkim Robertson made Layup. Assisted by Tre Coggins.,46,31
16:08,2437,Marcus Tyus made Layup.,48,31
15:52,2239,Arkim Robertson made Layup.,48,33
15:52,2437,Foul on Marcus Tyus.,48,33
15:52,2239,Official TV Timeout,48,33
15:52,2239,Arkim Robertson made Free Throw.,48,34
15:39,2437,JT Gibson Turnover.,48,34
15:38,2239,Arkim Robertson Steal.,48,34
15:38,2437,Foul on Tra-Deon Hollins.,48,34
15:29,2239,Tre Coggins made Three Point Jumper. Assisted by Lionheart Leslie.,48,37
15:07,2437,Zach Pirog missed Jumper.,48,37
15:07,2239,Tre Coggins Defensive Rebound.,48,37
14:58,2437,Foul on Mitchell Hahn.,48,37
14:58,2239,Tre Coggins made Free Throw.,48,38
14:58,2239,Tre Coggins made Free Throw.,48,39
14:58,2239,Tre Coggins made Free Throw.,48,40
14:43,2437,Foul on Tra-Deon Hollins.,48,40
14:43,2239,Lionheart Leslie made Free Throw.,48,41
14:43,2239,Lionheart Leslie made Free Throw.,48,42
14:11,2437,Daniel Norl missed Jumper.,48,42
14:11,2239,CS Fullerton Defensive Rebound.,48,42
13:56,2239,Tre Coggins made Three Point Jumper. Assisted by Kyle Allman.,48,45
13:39,2239,Foul on Arkim Robertson.,48,45
13:39,2437,Tre'Shawn Thurman made Free Throw.,49,45
13:39,2437,Tre'Shawn Thurman missed Free Throw.,49,45
13:39,2437,KJ Robinson Offensive Rebound.,49,45
13:36,2239,Foul on Tre Coggins.,49,45
13:33,2437,Marcus Tyus made Jumper. Assisted by KJ Robinson.,51,45
13:33,2239,Foul on Kyle Allman.,51,45
13:33,2437,Marcus Tyus made Free Throw.,52,45
13:06,2239,Jackson Rowe Offensive Rebound.,52,45
13:06,2239,Arkim Robertson missed Jumper.,52,45
13:00,2239,CS Fullerton  Turnover.,52,45
12:57,2437,KJ Robinson made Jumper.,54,45
12:33,2239,Dwight Ramos missed Three Point Jumper.,54,45
12:33,2437,Omaha Defensive Rebound.,54,45
12:15,2437,Tre'Shawn Thurman missed Jumper.,54,45
12:15,2239,Lionheart Leslie Defensive Rebound.,54,45
12:01,2239,Foul on Richard Peters.,54,45
12:01,2239,Richard Peters Turnover.,54,45
11:48,2437,Tre'Shawn Thurman missed Layup.,54,45
11:48,2239,Lionheart Leslie Defensive Rebound.,54,45
11:38,2239,Dwight Ramos made Layup. Assisted by Lionheart Leslie.,54,47
11:22,2437,Marcus Tyus Turnover.,54,47
11:22,2239,Lionheart Leslie Steal.,54,47
11:18,2239,Austen Awosika missed Three Point Jumper.,54,47
11:18,2239,Richard Peters Offensive Rebound.,54,47
11:11,2239,Lionheart Leslie missed Three Point Jumper.,54,47
11:11,2437,Tre'Shawn Thurman Defensive Rebound.,54,47
11:05,2437,Tre'Shawn Thurman Turnover.,54,47
11:04,2239,Austen Awosika Steal.,54,47
10:46,2239,Lionheart Leslie missed Three Point Jumper.,54,47
10:46,2239,Jackson Rowe Offensive Rebound.,54,47
10:38,2239,Dwight Ramos made Three Point Jumper. Assisted by Jackson Rowe.,54,50
10:18,2239,Foul on Lionheart Leslie.,54,50
10:18,2239,Official TV Timeout,54,50
10:18,2437,KJ Robinson made Free Throw.,55,50
10:18,2437,KJ Robinson made Free Throw.,56,50
10:04,2239,Tre Coggins missed Three Point Jumper.,56,50
10:04,2437,Tra-Deon Hollins Defensive Rebound.,56,50
9:53,2437,Zach Jackson missed Layup.,56,50
9:53,2437,Zach Jackson Offensive Rebound.,56,50
9:46,2437,Tre'Shawn Thurman missed Layup.,56,50
9:46,2437,Tre'Shawn Thurman Offensive Rebound.,56,50
9:43,2437,Tre'Shawn Thurman missed Layup.,56,50
9:43,2437,Tra-Deon Hollins Offensive Rebound.,56,50
9:40,2437,Tra-Deon Hollins missed Layup.,56,50
9:40,2239,Dwight Ramos Defensive Rebound.,56,50
9:35,2239,Tre Coggins missed Three Point Jumper.,56,50
9:35,2437,Daniel Meyer Defensive Rebound.,56,50
9:25,2437,JT Gibson missed Three Point Jumper.,56,50
9:25,2437,Omaha Offensive Rebound.,56,50
9:23,2239,Foul on Tre Coggins.,56,50
9:19,2437,JT Gibson missed Jumper.,56,50
9:19,2239,Kyle Allman Block.,56,50
9:17,2437,Zach Jackson Offensive Rebound.,56,50
9:17,2437,Zach Jackson Turnover.,56,50
9:01,2437,Foul on JT Gibson.,56,50
9:01,2239,Austen Awosika missed Free Throw.,56,50
9:01,2239,CS Fullerton Deadball Team Rebound.,56,50
9:01,2239,Austen Awosika missed Free Throw.,56,50
9:01,2437,Tra-Deon Hollins Defensive Rebound.,56,50
8:54,2437,Tra-Deon Hollins missed Layup.,56,50
8:54,2239,Jackson Rowe Block.,56,50
8:50,2239,Austen Awosika Defensive Rebound.,56,50
8:48,2239,Kyle Allman missed Layup.,56,50
8:48,2437,Mitchell Hahn Defensive Rebound.,56,50
8:36,2437,Daniel Meyer Turnover.,56,50
8:34,2239,Austen Awosika Steal.,56,50
8:32,2239,Austen Awosika made Layup.,56,52
8:15,2437,Zach Jackson missed Three Point Jumper.,56,52
8:15,2437,Mitchell Hahn Offensive Rebound.,56,52
8:10,2437,Mitchell Hahn missed Layup.,56,52
8:10,2239,Richard Peters Defensive Rebound.,56,52
8:02,2239,Richard Peters missed Jumper.,56,52
8:02,2437,Daniel Meyer Defensive Rebound.,56,52
7:42,2437,Tra-Deon Hollins made Jumper.,58,52
7:20,2239,Kyle Allman missed Layup.,58,52
7:20,2239,Jackson Rowe Offensive Rebound.,58,52
7:17,2239,Jackson Rowe missed Layup.,58,52
7:17,2239,Richard Peters Offensive Rebound.,58,52
7:16,2437,Foul on Daniel Meyer.,58,52
7:16,2239,Official TV Timeout,58,52
7:16,2239,Richard Peters missed Free Throw.,58,52
7:16,2239,CS Fullerton Deadball Team Rebound.,58,52
7:16,2239,Richard Peters missed Free Throw.,58,52
7:16,2437,Tre'Shawn Thurman Defensive Rebound.,58,52
7:10,2437,Zach Jackson missed Jumper.,58,52
7:10,2239,Dwight Ramos Block.,58,52
7:06,2239,Austen Awosika Defensive Rebound.,58,52
6:49,2239,Austen Awosika Turnover.,58,52
6:48,2437,Tra-Deon Hollins Steal.,58,52
6:42,2437,Tre'Shawn Thurman missed Jumper.,58,52
6:42,2239,Richard Peters Defensive Rebound.,58,52
6:23,2437,Foul on Marcus Tyus.,58,52
6:23,2239,Dwight Ramos made Free Throw.,58,53
6:23,2239,Dwight Ramos missed Free Throw.,58,53
6:23,2437,Zach Pirog Defensive Rebound.,58,53
6:17,2239,Foul on Arkim Robertson.,58,53
6:17,2437,Tra-Deon Hollins made Free Throw.,59,53
6:17,2437,Tra-Deon Hollins made Free Throw.,60,53
5:46,2239,Dwight Ramos Turnover.,60,53
5:46,2437,Tra-Deon Hollins Steal.,60,53
5:43,2437,Tra-Deon Hollins made Layup.,62,53
5:17,2239,Dwight Ramos missed Three Point Jumper.,62,53
5:17,2437,Tre'Shawn Thurman Defensive Rebound.,62,53
4:48,2437,Zach Pirog made Dunk. Assisted by Tra-Deon Hollins.,64,53
4:47,2437,Omaha  Timeout,64,53
4:26,2239,Jackson Rowe made Layup. Assisted by Lionheart Leslie.,64,55
4:08,2437,Tre'Shawn Thurman made Jumper.,66,55
3:53,2239,Jackson Rowe made Three Point Jumper. Assisted by Tre Coggins.,66,58
3:29,2239,Foul on Jackson Rowe.,66,58
3:29,2239,Official TV Timeout,66,58
3:29,2437,Tra-Deon Hollins made Free Throw.,67,58
3:29,2437,Tra-Deon Hollins made Free Throw.,68,58
3:16,2239,Tre Coggins missed Three Point Jumper.,68,58
3:16,2437,Tra-Deon Hollins Defensive Rebound.,68,58
2:48,2437,Mitchell Hahn missed Three Point Jumper.,68,58
2:48,2437,Omaha Offensive Rebound.,68,58
2:25,2437,Tre'Shawn Thurman made Jumper.,70,58
2:15,2437,Foul on Tra-Deon Hollins.,70,58
2:15,2239,Lionheart Leslie missed Free Throw.,70,58
2:15,2239,CS Fullerton Deadball Team Rebound.,70,58
2:15,2239,Lionheart Leslie made Free Throw.,70,59
2:07,2239,Foul on Dwight Ramos.,70,59
2:07,2437,Tra-Deon Hollins made Free Throw.,71,59
2:07,2437,Tra-Deon Hollins made Free Throw.,72,59
1:59,2239,Kyle Allman missed Jumper.,72,59
1:59,2437,Tre'Shawn Thurman Defensive Rebound.,72,59
1:54,2239,Foul on Dwight Ramos.,72,59
1:54,2437,Tre'Shawn Thurman made Free Throw.,73,59
1:54,2437,Tre'Shawn Thurman made Free Throw.,74,59
1:48,2239,Tre Coggins made Layup.,74,61
1:42,2437,Omaha  Timeout,74,61
1:37,2239,Foul on Dwight Ramos.,74,61
1:37,2437,Tra-Deon Hollins made Free Throw.,75,61
1:37,2437,Tra-Deon Hollins made Free Throw.,76,61
1:26,2239,Austen Awosika made Layup.,76,63
1:18,2239,Foul on Austen Awosika.,76,63
1:18,2437,Zach Jackson made Free Throw.,77,63
1:18,2437,Zach Jackson made Free Throw.,78,63
1:11,2239,Dwight Ramos made Three Point Jumper. Assisted by Jackson Rowe.,78,66
1:03,2239,Foul on Jackson Rowe.,78,66
1:03,2437,Zach Jackson made Free Throw.,79,66
1:03,2437,Zach Jackson made Free Throw.,80,66
0:55,2239,Dwight Ramos made Three Point Jumper. Assisted by Austen Awosika.,80,69
0:53,2239,Foul on Lionheart Leslie.,80,69
0:53,2437,Marcus Tyus missed Free Throw.,80,69
0:53,2437,Omaha Deadball Team Rebound.,80,69
0:53,2437,Marcus Tyus made Free Throw.,81,69
0:46,2239,Lionheart Leslie made Layup.,81,71
0:45,2239,Foul on Dwight Ramos.,81,71
0:45,2437,Zach Jackson made Free Throw.,82,71
0:45,2437,Zach Jackson made Free Throw.,83,71
0:32,2239,Jackson Rowe missed Three Point Jumper.,83,71
0:32,2239,Tre Coggins Offensive Rebound.,83,71
0:27,2239,Tre Coggins made Layup.,83,73
0:00,2239,End of Game,83,73
