Denver,2751,Wyoming,2172
11:05,2751,Alan Herndon Defensive Rebound.,10,21
10:55,2751,Alan Herndon missed Layup.,10,21
10:55,2751,Hayden Dalton Offensive Rebound.,10,21
10:52,2751,Hayden Dalton made Dunk.,10,23
10:47,2172,Denver  Timeout,10,23
10:47,2172,Denver  Timeout,10,23
10:32,2172,C.J. Bobbitt made Jumper.,12,23
10:32,2751,Foul on Louis Adams.,12,23
10:32,2172,C.J. Bobbitt made Free Throw.,13,23
10:20,2751,Louis Adams missed Layup.,13,23
10:20,2172,Christian Mackey Defensive Rebound.,13,23
10:10,2172,C.J. Bobbitt missed Jumper.,13,23
10:10,2751,Louis Adams Defensive Rebound.,13,23
10:03,2751,Jason McManamen missed Three Point Jumper.,13,23
10:03,2172,Joe Rosga Defensive Rebound.,13,23
9:53,2172,Christian Mackey missed Layup.,13,23
9:53,2751,Hayden Dalton Defensive Rebound.,13,23
9:42,2751,Alan Herndon missed Jumper.,13,23
9:42,2751,Jeremy Lieberman Offensive Rebound.,13,23
9:34,2172,Foul on Thomas Neff.,13,23
9:15,2751,Jason McManamen made Three Point Jumper. Assisted by Hayden Dalton.,13,26
8:56,2172,Bradley George made Three Point Jumper. Assisted by Duke Douglas.,16,26
8:42,2751,Justin James made Jumper.,16,28
8:26,2172,Joe Rosga made Three Point Jumper. Assisted by Duke Douglas.,19,28
8:14,2751,Jeremy Lieberman made Jumper.,19,30
7:50,2172,Joe Rosga made Three Point Jumper. Assisted by Duke Douglas.,22,30
7:30,2751,Jason McManamen made Jumper.,22,32
7:11,2172,C.J. Bobbitt Turnover.,22,32
7:10,2751,Jeremy Lieberman Steal.,22,32
7:06,2751,Jeremy Lieberman missed Layup.,22,32
7:06,2172,Bradley George Block.,22,32
7:04,2172,Duke Douglas Defensive Rebound.,22,32
7:00,2172,Duke Douglas Turnover.,22,32
7:00,2751,Justin James Steal.,22,32
6:54,2751,Jason McManamen missed Three Point Jumper.,22,32
6:54,2172,Denver Defensive Rebound.,22,32
6:51,2751,Wyoming  Timeout,22,32
6:35,2172,Jake Pemberton missed Jumper.,22,32
6:35,2751,Alexander Aka Gorski Block.,22,32
6:34,2172,Denver Offensive Rebound.,22,32
6:30,2172,Joe Rosga Turnover.,22,32
6:30,2172,Foul on Joe Rosga.,22,32
6:06,2172,Foul on Daniel Amigo.,22,32
6:06,2751,Jordan Naughton made Free Throw.,22,33
6:06,2751,Jordan Naughton made Free Throw.,22,34
5:41,2172,Jake Krafka missed Three Point Jumper.,22,34
5:41,2751,Alexander Aka Gorski Defensive Rebound.,22,34
5:30,2751,Justin James missed Jumper.,22,34
5:30,2751,Cody Kelley Offensive Rebound.,22,34
5:15,2751,Alan Herndon made Three Point Jumper. Assisted by Cody Kelley.,22,37
4:57,2172,Joe Rosga missed Three Point Jumper.,22,37
4:57,2751,Jordan Naughton Defensive Rebound.,22,37
4:36,2751,Jordan Naughton made Jumper. Assisted by Cody Kelley.,22,39
4:26,2751,Foul on Alexander Aka Gorski.,22,39
4:15,2172,Ade Murkey missed Jumper.,22,39
4:15,2172,Christian Mackey Offensive Rebound.,22,39
4:11,2172,Christian Mackey made Layup.,24,39
3:59,2751,Alexander Aka Gorski missed Three Point Jumper.,24,39
3:59,2172,Christian Mackey Defensive Rebound.,24,39
3:45,2172,Jake Pemberton Turnover.,24,39
3:45,2751,Wyoming  Timeout,24,39
3:29,2751,Alan Herndon missed Three Point Jumper.,24,39
3:29,2172,Joe Rosga Defensive Rebound.,24,39
3:17,2172,Ade Murkey Turnover.,24,39
3:03,2751,Justin James made Three Point Jumper. Assisted by Jason McManamen.,24,42
2:38,2172,Ade Murkey missed Three Point Jumper.,24,42
2:38,2172,Christian Mackey Offensive Rebound.,24,42
2:35,2172,Christian Mackey made Layup.,26,42
2:11,2751,Louis Adams made Jumper.,26,44
1:53,2172,Christian Mackey Turnover.,26,44
1:53,2172,Foul on Christian Mackey.,26,44
1:36,2751,Jason McManamen missed Three Point Jumper.,26,44
1:36,2172,Ade Murkey Defensive Rebound.,26,44
1:29,2172,Joe Rosga Turnover.,26,44
1:27,2751,Louis Adams Steal.,26,44
1:25,2751,Louis Adams made Dunk.,26,46
0:51,2172,Jake Pemberton made Jumper.,28,46
0:29,2751,Hayden Dalton missed Three Point Jumper.,28,46
0:29,2172,Jake Pemberton Defensive Rebound.,28,46
0:04,2172,Joe Rosga made Layup.,30,46
0:00,2751,End of 1st half,30,46
19:45,2172,Joe Rosga missed Three Point Jumper.,30,46
19:45,2751,Wyoming Defensive Rebound.,30,46
19:05,2751,Wyoming  Turnover.,30,46
18:58,2751,Foul on Alexander Aka Gorski.,30,46
18:42,2172,Thomas Neff missed Layup.,30,46
18:42,2172,Daniel Amigo Offensive Rebound.,30,46
18:31,2172,Joe Rosga missed Jumper.,30,46
18:31,2172,C.J. Bobbitt Offensive Rebound.,30,46
18:23,2172,C.J. Bobbitt missed Three Point Jumper.,30,46
18:23,2751,Justin James Defensive Rebound.,30,46
18:13,2751,Justin James made Three Point Jumper. Assisted by Jeremy Lieberman.,30,49
17:57,2172,Daniel Amigo missed Jumper.,30,49
17:57,2751,Jason McManamen Defensive Rebound.,30,49
17:42,2751,Alan Herndon missed Three Point Jumper.,30,49
17:42,2172,Jake Pemberton Defensive Rebound.,30,49
17:29,2172,Daniel Amigo Turnover.,30,49
17:02,2751,Jason McManamen Turnover.,30,49
17:00,2172,Thomas Neff Steal.,30,49
16:51,2751,Foul on Jeremy Lieberman.,30,49
16:51,2172,Joe Rosga missed Free Throw.,30,49
16:51,2172,Denver Deadball Team Rebound.,30,49
16:51,2172,Joe Rosga made Free Throw.,31,49
16:45,2751,Jeremy Lieberman Turnover.,31,49
16:44,2172,Joe Rosga Steal.,31,49
16:42,2172,Joe Rosga made Layup.,33,49
16:13,2172,Foul on Daniel Amigo.,33,49
16:13,2751,Jeremy Lieberman made Free Throw.,33,50
16:13,2751,Jeremy Lieberman made Free Throw.,33,51
16:05,2172,Jake Krafka made Jumper. Assisted by Joe Rosga.,35,51
15:49,2751,Justin James missed Jumper.,35,51
15:49,2172,Jake Krafka Defensive Rebound.,35,51
15:42,2172,Daniel Amigo made Layup. Assisted by Jake Pemberton.,37,51
15:26,2172,Foul on Daniel Amigo.,37,51
15:26,2751,Wyoming  Timeout,37,51
15:25,2172,Foul on Jake Krafka.,37,51
15:18,2751,Alan Herndon Turnover.,37,51
15:18,2751,Foul on Alan Herndon.,37,51
15:08,2172,Christian Mackey made Layup. Assisted by Jake Pemberton.,39,51
14:54,2751,Jason McManamen made Three Point Jumper. Assisted by Cody Kelley.,39,54
14:38,2172,Thomas Neff missed Three Point Jumper.,39,54
14:38,2751,Alan Herndon Defensive Rebound.,39,54
14:27,2751,Jonathan Barnes made Layup. Assisted by Jason McManamen.,39,56
13:58,2172,Jake Pemberton Turnover.,39,56
13:56,2751,Cody Kelley Steal.,39,56
13:54,2172,Foul on Jake Pemberton.,39,56
13:54,2751,Cody Kelley missed Free Throw.,39,56
13:54,2751,Wyoming Deadball Team Rebound.,39,56
13:54,2751,Cody Kelley missed Free Throw.,39,56
13:54,2172,Jake Pemberton Defensive Rebound.,39,56
13:54,2172,Jake Pemberton missed Three Point Jumper.,39,56
13:54,2751,Hayden Dalton Defensive Rebound.,39,56
13:49,2751,Jason McManamen missed Three Point Jumper.,39,56
13:49,2172,Bradley George Defensive Rebound.,39,56
13:17,2751,Foul on Jonathan Barnes.,39,56
13:14,2751,Foul on Louis Adams.,39,56
13:14,2172,Thomas Neff made Free Throw.,40,56
13:14,2172,Thomas Neff missed Free Throw.,40,56
13:14,2751,Hayden Dalton Defensive Rebound.,40,56
13:05,2751,Louis Adams Turnover.,40,56
13:03,2172,Jake Pemberton Steal.,40,56
13:02,2751,Foul on Cody Kelley.,40,56
12:47,2172,Thomas Neff made Three Point Jumper. Assisted by Jake Pemberton.,43,56
12:27,2751,Hayden Dalton missed Three Point Jumper.,43,56
12:27,2172,Jake Krafka Defensive Rebound.,43,56
12:14,2172,Thomas Neff missed Jumper.,43,56
12:14,2751,Hayden Dalton Defensive Rebound.,43,56
12:04,2751,Louis Adams made Layup.,43,58
12:01,2172,Foul on Jake Krafka.,43,58
12:01,2751,Louis Adams made Free Throw.,43,59
11:49,2172,Jake Krafka missed Jumper.,43,59
11:49,2172,Duke Douglas Offensive Rebound.,43,59
11:27,2172,Bradley George made Three Point Jumper. Assisted by Abiola Akintola.,46,59
11:18,2751,Jason McManamen Turnover.,46,59
11:17,2172,Jake Pemberton Steal.,46,59
11:14,2172,Jake Pemberton made Layup.,48,59
11:05,2751,Wyoming  Timeout,48,59
10:42,2172,Foul on Abiola Akintola.,48,59
10:42,2751,Wyoming  Timeout,48,59
10:42,2751,Louis Adams missed Free Throw.,48,59
10:42,2751,Wyoming Deadball Team Rebound.,48,59
10:42,2751,Louis Adams made Free Throw.,48,60
10:42,2751,Louis Adams made Free Throw.,48,61
10:32,2172,Duke Douglas missed Jumper.,48,61
10:32,2751,Justin James Defensive Rebound.,48,61
10:26,2751,Justin James Turnover.,48,61
10:26,2751,Foul on Justin James.,48,61
10:11,2172,C.J. Bobbitt Turnover.,48,61
10:11,2172,Foul on C.J. Bobbitt.,48,61
10:00,2751,Louis Adams missed Jumper.,48,61
10:00,2751,Alan Herndon Offensive Rebound.,48,61
9:57,2751,Alan Herndon missed Jumper.,48,61
9:57,2172,Denver Defensive Rebound.,48,61
9:52,2751,Foul on Louis Adams.,48,61
9:52,2172,Abiola Akintola made Free Throw.,49,61
9:52,2172,Abiola Akintola missed Free Throw.,49,61
9:52,2751,Alan Herndon Defensive Rebound.,49,61
9:45,2751,Jason McManamen missed Three Point Jumper.,49,61
9:45,2751,Alan Herndon Offensive Rebound.,49,61
9:32,2751,Hayden Dalton missed Three Point Jumper.,49,61
9:32,2751,Louis Adams Offensive Rebound.,49,61
9:28,2751,Louis Adams made Jumper.,49,63
9:06,2172,Jake Krafka made Three Point Jumper. Assisted by Joe Rosga.,52,63
8:47,2751,Alan Herndon made Layup. Assisted by Jason McManamen.,52,65
8:32,2751,Foul on Hayden Dalton.,52,65
8:32,2172,Abiola Akintola made Free Throw.,53,65
8:32,2172,Abiola Akintola made Free Throw.,54,65
7:55,2172,Duke Douglas made Jumper. Assisted by Jake Pemberton.,56,65
7:31,2751,Justin James missed Jumper.,56,65
7:31,2172,Joe Rosga Defensive Rebound.,56,65
7:11,2172,Duke Douglas missed Three Point Jumper.,56,65
7:11,2172,Christian Mackey Offensive Rebound.,56,65
7:01,2172,Christian Mackey missed Jumper.,56,65
7:01,2751,Hayden Dalton Defensive Rebound.,56,65
6:55,2751,Hayden Dalton Turnover.,56,65
6:54,2172,Duke Douglas Steal.,56,65
6:33,2172,Denver  Timeout,56,65
6:32,2172,Joe Rosga missed Jumper.,56,65
6:32,2751,Alan Herndon Defensive Rebound.,56,65
6:16,2751,Alexander Aka Gorski missed Three Point Jumper.,56,65
6:16,2751,Justin James Offensive Rebound.,56,65
6:13,2751,Justin James made Layup.,56,67
5:57,2172,Jake Krafka missed Layup.,56,67
5:57,2751,Jason McManamen Defensive Rebound.,56,67
5:50,2751,Jason McManamen missed Three Point Jumper.,56,67
5:50,2172,Christian Mackey Defensive Rebound.,56,67
5:36,2172,Joe Rosga missed Layup.,56,67
5:36,2751,Hayden Dalton Block.,56,67
5:34,2172,Denver Offensive Rebound.,56,67
5:31,2172,Jake Pemberton missed Three Point Jumper.,56,67
5:31,2751,Hayden Dalton Defensive Rebound.,56,67
5:09,2751,Justin James made Jumper. Assisted by Jason McManamen.,56,69
4:52,2172,Christian Mackey made Layup. Assisted by Joe Rosga.,58,69
4:34,2751,Jordan Naughton made Dunk. Assisted by Justin James.,58,71
4:21,2172,Joe Rosga missed Three Point Jumper.,58,71
4:21,2172,Joe Rosga Offensive Rebound.,58,71
4:17,2172,Joe Rosga made Layup.,60,71
3:56,2751,Jason McManamen missed Three Point Jumper.,60,71
3:56,2172,Christian Mackey Defensive Rebound.,60,71
3:28,2751,Foul on Alexander Aka Gorski.,60,71
3:28,2172,Denver  Timeout,60,71
3:28,2172,Christian Mackey made Free Throw.,61,71
3:28,2172,Christian Mackey made Free Throw.,62,71
3:14,2751,Louis Adams missed Layup.,62,71
3:14,2172,Thomas Neff Block.,62,71
3:12,2172,Joe Rosga Defensive Rebound.,62,71
2:50,2751,Foul on Justin James.,62,71
2:50,2172,C.J. Bobbitt made Free Throw.,63,71
2:50,2172,C.J. Bobbitt missed Free Throw.,63,71
2:50,2751,Wyoming Defensive Rebound.,63,71
2:38,2751,Justin James missed Jumper.,63,71
2:38,2172,Duke Douglas Block.,63,71
2:36,2172,Denver Defensive Rebound.,63,71
2:23,2172,Duke Douglas Turnover.,63,71
2:10,2751,Louis Adams made Jumper.,63,73
2:10,2172,Foul on Thomas Neff.,63,73
2:10,2751,Louis Adams made Free Throw.,63,74
1:55,2172,Joe Rosga missed Jumper.,63,74
1:55,2751,Alan Herndon Block.,63,74
1:53,2172,Denver Offensive Rebound.,63,74
1:52,2172,Joe Rosga missed Three Point Jumper.,63,74
1:52,2751,Jason McManamen Defensive Rebound.,63,74
1:44,2751,Justin James made Layup.,63,76
1:26,2172,Joe Rosga made Three Point Jumper. Assisted by Jake Pemberton.,66,76
1:19,2172,Denver  Timeout,66,76
1:16,2172,Foul on Thomas Neff.,66,76
1:16,2751,Cody Kelley missed Free Throw.,66,76
1:16,2172,Jake Krafka Defensive Rebound.,66,76
1:10,2172,Daniel Amigo missed Layup.,66,76
1:10,2751,Alan Herndon Block.,66,76
1:06,2172,Daniel Amigo Offensive Rebound.,66,76
1:03,2172,Daniel Amigo made Layup.,68,76
1:02,2751,Cody Kelley Turnover.,68,76
1:02,2751,Foul on Cody Kelley.,68,76
1:00,2172,Thomas Neff missed Three Point Jumper.,68,76
1:00,2751,Jeremy Lieberman Defensive Rebound.,68,76
0:56,2172,Foul on Jake Pemberton.,68,76
0:56,2751,Jeremy Lieberman made Free Throw.,68,77
0:56,2751,Jeremy Lieberman made Free Throw.,68,78
0:48,2172,Daniel Amigo missed Jumper.,68,78
0:48,2751,Alan Herndon Block.,68,78
0:46,2751,Justin James Defensive Rebound.,68,78
0:40,2172,Foul on Jake Krafka.,68,78
0:40,2751,Jason McManamen made Free Throw.,68,79
0:40,2751,Jason McManamen made Free Throw.,68,80
0:33,2172,Daniel Amigo made Jumper.,70,80
0:31,2172,Denver  Timeout,70,80
0:30,2172,Foul on Joe Rosga.,70,80
0:30,2751,Justin James made Free Throw.,70,81
0:30,2751,Justin James made Free Throw.,70,82
0:21,2172,Joe Rosga Turnover.,70,82
0:00,2751,End of Game,70,82
