Alcorn State,2539,San Francisco,2016
10:35,2539,Matt McCarthy Defensive Rebound.,12,25
10:25,2539,Nate Renfro missed Three Point Jumper.,12,25
10:25,2016,Tyler Carter Defensive Rebound.,12,25
10:17,2016,A.J. Mosby made Jumper.,14,25
10:06,2539,Chase Foster missed Layup.,14,25
10:06,2016,Alcorn St Defensive Rebound.,14,25
10:04,2539,Foul on Matt McCarthy.,14,25
9:44,2016,Reginal Johnson missed Jumper.,14,25
9:44,2016,Yalen Reed Offensive Rebound.,14,25
9:40,2016,Yalen Reed made Two Point Tip Shot.,16,25
9:31,2539,Ronnie Boyce made Three Point Jumper.,16,28
9:17,2016,Tyler Carter missed Layup.,16,28
9:17,2539,Chase Foster Block.,16,28
9:17,2539,Mladen Djordjevic Defensive Rebound.,16,28
9:17,2016,Foul on Tyler Carter.,16,28
9:01,2539,Chase Foster made Layup.,16,30
8:51,2016,A.J. Mosby made Three Point Jumper. Assisted by Maurice Howard.,19,30
8:37,2539,Chase Foster Turnover.,19,30
8:36,2016,A.J. Mosby Steal.,19,30
8:33,2016,A.J. Mosby missed Layup.,19,30
8:33,2016,Denzel Dulin Offensive Rebound.,19,30
8:30,2016,Denzel Dulin missed Layup.,19,30
8:30,2016,Alcorn St Offensive Rebound.,19,30
8:17,2016,Denzel Dulin Turnover.,19,30
8:17,2539,Mladen Djordjevic Steal.,19,30
8:15,2539,Mladen Djordjevic made Layup.,19,32
7:46,2016,Reginal Johnson made Jumper.,21,32
7:31,2539,Jordan Ratinho missed Three Point Jumper.,21,32
7:31,2539,Jimbo Lull Offensive Rebound.,21,32
7:17,2539,Jimbo Lull missed Jumper.,21,32
7:17,2016,Yalen Reed Block.,21,32
7:14,2016,Denzel Dulin Defensive Rebound.,21,32
7:06,2016,Reginal Johnson missed Layup.,21,32
7:06,2016,Alcorn St Offensive Rebound.,21,32
6:50,2539,Official TV Timeout,21,32
6:34,2016,Reginal Johnson missed Jumper.,21,32
6:34,2539,Jordan Ratinho Defensive Rebound.,21,32
6:27,2539,Jordan Ratinho made Layup.,21,34
6:27,2016,Foul on A.J. Mosby.,21,34
6:27,2539,Jordan Ratinho made Free Throw.,21,35
6:16,2539,Foul on Mladen Djordjevic.,21,35
6:04,2016,Reginal Johnson missed Three Point Jumper.,21,35
6:04,2539,Charles Minlend Defensive Rebound.,21,35
5:49,2539,Jordan Ratinho missed Layup.,21,35
5:49,2016,Denzel Dulin Block.,21,35
5:47,2016,Reginal Johnson Defensive Rebound.,21,35
5:38,2016,Marquis Vance missed Layup.,21,35
5:38,2016,Alcorn St Offensive Rebound.,21,35
5:32,2016,Reginal Johnson made Layup.,23,35
5:10,2539,Charles Minlend made Jumper.,23,37
4:39,2016,Marquis Vance made Layup.,25,37
4:17,2539,Remu Raitanen Turnover.,25,37
4:05,2016,Marquis Vance missed Jumper.,25,37
4:05,2539,Matt McCarthy Defensive Rebound.,25,37
3:50,2539,Official TV Timeout,25,37
3:43,2539,Ronnie Boyce missed Three Point Jumper.,25,37
3:43,2016,Juwan Henderson Defensive Rebound.,25,37
3:38,2016,Yalen Reed made Layup. Assisted by Juwan Henderson.,27,37
3:22,2539,Jordan Ratinho missed Layup.,27,37
3:22,2539,Nate Renfro Offensive Rebound.,27,37
3:15,2539,Nate Renfro made Two Point Tip Shot.,27,39
3:14,2016,Rahamanh Katumbusi missed Jumper.,27,39
3:14,2539,Matt McCarthy Defensive Rebound.,27,39
2:56,2016,Foul on Yalen Reed.,27,39
2:56,2539,Matt McCarthy made Free Throw.,27,40
2:56,2539,Matt McCarthy made Free Throw.,27,41
2:37,2016,Denzel Dulin missed Jumper.,27,41
2:37,2539,Matt McCarthy Defensive Rebound.,27,41
2:30,2539,Chase Foster missed Three Point Jumper.,27,41
2:30,2539,Matt McCarthy Offensive Rebound.,27,41
2:15,2016,Foul on Marquis Vance.,27,41
2:15,2539,Nate Renfro missed Free Throw.,27,41
2:15,2016,Reginal Johnson Defensive Rebound.,27,41
2:10,2539,Foul on Matt McCarthy.,27,41
1:59,2016,Reginal Johnson made Layup.,29,41
1:59,2539,Foul on Nate Renfro.,29,41
1:59,2016,Reginal Johnson made Free Throw.,30,41
1:43,2539,Jimbo Lull missed Jumper.,30,41
1:43,2016,A.J. Mosby Defensive Rebound.,30,41
1:34,2016,Maurice Howard made Three Point Jumper. Assisted by Reginal Johnson.,33,41
1:11,2539,Mladen Djordjevic made Layup.,33,43
0:58,2539,Foul on Jimbo Lull.,33,43
0:58,2016,Devon Brewer made Free Throw.,34,43
0:58,2016,Devon Brewer made Free Throw.,35,43
0:42,2016,Foul on Reginal Johnson.,35,43
0:42,2539,Charles Minlend made Free Throw.,35,44
0:42,2539,Charles Minlend missed Free Throw.,35,44
0:42,2016,Reginal Johnson Defensive Rebound.,35,44
0:29,2016,A.J. Mosby missed Jumper.,35,44
0:29,2539,Nate Renfro Defensive Rebound.,35,44
0:23,2539,Mladen Djordjevic Turnover.,35,44
0:20,2016,A.J. Mosby Steal.,35,44
0:17,2016,A.J. Mosby made Layup. Assisted by Juwan Henderson.,37,44
0:14,2539,San Francisco  Timeout,37,44
0:07,2539,Ronnie Boyce Turnover.,37,44
0:00,2016,Denzel Dulin missed Three Point Jumper.,37,44
0:00,2539,Charles Minlend Defensive Rebound.,37,44
0:00,2539,End of 1st half,37,44
19:55,2539,Matt McCarthy made Jumper.,37,46
19:46,2016,Denzel Dulin Turnover.,37,46
19:45,2539,Nate Renfro Steal.,37,46
19:41,2539,Matt McCarthy Turnover.,37,46
19:14,2016,Marquis Vance missed Three Point Jumper.,37,46
19:14,2539,Mladen Djordjevic Defensive Rebound.,37,46
19:06,2539,Ronnie Boyce Turnover.,37,46
19:05,2016,Yalen Reed Steal.,37,46
19:03,2539,Foul on Mladen Djordjevic.,37,46
18:43,2539,Foul on Mladen Djordjevic.,37,46
18:25,2016,Maurice Howard missed Jumper.,37,46
18:25,2539,Jordan Ratinho Defensive Rebound.,37,46
18:10,2539,Ronnie Boyce missed Layup.,37,46
18:10,2539,Matt McCarthy Offensive Rebound.,37,46
18:04,2539,Jordan Ratinho made Three Point Jumper. Assisted by Ronnie Boyce.,37,49
17:54,2016,Alcorn St  Timeout,37,49
17:46,2016,A.J. Mosby missed Three Point Jumper.,37,49
17:46,2539,Ronnie Boyce Defensive Rebound.,37,49
17:38,2539,Ronnie Boyce missed Layup.,37,49
17:38,2539,San Francisco Offensive Rebound.,37,49
17:35,2016,Foul on Yalen Reed.,37,49
17:35,2539,Matt McCarthy made Free Throw.,37,50
17:35,2539,Matt McCarthy made Free Throw.,37,51
17:13,2016,Reginal Johnson made Jumper.,39,51
16:48,2539,Ronnie Boyce missed Jumper.,39,51
16:48,2016,Denzel Dulin Defensive Rebound.,39,51
16:38,2016,Reginal Johnson made Jumper.,41,51
16:23,2539,Charles Minlend made Three Point Jumper. Assisted by Matt McCarthy.,41,54
15:56,2016,A.J. Mosby missed Jumper.,41,54
15:56,2539,Matt McCarthy Defensive Rebound.,41,54
15:48,2539,Ronnie Boyce missed Layup.,41,54
15:48,2539,Nate Renfro Offensive Rebound.,41,54
15:45,2539,Nate Renfro missed Two Point Tip Shot.,41,54
15:45,2016,Marquis Vance Defensive Rebound.,41,54
15:37,2016,Avery Patterson missed Three Point Jumper.,41,54
15:37,2539,Ronnie Boyce Defensive Rebound.,41,54
15:27,2539,Jordan Ratinho missed Three Point Jumper.,41,54
15:27,2016,Avery Patterson Defensive Rebound.,41,54
15:18,2016,Marquis Vance missed Layup.,41,54
15:18,2539,Matt McCarthy Defensive Rebound.,41,54
15:11,2016,Foul on Reginal Johnson.,41,54
15:11,2539,Official TV Timeout,41,54
15:11,2539,Ronnie Boyce missed Free Throw.,41,54
15:11,2539,San Francisco Deadball Team Rebound.,41,54
15:11,2539,Ronnie Boyce missed Free Throw.,41,54
15:11,2016,Reginal Johnson Defensive Rebound.,41,54
14:49,2016,Foul on Devon Brewer.,41,54
14:49,2016,Devon Brewer Turnover.,41,54
14:33,2539,Nate Renfro Turnover.,41,54
14:22,2539,Foul on Chase Foster.,41,54
14:12,2016,Reginal Johnson missed Three Point Jumper.,41,54
14:12,2539,Remu Raitanen Defensive Rebound.,41,54
13:56,2539,Chase Foster missed Three Point Jumper.,41,54
13:56,2016,A.J. Mosby Defensive Rebound.,41,54
13:49,2539,Foul on Chase Foster.,41,54
13:49,2016,Rahamanh Katumbusi missed Free Throw.,41,54
13:49,2016,Alcorn St Deadball Team Rebound.,41,54
13:49,2016,Rahamanh Katumbusi made Free Throw.,42,54
13:30,2539,Remu Raitanen missed Jumper.,42,54
13:30,2016,A.J. Mosby Defensive Rebound.,42,54
13:22,2016,Denzel Dulin missed Jumper.,42,54
13:22,2016,Alcorn St Offensive Rebound.,42,54
13:07,2016,Reginal Johnson missed Jumper.,42,54
13:07,2539,Chance Anderson Defensive Rebound.,42,54
12:45,2539,Chase Foster missed Layup.,42,54
12:45,2539,Chase Foster Offensive Rebound.,42,54
12:41,2539,Chase Foster missed Jumper.,42,54
12:41,2016,Marquis Vance Defensive Rebound.,42,54
12:31,2016,Denzel Dulin missed Jumper.,42,54
12:31,2016,Reginal Johnson Offensive Rebound.,42,54
12:28,2016,Reginal Johnson missed Layup.,42,54
12:28,2539,Chance Anderson Defensive Rebound.,42,54
12:21,2539,Charles Minlend missed Jumper.,42,54
12:21,2016,Marquis Vance Defensive Rebound.,42,54
12:21,2016,Marquis Vance missed Three Point Jumper.,42,54
12:21,2539,San Francisco Defensive Rebound.,42,54
12:21,2016,Foul on Denzel Dulin.,42,54
11:59,2539,Chance Anderson made Layup. Assisted by Remu Raitanen.,42,56
11:48,2016,Marquis Vance missed Jumper.,42,56
11:48,2539,Jordan Ratinho Defensive Rebound.,42,56
11:40,2539,Chance Anderson made Dunk. Assisted by Jordan Ratinho.,42,58
11:37,2016,Alcorn St  Timeout,42,58
11:37,2539,Official TV Timeout,42,58
11:27,2016,Kobe Wilson missed Three Point Jumper.,42,58
11:27,2016,Marquis Vance Offensive Rebound.,42,58
11:18,2016,Marquis Vance made Layup.,44,58
11:09,2539,Mladen Djordjevic Turnover.,44,58
11:08,2016,Avery Patterson Steal.,44,58
11:06,2016,Avery Patterson made Layup.,46,58
10:52,2016,Foul on Rahamanh Katumbusi.,46,58
10:47,2539,Charles Minlend missed Jumper.,46,58
10:47,2016,Kobe Wilson Defensive Rebound.,46,58
10:37,2016,Marquis Vance made Layup.,48,58
10:16,2539,Jordan Ratinho missed Layup.,48,58
10:16,2016,Marquis Vance Block.,48,58
10:15,2016,Alcorn St Defensive Rebound.,48,58
9:46,2016,Avery Patterson missed Three Point Jumper.,48,58
9:46,2539,Mladen Djordjevic Defensive Rebound.,48,58
9:26,2539,Matt McCarthy missed Jumper.,48,58
9:26,2539,Charles Minlend Offensive Rebound.,48,58
9:21,2539,Charles Minlend made Two Point Tip Shot.,48,60
9:02,2016,Marquis Vance missed Jumper.,48,60
9:02,2539,Matt McCarthy Defensive Rebound.,48,60
8:40,2539,Matt McCarthy Turnover.,48,60
8:12,2016,Reginal Johnson missed Jumper.,48,60
8:12,2016,Denzel Dulin Offensive Rebound.,48,60
8:12,2016,Denzel Dulin made Two Point Tip Shot.,50,60
8:12,2539,Foul on Jordan Ratinho.,50,60
8:12,2016,Denzel Dulin missed Free Throw.,50,60
8:12,2016,Devon Brewer Offensive Rebound.,50,60
8:12,2539,Foul on Nate Renfro.,50,60
7:59,2016,Reginal Johnson made Layup. Assisted by Devon Brewer.,52,60
7:40,2539,Ronnie Boyce missed Three Point Jumper.,52,60
7:40,2016,Avery Patterson Defensive Rebound.,52,60
7:21,2539,Foul on Nate Renfro.,52,60
7:21,2539,Official TV Timeout,52,60
7:21,2016,Avery Patterson missed Free Throw.,52,60
7:21,2539,Ronnie Boyce Defensive Rebound.,52,60
6:57,2016,Foul on Maurice Howard.,52,60
6:57,2539,Matt McCarthy missed Free Throw.,52,60
6:57,2539,San Francisco Deadball Team Rebound.,52,60
6:57,2539,Matt McCarthy made Free Throw.,52,61
6:54,2016,Denzel Dulin missed Layup.,52,61
6:54,2016,Marquis Vance Offensive Rebound.,52,61
6:49,2016,Marquis Vance missed Layup.,52,61
6:49,2539,Matt McCarthy Defensive Rebound.,52,61
6:44,2539,Chase Foster made Layup.,52,63
6:16,2016,Alcorn St  Timeout,52,63
6:16,2016,Juwan Henderson Turnover.,52,63
6:16,2539,Nate Renfro Steal.,52,63
6:16,2539,Ronnie Boyce made Layup. Assisted by Nate Renfro.,52,65
5:42,2016,A.J. Mosby missed Three Point Jumper.,52,65
5:42,2539,Mladen Djordjevic Defensive Rebound.,52,65
5:22,2539,Nate Renfro made Layup.,52,67
5:10,2016,Denzel Dulin missed Layup.,52,67
5:10,2016,Denzel Dulin Offensive Rebound.,52,67
5:07,2016,Denzel Dulin missed Layup.,52,67
5:07,2539,Chase Foster Block.,52,67
5:06,2016,Denzel Dulin Offensive Rebound.,52,67
5:01,2016,Reginal Johnson missed Jumper.,52,67
5:01,2016,Reginal Johnson Offensive Rebound.,52,67
4:55,2016,Denzel Dulin missed Layup.,52,67
4:55,2016,Denzel Dulin Offensive Rebound.,52,67
4:50,2016,Denzel Dulin made Layup.,54,67
4:49,2539,Ronnie Boyce made Layup.,54,69
4:38,2016,Denzel Dulin missed Jumper.,54,69
4:38,2016,Rahamanh Katumbusi Offensive Rebound.,54,69
4:30,2016,Denzel Dulin made Layup. Assisted by Marquis Vance.,56,69
4:15,2539,San Francisco  Timeout,56,69
4:15,2539,Official TV Timeout,56,69
4:01,2539,Ronnie Boyce missed Three Point Jumper.,56,69
4:01,2016,Marquis Vance Defensive Rebound.,56,69
3:51,2016,A.J. Mosby missed Three Point Jumper.,56,69
3:51,2539,Chase Foster Defensive Rebound.,56,69
3:18,2539,Nate Renfro made Dunk. Assisted by Mladen Djordjevic.,56,71
2:56,2016,Marquis Vance made Layup.,58,71
2:43,2539,Ronnie Boyce made Layup.,58,73
2:35,2016,Reginal Johnson made Jumper.,60,73
2:04,2539,Ronnie Boyce made Layup.,60,75
1:47,2016,Marquis Vance missed Three Point Jumper.,60,75
1:47,2539,Jimbo Lull Defensive Rebound.,60,75
1:42,2016,Foul on Reginal Johnson.,60,75
1:27,2539,Mladen Djordjevic made Free Throw.,60,76
1:27,2539,Mladen Djordjevic missed Free Throw.,60,76
1:27,2016,Alcorn St Defensive Rebound.,60,76
1:24,2016,Juwan Henderson Turnover.,60,76
1:23,2539,Jordan Ratinho Steal.,60,76
1:20,2539,Mladen Djordjevic made Layup. Assisted by Jordan Ratinho.,60,78
1:02,2016,Alcorn St  Timeout,60,78
0:45,2016,Rahamanh Katumbusi made Jumper.,62,78
0:22,2539,Charles Minlend missed Three Point Jumper.,62,78
0:22,2016,Devon Brewer Defensive Rebound.,62,78
0:15,2016,Avery Patterson made Three Point Jumper.,65,78
0:00,2539,End of Game,65,78
