Furman,2737,Winthrop,231
16:36,2737,Official TV Timeout,25,28
16:11,231,Matt Rafferty missed Three Point Jumper.,25,28
16:11,231,Geoff Beans Offensive Rebound.,25,28
16:05,231,Geoff Beans made Layup.,27,28
15:54,2737,Roderick Perkins missed Jumper.,27,28
15:54,231,Daniel Fowler Block.,27,28
15:53,2737,Winthrop Offensive Rebound.,27,28
15:53,2737,Official TV Timeout,27,28
15:48,231,Foul on Devin Sibley.,27,28
15:43,2737,Joshua Davenport Turnover.,27,28
15:42,231,John Davis III Steal.,27,28
15:39,231,John Davis III missed Jumper.,27,28
15:39,2737,Anders Broman Defensive Rebound.,27,28
15:25,231,Foul on Matt Rafferty.,27,28
15:25,2737,Joshua Davenport missed Free Throw.,27,28
15:25,2737,Winthrop Deadball Team Rebound.,27,28
15:25,2737,Joshua Davenport missed Free Throw.,27,28
15:25,231,Matt Rafferty Defensive Rebound.,27,28
15:04,231,Daniel Fowler made Layup.,29,28
14:37,231,Foul on Matt Rafferty.,29,28
14:37,2737,Joshua Davenport made Free Throw.,29,29
14:37,2737,Joshua Davenport made Free Throw.,29,30
14:24,231,Geoff Beans missed Jumper.,29,30
14:24,231,Daniel Fowler Offensive Rebound.,29,30
14:17,231,Daniel Fowler made Two Point Tip Shot.,31,30
14:02,2737,Joshua Davenport Turnover.,31,30
13:50,231,Matt Rafferty missed Layup.,31,30
13:50,2737,Duby Okeke Block.,31,30
13:49,2737,Anders Broman Defensive Rebound.,31,30
13:35,2737,Keon Johnson missed Three Point Jumper.,31,30
13:35,231,Daniel Fowler Defensive Rebound.,31,30
13:27,231,Matt Rafferty made Layup. Assisted by Daniel Fowler.,33,30
12:59,2737,Anders Broman missed Three Point Jumper.,33,30
12:59,231,Matt Rafferty Defensive Rebound.,33,30
12:28,231,Devin Sibley missed Three Point Jumper.,33,30
12:28,231,Kris Acox Offensive Rebound.,33,30
12:05,231,Foul on Kris Acox.,33,30
12:05,231,Kris Acox Turnover.,33,30
11:53,2737,Bjorn Broman Turnover.,33,30
11:53,2737,Official TV Timeout,33,30
11:25,231,Devin Sibley made Three Point Jumper.,36,30
11:07,2737,Tevin Prescott made Dunk. Assisted by Xavier Cooks.,36,32
10:48,231,Andrew Brown missed Three Point Jumper.,36,32
10:48,2737,Tevin Prescott Defensive Rebound.,36,32
10:33,2737,Tevin Prescott made Dunk. Assisted by Xavier Cooks.,36,34
