UNC Wilmington,2711,Western Michigan,350
12:38,350,C.J. Bryce made Layup. Assisted by Denzel Ingram.,10,12
12:18,2711,Jarrin Randall Turnover.,10,12
12:18,350,Denzel Ingram Steal.,10,12
12:12,2711,Foul on Bryce Moore.,10,12
12:03,350,C.J. Bryce Turnover.,10,12
11:37,2711,Seth Dugan Turnover.,10,12
11:37,2711,Official TV Timeout,10,12
11:31,350,Denzel Ingram made Three Point Jumper. Assisted by Jordon Talley.,13,12
11:19,2711,Bryce Moore Turnover.,13,12
11:19,2711,Foul on Bryce Moore.,13,12
10:52,350,Denzel Ingram missed Layup.,13,12
10:52,2711,Seth Dugan Defensive Rebound.,13,12
10:39,2711,Seth Dugan made Layup. Assisted by Reggie Jones.,13,14
10:32,2711,Foul on Seth Dugan.,13,14
10:32,350,Jordon Talley made Free Throw.,14,14
10:32,350,Jordon Talley made Free Throw.,15,14
10:15,2711,Thomas Wilder made Layup.,15,16
9:50,350,Denzel Ingram made Three Point Jumper. Assisted by Chris Flemmings.,18,16
9:29,2711,Drake LaMont made Layup. Assisted by Tucker Haymond.,18,18
9:18,350,Denzel Ingram missed Three Point Jumper.,18,18
9:18,2711,Josh Davis Defensive Rebound.,18,18
9:00,2711,Tucker Haymond made Layup. Assisted by Thomas Wilder.,18,20
8:42,350,Ambrose Mosley missed Three Point Jumper.,18,20
8:42,2711,Thomas Wilder Defensive Rebound.,18,20
8:30,2711,Drake LaMont missed Jumper.,18,20
8:30,2711,Tucker Haymond Offensive Rebound.,18,20
8:27,2711,Tucker Haymond made Layup.,18,22
8:12,350,Chris Flemmings made Jumper.,20,22
8:00,2711,Tucker Haymond Turnover.,20,22
8:00,2711,Foul on Tucker Haymond.,20,22
7:51,350,JaQuel Richmond made Jumper.,22,22
7:31,2711,Tucker Haymond Turnover.,22,22
7:30,350,Devontae Cacok Steal.,22,22
7:24,350,Denzel Ingram missed Layup.,22,22
7:24,350,Devontae Cacok Offensive Rebound.,22,22
7:21,350,Devontae Cacok made Layup.,24,22
7:13,2711,Brandon Johnson Turnover.,24,22
7:13,2711,Official TV Timeout,24,22
7:04,350,JaQuel Richmond missed Three Point Jumper.,24,22
7:04,350,Devontae Cacok Offensive Rebound.,24,22
6:56,350,Ambrose Mosley made Three Point Jumper. Assisted by Denzel Ingram.,27,22
6:47,2711,Tucker Haymond Turnover.,27,22
6:45,350,Ambrose Mosley made Three Point Jumper. Assisted by Denzel Ingram.,30,22
6:38,350,Foul on Denzel Ingram.,30,22
6:25,2711,Thomas Wilder missed Jumper.,30,22
6:25,2711,Brandon Johnson Offensive Rebound.,30,22
6:22,2711,Brandon Johnson missed Jumper.,30,22
6:22,350,Ambrose Mosley Defensive Rebound.,30,22
6:15,2711,Foul on Tucker Haymond.,30,22
6:14,350,Ambrose Mosley made Free Throw.,31,22
6:14,350,Ambrose Mosley made Free Throw.,32,22
5:58,350,Foul on Devontae Cacok.,32,22
5:58,2711,Thomas Wilder made Free Throw.,32,23
5:58,2711,Thomas Wilder missed Free Throw.,32,23
5:58,350,Chris Flemmings Defensive Rebound.,32,23
5:52,350,Jordon Talley missed Layup.,32,23
5:52,2711,Josh Davis Block.,32,23
5:51,2711,Thomas Wilder Defensive Rebound.,32,23
5:45,2711,Thomas Wilder missed Jumper.,32,23
5:45,350,Chris Flemmings Defensive Rebound.,32,23
5:39,350,Jordon Talley missed Layup.,32,23
5:39,350,JaQuel Richmond Offensive Rebound.,32,23
5:35,350,JaQuel Richmond made Layup.,34,23
5:17,2711,Reggie Jones missed Jumper.,34,23
5:17,350,Chris Flemmings Defensive Rebound.,34,23
5:08,350,Ambrose Mosley made Three Point Jumper. Assisted by JaQuel Richmond.,37,23
5:02,2711,Western Michigan  Timeout,37,23
5:01,350,Foul on JaQuel Richmond.,37,23
5:01,2711,Josh Davis missed Free Throw.,37,23
5:01,350,Marcus Bryan Defensive Rebound.,37,23
4:42,350,Ambrose Mosley missed Three Point Jumper.,37,23
4:42,2711,Reggie Jones Defensive Rebound.,37,23
4:22,2711,Drake LaMont made Jumper. Assisted by Josh Davis.,37,25
4:04,350,C.J. Bryce made Jumper.,39,25
3:43,350,Foul on Jordon Talley.,39,25
3:43,2711,Official TV Timeout,39,25
3:43,2711,Brandon Johnson made Free Throw.,39,26
3:43,2711,Brandon Johnson made Free Throw.,39,27
3:35,350,Chris Flemmings made Three Point Jumper. Assisted by C.J. Bryce.,42,27
2:59,2711,Western Michigan  Turnover.,42,27
2:39,350,C.J. Bryce made Three Point Jumper. Assisted by Ambrose Mosley.,45,27
2:24,2711,Western Michigan  Timeout,45,27
2:19,2711,Reggie Jones missed Jumper.,45,27
2:19,2711,Reggie Jones Offensive Rebound.,45,27
2:14,2711,Reggie Jones missed Layup.,45,27
2:14,350,C.J. Bryce Defensive Rebound.,45,27
2:11,350,Ambrose Mosley missed Three Point Jumper.,45,27
2:11,2711,Brandon Johnson Defensive Rebound.,45,27
2:00,350,Foul on Jordon Talley.,45,27
2:00,2711,Josh Davis made Free Throw.,45,28
2:00,2711,Josh Davis missed Free Throw.,45,28
2:00,350,Chris Flemmings Defensive Rebound.,45,28
1:50,350,C.J. Bryce made Jumper.,47,28
1:36,2711,Thomas Wilder missed Jumper.,47,28
1:36,350,Ambrose Mosley Defensive Rebound.,47,28
1:29,350,C.J. Bryce missed Layup.,47,28
1:29,350,C.J. Bryce Offensive Rebound.,47,28
1:26,350,C.J. Bryce made Layup.,49,28
1:04,2711,Thomas Wilder made Layup.,49,30
1:04,350,Foul on Marcus Bryan.,49,30
1:04,2711,Thomas Wilder made Free Throw.,49,31
0:56,350,Jordon Talley missed Jumper.,49,31
0:56,350,Marcus Bryan Offensive Rebound.,49,31
0:54,2711,Foul on Thomas Wilder.,49,31
0:54,350,Marcus Bryan made Free Throw.,50,31
0:54,350,Marcus Bryan made Free Throw.,51,31
0:36,2711,Tucker Haymond Turnover.,51,31
0:35,350,C.J. Bryce Steal.,51,31
0:33,350,C.J. Bryce missed Layup.,51,31
0:33,2711,Bryce Moore Defensive Rebound.,51,31
0:05,2711,Thomas Wilder missed Three Point Jumper.,51,31
0:05,2711,Western Michigan Offensive Rebound.,51,31
0:01,350,Foul on Marcus Bryan.,51,31
0:01,2711,Tucker Haymond made Free Throw.,51,32
0:01,2711,Tucker Haymond missed Free Throw.,51,32
0:01,350,C.J. Bryce Defensive Rebound.,51,32
0:00,2711,End of 1st half,51,31
19:38,2711,Brandon Johnson made Layup.,51,34
19:21,350,Devontae Cacok Turnover.,51,34
19:20,2711,Thomas Wilder Steal.,51,34
19:16,2711,Josh Davis missed Three Point Jumper.,51,34
19:16,2711,Brandon Johnson Offensive Rebound.,51,34
19:13,2711,Brandon Johnson made Layup.,51,36
18:58,350,Ambrose Mosley made Three Point Jumper. Assisted by Chris Flemmings.,54,36
18:45,2711,Western Michigan  Turnover.,54,36
18:43,350,Foul on C.J. Bryce.,54,36
18:43,350,C.J. Bryce Turnover.,54,36
18:28,2711,Josh Davis Turnover.,54,36
18:27,350,Ambrose Mosley Steal.,54,36
18:15,350,Devontae Cacok made Dunk. Assisted by Chris Flemmings.,56,36
17:47,2711,Josh Davis missed Layup.,56,36
17:47,2711,Brandon Johnson Offensive Rebound.,56,36
17:43,350,Foul on Denzel Ingram.,56,36
17:35,2711,Thomas Wilder made Three Point Jumper. Assisted by Bryce Moore.,56,39
17:15,350,Chris Flemmings missed Three Point Jumper.,56,39
17:15,350,Devontae Cacok Offensive Rebound.,56,39
17:11,350,C.J. Bryce missed Layup.,56,39
17:11,2711,Brandon Johnson Defensive Rebound.,56,39
16:58,2711,Tucker Haymond Turnover.,56,39
16:40,350,Chris Flemmings missed Three Point Jumper.,56,39
16:40,350,C.J. Bryce Offensive Rebound.,56,39
16:33,350,Ambrose Mosley missed Three Point Jumper.,56,39
16:33,350,Chris Flemmings Offensive Rebound.,56,39
16:10,2711,Foul on Brandon Johnson.,56,39
16:10,350,Chris Flemmings missed Free Throw.,56,39
16:10,350,UNC Wilmington Deadball Team Rebound.,56,39
16:10,350,Chris Flemmings made Free Throw.,57,39
16:03,350,Foul on Jordon Talley.,57,39
15:48,2711,Bryce Moore Turnover.,57,39
15:47,350,C.J. Bryce Steal.,57,39
15:44,350,Devontae Cacok made Dunk. Assisted by JaQuel Richmond.,59,39
15:44,2711,Foul on Thomas Wilder.,59,39
15:44,2711,Official TV Timeout,59,39
15:44,350,Devontae Cacok made Free Throw.,60,39
15:32,350,Foul on Chris Flemmings.,60,39
15:12,350,Foul on JaQuel Richmond.,60,39
15:12,2711,Thomas Wilder made Free Throw.,60,40
15:12,2711,Thomas Wilder made Free Throw.,60,41
15:04,2711,Foul on Thomas Wilder.,60,41
14:53,350,Jordon Talley Turnover.,60,41
14:42,2711,Bryce Moore missed Three Point Jumper.,60,41
14:42,350,Devontae Cacok Defensive Rebound.,60,41
14:31,350,JaQuel Richmond missed Layup.,60,41
14:31,2711,Bryce Moore Defensive Rebound.,60,41
14:24,2711,Bryce Moore made Layup.,60,43
14:24,350,Foul on Jordon Talley.,60,43
14:24,2711,Bryce Moore missed Free Throw.,60,43
14:24,350,Devontae Cacok Defensive Rebound.,60,43
14:01,350,C.J. Bryce missed Three Point Jumper.,60,43
14:01,2711,Brandon Johnson Defensive Rebound.,60,43
13:51,2711,Thomas Wilder Turnover.,60,43
13:51,2711,Foul on Thomas Wilder.,60,43
13:42,350,Denzel Ingram Turnover.,60,43
13:40,2711,Reggie Jones Steal.,60,43
13:30,2711,Reggie Jones missed Layup.,60,43
13:30,350,Chris Flemmings Defensive Rebound.,60,43
13:23,350,C.J. Bryce made Layup.,62,43
13:23,2711,Foul on Bryce Moore.,62,43
13:23,350,C.J. Bryce missed Free Throw.,62,43
13:23,2711,Brandon Johnson Defensive Rebound.,62,43
13:09,2711,Tucker Haymond missed Jumper.,62,43
13:09,2711,Reggie Jones Offensive Rebound.,62,43
13:06,2711,Reggie Jones made Layup.,62,45
12:53,2711,Foul on Reggie Jones.,62,45
12:53,350,C.J. Bryce missed Free Throw.,62,45
12:53,350,UNC Wilmington Deadball Team Rebound.,62,45
12:53,350,C.J. Bryce made Free Throw.,63,45
12:25,2711,Tucker Haymond made Layup. Assisted by Joeviair Kennedy.,63,47
12:12,350,C.J. Bryce missed Layup.,63,47
12:12,350,C.J. Bryce Offensive Rebound.,63,47
12:10,350,C.J. Bryce made Layup.,65,47
11:57,2711,Tucker Haymond missed Jumper.,65,47
11:57,350,Ambrose Mosley Defensive Rebound.,65,47
11:48,350,Denzel Ingram missed Three Point Jumper.,65,47
11:48,350,C.J. Bryce Offensive Rebound.,65,47
11:41,350,C.J. Bryce Turnover.,65,47
11:40,2711,Reggie Jones Steal.,65,47
11:37,2711,Reggie Jones made Layup.,65,49
11:21,350,C.J. Bryce Turnover.,65,49
11:21,2711,Official TV Timeout,65,49
11:04,2711,Tucker Haymond missed Layup.,65,49
11:04,2711,Reggie Jones Offensive Rebound.,65,49
10:59,2711,Reggie Jones made Layup.,65,51
10:47,350,Marcus Bryan made Layup. Assisted by Jordon Talley.,67,51
10:32,2711,Seth Dugan made Layup. Assisted by Tucker Haymond.,67,53
10:32,350,Foul on Marcus Bryan.,67,53
10:32,2711,Seth Dugan missed Free Throw.,67,53
10:32,350,Jordon Talley Defensive Rebound.,67,53
10:26,350,Jordon Talley made Layup.,69,53
10:11,2711,Tucker Haymond Turnover.,69,53
10:11,350,Chris Flemmings Steal.,69,53
9:49,350,Chris Flemmings made Layup.,71,53
9:37,2711,Joeviair Kennedy made Three Point Jumper.,71,56
9:21,350,Jordon Talley made Three Point Jumper. Assisted by Denzel Ingram.,74,56
9:06,2711,Tucker Haymond made Jumper.,74,58
9:02,2711,Western Michigan  Timeout,74,58
8:53,2711,Foul on Joeviair Kennedy.,74,58
8:45,350,JaQuel Richmond missed Free Throw.,74,58
8:45,2711,Tucker Haymond Defensive Rebound.,74,58
8:41,2711,Josh Davis missed Three Point Jumper.,74,58
8:41,350,JaQuel Richmond Defensive Rebound.,74,58
8:34,350,Jordon Talley Turnover.,74,58
8:33,2711,Reggie Jones Steal.,74,58
8:28,2711,Reggie Jones made Layup.,74,60
7:58,2711,Official TV Timeout,74,60
7:44,350,Denzel Ingram made Jumper.,76,60
7:21,2711,Reggie Jones made Three Point Jumper. Assisted by Tucker Haymond.,76,63
7:06,350,Devontae Cacok Turnover.,76,63
6:53,2711,Reggie Jones made Jumper.,76,65
6:39,350,Denzel Ingram made Three Point Jumper. Assisted by JaQuel Richmond.,79,65
6:36,350,UNC Wilmington  Timeout,79,65
6:26,350,Foul on Denzel Ingram.,79,65
6:21,2711,Thomas Wilder missed Free Throw.,79,65
6:21,350,Denzel Ingram Defensive Rebound.,79,65
6:12,350,C.J. Bryce missed Three Point Jumper.,79,65
6:12,350,UNC Wilmington Deadball Team Rebound.,79,65
6:09,2711,Foul on Tucker Haymond.,79,65
6:09,350,Denzel Ingram made Free Throw.,80,65
6:09,350,Denzel Ingram made Free Throw.,81,65
6:00,2711,Reggie Jones missed Jumper.,81,65
6:00,350,Chris Flemmings Defensive Rebound.,81,65
5:46,2711,Foul on Joeviair Kennedy.,81,65
5:40,350,Devontae Cacok made Free Throw.,82,65
5:40,350,Devontae Cacok missed Free Throw.,82,65
5:40,2711,Tucker Haymond Defensive Rebound.,82,65
5:30,350,Foul on Devontae Cacok.,82,65
5:30,2711,Tucker Haymond made Free Throw.,82,66
5:30,2711,Tucker Haymond made Free Throw.,82,67
5:05,350,Chris Flemmings missed Three Point Jumper.,82,67
5:05,2711,Reggie Jones Defensive Rebound.,82,67
4:42,2711,Tucker Haymond missed Layup.,82,67
4:42,350,Devontae Cacok Defensive Rebound.,82,67
4:33,350,Chris Flemmings made Layup.,84,67
4:18,2711,Thomas Wilder made Layup.,84,69
4:05,350,JaQuel Richmond missed Three Point Jumper.,84,69
4:05,2711,Western Michigan Defensive Rebound.,84,69
3:46,2711,Thomas Wilder made Jumper.,84,71
3:23,350,Denzel Ingram made Three Point Jumper.,87,71
3:01,350,Foul on Chris Flemmings.,87,71
3:01,2711,Official TV Timeout,87,71
3:01,2711,Tucker Haymond made Free Throw.,87,72
3:01,2711,Tucker Haymond made Free Throw.,87,73
2:50,350,C.J. Bryce Turnover.,87,73
2:50,350,Foul on C.J. Bryce.,87,73
2:38,350,Foul on Devontae Cacok.,87,73
2:38,2711,Thomas Wilder made Free Throw.,87,74
2:38,2711,Thomas Wilder made Free Throw.,87,75
2:21,350,JaQuel Richmond made Layup. Assisted by Denzel Ingram.,89,75
2:11,2711,Thomas Wilder made Layup.,89,77
2:11,350,Foul on Devontae Cacok.,89,77
2:11,2711,Thomas Wilder made Free Throw.,89,78
2:06,350,Marcus Bryan missed Layup.,89,78
2:06,2711,Brandon Johnson Defensive Rebound.,89,78
1:59,2711,Tucker Haymond made Layup. Assisted by Reggie Jones.,89,80
1:48,2711,Foul on Thomas Wilder.,89,80
1:48,350,Chris Flemmings made Free Throw.,90,80
1:48,350,Chris Flemmings made Free Throw.,91,80
1:28,2711,Tucker Haymond made Three Point Jumper.,91,83
1:18,350,UNC Wilmington  Timeout,91,83
1:18,350,Denzel Ingram Turnover.,91,83
1:18,2711,Western Michigan  Timeout,91,83
1:10,2711,Tucker Haymond missed Jumper.,91,83
1:10,350,Marcus Bryan Defensive Rebound.,91,83
1:10,2711,Foul on Tucker Haymond.,91,83
1:10,350,Marcus Bryan missed Free Throw.,91,83
1:10,350,UNC Wilmington Deadball Team Rebound.,91,83
1:10,350,Marcus Bryan missed Free Throw.,91,83
1:10,2711,Brandon Johnson Defensive Rebound.,91,83
1:04,350,Foul on Marcus Bryan.,91,83
1:04,2711,Reggie Jones made Free Throw.,91,84
1:04,2711,Reggie Jones missed Free Throw.,91,84
1:04,2711,Brandon Johnson Offensive Rebound.,91,84
1:01,2711,Brandon Johnson missed Layup.,91,84
1:01,350,Chris Flemmings Defensive Rebound.,91,84
0:58,2711,Foul on Bryce Moore.,91,84
0:58,350,Chris Flemmings made Free Throw.,92,84
0:58,350,Chris Flemmings made Free Throw.,93,84
0:49,2711,Jarrin Randall made Jumper. Assisted by Reggie Jones.,93,86
0:41,350,JaQuel Richmond missed Layup.,93,86
0:41,350,C.J. Bryce Offensive Rebound.,93,86
0:37,350,Denzel Ingram Turnover.,93,86
0:37,350,Foul on Denzel Ingram.,93,86
0:30,2711,Reggie Jones missed Layup.,93,86
0:30,2711,Western Michigan Offensive Rebound.,93,86
0:27,2711,Reggie Jones made Layup.,93,88
0:25,2711,Foul on Jarrin Randall.,93,88
0:25,350,Jordon Talley made Free Throw.,94,88
0:25,350,Jordon Talley made Free Throw.,95,88
0:17,2711,Jarrin Randall missed Three Point Jumper.,95,88
0:17,2711,Bryce Moore Offensive Rebound.,95,88
0:12,2711,Bryce Moore missed Three Point Jumper.,95,88
0:12,2711,Western Michigan Offensive Rebound.,95,88
0:09,2711,Tucker Haymond made Layup. Assisted by Jarrin Randall.,95,90
0:08,350,Foul on Ambrose Mosley.,95,90
0:08,2711,Tucker Haymond missed Free Throw.,95,90
0:08,350,C.J. Bryce Defensive Rebound.,95,90
0:07,2711,Foul on Reggie Jones.,95,90
0:07,350,C.J. Bryce made Free Throw.,96,90
0:07,350,C.J. Bryce made Free Throw.,97,90
0:04,2711,Jarrin Randall made Layup.,97,92
0:00,2711,End of Game,97,92
