Northeastern,172,Cornell,111
13:31,111,T.J. Williams made Free Throw.,15,14
13:31,111,T.J. Williams made Free Throw.,16,14
13:19,172,Josh Warren made Jumper.,16,16
13:03,111,Maxime Boursiquot Turnover.,16,16
12:44,172,Matt Morgan made Three Point Jumper. Assisted by Robert Hatter.,16,19
12:24,111,T.J. Williams made Layup.,18,19
12:13,172,Josh Warren made Layup. Assisted by Robert Hatter.,18,21
11:56,111,Anthony Green missed Jumper.,18,21
11:56,172,Matt Morgan Defensive Rebound.,18,21
11:35,172,Official TV Timeout,18,21
11:22,172,Darryl Smith Turnover.,18,21
11:21,111,Alex Murphy Steal.,18,21
11:08,111,T.J. Williams made Layup.,20,21
11:08,172,Foul on Matt Morgan.,20,21
11:08,111,T.J. Williams made Free Throw.,21,21
10:54,172,Matt Morgan made Jumper. Assisted by Troy Whiteside.,21,23
10:39,172,Foul on Matt Morgan.,21,23
10:39,111,Maxime Boursiquot made Free Throw.,22,23
10:39,111,Maxime Boursiquot made Free Throw.,23,23
10:19,111,Foul on T.J. Williams.,23,23
10:15,172,Robert Hatter missed Layup.,23,23
10:15,172,Josh Warren Offensive Rebound.,23,23
10:12,172,Josh Warren missed Layup.,23,23
10:12,111,T.J. Williams Defensive Rebound.,23,23
10:06,111,Alex Murphy made Three Point Jumper. Assisted by T.J. Williams.,26,23
9:49,172,Josh Warren missed Jumper.,26,23
9:49,111,Alex Murphy Defensive Rebound.,26,23
9:35,111,Bolden Brace made Three Point Jumper. Assisted by Alex Murphy.,29,23
9:25,172,Cornell  Timeout,29,23
9:05,172,Matt Morgan made Three Point Jumper. Assisted by Wil Bathurst.,29,26
8:46,111,Maxime Boursiquot missed Jumper.,29,26
8:46,172,Matt Morgan Defensive Rebound.,29,26
8:36,172,Matt Morgan missed Three Point Jumper.,29,26
8:36,111,T.J. Williams Defensive Rebound.,29,26
8:20,111,Shawn Occeus missed Three Point Jumper.,29,26
8:20,172,Matt Morgan Defensive Rebound.,29,26
8:03,172,Stone Gettings missed Jumper.,29,26
8:03,111,T.J. Williams Defensive Rebound.,29,26
7:45,111,T.J. Williams missed Jumper.,29,26
7:45,111,Alex Murphy Offensive Rebound.,29,26
7:40,111,Alex Murphy made Two Point Tip Shot.,31,26
7:21,111,Foul on Alex Murphy.,31,26
7:21,172,Official TV Timeout,31,26
7:19,111,Foul on Maxime Boursiquot.,31,26
7:05,172,Stone Gettings Turnover.,31,26
6:38,111,Alex Murphy missed Three Point Jumper.,31,26
6:38,111,Bolden Brace Offensive Rebound.,31,26
6:33,111,Shawn Occeus made Three Point Jumper. Assisted by Bolden Brace.,34,26
6:14,172,Josh Warren made Jumper. Assisted by Robert Hatter.,34,28
5:59,111,Jeremy Miller Turnover.,34,28
5:58,172,JoJo Fallas Steal.,34,28
5:55,172,Robert Hatter made Layup. Assisted by JoJo Fallas.,34,30
5:31,111,Alex Murphy missed Jumper.,34,30
5:31,172,JoJo Fallas Defensive Rebound.,34,30
5:25,172,Wil Bathurst made Layup.,34,32
5:25,111,Foul on Devon Begley.,34,32
5:25,172,Wil Bathurst missed Free Throw.,34,32
5:25,111,Alex Murphy Defensive Rebound.,34,32
5:14,111,Shawn Occeus Turnover.,34,32
4:51,172,Stone Gettings Turnover.,34,32
4:29,172,Foul on Robert Hatter.,34,32
4:18,111,T.J. Williams made Layup. Assisted by Devon Begley.,36,32
4:07,111,Foul on Shawn Occeus.,36,32
3:57,172,Stone Gettings missed Three Point Jumper.,36,32
3:57,111,T.J. Williams Defensive Rebound.,36,32
3:46,111,Alex Murphy made Layup. Assisted by T.J. Williams.,38,32
3:31,172,Stone Gettings Turnover.,38,32
3:31,172,Official TV Timeout,38,32
3:13,111,T.J. Williams missed Layup.,38,32
3:13,111,Jeremy Miller Offensive Rebound.,38,32
3:11,111,Jeremy Miller made Two Point Tip Shot.,40,32
3:00,111,Foul on Jeremy Miller.,40,32
3:00,172,Matt Morgan made Free Throw.,40,33
3:00,172,Matt Morgan made Free Throw.,40,34
2:39,111,Devon Begley missed Three Point Jumper.,40,34
2:39,111,Alex Murphy Offensive Rebound.,40,34
2:29,172,Foul on Donovan Wright.,40,34
2:29,111,T.J. Williams made Free Throw.,41,34
2:29,111,T.J. Williams missed Free Throw.,41,34
2:29,172,Robert Hatter Defensive Rebound.,41,34
2:14,172,Josh Warren Turnover.,41,34
1:59,111,T.J. Williams missed Layup.,41,34
1:59,172,Cornell Defensive Rebound.,41,34
1:44,172,Matt Morgan made Jumper. Assisted by Josh Warren.,41,36
1:34,111,Maxime Boursiquot missed Jumper.,41,36
1:34,172,Matt Morgan Defensive Rebound.,41,36
1:25,111,Foul on Maxime Boursiquot.,41,36
1:25,172,Robert Hatter missed Free Throw.,41,36
1:25,172,Cornell Deadball Team Rebound.,41,36
1:25,172,Robert Hatter made Free Throw.,41,37
1:04,111,T.J. Williams missed Layup.,41,37
1:04,172,Donovan Wright Block.,41,37
1:03,172,Josh Warren Defensive Rebound.,41,37
0:59,172,Josh Warren Turnover.,41,37
0:59,111,Alex Murphy Steal.,41,37
0:59,111,T.J. Williams made Layup. Assisted by Alex Murphy.,43,37
0:59,172,Foul on Josh Warren.,43,37
0:59,111,T.J. Williams made Free Throw.,44,37
0:43,172,Matt Morgan made Layup. Assisted by Josh Warren.,44,39
0:43,111,Foul on T.J. Williams.,44,39
0:43,172,Matt Morgan made Free Throw.,44,40
0:22,111,Bolden Brace Turnover.,44,40
0:12,172,Wil Bathurst Steal.,44,40
0:03,172,Josh Warren missed Layup.,44,40
0:03,172,Josh Warren Offensive Rebound.,44,40
0:00,172,Josh Warren missed Layup.,44,40
0:00,111,Northeastern Deadball Team Rebound.,44,40
0:00,172,End of 1st half,44,40
19:47,172,Stone Gettings missed Layup.,44,40
19:47,111,T.J. Williams Defensive Rebound.,44,40
19:39,172,Foul on Troy Whiteside.,44,40
19:34,172,Foul on Troy Whiteside.,44,40
19:34,111,T.J. Williams made Free Throw.,45,40
19:34,111,T.J. Williams made Free Throw.,46,40
19:14,172,Matt Morgan made Three Point Jumper. Assisted by Robert Hatter.,46,43
18:47,111,T.J. Williams Turnover.,46,43
18:45,172,Troy Whiteside Steal.,46,43
18:33,172,Matt Morgan missed Three Point Jumper.,46,43
18:33,111,Northeastern Deadball Team Rebound.,46,43
18:05,111,Devon Begley missed Three Point Jumper.,46,43
18:05,172,Cornell Deadball Team Rebound.,46,43
17:42,111,Foul on Devon Begley.,46,43
17:39,172,JoJo Fallas made Three Point Jumper. Assisted by Matt Morgan.,46,46
17:20,111,Alex Murphy made Jumper.,48,46
16:49,172,Matt Morgan Turnover.,48,46
16:47,111,Devon Begley Steal.,48,46
16:44,111,Devon Begley missed Layup.,48,46
16:44,172,Cornell Defensive Rebound.,48,46
16:31,172,Robert Hatter made Three Point Jumper. Assisted by Josh Warren.,48,49
16:17,111,Shawn Occeus made Layup. Assisted by Alex Murphy.,50,49
15:54,172,Troy Whiteside Turnover.,50,49
15:54,172,Official TV Timeout,50,49
15:37,111,Shawn Occeus Turnover.,50,49
15:25,172,Robert Hatter missed Three Point Jumper.,50,49
15:25,111,Jeremy Miller Defensive Rebound.,50,49
15:12,111,Devon Begley missed Jumper.,50,49
15:12,172,Josh Warren Defensive Rebound.,50,49
15:03,111,Foul on Maxime Boursiquot.,50,49
14:51,172,Robert Hatter made Layup. Assisted by Matt Morgan.,50,51
14:49,111,Maxime Boursiquot Turnover.,50,51
14:39,111,Foul on Shawn Occeus.,50,51
14:39,172,Troy Whiteside made Free Throw.,50,52
14:39,172,Troy Whiteside missed Free Throw.,50,52
14:39,111,Jeremy Miller Defensive Rebound.,50,52
14:26,172,Foul on Robert Hatter.,50,52
14:20,111,T.J. Williams missed Layup.,50,52
14:20,172,Cornell Defensive Rebound.,50,52
13:58,111,Foul on Jeremy Miller.,50,52
13:40,172,JoJo Fallas missed Three Point Jumper.,50,52
13:40,111,Northeastern Deadball Team Rebound.,50,52
13:20,111,Devon Begley made Jumper.,52,52
13:20,172,Foul on Donovan Wright.,52,52
13:20,111,Devon Begley made Free Throw.,53,52
13:06,172,Donovan Wright made Dunk. Assisted by Josh Warren.,53,54
12:50,111,Alex Murphy made Layup. Assisted by T.J. Williams.,55,54
12:37,172,Matt Morgan missed Three Point Jumper.,55,54
12:37,111,Maxime Boursiquot Defensive Rebound.,55,54
12:28,111,Devon Begley missed Jumper.,55,54
12:28,172,Donovan Wright Defensive Rebound.,55,54
12:19,172,Matt Morgan made Three Point Jumper. Assisted by Robert Hatter.,55,57
11:54,111,Alex Murphy made Dunk. Assisted by T.J. Williams.,57,57
11:38,172,Matt Morgan missed Three Point Jumper.,57,57
11:38,111,Maxime Boursiquot Defensive Rebound.,57,57
11:18,111,T.J. Williams made Layup. Assisted by Alex Murphy.,59,57
10:58,172,Darryl Smith made Layup.,59,59
10:58,111,Foul on Alex Murphy.,59,59
10:58,172,Official TV Timeout,59,59
10:58,172,Darryl Smith missed Free Throw.,59,59
10:58,111,Maxime Boursiquot Defensive Rebound.,59,59
10:45,111,Bolden Brace missed Three Point Jumper.,59,59
10:45,111,Northeastern Offensive Rebound.,59,59
10:28,111,Jeremy Miller Turnover.,59,59
10:19,172,Matt Morgan missed Three Point Jumper.,59,59
10:19,111,Bolden Brace Defensive Rebound.,59,59
10:06,111,Shawn Occeus missed Three Point Jumper.,59,59
10:06,172,Robert Hatter Defensive Rebound.,59,59
9:46,111,Foul on Maxime Boursiquot.,59,59
9:36,111,Foul on Shawn Occeus.,59,59
9:36,172,Donovan Wright made Free Throw.,59,60
9:36,172,Donovan Wright missed Free Throw.,59,60
9:36,111,Jeremy Miller Defensive Rebound.,59,60
9:25,111,Alex Murphy made Layup. Assisted by T.J. Williams.,61,60
8:59,172,Darryl Smith missed Three Point Jumper.,61,60
8:59,111,Devon Begley Defensive Rebound.,61,60
8:48,111,Alex Murphy missed Layup.,61,60
8:48,172,Stone Gettings Block.,61,60
8:48,111,Northeastern Offensive Rebound.,61,60
8:46,111,T.J. Williams missed Jumper.,61,60
8:46,172,Donovan Wright Defensive Rebound.,61,60
8:34,172,Matt Morgan made Three Point Jumper. Assisted by Stone Gettings.,61,63
8:18,111,Devon Begley made Jumper. Assisted by Shawn Occeus.,63,63
8:05,172,Robert Hatter made Layup.,63,65
7:52,111,T.J. Williams made Jumper.,65,65
7:29,172,Donovan Wright missed Three Point Jumper.,65,65
7:29,111,Devon Begley Defensive Rebound.,65,65
7:18,111,Shawn Occeus Turnover.,65,65
7:18,172,Official TV Timeout,65,65
6:54,172,Robert Hatter Turnover.,65,65
6:53,111,T.J. Williams Steal.,65,65
6:49,111,Alex Murphy made Layup. Assisted by T.J. Williams.,67,65
6:23,172,Troy Whiteside missed Jumper.,67,65
6:23,111,Alex Murphy Defensive Rebound.,67,65
6:14,111,Jimmy Marshall made Layup. Assisted by T.J. Williams.,69,65
5:55,172,Matt Morgan missed Jumper.,69,65
5:55,111,Jimmy Marshall Defensive Rebound.,69,65
5:41,111,Jeremy Miller made Layup. Assisted by T.J. Williams.,71,65
5:40,172,Cornell  Timeout,71,65
5:22,172,Josh Warren made Layup. Assisted by Troy Whiteside.,71,67
5:03,172,Foul on JoJo Fallas.,71,67
4:48,111,Alex Murphy missed Jumper.,71,67
4:48,172,Josh Warren Defensive Rebound.,71,67
4:40,111,Foul on T.J. Williams.,71,67
4:40,172,Robert Hatter made Free Throw.,71,68
4:40,172,Robert Hatter missed Free Throw.,71,68
4:40,111,Devon Begley Defensive Rebound.,71,68
4:24,111,T.J. Williams missed Jumper.,71,68
4:24,172,Matt Morgan Defensive Rebound.,71,68
4:19,111,Foul on Jimmy Marshall.,71,68
4:19,172,Matt Morgan made Free Throw.,71,69
4:19,172,Matt Morgan made Free Throw.,71,70
4:02,111,T.J. Williams missed Jumper.,71,70
4:02,172,Troy Whiteside Defensive Rebound.,71,70
3:53,172,Matt Morgan missed Three Point Jumper.,71,70
3:53,172,Cornell Offensive Rebound.,71,70
3:52,172,Official TV Timeout,71,70
3:52,172,Donovan Wright made Layup. Assisted by Matt Morgan.,71,72
3:34,111,T.J. Williams missed Layup.,71,72
3:34,172,Darryl Smith Block.,71,72
3:33,172,Josh Warren Defensive Rebound.,71,72
3:15,172,Donovan Wright missed Layup.,71,72
3:15,111,Northeastern Defensive Rebound.,71,72
3:15,172,Foul on Josh Warren.,71,72
3:03,111,Shawn Occeus Turnover.,71,72
3:02,172,Troy Whiteside Steal.,71,72
2:59,172,Troy Whiteside missed Layup.,71,72
2:59,111,Alex Murphy Block.,71,72
2:59,172,Cornell Offensive Rebound.,71,72
2:33,172,Donovan Wright missed Three Point Jumper.,71,72
2:33,111,Northeastern Deadball Team Rebound.,71,72
2:21,111,Devon Begley Turnover.,71,72
2:16,111,Northeastern  Timeout,71,72
2:07,172,Robert Hatter made Layup.,71,74
1:49,172,Foul on Darryl Smith.,71,74
1:49,111,T.J. Williams made Free Throw.,72,74
1:49,111,T.J. Williams made Free Throw.,73,74
1:24,172,Josh Warren Turnover.,73,74
1:22,111,Devon Begley Steal.,73,74
1:14,111,T.J. Williams made Layup.,75,74
0:59,172,Cornell  Timeout,75,74
0:40,172,Josh Warren made Layup. Assisted by Robert Hatter.,75,76
0:31,111,Alex Murphy made Layup. Assisted by T.J. Williams.,77,76
0:31,111,Northeastern  Timeout,77,76
0:19,172,Matt Morgan made Layup.,77,78
0:10,111,T.J. Williams Turnover.,77,78
0:09,172,JoJo Fallas Steal.,77,78
0:07,111,Foul on Alex Murphy.,77,78
0:07,172,Josh Warren made Free Throw.,77,79
0:07,172,Josh Warren made Free Throw.,77,80
0:07,111,Northeastern  Timeout,77,80
