North Carolina,84,Indiana,153
4:40,84,OG Anunoby made Dunk. Assisted by Josh Newkirk.,22,34
4:27,153,Kennedy Meeks Turnover.,22,34
4:16,84,Josh Newkirk made Jumper.,22,36
4:02,153,Kennedy Meeks made Layup. Assisted by Nate Britt.,24,36
3:38,84,Robert Johnson missed Three Point Jumper.,24,36
3:38,153,Isaiah Hicks Defensive Rebound.,24,36
3:22,153,Jump Ball won by North Carolina,24,36
3:22,84,Official TV Timeout,24,36
3:08,153,Kennedy Meeks made Jumper. Assisted by Nate Britt.,26,36
2:50,84,Robert Johnson made Three Point Jumper. Assisted by Zach McRoberts.,26,39
2:36,153,Nate Britt made Layup.,28,39
2:27,84,Josh Newkirk missed Three Point Jumper.,28,39
2:27,84,Zach McRoberts Offensive Rebound.,28,39
2:06,84,Josh Newkirk missed Layup.,28,39
2:06,153,Nate Britt Block.,28,39
2:06,153,Seventh Woods Defensive Rebound.,28,39
1:51,153,Brandon Robinson missed Three Point Jumper.,28,39
1:51,153,Kennedy Meeks Offensive Rebound.,28,39
1:41,153,Nate Britt missed Three Point Jumper.,28,39
1:41,84,Robert Johnson Defensive Rebound.,28,39
1:27,84,De'Ron Davis missed Jumper.,28,39
1:27,153,Isaiah Hicks Defensive Rebound.,28,39
1:06,153,Kennedy Meeks Turnover.,28,39
1:06,84,De'Ron Davis Steal.,28,39
0:58,84,Josh Newkirk made Jumper.,28,41
0:42,84,Foul on Zach McRoberts.,28,41
0:42,153,Brandon Robinson missed Free Throw.,28,41
0:42,153,North Carolina Deadball Team Rebound.,28,41
0:42,153,Brandon Robinson missed Free Throw.,28,41
0:42,153,Isaiah Hicks Offensive Rebound.,28,41
0:32,84,Foul on Zach McRoberts.,28,41
0:32,153,Seventh Woods missed Free Throw.,28,41
0:32,153,North Carolina Deadball Team Rebound.,28,41
0:32,153,Seventh Woods made Free Throw.,29,41
0:03,84,Indiana  Timeout,29,41
0:01,84,Robert Johnson missed Three Point Jumper.,29,41
0:01,84,Indiana Offensive Rebound.,29,41
0:01,84,Indiana  Turnover.,29,41
0:01,153,Isaiah Hicks Turnover.,29,41
0:01,84,Robert Johnson Steal.,29,41
0:00,84,End of 1st half,29,41
20:00,84,Jump Ball won by Indiana,29,41
19:36,84,James Blackmon Jr. missed Jumper.,29,41
19:36,153,Joel Berry II Defensive Rebound.,29,41
19:17,153,Joel Berry II missed Layup.,29,41
19:17,84,OG Anunoby Defensive Rebound.,29,41
19:07,84,Thomas Bryant made Layup.,29,43
18:48,153,Justin Jackson made Layup.,31,43
18:23,84,Josh Newkirk Turnover.,31,43
18:01,153,Nate Britt Turnover.,31,43
18:01,84,Thomas Bryant Steal.,31,43
17:45,84,Josh Newkirk missed Three Point Jumper.,31,43
17:45,153,Kennedy Meeks Defensive Rebound.,31,43
17:29,153,Kennedy Meeks made Layup. Assisted by Joel Berry II.,33,43
16:58,84,James Blackmon Jr. Turnover.,33,43
16:58,153,Isaiah Hicks Steal.,33,43
16:43,153,Kennedy Meeks made Layup. Assisted by Joel Berry II.,35,43
16:20,84,OG Anunoby made Layup.,35,45
16:20,153,Foul on Isaiah Hicks.,35,45
16:20,84,OG Anunoby missed Free Throw.,35,45
16:20,153,Justin Jackson Defensive Rebound.,35,45
16:04,153,Kennedy Meeks made Dunk. Assisted by Joel Berry II.,37,45
15:33,84,Josh Newkirk Turnover.,37,45
15:33,84,Official TV Timeout,37,45
15:21,84,Foul on Zach McRoberts.,37,45
15:16,153,Isaiah Hicks missed Jumper.,37,45
15:16,84,Juwan Morgan Block.,37,45
15:16,84,Juwan Morgan Defensive Rebound.,37,45
15:15,153,Foul on Isaiah Hicks.,37,45
15:07,84,Foul on Zach McRoberts.,37,45
15:07,84,Zach McRoberts Turnover.,37,45
14:56,153,Joel Berry II Turnover.,37,45
14:56,84,Thomas Bryant Steal.,37,45
14:43,84,Thomas Bryant made Jumper.,37,47
14:17,84,Foul on Josh Newkirk.,37,47
14:17,153,Joel Berry II missed Free Throw.,37,47
14:17,153,North Carolina Deadball Team Rebound.,37,47
14:17,153,Joel Berry II made Free Throw.,38,47
14:03,84,Thomas Bryant made Three Point Jumper. Assisted by Juwan Morgan.,38,50
13:42,84,Foul on OG Anunoby.,38,50
13:42,153,Justin Jackson made Free Throw.,39,50
13:42,153,Justin Jackson missed Free Throw.,39,50
13:42,84,Juwan Morgan Defensive Rebound.,39,50
13:42,153,Foul on Tony Bradley.,39,50
13:21,84,Curtis Jones missed Jumper.,39,50
13:21,153,Tony Bradley Defensive Rebound.,39,50
13:08,153,Justin Jackson made Three Point Jumper. Assisted by Joel Berry II.,42,50
12:37,153,Foul on Tony Bradley.,42,50
12:37,84,Juwan Morgan made Free Throw.,42,51
12:37,84,Juwan Morgan made Free Throw.,42,52
12:21,153,Joel Berry II missed Three Point Jumper.,42,52
12:21,153,Kenny Williams Offensive Rebound.,42,52
12:21,153,Kenny Williams Turnover.,42,52
12:04,84,OG Anunoby missed Three Point Jumper.,42,52
12:04,153,Kennedy Meeks Defensive Rebound.,42,52
11:52,84,Foul on Juwan Morgan.,42,52
11:52,84,Official TV Timeout,42,52
11:35,153,Joel Berry II made Layup.,44,52
11:11,84,Juwan Morgan made Layup. Assisted by OG Anunoby.,44,54
11:00,153,Justin Jackson missed Layup.,44,54
11:00,84,OG Anunoby Block.,44,54
11:00,84,Robert Johnson Defensive Rebound.,44,54
10:55,84,Robert Johnson Turnover.,44,54
10:55,84,Foul on Robert Johnson.,44,54
10:31,153,Kennedy Meeks missed Jumper.,44,54
10:31,84,De'Ron Davis Block.,44,54
10:31,153,Justin Jackson Offensive Rebound.,44,54
10:26,84,Foul on OG Anunoby.,44,54
10:26,153,Justin Jackson made Free Throw.,45,54
10:26,153,Justin Jackson made Free Throw.,46,54
10:08,84,Josh Newkirk made Three Point Jumper. Assisted by OG Anunoby.,46,57
9:54,153,Luke Maye missed Three Point Jumper.,46,57
9:54,153,Kennedy Meeks Offensive Rebound.,46,57
9:49,153,Kennedy Meeks missed Layup.,46,57
9:49,84,James Blackmon Jr. Defensive Rebound.,46,57
9:46,153,Foul on Kennedy Meeks.,46,57
9:31,84,Thomas Bryant Turnover.,46,57
9:13,153,Isaiah Hicks made Layup. Assisted by Kenny Williams.,48,57
8:51,84,Thomas Bryant missed Three Point Jumper.,48,57
8:51,153,Isaiah Hicks Defensive Rebound.,48,57
8:45,153,Jump Ball won by North Carolina,48,57
8:36,153,Isaiah Hicks missed Jumper.,48,57
8:36,84,Thomas Bryant Defensive Rebound.,48,57
8:26,84,OG Anunoby made Three Point Jumper. Assisted by James Blackmon Jr..,48,60
8:17,153,Justin Jackson missed Three Point Jumper.,48,60
8:17,84,James Blackmon Jr. Defensive Rebound.,48,60
8:09,84,James Blackmon Jr. missed Three Point Jumper.,48,60
8:09,84,Thomas Bryant Offensive Rebound.,48,60
8:03,84,Thomas Bryant missed Layup.,48,60
8:03,153,Kenny Williams Block.,48,60
8:03,84,James Blackmon Jr. Offensive Rebound.,48,60
8:01,84,Jump Ball won by Indiana,48,60
7:59,84,Official TV Timeout,48,60
7:48,153,Foul on Isaiah Hicks.,48,60
7:30,84,Juwan Morgan missed Jumper.,48,60
7:30,153,Justin Jackson Defensive Rebound.,48,60
7:18,153,Isaiah Hicks made Dunk. Assisted by Seventh Woods.,50,60
6:52,153,Jump Ball won by North Carolina,50,60
6:52,84,Josh Newkirk Turnover.,50,60
6:52,153,Seventh Woods Steal.,50,60
6:40,153,Nate Britt missed Layup.,50,60
6:40,84,OG Anunoby Block.,50,60
6:40,153,Nate Britt Offensive Rebound.,50,60
6:28,153,Tony Bradley missed Layup.,50,60
6:28,84,Thomas Bryant Defensive Rebound.,50,60
6:09,84,James Blackmon Jr. missed Three Point Jumper.,50,60
6:09,153,Justin Jackson Defensive Rebound.,50,60
6:02,153,Tony Bradley made Dunk. Assisted by Justin Jackson.,52,60
5:31,153,Foul on Tony Bradley.,52,60
5:31,84,Thomas Bryant missed Free Throw.,52,60
5:31,84,Indiana Deadball Team Rebound.,52,60
5:31,84,Thomas Bryant made Free Throw.,52,61
5:18,153,Kenny Williams made Layup. Assisted by Kennedy Meeks.,54,61
5:18,84,Foul on Robert Johnson.,54,61
5:18,153,Kenny Williams made Free Throw.,55,61
5:03,84,Robert Johnson missed Jumper.,55,61
5:03,153,Justin Jackson Defensive Rebound.,55,61
4:52,153,Joel Berry II made Jumper.,57,61
4:29,153,Foul on Kennedy Meeks.,57,61
4:29,84,De'Ron Davis made Free Throw.,57,62
4:29,84,De'Ron Davis missed Free Throw.,57,62
4:29,153,Kennedy Meeks Defensive Rebound.,57,62
4:13,153,Kenny Williams missed Jumper.,57,62
4:13,84,James Blackmon Jr. Defensive Rebound.,57,62
3:44,84,James Blackmon Jr. made Three Point Jumper.,57,65
3:28,153,Justin Jackson made Three Point Jumper. Assisted by Joel Berry II.,60,65
3:03,84,De'Ron Davis made Layup.,60,67
2:50,153,Joel Berry II missed Jumper.,60,67
2:50,84,Josh Newkirk Block.,60,67
2:50,153,North Carolina Offensive Rebound.,60,67
2:48,84,Official TV Timeout,60,67
2:33,153,Kennedy Meeks Turnover.,60,67
2:33,84,Josh Newkirk Steal.,60,67
2:31,153,Foul on Nate Britt.,60,67
2:31,84,Robert Johnson made Free Throw.,60,68
2:31,84,Robert Johnson missed Free Throw.,60,68
2:31,153,Kennedy Meeks Defensive Rebound.,60,68
2:10,153,Nate Britt missed Jumper.,60,68
2:10,84,OG Anunoby Defensive Rebound.,60,68
1:52,153,Foul on Joel Berry II.,60,68
1:52,84,Josh Newkirk missed Free Throw.,60,68
1:52,84,Indiana Deadball Team Rebound.,60,68
1:52,84,Josh Newkirk made Free Throw.,60,69
1:43,153,Justin Jackson missed Three Point Jumper.,60,69
1:43,84,Josh Newkirk Defensive Rebound.,60,69
1:35,84,OG Anunoby made Dunk. Assisted by Josh Newkirk.,60,71
1:27,84,Foul on Thomas Bryant.,60,71
1:27,153,Isaiah Hicks missed Free Throw.,60,71
1:27,153,North Carolina Deadball Team Rebound.,60,71
1:27,153,Isaiah Hicks made Free Throw.,61,71
1:19,153,Foul on Luke Maye.,61,71
1:19,84,James Blackmon Jr. made Free Throw.,61,72
1:19,84,James Blackmon Jr. made Free Throw.,61,73
1:19,84,Indiana  Timeout,61,73
1:09,153,Joel Berry II missed Three Point Jumper.,61,73
1:09,84,James Blackmon Jr. Defensive Rebound.,61,73
0:56,84,Indiana  Timeout,61,73
0:43,84,Jump Ball won by Indiana,61,73
0:42,153,Foul on Isaiah Hicks.,61,73
0:42,84,Thomas Bryant made Free Throw.,61,74
0:42,84,Thomas Bryant made Free Throw.,61,75
0:32,153,Justin Jackson made Layup.,63,75
0:24,153,Foul on Nate Britt.,63,75
0:24,84,James Blackmon Jr. missed Free Throw.,63,75
0:24,84,Indiana Deadball Team Rebound.,63,75
0:24,84,James Blackmon Jr. made Free Throw.,63,76
0:20,153,Kenny Williams missed Three Point Jumper.,63,76
0:20,84,James Blackmon Jr. Defensive Rebound.,63,76
0:11,84,James Blackmon Jr. Turnover.,63,76
0:11,153,Joel Berry II Steal.,63,76
0:06,153,Joel Berry II missed Layup.,63,76
0:06,153,Justin Jackson Offensive Rebound.,63,76
0:05,153,Justin Jackson missed Layup.,63,76
0:05,153,Kenny Williams Offensive Rebound.,63,76
0:05,153,Kenny Williams made Layup.,65,76
0:03,84,Robert Johnson Turnover.,65,76
0:03,153,Nate Britt Steal.,65,76
0:03,84,Foul on Josh Newkirk.,65,76
0:03,153,Kenny Williams made Free Throw.,66,76
0:03,153,Kenny Williams made Free Throw.,67,76
0:00,84,End of Game,67,76
