IUPUI,2287,Illinois State,85
9:27,85,Ron Patterson missed Three Point Jumper.,14,25
9:27,2287,Tony Wills Defensive Rebound.,14,25
9:19,2287,DJ Clayton missed Three Point Jumper.,14,25
9:19,85,Matt O'Leary Defensive Rebound.,14,25
9:09,85,Matt O'Leary made Three Point Jumper. Assisted by Kellon Thomas.,17,25
8:57,2287,Tony Wills made Three Point Jumper. Assisted by Paris Lee.,17,28
8:32,2287,Foul on Paris Lee.,17,28
8:07,85,Foul on Giovanni Fraser.,17,28
8:07,85,Giovanni Fraser Turnover.,17,28
7:58,2287,Official TV Timeout,17,28
7:41,2287,DJ Clayton Turnover.,17,28
7:24,85,Darell Combs missed Three Point Jumper.,17,28
7:24,2287,MiKyle McIntosh Defensive Rebound.,17,28
7:14,2287,Deontae Hawkins made Jumper. Assisted by MiKyle McIntosh.,17,30
7:00,85,Matt O'Leary missed Three Point Jumper.,17,30
7:00,2287,Paris Lee Defensive Rebound.,17,30
6:54,2287,Madison Williams Turnover.,17,30
6:28,85,Darell Combs made Layup.,19,30
6:22,2287,Paris Lee missed Layup.,19,30
6:22,85,Giovanni Fraser Block.,19,30
6:20,2287,Paris Lee Offensive Rebound.,19,30
6:16,2287,Keyshawn Evans missed Three Point Jumper.,19,30
6:16,2287,Deontae Hawkins Offensive Rebound.,19,30
6:12,2287,Deontae Hawkins made Jumper.,19,32
5:54,85,IUPUI  Timeout,19,32
5:44,85,Evan Hall missed Jumper.,19,32
5:44,2287,Deontae Hawkins Block.,19,32
5:43,2287,Deontae Hawkins Defensive Rebound.,19,32
5:37,2287,Phil Fayne missed Layup.,19,32
5:37,85,Kellon Thomas Defensive Rebound.,19,32
5:36,2287,Foul on Phil Fayne.,19,32
5:25,85,Darell Combs Turnover.,19,32
5:24,2287,Deontae Hawkins Steal.,19,32
5:12,2287,Keyshawn Evans missed Three Point Jumper.,19,32
5:08,85,Evan Hall Defensive Rebound.,19,32
5:08,2287,Foul on Deontae Hawkins.,19,32
5:03,85,Darell Combs missed Free Throw.,19,32
5:03,85,Darell Combs Offensive Rebound.,19,32
4:48,85,Kellon Thomas Turnover.,19,32
4:46,2287,Tony Wills Steal.,19,32
4:41,2287,MiKyle McIntosh missed Three Point Jumper.,19,32
4:41,85,D.J. McCall Defensive Rebound.,19,32
4:30,85,Matt O'Leary made Jumper. Assisted by Darell Combs.,21,32
4:03,2287,Keyshawn Evans missed Three Point Jumper.,21,32
4:03,2287,Keyshawn Evans Offensive Rebound.,21,32
3:58,2287,Tony Wills missed Three Point Jumper.,21,32
3:58,2287,MiKyle McIntosh Offensive Rebound.,21,32
3:54,85,Foul on Matt O'Leary.,21,32
3:54,2287,Official TV Timeout,21,32
3:38,2287,Paris Lee made Layup.,21,34
3:15,2287,Foul on Keyshawn Evans.,21,34
3:15,85,Aaron Brennan made Free Throw.,22,34
3:15,85,Aaron Brennan made Free Throw.,23,34
2:59,2287,Paris Lee made Three Point Jumper. Assisted by MiKyle McIntosh.,23,37
2:45,85,D.J. McCall Turnover.,23,37
2:35,2287,MiKyle McIntosh missed Jumper.,23,37
2:35,85,D.J. McCall Defensive Rebound.,23,37
2:21,85,Kellon Thomas missed Jumper.,23,37
2:21,2287,MiKyle McIntosh Defensive Rebound.,23,37
2:14,2287,Paris Lee made Three Point Jumper.,23,40
1:47,2287,Foul on Tony Wills.,23,40
1:47,85,Ron Patterson made Free Throw.,24,40
1:47,85,Ron Patterson made Free Throw.,25,40
1:26,85,Foul on Ron Patterson.,25,40
1:24,2287,DJ Clayton made Free Throw.,25,41
1:24,2287,DJ Clayton missed Free Throw.,25,41
1:24,85,Matt O'Leary Defensive Rebound.,25,41
1:15,2287,Foul on Andre Washington.,25,41
1:15,85,Aaron Brennan missed Free Throw.,25,41
1:15,85,IUPUI Deadball Team Rebound.,25,41
1:15,85,Aaron Brennan made Free Throw.,26,41
0:55,85,Foul on Matt O'Leary.,26,41
0:55,2287,DJ Clayton missed Free Throw.,26,41
0:55,2287,Illinois St Deadball Team Rebound.,26,41
0:55,2287,DJ Clayton made Free Throw.,26,42
0:41,85,Aaron Brennan missed Layup.,26,42
0:41,2287,Andre Washington Block.,26,42
0:39,2287,Paris Lee Defensive Rebound.,26,42
0:14,2287,Illinois St  Timeout,26,42
0:12,2287,MiKyle McIntosh missed Jumper.,26,42
0:12,2287,DJ Clayton Offensive Rebound.,26,42
0:11,2287,DJ Clayton made Two Point Tip Shot.,26,44
0:08,85,Darell Combs made Three Point Jumper.,29,44
0:00,2287,End of 1st half,29,44
19:53,85,Darell Combs made Jumper.,31,44
19:39,2287,Deontae Hawkins made Three Point Jumper. Assisted by DJ Clayton.,31,47
19:17,85,Darell Combs missed Layup.,31,47
19:17,2287,Phil Fayne Defensive Rebound.,31,47
19:08,2287,Paris Lee Turnover.,31,47
19:07,85,Kellon Thomas Steal.,31,47
19:05,85,Matt O'Leary made Layup. Assisted by Darell Combs.,33,47
18:42,2287,Deontae Hawkins missed Jumper.,33,47
18:42,85,Evan Hall Defensive Rebound.,33,47
18:39,2287,Foul on Phil Fayne.,33,47
18:22,85,Darell Combs missed Layup.,33,47
18:22,2287,MiKyle McIntosh Block.,33,47
18:21,85,Evan Hall Offensive Rebound.,33,47
18:21,85,Evan Hall made Layup.,35,47
17:59,85,Foul on Ron Patterson.,35,47
17:54,2287,MiKyle McIntosh made Layup. Assisted by Paris Lee.,35,49
17:36,85,Matt O'Leary missed Jumper.,35,49
17:36,2287,Deontae Hawkins Defensive Rebound.,35,49
17:29,2287,MiKyle McIntosh missed Jumper.,35,49
17:29,85,Evan Hall Block.,35,49
17:27,2287,Paris Lee Offensive Rebound.,35,49
17:08,85,Foul on Darell Combs.,35,49
17:08,2287,MiKyle McIntosh made Free Throw.,35,50
17:08,2287,MiKyle McIntosh made Free Throw.,35,51
16:49,85,Ron Patterson missed Three Point Jumper.,35,51
16:49,85,Evan Hall Offensive Rebound.,35,51
16:47,2287,Foul on Deontae Hawkins.,35,51
16:45,85,Darell Combs missed Three Point Jumper.,35,51
16:45,2287,Paris Lee Defensive Rebound.,35,51
16:35,2287,Madison Williams missed Three Point Jumper.,35,51
16:35,85,Matt O'Leary Defensive Rebound.,35,51
16:17,85,Darell Combs missed Layup.,35,51
16:17,2287,DJ Clayton Defensive Rebound.,35,51
16:14,2287,DJ Clayton Turnover.,35,51
16:13,85,Ron Patterson Steal.,35,51
16:12,85,Matt O'Leary made Layup. Assisted by Ron Patterson.,37,51
15:46,2287,DJ Clayton missed Jumper.,37,51
15:46,85,Matt O'Leary Block.,37,51
15:45,2287,Illinois St Offensive Rebound.,37,51
15:38,2287,Official TV Timeout,37,51
15:36,2287,MiKyle McIntosh missed Jumper.,37,51
15:36,85,Darell Combs Defensive Rebound.,37,51
15:20,85,Darell Combs made Jumper.,39,51
15:19,2287,Foul on Keyshawn Evans.,39,51
15:19,85,Darell Combs missed Free Throw.,39,51
15:19,2287,MiKyle McIntosh Defensive Rebound.,39,51
15:17,2287,MiKyle McIntosh Turnover.,39,51
15:05,85,D.J. McCall Turnover.,39,51
14:55,85,Foul on Darell Combs.,39,51
14:51,2287,MiKyle McIntosh missed Free Throw.,39,51
14:51,2287,Illinois St Deadball Team Rebound.,39,51
14:51,2287,MiKyle McIntosh made Free Throw.,39,52
14:35,2287,Foul on Tony Wills.,39,52
14:24,85,Kellon Thomas missed Jumper.,39,52
14:24,2287,DJ Clayton Defensive Rebound.,39,52
14:16,2287,Deontae Hawkins missed Three Point Jumper.,39,52
14:16,85,Giovanni Fraser Defensive Rebound.,39,52
14:07,2287,Foul on Deontae Hawkins.,39,52
13:48,85,Darell Combs missed Three Point Jumper.,39,52
13:48,2287,DJ Clayton Defensive Rebound.,39,52
13:43,2287,Keyshawn Evans Turnover.,39,52
13:42,85,Darell Combs Steal.,39,52
13:30,2287,Foul on Paris Lee.,39,52
13:30,85,Aaron Brennan made Free Throw.,40,52
13:30,85,Aaron Brennan made Free Throw.,41,52
13:18,2287,Paris Lee made Three Point Jumper. Assisted by MiKyle McIntosh.,41,55
12:58,85,D.J. McCall Turnover.,41,55
12:55,2287,Paris Lee Steal.,41,55
12:52,2287,MiKyle McIntosh missed Three Point Jumper.,41,55
12:52,2287,Keyshawn Evans Offensive Rebound.,41,55
12:46,2287,DJ Clayton made Layup. Assisted by Paris Lee.,41,57
12:46,85,Foul on Giovanni Fraser.,41,57
12:46,2287,DJ Clayton missed Free Throw.,41,57
12:46,85,Aaron Brennan Defensive Rebound.,41,57
12:37,85,Giovanni Fraser missed Layup.,41,57
12:37,2287,Keyshawn Evans Defensive Rebound.,41,57
12:24,2287,MiKyle McIntosh missed Jumper.,41,57
12:24,85,IUPUI Defensive Rebound.,41,57
11:44,85,Ron Patterson made Three Point Jumper. Assisted by Kellon Thomas.,44,57
11:24,2287,Phil Fayne made Jumper. Assisted by DJ Clayton.,44,59
11:06,85,Evan Hall missed Dunk.,44,59
11:06,2287,MiKyle McIntosh Block.,44,59
11:05,2287,MiKyle McIntosh Defensive Rebound.,44,59
11:00,85,Foul on Evan Hall.,44,59
11:00,2287,Official TV Timeout,44,59
10:51,2287,DJ Clayton missed Layup.,44,59
10:51,85,Ron Patterson Block.,44,59
10:49,85,Evan Hall Defensive Rebound.,44,59
10:26,85,Ron Patterson missed Three Point Jumper.,44,59
10:26,2287,Phil Fayne Defensive Rebound.,44,59
10:15,85,Foul on Matt O'Leary.,44,59
10:11,2287,MiKyle McIntosh made Jumper.,44,61
9:56,85,Darell Combs missed Three Point Jumper.,44,61
9:56,2287,Phil Fayne Defensive Rebound.,44,61
9:52,85,Foul on Evan Hall.,44,61
9:48,2287,Phil Fayne made Free Throw.,44,62
9:48,2287,Phil Fayne missed Free Throw.,44,62
9:48,85,Matt O'Leary Defensive Rebound.,44,62
9:23,85,Matt O'Leary made Layup. Assisted by Ron Patterson.,46,62
8:55,2287,Keyshawn Evans missed Jumper.,46,62
8:55,85,Matt O'Leary Defensive Rebound.,46,62
8:35,85,Ron Patterson made Three Point Jumper. Assisted by Darell Combs.,49,62
8:11,2287,Deontae Hawkins made Jumper. Assisted by Keyshawn Evans.,49,64
8:07,85,Darell Combs made Layup.,51,64
7:44,2287,Paris Lee missed Three Point Jumper.,51,64
7:44,85,Ron Patterson Defensive Rebound.,51,64
7:36,85,Ron Patterson made Layup.,53,64
7:21,2287,Illinois St  Timeout,53,64
7:21,2287,Official TV Timeout,53,64
7:05,2287,Phil Fayne Turnover.,53,64
7:05,85,Darell Combs Steal.,53,64
6:58,85,Darell Combs missed Three Point Jumper.,53,64
6:58,2287,Phil Fayne Defensive Rebound.,53,64
6:48,85,Foul on T.J. Henderson.,53,64
6:48,2287,Official TV Timeout,53,64
6:48,2287,Paris Lee made Free Throw.,53,65
6:48,2287,Paris Lee missed Free Throw.,53,65
6:48,85,Ron Patterson Defensive Rebound.,53,65
6:34,85,Matt O'Leary missed Three Point Jumper.,53,65
6:34,2287,DJ Clayton Defensive Rebound.,53,65
6:23,85,Foul on Aaron Brennan.,53,65
6:17,2287,Phil Fayne made Free Throw.,53,66
6:17,2287,Phil Fayne made Free Throw.,53,67
6:09,85,Matt O'Leary missed Jumper.,53,67
6:09,2287,Phil Fayne Block.,53,67
6:09,2287,MiKyle McIntosh Defensive Rebound.,53,67
6:06,85,Foul on Kellon Thomas.,53,67
6:00,2287,Phil Fayne missed Free Throw.,53,67
6:00,2287,Illinois St Deadball Team Rebound.,53,67
6:00,2287,Phil Fayne missed Free Throw.,53,67
5:57,2287,Tony Wills Offensive Rebound.,53,67
5:49,2287,MiKyle McIntosh Turnover.,53,67
5:25,2287,Foul on Phil Fayne.,53,67
5:25,85,Kellon Thomas made Free Throw.,54,67
5:25,85,Kellon Thomas made Free Throw.,55,67
5:07,2287,Paris Lee Turnover.,55,67
5:06,85,Kellon Thomas Steal.,55,67
5:04,85,Ron Patterson made Dunk. Assisted by Matt O'Leary.,57,67
4:43,2287,MiKyle McIntosh missed Jumper.,57,67
4:43,85,Aaron Brennan Defensive Rebound.,57,67
4:35,85,Kellon Thomas missed Jumper.,57,67
4:35,2287,DJ Clayton Defensive Rebound.,57,67
4:08,2287,Paris Lee made Jumper.,57,69
3:52,85,Darell Combs missed Layup.,57,69
3:52,2287,Tony Wills Block.,57,69
3:51,2287,Deontae Hawkins Defensive Rebound.,57,69
3:46,2287,MiKyle McIntosh made Layup. Assisted by Paris Lee.,57,71
3:29,85,IUPUI  Timeout,57,71
3:29,2287,Official TV Timeout,57,71
3:13,85,Darell Combs missed Layup.,57,71
3:13,2287,MiKyle McIntosh Block.,57,71
3:12,85,IUPUI Offensive Rebound.,57,71
3:12,85,Ron Patterson missed Three Point Jumper.,57,71
3:12,2287,MiKyle McIntosh Defensive Rebound.,57,71
2:47,2287,DJ Clayton missed Dunk.,57,71
2:47,2287,Deontae Hawkins Offensive Rebound.,57,71
2:24,85,Foul on Evan Hall.,57,71
2:20,2287,MiKyle McIntosh made Free Throw.,57,72
2:20,2287,MiKyle McIntosh missed Free Throw.,57,72
2:20,85,Aaron Brennan Defensive Rebound.,57,72
2:12,85,Ron Patterson missed Jumper.,57,72
2:12,2287,DJ Clayton Defensive Rebound.,57,72
2:05,85,Foul on Darell Combs.,57,72
2:05,2287,DJ Clayton made Free Throw.,57,73
2:05,2287,DJ Clayton missed Free Throw.,57,73
2:05,85,Aaron Brennan Defensive Rebound.,57,73
1:47,2287,Foul on DJ Clayton.,57,73
1:47,85,Darell Combs made Free Throw.,58,73
1:47,85,Darell Combs made Free Throw.,59,73
1:42,2287,Deontae Hawkins made Layup. Assisted by Andre Washington.,59,75
1:35,85,Matt O'Leary made Layup.,61,75
1:04,2287,Andre Washington missed Jumper.,61,75
1:04,2287,Deontae Hawkins Offensive Rebound.,61,75
1:01,2287,Deontae Hawkins made Layup.,61,77
0:57,2287,Illinois St  Timeout,61,77
0:50,2287,Foul on Madison Williams.,61,77
0:48,85,Kellon Thomas made Free Throw.,62,77
0:48,85,Kellon Thomas made Free Throw.,63,77
0:47,2287,Keyshawn Evans Turnover.,63,77
0:45,85,Darell Combs Turnover.,63,77
0:45,2287,Andre Washington Steal.,63,77
0:21,2287,Andre Washington Turnover.,63,77
0:20,85,Ron Patterson Steal.,63,77
0:17,2287,Foul on Keyshawn Evans.,63,77
0:14,85,Ron Patterson missed Free Throw.,63,77
0:14,85,IUPUI Deadball Team Rebound.,63,77
0:14,85,Ron Patterson missed Free Throw.,63,77
0:14,2287,Javaka Thompson Defensive Rebound.,63,77
0:00,2287,End of Game,63,77
