Middle Tennessee,145,Ole Miss,2393
5:47,2393,Giddy Potts made Three Point Jumper. Assisted by Reggie Upshaw.,34,14
5:24,145,Deandre Burnett missed Three Point Jumper.,34,14
5:24,2393,Karl Gamble Defensive Rebound.,34,14
4:55,2393,Karl Gamble missed Jumper.,34,14
4:55,145,Marcanvis Hymon Block.,34,14
4:53,145,Cullen Neal Defensive Rebound.,34,14
4:48,145,Cullen Neal missed Layup.,34,14
4:48,2393,Xavier Habersham Defensive Rebound.,34,14
4:38,2393,Reggie Upshaw made Three Point Jumper. Assisted by Xavier Habersham.,37,14
4:21,145,Cullen Neal made Three Point Jumper. Assisted by Deandre Burnett.,37,17
3:55,2393,Xavier Habersham made Three Point Jumper. Assisted by Reggie Upshaw.,40,17
3:24,2393,Foul on Karl Gamble.,40,17
3:24,145,Official TV Timeout,40,17
3:24,145,Sebastian Saiz missed Free Throw.,40,17
3:24,145,Ole Miss Deadball Team Rebound.,40,17
3:24,145,Sebastian Saiz missed Free Throw.,40,17
3:24,2393,Aldonis Foote Defensive Rebound.,40,17
2:59,2393,Aldonis Foote missed Layup.,40,17
2:59,145,Sebastian Saiz Defensive Rebound.,40,17
2:36,145,Cullen Neal missed Three Point Jumper.,40,17
2:36,2393,Xavier Habersham Defensive Rebound.,40,17
2:11,2393,Reggie Upshaw made Three Point Jumper. Assisted by Giddy Potts.,43,17
1:50,145,Deandre Burnett missed Layup.,43,17
1:50,2393,Reggie Upshaw Defensive Rebound.,43,17
1:43,2393,Giddy Potts made Three Point Jumper. Assisted by Reggie Upshaw.,46,17
1:27,145,Cullen Neal Turnover.,46,17
1:26,2393,Aldonis Foote Steal.,46,17
1:25,145,Foul on Cullen Neal.,46,17
1:06,2393,Aldonis Foote missed Jumper.,46,17
1:06,145,Cullen Neal Defensive Rebound.,46,17
0:59,145,Deandre Burnett missed Three Point Jumper.,46,17
0:59,2393,Middle Tennessee Defensive Rebound.,46,17
0:42,2393,Aldonis Foote missed Layup.,46,17
0:42,145,Ole Miss Defensive Rebound.,46,17
0:29,2393,Foul on Xavier Habersham.,46,17
0:29,145,Deandre Burnett made Free Throw.,46,18
0:29,145,Deandre Burnett made Free Throw.,46,19
0:06,2393,Karl Gamble made Layup. Assisted by Giddy Potts.,48,19
0:00,145,End of 1st half,48,19
19:55,145,Terence Davis made Jumper.,48,21
19:32,2393,JaCorey Williams missed Jumper.,48,21
19:32,145,Marcanvis Hymon Block.,48,21
19:29,2393,Middle Tennessee Offensive Rebound.,48,21
19:22,2393,JaCorey Williams made Jumper. Assisted by Giddy Potts.,50,21
19:10,145,Breein Tyree made Three Point Jumper. Assisted by Donte Fitzpatrick-Dorsey.,50,24
18:48,2393,Giddy Potts Turnover.,50,24
18:48,145,Breein Tyree Steal.,50,24
18:42,145,Terence Davis missed Three Point Jumper.,50,24
18:42,145,Marcanvis Hymon Offensive Rebound.,50,24
18:39,145,Marcanvis Hymon made Dunk.,50,26
18:16,2393,Reggie Upshaw missed Three Point Jumper.,50,26
18:16,145,Marcanvis Hymon Defensive Rebound.,50,26
18:10,145,Terence Davis made Layup.,50,28
18:08,2393,Foul on Tyrik Dixon.,50,28
18:08,145,Terence Davis made Free Throw.,50,29
17:45,2393,JaCorey Williams missed Jumper.,50,29
17:45,145,Marcanvis Hymon Defensive Rebound.,50,29
17:25,145,Terence Davis missed Three Point Jumper.,50,29
17:25,145,Marcanvis Hymon Offensive Rebound.,50,29
17:12,145,Donte Fitzpatrick-Dorsey missed Layup.,50,29
17:12,2393,JaCorey Williams Defensive Rebound.,50,29
16:55,2393,JaCorey Williams missed Jumper.,50,29
16:55,145,Terence Davis Defensive Rebound.,50,29
16:34,145,Donte Fitzpatrick-Dorsey missed Layup.,50,29
16:34,2393,Reggie Upshaw Defensive Rebound.,50,29
16:17,145,Foul on Breein Tyree.,50,29
15:56,145,Foul on Marcanvis Hymon.,50,29
15:56,145,Official TV Timeout,50,29
15:56,2393,Aldonis Foote made Free Throw.,51,29
15:56,2393,Aldonis Foote made Free Throw.,52,29
15:42,145,Breein Tyree made Jumper.,52,31
15:26,2393,Aldonis Foote made Layup. Assisted by JaCorey Williams.,54,31
15:13,2393,Foul on Xavier Habersham.,54,31
15:13,145,Marcanvis Hymon made Free Throw.,54,32
15:13,145,Marcanvis Hymon missed Free Throw.,54,32
15:13,145,Sebastian Saiz Offensive Rebound.,54,32
15:11,145,Breein Tyree made Three Point Jumper. Assisted by Sebastian Saiz.,54,35
15:02,2393,Middle Tennessee  Timeout,54,35
14:49,2393,Xavier Habersham Turnover.,54,35
14:48,145,Terence Davis Steal.,54,35
14:43,2393,Foul on Xavier Habersham.,54,35
14:43,145,Breein Tyree missed Free Throw.,54,35
14:43,145,Ole Miss Deadball Team Rebound.,54,35
14:43,145,Breein Tyree made Free Throw.,54,36
14:34,145,Foul on Justas Furmanavicius.,54,36
14:25,2393,Antwain Johnson missed Layup.,54,36
14:25,145,Deandre Burnett Defensive Rebound.,54,36
14:19,2393,Foul on Edward Simpson.,54,36
14:19,145,Deandre Burnett made Free Throw.,54,37
14:19,145,Deandre Burnett made Free Throw.,54,38
14:00,2393,Edward Simpson made Jumper.,56,38
13:43,145,Breein Tyree missed Three Point Jumper.,56,38
13:43,2393,Reggie Upshaw Defensive Rebound.,56,38
13:20,2393,Reggie Upshaw missed Jumper.,56,38
13:20,145,Sebastian Saiz Block.,56,38
13:17,145,Sebastian Saiz Defensive Rebound.,56,38
13:11,145,Breein Tyree Turnover.,56,38
13:09,2393,Edward Simpson Steal.,56,38
13:02,2393,Edward Simpson missed Three Point Jumper.,56,38
13:02,145,Terence Davis Defensive Rebound.,56,38
12:52,2393,Foul on Reggie Upshaw.,56,38
12:47,145,Deandre Burnett missed Layup.,56,38
12:47,2393,JaCorey Williams Defensive Rebound.,56,38
12:41,2393,Antwain Johnson made Layup. Assisted by JaCorey Williams.,58,38
12:30,145,Deandre Burnett made Three Point Jumper. Assisted by Cullen Neal.,58,41
12:08,2393,Antwain Johnson Turnover.,58,41
11:51,2393,Foul on Edward Simpson.,58,41
11:51,145,Official TV Timeout,58,41
11:35,2393,Foul on Antwain Johnson.,58,41
11:35,145,Sebastian Saiz made Free Throw.,58,42
11:35,145,Sebastian Saiz missed Free Throw.,58,42
11:35,2393,Karl Gamble Defensive Rebound.,58,42
11:25,145,Foul on Cullen Neal.,58,42
11:08,2393,Karl Gamble missed Jumper.,58,42
11:08,145,Justas Furmanavicius Block.,58,42
11:06,145,Sebastian Saiz Defensive Rebound.,58,42
10:58,145,Sebastian Saiz made Three Point Jumper. Assisted by Deandre Burnett.,58,45
10:37,2393,Edward Simpson missed Three Point Jumper.,58,45
10:37,145,Terence Davis Defensive Rebound.,58,45
10:27,2393,Foul on Giddy Potts.,58,45
10:27,145,Deandre Burnett made Free Throw.,58,46
10:27,145,Deandre Burnett made Free Throw.,58,47
10:03,2393,Reggie Upshaw made Dunk. Assisted by Aldonis Foote.,60,47
9:34,2393,Foul on Aldonis Foote.,60,47
9:34,145,Deandre Burnett made Free Throw.,60,48
9:34,145,Deandre Burnett made Free Throw.,60,49
9:09,2393,Giddy Potts missed Three Point Jumper.,60,49
9:09,145,Breein Tyree Defensive Rebound.,60,49
9:01,145,Breein Tyree missed Layup.,60,49
9:01,2393,Edward Simpson Defensive Rebound.,60,49
8:48,145,Foul on Sebastian Saiz.,60,49
8:31,2393,JaCorey Williams made Jumper. Assisted by Edward Simpson.,62,49
8:14,145,Deandre Burnett missed Three Point Jumper.,62,49
8:14,2393,Reggie Upshaw Defensive Rebound.,62,49
7:52,2393,JaCorey Williams missed Jumper.,62,49
7:52,145,Sebastian Saiz Defensive Rebound.,62,49
7:29,145,Breein Tyree made Layup.,62,51
7:04,145,Official TV Timeout,62,51
6:57,2393,Edward Simpson missed Layup.,62,51
6:57,145,Terence Davis Block.,62,51
6:56,145,Marcanvis Hymon Defensive Rebound.,62,51
6:48,145,Cullen Neal missed Jumper.,62,51
6:48,2393,Xavier Habersham Defensive Rebound.,62,51
6:21,2393,JaCorey Williams missed Jumper.,62,51
6:21,145,Terence Davis Defensive Rebound.,62,51
6:00,145,Foul on Deandre Burnett.,62,51
6:00,145,Deandre Burnett Turnover.,62,51
5:57,145,Foul on Sebastian Saiz.,62,51
5:57,2393,JaCorey Williams missed Free Throw.,62,51
5:57,2393,Reggie Upshaw Offensive Rebound.,62,51
5:54,2393,Reggie Upshaw Turnover.,62,51
5:54,145,Cullen Neal Steal.,62,51
5:53,2393,Foul on Reggie Upshaw.,62,51
5:53,145,Cullen Neal made Free Throw.,62,52
5:53,145,Cullen Neal missed Free Throw.,62,52
5:53,2393,Giddy Potts Defensive Rebound.,62,52
5:23,2393,Giddy Potts made Layup. Assisted by Reggie Upshaw.,64,52
5:18,2393,Foul on Giddy Potts.,64,52
5:18,145,Deandre Burnett made Free Throw.,64,53
5:18,145,Deandre Burnett made Free Throw.,64,54
4:54,2393,Xavier Habersham missed Layup.,64,54
4:54,2393,Reggie Upshaw Offensive Rebound.,64,54
4:52,2393,Reggie Upshaw made Dunk.,66,54
4:38,145,Cullen Neal made Three Point Jumper. Assisted by Terence Davis.,66,57
4:36,145,Ole Miss  Timeout,66,57
4:32,2393,Xavier Habersham made Dunk. Assisted by Edward Simpson.,68,57
4:21,145,Deandre Burnett made Layup.,68,59
3:58,145,Foul on Justas Furmanavicius.,68,59
3:58,145,Official TV Timeout,68,59
3:58,2393,JaCorey Williams made Free Throw.,69,59
3:58,2393,JaCorey Williams made Free Throw.,70,59
3:43,145,Terence Davis missed Three Point Jumper.,70,59
3:43,2393,Reggie Upshaw Defensive Rebound.,70,59
3:22,2393,Tyrik Dixon made Layup. Assisted by Reggie Upshaw.,72,59
3:20,145,Foul on Cullen Neal.,72,59
3:20,2393,Tyrik Dixon made Free Throw.,73,59
3:10,145,Justas Furmanavicius missed Layup.,73,59
3:10,2393,JaCorey Williams Defensive Rebound.,73,59
2:45,2393,Xavier Habersham Turnover.,73,59
2:44,145,Terence Davis Steal.,73,59
2:40,2393,Foul on Xavier Habersham.,73,59
2:40,145,Terence Davis missed Free Throw.,73,59
2:40,145,Ole Miss Deadball Team Rebound.,73,59
2:40,145,Terence Davis made Free Throw.,73,60
2:16,145,Foul on Terence Davis.,73,60
2:16,2393,Giddy Potts made Free Throw.,74,60
2:16,2393,Giddy Potts made Free Throw.,75,60
2:04,145,Terence Davis made Jumper.,75,62
1:34,2393,Tyrik Dixon missed Three Point Jumper.,75,62
1:34,145,Sebastian Saiz Defensive Rebound.,75,62
1:25,145,Deandre Burnett missed Layup.,75,62
1:25,2393,Giddy Potts Block.,75,62
1:22,2393,Tyrik Dixon Defensive Rebound.,75,62
1:20,145,Foul on Terence Davis.,75,62
1:20,2393,Tyrik Dixon made Free Throw.,76,62
1:20,2393,Tyrik Dixon made Free Throw.,77,62
1:09,145,Terence Davis missed Three Point Jumper.,77,62
1:09,2393,Reggie Upshaw Defensive Rebound.,77,62
0:41,2393,Tyrik Dixon missed Jumper.,77,62
0:41,2393,Middle Tennessee Offensive Rebound.,77,62
0:07,2393,Tyrik Dixon missed Layup.,77,62
0:07,145,Sebastian Saiz Defensive Rebound.,77,62
0:00,145,End of Game,77,62
