Norfolk State,2350,Loyola-Chicago,2450
11:41,2450,Jonathan Wade made Three Point Jumper. Assisted by Alex Long.,46,47
11:22,2350,Milton Doyle made Free Throw.,46,48
11:22,2350,Milton Doyle made Free Throw.,46,49
11:22,2350,Milton Doyle made Free Throw.,46,50
11:19,2450,Foul on Carrington Ward.,46,47
11:19,2350,Official TV Timeout,46,47
11:07,2450,Jordan Butler made Layup.,48,50
10:54,2450,Foul on Jonathan Wade.,48,50
10:54,2350,Aundre Jackson missed Free Throw.,48,50
10:54,2350,Loyola (CHI) Deadball Team Rebound.,48,50
10:54,2350,Aundre Jackson made Free Throw.,48,51
10:43,2450,Jonathan Wade made Jumper. Assisted by Jordan Butler.,50,51
10:24,2350,Aundre Jackson missed Layup.,50,51
10:24,2450,Jordan Butler Block.,50,51
10:22,2450,Jordan Butler Defensive Rebound.,50,51
10:03,2450,Carrington Ward missed Three Point Jumper.,50,51
10:03,2350,Donte Ingram Defensive Rebound.,50,51
9:59,2450,Foul on Jordan Butler.,50,51
9:59,2350,Clayton Custer missed Free Throw.,50,51
9:59,2450,Alex Long Defensive Rebound.,50,51
9:40,2450,Zaynah Robinson missed Jumper.,50,51
9:40,2450,Jordan Butler Offensive Rebound.,50,51
9:37,2350,Foul on Aundre Jackson.,50,51
9:37,2350,Foul on Cameron Satterwhite.,50,51
9:32,2450,Jonathan Wade missed Jumper.,50,51
9:32,2350,Aundre Jackson Defensive Rebound.,50,51
9:20,2350,Donte Ingram made Jumper. Assisted by Ben Richardson.,50,53
8:54,2450,Kyle Williams missed Three Point Jumper.,50,53
8:54,2450,Jonathan Wade Offensive Rebound.,50,53
8:50,2450,Jonathan Wade made Layup.,52,53
8:26,2350,Clayton Custer made Three Point Jumper. Assisted by Donte Ingram.,52,56
8:23,2450,Norfolk St  Timeout,52,56
8:01,2450,Foul on Stavian Allen.,52,56
8:01,2450,Stavian Allen Turnover.,52,56
7:49,2350,Ben Richardson missed Three Point Jumper.,52,56
7:49,2450,Kyle Williams Defensive Rebound.,52,56
