Wagner,113,Massachusetts,2681
9:09,2681,Mike Aaman missed Layup.,17,22
9:09,2681,Elijah Davis Offensive Rebound.,17,22
9:04,2681,Elijah Davis missed Layup.,17,22
9:04,2681,Mike Aaman Offensive Rebound.,17,22
9:04,113,Foul on Chris Baldwin.,17,22
9:04,2681,Mike Aaman missed Free Throw.,17,22
9:04,2681,Wagner Deadball Team Rebound.,17,22
9:04,2681,Mike Aaman missed Free Throw.,17,22
9:04,113,Brison Gresham Defensive Rebound.,17,22
8:45,113,Donte Clark made Layup.,17,24
8:17,2681,Michael Carey made Jumper.,19,24
8:01,113,Brison Gresham Turnover.,19,24
7:45,2681,Corey Henson missed Jumper.,19,24
7:45,2681,Mike Aaman Offensive Rebound.,19,24
7:39,2681,Devin Liggeons missed Three Point Jumper.,19,24
7:39,113,Massachusetts Defensive Rebound.,19,24
7:36,113,Official TV Timeout,19,24
7:11,113,Brison Gresham Turnover.,19,24
6:55,2681,Corey Henson Turnover.,19,24
6:51,113,C.J. Anderson Steal.,19,24
6:46,2681,Foul on AJ Sumbry.,19,24
6:46,113,Brison Gresham missed Free Throw.,19,24
6:46,113,Massachusetts Deadball Team Rebound.,19,24
6:46,113,Brison Gresham missed Free Throw.,19,24
6:46,2681,Michael Carey Defensive Rebound.,19,24
6:34,113,Foul on Rashaan Holloway.,19,24
6:34,2681,Mike Aaman missed Free Throw.,19,24
6:34,113,Malik Hines Defensive Rebound.,19,24
6:24,113,C.J. Anderson made Three Point Jumper.,19,27
5:49,2681,Corey Henson missed Three Point Jumper.,19,27
5:49,113,Massachusetts Defensive Rebound.,19,27
5:34,113,Donte Clark missed Three Point Jumper.,19,27
5:34,2681,Devin Liggeons Defensive Rebound.,19,27
5:31,113,Foul on Luwane Pipkins.,19,27
5:31,2681,Devin Liggeons missed Free Throw.,19,27
5:31,113,Luwane Pipkins Defensive Rebound.,19,27
5:09,113,Luwane Pipkins missed Three Point Jumper.,19,27
5:09,2681,Shack Scott Defensive Rebound.,19,27
5:00,2681,Corey Henson Turnover.,19,27
5:00,113,Luwane Pipkins Steal.,19,27
4:46,113,C.J. Anderson missed Three Point Jumper.,19,27
4:46,2681,Greg Senat Defensive Rebound.,19,27
4:27,2681,Michael Carey missed Three Point Jumper.,19,27
4:27,113,C.J. Anderson Defensive Rebound.,19,27
4:20,113,C.J. Anderson made Layup.,19,29
4:01,113,Foul on Seth Berger.,19,29
4:01,2681,Corey Henson made Free Throw.,20,29
4:01,2681,Corey Henson made Free Throw.,21,29
3:44,113,Luwane Pipkins missed Jumper.,21,29
3:44,113,Malik Hines Offensive Rebound.,21,29
3:41,2681,Foul on Michael Carey.,21,29
3:41,113,Official TV Timeout,21,29
3:29,113,Malik Hines made Layup. Assisted by Seth Berger.,21,31
3:29,2681,Foul on Greg Senat.,21,31
3:29,113,Malik Hines made Free Throw.,21,32
3:08,2681,Elijah Davis Turnover.,21,32
2:56,113,Tyrn Flowers missed Three Point Jumper.,21,32
2:56,2681,Michael Carey Defensive Rebound.,21,32
2:48,2681,Blake Francis made Three Point Jumper. Assisted by Corey Henson.,24,32
2:16,113,Donte Clark missed Jumper.,24,32
2:16,2681,Mike Aaman Defensive Rebound.,24,32
1:44,2681,Blake Francis made Three Point Jumper. Assisted by Corey Henson.,27,32
1:40,113,Massachusetts  Timeout,27,32
1:27,113,Donte Clark missed Jumper.,27,32
1:27,113,Seth Berger Offensive Rebound.,27,32
1:20,113,Donte Clark Turnover.,27,32
0:54,2681,Mike Aaman Turnover.,27,32
0:53,113,Luwane Pipkins Steal.,27,32
0:51,113,Donte Clark made Dunk. Assisted by Seth Berger.,27,34
0:51,2681,Wagner  Timeout,27,34
0:29,2681,Connor Ferrell made Jumper.,29,34
0:03,2681,Foul on Blake Francis.,29,34
0:01,113,Luwane Pipkins missed Three Point Jumper.,29,34
0:01,2681,Wagner Deadball Team Rebound.,29,34
0:00,113,End of 1st half,29,34
19:42,2681,Corey Henson made Three Point Jumper. Assisted by Mike Aaman.,32,34
19:22,113,Rashaan Holloway made Jumper. Assisted by Donte Clark.,32,36
18:59,113,Foul on Rashaan Holloway.,32,36
18:41,2681,Mike Aaman made Layup. Assisted by Michael Carey.,34,36
18:31,2681,Foul on Connor Ferrell.,34,36
18:20,113,Malik Hines made Dunk. Assisted by Zach Lewis.,34,38
17:59,2681,Corey Henson missed Three Point Jumper.,34,38
17:59,113,Donte Clark Defensive Rebound.,34,38
17:50,113,Zach Lewis missed Three Point Jumper.,34,38
17:50,2681,Mike Aaman Defensive Rebound.,34,38
17:44,2681,Michael Carey missed Jumper.,34,38
17:44,113,Seth Berger Defensive Rebound.,34,38
17:31,2681,Foul on Michael Carey.,34,38
17:21,113,Malik Hines made Dunk. Assisted by Luwane Pipkins.,34,40
17:09,113,Foul on Donte Clark.,34,40
16:57,2681,Mike Aaman made Layup. Assisted by Corey Henson.,36,40
16:30,113,Donte Clark missed Three Point Jumper.,36,40
16:30,2681,Corey Henson Defensive Rebound.,36,40
16:16,2681,AJ Sumbry made Jumper.,38,40
15:58,113,Luwane Pipkins Turnover.,38,40
15:58,113,Official TV Timeout,38,40
15:30,2681,Mike Aaman Turnover.,38,40
15:29,113,Malik Hines Steal.,38,40
15:26,2681,Foul on Connor Ferrell.,38,40
15:26,113,Malik Hines made Free Throw.,38,41
15:26,113,Malik Hines made Free Throw.,38,42
15:24,2681,Devin Liggeons Turnover.,38,42
15:23,113,Malik Hines Steal.,38,42
15:21,113,Zach Lewis made Layup.,38,44
15:08,2681,Wagner  Turnover.,38,44
14:49,2681,Foul on Devin Liggeons.,38,44
14:49,113,Donte Clark missed Free Throw.,38,44
14:49,113,Massachusetts Deadball Team Rebound.,38,44
14:49,113,Donte Clark missed Free Throw.,38,44
14:49,2681,Mike Aaman Defensive Rebound.,38,44
14:29,2681,Corey Henson missed Three Point Jumper.,38,44
14:29,2681,Michael Carey Offensive Rebound.,38,44
14:12,113,Foul on Malik Hines.,38,44
14:12,2681,Mike Aaman missed Free Throw.,38,44
14:12,2681,Wagner Deadball Team Rebound.,38,44
14:12,2681,Mike Aaman made Free Throw.,39,44
14:01,113,C.J. Anderson Turnover.,39,44
13:37,2681,AJ Sumbry Turnover.,39,44
13:16,113,Tyrn Flowers made Three Point Jumper. Assisted by C.J. Anderson.,39,47
12:55,2681,Greg Senat missed Layup.,39,47
12:55,113,Chris Baldwin Block.,39,47
12:55,2681,Greg Senat Offensive Rebound.,39,47
12:55,113,Foul on Chris Baldwin.,39,47
12:55,2681,Greg Senat made Free Throw.,40,47
12:55,2681,Greg Senat missed Free Throw.,40,47
12:55,113,Chris Baldwin Defensive Rebound.,40,47
12:28,113,Tyrn Flowers Turnover.,40,47
12:22,113,Foul on Tyrn Flowers.,40,47
12:07,2681,Michael Carey made Three Point Jumper.,43,47
11:42,2681,Foul on Greg Senat.,43,47
11:42,113,Official TV Timeout,43,47
11:42,113,Tyrn Flowers missed Free Throw.,43,47
11:42,113,Massachusetts Deadball Team Rebound.,43,47
11:42,113,Tyrn Flowers missed Free Throw.,43,47
11:42,2681,Mike Aaman Defensive Rebound.,43,47
11:19,2681,Michael Carey missed Jumper.,43,47
11:19,113,Chris Baldwin Defensive Rebound.,43,47
10:49,113,Zach Lewis missed Jumper.,43,47
10:49,2681,Michael Carey Defensive Rebound.,43,47
10:29,2681,Corey Henson Turnover.,43,47
10:18,113,Zach Lewis missed Three Point Jumper.,43,47
10:18,113,Chris Baldwin Offensive Rebound.,43,47
10:14,113,Chris Baldwin missed Dunk.,43,47
10:14,2681,Corey Henson Defensive Rebound.,43,47
10:01,2681,Mike Aaman missed Layup.,43,47
10:01,2681,Mike Aaman Offensive Rebound.,43,47
9:57,2681,Mike Aaman made Layup.,45,47
9:46,113,Chris Baldwin Turnover.,45,47
9:21,2681,Mike Aaman made Layup. Assisted by Connor Ferrell.,47,47
8:59,113,Luwane Pipkins Turnover.,47,47
8:55,2681,Wagner  Timeout,47,47
8:50,113,Foul on C.J. Anderson.,47,47
8:29,2681,Michael Carey missed Jumper.,47,47
8:29,113,Donte Clark Defensive Rebound.,47,47
8:20,113,Donte Clark made Layup.,47,49
7:56,113,Foul on Rashaan Holloway.,47,49
7:56,113,Official TV Timeout,47,49
7:56,2681,Devin Liggeons missed Free Throw.,47,49
7:56,2681,Wagner Deadball Team Rebound.,47,49
7:56,2681,Devin Liggeons missed Free Throw.,47,49
7:56,2681,Wagner Deadball Team Rebound.,47,49
7:56,2681,Devin Liggeons made Free Throw.,48,49
7:32,113,Zach Lewis missed Three Point Jumper.,48,49
7:32,113,Seth Berger Offensive Rebound.,48,49
7:15,113,Donte Clark missed Three Point Jumper.,48,49
7:15,2681,Michael Carey Defensive Rebound.,48,49
6:55,2681,Foul on Devin Liggeons.,48,49
6:55,2681,Devin Liggeons Turnover.,48,49
6:37,113,Luwane Pipkins missed Three Point Jumper.,48,49
6:37,113,C.J. Anderson Offensive Rebound.,48,49
6:34,113,C.J. Anderson made Layup.,48,51
6:20,2681,Wagner  Timeout,48,51
6:02,2681,Corey Henson missed Three Point Jumper.,48,51
6:02,2681,Michael Carey Offensive Rebound.,48,51
5:57,2681,Connor Ferrell missed Three Point Jumper.,48,51
5:57,113,Malik Hines Defensive Rebound.,48,51
5:52,2681,Foul on Connor Ferrell.,48,51
5:52,113,Donte Clark missed Free Throw.,48,51
5:52,113,Massachusetts Deadball Team Rebound.,48,51
5:52,113,Donte Clark made Free Throw.,48,52
5:25,2681,Corey Henson made Layup.,50,52
4:55,113,Luwane Pipkins missed Three Point Jumper.,50,52
4:55,113,Malik Hines Offensive Rebound.,50,52
4:44,113,C.J. Anderson made Three Point Jumper. Assisted by Luwane Pipkins.,50,55
4:16,2681,Corey Henson Turnover.,50,55
3:56,113,C.J. Anderson missed Layup.,50,55
3:56,113,Malik Hines Offensive Rebound.,50,55
3:51,113,Malik Hines made Dunk.,50,57
3:29,113,Foul on Luwane Pipkins.,50,57
3:29,113,Official TV Timeout,50,57
3:29,2681,Corey Henson made Free Throw.,51,57
3:29,2681,Corey Henson made Free Throw.,52,57
3:02,113,C.J. Anderson missed Layup.,52,57
3:02,113,Malik Hines Offensive Rebound.,52,57
3:00,2681,Foul on Corey Henson.,52,57
3:00,113,Malik Hines made Free Throw.,52,58
3:00,113,Malik Hines made Free Throw.,52,59
2:40,2681,Devin Liggeons Turnover.,52,59
2:39,113,Donte Clark Steal.,52,59
2:37,113,Donte Clark Turnover.,52,59
2:12,2681,Devin Liggeons Turnover.,52,59
1:55,2681,Foul on Devin Liggeons.,52,59
1:55,113,Donte Clark made Free Throw.,52,60
1:55,113,Donte Clark made Free Throw.,52,61
1:26,2681,Mike Aaman made Layup. Assisted by Corey Henson.,54,61
0:56,113,Zach Lewis missed Three Point Jumper.,54,61
0:56,2681,Connor Ferrell Defensive Rebound.,54,61
0:46,2681,Corey Henson missed Three Point Jumper.,54,61
0:46,2681,Wagner Offensive Rebound.,54,61
0:28,2681,Michael Carey missed Jumper.,54,61
0:28,113,Malik Hines Defensive Rebound.,54,61
0:25,2681,Foul on Devin Liggeons.,54,61
0:25,113,Malik Hines made Free Throw.,54,62
0:25,113,Malik Hines missed Free Throw.,54,62
0:25,2681,Michael Carey Defensive Rebound.,54,62
0:14,113,Foul on Zach Lewis.,54,62
0:14,2681,Mike Aaman made Free Throw.,55,62
0:14,2681,Mike Aaman missed Free Throw.,55,62
0:14,2681,Connor Ferrell Offensive Rebound.,55,62
0:03,2681,Michael Carey missed Three Point Jumper.,55,62
0:03,2681,Devin Liggeons Offensive Rebound.,55,62
0:00,113,End of Game,55,62
