Western Kentucky,2198,Eastern Kentucky,98
9:21,2198,Marlon Adams Defensive Rebound.,10,15
9:00,2198,Jaylen Babb-Harrison missed Three Point Jumper.,10,15
9:00,98,Que Johnson Defensive Rebound.,10,15
8:49,98,Anton Waters Turnover.,10,15
8:47,2198,DeAndre Dishman Steal.,10,15
8:42,98,Foul on Que Johnson.,10,15
8:42,2198,Jaylen Babb-Harrison made Free Throw.,10,16
8:42,2198,Jaylen Babb-Harrison made Free Throw.,10,17
8:31,98,Pancake Thomas missed Three Point Jumper.,10,17
8:31,2198,DeAndre Dishman Defensive Rebound.,10,17
8:03,2198,Nick Mayo missed Three Point Jumper.,10,17
8:03,98,Pancake Thomas Defensive Rebound.,10,17
7:39,98,Que Johnson missed Three Point Jumper.,10,17
7:38,2198,Eastern Kentucky Defensive Rebound.,10,17
7:37,2198,Official TV Timeout,10,17
7:18,2198,Parker Chitty Turnover.,10,17
7:17,98,Junior Lomomba Steal.,10,17
7:04,98,Marty Leahy made Three Point Jumper. Assisted by Pancake Thomas.,13,17
6:38,2198,DeAndre Dishman made Jumper. Assisted by Nick Mayo.,13,19
6:38,98,Foul on Ben Lawson.,13,19
6:38,2198,DeAndre Dishman made Free Throw.,13,20
6:22,98,Junior Lomomba made Jumper.,15,20
5:55,2198,Nick Mayo missed Jumper.,15,20
5:55,98,Justin Johnson Defensive Rebound.,15,20
5:36,98,Pancake Thomas missed Jumper.,15,20
5:36,2198,Jaylen Babb-Harrison Defensive Rebound.,15,20
5:28,2198,Parker Chitty missed Three Point Jumper.,15,20
5:28,2198,Zach Charles Offensive Rebound.,15,20
5:19,2198,Parker Chitty made Layup.,15,22
4:54,98,Junior Lomomba made Layup.,17,22
4:54,2198,Foul on Zach Charles.,17,22
4:54,98,Junior Lomomba made Free Throw.,18,22
4:36,2198,Jaylen Babb-Harrison missed Jumper.,18,22
4:36,98,Western Kentucky Defensive Rebound.,18,22
4:17,98,Justin Johnson made Layup. Assisted by Junior Lomomba.,20,22
4:00,2198,Nick Mayo made Jumper.,20,24
3:34,2198,Official TV Timeout,20,24
3:33,2198,Foul on Dillon Avare.,20,24
3:33,98,Justin Johnson missed Free Throw.,20,24
3:33,98,Western Kentucky Deadball Team Rebound.,20,24
3:33,98,Justin Johnson made Free Throw.,21,24
3:21,2198,Asante Gist missed Three Point Jumper.,21,24
3:21,98,Tobias Howard Defensive Rebound.,21,24
3:00,98,Tobias Howard missed Jumper.,21,24
3:00,2198,Marlon Adams Defensive Rebound.,21,24
2:43,2198,Isaac McGlone made Three Point Jumper. Assisted by Nick Mayo.,21,27
2:19,2198,Foul on Marlon Adams.,21,27
2:19,98,Junior Lomomba made Free Throw.,22,27
2:19,98,Junior Lomomba made Free Throw.,23,27
2:00,2198,Isaac McGlone made Three Point Jumper. Assisted by Nick Mayo.,23,30
1:51,98,Foul on Que Johnson.,23,30
1:51,98,Que Johnson Turnover.,23,30
1:41,2198,Isaac McGlone made Three Point Jumper. Assisted by Marlon Adams.,23,33
1:12,98,Pancake Thomas missed Three Point Jumper.,23,33
1:12,2198,Marlon Adams Defensive Rebound.,23,33
0:50,2198,Marlon Adams Turnover.,23,33
0:48,98,Pancake Thomas Steal.,23,33
0:46,98,Western Kentucky  Timeout,23,33
0:21,2198,Foul on Parker Chitty.,23,33
0:21,98,Junior Lomomba missed Free Throw.,23,33
0:21,98,Western Kentucky Deadball Team Rebound.,23,33
0:21,98,Junior Lomomba made Free Throw.,24,33
0:07,2198,Asante Gist made Layup.,24,35
0:00,2198,End of 1st half,24,35
19:32,2198,Isaac McGlone made Layup.,24,37
19:03,98,Que Johnson missed Three Point Jumper.,24,37
19:03,98,Justin Johnson Offensive Rebound.,24,37
18:57,98,Justin Johnson made Jumper.,26,37
18:33,2198,Nick Mayo Turnover.,26,37
18:17,2198,Foul on Zach Charles.,26,37
18:17,98,Que Johnson made Free Throw.,27,37
18:17,98,Que Johnson made Free Throw.,28,37
18:08,2198,Jaylen Babb-Harrison missed Jumper.,28,37
18:08,98,Que Johnson Defensive Rebound.,28,37
17:46,98,Justin Johnson missed Jumper.,28,37
17:46,2198,Parker Chitty Defensive Rebound.,28,37
17:35,2198,Nick Mayo missed Three Point Jumper.,28,37
17:35,98,Ben Lawson Defensive Rebound.,28,37
17:09,98,Justin Johnson made Three Point Jumper. Assisted by Pancake Thomas.,31,37
16:45,2198,Nick Mayo missed Jumper.,31,37
16:45,98,Ben Lawson Block.,31,37
16:43,98,Ben Lawson Defensive Rebound.,31,37
16:39,98,Ben Lawson Turnover.,31,37
16:38,2198,Nick Mayo Steal.,31,37
16:36,2198,Jaylen Babb-Harrison Turnover.,31,37
16:34,98,Que Johnson Steal.,31,37
16:32,98,Que Johnson made Layup.,33,37
16:02,2198,Parker Chitty made Jumper.,33,39
15:40,98,Justin Johnson missed Jumper.,33,39
15:40,2198,Nick Mayo Block.,33,39
15:39,2198,Eastern Kentucky Defensive Rebound.,33,39
15:35,2198,Official TV Timeout,33,39
15:17,2198,Marlon Adams made Layup. Assisted by Nick Mayo.,33,41
15:03,98,Pancake Thomas made Jumper.,35,41
14:46,2198,Jaylen Babb-Harrison made Three Point Jumper. Assisted by Marlon Adams.,35,44
14:36,98,Junior Lomomba Turnover.,35,44
14:35,2198,Jaylen Babb-Harrison Steal.,35,44
14:32,2198,Jaylen Babb-Harrison missed Jumper.,35,44
14:32,98,Justin Johnson Defensive Rebound.,35,44
14:10,98,Ben Lawson missed Jumper.,35,44
14:10,98,Justin Johnson Offensive Rebound.,35,44
14:06,98,Justin Johnson missed Two Point Tip Shot.,35,44
14:06,98,Western Kentucky Offensive Rebound.,35,44
13:55,2198,Foul on Parker Chitty.,35,44
13:55,98,Que Johnson made Free Throw.,36,44
13:55,98,Que Johnson made Free Throw.,37,44
13:33,2198,Marlon Adams made Layup. Assisted by Isaac McGlone.,37,46
13:15,98,Justin Johnson made Layup. Assisted by Pancake Thomas.,39,46
13:14,2198,Foul on Isaac McGlone.,39,46
13:14,98,Justin Johnson made Free Throw.,40,46
12:56,2198,Dillon Avare missed Three Point Jumper.,40,46
12:56,2198,Nick Mayo Offensive Rebound.,40,46
12:51,2198,Nick Mayo made Dunk.,40,48
12:31,98,Que Johnson missed Jumper.,40,48
12:31,2198,Eastern Kentucky Defensive Rebound.,40,48
12:14,2198,Isaac McGlone made Three Point Jumper. Assisted by Asante Gist.,40,51
11:51,2198,Foul on Nick Mayo.,40,51
11:51,2198,Official TV Timeout,40,51
11:51,98,Justin Johnson made Free Throw.,41,51
11:51,98,Justin Johnson made Free Throw.,42,51
11:38,98,Foul on Anton Waters.,42,51
11:38,98,Foul on Junior Lomomba.,42,51
11:30,2198,Asante Gist made Three Point Jumper.,42,54
11:12,98,Pancake Thomas missed Three Point Jumper.,42,54
11:12,2198,Asante Gist Defensive Rebound.,42,54
11:04,2198,Asante Gist made Jumper.,42,56
10:41,98,Que Johnson made Three Point Jumper. Assisted by Anton Waters.,45,56
10:19,2198,Asante Gist made Three Point Jumper.,45,59
9:54,98,Que Johnson Turnover.,45,59
9:53,2198,Jaylen Babb-Harrison Steal.,45,59
9:44,98,Foul on Que Johnson.,45,59
9:44,2198,DeAndre Dishman missed Free Throw.,45,59
9:44,2198,Eastern Kentucky Deadball Team Rebound.,45,59
9:44,2198,DeAndre Dishman made Free Throw.,45,60
9:33,2198,Foul on Jaylen Babb-Harrison.,45,60
9:19,98,Junior Lomomba missed Jumper.,45,60
9:19,98,Anton Waters Offensive Rebound.,45,60
9:15,98,Anton Waters missed Two Point Tip Shot.,45,60
9:15,2198,Jaylen Babb-Harrison Defensive Rebound.,45,60
8:49,98,Foul on Anton Waters.,45,60
8:49,2198,DeAndre Dishman missed Free Throw.,45,60
8:49,2198,Eastern Kentucky Deadball Team Rebound.,45,60
8:49,2198,DeAndre Dishman made Free Throw.,45,61
8:43,2198,Foul on Asante Gist.,45,61
8:17,98,Anton Waters missed Three Point Jumper.,45,61
8:17,2198,Asante Gist Defensive Rebound.,45,61
8:00,2198,Jaylen Babb-Harrison made Three Point Jumper.,45,64
7:48,98,Tobias Howard missed Three Point Jumper.,45,64
7:48,2198,Jaylen Babb-Harrison Defensive Rebound.,45,64
7:32,98,Foul on Anton Waters.,45,64
7:32,2198,Official TV Timeout,45,64
7:32,2198,Asante Gist made Free Throw.,45,65
7:32,2198,Asante Gist made Free Throw.,45,66
7:22,98,Junior Lomomba Turnover.,45,66
7:03,2198,Asante Gist Turnover.,45,66
6:50,2198,Foul on Marlon Adams.,45,66
6:50,98,Ben Lawson made Free Throw.,46,66
6:50,98,Ben Lawson made Free Throw.,47,66
6:46,2198,Asante Gist missed Three Point Jumper.,47,66
6:46,2198,Jaylen Babb-Harrison Offensive Rebound.,47,66
6:39,2198,Jaylen Babb-Harrison missed Three Point Jumper.,47,66
6:39,98,Ben Lawson Defensive Rebound.,47,66
6:31,98,Pancake Thomas Turnover.,47,66
6:30,2198,Jaylen Babb-Harrison Steal.,47,66
6:27,2198,Nick Mayo missed Dunk.,47,66
6:27,2198,Asante Gist Offensive Rebound.,47,66
5:59,2198,Asante Gist made Three Point Jumper.,47,69
5:43,98,Que Johnson made Three Point Jumper.,50,69
5:18,2198,Nick Mayo made Jumper.,50,71
5:07,98,Que Johnson missed Three Point Jumper.,50,71
5:07,2198,Marlon Adams Defensive Rebound.,50,71
4:37,2198,Jaylen Babb-Harrison made Three Point Jumper. Assisted by Nick Mayo.,50,74
4:24,98,Junior Lomomba missed Jumper.,50,74
4:24,2198,Nick Mayo Block.,50,74
4:22,2198,Nick Mayo Defensive Rebound.,50,74
4:04,2198,Isaac McGlone Turnover.,50,74
4:01,98,Pancake Thomas Steal.,50,74
3:46,2198,Foul on Jaylen Babb-Harrison.,50,74
3:46,2198,Official TV Timeout,50,74
3:46,98,Que Johnson made Free Throw.,51,74
3:46,98,Que Johnson missed Free Throw.,51,74
3:46,2198,Nick Mayo Defensive Rebound.,51,74
3:22,2198,Nick Mayo missed Jumper.,51,74
3:22,98,Justin Johnson Defensive Rebound.,51,74
3:08,98,Pancake Thomas made Three Point Jumper. Assisted by Que Johnson.,54,74
2:41,2198,Jaylen Babb-Harrison missed Three Point Jumper.,54,74
2:41,98,Junior Lomomba Defensive Rebound.,54,74
2:37,2198,Foul on Marlon Adams.,54,74
2:37,98,Junior Lomomba made Free Throw.,55,74
2:37,98,Junior Lomomba made Free Throw.,56,74
2:14,2198,Asante Gist missed Layup.,56,74
2:14,98,Justin Johnson Block.,56,74
2:12,98,Justin Johnson Defensive Rebound.,56,74
2:08,98,Pancake Thomas made Layup. Assisted by Que Johnson.,58,74
1:44,98,Foul on Junior Lomomba.,58,74
1:25,98,Foul on Que Johnson.,58,74
1:25,2198,Isaac McGlone missed Free Throw.,58,74
1:25,98,Junior Lomomba Defensive Rebound.,58,74
1:20,2198,Foul on Isaac McGlone.,58,74
1:20,98,Junior Lomomba missed Free Throw.,58,74
1:20,98,Western Kentucky Deadball Team Rebound.,58,74
1:20,98,Junior Lomomba missed Free Throw.,58,74
1:20,2198,Jaylen Babb-Harrison Defensive Rebound.,58,74
1:11,2198,Asante Gist made Layup.,58,76
0:56,2198,Foul on Nick Mayo.,58,76
0:56,98,Justin Johnson missed Free Throw.,58,76
0:56,98,Western Kentucky Deadball Team Rebound.,58,76
0:56,98,Justin Johnson made Free Throw.,59,76
0:32,2198,Asante Gist made Jumper.,59,78
0:21,98,Tobias Howard missed Three Point Jumper.,59,78
0:21,2198,Asante Gist Defensive Rebound.,59,78
0:00,2198,End of Game,59,78
