Dartmouth,295,Old Dominion,159
16:26,295,Aaron Carver missed Free Throw.,29,38
16:26,295,Old Dominion Offensive Rebound.,29,38
16:22,295,B.J. Stith missed Jumper.,29,38
16:22,159,Mike Fleming Defensive Rebound.,29,38
16:06,295,Foul on Brandan Stith.,29,38
16:06,159,Evan Boudreaux made Free Throw.,30,38
16:06,159,Evan Boudreaux made Free Throw.,31,38
15:44,295,Randy Haynes missed Jumper.,31,38
15:44,159,Ian Sistare Defensive Rebound.,31,38
15:11,159,Ian Sistare Turnover.,31,38
15:09,295,Ahmad Caver Steal.,31,38
15:07,295,Jordan Baker missed Layup.,31,38
15:07,159,Miles Wright Defensive Rebound.,31,38
15:02,159,Miles Wright missed Layup.,31,38
15:02,295,Aaron Carver Block.,31,38
15:02,159,Dartmouth Offensive Rebound.,31,38
15:01,295,Official TV Timeout,31,38
15:00,159,Miles Wright made Three Point Jumper. Assisted by Mike Fleming.,34,38
14:39,159,Foul on Wesley Dickinson.,34,38
14:29,295,Randy Haynes missed Jumper.,34,38
14:29,295,Aaron Carver Offensive Rebound.,34,38
14:13,295,Ahmad Caver missed Three Point Jumper.,34,38
14:13,159,Ike Ngwudo Defensive Rebound.,34,38
13:50,159,Ike Ngwudo missed Layup.,34,38
13:50,295,Trey Porter Block.,34,38
13:49,295,Old Dominion Defensive Rebound.,34,38
13:26,295,Randy Haynes Turnover.,34,38
13:24,159,Miles Wright Steal.,34,38
13:21,159,Miles Wright made Layup.,36,38
13:04,295,Jordan Baker made Layup.,36,40
12:37,159,Ike Ngwudo missed Jumper.,36,40
12:37,295,Ahmad Caver Defensive Rebound.,36,40
12:22,295,Jordan Baker missed Three Point Jumper.,36,40
12:22,295,Trey Porter Offensive Rebound.,36,40
12:08,295,Ahmad Caver missed Jumper.,36,40
12:08,159,Evan Boudreaux Defensive Rebound.,36,40
11:51,159,Ian Sistare missed Three Point Jumper.,36,40
11:51,295,Ahmad Caver Defensive Rebound.,36,40
11:24,295,Randy Haynes missed Jumper.,36,40
11:24,295,Trey Porter Offensive Rebound.,36,40
11:23,295,Official TV Timeout,36,40
11:16,295,Jordan Baker missed Three Point Jumper.,36,40
11:16,295,Brandan Stith Offensive Rebound.,36,40
11:01,159,Foul on Ike Ngwudo.,36,40
10:46,295,B.J. Stith missed Jumper.,36,40
10:46,159,Evan Boudreaux Defensive Rebound.,36,40
10:29,159,Miles Wright missed Three Point Jumper.,36,40
10:29,295,Trey Porter Defensive Rebound.,36,40
10:11,295,B.J. Stith missed Jumper.,36,40
10:11,295,Trey Porter Offensive Rebound.,36,40
9:53,295,Ahmad Caver missed Jumper.,36,40
9:53,159,Evan Boudreaux Defensive Rebound.,36,40
9:36,159,Ian Carter Turnover.,36,40
9:19,295,Trey Porter missed Jumper.,36,40
9:19,159,Ian Carter Defensive Rebound.,36,40
9:08,159,Guilien Smith missed Jumper.,36,40
9:08,295,Denzell Taylor Defensive Rebound.,36,40
9:02,159,Foul on Ian Carter.,36,40
9:02,295,Trey Porter missed Free Throw.,36,40
9:02,295,Old Dominion Deadball Team Rebound.,36,40
9:02,295,Trey Porter made Free Throw.,36,41
8:46,159,Mike Fleming made Jumper.,38,41
8:27,295,B.J. Stith missed Layup.,38,41
8:27,295,Trey Porter Offensive Rebound.,38,41
8:14,295,Ahmad Caver made Jumper.,38,43
7:42,159,Ian Carter made Three Point Jumper. Assisted by Taylor Johnson.,41,43
7:33,295,Old Dominion  Timeout,41,43
7:33,295,Official TV Timeout,41,43
7:14,295,Ahmad Caver missed Three Point Jumper.,41,43
7:14,159,Guilien Smith Defensive Rebound.,41,43
6:50,159,Evan Boudreaux Turnover.,41,43
6:50,295,Official TV Timeout,41,43
6:40,159,Foul on Ian Carter.,41,43
6:40,295,Brandan Stith made Free Throw.,41,44
6:40,295,Brandan Stith missed Free Throw.,41,44
6:40,159,Evan Boudreaux Defensive Rebound.,41,44
6:18,295,Foul on Brandan Stith.,41,44
6:09,159,Miles Wright missed Layup.,41,44
6:09,295,Ahmad Caver Defensive Rebound.,41,44
5:41,295,Travis Fields missed Jumper.,41,44
5:41,295,Trey Porter Offensive Rebound.,41,44
5:40,159,Foul on Wesley Dickinson.,41,44
5:40,295,Trey Porter made Free Throw.,41,45
5:40,295,Trey Porter missed Free Throw.,41,45
5:40,159,Miles Wright Defensive Rebound.,41,45
5:09,295,Foul on Trey Porter.,41,45
5:04,295,Foul on Denzell Taylor.,41,45
5:04,159,Evan Boudreaux made Free Throw.,42,45
5:04,159,Evan Boudreaux missed Free Throw.,42,45
5:04,295,Aaron Carver Defensive Rebound.,42,45
4:42,295,Travis Fields missed Three Point Jumper.,42,45
4:42,159,Evan Boudreaux Defensive Rebound.,42,45
4:21,159,Guilien Smith missed Layup.,42,45
4:21,295,Brandan Stith Block.,42,45
4:19,295,Brandan Stith Defensive Rebound.,42,45
4:15,295,Ahmad Caver Turnover.,42,45
3:51,159,Evan Boudreaux missed Three Point Jumper.,42,45
3:51,159,Ike Ngwudo Offensive Rebound.,42,45
3:38,159,Dartmouth  Timeout,42,45
3:38,295,Official TV Timeout,42,45
3:25,159,Guilien Smith missed Three Point Jumper.,42,45
3:25,295,Ahmad Caver Defensive Rebound.,42,45
3:13,295,Old Dominion  Timeout,42,45
3:04,295,Brandan Stith missed Jumper.,42,45
3:04,159,Ike Ngwudo Defensive Rebound.,42,45
2:41,159,Guilien Smith Turnover.,42,45
2:39,295,Jordan Baker Steal.,42,45
2:20,295,Jordan Baker made Three Point Jumper. Assisted by Ahmad Caver.,42,48
1:52,159,Miles Wright made Layup.,44,48
1:34,295,Brandan Stith made Dunk.,44,50
1:24,159,Dartmouth  Timeout,44,50
1:10,159,Miles Wright missed Layup.,44,50
1:10,295,Jordan Baker Defensive Rebound.,44,50
0:53,295,Randy Haynes missed Jumper.,44,50
0:53,295,Denzell Taylor Offensive Rebound.,44,50
0:50,295,Denzell Taylor made Layup.,44,52
0:46,295,Foul on Randy Haynes.,44,52
0:46,159,Guilien Smith missed Free Throw.,44,52
0:46,159,Evan Boudreaux Offensive Rebound.,44,52
0:45,159,Evan Boudreaux missed Jumper.,44,52
0:45,295,Brandan Stith Defensive Rebound.,44,52
0:41,159,Foul on Ian Sistare.,44,52
0:41,295,Brandan Stith missed Free Throw.,44,52
0:41,295,Old Dominion Deadball Team Rebound.,44,52
0:41,295,Brandan Stith made Free Throw.,44,53
0:36,159,Mike Fleming made Three Point Jumper. Assisted by Guilien Smith.,47,53
0:27,159,Foul on Mike Fleming.,47,53
0:27,295,Ahmad Caver made Free Throw.,47,54
0:27,295,Ahmad Caver made Free Throw.,47,55
0:20,159,Evan Boudreaux missed Three Point Jumper.,47,55
0:20,295,Brandan Stith Defensive Rebound.,47,55
0:15,295,B.J. Stith made Dunk. Assisted by Ahmad Caver.,47,57
0:11,159,Taylor Johnson missed Three Point Jumper.,47,57
0:11,295,B.J. Stith Defensive Rebound.,47,57
0:05,159,Foul on Ian Sistare.,47,57
0:05,295,B.J. Stith made Free Throw.,47,58
0:05,295,B.J. Stith made Free Throw.,47,59
0:00,295,End of Game,47,59
