Northern Kentucky,2413,Morehead State,94
14:58,94,Carson Williams Turnover.,49,52
14:58,2413,Official TV Timeout,49,52
14:37,2413,Lamontray Harris missed Layup.,49,52
14:37,94,Carson Williams Defensive Rebound.,49,52
14:30,2413,Foul on Treshaad Williams.,49,52
14:30,94,Carson Williams made Free Throw.,50,52
14:30,94,Carson Williams made Free Throw.,51,52
14:15,2413,Malik Maitland Turnover.,51,52
14:14,94,Carson Williams Steal.,51,52
14:10,2413,Foul on Lamontray Harris.,51,52
14:10,94,Carson Williams made Free Throw.,52,52
14:10,94,Carson Williams made Free Throw.,53,52
13:45,2413,Malik Maitland made Three Point Jumper. Assisted by Treshaad Williams.,53,55
13:29,94,Jalen Tate made Layup.,55,55
13:15,2413,Lamontray Harris made Jumper.,55,57
12:57,94,Lavone Holland II missed Three Point Jumper.,55,57
12:57,2413,Miguel Dicent Defensive Rebound.,55,57
12:47,94,Foul on Jordan Garnett.,55,57
12:38,2413,Foul on Lamontray Harris.,55,57
12:38,2413,Lamontray Harris Turnover.,55,57
12:19,94,Foul on Carson Williams.,55,57
12:19,94,Carson Williams Turnover.,55,57
12:12,94,Foul on Blake Spellman.,55,57
12:12,2413,Malik Maitland made Free Throw.,55,58
12:12,2413,Malik Maitland made Free Throw.,55,59
11:46,2413,Foul on Treshaad Williams.,55,59
11:46,2413,Official TV Timeout,55,59
11:46,94,Brennan Gillis made Free Throw.,56,59
11:46,94,Brennan Gillis made Free Throw.,57,59
11:27,2413,DeJuan Marrero made Layup. Assisted by Malik Maitland.,57,61
11:15,2413,Foul on Miguel Dicent.,57,61
11:15,2413,Technical Foul on Miguel Dicent.,57,61
11:15,94,Drew McDonald missed Free Throw.,57,61
11:15,94,Northern Kentucky Deadball Team Rebound.,57,61
11:15,94,Drew McDonald made Free Throw.,58,61
11:15,2413,Foul on Miguel Dicent.,58,61
11:15,94,Jalen Tate made Free Throw.,59,61
11:15,94,Jalen Tate made Free Throw.,60,61
10:59,2413,Lamontray Harris made Three Point Jumper. Assisted by Malik Maitland.,60,64
10:38,94,Drew McDonald made Layup.,62,64
10:20,2413,Xavier Moon missed Three Point Jumper.,62,64
10:20,94,Drew McDonald Defensive Rebound.,62,64
10:12,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,65,64
9:51,2413,Lamontray Harris missed Layup.,65,64
9:51,94,Jordan Garnett Defensive Rebound.,65,64
9:44,94,Drew McDonald Turnover.,65,64
9:29,2413,Ronnye Beamon missed Layup.,65,64
9:29,94,Drew McDonald Block.,65,64
9:27,94,Drew McDonald Defensive Rebound.,65,64
9:21,94,Cole Murray missed Three Point Jumper.,65,64
9:21,2413,Ronnye Beamon Defensive Rebound.,65,64
9:10,2413,Malik Maitland missed Layup.,65,64
9:10,94,Drew McDonald Defensive Rebound.,65,64
9:03,94,Lavone Holland II Turnover.,65,64
9:02,2413,Malik Maitland Steal.,65,64
9:01,2413,Malik Maitland missed Layup.,65,64
9:01,2413,DeJuan Marrero Offensive Rebound.,65,64
8:57,2413,DeJuan Marrero made Jumper.,65,66
8:38,2413,Foul on DeJuan Marrero.,65,66
8:38,94,Drew McDonald missed Free Throw.,65,66
8:38,94,Northern Kentucky Deadball Team Rebound.,65,66
8:38,94,Drew McDonald made Free Throw.,66,66
8:38,94,Northern Kentucky  Timeout,66,66
8:38,2413,Official TV Timeout,66,66
8:23,2413,Lamontray Harris missed Jumper.,66,66
8:23,94,Lavone Holland II Defensive Rebound.,66,66
8:05,94,Jalen Tate Turnover.,66,66
7:36,2413,Malik Maitland missed Jumper.,66,66
7:36,2413,Morehead St Offensive Rebound.,66,66
7:30,2413,Official TV Timeout,66,66
7:10,2413,Lamontray Harris Turnover.,66,66
6:54,94,Cole Murray missed Three Point Jumper.,66,66
6:54,2413,Jordan Walker Defensive Rebound.,66,66
6:32,2413,Malik Maitland missed Layup.,66,66
6:32,94,Drew McDonald Defensive Rebound.,66,66
6:29,2413,Foul on Treshaad Williams.,66,66
6:29,94,Drew McDonald missed Free Throw.,66,66
6:29,94,Northern Kentucky Deadball Team Rebound.,66,66
6:29,94,Drew McDonald made Free Throw.,67,66
6:22,94,Foul on Jalen Tate.,67,66
6:09,2413,Xavier Moon missed Jumper.,67,66
6:09,94,Drew McDonald Defensive Rebound.,67,66
6:07,2413,Foul on Treshaad Williams.,67,66
6:07,94,Jalen Tate missed Free Throw.,67,66
6:07,94,Northern Kentucky Deadball Team Rebound.,67,66
6:07,94,Jalen Tate missed Free Throw.,67,66
6:07,2413,Ronnye Beamon Defensive Rebound.,67,66
5:53,2413,Lamontray Harris missed Layup.,67,66
5:53,2413,Lamontray Harris Offensive Rebound.,67,66
5:50,2413,Lamontray Harris made Layup.,67,68
5:26,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,70,68
5:08,2413,Xavier Moon made Three Point Jumper. Assisted by Jordan Walker.,70,71
4:40,94,Drew McDonald missed Layup.,70,71
4:40,2413,Ty'Quan Bitting Defensive Rebound.,70,71
4:32,2413,Xavier Moon Turnover.,70,71
4:31,94,Lavone Holland II Steal.,70,71
4:28,94,Lavone Holland II made Layup.,72,71
4:07,2413,Ronnye Beamon Turnover.,72,71
4:03,94,Jalen Tate made Dunk.,74,71
4:03,94,Jalen Tate Steal.,74,71
4:00,2413,Jordan Walker made Layup. Assisted by Xavier Moon.,74,73
3:44,94,Lavone Holland II made Layup.,76,73
3:28,2413,Lamontray Harris missed Three Point Jumper.,76,73
3:28,2413,Jordan Walker Offensive Rebound.,76,73
3:16,2413,Jordan Walker made Three Point Jumper. Assisted by Xavier Moon.,76,76
2:55,94,Cole Murray missed Three Point Jumper.,76,76
2:55,94,Jordan Garnett Offensive Rebound.,76,76
2:30,94,Lavone Holland II missed Layup.,76,76
2:30,2413,Xavier Moon Defensive Rebound.,76,76
2:20,2413,Lamontray Harris made Jumper. Assisted by Xavier Moon.,76,78
1:56,2413,Foul on Ty'Quan Bitting.,76,78
1:43,2413,Official TV Timeout,76,78
1:43,94,Drew McDonald missed Free Throw.,76,78
1:43,94,Northern Kentucky Deadball Team Rebound.,76,78
1:43,94,Drew McDonald made Free Throw.,77,78
1:24,2413,DeJuan Marrero missed Layup.,77,78
1:24,94,Drew McDonald Defensive Rebound.,77,78
1:16,94,Northern Kentucky  Timeout,77,78
1:00,94,Drew McDonald made Layup.,79,78
0:47,2413,Morehead St  Timeout,79,78
0:30,2413,DeJuan Marrero missed Layup.,79,78
0:30,94,Drew McDonald Defensive Rebound.,79,78
0:24,2413,Foul on Lamontray Harris.,79,78
0:24,94,Lavone Holland II made Free Throw.,80,78
0:24,2413,Morehead St  Timeout,80,78
0:24,94,Lavone Holland II made Free Throw.,81,78
0:16,94,Foul on Jalen Tate.,81,78
0:11,94,Foul on Jordan Garnett.,81,78
0:11,2413,Miguel Dicent missed Free Throw.,81,78
0:11,2413,Morehead St Deadball Team Rebound.,81,78
0:11,2413,Miguel Dicent made Free Throw.,81,79
0:08,2413,Foul on Xavier Moon.,81,79
0:08,94,Lavone Holland II missed Free Throw.,81,79
0:08,94,Northern Kentucky Deadball Team Rebound.,81,79
0:08,2413,Morehead St  Timeout,81,79
0:08,94,Lavone Holland II made Free Throw.,82,79
0:08,94,Northern Kentucky  Timeout,82,79
0:05,2413,Miguel Dicent Turnover.,82,79
0:03,94,Carson Williams Steal.,82,79
0:02,2413,Foul on Miguel Dicent.,82,79
0:02,94,Carson Williams made Free Throw.,83,79
0:02,94,Carson Williams made Free Throw.,84,79
0:00,2413,End of Game,84,79
