Holy Cross,399,Albany,107
0:34,399,Foul on Mike Rowley.,20,24
0:15,107,Robert Champion missed Three Point Jumper.,20,24
0:15,399,David Nichols Defensive Rebound.,20,24
0:06,399,David Nichols made Layup.,20,26
0:00,399,End of 1st half,20,26
19:52,399,Foul on Greig Stire.,20,26
19:52,107,Anthony Thompson made Free Throw.,21,26
19:52,107,Anthony Thompson missed Free Throw.,21,26
19:52,399,Joe Cremo Defensive Rebound.,21,26
19:31,399,David Nichols made Layup.,21,28
18:58,107,Matt Husek made Three Point Jumper. Assisted by Anthony Thompson.,24,28
18:34,399,Joe Cremo made Layup.,24,30
18:08,107,Karl Charles missed Three Point Jumper.,24,30
18:08,399,Albany Defensive Rebound.,24,30
17:46,399,Joe Cremo missed Layup.,24,30
17:46,107,Malachi Alexander Defensive Rebound.,24,30
17:38,107,Robert Champion missed Layup.,24,30
17:38,399,Mike Rowley Defensive Rebound.,24,30
17:25,399,Marqueese Grayson Turnover.,24,30
17:24,107,Robert Champion Steal.,24,30
17:03,107,Anthony Thompson missed Three Point Jumper.,24,30
17:03,399,Joe Cremo Defensive Rebound.,24,30
16:39,399,Dallas Ennema missed Three Point Jumper.,24,30
16:39,107,Malachi Alexander Defensive Rebound.,24,30
16:23,107,Matt Husek made Three Point Jumper. Assisted by Malachi Alexander.,27,30
16:04,399,David Nichols missed Three Point Jumper.,27,30
16:04,399,Greig Stire Offensive Rebound.,27,30
16:01,107,Foul on Patrick Benzan.,27,30
15:55,399,Dallas Ennema Turnover.,27,30
15:54,107,Matt Husek Steal.,27,30
15:49,399,Foul on Dallas Ennema.,27,30
15:49,399,Official TV Timeout,27,30
15:49,107,Karl Charles made Free Throw.,28,30
15:49,107,Karl Charles made Free Throw.,29,30
15:32,399,Foul on David Nichols.,29,30
15:32,399,David Nichols Turnover.,29,30
15:06,107,Malachi Alexander missed Layup.,29,30
15:06,399,Albany Defensive Rebound.,29,30
14:53,107,Foul on Matt Husek.,29,30
14:43,399,Mike Rowley made Layup. Assisted by Joe Cremo.,29,32
14:10,107,Holy Cross  Turnover.,29,32
13:48,399,Joe Cremo made Jumper.,29,34
13:23,107,Malachi Alexander made Three Point Jumper. Assisted by Anthony Thompson.,32,34
12:59,107,Foul on Matt Zignorski.,32,34
12:51,399,Foul on Joe Cremo.,32,34
12:51,399,Joe Cremo Turnover.,32,34
12:30,107,Robert Champion Turnover.,32,34
12:14,399,David Nichols missed Jumper.,32,34
12:14,107,Robert Champion Block.,32,34
12:13,399,Albany Offensive Rebound.,32,34
12:07,399,Joe Cremo missed Jumper.,32,34
12:07,107,Matt Zignorski Defensive Rebound.,32,34
11:57,107,Robert Champion Turnover.,32,34
11:56,399,Joe Cremo Steal.,32,34
11:52,399,Joe Cremo missed Layup.,32,34
11:52,107,Malachi Alexander Block.,32,34
11:49,399,Mike Rowley Offensive Rebound.,32,34
11:45,107,Foul on Anthony Thompson.,32,34
11:45,399,Official TV Timeout,32,34
11:30,399,Greig Stire missed Layup.,32,34
11:30,107,Malachi Alexander Defensive Rebound.,32,34
11:15,107,Karl Charles missed Three Point Jumper.,32,34
11:15,399,Greig Stire Defensive Rebound.,32,34
10:57,399,Greig Stire made Layup. Assisted by Dallas Ennema.,32,36
10:41,107,Anthony Thompson Turnover.,32,36
10:40,399,Joe Cremo Steal.,32,36
10:35,399,David Nichols missed Jumper.,32,36
10:35,107,Matt Husek Block.,32,36
10:33,107,Anthony Thompson Defensive Rebound.,32,36
10:11,107,Malachi Alexander missed Three Point Jumper.,32,36
10:11,399,Dallas Ennema Defensive Rebound.,32,36
9:56,107,Foul on Karl Charles.,32,36
9:41,399,David Nichols missed Jumper.,32,36
9:41,399,Mike Rowley Offensive Rebound.,32,36
9:37,399,Mike Rowley Turnover.,32,36
9:36,107,Karl Charles Steal.,32,36
9:07,107,Robert Champion made Layup. Assisted by Anthony Thompson.,34,36
8:42,399,Joe Cremo missed Layup.,34,36
8:42,399,Mike Rowley Offensive Rebound.,34,36
8:42,107,Foul on Robert Champion.,34,36
8:25,399,David Nichols made Layup. Assisted by Travis Charles.,34,38
8:08,107,Malachi Alexander made Layup.,36,38
7:48,399,David Nichols missed Three Point Jumper.,36,38
7:48,107,Karl Charles Defensive Rebound.,36,38
7:37,107,Foul on Karl Charles.,36,38
7:37,107,Karl Charles Turnover.,36,38
7:37,399,Official TV Timeout,36,38
7:23,107,Foul on Karl Charles.,36,38
7:23,399,Joe Cremo made Free Throw.,36,39
7:23,399,Joe Cremo made Free Throw.,36,40
6:59,399,Foul on Mike Rowley.,36,40
6:41,107,Robert Champion missed Layup.,36,40
6:41,399,David Nichols Defensive Rebound.,36,40
6:26,399,Joe Cremo Turnover.,36,40
6:25,107,Robert Champion Steal.,36,40
6:22,107,Robert Champion made Layup.,38,40
5:50,399,David Nichols missed Jumper.,38,40
5:50,107,Anthony Thompson Defensive Rebound.,38,40
5:26,107,Anthony Thompson missed Three Point Jumper.,38,40
5:26,399,Albany Defensive Rebound.,38,40
5:02,399,Mike Rowley Turnover.,38,40
5:01,107,Anthony Thompson Steal.,38,40
4:51,107,Holy Cross  Timeout,38,40
4:51,399,Official TV Timeout,38,40
4:40,107,Malachi Alexander made Three Point Jumper. Assisted by Anthony Thompson.,41,40
4:09,107,Foul on Matt Husek.,41,40
4:09,399,Mike Rowley missed Free Throw.,41,40
4:09,107,Matt Husek Defensive Rebound.,41,40
3:42,107,Robert Champion made Three Point Jumper. Assisted by Matt Husek.,44,40
3:21,399,Albany  Timeout,44,40
3:21,399,Official TV Timeout,44,40
3:11,399,Joe Cremo missed Three Point Jumper.,44,40
3:11,399,Mike Rowley Offensive Rebound.,44,40
3:09,399,Mike Rowley missed Layup.,44,40
3:09,399,Greig Stire missed Free Throw.,44,40
3:09,399,Greig Stire Offensive Rebound.,44,40
3:09,399,Albany Deadball Team Rebound.,44,40
3:09,107,Foul on Malachi Alexander.,44,40
3:09,399,Greig Stire missed Free Throw.,44,40
3:09,107,Robert Champion Defensive Rebound.,44,40
2:44,107,Anthony Thompson missed Three Point Jumper.,44,40
2:44,399,Greig Stire Defensive Rebound.,44,40
2:37,399,David Nichols made Layup.,44,42
2:04,107,Robert Champion made Three Point Jumper. Assisted by Anthony Thompson.,47,42
1:35,399,David Nichols missed Jumper.,47,42
1:35,107,Malachi Alexander Defensive Rebound.,47,42
1:10,107,Robert Champion made Three Point Jumper. Assisted by Matt Husek.,50,42
1:01,399,Albany  Timeout,50,42
0:51,399,David Nichols Turnover.,50,42
0:50,107,Patrick Benzan Steal.,50,42
0:41,399,Foul on David Nichols.,50,42
0:40,399,Foul on Mike Rowley.,50,42
0:40,107,Malachi Alexander made Free Throw.,51,42
0:40,107,Malachi Alexander missed Free Throw.,51,42
0:40,399,Dallas Ennema Defensive Rebound.,51,42
0:32,399,Dallas Ennema made Three Point Jumper. Assisted by Joe Cremo.,51,45
0:32,399,Albany  Timeout,51,45
0:23,399,Foul on Mike Rowley.,51,45
0:23,107,Robert Champion made Free Throw.,52,45
0:23,107,Robert Champion made Free Throw.,53,45
0:16,399,Greig Stire made Layup. Assisted by Joe Cremo.,53,47
0:14,399,Foul on David Nichols.,53,47
0:14,107,Malachi Alexander made Free Throw.,54,47
0:14,107,Malachi Alexander made Free Throw.,55,47
0:04,399,David Nichols made Layup.,55,49
0:00,399,End of Game,55,49
