Wabash,339,Evansville,89
15:30,-1,Foul on Harrison Hallstrom.,3,5
15:18,339,David Howard missed Jumper.,3,5
15:18,-1,Harrison Hallstrom Block.,3,5
15:18,339,Evansville Offensive Rebound.,3,5
15:13,339,Christian Benzon missed Layup.,3,5
15:13,339,David Howard Offensive Rebound.,3,5
15:05,339,David Howard made Layup. Assisted by Dru Smith.,3,7
14:51,339,Foul on David Howard.,3,7
14:48,-1,Colten Garland missed Three Point Jumper.,3,7
14:48,-1,Alex Eberhard Offensive Rebound.,3,7
14:38,-1,Colten Garland made Jumper.,5,7
14:21,-1,Foul on Harrison Hallstrom.,5,7
14:21,339,Jaylon Brown made Free Throw.,5,8
14:21,339,Jaylon Brown made Free Throw.,5,9
14:12,-1,Isiah Stafford missed Three Point Jumper.,5,9
14:12,339,David Howard Defensive Rebound.,5,9
14:04,339,Jaylon Brown missed Layup.,5,9
14:04,339,David Howard Offensive Rebound.,5,9
13:55,339,Jaylon Brown made Jumper. Assisted by Christian Benzon.,5,11
13:35,-1,Colten Garland Turnover.,5,11
13:33,339,Jaylon Brown Steal.,5,11
13:30,339,Jaylon Brown made Layup.,5,13
13:11,-1,Foul on Dalton Vachon.,5,13
13:11,-1,Dalton Vachon Turnover.,5,13
12:44,339,Dalen Traore missed Layup.,5,13
12:44,-1,Duncan Roy Defensive Rebound.,5,13
12:38,-1,Duncan Roy made Three Point Jumper. Assisted by Colten Garland.,8,13
12:15,339,Ryan Taylor missed Three Point Jumper.,8,13
12:15,339,Dalen Traore Offensive Rebound.,8,13
12:03,339,Dalen Traore made Layup.,8,15
11:52,-1,Colten Garland missed Three Point Jumper.,8,15
11:52,339,Jaylon Brown Defensive Rebound.,8,15
11:44,339,Dalen Traore made Layup. Assisted by Jaylon Brown.,8,17
11:30,-1,Colten Garland missed Jumper.,8,17
11:30,339,Dalen Traore Defensive Rebound.,8,17
11:24,-1,Foul on Duncan Roy.,8,17
11:24,339,Official TV Timeout,8,17
11:24,339,Ryan Taylor made Free Throw.,8,18
11:24,339,Ryan Taylor made Free Throw.,8,19
11:11,-1,Cj McMann missed Layup.,8,19
11:11,339,Ryan Taylor Block.,8,19
11:09,-1,Wabash College Offensive Rebound.,8,19
11:02,-1,Evan Frank missed Jumper.,8,19
11:02,339,Jaiveon Eaves Defensive Rebound.,8,19
10:51,339,Duane Gibson Turnover.,8,19
10:31,-1,Colten Garland missed Three Point Jumper.,8,19
10:31,339,Ryan Taylor Defensive Rebound.,8,19
10:23,339,Ryan Taylor made Layup.,8,21
9:57,-1,Colten Garland missed Three Point Jumper.,8,21
9:57,339,Solomon Hainna Defensive Rebound.,8,21
9:51,339,Duane Gibson missed Layup.,8,21
9:51,-1,Duncan Roy Block.,8,21
9:51,339,Solomon Hainna Offensive Rebound.,8,21
9:51,339,Solomon Hainna missed Layup.,8,21
9:51,-1,Duncan Roy Defensive Rebound.,8,21
9:49,-1,Duncan Roy made Three Point Jumper. Assisted by Cj McMann.,11,21
9:32,339,Jaiveon Eaves missed Three Point Jumper.,11,21
9:32,-1,Colten Garland Defensive Rebound.,11,21
9:11,-1,Logan White made Jumper.,13,21
8:53,339,Jaiveon Eaves missed Jumper.,13,21
8:53,-1,Logan White Defensive Rebound.,13,21
8:44,339,Foul on Dalen Traore.,13,21
8:15,-1,Zack Patton Turnover.,13,21
8:13,339,Jaylon Brown Steal.,13,21
7:59,-1,Foul on Zack Patton.,13,21
7:59,339,Official TV Timeout,13,21
7:59,339,Jaylon Brown made Free Throw.,13,22
7:59,339,Jaylon Brown missed Free Throw.,13,22
7:59,-1,Logan White Defensive Rebound.,13,22
7:43,339,Foul on Jaylon Brown.,13,22
7:43,-1,Ronald Ryan made Free Throw.,14,22
7:43,-1,Ronald Ryan made Free Throw.,15,22
7:31,339,Ryan Taylor missed Three Point Jumper.,15,22
7:31,-1,Duncan Roy Defensive Rebound.,15,22
7:20,-1,Cj McMann Turnover.,15,22
7:18,339,Duane Gibson Steal.,15,22
7:16,339,Ryan Taylor made Layup. Assisted by Duane Gibson.,15,24
6:55,-1,Duncan Roy missed Three Point Jumper.,15,24
6:55,339,Sergej Vucetic Defensive Rebound.,15,24
6:44,339,Willie Wiley made Jumper. Assisted by Ryan Taylor.,15,26
6:27,339,Foul on Dru Smith.,15,26
6:27,-1,Cj McMann made Free Throw.,16,26
6:27,-1,Cj McMann missed Free Throw.,16,26
6:27,-1,Zack Patton Offensive Rebound.,16,26
6:04,-1,Zack Patton missed Three Point Jumper.,16,26
6:04,339,Duane Gibson Defensive Rebound.,16,26
5:56,339,Christian Benzon made Three Point Jumper. Assisted by Duane Gibson.,16,29
5:41,-1,Cj McMann missed Three Point Jumper.,16,29
5:41,-1,Duncan Roy Offensive Rebound.,16,29
5:36,-1,Duncan Roy Turnover.,16,29
5:21,-1,Foul on Duncan Roy.,16,29
5:21,339,Willie Wiley made Free Throw.,16,30
5:21,339,Willie Wiley made Free Throw.,16,31
5:06,-1,Zack Patton Turnover.,16,31
5:05,339,Duane Gibson Steal.,16,31
5:02,339,Ryan Taylor made Layup. Assisted by Duane Gibson.,16,33
4:50,-1,Alex Eberhard Turnover.,16,33
4:48,339,Duane Gibson Steal.,16,33
4:45,339,Ryan Taylor missed Jumper.,16,33
4:45,-1,Zack Patton Block.,16,33
4:45,339,Evansville Offensive Rebound.,16,33
4:42,339,Ryan Taylor missed Three Point Jumper.,16,33
4:42,-1,Alex Eberhard Defensive Rebound.,16,33
4:32,-1,Colten Garland missed Three Point Jumper.,16,33
4:32,339,Christian Benzon Defensive Rebound.,16,33
4:27,339,Christian Benzon made Layup.,16,35
4:06,-1,Alex Eberhard Turnover.,16,35
4:04,339,Sergej Vucetic Steal.,16,35
3:54,339,Willie Wiley made Layup. Assisted by Sergej Vucetic.,16,37
3:35,339,Foul on Sergej Vucetic.,16,37
3:35,339,Official TV Timeout,16,37
3:35,-1,Evan Frank missed Free Throw.,16,37
3:35,-1,Wabash College Deadball Team Rebound.,16,37
3:35,-1,Evan Frank made Free Throw.,17,37
3:23,339,David Howard missed Layup.,17,37
3:23,339,David Howard Offensive Rebound.,17,37
3:19,339,David Howard made Layup.,17,39
2:56,-1,Duncan Roy missed Three Point Jumper.,17,39
2:56,-1,Evan Frank Offensive Rebound.,17,39
2:47,-1,Evan Frank made Layup.,19,39
2:37,339,Ryan Taylor missed Three Point Jumper.,19,39
2:37,-1,Logan White Defensive Rebound.,19,39
2:25,-1,Evan Frank made Layup. Assisted by Duncan Roy.,21,39
2:10,339,Willie Wiley made Jumper. Assisted by Christian Benzon.,21,41
1:47,-1,Evan Frank made Layup.,23,41
1:46,339,Foul on David Howard.,23,41
1:46,-1,Evan Frank missed Free Throw.,23,41
1:46,339,Jaiveon Eaves Defensive Rebound.,23,41
1:36,339,Willie Wiley missed Jumper.,23,41
1:36,-1,Evan Frank Defensive Rebound.,23,41
1:22,-1,Alex Eberhard missed Three Point Jumper.,23,41
1:22,339,Ryan Taylor Defensive Rebound.,23,41
1:02,339,Foul on Christian Benzon.,23,41
1:02,339,Christian Benzon Turnover.,23,41
1:02,-1,Wabash College  Timeout,23,41
0:42,-1,Colten Garland made Jumper.,25,41
0:28,339,Willie Wiley made Jumper. Assisted by Ryan Taylor.,25,43
0:03,-1,Duncan Roy made Three Point Jumper. Assisted by Evan Frank.,28,43
0:00,339,End of 1st half,28,43
19:46,-1,Logan White missed Jumper.,28,43
19:46,339,Willie Wiley Block.,28,43
19:44,339,Jaylon Brown Defensive Rebound.,28,43
19:40,339,Willie Wiley made Layup. Assisted by Jaylon Brown.,28,45
19:20,-1,Evan Frank Turnover.,28,45
19:06,339,Ryan Taylor made Three Point Jumper. Assisted by Jaylon Brown.,28,48
18:43,-1,Duncan Roy missed Three Point Jumper.,28,48
18:43,339,Willie Wiley Defensive Rebound.,28,48
18:33,339,Ryan Taylor made Three Point Jumper. Assisted by Jaylon Brown.,28,51
18:13,-1,Evan Frank missed Jumper.,28,51
18:13,339,Sergej Vucetic Defensive Rebound.,28,51
18:06,339,Jaylon Brown made Layup.,28,53
17:59,-1,Wabash College  Timeout,28,53
17:36,-1,Evan Frank missed Jumper.,28,53
17:36,339,Willie Wiley Block.,28,53
17:34,-1,Evan Frank Offensive Rebound.,28,53
17:31,339,Willie Wiley Block.,28,53
17:31,-1,Evan Frank missed Jumper.,28,53
17:26,-1,Logan White Offensive Rebound.,28,53
17:17,-1,Duncan Roy made Three Point Jumper. Assisted by Ronald Ryan.,31,53
16:56,339,Sergej Vucetic missed Layup.,31,53
16:56,339,Willie Wiley Offensive Rebound.,31,53
16:52,339,Willie Wiley made Two Point Tip Shot.,31,55
16:37,-1,Colten Garland missed Jumper.,31,55
16:37,339,Dru Smith Defensive Rebound.,31,55
16:29,339,Jaylon Brown missed Three Point Jumper.,31,55
16:29,-1,Ronald Ryan Defensive Rebound.,31,55
16:27,339,Foul on Sergej Vucetic.,31,55
16:06,-1,Ronald Ryan missed Three Point Jumper.,31,55
16:06,339,Dru Smith Block.,31,55
16:04,-1,Wabash College Offensive Rebound.,31,55
15:59,-1,Evan Frank missed Layup.,31,55
15:59,339,Dru Smith Block.,31,55
15:57,-1,Duncan Roy Offensive Rebound.,31,55
15:54,-1,Wabash College  Turnover.,31,55
15:54,339,Official TV Timeout,31,55
15:30,339,Ryan Taylor Turnover.,31,55
15:10,-1,Evan Frank Turnover.,31,55
14:50,339,Jaylon Brown Turnover.,31,55
14:27,-1,Harrison Hallstrom missed Three Point Jumper.,31,55
14:27,339,Willie Wiley Defensive Rebound.,31,55
14:19,339,Ryan Taylor missed Layup.,31,55
14:19,-1,Harrison Hallstrom Block.,31,55
14:17,-1,Harrison Hallstrom Defensive Rebound.,31,55
14:04,339,Foul on Dalen Traore.,31,55
13:56,-1,Duncan Roy Turnover.,31,55
13:40,339,Ryan Taylor missed Jumper.,31,55
13:40,339,Evansville Offensive Rebound.,31,55
13:32,339,Jaylon Brown missed Layup.,31,55
13:32,-1,Harrison Hallstrom Defensive Rebound.,31,55
13:12,-1,Colten Garland missed Three Point Jumper.,31,55
13:12,-1,Alex Eberhard Offensive Rebound.,31,55
12:57,-1,Harrison Hallstrom missed Jumper.,31,55
12:57,339,Christian Benzon Defensive Rebound.,31,55
12:55,-1,Foul on Duncan Roy.,31,55
12:34,339,Dalen Traore made Layup. Assisted by Jaylon Brown.,31,57
12:20,-1,Colten Garland missed Three Point Jumper.,31,57
12:20,339,Christian Benzon Defensive Rebound.,31,57
12:14,-1,Foul on Harrison Hallstrom.,31,57
12:00,339,Solomon Hainna made Three Point Jumper. Assisted by Jaiveon Eaves.,31,60
11:43,-1,Cj McMann missed Layup.,31,60
11:43,339,Solomon Hainna Defensive Rebound.,31,60
11:37,-1,Foul on Harrison Hallstrom.,31,60
11:37,339,Official TV Timeout,31,60
11:37,339,Jaylon Brown made Free Throw.,31,61
11:37,339,Jaylon Brown made Free Throw.,31,62
11:31,339,Foul on Jaiveon Eaves.,31,62
11:14,-1,Ronald Ryan missed Three Point Jumper.,31,62
11:14,-1,Harrison Hallstrom Offensive Rebound.,31,62
11:08,339,Foul on Solomon Hainna.,31,62
11:08,-1,Harrison Hallstrom missed Free Throw.,31,62
11:08,-1,Wabash College Deadball Team Rebound.,31,62
11:08,-1,Harrison Hallstrom made Free Throw.,32,62
10:57,339,Ryan Taylor made Jumper. Assisted by Jaiveon Eaves.,32,64
10:39,339,Foul on Jaiveon Eaves.,32,64
10:39,-1,Cj McMann made Free Throw.,33,64
10:39,-1,Cj McMann made Free Throw.,34,64
10:16,339,Dalen Traore missed Jumper.,34,64
10:16,-1,Dalton Vachon Block.,34,64
10:14,339,Christian Benzon Offensive Rebound.,34,64
10:10,339,Ryan Taylor made Layup.,34,66
10:10,-1,Foul on Dalton Vachon.,34,66
10:10,339,Ryan Taylor made Free Throw.,34,67
10:00,-1,Foul on Cj McMann.,34,67
10:00,-1,Cj McMann Turnover.,34,67
9:48,339,Solomon Hainna missed Jumper.,34,67
9:48,-1,Alex Eberhard Defensive Rebound.,34,67
9:26,-1,Ronald Ryan Turnover.,34,67
9:24,339,Solomon Hainna Steal.,34,67
9:21,339,Solomon Hainna made Dunk.,34,69
9:00,-1,Harrison Hallstrom missed Layup.,34,69
9:00,339,Dalen Traore Defensive Rebound.,34,69
8:50,339,Jaiveon Eaves made Three Point Jumper. Assisted by Ryan Taylor.,34,72
8:20,-1,Harrison Hallstrom missed Jumper.,34,72
8:20,339,Dalen Traore Defensive Rebound.,34,72
8:11,339,Christian Benzon missed Layup.,34,72
8:11,-1,Dalton Vachon Defensive Rebound.,34,72
7:54,-1,Cj McMann missed Three Point Jumper.,34,72
7:54,339,Dalen Traore Defensive Rebound.,34,72
7:41,339,Jaiveon Eaves missed Three Point Jumper.,34,72
7:41,-1,Alex Eberhard Defensive Rebound.,34,72
7:23,-1,Alex Eberhard missed Jumper.,34,72
7:23,339,Solomon Hainna Defensive Rebound.,34,72
7:06,339,Ryan Taylor made Jumper. Assisted by Solomon Hainna.,34,74
6:49,-1,Harrison Hallstrom missed Layup.,34,74
6:49,339,Solomon Hainna Defensive Rebound.,34,74
6:27,339,Solomon Hainna missed Jumper.,34,74
6:27,-1,Dalton Vachon Defensive Rebound.,34,74
6:24,339,Foul on Ryan Taylor.,34,74
6:24,339,Official TV Timeout,34,74
6:07,-1,Isiah Stafford Turnover.,34,74
6:05,339,Willie Wiley Steal.,34,74
6:00,339,Dru Smith made Jumper.,34,76
5:32,-1,Isiah Stafford missed Three Point Jumper.,34,76
5:32,-1,Logan White Offensive Rebound.,34,76
5:28,-1,Evan Frank made Jumper. Assisted by Logan White.,36,76
5:20,339,David Howard Turnover.,36,76
4:52,339,Foul on Jaiveon Eaves.,36,76
4:52,-1,Isiah Stafford made Free Throw.,37,76
4:52,-1,Isiah Stafford made Free Throw.,38,76
4:52,-1,Isiah Stafford missed Free Throw.,38,76
4:52,339,Evansville Defensive Rebound.,38,76
4:42,-1,Foul on Evan Frank.,38,76
4:42,339,David Howard made Free Throw.,38,77
4:42,339,David Howard missed Free Throw.,38,77
4:42,-1,Evan Frank Defensive Rebound.,38,77
4:29,339,Foul on Christian Benzon.,38,77
4:29,-1,Zack Patton missed Free Throw.,38,77
4:29,339,David Howard Defensive Rebound.,38,77
4:02,339,Dru Smith missed Three Point Jumper.,38,77
4:02,-1,Wabash College Defensive Rebound.,38,77
3:38,-1,Colten Garland missed Three Point Jumper.,38,77
3:38,339,Solomon Hainna Defensive Rebound.,38,77
3:28,339,Jaiveon Eaves made Layup.,38,79
3:28,-1,Foul on Colten Garland.,38,79
3:28,339,Official TV Timeout,38,79
3:28,339,Jaiveon Eaves missed Free Throw.,38,79
3:28,339,Dru Smith Offensive Rebound.,38,79
3:12,339,Dru Smith missed Three Point Jumper.,38,79
3:12,339,Christian Benzon Offensive Rebound.,38,79
3:07,339,Christian Benzon missed Layup.,38,79
3:07,-1,Evan Frank Defensive Rebound.,38,79
2:47,339,Foul on Solomon Hainna.,38,79
2:47,-1,Duncan Roy made Free Throw.,39,79
2:47,-1,Duncan Roy missed Free Throw.,39,79
2:47,339,David Howard Defensive Rebound.,39,79
2:27,339,Jaiveon Eaves missed Jumper.,39,79
2:27,-1,Joey Lenkey Defensive Rebound.,39,79
2:04,-1,Dalton Vachon missed Three Point Jumper.,39,79
2:04,339,Evansville Defensive Rebound.,39,79
1:49,339,Solomon Hainna missed Jumper.,39,79
1:49,-1,Ronald Ryan Defensive Rebound.,39,79
1:19,-1,Cj McMann missed Jumper.,39,79
1:19,339,David Howard Block.,39,79
1:17,339,Dru Smith Defensive Rebound.,39,79
1:12,339,Christian Benzon missed Layup.,39,79
1:12,339,Christian Benzon Offensive Rebound.,39,79
1:08,339,Christian Benzon made Layup.,39,81
0:36,-1,Joey Lenkey missed Three Point Jumper.,39,81
0:36,339,Dru Smith Defensive Rebound.,39,81
0:31,339,Jaiveon Eaves made Layup. Assisted by Dru Smith.,39,83
0:00,339,End of Game,39,83
