Saint Mary's,24,Stanford,2608
19:22,2608,Jock Landale Defensive Rebound.,26,30
19:07,2608,Emmett Naar made Three Point Jumper. Assisted by Calvin Hermanson.,29,30
18:53,2608,Foul on Jock Landale.,29,30
18:32,24,Michael Humphrey Turnover.,29,30
18:14,2608,Jock Landale made Layup. Assisted by Emmett Naar.,31,30
18:01,24,Marcus Allen missed Three Point Jumper.,31,30
18:01,2608,Calvin Hermanson Defensive Rebound.,31,30
17:52,2608,Calvin Hermanson made Three Point Jumper. Assisted by Joe Rahon.,34,30
17:34,24,Marcus Allen missed Jumper.,34,30
17:34,2608,Dane Pineau Defensive Rebound.,34,30
17:16,2608,Jock Landale made Layup.,36,30
17:11,24,Stanford  Timeout,36,30
17:11,24,Official TV Timeout,36,30
16:53,24,Dorian Pickens missed Jumper.,36,30
16:53,2608,Emmett Naar Defensive Rebound.,36,30
16:37,2608,Jock Landale missed Three Point Jumper.,36,30
16:37,2608,Joe Rahon Offensive Rebound.,36,30
16:21,24,Foul on Robert Cartwright.,36,30
16:16,2608,Jock Landale made Layup. Assisted by Emmett Naar.,38,30
15:54,24,Robert Cartwright missed Layup.,38,30
15:54,2608,Jock Landale Block.,38,30
15:52,24,Reid Travis Offensive Rebound.,38,30
15:50,24,Reid Travis missed Layup.,38,30
15:50,2608,Jock Landale Defensive Rebound.,38,30
15:36,2608,Calvin Hermanson Turnover.,38,30
15:36,24,Official TV Timeout,38,30
15:14,24,Marcus Sheffield made Jumper.,38,32
14:47,2608,Jock Landale missed Three Point Jumper.,38,32
14:47,24,Robert Cartwright Defensive Rebound.,38,32
14:22,24,Grant Verhoeven made Jumper. Assisted by Dorian Pickens.,38,34
14:00,24,Foul on Dorian Pickens.,38,34
13:50,2608,Jock Landale Turnover.,38,34
13:50,24,Michael Humphrey Steal.,38,34
13:43,24,Michael Humphrey missed Layup.,38,34
13:43,2608,Jock Landale Block.,38,34
13:39,24,Robert Cartwright Offensive Rebound.,38,34
13:18,24,Michael Humphrey missed Three Point Jumper.,38,34
13:18,24,Marcus Sheffield Offensive Rebound.,38,34
13:11,24,Stanford  Turnover.,38,34
12:46,2608,Calvin Hermanson made Three Point Jumper. Assisted by Emmett Naar.,41,34
12:28,24,Michael Humphrey Turnover.,41,34
12:28,2608,Emmett Naar Steal.,41,34
12:22,2608,Calvin Hermanson made Three Point Jumper. Assisted by Jock Landale.,44,34
11:57,24,Marcus Sheffield missed Jumper.,44,34
11:57,2608,Emmett Naar Defensive Rebound.,44,34
11:46,2608,Emmett Naar missed Layup.,44,34
11:46,24,Josh Sharma Defensive Rebound.,44,34
11:33,24,Robert Cartwright made Jumper.,44,36
11:04,2608,Joe Rahon missed Jumper.,44,36
11:04,24,Marcus Allen Defensive Rebound.,44,36
10:42,24,Josh Sharma missed Layup.,44,36
10:42,24,Josh Sharma Offensive Rebound.,44,36
10:39,2608,Foul on Jock Landale.,44,36
10:39,24,Official TV Timeout,44,36
10:19,2608,Foul on Joe Rahon.,44,36
10:10,24,Reid Travis Turnover.,44,36
9:41,2608,Emmett Naar missed Three Point Jumper.,44,36
9:41,24,Christian Sanders Defensive Rebound.,44,36
9:30,24,Grant Verhoeven made Layup. Assisted by Dorian Pickens.,44,38
9:03,2608,Dane Pineau made Layup. Assisted by Joe Rahon.,46,38
8:49,24,Grant Verhoeven missed Layup.,46,38
8:49,24,Grant Verhoeven Offensive Rebound.,46,38
8:47,24,Grant Verhoeven made Layup.,46,40
8:46,2608,Foul on Kyle Clark.,46,40
8:46,24,Grant Verhoeven made Free Throw.,46,41
8:29,2608,Kyle Clark made Layup.,48,41
8:11,24,Dorian Pickens missed Layup.,48,41
8:11,2608,Joe Rahon Defensive Rebound.,48,41
8:03,24,Foul on Dorian Pickens.,48,41
7:43,2608,Dane Pineau Turnover.,48,41
7:42,24,Robert Cartwright Steal.,48,41
7:34,24,Grant Verhoeven made Layup. Assisted by Robert Cartwright.,48,43
7:02,2608,Emmett Naar missed Layup.,48,43
7:02,24,Marcus Allen Block.,48,43
7:01,24,Stanford Defensive Rebound.,48,43
7:01,24,Official TV Timeout,48,43
6:46,2608,Foul on Joe Rahon.,48,43
6:46,24,Robert Cartwright made Free Throw.,48,44
6:46,24,Robert Cartwright made Free Throw.,48,45
6:21,2608,Calvin Hermanson made Three Point Jumper. Assisted by Kyle Clark.,51,45
5:57,24,Christian Sanders missed Three Point Jumper.,51,45
5:57,2608,Calvin Hermanson Defensive Rebound.,51,45
5:46,2608,Kyle Clark made Three Point Jumper. Assisted by Joe Rahon.,54,45
5:29,24,Michael Humphrey missed Layup.,54,45
5:29,24,Grant Verhoeven Offensive Rebound.,54,45
5:28,24,Grant Verhoeven made Layup.,54,47
5:28,2608,Foul on Kyle Clark.,54,47
5:28,24,Grant Verhoeven made Free Throw.,54,48
5:10,24,Foul on Marcus Allen.,54,48
4:50,2608,Calvin Hermanson made Layup.,56,48
4:38,24,Robert Cartwright missed Layup.,56,48
4:38,2608,Jock Landale Block.,56,48
4:37,2608,Emmett Naar Defensive Rebound.,56,48
4:31,2608,Calvin Hermanson made Three Point Jumper. Assisted by Emmett Naar.,59,48
4:07,24,Grant Verhoeven missed Jumper.,59,48
4:07,2608,Dane Pineau Defensive Rebound.,59,48
3:40,2608,Joe Rahon made Three Point Jumper. Assisted by Jock Landale.,62,48
3:23,24,Marcus Allen missed Jumper.,62,48
3:23,2608,Emmett Naar Defensive Rebound.,62,48
2:53,24,Foul on Robert Cartwright.,62,48
2:53,24,Official TV Timeout,62,48
2:29,2608,Dane Pineau made Layup. Assisted by Emmett Naar.,64,48
2:20,24,Robert Cartwright made Three Point Jumper.,64,51
1:51,2608,Joe Rahon Turnover.,64,51
1:50,24,Marcus Sheffield Steal.,64,51
1:46,24,Marcus Sheffield Turnover.,64,51
1:45,2608,Dane Pineau Steal.,64,51
1:22,2608,Emmett Naar missed Jumper.,64,51
1:22,24,Robert Cartwright Defensive Rebound.,64,51
1:15,24,Robert Cartwright missed Layup.,64,51
1:15,2608,Jock Landale Defensive Rebound.,64,51
1:14,24,Foul on Dorian Pickens.,64,51
0:50,2608,Emmett Naar missed Three Point Jumper.,64,51
0:50,24,Grant Verhoeven Defensive Rebound.,64,51
0:39,24,Robert Cartwright missed Three Point Jumper.,64,51
0:39,2608,Jock Landale Defensive Rebound.,64,51
0:09,2608,Jock Landale made Jumper. Assisted by Dane Pineau.,66,51
0:01,24,Grant Verhoeven missed Jumper.,66,51
0:01,2608,Saint Mary's Defensive Rebound.,66,51
0:00,24,End of Game,66,51
