Sam Houston State,239,Baylor,2534
6:00,2534,Foul on Torry Butler.,8,25
5:55,239,Manu Lecomte Turnover.,8,25
5:38,2534,Dakarai Henderson missed Jumper.,8,25
5:38,239,Jo Lual-Acuil Jr. Defensive Rebound.,8,25
5:35,2534,Foul on Dakarai Henderson.,8,25
5:20,239,Al Freeman missed Jumper.,8,25
5:20,239,Jo Lual-Acuil Jr. Offensive Rebound.,8,25
5:16,239,Foul on Johnathan Motley.,8,25
5:16,239,Johnathan Motley Turnover.,8,25
4:54,2534,Aurimas Majauskas missed Jumper.,8,25
4:54,2534,Cameron Delaney Offensive Rebound.,8,25
4:50,2534,Dakarai Henderson missed Jumper.,8,25
4:50,239,Johnathan Motley Defensive Rebound.,8,25
4:32,239,Al Freeman made Three Point Jumper. Assisted by Jake Lindsey.,8,28
4:15,2534,Cameron Delaney missed Three Point Jumper.,8,28
4:15,239,Jake Lindsey Block.,8,28
4:15,2534,Sam Houston St Offensive Rebound.,8,28
3:59,2534,Torry Butler missed Layup.,8,28
3:59,239,Terry Maston Block.,8,28
3:59,239,Baylor Defensive Rebound.,8,28
3:44,239,Al Freeman Turnover.,8,28
3:44,2534,Aurimas Majauskas Steal.,8,28
3:36,2534,Paul Baxter made Layup. Assisted by Aurimas Majauskas.,10,28
3:19,239,Al Freeman missed Three Point Jumper.,10,28
3:19,2534,Torry Butler Defensive Rebound.,10,28
2:59,2534,Aurimas Majauskas missed Layup.,10,28
2:59,239,Jo Lual-Acuil Jr. Defensive Rebound.,10,28
2:44,239,Terry Maston Turnover.,10,28
2:44,2534,Cameron Delaney Steal.,10,28
2:37,2534,Paul Baxter missed Three Point Jumper.,10,28
2:37,239,Jo Lual-Acuil Jr. Defensive Rebound.,10,28
2:16,239,King McClure made Three Point Jumper. Assisted by Jake Lindsey.,10,31
1:49,2534,Aurimas Majauskas missed Jumper.,10,31
1:49,2534,Aurimas Majauskas Offensive Rebound.,10,31
1:45,2534,Aurimas Majauskas made Layup.,12,31
1:45,239,Foul on Jake Lindsey.,12,31
1:44,239,Official TV Timeout,12,31
1:44,2534,Aurimas Majauskas made Free Throw.,13,31
1:28,2534,Foul on Torry Butler.,13,31
1:28,239,Manu Lecomte made Free Throw.,13,32
1:28,239,Manu Lecomte missed Free Throw.,13,32
1:28,2534,Christopher Galbreath Jr. Defensive Rebound.,13,32
1:19,2534,Dakarai Henderson made Jumper.,15,32
0:44,239,Jake Lindsey missed Three Point Jumper.,15,32
0:44,239,Terry Maston Offensive Rebound.,15,32
0:40,2534,Foul on Albert Almanza.,15,32
0:40,239,Terry Maston made Free Throw.,15,33
0:40,239,Terry Maston made Free Throw.,15,34
0:18,2534,Christopher Galbreath Jr. made Jumper. Assisted by Dakarai Henderson.,17,34
0:03,239,Foul on Manu Lecomte.,17,34
0:03,239,Manu Lecomte Turnover.,17,34
0:01,2534,Jovante' Spivey missed Three Point Jumper.,17,34
0:01,2534,Albert Almanza Offensive Rebound.,17,34
0:00,239,End of 1st half,17,34
20:00,2534,Jump Ball won by Sam Houston St,17,34
19:53,2534,Dakarai Henderson missed Layup.,17,34
19:53,239,Jo Lual-Acuil Jr. Block.,17,34
19:53,239,Jo Lual-Acuil Jr. Defensive Rebound.,17,34
19:41,2534,Foul on Aurimas Majauskas.,17,34
19:24,239,Jo Lual-Acuil Jr. missed Jumper.,17,34
19:24,2534,Paul Baxter Defensive Rebound.,17,34
19:17,2534,Paul Baxter missed Jumper.,17,34
19:17,239,Johnathan Motley Defensive Rebound.,17,34
19:12,239,Ishmail Wainright missed Layup.,17,34
19:12,239,Jo Lual-Acuil Jr. Offensive Rebound.,17,34
19:11,2534,Foul on Paul Baxter.,17,34
19:11,239,Jo Lual-Acuil Jr. made Free Throw.,17,35
19:11,239,Jo Lual-Acuil Jr. made Free Throw.,17,36
18:49,2534,Aurimas Majauskas made Layup.,19,36
18:34,239,Al Freeman Turnover.,19,36
18:26,2534,John Dewey III missed Jumper.,19,36
18:26,239,Manu Lecomte Block.,19,36
18:26,239,Johnathan Motley Defensive Rebound.,19,36
18:18,239,Al Freeman made Layup.,19,38
18:03,2534,Paul Baxter missed Three Point Jumper.,19,38
18:03,239,Jo Lual-Acuil Jr. Defensive Rebound.,19,38
17:52,239,Jo Lual-Acuil Jr. missed Three Point Jumper.,19,38
17:52,239,Johnathan Motley Offensive Rebound.,19,38
17:41,239,Ishmail Wainright missed Jumper.,19,38
17:41,2534,Torry Butler Defensive Rebound.,19,38
17:33,2534,Paul Baxter missed Jumper.,19,38
17:33,239,Jo Lual-Acuil Jr. Block.,19,38
17:33,239,Jo Lual-Acuil Jr. Defensive Rebound.,19,38
17:26,2534,Foul on Paul Baxter.,19,38
17:20,2534,Foul on Paul Baxter.,19,38
17:08,2534,Foul on John Dewey III.,19,38
17:08,239,Johnathan Motley made Free Throw.,19,39
17:08,239,Johnathan Motley missed Free Throw.,19,39
17:08,2534,Christopher Galbreath Jr. Defensive Rebound.,19,39
16:47,2534,Christopher Galbreath Jr. Turnover.,19,39
16:33,239,Al Freeman made Three Point Jumper. Assisted by Ishmail Wainright.,19,42
16:20,2534,Christopher Galbreath Jr. missed Jumper.,19,42
16:20,239,Ishmail Wainright Defensive Rebound.,19,42
16:17,2534,Foul on Aurimas Majauskas.,19,42
16:05,2534,Foul on Paul Baxter.,19,42
16:05,239,Johnathan Motley made Free Throw.,19,43
16:05,239,Johnathan Motley made Free Throw.,19,44
16:02,2534,John Dewey III Turnover.,19,44
15:55,2534,Foul on Aurimas Majauskas.,19,44
15:55,239,Official TV Timeout,19,44
15:55,239,Johnathan Motley made Free Throw.,19,45
15:55,239,Johnathan Motley missed Free Throw.,19,45
15:55,2534,Aurimas Majauskas Defensive Rebound.,19,45
15:33,2534,Christopher Galbreath Jr. made Layup. Assisted by Dakarai Henderson.,21,45
15:13,239,Manu Lecomte missed Three Point Jumper.,21,45
15:13,2534,Christopher Galbreath Jr. Defensive Rebound.,21,45
15:01,2534,Aurimas Majauskas made Layup. Assisted by Jovante' Spivey.,23,45
14:39,2534,Foul on Christopher Galbreath Jr..,23,45
14:39,239,Jo Lual-Acuil Jr. missed Free Throw.,23,45
14:39,239,Baylor Deadball Team Rebound.,23,45
14:39,239,Jo Lual-Acuil Jr. made Free Throw.,23,46
14:32,2534,Dakarai Henderson Turnover.,23,46
14:32,239,Ishmail Wainright Steal.,23,46
14:27,239,Ishmail Wainright made Layup.,23,48
14:27,2534,Foul on Christopher Galbreath Jr..,23,48
14:27,239,Ishmail Wainright made Free Throw.,23,49
14:20,2534,Aurimas Majauskas made Layup. Assisted by John Dewey III.,25,49
13:53,239,Jo Lual-Acuil Jr. made Dunk. Assisted by Ishmail Wainright.,25,51
13:41,2534,Christopher Galbreath Jr. Turnover.,25,51
13:41,239,Jake Lindsey Steal.,25,51
13:37,239,Jake Lindsey made Dunk.,25,53
13:29,2534,Aurimas Majauskas made Layup. Assisted by Jovante' Spivey.,27,53
13:14,239,Ishmail Wainright missed Three Point Jumper.,27,53
13:14,2534,Christopher Galbreath Jr. Defensive Rebound.,27,53
13:02,2534,Aurimas Majauskas missed Three Point Jumper.,27,53
13:02,2534,Christopher Galbreath Jr. Offensive Rebound.,27,53
13:00,239,Foul on Terry Maston.,27,53
13:00,239,Baylor  Timeout,27,53
12:57,2534,Phillip Jones Jr. Turnover.,27,53
12:57,239,Johnathan Motley Steal.,27,53
12:46,239,King McClure made Three Point Jumper. Assisted by Johnathan Motley.,27,56
12:35,2534,Dakarai Henderson missed Jumper.,27,56
12:35,2534,Dakarai Henderson Offensive Rebound.,27,56
12:30,2534,Dakarai Henderson missed Jumper.,27,56
12:30,239,King McClure Defensive Rebound.,27,56
12:22,239,Johnathan Motley made Jumper. Assisted by King McClure.,27,58
12:07,2534,Jamal Williams missed Three Point Jumper.,27,58
12:07,239,Johnathan Motley Defensive Rebound.,27,58
11:58,239,Foul on Johnathan Motley.,27,58
11:58,239,Johnathan Motley Turnover.,27,58
11:58,239,Official TV Timeout,27,58
11:41,239,Foul on Wendell Mitchell.,27,58
11:36,2534,Jovante' Spivey missed Layup.,27,58
11:36,2534,Phillip Jones Jr. Offensive Rebound.,27,58
11:36,2534,Phillip Jones Jr. made Two Point Tip Shot.,29,58
11:13,239,King McClure missed Three Point Jumper.,29,58
11:13,239,Jake Lindsey Offensive Rebound.,29,58
11:08,239,King McClure missed Three Point Jumper.,29,58
11:08,239,Terry Maston Offensive Rebound.,29,58
11:02,239,Terry Maston missed Layup.,29,58
11:02,239,Johnathan Motley Offensive Rebound.,29,58
10:57,239,Johnathan Motley missed Layup.,29,58
10:57,239,Johnathan Motley Offensive Rebound.,29,58
10:52,239,Terry Maston Turnover.,29,58
10:52,2534,Josh Delaney Steal.,29,58
10:46,239,Foul on King McClure.,29,58
10:36,2534,Jamal Williams missed Layup.,29,58
10:36,239,Jake Lindsey Block.,29,58
10:36,239,Johnathan Motley Defensive Rebound.,29,58
10:12,239,Foul on Wendell Mitchell.,29,58
10:12,239,Wendell Mitchell Turnover.,29,58
10:09,2534,Josh Delaney made Three Point Jumper. Assisted by Jamal Williams.,32,58
9:36,239,Ishmail Wainright made Three Point Jumper. Assisted by Manu Lecomte.,32,61
9:26,2534,Jamal Williams Turnover.,32,61
9:26,239,Manu Lecomte Steal.,32,61
9:18,239,Al Freeman missed Three Point Jumper.,32,61
9:18,239,Jo Lual-Acuil Jr. Offensive Rebound.,32,61
9:11,239,Jo Lual-Acuil Jr. missed Three Point Jumper.,32,61
9:11,2534,Sam Houston St Defensive Rebound.,32,61
8:50,2534,Phillip Jones Jr. Turnover.,32,61
8:50,239,Ishmail Wainright Steal.,32,61
8:35,239,Terry Maston made Jumper.,32,63
8:09,2534,Aurimas Majauskas missed Layup.,32,63
8:09,2534,Sam Houston St Deadball Team Rebound.,32,63
8:06,239,Foul on Terry Maston.,32,63
7:59,2534,Aurimas Majauskas made Layup. Assisted by John Dewey III.,34,63
7:44,239,Foul on Johnathan Motley.,34,63
7:44,239,Johnathan Motley Turnover.,34,63
7:44,239,Official TV Timeout,34,63
7:21,2534,Albert Almanza missed Three Point Jumper.,34,63
7:09,2534,Jovante' Spivey Offensive Rebound.,34,63
7:04,2534,Jovante' Spivey Turnover.,34,63
7:04,239,Jo Lual-Acuil Jr. Steal.,34,63
6:57,239,Johnathan Motley missed Three Point Jumper.,34,63
6:57,2534,Aurimas Majauskas Defensive Rebound.,34,63
6:45,2534,John Dewey III missed Jumper.,34,63
6:45,239,Jo Lual-Acuil Jr. Block.,34,63
6:45,239,Jo Lual-Acuil Jr. Defensive Rebound.,34,63
6:38,239,Al Freeman missed Three Point Jumper.,34,63
6:38,2534,Jovante' Spivey Defensive Rebound.,34,63
6:31,2534,Josh Delaney missed Three Point Jumper.,34,63
6:31,239,Jo Lual-Acuil Jr. Defensive Rebound.,34,63
6:25,2534,Foul on Jovante' Spivey.,34,63
6:25,239,Manu Lecomte made Free Throw.,34,64
6:25,239,Manu Lecomte missed Free Throw.,34,64
6:25,239,Baylor Deadball Team Rebound.,34,64
6:25,239,Manu Lecomte made Free Throw.,34,65
6:10,2534,Josh Delaney missed Jumper.,34,65
6:10,2534,John Dewey III Offensive Rebound.,34,65
6:02,2534,John Dewey III made Layup.,36,65
5:38,2534,Jump Ball won by Sam Houston St,36,65
5:38,239,Manu Lecomte Turnover.,36,65
5:38,2534,Josh Delaney Steal.,36,65
5:26,2534,Josh Delaney missed Three Point Jumper.,36,65
5:26,239,Terry Maston Defensive Rebound.,36,65
5:02,239,King McClure missed Jumper.,36,65
5:02,2534,Torry Butler Defensive Rebound.,36,65
4:52,2534,John Dewey III made Jumper.,38,65
4:50,2534,Sam Houston St  Timeout,38,65
4:50,239,Baylor  Timeout,38,65
4:32,239,Wendell Mitchell Turnover.,38,65
4:28,2534,John Dewey III Turnover.,38,65
4:13,239,Terry Maston missed Jumper.,38,65
4:13,2534,Torry Butler Block.,38,65
4:13,2534,Cameron Delaney Defensive Rebound.,38,65
3:55,2534,Torry Butler Turnover.,38,65
3:55,239,Ishmail Wainright Steal.,38,65
3:48,239,Jake Lindsey Turnover.,38,65
3:48,239,Official TV Timeout,38,65
3:44,2534,Josh Delaney missed Layup.,38,65
3:44,2534,Torry Butler Offensive Rebound.,38,65
3:37,2534,Torry Butler made Dunk.,40,65
3:24,239,Wendell Mitchell missed Layup.,40,65
3:24,2534,John Dewey III Defensive Rebound.,40,65
3:17,2534,Torry Butler made Three Point Jumper. Assisted by Paul Baxter.,43,65
2:54,239,Jake Lindsey made Three Point Jumper. Assisted by Terry Maston.,43,68
2:34,2534,John Dewey III missed Three Point Jumper.,43,68
2:34,239,Ishmail Wainright Block.,43,68
2:34,239,Ishmail Wainright Defensive Rebound.,43,68
2:25,239,Ishmail Wainright made Three Point Jumper. Assisted by King McClure.,43,71
2:03,2534,Paul Baxter missed Layup.,43,71
2:03,239,Ishmail Wainright Defensive Rebound.,43,71
1:56,239,King McClure made Three Point Jumper. Assisted by Jake Lindsey.,43,74
1:51,239,Baylor  Timeout,43,74
1:44,2534,Josh Delaney missed Three Point Jumper.,43,74
1:44,239,Terry Maston Defensive Rebound.,43,74
1:20,239,Wendell Mitchell made Jumper.,43,76
1:11,2534,Dakarai Henderson missed Three Point Jumper.,43,76
1:11,239,King McClure Defensive Rebound.,43,76
1:01,239,Wendell Mitchell made Layup.,43,78
0:49,2534,Paul Baxter made Jumper.,45,78
0:36,2534,Foul on Jesse Lopez Jr..,45,78
0:36,239,Jonathan Davis missed Free Throw.,45,78
0:36,239,Baylor Deadball Team Rebound.,45,78
0:36,239,Jonathan Davis made Free Throw.,45,79
0:29,2534,Foul on Torry Butler.,45,79
0:29,2534,Torry Butler Turnover.,45,79
0:00,239,End of Game,45,79
