Rutgers,2390,Miami,164
3:08,164,Jonathan Laurent made Free Throw.,22,27
3:08,164,Jonathan Laurent made Free Throw.,23,27
2:45,164,Foul on Jonathan Laurent.,23,27
2:45,2390,Kamari Murphy made Free Throw.,23,28
2:45,2390,Kamari Murphy made Free Throw.,23,29
2:31,164,Candido Sa missed Layup.,23,29
2:31,2390,Anthony Lawrence Jr. Defensive Rebound.,23,29
2:11,2390,Ja'Quan Newton missed Jumper.,23,29
2:11,2390,Kamari Murphy Offensive Rebound.,23,29
2:06,2390,Kamari Murphy made Dunk.,23,31
1:51,2390,Foul on Kamari Murphy.,23,31
1:51,164,Jonathan Laurent made Free Throw.,24,31
1:51,164,Jonathan Laurent made Free Throw.,25,31
1:31,2390,Dejan Vasiljevic missed Three Point Jumper.,25,31
1:31,2390,Miami Offensive Rebound.,25,31
1:25,164,Foul on Deshawn Freeman.,25,31
1:25,2390,Rodney Miller missed Free Throw.,25,31
1:25,164,Issa Thiam Defensive Rebound.,25,31
1:08,2390,Foul on Rodney Miller.,25,31
1:08,164,Candido Sa missed Free Throw.,25,31
1:08,164,Rutgers Deadball Team Rebound.,25,31
1:08,164,Candido Sa made Free Throw.,26,31
0:40,2390,Dewan Huell missed Jumper.,26,31
0:40,164,Jonathan Laurent Defensive Rebound.,26,31
0:31,164,Corey Sanders missed Jumper.,26,31
0:31,164,Shaquille Doorson Offensive Rebound.,26,31
0:28,164,Shaquille Doorson made Dunk.,28,31
0:17,2390,Miami  Timeout,28,31
0:03,2390,Ja'Quan Newton made Jumper.,28,33
0:03,164,Foul on Jonathan Laurent.,28,33
0:03,2390,Ja'Quan Newton made Free Throw.,28,34
0:00,2390,End of 1st half,28,34
20:00,164,Jump Ball won by Rutgers,28,34
19:50,164,Corey Sanders Turnover.,28,34
19:36,2390,Dewan Huell made Dunk. Assisted by Ja'Quan Newton.,28,36
19:17,164,Deshawn Freeman missed Jumper.,28,36
19:17,164,Deshawn Freeman Offensive Rebound.,28,36
19:14,164,Deshawn Freeman made Layup.,30,36
19:01,2390,Davon Reed missed Three Point Jumper.,30,36
19:01,2390,Miami Offensive Rebound.,30,36
18:47,2390,Ja'Quan Newton Turnover.,30,36
18:47,164,Corey Sanders Steal.,30,36
18:44,164,Corey Sanders made Layup.,32,36
18:19,2390,Dewan Huell missed Jumper.,32,36
18:19,164,Deshawn Freeman Defensive Rebound.,32,36
18:00,164,Jonathan Laurent missed Jumper.,32,36
18:00,2390,Davon Reed Defensive Rebound.,32,36
17:52,2390,Ja'Quan Newton missed Jumper.,32,36
17:52,164,Rutgers Defensive Rebound.,32,36
17:26,164,Deshawn Freeman Turnover.,32,36
17:10,2390,Davon Reed made Jumper.,32,38
17:10,164,Foul on C.J. Gettys.,32,38
17:10,2390,Davon Reed missed Free Throw.,32,38
17:10,164,Deshawn Freeman Defensive Rebound.,32,38
16:51,164,Deshawn Freeman missed Layup.,32,38
16:51,2390,Kamari Murphy Defensive Rebound.,32,38
16:39,2390,Ja'Quan Newton missed Three Point Jumper.,32,38
16:39,2390,Dewan Huell Offensive Rebound.,32,38
16:17,2390,Dewan Huell made Dunk. Assisted by Davon Reed.,32,40
16:04,164,Issa Thiam missed Three Point Jumper.,32,40
16:04,2390,Ja'Quan Newton Defensive Rebound.,32,40
15:55,2390,Ja'Quan Newton made Jumper.,32,42
15:49,164,Rutgers  Timeout,32,42
15:30,164,Corey Sanders missed Jumper.,32,42
15:30,164,Rutgers Offensive Rebound.,32,42
15:21,2390,Official TV Timeout,32,42
15:18,164,Rutgers  Turnover.,32,42
14:59,2390,Ja'Quan Newton missed Jumper.,32,42
14:59,2390,Dewan Huell Offensive Rebound.,32,42
14:56,2390,Dewan Huell missed Layup.,32,42
14:56,2390,Dewan Huell Offensive Rebound.,32,42
14:52,2390,Dewan Huell made Layup.,32,44
14:38,164,Nigel Johnson Turnover.,32,44
14:38,2390,Dewan Huell Steal.,32,44
14:33,2390,Anthony Lawrence Jr. missed Three Point Jumper.,32,44
14:33,164,Nigel Johnson Defensive Rebound.,32,44
14:09,164,Deshawn Freeman missed Jumper.,32,44
14:09,2390,Bruce Brown Defensive Rebound.,32,44
13:57,164,Foul on Candido Sa.,32,44
13:57,2390,Anthony Lawrence Jr. made Free Throw.,32,45
13:57,2390,Anthony Lawrence Jr. missed Free Throw.,32,45
13:57,2390,Miami Offensive Rebound.,32,45
13:45,2390,Dewan Huell made Jumper.,32,47
13:26,164,Candido Sa missed Three Point Jumper.,32,47
13:26,2390,Dewan Huell Defensive Rebound.,32,47
13:18,2390,Dewan Huell made Layup.,32,49
13:04,164,Rutgers  Timeout,32,49
12:44,164,Nigel Johnson missed Jumper.,32,49
12:44,164,Shaquille Doorson Offensive Rebound.,32,49
12:39,164,Shaquille Doorson missed Layup.,32,49
12:39,2390,Kamari Murphy Block.,32,49
12:39,2390,Anthony Lawrence Jr. Defensive Rebound.,32,49
12:25,164,Foul on Candido Sa.,32,49
12:19,2390,Davon Reed made Jumper.,32,51
11:53,2390,Foul on Ebuka Izundu.,32,51
11:53,2390,Official TV Timeout,32,51
11:41,164,Candido Sa Turnover.,32,51
11:41,2390,Davon Reed Steal.,32,51
11:27,2390,Ebuka Izundu made Jumper. Assisted by Bruce Brown.,32,53
11:00,164,Corey Sanders missed Jumper.,32,53
11:00,164,Candido Sa Offensive Rebound.,32,53
10:50,164,Eugene Omoruyi missed Jumper.,32,53
10:50,2390,Anthony Lawrence Jr. Defensive Rebound.,32,53
10:34,2390,Davon Reed missed Jumper.,32,53
10:34,164,Corey Sanders Defensive Rebound.,32,53
10:18,164,Corey Sanders Turnover.,32,53
10:18,2390,Anthony Lawrence Jr. Steal.,32,53
9:59,2390,Kamari Murphy Turnover.,32,53
9:59,164,Eugene Omoruyi Steal.,32,53
9:48,164,Eugene Omoruyi missed Three Point Jumper.,32,53
9:48,164,C.J. Gettys Offensive Rebound.,32,53
9:44,2390,Foul on Kamari Murphy.,32,53
9:43,164,Mike Williams made Three Point Jumper. Assisted by Corey Sanders.,35,53
9:22,2390,Ebuka Izundu made Dunk. Assisted by Dejan Vasiljevic.,35,55
9:01,164,Mike Williams made Three Point Jumper. Assisted by C.J. Gettys.,38,55
8:32,2390,Bruce Brown missed Layup.,38,55
8:32,164,Rutgers Defensive Rebound.,38,55
8:13,2390,Foul on Ebuka Izundu.,38,55
8:12,2390,Foul on Bruce Brown.,38,55
8:12,164,Mike Williams missed Free Throw.,38,55
8:12,164,Rutgers Deadball Team Rebound.,38,55
8:12,164,Mike Williams made Free Throw.,39,55
7:55,2390,Anthony Lawrence Jr. missed Three Point Jumper.,39,55
7:55,164,Corey Sanders Defensive Rebound.,39,55
7:47,164,Corey Sanders missed Jumper.,39,55
7:47,2390,Dewan Huell Block.,39,55
7:47,164,Rutgers Offensive Rebound.,39,55
7:44,2390,Official TV Timeout,39,55
7:42,164,Mike Williams missed Three Point Jumper.,39,55
7:42,2390,Anthony Lawrence Jr. Defensive Rebound.,39,55
7:35,2390,Dewan Huell missed Layup.,39,55
7:35,2390,Bruce Brown Offensive Rebound.,39,55
7:35,2390,Bruce Brown Turnover.,39,55
7:26,2390,Foul on Davon Reed.,39,55
7:26,164,Deshawn Freeman made Free Throw.,40,55
7:26,164,Deshawn Freeman missed Free Throw.,40,55
7:26,2390,Miami Defensive Rebound.,40,55
7:00,2390,Davon Reed made Jumper.,40,57
6:50,164,C.J. Gettys Turnover.,40,57
6:50,2390,Dewan Huell Steal.,40,57
6:43,2390,Ja'Quan Newton missed Layup.,40,57
6:43,2390,Dewan Huell Offensive Rebound.,40,57
6:39,2390,Dewan Huell missed Layup.,40,57
6:39,164,C.J. Gettys Defensive Rebound.,40,57
6:31,164,C.J. Gettys made Layup.,42,57
6:02,2390,Dewan Huell missed Jumper.,42,57
6:02,2390,Dewan Huell Offensive Rebound.,42,57
5:53,2390,Dewan Huell missed Layup.,42,57
5:53,2390,Ja'Quan Newton Offensive Rebound.,42,57
5:45,2390,Davon Reed made Layup.,42,59
5:41,2390,Miami  Timeout,42,59
5:32,164,Corey Sanders made Jumper.,44,59
5:11,2390,Dewan Huell made Dunk. Assisted by Davon Reed.,44,61
4:50,164,Deshawn Freeman made Jumper.,46,61
4:29,2390,Ja'Quan Newton Turnover.,46,61
4:29,164,Nigel Johnson Steal.,46,61
4:25,164,Corey Sanders made Layup. Assisted by Nigel Johnson.,48,61
4:03,164,Foul on Deshawn Freeman.,48,61
3:47,2390,Kamari Murphy missed Jumper.,48,61
3:47,164,Deshawn Freeman Defensive Rebound.,48,61
3:26,164,Nigel Johnson missed Three Point Jumper.,48,61
3:26,2390,Bruce Brown Defensive Rebound.,48,61
3:17,2390,Bruce Brown made Layup.,48,63
3:17,164,Foul on Shaquille Doorson.,48,63
3:17,2390,Official TV Timeout,48,63
3:17,2390,Bruce Brown made Free Throw.,48,64
3:05,2390,Foul on Kamari Murphy.,48,64
2:58,164,Corey Sanders missed Layup.,48,64
2:58,2390,Kamari Murphy Block.,48,64
2:58,164,Rutgers Offensive Rebound.,48,64
2:45,164,Deshawn Freeman made Jumper.,50,64
2:19,2390,Kamari Murphy Turnover.,50,64
2:19,164,Mike Williams Steal.,50,64
2:16,164,Mike Williams made Layup.,52,64
2:05,2390,Davon Reed Turnover.,52,64
2:05,164,Eugene Omoruyi Steal.,52,64
2:00,164,Deshawn Freeman made Layup. Assisted by Eugene Omoruyi.,54,64
1:47,2390,Bruce Brown made Layup. Assisted by Ja'Quan Newton.,54,66
1:47,164,Foul on Deshawn Freeman.,54,66
1:47,2390,Bruce Brown made Free Throw.,54,67
1:35,164,Mike Williams made Three Point Jumper. Assisted by Eugene Omoruyi.,57,67
1:30,164,Rutgers  Timeout,57,67
1:10,2390,Ja'Quan Newton made Layup.,57,69
0:58,164,Mike Williams missed Three Point Jumper.,57,69
0:58,2390,Bruce Brown Defensive Rebound.,57,69
0:51,2390,Bruce Brown Turnover.,57,69
0:51,164,Mike Williams Steal.,57,69
0:49,2390,Foul on Kamari Murphy.,57,69
0:49,164,Deshawn Freeman made Free Throw.,58,69
0:49,164,Deshawn Freeman made Free Throw.,59,69
0:37,164,Foul on Eugene Omoruyi.,59,69
0:37,2390,Davon Reed made Free Throw.,59,70
0:37,2390,Davon Reed made Free Throw.,59,71
0:33,164,Mike Williams made Layup. Assisted by Corey Sanders.,61,71
0:29,2390,Bruce Brown Turnover.,61,71
0:29,164,Jonathan Laurent Steal.,61,71
0:22,164,Corey Sanders Turnover.,61,71
0:22,2390,Anthony Lawrence Jr. Steal.,61,71
0:22,2390,Jump Ball won by Miami,61,71
0:17,164,Foul on Eugene Omoruyi.,61,71
0:17,2390,Davon Reed made Free Throw.,61,72
0:17,2390,Davon Reed made Free Throw.,61,73
0:08,164,Mike Williams missed Three Point Jumper.,61,73
0:08,2390,Bruce Brown Defensive Rebound.,61,73
0:00,2390,End of Game,61,73
