Drake,305,DePaul,2181
7:38,305,Billy Garrett Jr. missed Three Point Jumper.,16,18
7:38,305,Tre'Darius McCallum Offensive Rebound.,16,18
7:36,305,Tre'Darius McCallum made Dunk.,16,20
7:16,2181,T.J. Thomas made Jumper. Assisted by Ore Arogundade.,18,20
6:53,305,Billy Garrett Jr. made Jumper.,18,22
6:23,2181,Reed Timmer Turnover.,18,22
6:23,305,Official TV Timeout,18,22
6:05,305,Devin Gage Turnover.,18,22
6:03,2181,Billy Wampler Steal.,18,22
6:01,2181,C.J. Rivers made Layup. Assisted by Ore Arogundade.,20,22
5:40,305,Tre'Darius McCallum Turnover.,20,22
5:40,305,Foul on Tre'Darius McCallum.,20,22
5:28,2181,Graham Woodward Turnover.,20,22
5:13,305,Levi Cook made Layup.,20,24
5:06,2181,T.J. Thomas Turnover.,20,24
5:05,305,Chris Harrison-Docks Steal.,20,24
5:03,305,Chris Harrison-Docks missed Layup.,20,24
5:03,2181,C.J. Rivers Defensive Rebound.,20,24
4:56,305,Foul on Levi Cook.,20,24
4:56,2181,Billy Wampler made Free Throw.,21,24
4:56,2181,Billy Wampler made Free Throw.,22,24
4:29,305,Chris Harrison-Docks made Three Point Jumper.,22,27
4:16,2181,Billy Wampler missed Three Point Jumper.,22,27
4:16,2181,T.J. Thomas Offensive Rebound.,22,27
4:12,2181,T.J. Thomas missed Layup.,22,27
4:12,2181,T.J. Thomas Offensive Rebound.,22,27
4:11,305,Foul on Darrick Wood.,22,27
4:11,2181,T.J. Thomas made Free Throw.,23,27
4:11,2181,T.J. Thomas made Free Throw.,24,27
3:54,305,Eli Cain Turnover.,24,27
3:53,2181,Billy Wampler Steal.,24,27
3:50,2181,Ore Arogundade missed Layup.,24,27
3:50,2181,Billy Wampler Offensive Rebound.,24,27
3:47,2181,Billy Wampler made Layup.,26,27
3:46,305,DePaul  Timeout,26,27
3:25,305,Brandon Cyrus missed Layup.,26,27
3:25,2181,De'Antae McMurray Block.,26,27
3:25,305,Brandon Cyrus Offensive Rebound.,26,27
3:21,2181,De'Antae McMurray missed Layup.,26,27
3:21,305,Brandon Cyrus Offensive Rebound.,26,27
3:21,305,Foul on Brandon Cyrus.,26,27
3:21,2181,Billy Wampler made Free Throw.,27,27
3:21,2181,Billy Wampler made Free Throw.,28,27
3:02,305,Darrick Wood missed Jumper.,28,27
3:02,2181,T.J. Thomas Defensive Rebound.,28,27
2:49,2181,Billy Wampler made Three Point Jumper. Assisted by De'Antae McMurray.,31,27
2:35,305,Eli Cain missed Three Point Jumper.,31,27
2:35,2181,T.J. Thomas Defensive Rebound.,31,27
2:27,2181,Billy Wampler made Three Point Jumper. Assisted by De'Antae McMurray.,34,27
2:11,305,Eli Cain Turnover.,34,27
2:08,2181,Ore Arogundade Steal.,34,27
2:04,2181,C.J. Rivers made Layup.,36,27
1:50,305,Billy Garrett Jr. missed Three Point Jumper.,36,27
1:50,2181,C.J. Rivers Defensive Rebound.,36,27
1:27,2181,Billy Wampler made Jumper.,38,27
1:22,305,DePaul  Timeout,38,27
1:15,305,Billy Garrett Jr. Turnover.,38,27
1:13,2181,Billy Wampler Steal.,38,27
1:09,2181,T.J. Thomas missed Layup.,38,27
1:09,305,Billy Garrett Jr. Defensive Rebound.,38,27
0:59,305,Brandon Cyrus made Free Throw.,38,29
0:59,305,Brandon Cyrus made Free Throw.,38,28
0:59,2181,Foul on T.J. Thomas.,38,27
0:49,2181,Billy Wampler missed Three Point Jumper.,38,29
0:49,305,Devin Gage Defensive Rebound.,38,29
0:43,2181,Foul on Ore Arogundade.,38,29
0:43,305,Darrick Wood missed Free Throw.,38,29
0:43,2181,Ore Arogundade Defensive Rebound.,38,29
0:16,2181,Ore Arogundade missed Three Point Jumper.,38,29
0:16,2181,C.J. Rivers Offensive Rebound.,38,29
0:01,2181,T.J. Thomas missed Three Point Jumper.,38,29
0:01,2181,T.J. Thomas missed Three Point Jumper.,39,28
0:01,305,Brandon Cyrus Defensive Rebound.,38,29
0:00,305,End of 1st half,39,28
19:47,2181,De'Antae McMurray missed Three Point Jumper.,38,29
19:47,2181,Casey Schlatter Offensive Rebound.,38,29
19:44,2181,Casey Schlatter Turnover.,38,29
19:31,305,Brandon Cyrus made Jumper. Assisted by Eli Cain.,38,31
19:09,2181,Nick McGlynn made Layup.,40,31
18:44,305,Tre'Darius McCallum missed Jumper.,40,31
18:44,305,Brandon Cyrus Offensive Rebound.,40,31
18:43,2181,Foul on Reed Timmer.,40,31
18:30,305,Tre'Darius McCallum made Jumper.,40,33
18:07,2181,Casey Schlatter missed Three Point Jumper.,40,33
18:07,305,Brandon Cyrus Defensive Rebound.,40,33
18:01,2181,Foul on Reed Timmer.,40,33
17:55,305,Chris Harrison-Docks made Three Point Jumper. Assisted by Eli Cain.,40,36
17:36,2181,Graham Woodward missed Jumper.,40,36
17:36,2181,Nick McGlynn Offensive Rebound.,40,36
17:35,305,Foul on Eli Cain.,40,36
17:22,2181,Nick McGlynn Turnover.,40,36
17:22,305,Tre'Darius McCallum Steal.,40,36
17:22,305,Tre'Darius McCallum Turnover.,40,36
17:22,2181,Nick McGlynn Steal.,40,36
17:15,2181,Casey Schlatter made Layup.,42,36
17:05,305,Tre'Darius McCallum made Dunk. Assisted by Billy Garrett Jr..,42,38
16:40,2181,Casey Schlatter made Jumper. Assisted by Graham Woodward.,44,38
16:22,305,Chris Harrison-Docks made Jumper.,44,40
16:04,305,Foul on Brandon Cyrus.,44,40
16:04,2181,Nick McGlynn made Free Throw.,45,40
16:04,2181,Nick McGlynn made Free Throw.,46,40
15:53,305,Chris Harrison-Docks Turnover.,46,40
15:51,2181,De'Antae McMurray Steal.,46,40
15:48,2181,Reed Timmer made Three Point Jumper. Assisted by Graham Woodward.,49,40
15:29,305,Billy Garrett Jr. made Jumper.,49,42
15:11,2181,Reed Timmer made Three Point Jumper. Assisted by De'Antae McMurray.,52,42
14:55,305,Chris Harrison-Docks made Three Point Jumper. Assisted by Billy Garrett Jr..,52,45
14:35,2181,Reed Timmer made Three Point Jumper. Assisted by De'Antae McMurray.,55,45
14:17,305,Foul on Tre'Darius McCallum.,55,45
14:17,305,Tre'Darius McCallum Turnover.,55,45
14:17,305,Official TV Timeout,55,45
13:47,2181,Reed Timmer made Layup.,57,45
13:27,305,Billy Garrett Jr. missed Jumper.,57,45
13:27,2181,Reed Timmer Defensive Rebound.,57,45
13:21,2181,Graham Woodward missed Three Point Jumper.,57,45
13:21,305,Billy Garrett Jr. Defensive Rebound.,57,45
13:18,2181,Foul on T.J. Thomas.,57,45
13:05,2181,Foul on Ore Arogundade.,57,45
12:54,305,Billy Garrett Jr. missed Jumper.,57,45
12:54,305,Joe Hanel Offensive Rebound.,57,45
12:53,2181,Foul on Ore Arogundade.,57,45
12:44,305,Darrick Wood missed Jumper.,57,45
12:44,305,Tre'Darius McCallum Offensive Rebound.,57,45
12:40,305,Tre'Darius McCallum missed Layup.,57,45
12:40,305,Eli Cain Offensive Rebound.,57,45
12:36,305,Eli Cain missed Layup.,57,45
12:36,2181,C.J. Rivers Defensive Rebound.,57,45
12:34,305,Foul on Darrick Wood.,57,45
12:34,2181,T.J. Thomas made Free Throw.,58,45
12:34,2181,T.J. Thomas made Free Throw.,59,45
12:05,305,Darrick Wood made Jumper.,59,47
11:43,2181,T.J. Thomas made Layup.,61,47
11:31,2181,Foul on Billy Wampler.,61,47
11:31,305,Official TV Timeout,61,47
11:31,305,Eli Cain made Free Throw.,61,48
11:31,305,Eli Cain made Free Throw.,61,49
11:06,2181,Billy Wampler missed Three Point Jumper.,61,49
11:06,2181,T.J. Thomas Offensive Rebound.,61,49
10:43,2181,De'Antae McMurray made Three Point Jumper. Assisted by Reed Timmer.,64,49
10:28,305,Chris Harrison-Docks missed Three Point Jumper.,64,49
10:28,2181,Billy Wampler Defensive Rebound.,64,49
10:25,305,Foul on Eli Cain.,64,49
10:08,2181,De'Antae McMurray missed Three Point Jumper.,64,49
10:08,2181,T.J. Thomas Offensive Rebound.,64,49
10:02,2181,Reed Timmer missed Three Point Jumper.,64,49
10:02,2181,T.J. Thomas Offensive Rebound.,64,49
9:57,2181,Billy Wampler missed Three Point Jumper.,64,49
9:57,305,Eli Cain Defensive Rebound.,64,49
9:51,305,Eli Cain Turnover.,64,49
9:51,305,Eli Cain Turnover.,64,49
9:49,2181,Billy Wampler Steal.,64,49
9:35,2181,Foul on Billy Wampler.,64,49
9:35,2181,Billy Wampler Turnover.,64,49
9:22,305,Chris Harrison-Docks made Three Point Jumper. Assisted by Tre'Darius McCallum.,64,52
8:53,2181,De'Antae McMurray Turnover.,64,52
8:50,305,Tre'Darius McCallum Steal.,64,52
8:36,305,Eli Cain made Jumper.,64,54
8:10,2181,C.J. Rivers Turnover.,64,54
8:09,305,Darrick Wood Steal.,64,54
8:04,305,Darrick Wood made Layup.,64,56
7:39,2181,De'Antae McMurray missed Layup.,64,56
7:39,305,Darrick Wood Defensive Rebound.,64,56
7:30,305,Eli Cain made Jumper.,64,58
7:28,2181,Drake  Timeout,64,58
7:16,305,Foul on Eli Cain.,64,58
7:16,305,Official TV Timeout,64,58
7:16,2181,Nick McGlynn made Free Throw.,65,58
7:16,2181,Nick McGlynn missed Free Throw.,65,58
7:16,2181,Casey Schlatter Offensive Rebound.,65,58
6:50,2181,Graham Woodward missed Three Point Jumper.,65,58
6:50,2181,Nick McGlynn Offensive Rebound.,65,58
6:42,2181,Ore Arogundade missed Three Point Jumper.,65,58
6:42,305,Darrick Wood Defensive Rebound.,65,58
6:38,2181,Foul on Nick McGlynn.,65,58
6:38,305,Darrick Wood made Free Throw.,65,59
6:38,305,Darrick Wood missed Free Throw.,65,59
6:38,2181,Ore Arogundade Defensive Rebound.,65,59
6:07,305,Official TV Timeout,65,59
5:51,305,Eli Cain missed Jumper.,65,59
5:51,2181,Nick McGlynn Defensive Rebound.,65,59
5:23,305,Foul on Billy Garrett Jr..,65,59
5:23,2181,Nick McGlynn made Free Throw.,66,59
5:23,2181,Nick McGlynn made Free Throw.,67,59
5:05,305,Darrick Wood missed Jumper.,67,59
5:05,2181,Nick McGlynn Defensive Rebound.,67,59
5:05,2181,Nick McGlynn Defensive Rebound.,67,59
5:01,2181,Nick McGlynn Turnover.,67,59
5:01,2181,Nick McGlynn Turnover.,67,59
5:01,305,Eli Cain Steal.,67,59
5:01,305,Eli Cain made Jumper.,67,61
5:01,2181,Foul on Nick McGlynn.,67,61
5:01,305,Eli Cain missed Free Throw.,67,61
5:01,2181,Reed Timmer Defensive Rebound.,67,61
5:00,305,Foul on Eli Cain.,67,61
5:00,2181,Reed Timmer missed Free Throw.,67,61
5:00,2181,Nick McGlynn Offensive Rebound.,67,61
4:57,2181,Nick McGlynn missed Layup.,67,61
4:57,2181,Nick McGlynn Offensive Rebound.,67,61
4:57,2181,Nick McGlynn missed Layup.,67,61
4:57,2181,Nick McGlynn Offensive Rebound.,67,61
4:54,2181,Nick McGlynn missed Layup.,67,61
4:54,305,Tre'Darius McCallum Defensive Rebound.,67,61
4:49,305,Brandon Cyrus made Jumper. Assisted by Billy Garrett Jr..,67,63
4:49,2181,Foul on Nick McGlynn.,67,63
4:49,305,Brandon Cyrus made Free Throw.,67,64
4:20,2181,Reed Timmer made Layup.,69,64
4:20,305,Foul on Darrick Wood.,69,64
4:20,2181,Reed Timmer made Free Throw.,70,64
4:07,305,Darrick Wood made Three Point Jumper. Assisted by Chris Harrison-Docks.,70,67
3:43,2181,Billy Wampler missed Three Point Jumper.,70,67
3:43,305,Tre'Darius McCallum Defensive Rebound.,70,67
3:33,305,Tre'Darius McCallum made Layup. Assisted by Billy Garrett Jr..,70,69
3:06,2181,Graham Woodward made Three Point Jumper. Assisted by De'Antae McMurray.,73,69
2:52,305,Billy Garrett Jr. missed Jumper.,73,69
2:52,305,Brandon Cyrus Offensive Rebound.,73,69
2:49,305,Brandon Cyrus missed Layup.,73,69
2:49,2181,Billy Wampler Defensive Rebound.,73,69
2:26,2181,De'Antae McMurray Turnover.,73,69
2:26,305,Official TV Timeout,73,69
2:09,305,Brandon Cyrus made Jumper.,73,71
1:36,2181,T.J. Thomas made Jumper. Assisted by Billy Wampler.,75,71
1:09,305,Darrick Wood made Layup.,75,73
0:53,2181,Reed Timmer Turnover.,75,73
0:52,305,Chris Harrison-Docks Steal.,75,73
0:47,305,DePaul  Timeout,75,73
0:40,305,Eli Cain made Layup.,75,75
0:40,2181,Foul on Ore Arogundade.,75,75
0:40,305,Eli Cain made Free Throw.,75,76
0:31,2181,Drake  Timeout,75,76
0:11,2181,Graham Woodward missed Jumper.,75,76
0:10,305,Brandon Cyrus Defensive Rebound.,75,76
0:08,2181,Foul on De'Antae McMurray.,75,76
0:08,305,Brandon Cyrus made Free Throw.,75,77
0:08,305,Brandon Cyrus missed Free Throw.,75,77
0:08,2181,Casey Schlatter Defensive Rebound.,75,77
0:00,2181,Reed Timmer missed Three Point Jumper.,75,77
0:00,2181,Billy Wampler Offensive Rebound.,75,77
0:00,305,End of 2nd half,75,77
0:00,305,End of Game,75,77
