Ohio State,258,Virginia,194
6:45,258,London Perrantes made Three Point Jumper.,51,48
6:21,194,Trevor Thompson made Dunk. Assisted by Marc Loving.,53,48
6:00,258,Foul on Jack Salt.,53,48
6:00,258,Jack Salt Turnover.,53,48
5:47,194,Jae'Sean Tate missed Layup.,53,48
5:47,258,Virginia Defensive Rebound.,53,48
5:25,258,Devon Hall missed Jumper.,53,48
5:25,258,Isaiah Wilkins Offensive Rebound.,53,48
5:25,194,Foul on Jae'Sean Tate.,53,48
5:25,258,Isaiah Wilkins made Free Throw.,53,49
5:25,258,Isaiah Wilkins made Free Throw.,53,50
5:08,194,Marc Loving Turnover.,53,50
4:51,258,Marial Shayok made Layup.,53,52
4:27,258,Foul on Devon Hall.,53,52
4:27,194,Kam Williams made Free Throw.,54,52
4:27,194,Kam Williams made Free Throw.,55,52
4:09,258,Devon Hall missed Layup.,55,52
4:09,258,Isaiah Wilkins Offensive Rebound.,55,52
3:51,258,London Perrantes made Three Point Jumper. Assisted by Isaiah Wilkins.,55,55
3:40,194,JaQuan Lyle made Layup.,57,55
3:11,194,Foul on Marc Loving.,57,55
3:11,258,Official TV Timeout,57,55
3:11,258,Devon Hall made Free Throw.,57,56
3:11,258,Devon Hall made Free Throw.,57,57
3:02,194,C.J. Jackson Turnover.,57,57
2:54,258,Isaiah Wilkins missed Jumper.,57,57
2:54,194,C.J. Jackson Defensive Rebound.,57,57
2:23,194,JaQuan Lyle Turnover.,57,57
2:23,258,Marial Shayok Steal.,57,57
2:07,258,Marial Shayok made Layup.,57,59
1:49,194,Ohio State  Timeout,57,59
1:31,194,Jae'Sean Tate missed Three Point Jumper.,57,59
1:31,258,London Perrantes Defensive Rebound.,57,59
1:27,194,Foul on Marc Loving.,57,59
1:27,258,London Perrantes made Free Throw.,57,60
1:27,258,London Perrantes made Free Throw.,57,61
1:13,194,Marc Loving made Jumper.,59,61
0:51,258,Marial Shayok missed Jumper.,59,61
0:51,194,Jae'Sean Tate Defensive Rebound.,59,61
0:22,194,Marc Loving Turnover.,59,61
0:22,258,Virginia  Timeout,59,61
0:17,258,Isaiah Wilkins made Dunk. Assisted by London Perrantes.,59,63
0:17,194,Foul on Trevor Thompson.,59,63
0:17,258,Isaiah Wilkins missed Free Throw.,59,63
0:16,194,JaQuan Lyle Defensive Rebound.,59,63
0:12,258,Foul on Marial Shayok.,59,63
0:12,194,JaQuan Lyle made Free Throw.,60,63
0:12,194,JaQuan Lyle made Free Throw.,61,63
0:11,194,Foul on Trevor Thompson.,61,63
0:11,258,Marial Shayok missed Free Throw.,61,63
0:11,258,Virginia Deadball Team Rebound.,61,63
0:11,258,Marial Shayok missed Free Throw.,61,63
0:11,194,C.J. Jackson Defensive Rebound.,61,63
0:07,194,Ohio State  Timeout,61,63
0:02,194,JaQuan Lyle missed Three Point Jumper.,61,63
0:02,258,Virginia Defensive Rebound.,61,63
0:00,258,End of Game,61,63
