Maryland-Eastern Shore,45,George Washington,2379
9:00,2379,Michael Chambers missed Three Point Jumper.,15,19
9:00,45,Tyler Cavanaugh Defensive Rebound.,15,19
8:36,45,Tyler Cavanaugh missed Layup.,15,19
8:36,2379,Tyler Jones Block.,15,19
8:34,2379,Michael Chambers Defensive Rebound.,15,19
8:14,2379,Logan McIntosh made Jumper.,17,19
7:55,2379,Foul on Tyler Jones.,17,19
7:55,45,Official TV Timeout,17,19
7:44,45,Jaren Sina missed Three Point Jumper.,17,19
7:44,45,Tyler Cavanaugh Offensive Rebound.,17,19
7:39,45,Tyler Cavanaugh missed Three Point Jumper.,17,19
7:39,2379,Bakari Copeland Defensive Rebound.,17,19
7:11,2379,Bakari Copeland missed Jumper.,17,19
7:11,2379,Derrico Peck Offensive Rebound.,17,19
6:58,2379,Logan McIntosh missed Jumper.,17,19
6:58,45,Yuta Watanabe Block.,17,19
6:54,45,Collin Smith Defensive Rebound.,17,19
6:49,45,Yuta Watanabe missed Three Point Jumper.,17,19
6:49,2379,Logan McIntosh Defensive Rebound.,17,19
6:42,2379,Logan McIntosh missed Layup.,17,19
6:42,45,Jaren Sina Defensive Rebound.,17,19
6:29,45,Jaren Sina missed Three Point Jumper.,17,19
6:29,45,Yuta Watanabe Offensive Rebound.,17,19
6:18,45,Collin Smith made Jumper. Assisted by Yuta Watanabe.,17,21
6:06,2379,Michael Chambers missed Three Point Jumper.,17,21
6:06,45,Jaren Sina Defensive Rebound.,17,21
5:48,45,Collin Smith missed Jumper.,17,21
5:48,45,Matt Hart Offensive Rebound.,17,21
5:43,2379,Foul on Michael Chambers.,17,21
5:43,45,Collin Smith made Free Throw.,17,22
5:43,45,Collin Smith missed Free Throw.,17,22
5:43,2379,Maryland-Eastern Shore Defensive Rebound.,17,22
5:22,2379,Bakari Copeland missed Jumper.,17,22
5:22,45,Tyler Cavanaugh Defensive Rebound.,17,22
5:06,45,Matt Hart missed Three Point Jumper.,17,22
5:06,2379,Ryan Andino Defensive Rebound.,17,22
4:42,2379,Ryan Andino missed Layup.,17,22
4:42,2379,Bakari Copeland Offensive Rebound.,17,22
4:36,2379,Ryan Andino missed Jumper.,17,22
4:36,45,George Washington Defensive Rebound.,17,22
4:19,45,Tyler Cavanaugh Turnover.,17,22
3:52,2379,Isaac Taylor missed Jumper.,17,22
3:52,45,Matt Hart Defensive Rebound.,17,22
3:41,45,Patrick Steeves missed Jumper.,17,22
3:41,45,Arnaldo Toro Offensive Rebound.,17,22
3:33,45,Matt Hart Turnover.,17,22
3:32,2379,Ryan Andino Steal.,17,22
3:28,2379,Ryan Andino missed Layup.,17,22
3:28,2379,Isaac Taylor Offensive Rebound.,17,22
3:22,2379,Isaac Taylor missed Layup.,17,22
3:22,45,Jordan Roland Defensive Rebound.,17,22
3:19,45,Official TV Timeout,17,22
2:56,45,Jordan Roland missed Jumper.,17,22
2:56,45,Patrick Steeves Offensive Rebound.,17,22
2:46,45,Tyler Cavanaugh made Three Point Jumper. Assisted by Jordan Roland.,17,25
2:28,45,Foul on Patrick Steeves.,17,25
2:28,2379,Bakari Copeland made Free Throw.,18,25
2:28,2379,Bakari Copeland made Free Throw.,19,25
2:03,45,Arnaldo Toro made Jumper. Assisted by Jordan Roland.,19,27
1:43,2379,Isaac Taylor missed Jumper.,19,27
1:43,45,Tyler Cavanaugh Defensive Rebound.,19,27
1:42,2379,Foul on Dontae Caldwell.,19,27
1:42,45,Tyler Cavanaugh made Free Throw.,19,28
1:42,45,Tyler Cavanaugh made Free Throw.,19,29
1:27,2379,Bakari Copeland missed Three Point Jumper.,19,29
1:27,45,Jaren Sina Defensive Rebound.,19,29
1:04,2379,Foul on Bakari Copeland.,19,29
1:04,45,Collin Smith missed Free Throw.,19,29
1:04,45,Yuta Watanabe Offensive Rebound.,19,29
0:42,45,Tyler Cavanaugh made Three Point Jumper. Assisted by Jordan Roland.,19,32
0:29,2379,Maryland-Eastern Shore  Timeout,19,32
0:06,2379,Ryan Andino made Three Point Jumper.,22,32
0:00,45,End of 1st half,22,32
19:36,2379,Ryan Andino Turnover.,22,32
19:36,45,Matt Hart Steal.,22,32
19:22,45,Tyler Cavanaugh missed Three Point Jumper.,22,32
19:22,2379,Ryan Andino Defensive Rebound.,22,32
18:54,2379,Isaac Taylor missed Jumper.,22,32
18:54,45,Tyler Cavanaugh Defensive Rebound.,22,32
18:48,2379,Foul on Thomas Rivera.,22,32
18:43,45,Jaren Sina made Three Point Jumper. Assisted by Matt Hart.,22,35
18:19,2379,Isaac Taylor missed Layup.,22,35
18:19,45,Collin Smith Defensive Rebound.,22,35
18:11,45,Jaren Sina Turnover.,22,35
18:09,2379,Ryan Andino Steal.,22,35
18:03,2379,Thomas Rivera missed Jumper.,22,35
18:03,45,Tyler Cavanaugh Defensive Rebound.,22,35
17:56,45,Matt Hart made Jumper. Assisted by Jaren Sina.,22,37
17:44,2379,Maryland-Eastern Shore  Timeout,22,37
17:44,45,Official TV Timeout,22,37
17:28,2379,Thomas Rivera made Jumper.,24,37
17:15,45,Jaren Sina missed Jumper.,24,37
17:15,45,Yuta Watanabe Offensive Rebound.,24,37
17:08,45,Tyler Cavanaugh made Three Point Jumper. Assisted by Matt Hart.,24,40
16:40,2379,Thomas Rivera Turnover.,24,40
16:29,45,Jaren Sina made Three Point Jumper. Assisted by Tyler Cavanaugh.,24,43
16:12,45,Foul on Jordan Roland.,24,43
15:52,2379,Ryan Andino missed Layup.,24,43
15:52,2379,Maryland-Eastern Shore Offensive Rebound.,24,43
15:52,45,Official TV Timeout,24,43
15:49,2379,Derrico Peck made Layup. Assisted by Bakari Copeland.,26,43
15:40,45,Jaren Sina Turnover.,26,43
15:39,2379,Thomas Rivera Steal.,26,43
15:39,45,Foul on Jaren Sina.,26,43
15:39,2379,Thomas Rivera made Free Throw.,27,43
15:39,2379,Thomas Rivera made Free Throw.,28,43
15:23,2379,Foul on Derrico Peck.,28,43
15:23,45,Jordan Roland missed Free Throw.,28,43
15:23,45,George Washington Deadball Team Rebound.,28,43
15:23,45,Jordan Roland made Free Throw.,28,44
15:06,2379,Ryan Andino missed Three Point Jumper.,28,44
15:06,2379,Michael Chambers Offensive Rebound.,28,44
14:53,2379,Bakari Copeland made Three Point Jumper. Assisted by Michael Chambers.,31,44
14:26,45,Kevin Marfo Turnover.,31,44
14:18,2379,Bakari Copeland missed Jumper.,31,44
14:18,2379,Deven Dorsett Offensive Rebound.,31,44
14:15,2379,Deven Dorsett missed Two Point Tip Shot.,31,44
14:15,45,Arnaldo Toro Defensive Rebound.,31,44
13:58,45,Tyler Cavanaugh made Layup. Assisted by Matt Hart.,31,46
13:58,2379,Foul on Michael Chambers.,31,46
13:58,45,Tyler Cavanaugh made Free Throw.,31,47
13:29,2379,Derrico Peck Turnover.,31,47
13:20,2379,Foul on Derrico Peck.,31,47
13:06,45,Jair Bolden Turnover.,31,47
13:05,2379,Derrico Peck Steal.,31,47
13:02,2379,Derrico Peck missed Jumper.,31,47
13:02,45,Jair Bolden Block.,31,47
13:00,45,Jair Bolden Defensive Rebound.,31,47
12:56,45,Tyler Cavanaugh made Layup. Assisted by Jair Bolden.,31,49
12:33,2379,Logan McIntosh made Jumper.,33,49
12:22,45,Tyler Cavanaugh missed Three Point Jumper.,33,49
12:22,2379,Tyler Jones Defensive Rebound.,33,49
11:57,2379,Logan McIntosh missed Jumper.,33,49
11:57,45,Yuta Watanabe Defensive Rebound.,33,49
11:39,45,Jair Bolden missed Three Point Jumper.,33,49
11:39,2379,Derrico Peck Defensive Rebound.,33,49
11:31,2379,Ryan Andino missed Three Point Jumper.,33,49
11:31,45,Collin Smith Defensive Rebound.,33,49
11:21,2379,Foul on Derrico Peck.,33,49
11:21,45,Official TV Timeout,33,49
11:21,45,Jair Bolden made Free Throw.,33,50
11:21,45,Jair Bolden made Free Throw.,33,51
11:01,2379,Bakari Copeland missed Jumper.,33,51
11:01,2379,Michael Chambers Offensive Rebound.,33,51
11:00,45,Foul on Tyler Cavanaugh.,33,51
11:00,2379,Michael Chambers missed Free Throw.,33,51
11:00,2379,Maryland-Eastern Shore Deadball Team Rebound.,33,51
11:00,2379,Michael Chambers made Free Throw.,34,51
10:57,45,Tyler Cavanaugh Turnover.,34,51
10:57,2379,Logan McIntosh Steal.,34,51
10:57,45,Foul on Tyler Cavanaugh.,34,51
10:43,2379,Michael Chambers made Three Point Jumper. Assisted by Bakari Copeland.,37,51
10:20,2379,Foul on Logan McIntosh.,37,51
10:20,45,Arnaldo Toro made Free Throw.,37,52
10:20,45,Arnaldo Toro made Free Throw.,37,53
9:59,2379,Bakari Copeland made Jumper.,39,53
9:42,45,Tyler Cavanaugh Turnover.,39,53
9:41,2379,Tyler Jones Steal.,39,53
9:33,2379,Dontae Caldwell missed Three Point Jumper.,39,53
9:33,2379,Bakari Copeland Offensive Rebound.,39,53
9:29,2379,Bakari Copeland made Layup.,41,53
9:28,45,George Washington  Timeout,41,53
9:15,45,Patrick Steeves missed Three Point Jumper.,41,53
9:15,45,Arnaldo Toro Offensive Rebound.,41,53
9:10,45,Arnaldo Toro Turnover.,41,53
9:08,2379,Logan McIntosh Steal.,41,53
9:06,2379,Dontae Caldwell made Dunk. Assisted by Michael Chambers.,43,53
8:40,45,Jaren Sina Turnover.,43,53
8:22,2379,Bakari Copeland made Three Point Jumper.,46,53
8:08,2379,Foul on Bakari Copeland.,46,53
8:08,45,Tyler Cavanaugh made Free Throw.,46,54
8:08,45,Tyler Cavanaugh made Free Throw.,46,55
7:50,45,Foul on Tyler Cavanaugh.,46,55
7:50,45,Official TV Timeout,46,55
7:36,45,Foul on Jaren Sina.,46,55
7:36,2379,Bakari Copeland made Free Throw.,47,55
7:36,2379,Bakari Copeland made Free Throw.,48,55
7:08,45,Matt Hart missed Jumper.,48,55
7:08,2379,Michael Chambers Defensive Rebound.,48,55
6:47,2379,Bakari Copeland missed Jumper.,48,55
6:47,45,George Washington Defensive Rebound.,48,55
6:41,45,Yuta Watanabe Turnover.,48,55
6:40,2379,Derrico Peck Steal.,48,55
6:38,2379,Derrico Peck made Dunk.,50,55
6:25,2379,Foul on Dontae Caldwell.,50,55
6:25,45,Tyler Cavanaugh made Free Throw.,50,56
6:25,45,Tyler Cavanaugh made Free Throw.,50,57
6:13,2379,Logan McIntosh missed Jumper.,50,57
6:13,2379,Derrico Peck Offensive Rebound.,50,57
6:08,2379,Derrico Peck made Dunk.,52,57
6:02,2379,Foul on Bakari Copeland.,52,57
6:02,45,Yuta Watanabe made Free Throw.,52,58
6:02,45,Yuta Watanabe made Free Throw.,52,59
5:49,45,Foul on Yuta Watanabe.,52,59
5:49,2379,Bakari Copeland made Free Throw.,53,59
5:49,2379,Bakari Copeland made Free Throw.,54,59
5:27,2379,Foul on Derrico Peck.,54,59
5:27,45,Matt Hart made Free Throw.,54,60
5:27,45,Matt Hart made Free Throw.,54,61
5:10,2379,Bakari Copeland missed Jumper.,54,61
5:10,45,Collin Smith Defensive Rebound.,54,61
4:58,2379,Foul on Bakari Copeland.,54,61
4:58,45,Tyler Cavanaugh made Free Throw.,54,62
4:58,45,Tyler Cavanaugh made Free Throw.,54,63
4:41,2379,Thomas Rivera missed Three Point Jumper.,54,63
4:41,45,Yuta Watanabe Defensive Rebound.,54,63
4:37,2379,Foul on Thomas Rivera.,54,63
4:37,45,Yuta Watanabe made Free Throw.,54,64
4:37,45,Yuta Watanabe made Free Throw.,54,65
4:23,45,Foul on Collin Smith.,54,65
4:23,2379,Thomas Rivera missed Free Throw.,54,65
4:23,2379,Maryland-Eastern Shore Deadball Team Rebound.,54,65
4:23,2379,Thomas Rivera made Free Throw.,55,65
4:16,45,Patrick Steeves made Dunk. Assisted by Jaren Sina.,55,67
4:09,2379,Thomas Rivera missed Layup.,55,67
4:09,2379,Thomas Rivera Offensive Rebound.,55,67
3:54,2379,Michael Chambers made Layup.,57,67
3:18,45,Patrick Steeves made Jumper.,57,69
3:02,2379,Michael Chambers Turnover.,57,69
3:01,45,Arnaldo Toro Steal.,57,69
2:59,45,Jaren Sina missed Layup.,57,69
2:59,2379,Thomas Rivera Defensive Rebound.,57,69
2:53,2379,Ryan Andino missed Three Point Jumper.,57,69
2:53,2379,Thomas Rivera Offensive Rebound.,57,69
2:47,45,Official TV Timeout,57,69
2:36,2379,Deven Dorsett missed Three Point Jumper.,57,69
2:36,2379,Ryan Andino Offensive Rebound.,57,69
2:28,2379,Ryan Andino made Layup.,59,69
2:27,2379,Maryland-Eastern Shore  Timeout,59,69
2:27,45,George Washington  Turnover.,59,69
2:24,2379,Tyler Jones made Three Point Jumper. Assisted by Logan McIntosh.,62,69
2:13,2379,Foul on Logan McIntosh.,62,69
2:13,45,Jaren Sina made Free Throw.,62,70
2:13,45,Jaren Sina made Free Throw.,62,71
2:05,2379,Logan McIntosh made Layup.,64,71
1:56,45,Jaren Sina Turnover.,64,71
1:55,2379,Logan McIntosh Steal.,64,71
1:52,2379,Logan McIntosh missed Layup.,64,71
1:52,45,Yuta Watanabe Block.,64,71
1:51,2379,Maryland-Eastern Shore Offensive Rebound.,64,71
1:34,2379,Logan McIntosh missed Jumper.,64,71
1:34,45,Collin Smith Defensive Rebound.,64,71
1:29,45,Collin Smith Turnover.,64,71
1:28,2379,Dontae Caldwell Steal.,64,71
1:26,2379,Ryan Andino made Three Point Jumper. Assisted by Dontae Caldwell.,67,71
1:25,2379,Maryland-Eastern Shore  Timeout,67,71
1:20,45,Matt Hart Turnover.,67,71
1:11,2379,Tyler Jones missed Three Point Jumper.,67,71
1:11,45,Tyler Cavanaugh Defensive Rebound.,67,71
0:41,45,Jaren Sina missed Jumper.,67,71
0:41,45,Tyler Cavanaugh Offensive Rebound.,67,71
0:37,45,George Washington  Timeout,67,71
0:33,45,Tyler Cavanaugh missed Jumper.,67,71
0:33,2379,Dontae Caldwell Defensive Rebound.,67,71
0:27,2379,Logan McIntosh Turnover.,67,71
0:23,2379,Foul on Michael Chambers.,67,71
0:23,45,Yuta Watanabe made Free Throw.,67,72
0:23,45,Yuta Watanabe made Free Throw.,67,73
0:15,2379,Dontae Caldwell made Layup. Assisted by Thomas Rivera.,69,73
0:11,2379,Foul on Ryan Andino.,69,73
0:11,45,Yuta Watanabe missed Free Throw.,69,73
0:11,45,George Washington Deadball Team Rebound.,69,73
0:11,45,Yuta Watanabe made Free Throw.,69,74
0:05,2379,Thomas Rivera made Layup.,71,74
0:04,2379,Foul on Dontae Caldwell.,71,74
0:04,45,Yuta Watanabe made Free Throw.,71,75
0:04,45,Yuta Watanabe missed Free Throw.,71,75
0:04,45,George Washington Deadball Team Rebound.,71,75
0:04,2379,Dontae Caldwell Turnover.,71,75
0:00,45,End of Game,71,75
