Army,2483,Oregon,349
18:28,349,Kennedy Edwards made Three Point Jumper. Assisted by Thomas Funk.,36,51
18:09,349,Foul on Thomas Funk.,36,51
18:05,2483,Jordan Bell Turnover.,36,51
18:05,349,Jacob Kessler Steal.,36,51
17:54,349,Jacob Kessler missed Jumper.,36,51
17:54,349,Mac Hoffman Offensive Rebound.,36,51
17:47,349,Jordan Fox missed Three Point Jumper.,36,51
17:47,2483,Jordan Bell Defensive Rebound.,36,51
17:31,2483,Tyler Dorsey made Layup.,36,53
17:14,349,Mac Hoffman missed Layup.,36,53
17:14,349,Army Deadball Team Rebound.,36,53
17:14,2483,Foul on Chris Boucher.,36,53
17:14,349,Mac Hoffman missed Free Throw.,36,53
17:14,349,Army Deadball Team Rebound.,36,53
17:14,349,Mac Hoffman made Free Throw.,37,53
16:56,2483,Dylan Ennis missed Three Point Jumper.,37,53
16:56,2483,Oregon Deadball Team Rebound.,37,53
16:56,349,Foul on Mac Hoffman.,37,53
16:56,2483,Roman Sorkin Turnover.,37,53
16:56,2483,Foul on Roman Sorkin.,37,53
16:43,349,Luke Morrison made Three Point Jumper. Assisted by Jordan Fox.,40,53
16:17,2483,Tyler Dorsey Turnover.,40,53
16:09,349,Richard Brown Turnover.,40,53
16:02,2483,Dylan Ennis missed Layup.,40,53
16:02,349,Richard Brown Defensive Rebound.,40,53
15:56,349,Jordan Fox made Three Point Jumper. Assisted by Richard Brown.,43,53
15:48,349,Foul on Richard Brown.,43,53
15:48,2483,Official TV Timeout,43,53
15:48,2483,Jordan Bell missed Free Throw.,43,53
15:48,2483,Oregon Deadball Team Rebound.,43,53
15:48,2483,Jordan Bell made Free Throw.,43,54
15:35,349,Luke Morrison missed Three Point Jumper.,43,54
15:35,2483,Jordan Bell Block.,43,54
15:35,2483,Roman Sorkin Defensive Rebound.,43,54
15:27,2483,Roman Sorkin made Three Point Jumper.,43,57
15:12,349,Matthew Wilson made Layup.,45,57
14:56,349,Foul on Thomas Funk.,45,57
14:51,2483,Tyler Dorsey made Jumper.,45,59
14:30,349,Kennedy Edwards Turnover.,45,59
14:15,2483,Tyler Dorsey made Three Point Jumper. Assisted by Payton Pritchard.,45,62
14:05,349,Adam Roe made Three Point Jumper. Assisted by Jordan Fox.,48,62
13:32,2483,Payton Pritchard missed Three Point Jumper.,48,62
13:32,2483,Payton Pritchard Offensive Rebound.,48,62
13:25,2483,Roman Sorkin made Layup. Assisted by Payton Pritchard.,48,64
13:10,349,Kennedy Edwards missed Jumper.,48,64
13:10,2483,Jordan Bell Block.,48,64
13:10,349,Army Offensive Rebound.,48,64
13:02,349,John Emezie made Three Point Jumper. Assisted by Thomas Funk.,51,64
12:42,2483,Payton Pritchard Turnover.,51,64
12:38,349,Mac Hoffman Turnover.,51,64
12:38,349,Foul on Mac Hoffman.,51,64
12:21,2483,Payton Pritchard Turnover.,51,64
12:21,349,Kennedy Edwards Steal.,51,64
12:03,2483,Foul on Payton Pritchard.,51,64
12:03,349,Thomas Funk made Free Throw.,52,64
12:03,349,Thomas Funk missed Free Throw.,52,64
12:03,2483,Chris Boucher Defensive Rebound.,52,64
11:46,2483,Payton Pritchard made Three Point Jumper. Assisted by Dylan Ennis.,52,67
11:34,349,Adam Roe made Three Point Jumper. Assisted by Thomas Funk.,55,67
11:07,349,Foul on Adam Roe.,55,67
11:07,2483,Official TV Timeout,55,67
10:45,2483,Foul on Kavell Bigby-Williams.,55,67
10:45,2483,Kavell Bigby-Williams Turnover.,55,67
10:31,349,John Emezie missed Layup.,55,67
10:31,349,Matthew Wilson Offensive Rebound.,55,67
10:31,349,Matthew Wilson made Two Point Tip Shot.,57,67
10:15,2483,Dylan Ennis missed Jumper.,57,67
10:15,2483,Chris Boucher Offensive Rebound.,57,67
10:15,2483,Chris Boucher made Two Point Tip Shot.,57,69
9:47,2483,Foul on Chris Boucher.,57,69
9:47,2483,Foul on Roman Sorkin.,57,69
9:45,349,Kennedy Edwards made Jumper.,59,69
9:21,2483,Casey Benson made Layup.,59,71
9:05,349,Jacob Kessler missed Jumper.,59,71
9:05,2483,Roman Sorkin Block.,59,71
9:05,2483,Jordan Bell Defensive Rebound.,59,71
8:57,2483,Jordan Bell made Dunk. Assisted by Casey Benson.,59,73
8:47,349,Thomas Funk missed Layup.,59,73
8:47,2483,Roman Sorkin Block.,59,73
8:47,2483,Dylan Ennis Defensive Rebound.,59,73
8:36,2483,Jordan Bell missed Three Point Jumper.,59,73
8:36,349,Mac Hoffman Defensive Rebound.,59,73
8:25,2483,Foul on Roman Sorkin.,59,73
8:25,349,Kennedy Edwards missed Free Throw.,59,73
8:25,349,Army Deadball Team Rebound.,59,73
8:25,349,Kennedy Edwards made Free Throw.,60,73
8:15,2483,Jordan Bell Turnover.,60,73
8:08,349,Luke Morrison made Layup.,62,73
7:47,2483,Casey Benson missed Jumper.,62,73
7:47,349,Luke Morrison Defensive Rebound.,62,73
7:25,349,Luke Morrison missed Jumper.,62,73
7:25,2483,Dylan Ennis Defensive Rebound.,62,73
7:19,2483,Payton Pritchard Turnover.,62,73
7:19,349,Jacob Kessler Steal.,62,73
7:14,349,Mac Hoffman made Layup. Assisted by Thomas Funk.,64,73
6:47,349,Foul on Jacob Kessler.,64,73
6:47,2483,Official TV Timeout,64,73
6:47,2483,Casey Benson made Free Throw.,64,74
6:47,2483,Casey Benson made Free Throw.,64,75
6:33,349,Thomas Funk missed Jumper.,64,75
6:33,2483,Payton Pritchard Block.,64,75
6:33,2483,Dylan Ennis Defensive Rebound.,64,75
6:25,2483,Payton Pritchard made Layup. Assisted by Tyler Dorsey.,64,77
6:11,349,Kennedy Edwards made Jumper.,66,77
5:51,2483,Tyler Dorsey missed Jumper.,66,77
5:51,349,Kennedy Edwards Defensive Rebound.,66,77
5:43,2483,Foul on Dylan Ennis.,66,77
5:43,349,Kennedy Edwards made Free Throw.,67,77
5:43,349,Kennedy Edwards made Free Throw.,68,77
5:26,349,Foul on Thomas Funk.,68,77
5:26,2483,Payton Pritchard made Free Throw.,68,78
5:26,2483,Payton Pritchard made Free Throw.,68,79
5:26,2483,Payton Pritchard missed Free Throw.,68,79
5:26,349,Mac Hoffman Defensive Rebound.,68,79
5:10,349,Kennedy Edwards missed Three Point Jumper.,68,79
5:10,2483,Chris Boucher Defensive Rebound.,68,79
4:45,349,Foul on Jacob Kessler.,68,79
4:45,2483,Chris Boucher made Free Throw.,68,80
4:45,2483,Chris Boucher made Free Throw.,68,81
4:40,2483,Foul on Chris Boucher.,68,81
4:40,349,Kennedy Edwards made Free Throw.,69,81
4:40,349,Kennedy Edwards made Free Throw.,70,81
4:22,2483,Dylan Ennis missed Three Point Jumper.,70,81
4:22,2483,Jordan Bell Offensive Rebound.,70,81
3:55,2483,Payton Pritchard missed Jumper.,70,81
3:55,349,Jordan Fox Defensive Rebound.,70,81
3:48,349,Jacob Kessler missed Layup.,70,81
3:48,2483,Payton Pritchard Block.,70,81
3:48,2483,Roman Sorkin Defensive Rebound.,70,81
3:42,2483,Jump Ball won by Oregon,70,81
3:42,2483,Official TV Timeout,70,81
3:31,349,Foul on Mac Hoffman.,70,81
3:31,2483,Jordan Bell missed Free Throw.,70,81
3:31,2483,Oregon Deadball Team Rebound.,70,81
3:31,2483,Jordan Bell missed Free Throw.,70,81
3:31,2483,Jordan Bell Offensive Rebound.,70,81
3:29,349,Foul on Thomas Funk.,70,81
3:29,2483,Jordan Bell made Free Throw.,70,82
3:29,2483,Jordan Bell made Free Throw.,70,83
3:08,349,Kennedy Edwards missed Jumper.,70,83
3:08,2483,Jordan Bell Block.,70,83
3:08,349,Kennedy Edwards Offensive Rebound.,70,83
3:08,349,Matthew Wilson missed Layup.,70,83
3:08,2483,Roman Sorkin Block.,70,83
3:08,349,Army Offensive Rebound.,70,83
2:58,349,Kennedy Edwards Turnover.,70,83
2:46,349,Foul on John Emezie.,70,83
2:46,2483,Payton Pritchard missed Free Throw.,70,83
2:46,2483,Oregon Deadball Team Rebound.,70,83
2:46,2483,Payton Pritchard made Free Throw.,70,84
2:36,349,Kennedy Edwards made Three Point Jumper. Assisted by Jordan Fox.,73,84
2:06,349,Foul on Matthew Wilson.,73,84
2:06,2483,Jordan Bell made Free Throw.,73,85
2:06,2483,Jordan Bell made Free Throw.,73,86
2:03,349,Matthew Wilson missed Layup.,73,86
2:03,2483,Roman Sorkin Defensive Rebound.,73,86
1:47,2483,Tyler Dorsey made Three Point Jumper. Assisted by Roman Sorkin.,73,89
1:31,349,Jordan Fox made Jumper.,75,89
0:58,349,Foul on Kennedy Edwards.,75,89
0:58,2483,Payton Pritchard made Free Throw.,75,90
0:58,2483,Payton Pritchard made Free Throw.,75,91
0:51,349,Matthew Wilson Turnover.,75,91
0:51,349,Foul on Matthew Wilson.,75,91
0:39,2483,Payton Pritchard Turnover.,75,91
0:39,2483,Foul on Payton Pritchard.,75,91
0:26,349,Thomas Funk missed Jumper.,75,91
0:26,349,Matthew Wilson Offensive Rebound.,75,91
0:26,349,Matthew Wilson made Two Point Tip Shot.,77,91
0:26,349,Army  Timeout,77,91
0:00,2483,End of Game,77,91
