South Alabama,2439,UNLV,6
13:22,6,Foul on Georgi Boyanov.,12,16
13:02,2439,Jalen Poyser Turnover.,12,16
12:52,6,Ken Williams missed Three Point Jumper.,12,16
12:52,6,Don MuepoKelly Offensive Rebound.,12,16
12:45,6,Don MuepoKelly missed Layup.,12,16
12:45,2439,Kris Clyburn Defensive Rebound.,12,16
12:32,2439,Kris Clyburn missed Three Point Jumper.,12,16
12:32,6,Ken Williams Defensive Rebound.,12,16
12:24,6,Nick Stover made Jumper. Assisted by Herb McGee.,14,16
11:52,2439,Christian Jones made Layup. Assisted by Jovan Mooring.,14,18
11:38,6,Herb McGee missed Three Point Jumper.,14,18
11:38,2439,Christian Jones Defensive Rebound.,14,18
11:31,2439,Jovan Mooring missed Three Point Jumper.,14,18
11:31,6,Herb McGee Defensive Rebound.,14,18
11:18,6,Nick Stover missed Jumper.,14,18
11:18,6,Don MuepoKelly Offensive Rebound.,14,18
11:16,6,Don MuepoKelly missed Two Point Tip Shot.,14,18
11:16,2439,UNLV Defensive Rebound.,14,18
11:13,2439,Official TV Timeout,14,18
11:02,2439,Tyrell Green Turnover.,14,18
11:01,6,Don MuepoKelly Steal.,14,18
10:53,6,Don MuepoKelly missed Layup.,14,18
10:53,2439,Christian Jones Block.,14,18
10:52,2439,Uche Ofoegbu Defensive Rebound.,14,18
10:44,2439,Uche Ofoegbu missed Layup.,14,18
10:44,6,Shaq Calhoun Defensive Rebound.,14,18
10:38,6,Nick Stover made Layup. Assisted by Shaq Calhoun.,16,18
10:10,2439,Tyrell Green missed Jumper.,16,18
10:10,6,Nick Davis Defensive Rebound.,16,18
9:59,6,Nick Stover missed Three Point Jumper.,16,18
9:59,2439,Uche Ofoegbu Defensive Rebound.,16,18
9:43,2439,Kris Clyburn Turnover.,16,18
9:42,6,Don MuepoKelly Steal.,16,18
9:41,6,Nick Davis made Layup. Assisted by Don MuepoKelly.,18,18
9:19,6,Foul on Herb McGee.,18,18
9:04,2439,Christian Jones Turnover.,18,18
9:04,2439,Foul on Christian Jones.,18,18
8:50,6,Ken Williams made Three Point Jumper.,21,18
8:35,2439,Uche Ofoegbu missed Three Point Jumper.,21,18
8:35,6,South Alabama Defensive Rebound.,21,18
8:24,2439,Foul on Zion Morgan.,21,18
8:19,6,Ken Williams made Jumper.,23,18
8:00,6,Foul on Kevin Morris.,23,18
8:00,2439,Jalen Poyser missed Free Throw.,23,18
8:00,2439,UNLV Deadball Team Rebound.,23,18
8:00,2439,Jalen Poyser missed Free Throw.,23,18
8:00,2439,Christian Jones Offensive Rebound.,23,18
7:54,6,Foul on Kevin Morris.,23,18
7:54,2439,Official TV Timeout,23,18
7:54,2439,Kris Clyburn made Free Throw.,23,19
7:54,2439,Kris Clyburn made Free Throw.,23,20
7:45,6,Ken Williams missed Three Point Jumper.,23,20
7:45,6,Ken Williams Offensive Rebound.,23,20
7:27,6,Shaq Calhoun missed Jumper.,23,20
7:27,2439,Christian Jones Defensive Rebound.,23,20
7:11,2439,Christian Jones made Layup. Assisted by Zion Morgan.,23,22
7:11,6,Foul on Shaq Calhoun.,23,22
7:11,2439,Christian Jones missed Free Throw.,23,22
7:11,6,Ken Williams Defensive Rebound.,23,22
6:46,6,Nick Davis Turnover.,23,22
6:46,6,Foul on Nick Davis.,23,22
6:29,2439,Christian Jones missed Jumper.,23,22
6:29,6,South Alabama Defensive Rebound.,23,22
6:01,6,Nick Stover made Three Point Jumper. Assisted by Dederick Lee.,26,22
5:48,2439,Troy Baxter Jr. missed Three Point Jumper.,26,22
5:48,6,Nick Stover Defensive Rebound.,26,22
5:41,6,Ken Williams missed Three Point Jumper.,26,22
5:41,2439,UNLV Defensive Rebound.,26,22
5:23,2439,Christian Jones missed Layup.,26,22
5:23,6,Nick Davis Block.,26,22
5:23,2439,Christian Jones Offensive Rebound.,26,22
5:16,2439,Jalen Poyser missed Layup.,26,22
5:16,6,Don MuepoKelly Block.,26,22
5:16,2439,Uche Ofoegbu Offensive Rebound.,26,22
5:16,2439,Uche Ofoegbu missed Two Point Tip Shot.,26,22
5:16,2439,Kris Clyburn Offensive Rebound.,26,22
5:16,2439,Kris Clyburn made Layup.,26,24
5:07,6,Nick Stover made Three Point Jumper.,29,24
4:18,2439,Jalen Poyser missed Jumper.,29,24
4:18,2439,Troy Baxter Jr. Offensive Rebound.,29,24
4:15,6,Foul on Nick Davis.,29,24
4:15,2439,Troy Baxter Jr. missed Free Throw.,29,24
4:15,2439,UNLV Deadball Team Rebound.,29,24
4:15,2439,Troy Baxter Jr. made Free Throw.,29,25
4:06,6,Nick Stover missed Three Point Jumper.,29,25
4:06,2439,Kris Clyburn Defensive Rebound.,29,25
3:58,2439,Jalen Poyser missed Layup.,29,25
3:58,6,Don MuepoKelly Block.,29,25
3:56,6,Nick Stover Defensive Rebound.,29,25
3:53,6,Don MuepoKelly made Dunk. Assisted by Nick Stover.,31,25
3:39,6,Foul on Nick Stover.,31,25
3:39,2439,Official TV Timeout,31,25
3:39,2439,Kris Clyburn made Free Throw.,31,26
3:39,2439,Kris Clyburn missed Free Throw.,31,26
3:39,6,Nick Stover Defensive Rebound.,31,26
3:19,6,Ken Williams made Jumper.,33,26
3:05,2439,Jalen Poyser missed Three Point Jumper.,33,26
3:05,6,Georgi Boyanov Defensive Rebound.,33,26
2:36,6,Don MuepoKelly missed Layup.,33,26
2:36,6,Don MuepoKelly Offensive Rebound.,33,26
2:35,2439,Foul on Tyrell Green.,33,26
2:34,6,Ken Williams missed Layup.,33,26
2:34,2439,Jalen Poyser Defensive Rebound.,33,26
2:27,2439,Kris Clyburn missed Layup.,33,26
2:27,2439,Troy Baxter Jr. Offensive Rebound.,33,26
2:24,2439,Troy Baxter Jr. missed Layup.,33,26
2:24,6,Ken Williams Block.,33,26
2:24,2439,UNLV Offensive Rebound.,33,26
2:20,2439,Christian Jones made Layup. Assisted by Troy Baxter Jr..,33,28
1:53,2439,Foul on Uche Ofoegbu.,33,28
1:51,6,Georgi Boyanov missed Layup.,33,28
1:51,2439,Troy Baxter Jr. Block.,33,28
1:50,2439,Jalen Poyser Defensive Rebound.,33,28
1:41,2439,Troy Baxter Jr. Turnover.,33,28
1:41,2439,Foul on Troy Baxter Jr..,33,28
1:30,6,Kevin Morris missed Layup.,33,28
1:30,2439,Jalen Poyser Defensive Rebound.,33,28
1:03,6,Foul on Herb McGee.,33,28
1:03,2439,Uche Ofoegbu made Free Throw.,33,29
1:03,2439,Uche Ofoegbu made Free Throw.,33,30
0:45,6,Kevin Morris missed Dunk.,33,30
0:45,2439,Djordjije Sljivancanin Block.,33,30
0:44,2439,Uche Ofoegbu Defensive Rebound.,33,30
0:40,2439,Djordjije Sljivancanin Turnover.,33,30
0:31,2439,Foul on Uche Ofoegbu.,33,30
0:31,6,Ken Williams made Free Throw.,34,30
0:31,6,Ken Williams missed Free Throw.,34,30
0:31,2439,Kris Clyburn Defensive Rebound.,34,30
0:00,2439,Jalen Poyser missed Jumper.,34,30
0:00,6,Herb McGee Defensive Rebound.,34,30
0:00,2439,End of 1st half,34,30
19:47,6,Josh Ajayi made Layup.,36,30
19:27,2439,Tyrell Green missed Jumper.,36,30
19:27,2439,UNLV Offensive Rebound.,36,30
19:12,2439,Uche Ofoegbu missed Jumper.,36,30
19:12,6,Shaq Calhoun Defensive Rebound.,36,30
18:57,6,Shaq Calhoun missed Layup.,36,30
18:57,2439,Uche Ofoegbu Defensive Rebound.,36,30
18:50,6,Foul on Josh Ajayi.,36,30
18:36,2439,Kris Clyburn missed Layup.,36,30
18:36,6,Josh Ajayi Defensive Rebound.,36,30
18:22,6,Dederick Lee missed Three Point Jumper.,36,30
18:22,2439,Christian Jones Defensive Rebound.,36,30
18:20,6,Foul on Don MuepoKelly.,36,30
18:04,2439,Christian Jones made Jumper.,36,32
17:40,6,Shaq Calhoun missed Three Point Jumper.,36,32
17:40,6,South Alabama Offensive Rebound.,36,32
17:27,6,Josh Ajayi Turnover.,36,32
17:27,6,Foul on Josh Ajayi.,36,32
17:15,2439,Jalen Poyser made Jumper.,36,34
17:01,6,Don MuepoKelly missed Layup.,36,34
17:01,6,Don MuepoKelly Offensive Rebound.,36,34
16:59,6,Don MuepoKelly made Layup.,38,34
16:44,2439,Jalen Poyser Turnover.,38,34
16:44,2439,Foul on Jalen Poyser.,38,34
16:32,6,Nick Stover missed Three Point Jumper.,38,34
16:32,2439,Christian Jones Defensive Rebound.,38,34
16:20,2439,Tyrell Green Turnover.,38,34
16:20,2439,Foul on Tyrell Green.,38,34
16:10,6,Ken Williams made Jumper. Assisted by Nick Stover.,40,34
15:58,6,Foul on Dederick Lee.,40,34
15:58,2439,Official TV Timeout,40,34
15:37,2439,Jovan Mooring made Jumper. Assisted by Christian Jones.,40,36
15:14,6,Nick Stover Turnover.,40,36
15:13,2439,Kris Clyburn Steal.,40,36
15:12,6,Foul on Ken Williams.,40,36
15:12,2439,Kris Clyburn made Free Throw.,40,37
15:12,2439,Kris Clyburn made Free Throw.,40,38
14:58,2439,Christian Jones missed Jumper.,40,38
14:58,6,Herb McGee Defensive Rebound.,40,38
14:56,2439,Foul on Troy Baxter Jr..,40,38
14:36,6,Shaq Calhoun made Three Point Jumper.,43,38
14:20,2439,Christian Jones made Jumper. Assisted by Kris Clyburn.,43,40
14:00,6,Georgi Boyanov missed Layup.,43,40
14:00,2439,Jovan Mooring Defensive Rebound.,43,40
13:59,6,Foul on Georgi Boyanov.,43,40
13:49,6,Foul on Shaq Calhoun.,43,40
13:49,2439,Jalen Poyser made Free Throw.,43,41
13:49,2439,Jalen Poyser made Free Throw.,43,42
13:32,6,Herb McGee missed Three Point Jumper.,43,42
13:32,6,Shaq Calhoun Offensive Rebound.,43,42
13:30,6,Shaq Calhoun made Layup.,45,42
13:30,6,South Alabama  Timeout,45,42
13:11,6,Foul on Kevin Morris.,45,42
13:11,2439,Christian Jones missed Free Throw.,45,42
13:11,2439,UNLV Deadball Team Rebound.,45,42
13:11,2439,Christian Jones missed Free Throw.,45,42
13:11,6,Georgi Boyanov Defensive Rebound.,45,42
12:54,2439,Foul on Troy Baxter Jr..,45,42
12:51,6,Shaq Calhoun made Three Point Jumper. Assisted by Nick Stover.,48,42
12:26,6,Foul on Shaq Calhoun.,48,42
12:26,2439,Jalen Poyser made Free Throw.,48,43
12:26,2439,Jalen Poyser made Free Throw.,48,44
12:11,2439,Foul on Jovan Mooring.,48,44
12:03,6,Nick Stover Turnover.,48,44
12:02,2439,Troy Baxter Jr. Steal.,48,44
11:49,2439,Christian Jones made Jumper. Assisted by Jovan Mooring.,48,46
11:35,6,Herb McGee missed Three Point Jumper.,48,46
11:35,2439,Jalen Poyser Defensive Rebound.,48,46
11:27,2439,Jovan Mooring Turnover.,48,46
11:27,2439,Official TV Timeout,48,46
11:27,6,Georgi Boyanov made Layup. Assisted by Dederick Lee.,50,46
11:27,2439,Jovan Mooring Turnover.,50,46
11:27,6,Dederick Lee Steal.,50,46
11:26,6,Nick Stover missed Jumper.,50,46
11:26,2439,Jovan Mooring Defensive Rebound.,50,46
11:18,2439,Jovan Mooring Turnover.,50,46
11:17,6,Ken Williams missed Three Point Jumper.,50,46
11:17,6,Georgi Boyanov Offensive Rebound.,50,46
10:05,2439,Foul on Christian Jones.,50,46
10:03,6,Ken Williams made Jumper. Assisted by Nick Stover.,52,46
9:50,2439,Tyrell Green missed Three Point Jumper.,52,46
9:50,6,Dederick Lee Defensive Rebound.,52,46
9:42,6,Ken Williams missed Three Point Jumper.,52,46
9:42,2439,Christian Jones Defensive Rebound.,52,46
9:35,2439,Tyrell Green made Dunk. Assisted by Kris Clyburn.,52,48
9:11,6,Georgi Boyanov made Three Point Jumper. Assisted by Ken Williams.,55,48
8:57,6,Foul on Nick Stover.,55,48
8:57,2439,Kris Clyburn made Free Throw.,55,49
8:57,2439,Kris Clyburn missed Free Throw.,55,49
8:57,6,Georgi Boyanov Defensive Rebound.,55,49
8:34,6,Dederick Lee missed Three Point Jumper.,55,49
8:34,2439,Kris Clyburn Defensive Rebound.,55,49
8:28,2439,Kris Clyburn missed Layup.,55,49
8:28,2439,Jalen Poyser Offensive Rebound.,55,49
8:26,2439,Jalen Poyser made Two Point Tip Shot.,55,51
8:11,6,Don MuepoKelly Turnover.,55,51
8:11,6,Foul on Don MuepoKelly.,55,51
8:00,2439,Jovan Mooring Turnover.,55,51
7:59,6,Georgi Boyanov Steal.,55,51
7:54,6,Trhae Mitchell made Jumper. Assisted by Ken Williams.,57,51
7:35,6,Foul on Ken Williams.,57,51
7:35,2439,Official TV Timeout,57,51
7:35,2439,Jalen Poyser made Free Throw.,57,52
7:35,2439,Jalen Poyser missed Free Throw.,57,52
7:35,6,Ken Williams Defensive Rebound.,57,52
7:16,6,Ken Williams missed Jumper.,57,52
7:16,2439,Kris Clyburn Defensive Rebound.,57,52
7:03,2439,Tyrell Green made Three Point Jumper. Assisted by Jalen Poyser.,57,55
6:35,6,Georgi Boyanov made Three Point Jumper. Assisted by Ken Williams.,60,55
6:22,2439,Jalen Poyser Turnover.,60,55
6:21,6,Georgi Boyanov Steal.,60,55
6:19,6,Don MuepoKelly made Dunk. Assisted by Georgi Boyanov.,62,55
6:09,2439,UNLV  Timeout,62,55
5:58,2439,Uche Ofoegbu missed Layup.,62,55
5:58,2439,Uche Ofoegbu Offensive Rebound.,62,55
5:40,2439,Uche Ofoegbu Turnover.,62,55
5:39,6,Don MuepoKelly made Layup. Assisted by Dederick Lee.,64,55
5:21,2439,UNLV  Timeout,64,55
5:04,2439,Kris Clyburn missed Three Point Jumper.,64,55
5:04,2439,Tyrell Green Offensive Rebound.,64,55
5:01,6,Foul on Josh Ajayi.,64,55
5:01,2439,Tyrell Green made Free Throw.,64,56
5:01,2439,Tyrell Green made Free Throw.,64,57
4:51,2439,Foul on Kris Clyburn.,64,57
4:51,6,Dederick Lee missed Free Throw.,64,57
4:51,2439,Tyrell Green Defensive Rebound.,64,57
4:29,2439,Uche Ofoegbu made Jumper.,64,59
4:07,6,Georgi Boyanov made Three Point Jumper. Assisted by Nick Stover.,67,59
3:51,6,Foul on Dederick Lee.,67,59
3:51,2439,Official TV Timeout,67,59
3:51,2439,Jalen Poyser made Free Throw.,67,60
3:51,2439,Jalen Poyser made Free Throw.,67,61
3:37,6,Shaq Calhoun missed Three Point Jumper.,67,61
3:37,2439,Tyrell Green Defensive Rebound.,67,61
3:16,6,Foul on Dederick Lee.,67,61
3:16,2439,Jalen Poyser made Free Throw.,67,62
3:16,2439,Jalen Poyser made Free Throw.,67,63
3:04,6,Don MuepoKelly made Layup. Assisted by Nick Stover.,69,63
3:04,2439,Foul on Jalen Poyser.,69,63
3:04,6,Don MuepoKelly missed Free Throw.,69,63
3:04,2439,Christian Jones Defensive Rebound.,69,63
2:47,2439,Jalen Poyser missed Three Point Jumper.,69,63
2:47,6,Nick Stover Defensive Rebound.,69,63
2:24,6,Don MuepoKelly missed Layup.,69,63
2:24,2439,Christian Jones Defensive Rebound.,69,63
2:08,2439,UNLV  Timeout,69,63
2:00,2439,Kris Clyburn missed Layup.,69,63
2:00,2439,Uche Ofoegbu Offensive Rebound.,69,63
1:51,2439,Tyrell Green missed Jumper.,69,63
1:51,6,Georgi Boyanov Defensive Rebound.,69,63
1:35,2439,Foul on Kris Clyburn.,69,63
1:35,6,Herb McGee missed Free Throw.,69,63
1:35,2439,Uche Ofoegbu Defensive Rebound.,69,63
1:34,6,Foul on Don MuepoKelly.,69,63
1:34,2439,Uche Ofoegbu missed Free Throw.,69,63
1:34,2439,UNLV Deadball Team Rebound.,69,63
1:34,2439,Uche Ofoegbu made Free Throw.,69,64
1:19,6,Ken Williams missed Layup.,69,64
1:19,6,Don MuepoKelly Offensive Rebound.,69,64
1:17,6,Don MuepoKelly made Two Point Tip Shot.,71,64
1:07,6,Foul on Georgi Boyanov.,71,64
1:07,2439,Jalen Poyser made Free Throw.,71,65
1:07,2439,Jalen Poyser made Free Throw.,71,66
1:03,6,Nick Stover Turnover.,71,66
0:58,2439,Jalen Poyser Turnover.,71,66
0:57,6,Shaq Calhoun Steal.,71,66
0:53,6,Georgi Boyanov made Dunk. Assisted by Ken Williams.,73,66
0:41,2439,Kris Clyburn missed Layup.,73,66
0:41,6,Don MuepoKelly Defensive Rebound.,73,66
0:36,2439,Foul on Uche Ofoegbu.,73,66
0:36,6,Shaq Calhoun made Free Throw.,74,66
0:36,6,Shaq Calhoun missed Free Throw.,74,66
0:36,2439,Christian Jones Defensive Rebound.,74,66
0:24,2439,Jalen Poyser missed Three Point Jumper.,74,66
0:24,2439,Christian Jones Offensive Rebound.,74,66
0:22,2439,Christian Jones made Layup.,74,68
0:20,2439,Foul on Uche Ofoegbu.,74,68
0:20,6,Shaq Calhoun made Free Throw.,75,68
0:20,6,Shaq Calhoun made Free Throw.,76,68
0:09,2439,Kris Clyburn missed Three Point Jumper.,76,68
0:09,6,Georgi Boyanov Defensive Rebound.,76,68
0:00,2439,End of Game,76,68
