Arkansas-Pine Bluff,5,UAB,2029
12:16,2029,Trent Steen made Free Throw.,5,18
12:05,5,Hakeem Baxter made Three Point Jumper. Assisted by Tyler Madison.,5,21
11:49,5,Foul on Hakeem Baxter.,5,21
11:49,5,Official TV Timeout,5,21
11:27,2029,Devin Berry missed Jumper.,5,21
11:27,5,Tyler Madison Defensive Rebound.,5,21
11:12,5,Tyler Madison made Layup. Assisted by Deion Lavender.,5,23
10:51,2029,Jaquan Lynch missed Jumper.,5,23
10:51,5,Chris Cokley Block.,5,23
10:48,5,Chris Cokley Defensive Rebound.,5,23
10:30,5,Tyler Madison missed Layup.,5,23
10:30,2029,Arkansas-Pine Bluff Defensive Rebound.,5,23
10:07,2029,Joe'Randle Toliver missed Three Point Jumper.,5,23
10:07,2029,Ghiavonni Robinson Offensive Rebound.,5,23
9:53,2029,Ghiavonni Robinson made Jumper.,7,23
9:32,5,Dirk Williams missed Three Point Jumper.,7,23
9:32,5,UAB Offensive Rebound.,7,23
9:32,2029,Foul on Marcus Wallace.,7,23
9:32,5,Dirk Williams made Free Throw.,7,24
9:32,5,Dirk Williams made Free Throw.,7,25
9:21,2029,Joe'Randle Toliver missed Jumper.,7,25
9:21,5,William Lee Defensive Rebound.,7,25
9:09,5,Dirk Williams missed Three Point Jumper.,7,25
9:09,2029,Devin Berry Defensive Rebound.,7,25
8:52,2029,Devin Berry missed Jumper.,7,25
8:52,5,Dirk Williams Defensive Rebound.,7,25
8:47,5,Foul on Dirk Williams.,7,25
8:47,5,Dirk Williams Turnover.,7,25
8:38,5,Foul on Dirk Williams.,7,25
8:19,2029,Marcus Wallace Turnover.,7,25
8:18,5,Javien Williams Steal.,7,25
8:15,5,Javien Williams made Dunk.,7,27
7:58,2029,Ghiavonni Robinson missed Three Point Jumper.,7,27
7:58,5,Hakeem Baxter Defensive Rebound.,7,27
7:57,2029,Foul on Trent Steen.,7,27
7:57,5,Official TV Timeout,7,27
7:57,5,Hakeem Baxter made Free Throw.,7,28
7:57,5,Hakeem Baxter made Free Throw.,7,29
7:27,2029,Kennedy McKinney missed Jumper.,7,29
7:27,2029,Kennedy McKinney Offensive Rebound.,7,29
7:13,2029,Foul on Trent Steen.,7,29
7:13,2029,Trent Steen Turnover.,7,29
6:56,2029,Foul on Travon Harper.,7,29
6:56,5,Deion Lavender made Free Throw.,7,30
6:56,5,Deion Lavender made Free Throw.,7,31
6:32,5,Foul on Tosin Mehinti.,7,31
6:32,2029,Devin Berry made Free Throw.,8,31
6:32,2029,Devin Berry made Free Throw.,9,31
6:19,5,Javien Williams missed Three Point Jumper.,9,31
6:19,5,Tyler Madison Offensive Rebound.,9,31
6:19,2029,Foul on Travon Harper.,9,31
6:19,5,Tyler Madison missed Free Throw.,9,31
6:19,5,UAB Deadball Team Rebound.,9,31
6:19,5,Tyler Madison missed Free Throw.,9,31
6:19,2029,Charles Jackson Defensive Rebound.,9,31
6:09,2029,Charles Jackson Turnover.,9,31
6:08,5,Chris Cokley Steal.,9,31
6:05,5,Tyler Madison made Layup. Assisted by Nick Norton.,9,33
6:05,2029,Foul on Artavious McDyess.,9,33
6:05,5,Tyler Madison made Free Throw.,9,34
5:47,5,Foul on Javien Williams.,9,34
5:47,2029,Marcus Wallace made Free Throw.,10,34
5:47,2029,Marcus Wallace missed Free Throw.,10,34
5:47,5,Chris Cokley Defensive Rebound.,10,34
5:31,5,Tyler Madison made Layup. Assisted by Nick Norton.,10,36
5:05,2029,Jaquan Lynch made Jumper.,12,36
4:45,5,Deion Lavender missed Three Point Jumper.,12,36
4:45,2029,Devin Berry Defensive Rebound.,12,36
4:25,2029,Marcus Wallace missed Three Point Jumper.,12,36
4:25,5,Chris Cokley Defensive Rebound.,12,36
4:02,5,Chris Cokley missed Jumper.,12,36
4:02,5,Tyler Madison Offensive Rebound.,12,36
3:59,5,Tyler Madison made Layup.,12,38
3:36,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Jaquan Lynch.,15,38
3:20,5,Chris Cokley made Dunk. Assisted by Tyler Madison.,15,40
3:02,2029,Marcus Wallace missed Jumper.,15,40
3:02,2029,Devin Berry Offensive Rebound.,15,40
2:59,2029,Devin Berry missed Layup.,15,40
2:59,5,Chris Cokley Defensive Rebound.,15,40
2:48,5,Chris Cokley Turnover.,15,40
2:46,2029,Jaquan Lynch Steal.,15,40
2:46,5,Foul on Deion Lavender.,15,40
2:46,5,Official TV Timeout,15,40
2:46,2029,Jaquan Lynch made Free Throw.,16,40
2:46,2029,Jaquan Lynch made Free Throw.,17,40
2:35,5,William Lee made Dunk. Assisted by Dirk Williams.,17,42
2:17,2029,Ghiavonni Robinson missed Three Point Jumper.,17,42
2:17,5,William Lee Defensive Rebound.,17,42
1:56,5,Dirk Williams missed Three Point Jumper.,17,42
1:56,5,Tosin Mehinti Offensive Rebound.,17,42
1:54,5,Tosin Mehinti Turnover.,17,42
1:31,2029,Jaquan Lynch missed Three Point Jumper.,17,42
1:31,5,William Lee Defensive Rebound.,17,42
1:20,5,William Lee made Jumper. Assisted by Deion Lavender.,17,44
1:04,2029,Ghiavonni Robinson Turnover.,17,44
0:49,5,William Lee missed Jumper.,17,44
0:49,2029,Arkansas-Pine Bluff Defensive Rebound.,17,44
0:49,5,Foul on Tosin Mehinti.,17,44
0:49,2029,Joe'Randle Toliver made Free Throw.,18,44
0:49,2029,Joe'Randle Toliver made Free Throw.,19,44
0:28,5,Nate Darling missed Jumper.,19,44
0:28,2029,Joe'Randle Toliver Defensive Rebound.,19,44
0:25,2029,Ghiavonni Robinson missed Three Point Jumper.,19,44
0:25,5,Deion Lavender Defensive Rebound.,19,44
0:13,5,Javien Williams missed Three Point Jumper.,19,44
0:13,2029,Artavious McDyess Defensive Rebound.,19,44
0:05,2029,Jaquan Lynch made Jumper.,21,44
0:00,5,End of 1st half,21,44
19:35,5,Foul on Hakeem Baxter.,21,44
19:07,2029,Joe'Randle Toliver missed Three Point Jumper.,21,44
19:07,5,UAB Defensive Rebound.,21,44
18:49,2029,Foul on Devin Berry.,21,44
18:49,5,Chris Cokley made Free Throw.,21,45
18:49,5,Chris Cokley made Free Throw.,21,46
18:41,2029,Joe'Randle Toliver Turnover.,21,46
18:28,2029,Foul on Devin Berry.,21,46
18:18,5,William Lee missed Jumper.,21,46
18:18,2029,Devin Berry Block.,21,46
18:15,2029,Trent Steen Defensive Rebound.,21,46
18:03,2029,Ghiavonni Robinson missed Layup.,21,46
18:03,5,William Lee Block.,21,46
18:01,5,Deion Lavender Defensive Rebound.,21,46
17:56,5,Dirk Williams missed Layup.,21,46
17:56,5,Javien Williams Offensive Rebound.,21,46
17:52,5,Javien Williams missed Layup.,21,46
17:52,2029,Arkansas-Pine Bluff Defensive Rebound.,21,46
17:52,5,Foul on Dirk Williams.,21,46
17:43,2029,Travon Harper Turnover.,21,46
17:34,2029,Foul on Trent Steen.,21,46
17:34,5,Chris Cokley made Free Throw.,21,47
17:34,5,Chris Cokley made Free Throw.,21,48
17:04,2029,Charles Jackson made Three Point Jumper. Assisted by Jaquan Lynch.,24,48
16:52,5,Javien Williams missed Three Point Jumper.,24,48
16:52,5,Chris Cokley Offensive Rebound.,24,48
16:42,5,Chris Cokley Turnover.,24,48
16:40,2029,Jaquan Lynch Steal.,24,48
16:35,2029,Jaquan Lynch missed Jumper.,24,48
16:35,5,Deion Lavender Block.,24,48
16:33,5,William Lee Defensive Rebound.,24,48
16:31,5,Javien Williams made Layup.,24,50
16:31,2029,Foul on Jaquan Lynch.,24,50
16:31,5,Javien Williams made Free Throw.,24,51
16:23,2029,Charles Jackson Turnover.,24,51
16:21,5,Javien Williams Steal.,24,51
16:19,5,Javien Williams made Layup.,24,53
16:04,2029,Jaquan Lynch Turnover.,24,53
15:54,5,William Lee Turnover.,24,53
15:53,2029,Travon Harper Steal.,24,53
15:49,2029,Travon Harper Turnover.,24,53
15:48,5,Deion Lavender Steal.,24,53
15:45,5,Chris Cokley made Dunk. Assisted by Javien Williams.,24,55
15:35,2029,Arkansas-Pine Bluff  Timeout,24,55
15:12,2029,Jaquan Lynch Turnover.,24,55
15:11,5,Deion Lavender Steal.,24,55
15:08,2029,Foul on Devin Berry.,24,55
15:08,5,Official TV Timeout,24,55
15:08,5,Javien Williams missed Free Throw.,24,55
15:08,5,UAB Deadball Team Rebound.,24,55
15:08,5,Javien Williams missed Free Throw.,24,55
15:08,2029,Travon Harper Defensive Rebound.,24,55
15:07,5,Foul on Tosin Mehinti.,24,55
14:54,5,Foul on Javien Williams.,24,55
14:51,2029,Kennedy McKinney missed Jumper.,24,55
14:51,5,Javien Williams Defensive Rebound.,24,55
14:49,2029,Foul on Travon Harper.,24,55
14:32,5,Tosin Mehinti Turnover.,24,55
14:29,2029,Kennedy McKinney Steal.,24,55
14:21,2029,Travon Harper made Layup.,26,55
13:56,5,Tyler Madison made Layup. Assisted by Javien Williams.,26,57
13:39,2029,Travon Harper missed Three Point Jumper.,26,57
13:39,5,Hakeem Baxter Defensive Rebound.,26,57
13:33,2029,Foul on Kennedy McKinney.,26,57
13:33,5,Hakeem Baxter made Free Throw.,26,58
13:33,5,Hakeem Baxter made Free Throw.,26,59
13:16,2029,Ghiavonni Robinson made Three Point Jumper. Assisted by Jaquan Lynch.,29,59
12:58,5,Hakeem Baxter missed Three Point Jumper.,29,59
12:58,2029,Ghiavonni Robinson Defensive Rebound.,29,59
12:44,2029,Devin Berry made Layup. Assisted by Kennedy McKinney.,31,59
12:26,5,Nate Darling Turnover.,31,59
12:03,2029,Ghiavonni Robinson Turnover.,31,59
12:02,5,Hakeem Baxter Steal.,31,59
11:59,2029,Foul on Jaquan Lynch.,31,59
11:59,5,Official TV Timeout,31,59
11:59,5,Deion Lavender made Free Throw.,31,60
11:59,5,Deion Lavender missed Free Throw.,31,60
11:59,2029,Trent Steen Defensive Rebound.,31,60
11:58,5,Foul on Nate Darling.,31,60
11:38,2029,Joe'Randle Toliver Turnover.,31,60
11:26,5,Dirk Williams missed Three Point Jumper.,31,60
11:26,5,Tyler Madison Offensive Rebound.,31,60
11:23,2029,Foul on Trent Steen.,31,60
11:23,5,Tyler Madison made Free Throw.,31,61
11:23,5,Tyler Madison made Free Throw.,31,62
11:16,2029,Kennedy McKinney Turnover.,31,62
11:15,5,Deion Lavender Steal.,31,62
11:12,5,Dirk Williams missed Layup.,31,62
11:12,2029,Arkansas-Pine Bluff Defensive Rebound.,31,62
11:01,2029,Ghiavonni Robinson made Three Point Jumper. Assisted by Kennedy McKinney.,34,62
10:37,5,Hakeem Baxter missed Three Point Jumper.,34,62
10:37,5,Tyler Madison Offensive Rebound.,34,62
10:35,2029,Foul on Trent Steen.,34,62
10:35,5,Tyler Madison missed Free Throw.,34,62
10:35,5,UAB Deadball Team Rebound.,34,62
10:35,5,Tyler Madison made Free Throw.,34,63
10:22,2029,Devin Berry missed Dunk.,34,63
10:22,5,Tyler Madison Defensive Rebound.,34,63
10:15,5,Dirk Williams missed Dunk.,34,63
10:15,2029,Arkansas-Pine Bluff Defensive Rebound.,34,63
9:55,2029,Devin Berry Turnover.,34,63
9:41,5,Deion Lavender missed Jumper.,34,63
9:41,5,Tosin Mehinti Offensive Rebound.,34,63
9:36,5,Dirk Williams made Jumper. Assisted by Tosin Mehinti.,34,65
9:05,2029,Travon Harper missed Three Point Jumper.,34,65
9:05,5,Tosin Mehinti Defensive Rebound.,34,65
8:52,5,Dirk Williams Turnover.,34,65
8:51,2029,Joe'Randle Toliver Steal.,34,65
8:48,2029,Kennedy McKinney made Layup. Assisted by Joe'Randle Toliver.,36,65
8:28,2029,Foul on Travon Harper.,36,65
8:28,5,Dirk Williams made Free Throw.,36,66
8:28,5,Dirk Williams made Free Throw.,36,67
8:03,2029,Kennedy McKinney made Layup.,38,67
7:47,5,Chris Cokley made Layup.,38,69
7:20,2029,Charles Jackson made Three Point Jumper.,41,69
7:04,2029,Foul on Charles Jackson.,41,69
7:04,5,Official TV Timeout,41,69
7:04,5,Hakeem Baxter made Free Throw.,41,70
7:04,5,Hakeem Baxter made Free Throw.,41,71
6:35,2029,Marcus Wallace missed Layup.,41,71
6:35,5,William Lee Block.,41,71
6:33,5,Hakeem Baxter Defensive Rebound.,41,71
6:31,5,Dirk Williams Turnover.,41,71
6:19,5,Foul on Chris Cokley.,41,71
6:19,2029,Kennedy McKinney missed Free Throw.,41,71
6:19,2029,Arkansas-Pine Bluff Deadball Team Rebound.,41,71
6:19,2029,Kennedy McKinney missed Free Throw.,41,71
6:19,5,Chris Cokley Defensive Rebound.,41,71
6:04,5,Deion Lavender Turnover.,41,71
6:03,2029,Charles Jackson Steal.,41,71
6:03,5,Foul on Dirk Williams.,41,71
6:03,2029,Charles Jackson missed Free Throw.,41,71
6:03,2029,Joe'Randle Toliver Offensive Rebound.,41,71
5:56,2029,Joe'Randle Toliver missed Layup.,41,71
5:56,5,William Lee Block.,41,71
5:55,2029,Marcus Wallace Offensive Rebound.,41,71
5:49,2029,Marcus Wallace made Layup.,43,71
5:38,2029,Foul on Artavious McDyess.,43,71
5:38,5,Hakeem Baxter made Free Throw.,43,72
5:38,5,Hakeem Baxter missed Free Throw.,43,72
5:38,2029,Charles Jackson Defensive Rebound.,43,72
5:22,2029,Charles Jackson made Three Point Jumper.,46,72
4:57,5,William Lee missed Jumper.,46,72
4:57,5,Javien Williams Offensive Rebound.,46,72
4:53,5,Javien Williams made Two Point Tip Shot.,46,74
4:35,2029,Joe'Randle Toliver missed Three Point Jumper.,46,74
4:35,2029,Charles Jackson Offensive Rebound.,46,74
4:25,2029,Charles Jackson made Three Point Jumper.,49,74
3:55,2029,Foul on Joe'Randle Toliver.,49,74
3:55,5,Official TV Timeout,49,74
3:55,5,Hakeem Baxter made Free Throw.,49,75
3:55,5,Hakeem Baxter missed Free Throw.,49,75
3:55,2029,Devin Berry Defensive Rebound.,49,75
3:44,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Charles Jackson.,52,75
3:34,2029,Foul on Marcus Wallace.,52,75
3:34,5,Hakeem Baxter missed Free Throw.,52,75
3:34,5,UAB Deadball Team Rebound.,52,75
3:34,5,Hakeem Baxter made Free Throw.,52,76
3:17,2029,Ghiavonni Robinson made Three Point Jumper. Assisted by Charles Jackson.,55,76
2:55,5,Nate Darling Turnover.,55,76
2:37,2029,Joe'Randle Toliver missed Three Point Jumper.,55,76
2:37,5,Hakeem Baxter Defensive Rebound.,55,76
2:30,5,Nate Darling made Three Point Jumper. Assisted by Hakeem Baxter.,55,79
2:14,2029,Ghiavonni Robinson missed Jumper.,55,79
2:14,5,UAB Defensive Rebound.,55,79
2:14,2029,Foul on Devin Berry.,55,79
2:14,5,Thomas Smallwood missed Free Throw.,55,79
2:14,5,UAB Deadball Team Rebound.,55,79
2:14,5,Thomas Smallwood made Free Throw.,55,80
2:00,5,Foul on Thomas Smallwood.,55,80
2:00,2029,Devin Berry made Free Throw.,56,80
2:00,2029,Devin Berry made Free Throw.,57,80
1:47,5,Nate Darling Turnover.,57,80
1:46,2029,Kennedy McKinney Steal.,57,80
1:45,2029,Kennedy McKinney made Layup.,59,80
1:43,2029,Arkansas-Pine Bluff  Timeout,59,80
1:36,5,Tosin Mehinti made Dunk. Assisted by Thomas Smallwood.,59,82
1:20,2029,Kennedy McKinney Turnover.,59,82
1:19,5,Javien Williams Steal.,59,82
1:18,2029,Foul on Ghiavonni Robinson.,59,82
1:18,5,Javien Williams made Free Throw.,59,83
1:18,5,Javien Williams made Free Throw.,59,84
1:07,5,Foul on Javien Williams.,59,84
1:07,2029,Kennedy McKinney made Free Throw.,60,84
1:07,2029,Kennedy McKinney made Free Throw.,61,84
0:54,5,Tosin Mehinti made Dunk. Assisted by Javien Williams.,61,86
0:37,2029,Joe'Randle Toliver made Three Point Jumper.,64,86
0:27,5,Hakeem Baxter Turnover.,64,86
0:07,2029,Ghiavonni Robinson made Jumper.,66,86
0:00,5,End of Game,66,86
