Linfield College,Error,Eastern Washington,331
13:44,-1,Liam O'Reilly missed Three Point Jumper.,8,19
13:44,331,Bogdan Bliznyuk Defensive Rebound.,8,19
13:36,331,Jacob Wiley Turnover.,8,19
13:13,-1,Liam O'Reilly missed Layup.,8,19
13:13,331,Jacob Wiley Block.,8,19
13:13,-1,Linfield College Offensive Rebound.,8,19
13:01,-1,Liam O'Reilly Turnover.,8,19
13:00,331,Cody Benzel Steal.,8,19
12:46,331,Bogdan Bliznyuk made Jumper.,8,21
12:18,-1,Tyler Watts made Layup. Assisted by Negasi Hart.,10,21
11:57,331,Jesse Hunt Turnover.,10,21
11:45,-1,Austin Murray made Jumper. Assisted by Kyle Maloof.,12,21
11:28,331,Cody Benzel made Three Point Jumper. Assisted by Jesse Hunt.,12,24
11:14,-1,Vince Romeo missed Three Point Jumper.,12,24
11:14,-1,Tyler Watts Offensive Rebound.,12,24
10:45,-1,Negasi Hart made Jumper.,14,24
10:25,-1,Foul on Austin Murray.,14,24
10:25,331,Eastern Washington  Timeout,14,24
10:25,331,Jacob Wiley made Free Throw.,14,25
10:25,331,Jacob Wiley made Free Throw.,14,26
10:05,-1,Kyle Maloof Turnover.,14,26
9:47,331,Jesse Hunt Turnover.,14,26
9:46,-1,Matt Woods Steal.,14,26
9:42,-1,Riley Bruil made Layup. Assisted by Matt Woods.,16,26
9:24,-1,Foul on Riley Bruil.,16,26
9:02,331,Felix Von Hofe missed Three Point Jumper.,16,26
9:02,331,Mason Peatling Offensive Rebound.,16,26
8:57,331,Mason Peatling Turnover.,16,26
8:56,-1,Riley Bruil Steal.,16,26
8:45,-1,Kyle Maloof missed Layup.,16,26
8:45,331,Mason Peatling Defensive Rebound.,16,26
8:28,331,Felix Von Hofe missed Three Point Jumper.,16,26
8:28,-1,Austin Daniels Defensive Rebound.,16,26
8:04,-1,Austin Daniels missed Layup.,16,26
8:04,331,Felix Von Hofe Block.,16,26
8:02,331,Felix Von Hofe Defensive Rebound.,16,26
7:49,331,Bogdan Bliznyuk Turnover.,16,26
7:49,-1,Austin Daniels Steal.,16,26
7:49,-1,Linfield College  Timeout,16,26
7:28,-1,Liam O'Reilly made Layup.,18,26
7:16,331,Ty Gibson missed Three Point Jumper.,18,26
7:16,-1,Mason Rodby Defensive Rebound.,18,26
6:53,331,Foul on Felix Von Hofe.,18,26
6:37,-1,Tyler Watts missed Jumper.,18,26
6:37,331,Bogdan Bliznyuk Defensive Rebound.,18,26
6:23,331,Felix Von Hofe missed Three Point Jumper.,18,26
6:23,-1,Tyler Watts Defensive Rebound.,18,26
6:08,331,Foul on Sir Washington.,18,26
5:57,-1,Liam O'Reilly made Layup. Assisted by Tyler Watts.,20,26
5:37,331,Bogdan Bliznyuk Turnover.,20,26
5:37,331,Eastern Washington  Timeout,20,26
5:08,331,Foul on Sir Washington.,20,26
5:08,-1,Liam O'Reilly missed Free Throw.,20,26
5:08,-1,Linfield College Deadball Team Rebound.,20,26
5:08,-1,Liam O'Reilly made Free Throw.,21,26
4:55,-1,Foul on Mason Rodby.,21,26
4:48,-1,Foul on Austin Daniels.,21,26
4:37,331,Jacob Wiley made Layup. Assisted by Sir Washington.,21,28
4:12,-1,Liam O'Reilly missed Layup.,21,28
4:12,331,Jacob Wiley Defensive Rebound.,21,28
3:50,331,Bogdan Bliznyuk Turnover.,21,28
3:49,-1,Tyler Watts Steal.,21,28
3:44,-1,Austin Daniels missed Jumper.,21,28
3:44,331,Jacob Wiley Defensive Rebound.,21,28
3:33,331,Bogdan Bliznyuk Turnover.,21,28
3:29,-1,Mason Rodby Steal.,21,28
3:24,-1,Tyler Watts missed Three Point Jumper.,21,28
3:24,331,Felix Von Hofe Defensive Rebound.,21,28
3:08,331,Cody Benzel Turnover.,21,28
3:07,-1,Liam O'Reilly Steal.,21,28
2:53,-1,Austin Daniels missed Jumper.,21,28
2:53,331,Cody Benzel Block.,21,28
2:51,331,Cody Benzel Defensive Rebound.,21,28
2:40,331,Cody Benzel made Layup.,21,30
2:37,-1,Riley Bruil made Layup. Assisted by Tyler Watts.,23,30
2:12,331,Cody Benzel made Three Point Jumper. Assisted by Bogdan Bliznyuk.,23,33
1:48,-1,Foul on Mason Rodby.,23,33
1:48,-1,Mason Rodby Turnover.,23,33
1:48,331,Eastern Washington  Timeout,23,33
1:32,331,Foul on Jesse Hunt.,23,33
1:32,331,Jesse Hunt Turnover.,23,33
1:09,-1,Austin Murray missed Jumper.,23,33
1:09,331,Jesse Hunt Defensive Rebound.,23,33
1:01,331,Jesse Hunt missed Layup.,23,33
1:01,331,Jacob Wiley Offensive Rebound.,23,33
0:59,331,Jacob Wiley made Layup.,23,35
0:43,-1,Foul on Kyle Maloof.,23,35
0:43,-1,Kyle Maloof Turnover.,23,35
0:30,331,Cody Benzel made Three Point Jumper. Assisted by Mario Soto.,23,38
0:00,-1,Kyle Maloof missed Three Point Jumper.,23,38
0:00,331,Jacob Wiley Defensive Rebound.,23,38
0:00,331,End of 1st half,23,38
19:48,331,Jesse Hunt made Three Point Jumper. Assisted by Bogdan Bliznyuk.,23,41
19:34,-1,Matt Woods missed Jumper.,23,41
19:34,331,Jesse Hunt Defensive Rebound.,23,41
19:32,-1,Foul on Matt Woods.,23,41
19:14,331,Jacob Wiley missed Jumper.,23,41
19:14,-1,Kyle Maloof Defensive Rebound.,23,41
18:59,331,Foul on Jesse Hunt.,23,41
18:53,-1,Kyle Maloof Turnover.,23,41
18:39,331,Felix Von Hofe missed Jumper.,23,41
18:39,-1,Riley Bruil Defensive Rebound.,23,41
18:25,-1,Austin Murray missed Jumper.,23,41
18:25,331,Jesse Hunt Defensive Rebound.,23,41
18:19,331,Felix Von Hofe made Three Point Jumper. Assisted by Jacob Wiley.,23,44
18:00,-1,Riley Bruil Turnover.,23,44
17:55,331,Felix Von Hofe missed Three Point Jumper.,23,44
17:55,-1,Austin Daniels Defensive Rebound.,23,44
17:45,-1,Kyle Maloof missed Three Point Jumper.,23,44
17:45,-1,Linfield College Offensive Rebound.,23,44
17:44,331,Foul on Bogdan Bliznyuk.,23,44
17:34,-1,Matt Woods missed Layup.,23,44
17:34,331,Jacob Wiley Defensive Rebound.,23,44
17:29,331,Sir Washington Turnover.,23,44
17:22,331,Foul on Jesse Hunt.,23,44
17:08,-1,Negasi Hart missed Three Point Jumper.,23,44
17:08,331,Bogdan Bliznyuk Defensive Rebound.,23,44
16:52,331,Felix Von Hofe missed Three Point Jumper.,23,44
16:52,-1,Negasi Hart Defensive Rebound.,23,44
16:29,-1,Vince Romeo Turnover.,23,44
16:27,331,Jesse Hunt Steal.,23,44
16:23,331,Jesse Hunt made Dunk. Assisted by Sir Washington.,23,46
16:23,-1,Linfield College  Timeout,23,46
16:16,-1,Liam O'Reilly missed Jumper.,23,46
16:16,-1,Mason Rodby Offensive Rebound.,23,46
16:08,-1,Mason Rodby Turnover.,23,46
16:08,-1,Foul on Mason Rodby.,23,46
16:01,-1,Foul on Negasi Hart.,23,46
16:01,331,Eastern Washington  Timeout,23,46
15:49,331,Jacob Wiley missed Jumper.,23,46
15:49,-1,Liam O'Reilly Defensive Rebound.,23,46
15:34,-1,Vince Romeo missed Three Point Jumper.,23,46
15:34,331,Felix Von Hofe Block.,23,46
15:34,-1,Linfield College Offensive Rebound.,23,46
15:18,-1,Liam O'Reilly missed Jumper.,23,46
15:18,331,Jacob Wiley Block.,23,46
15:16,331,Jesse Hunt Defensive Rebound.,23,46
15:09,-1,Foul on Mason Rodby.,23,46
14:58,331,Felix Von Hofe made Three Point Jumper. Assisted by Jesse Hunt.,23,49
14:43,-1,Liam O'Reilly missed Three Point Jumper.,23,49
14:43,-1,Linfield College Offensive Rebound.,23,49
14:30,-1,Jordan Clark made Layup. Assisted by Vince Romeo.,25,49
14:04,331,Bogdan Bliznyuk Turnover.,25,49
13:53,-1,Jordan Clark made Jumper. Assisted by Negasi Hart.,27,49
13:41,331,Bogdan Bliznyuk Turnover.,27,49
13:40,-1,Negasi Hart Steal.,27,49
13:37,-1,Vince Romeo missed Layup.,27,49
13:37,331,Jesse Hunt Defensive Rebound.,27,49
13:31,331,Bogdan Bliznyuk Turnover.,27,49
13:30,-1,Vince Romeo Steal.,27,49
12:42,-1,Vince Romeo made Layup.,29,49
12:28,331,Jesse Hunt made Three Point Jumper. Assisted by Jacob Wiley.,29,52
12:13,-1,Vince Romeo missed Three Point Jumper.,29,52
12:13,-1,Jordan Clark Offensive Rebound.,29,52
12:12,-1,Liam O'Reilly missed Jumper.,29,52
12:11,-1,Linfield College Offensive Rebound.,29,52
12:10,-1,Jordan Clark made Layup.,31,52
11:53,331,Felix Von Hofe made Three Point Jumper. Assisted by Jesse Hunt.,31,55
11:42,331,Foul on Jesse Hunt.,31,55
11:39,-1,Kyle Maloof Turnover.,31,55
11:37,331,Jacob Wiley Steal.,31,55
11:34,331,Jacob Wiley Turnover.,31,55
11:33,-1,Kyle Maloof Steal.,31,55
11:24,-1,Vince Romeo missed Three Point Jumper.,31,55
11:24,331,Jesse Hunt Defensive Rebound.,31,55
11:14,331,Sir Washington made Jumper.,31,57
10:36,-1,Kyle Maloof made Jumper. Assisted by Vince Romeo.,33,57
10:11,331,Cody Benzel made Three Point Jumper. Assisted by Jacob Wiley.,33,60
9:58,-1,Jordan Clark missed Three Point Jumper.,33,60
9:58,331,Sir Washington Defensive Rebound.,33,60
9:54,331,Cody Benzel missed Three Point Jumper.,33,60
9:54,-1,Kyle Maloof Defensive Rebound.,33,60
9:15,-1,Kyle Maloof missed Jumper.,33,60
9:15,-1,Kyle Maloof Offensive Rebound.,33,60
9:11,-1,Kyle Maloof Turnover.,33,60
9:10,331,Ty Gibson Steal.,33,60
9:02,331,Ty Gibson Turnover.,33,60
9:01,-1,Negasi Hart Steal.,33,60
8:59,-1,Negasi Hart made Layup. Assisted by Vince Romeo.,35,60
8:39,331,Geremy McKay made Layup. Assisted by Cody Benzel.,35,62
8:25,331,Foul on Sir Washington.,35,62
8:25,-1,Austin Murray made Free Throw.,36,62
8:25,-1,Austin Murray made Free Throw.,37,62
8:11,331,Mario Soto missed Three Point Jumper.,37,62
8:11,331,Geremy McKay Offensive Rebound.,37,62
7:47,331,Cody Benzel missed Jumper.,37,62
7:47,-1,Austin Murray Block.,37,62
7:46,331,Cody Benzel Offensive Rebound.,37,62
7:42,331,Bogdan Bliznyuk Turnover.,37,62
7:41,-1,Kyle Maloof Steal.,37,62
7:35,-1,Austin Daniels missed Three Point Jumper.,37,62
7:35,-1,Kyle Maloof Offensive Rebound.,37,62
7:29,-1,Kyle Maloof Turnover.,37,62
7:28,331,Michael Wearne Steal.,37,62
7:12,331,Cody Benzel missed Three Point Jumper.,37,62
7:12,-1,Matt Woods Defensive Rebound.,37,62
7:03,331,Foul on Mario Soto.,37,62
7:03,-1,Linfield College  Timeout,37,62
6:59,331,Foul on Mason Peatling.,37,62
6:59,-1,Riley Bruil made Free Throw.,38,62
6:59,-1,Riley Bruil made Free Throw.,39,62
6:38,331,Michael Wearne Turnover.,39,62
6:12,-1,Liam O'Reilly made Jumper.,41,62
5:48,-1,Foul on Matt Woods.,41,62
5:48,-1,Linfield College  Timeout,41,62
5:38,331,Michael Wearne Turnover.,41,62
5:26,-1,Riley Bruil made Three Point Jumper. Assisted by Austin Murray.,44,62
5:05,331,Ty Gibson made Three Point Jumper. Assisted by Sir Washington.,44,65
4:30,-1,Austin Daniels missed Jumper.,44,65
4:30,331,Bogdan Bliznyuk Defensive Rebound.,44,65
4:11,331,Bogdan Bliznyuk missed Three Point Jumper.,44,65
4:11,-1,Austin Murray Defensive Rebound.,44,65
3:58,-1,Matt Woods made Jumper.,46,65
3:37,331,Sir Washington missed Three Point Jumper.,46,65
3:37,331,Felix Von Hofe Offensive Rebound.,46,65
3:31,331,Felix Von Hofe made Three Point Jumper. Assisted by Jacob Wiley.,46,68
2:58,-1,Riley Bruil missed Three Point Jumper.,46,68
2:58,331,Bogdan Bliznyuk Block.,46,68
2:57,-1,Austin Murray Offensive Rebound.,46,68
2:53,-1,Liam O'Reilly missed Three Point Jumper.,46,68
2:53,-1,Austin Murray Offensive Rebound.,46,68
2:37,-1,Matt Woods missed Layup.,46,68
2:37,331,Jacob Wiley Block.,46,68
2:36,331,Sir Washington Defensive Rebound.,46,68
2:26,331,Sir Washington missed Three Point Jumper.,46,68
2:26,-1,Austin Murray Defensive Rebound.,46,68
2:05,331,Foul on Bogdan Bliznyuk.,46,68
2:05,-1,Linfield College  Timeout,46,68
2:05,-1,Austin Murray made Free Throw.,47,68
2:05,-1,Austin Murray missed Free Throw.,47,68
2:05,331,Jesse Hunt Defensive Rebound.,47,68
1:41,331,Ty Gibson missed Three Point Jumper.,47,68
1:41,331,Luka Vulikic Offensive Rebound.,47,68
1:39,-1,Foul on Austin Murray.,47,68
1:38,-1,Foul on Jason Augliera.,47,68
1:38,331,Mason Peatling made Free Throw.,47,69
1:38,331,Mason Peatling made Free Throw.,47,70
1:14,-1,Vince Romeo missed Three Point Jumper.,47,70
1:14,331,Mason Peatling Defensive Rebound.,47,70
0:55,-1,Foul on Jason Augliera.,47,70
0:55,331,Jesse Hunt missed Free Throw.,47,70
0:55,331,Jesse Hunt Offensive Rebound.,47,70
0:38,331,Luka Vulikic Turnover.,47,70
0:37,-1,Austin Hilton Steal.,47,70
0:28,-1,Foul on Jason Augliera.,47,70
0:00,331,End of Game,47,70
