Hood College,Error,UMBC,2378
1:09,2378,Will Darley made Three Point Jumper. Assisted by Ben Grace.,16,43
0:59,-1,Luke Casey missed Three Point Jumper.,16,43
0:59,2378,Ben Grace Defensive Rebound.,16,43
0:53,2378,Jairus Lyles made Layup.,16,45
0:42,-1,Tanner Ruths missed Layup.,16,45
0:42,2378,Nolan Gerrity Block.,16,45
0:40,-1,Tanner Ruths Offensive Rebound.,16,45
0:40,2378,Foul on Nolan Gerrity.,16,45
0:40,-1,Tanner Ruths missed Free Throw.,16,45
0:40,-1,Hood College Deadball Team Rebound.,16,45
0:40,-1,Tanner Ruths made Free Throw.,17,45
0:32,2378,Jairus Lyles Turnover.,17,45
0:31,-1,Tanner Ruths Steal.,17,45
0:26,2378,Foul on Ben Grace.,17,45
0:26,-1,Ian Eversull missed Free Throw.,17,45
0:26,2378,UMBC Defensive Rebound.,17,45
0:06,2378,Will Darley missed Three Point Jumper.,17,45
0:06,2378,Nolan Gerrity Offensive Rebound.,17,45
0:02,2378,Ben Grace made Three Point Jumper. Assisted by Nolan Gerrity.,17,48
0:00,2378,End of 1st half,17,48
19:43,2378,Foul on Will Darley.,17,48
19:41,-1,Trevor Magnuski missed Layup.,17,48
19:41,2378,Nolan Gerrity Defensive Rebound.,17,48
19:20,2378,Joe Sherburne made Three Point Jumper. Assisted by Jairus Lyles.,17,51
18:58,-1,Scott Bolen missed Layup.,17,51
18:58,2378,Nolan Gerrity Defensive Rebound.,17,51
18:51,2378,Ben Grace missed Three Point Jumper.,17,51
18:51,-1,Scott Bolen Defensive Rebound.,17,51
18:46,-1,Trevor Magnuski Turnover.,17,51
18:46,-1,Foul on Trevor Magnuski.,17,51
18:26,2378,Jairus Lyles missed Three Point Jumper.,17,51
18:26,2378,Nolan Gerrity Offensive Rebound.,17,51
18:20,2378,Nolan Gerrity Turnover.,17,51
18:19,-1,Tanner Ruths Steal.,17,51
18:16,2378,Foul on Jairus Lyles.,17,51
18:16,-1,Tanner Ruths made Free Throw.,18,51
18:16,-1,Tanner Ruths made Free Throw.,19,51
17:59,2378,Will Darley made Layup. Assisted by Nolan Gerrity.,19,53
17:44,2378,Foul on Ben Grace.,19,53
17:44,2378,Foul on Will Darley.,19,53
17:43,-1,Ian Eversull made Layup. Assisted by Tanner Ruths.,21,53
17:25,2378,Jairus Lyles missed Jumper.,21,53
17:25,2378,Nolan Gerrity Offensive Rebound.,21,53
17:13,2378,Joe Sherburne missed Jumper.,21,53
17:13,2378,Joe Sherburne Offensive Rebound.,21,53
16:55,2378,Will Darley missed Three Point Jumper.,21,53
16:55,-1,Ian Eversull Defensive Rebound.,21,53
16:45,-1,Kobe Butler missed Three Point Jumper.,21,53
16:45,-1,Luke Casey Offensive Rebound.,21,53
16:41,-1,Luke Casey made Two Point Tip Shot.,23,53
16:41,2378,UMBC  Timeout,23,53
16:28,2378,Ben Grace made Three Point Jumper. Assisted by Will Darley.,23,56
16:14,2378,Foul on Joe Sherburne.,23,56
16:14,-1,Tanner Ruths made Free Throw.,24,56
16:14,-1,Tanner Ruths made Free Throw.,25,56
15:55,2378,Will Darley missed Three Point Jumper.,25,56
15:55,2378,Nolan Gerrity Offensive Rebound.,25,56
15:54,-1,Foul on Jared Ruiz.,25,56
15:54,2378,Official TV Timeout,25,56
15:30,2378,Jairus Lyles missed Three Point Jumper.,25,56
15:30,2378,Joe Sherburne Offensive Rebound.,25,56
15:24,2378,Ben Grace made Three Point Jumper. Assisted by Joe Sherburne.,25,59
15:02,-1,Kobe Butler missed Three Point Jumper.,25,59
15:02,2378,Ben Grace Defensive Rebound.,25,59
14:39,-1,Foul on Luke Casey.,25,59
14:37,2378,Joe Sherburne missed Three Point Jumper.,25,59
14:37,2378,Jairus Lyles Offensive Rebound.,25,59
14:33,2378,Jairus Lyles made Two Point Tip Shot.,25,61
14:20,-1,Jared Ruiz Turnover.,25,61
14:18,2378,Joe Sherburne Steal.,25,61
14:15,2378,Jairus Lyles Turnover.,25,61
13:58,-1,Jared Ruiz made Jumper.,27,61
13:57,-1,Foul on Luke Casey.,27,61
13:39,2378,Ben Grace missed Three Point Jumper.,27,61
13:39,-1,Michael Robinson Defensive Rebound.,27,61
13:36,2378,Foul on Max Curran.,27,61
13:21,-1,Jared Ruiz made Three Point Jumper. Assisted by Michael Robinson.,30,61
13:01,2378,Will Darley Turnover.,30,61
12:42,-1,Ian Eversull Turnover.,30,61
12:41,2378,Joe Sherburne Steal.,30,61
12:37,2378,Will Darley Turnover.,30,61
12:12,2378,Foul on Joe Sherburne.,30,61
12:12,-1,Drew Billingsley made Free Throw.,31,61
12:12,-1,Drew Billingsley made Free Throw.,32,61
11:53,2378,Max Curran Turnover.,32,61
11:53,2378,Official TV Timeout,32,61
11:42,-1,Michael Robinson missed Layup.,32,61
11:42,-1,Ian Eversull Offensive Rebound.,32,61
11:42,2378,Foul on Will Darley.,32,61
11:42,-1,Ian Eversull made Free Throw.,33,61
11:42,-1,Ian Eversull made Free Throw.,34,61
11:22,2378,Jairus Lyles made Jumper.,34,63
11:03,-1,Drew Billingsley missed Three Point Jumper.,34,63
11:03,2378,Max Curran Defensive Rebound.,34,63
10:50,2378,Jairus Lyles Turnover.,34,63
10:24,-1,Michael Robinson made Jumper.,36,63
9:53,2378,Joe Sherburne missed Three Point Jumper.,36,63
9:53,2378,Joel Wincowski Offensive Rebound.,36,63
9:48,2378,Arkel Lamal Turnover.,36,63
9:29,-1,Michael Riley made Three Point Jumper. Assisted by Tanner Ruths.,39,63
9:07,2378,Jairus Lyles made Layup.,39,65
9:07,-1,Foul on Tanner Ruths.,39,65
9:07,2378,Jairus Lyles missed Free Throw.,39,65
9:07,2378,UMBC Offensive Rebound.,39,65
9:07,-1,Foul on Michael Robinson.,39,65
9:04,2378,Max Curran missed Three Point Jumper.,39,65
9:04,2378,Joel Wincowski Offensive Rebound.,39,65
8:59,2378,Joel Wincowski made Two Point Tip Shot.,39,67
8:56,2378,Foul on Joel Wincowski.,39,67
8:56,-1,Tanner Ruths made Free Throw.,40,67
8:56,-1,Tanner Ruths made Free Throw.,41,67
8:45,2378,Max Curran made Jumper. Assisted by Joe Sherburne.,41,69
8:33,-1,Trevor Magnuski made Layup. Assisted by Scott Bolen.,43,69
8:05,2378,Arkel Lamal missed Three Point Jumper.,43,69
8:05,2378,Max Curran Offensive Rebound.,43,69
7:42,2378,Max Curran Turnover.,43,69
7:42,-1,Tanner Ruths Steal.,43,69
7:38,-1,Michael Riley made Layup. Assisted by Tanner Ruths.,45,69
7:11,2378,Max Curran missed Three Point Jumper.,45,69
7:11,2378,Arkel Lamal Offensive Rebound.,45,69
7:03,2378,Arkel Lamal made Dunk.,45,71
6:58,-1,Michael Riley missed Three Point Jumper.,45,71
6:58,-1,Hood College Offensive Rebound.,45,71
6:57,2378,Official TV Timeout,45,71
6:53,-1,Jared Ruiz Turnover.,45,71
6:52,2378,Joe Sherburne Steal.,45,71
6:22,2378,Joe Sherburne missed Three Point Jumper.,45,71
6:22,-1,Trevor Magnuski Defensive Rebound.,45,71
6:13,-1,Ian Eversull made Layup.,47,71
5:44,-1,Foul on Tanner Ruths.,47,71
5:44,2378,Joe Sherburne made Free Throw.,47,72
5:44,2378,Joe Sherburne missed Free Throw.,47,72
5:44,2378,Jairus Lyles Offensive Rebound.,47,72
5:34,-1,Foul on Tanner Ruths.,47,72
5:34,2378,Arkel Lamal made Free Throw.,47,73
5:34,2378,Arkel Lamal made Free Throw.,47,74
5:16,-1,Scott Bolen made Three Point Jumper. Assisted by Jared Ruiz.,50,74
4:47,2378,Jairus Lyles made Three Point Jumper. Assisted by Joe Sherburne.,50,77
4:28,-1,Scott Bolen made Three Point Jumper. Assisted by Jared Ruiz.,53,77
4:02,2378,Arkel Lamal made Three Point Jumper.,53,80
3:52,-1,Trevor Magnuski Turnover.,53,80
3:50,2378,Arkel Lamal Steal.,53,80
3:49,2378,Arkel Lamal made Dunk.,53,82
3:41,-1,Scott Bolen missed Three Point Jumper.,53,82
3:41,2378,Arkel Lamal Defensive Rebound.,53,82
3:33,2378,Malcolm Brent made Three Point Jumper. Assisted by Jairus Lyles.,53,85
3:10,-1,Scott Bolen missed Three Point Jumper.,53,85
3:10,2378,Malcolm Brent Defensive Rebound.,53,85
2:54,2378,Foul on Nolan Gerrity.,53,85
2:54,2378,Nolan Gerrity Turnover.,53,85
2:54,2378,Official TV Timeout,53,85
2:50,-1,Scott Bolen made Three Point Jumper. Assisted by Trevor Magnuski.,56,85
2:35,2378,Daquon Ervin Turnover.,56,85
2:34,-1,Trevor Magnuski Steal.,56,85
2:33,-1,Trevor Magnuski made Layup.,58,85
2:06,2378,Malcolm Brent missed Three Point Jumper.,58,85
2:06,2378,Ishmail Jabbie Offensive Rebound.,58,85
2:03,-1,Foul on Trevor Magnuski.,58,85
2:03,2378,Ishmail Jabbie missed Free Throw.,58,85
2:03,2378,UMBC Deadball Team Rebound.,58,85
2:03,2378,Ishmail Jabbie missed Free Throw.,58,85
2:03,-1,Mateo Sanchez Defensive Rebound.,58,85
1:49,-1,Bruice Harris Turnover.,58,85
1:41,2378,Max Curran made Dunk. Assisted by Malcolm Brent.,58,87
1:20,-1,Bruice Harris Turnover.,58,87
1:16,2378,Ishmail Jabbie missed Three Point Jumper.,58,87
1:16,2378,Max Curran Offensive Rebound.,58,87
1:11,2378,Max Curran made Layup.,58,89
0:56,-1,Nate Christian missed Layup.,58,89
0:56,2378,Max Curran Block.,58,89
0:56,-1,Hood College Offensive Rebound.,58,89
0:50,-1,Jordan Hall missed Jumper.,58,89
0:50,-1,Nate Christian Offensive Rebound.,58,89
0:42,2378,Foul on Daquon Ervin.,58,89
0:42,-1,Julian Stover made Free Throw.,59,89
0:42,-1,Julian Stover made Free Throw.,60,89
0:20,2378,Joel Wincowski made Three Point Jumper. Assisted by Daquon Ervin.,60,92
0:12,2378,Foul on Ishmail Jabbie.,60,92
0:12,-1,Julian Stover missed Free Throw.,60,92
0:12,-1,Hood College Deadball Team Rebound.,60,92
0:12,-1,Julian Stover made Free Throw.,61,92
0:00,2378,End of Game,61,92
