McPherson College,Error,Air Force,2005
9:23,-1,Garrett Owen Defensive Rebound.,15,20
9:04,-1,Chris Crook Turnover.,15,20
8:43,2005,Frank Toohey missed Jumper.,15,20
8:43,-1,Brandon Carter Defensive Rebound.,15,20
8:23,-1,Grant Raleigh missed Three Point Jumper.,15,20
8:23,2005,Zach Kocur Defensive Rebound.,15,20
8:04,-1,Foul on Brandon Carter.,15,20
8:02,2005,Hayden Graham missed Free Throw.,15,20
8:02,2005,Air Force Deadball Team Rebound.,15,20
8:02,2005,Hayden Graham missed Free Throw.,15,20
8:02,-1,Reed Rowell Defensive Rebound.,15,20
7:52,-1,Aaron Bachura missed Jumper.,15,20
7:52,2005,Jacob Van Defensive Rebound.,15,20
7:50,2005,Official TV Timeout,15,20
7:50,2005,Jacob Van made Free Throw.,15,21
7:50,2005,Jacob Van made Free Throw.,15,22
7:49,-1,Foul on Grant Raleigh.,15,22
7:39,-1,Grant Raleigh missed Jumper.,15,22
7:39,2005,Zach Kocur Defensive Rebound.,15,22
7:16,2005,Zach Kocur made Three Point Jumper. Assisted by Trevor Lyons.,15,25
7:03,2005,Foul on Trevor Lyons.,15,25
6:44,-1,Brandon Carter made Jumper. Assisted by Grant Raleigh.,17,25
6:21,2005,Frank Toohey made Jumper. Assisted by Trevor Lyons.,17,27
6:06,-1,Aaron Bachura missed Three Point Jumper.,17,27
6:06,2005,Jacob Van Defensive Rebound.,17,27
5:55,2005,Frank Toohey made Three Point Jumper. Assisted by Zach Kocur.,17,30
5:31,-1,DeAndre Henson missed Three Point Jumper.,17,30
5:31,-1,Aaron Bachura Offensive Rebound.,17,30
5:08,-1,Grant Raleigh missed Three Point Jumper.,17,30
5:08,2005,Trevor Lyons Defensive Rebound.,17,30
4:54,-1,Foul on Thomas Butler.,17,30
4:54,2005,Frank Toohey made Free Throw.,17,31
4:54,2005,Frank Toohey made Free Throw.,17,32
4:43,-1,Ryan O'Hara missed Three Point Jumper.,17,32
4:43,2005,CJ Siples Defensive Rebound.,17,32
4:34,2005,Hayden Graham made Layup.,17,34
4:15,-1,Chris Crook missed Three Point Jumper.,17,34
4:15,2005,Air Force Defensive Rebound.,17,34
4:04,2005,Hayden Graham made Layup. Assisted by Lavelle Scottie.,17,36
3:52,-1,Thomas Butler Turnover.,17,36
3:51,2005,Trevor Lyons Steal.,17,36
3:47,2005,CJ Siples made Dunk. Assisted by Pervis Louder.,17,38
3:46,-1,McPherson  Timeout,17,38
3:46,2005,Official TV Timeout,17,38
3:39,-1,Thomas Butler Turnover.,17,38
3:11,2005,CJ Siples missed Jumper.,17,38
3:11,-1,Grant Raleigh Defensive Rebound.,17,38
2:52,-1,DeAndre Henson made Three Point Jumper. Assisted by Ryan O'Hara.,20,38
2:38,-1,Foul on DeAndre Henson.,20,38
2:38,2005,Trevor Lyons made Free Throw.,20,39
2:38,2005,Trevor Lyons made Free Throw.,20,40
2:13,2005,Foul on Hayden Graham.,20,40
2:02,-1,Chris Crook made Three Point Jumper. Assisted by Grant Raleigh.,23,40
1:48,-1,Foul on Ryan O'Hara.,23,40
1:48,2005,Pervis Louder missed Free Throw.,23,40
1:48,2005,Air Force Deadball Team Rebound.,23,40
1:48,2005,Pervis Louder missed Free Throw.,23,40
1:48,-1,Careino Gurley Defensive Rebound.,23,40
1:42,-1,Grant Raleigh missed Three Point Jumper.,23,40
1:42,2005,Pervis Louder Defensive Rebound.,23,40
1:39,-1,Foul on Ryan O'Hara.,23,40
1:39,2005,Pervis Louder missed Free Throw.,23,40
1:39,2005,Air Force Deadball Team Rebound.,23,40
1:39,2005,Pervis Louder made Free Throw.,23,41
1:25,-1,Grant Raleigh made Three Point Jumper. Assisted by Careino Gurley.,26,41
1:17,2005,Ryan Manning made Jumper. Assisted by CJ Siples.,26,43
1:01,-1,Chris Crook made Three Point Jumper.,29,43
0:48,2005,Air Force  Timeout,29,43
0:32,2005,Kyle Broekhuis made Layup. Assisted by CJ Siples.,29,45
0:08,2005,Foul on CJ Siples.,29,45
0:06,2005,Foul on Lavelle Scottie.,29,45
0:01,2005,Foul on Lavelle Scottie.,29,45
0:00,-1,Careino Gurley made Jumper. Assisted by Grant Raleigh.,31,45
0:00,2005,End of 1st half,31,45
19:43,2005,Foul on Hayden Graham.,31,45
19:32,-1,DeAndre Henson Turnover.,31,45
19:18,-1,Foul on Aaron Bachura.,31,45
19:02,2005,Trevor Lyons missed Three Point Jumper.,31,45
19:02,2005,Air Force Offensive Rebound.,31,45
18:59,-1,Foul on Reed Rowell.,31,45
18:59,-1,Foul on Aaron Bachura.,31,45
18:53,2005,Zach Kocur made Three Point Jumper. Assisted by Jacob Van.,31,48
18:36,-1,Grant Raleigh made Jumper.,33,48
18:27,-1,Foul on Thomas Butler.,33,48
18:19,2005,Jacob Van made Three Point Jumper. Assisted by Trevor Lyons.,33,51
18:03,-1,Reed Rowell made Jumper.,35,51
17:47,2005,Frank Toohey missed Jumper.,35,51
17:47,-1,Grant Raleigh Defensive Rebound.,35,51
17:24,-1,Grant Raleigh made Three Point Jumper. Assisted by DeAndre Henson.,38,51
16:56,2005,Hayden Graham made Layup. Assisted by Frank Toohey.,38,53
16:31,-1,DeAndre Henson made Three Point Jumper.,41,53
16:12,2005,Zach Kocur missed Jumper.,41,53
16:12,-1,Thomas Butler Defensive Rebound.,41,53
16:11,2005,Foul on Frank Toohey.,41,53
15:59,-1,Chris Crook missed Three Point Jumper.,41,53
15:59,2005,Zach Kocur Defensive Rebound.,41,53
15:40,-1,Foul on Garrett Owen.,41,53
15:40,2005,Official TV Timeout,41,53
15:40,2005,Trevor Lyons made Free Throw.,41,54
15:40,2005,Trevor Lyons made Free Throw.,41,55
15:26,-1,Thomas Butler Turnover.,41,55
15:04,-1,Foul on Ryan O'Hara.,41,55
14:55,-1,Foul on Careino Gurley.,41,55
14:55,2005,Frank Toohey made Free Throw.,41,56
14:55,2005,Frank Toohey made Free Throw.,41,57
14:48,2005,Foul on Frank Toohey.,41,57
14:40,-1,Careino Gurley Turnover.,41,57
14:23,2005,Trevor Lyons made Three Point Jumper. Assisted by Zach Kocur.,41,60
14:07,2005,Foul on CJ Siples.,41,60
14:04,2005,Foul on Kyle Broekhuis.,41,60
14:04,-1,Careino Gurley missed Free Throw.,41,60
14:04,-1,McPherson Deadball Team Rebound.,41,60
14:02,-1,Careino Gurley made Free Throw.,42,60
13:36,2005,CJ Siples missed Three Point Jumper.,42,60
13:36,-1,McPherson Defensive Rebound.,42,60
13:34,2005,Foul on Frank Toohey.,42,60
13:22,2005,Foul on CJ Siples.,42,60
13:22,-1,Chris Crook missed Free Throw.,42,60
13:22,-1,McPherson Deadball Team Rebound.,42,60
13:22,-1,Chris Crook made Free Throw.,43,60
13:19,-1,Foul on Garrett Owen.,43,60
13:19,2005,CJ Siples made Free Throw.,43,61
13:19,2005,CJ Siples missed Free Throw.,43,61
13:19,-1,Careino Gurley Defensive Rebound.,43,61
12:49,-1,Jordan Windholz missed Three Point Jumper.,43,61
12:49,-1,Chris Crook Offensive Rebound.,43,61
12:46,-1,Chris Crook missed Jumper.,43,61
12:46,2005,CJ Siples Defensive Rebound.,43,61
12:35,2005,Lavelle Scottie made Dunk. Assisted by CJ Siples.,43,63
12:24,-1,Jordan Windholz made Three Point Jumper.,46,63
12:15,2005,Pervis Louder Turnover.,46,63
12:13,-1,Jordan Windholz Steal.,46,63
12:03,-1,Chris Crook made Layup.,48,63
12:03,2005,Foul on Lavelle Scottie.,48,63
12:03,-1,Chris Crook made Free Throw.,49,63
11:40,2005,Trevor Lyons missed Three Point Jumper.,49,63
11:40,-1,McPherson Defensive Rebound.,49,63
11:40,2005,Official TV Timeout,49,63
11:15,-1,Chris Crook made Jumper.,51,63
10:45,2005,Hayden Graham missed Three Point Jumper.,51,63
10:45,2005,Zach Kocur Offensive Rebound.,51,63
10:41,2005,Zach Kocur made Layup.,51,65
10:41,-1,Foul on Garrett Owen.,51,65
10:41,2005,Zach Kocur made Free Throw.,51,66
10:17,-1,Chris Crook missed Three Point Jumper.,51,66
10:17,2005,Hayden Graham Defensive Rebound.,51,66
10:11,2005,Hayden Graham missed Layup.,51,66
10:11,-1,Thomas Butler Defensive Rebound.,51,66
10:10,2005,Foul on Zach Kocur.,51,66
10:10,-1,Thomas Butler missed Free Throw.,51,66
10:10,2005,Hayden Graham Defensive Rebound.,51,66
10:04,-1,Foul on Grant Raleigh.,51,66
10:04,2005,Frank Toohey made Free Throw.,51,67
10:04,2005,Frank Toohey made Free Throw.,51,68
9:52,-1,Jordan Windholz missed Three Point Jumper.,51,68
9:52,2005,Jacob Van Defensive Rebound.,51,68
9:44,2005,Trevor Lyons missed Layup.,51,68
9:44,-1,Jordan Windholz Defensive Rebound.,51,68
9:28,-1,Stefan Krsmanovic missed Three Point Jumper.,51,68
9:28,2005,Zach Kocur Defensive Rebound.,51,68
9:20,2005,Jacob Van Turnover.,51,68
9:07,-1,Thomas Butler missed Layup.,51,68
9:07,2005,Frank Toohey Defensive Rebound.,51,68
8:57,2005,Frank Toohey missed Three Point Jumper.,51,68
8:57,2005,Hayden Graham Offensive Rebound.,51,68
8:54,2005,Hayden Graham made Jumper.,51,70
8:33,-1,Aaron Bachura made Three Point Jumper.,54,70
8:18,-1,Foul on Jordan Windholz.,54,70
8:18,2005,Zach Kocur made Free Throw.,54,71
8:18,2005,Zach Kocur missed Free Throw.,54,71
8:18,-1,Jordan Windholz Defensive Rebound.,54,71
8:02,-1,Careino Gurley Turnover.,54,71
8:00,2005,Zach Kocur Steal.,54,71
7:58,2005,Zach Kocur made Layup.,54,73
7:38,-1,Aaron Bachura made Three Point Jumper. Assisted by Jordan Windholz.,57,73
7:18,2005,Zach Kocur missed Three Point Jumper.,57,73
7:18,2005,Frank Toohey Offensive Rebound.,57,73
7:14,-1,Foul on Stefan Krsmanovic.,57,73
7:14,2005,Official TV Timeout,57,73
7:14,2005,Frank Toohey made Free Throw.,57,74
7:14,2005,Frank Toohey missed Free Throw.,57,74
7:14,-1,Careino Gurley Defensive Rebound.,57,74
6:51,-1,Grant Raleigh made Layup.,59,74
6:51,2005,Foul on Sid Tomes.,59,74
6:51,-1,Grant Raleigh missed Free Throw.,59,74
6:51,-1,Reed Rowell Offensive Rebound.,59,74
6:24,-1,Careino Gurley made Jumper.,61,74
5:57,2005,CJ Siples Turnover.,61,74
5:47,2005,Air Force  Timeout,61,74
5:43,-1,Careino Gurley Turnover.,61,74
5:42,2005,CJ Siples Steal.,61,74
5:40,2005,Foul on Caleb Morris.,61,74
5:40,2005,Caleb Morris Turnover.,61,74
5:23,-1,Aaron Bachura missed Three Point Jumper.,61,74
5:23,2005,Caleb Morris Defensive Rebound.,61,74
5:14,2005,Kyle Broekhuis missed Three Point Jumper.,61,74
5:14,-1,McPherson Defensive Rebound.,61,74
5:01,-1,Reed Rowell missed Layup.,61,74
5:01,2005,Lavelle Scottie Block.,61,74
4:59,-1,Grant Raleigh Offensive Rebound.,61,74
4:55,-1,Grant Raleigh missed Layup.,61,74
4:55,2005,Caleb Morris Defensive Rebound.,61,74
4:36,-1,Foul on Reed Rowell.,61,74
4:36,2005,Sid Tomes missed Free Throw.,61,74
4:36,2005,Air Force Deadball Team Rebound.,61,74
4:36,2005,Sid Tomes made Free Throw.,61,75
4:28,-1,Reed Rowell made Jumper. Assisted by Careino Gurley.,63,75
4:01,-1,Foul on Grant Raleigh.,63,75
4:01,2005,CJ Siples made Free Throw.,63,76
4:01,2005,CJ Siples missed Free Throw.,63,76
4:01,-1,Reed Rowell Defensive Rebound.,63,76
3:52,-1,Chris Crook missed Three Point Jumper.,63,76
3:52,2005,CJ Siples Defensive Rebound.,63,76
3:32,2005,Caleb Morris made Jumper.,63,78
3:19,2005,Official TV Timeout,63,78
3:18,-1,Grant Raleigh Turnover.,63,78
2:54,2005,LeSean Brown missed Jumper.,63,78
2:54,-1,Chris Crook Defensive Rebound.,63,78
2:48,-1,Aaron Bachura missed Jumper.,63,78
2:48,2005,Caleb Morris Defensive Rebound.,63,78
2:35,-1,Foul on Chris Crook.,63,78
2:35,2005,Sid Tomes made Free Throw.,63,79
2:35,2005,Sid Tomes made Free Throw.,63,80
2:18,2005,Foul on Lavelle Scottie.,63,80
2:18,-1,Thomas Butler made Free Throw.,64,80
2:18,-1,Thomas Butler made Free Throw.,65,80
2:06,2005,Caleb Morris made Jumper. Assisted by Sid Tomes.,65,82
1:51,-1,Chris Crook made Jumper.,67,82
1:25,2005,LeSean Brown made Three Point Jumper. Assisted by Jonathan DeWane.,67,85
1:12,-1,McPherson  Timeout,67,85
0:57,-1,Brandon Carter made Jumper. Assisted by Neko Gordon.,69,85
0:27,2005,Caleb Morris made Jumper.,69,87
0:27,-1,Foul on Grant Munsen.,69,87
0:27,2005,Caleb Morris made Free Throw.,69,88
0:18,-1,Chris Crook made Jumper.,71,88
0:00,2005,End of Game,71,88
