Loyola (MD),2184,Duquesne,2352
11:52,2352,Austin Harriott Defensive Rebound.,44,44
11:50,2352,Austin Harriott missed Three Point Jumper.,44,44
11:50,2184,Duquesne Defensive Rebound.,44,44
11:50,2352,Foul on James Fives.,44,44
11:50,2184,Official TV Timeout,44,44
11:41,2352,Foul on Austin Harriott.,44,44
11:41,2184,Eric James missed Free Throw.,44,44
11:41,2352,Jarred Jones Defensive Rebound.,44,44
11:29,2184,Foul on Nakye Sanders.,44,44
11:27,2352,Andre Walker made Jumper.,46,44
11:08,2184,Mike Lewis II made Jumper.,46,46
10:48,2352,Jarred Jones made Jumper.,48,46
10:35,2184,Spencer Littleson made Three Point Jumper. Assisted by Eric James.,48,49
10:02,2352,Chancellor Barnard missed Layup.,48,49
10:02,2184,Nakye Sanders Block.,48,49
10:01,2184,Eric James Defensive Rebound.,48,49
9:56,2352,Foul on Andrew Kostecka.,48,49
9:56,2184,Eric James made Free Throw.,48,50
9:56,2184,Eric James made Free Throw.,48,51
9:45,2352,Andre Walker Turnover.,48,51
9:34,2184,Mike Lewis II missed Three Point Jumper.,48,51
9:34,2352,Jarred Jones Defensive Rebound.,48,51
9:12,2352,Andre Walker Turnover.,48,51
9:01,2184,Eric James made Layup. Assisted by Darius Lewis.,48,53
8:40,2184,Foul on Eric James.,48,53
8:35,2184,Foul on Darius Lewis.,48,53
8:35,2352,KaVaughn Scott missed Free Throw.,48,53
8:35,2352,Loyola (MD) Deadball Team Rebound.,48,53
8:35,2352,KaVaughn Scott made Free Throw.,49,53
8:25,2184,Nakye Sanders Turnover.,49,53
8:24,2352,Chancellor Barnard Steal.,49,53
8:22,2352,Nevell Provo missed Layup.,49,53
8:22,2184,Tarin Smith Block.,49,53
8:22,2352,Loyola (MD) Offensive Rebound.,49,53
8:22,2352,Andre Walker Turnover.,49,53
8:22,2352,Foul on Andre Walker.,49,53
8:13,2184,Tarin Smith missed Jumper.,49,53
8:13,2352,Ian Langendoerfer Defensive Rebound.,49,53
8:00,2352,Nevell Provo missed Three Point Jumper.,49,53
8:00,2352,Jarred Jones Offensive Rebound.,49,53
7:55,2352,Jarred Jones missed Layup.,49,53
7:55,2352,Jarred Jones Offensive Rebound.,49,53
7:55,2352,Jarred Jones made Layup.,51,53
7:51,2184,Foul on Darius Lewis.,51,53
7:51,2184,Official TV Timeout,51,53
7:51,2352,Jarred Jones made Free Throw.,52,53
7:27,2184,Emile Blackman made Jumper.,52,55
6:57,2352,Chancellor Barnard Turnover.,52,55
6:54,2184,Isiaha Mike Steal.,52,55
6:54,2184,Isiaha Mike made Dunk.,52,57
6:51,2352,Loyola (MD)  Timeout,52,57
6:39,2352,Andre Walker Turnover.,52,57
6:39,2184,Nakye Sanders Steal.,52,57
6:31,2184,Isiaha Mike missed Three Point Jumper.,52,57
6:31,2352,Loyola (MD) Defensive Rebound.,52,57
6:31,2184,Foul on Emile Blackman.,52,57
6:12,2352,Cam Gregory made Layup. Assisted by Nevell Provo.,54,57
5:51,2184,Tarin Smith made Layup.,54,59
5:17,2352,Chancellor Barnard missed Three Point Jumper.,54,59
5:17,2184,Nakye Sanders Defensive Rebound.,54,59
4:57,2184,Nakye Sanders Turnover.,54,59
4:56,2352,Cam Gregory Steal.,54,59
4:48,2184,Foul on Isiaha Mike.,54,59
4:48,2352,Jarred Jones missed Free Throw.,54,59
4:48,2352,Loyola (MD) Deadball Team Rebound.,54,59
4:48,2352,Jarred Jones made Free Throw.,55,59
4:40,2184,Tarin Smith Turnover.,55,59
4:40,2184,Foul on Tarin Smith.,55,59
4:30,2184,Foul on Nakye Sanders.,55,59
4:30,2352,Cam Gregory missed Free Throw.,55,59
4:30,2184,Nakye Sanders Defensive Rebound.,55,59
4:13,2184,Darius Lewis Turnover.,55,59
4:13,2184,Foul on Darius Lewis.,55,59
3:58,2352,Jarred Jones missed Layup.,55,59
3:58,2184,Eric James Block.,55,59
3:54,2352,Jarred Jones Offensive Rebound.,55,59
3:52,2352,Andrew Kostecka missed Three Point Jumper.,55,59
3:52,2352,Chancellor Barnard Offensive Rebound.,55,59
3:52,2352,Chancellor Barnard missed Two Point Tip Shot.,55,59
3:52,2184,Duquesne Defensive Rebound.,55,59
3:48,2184,Official TV Timeout,55,59
3:23,2184,Tarin Smith missed Layup.,55,59
3:23,2352,Chancellor Barnard Block.,55,59
3:21,2184,Duquesne Offensive Rebound.,55,59
3:18,2184,Spencer Littleson missed Jumper.,55,59
3:18,2352,Chancellor Barnard Block.,55,59
3:16,2184,Duquesne Offensive Rebound.,55,59
3:16,2184,Duquesne  Turnover.,55,59
3:05,2352,Jarred Jones made Jumper.,57,59
2:52,2184,Duquesne  Timeout,57,59
2:45,2184,Mike Lewis II missed Layup.,57,59
2:45,2352,Andrew Kostecka Block.,57,59
2:43,2352,Andre Walker Defensive Rebound.,57,59
2:39,2352,Jarred Jones missed Layup.,57,59
2:39,2352,Cam Gregory Offensive Rebound.,57,59
2:36,2352,Cam Gregory missed Two Point Tip Shot.,57,59
2:36,2184,Duquesne Defensive Rebound.,57,59
2:35,2352,Foul on Cam Gregory.,57,59
2:35,2184,Eric James missed Free Throw.,57,59
2:35,2184,Duquesne Deadball Team Rebound.,57,59
2:35,2184,Eric James made Free Throw.,57,60
2:14,2352,Jarred Jones missed Jumper.,57,60
2:14,2184,Mike Lewis II Defensive Rebound.,57,60
1:51,2184,Tarin Smith made Layup.,57,62
1:31,2352,Andre Walker missed Layup.,57,62
1:31,2184,Nakye Sanders Block.,57,62
1:29,2184,Tarin Smith Defensive Rebound.,57,62
1:29,2352,Foul on Andre Walker.,57,62
1:29,2184,Tarin Smith made Free Throw.,57,63
1:29,2184,Tarin Smith missed Free Throw.,57,63
1:29,2352,Cam Gregory Defensive Rebound.,57,63
1:07,2352,Andre Walker made Three Point Jumper.,60,63
1:07,2352,Loyola (MD)  Timeout,60,63
0:39,2184,Emile Blackman missed Jumper.,60,63
0:39,2184,Eric James Offensive Rebound.,60,63
0:25,2184,Tarin Smith missed Layup.,60,63
0:25,2352,Cam Gregory Block.,60,63
0:24,2184,Duquesne Offensive Rebound.,60,63
0:23,2184,Duquesne  Timeout,60,63
0:11,2352,Foul on Cam Gregory.,60,63
0:11,2184,Eric James made Free Throw.,60,64
0:11,2184,Eric James made Free Throw.,60,65
0:00,2352,Andre Walker missed Three Point Jumper.,60,65
0:00,2184,Emile Blackman Defensive Rebound.,60,65
0:00,2184,End of Game,60,65
