LaGrange College,Error,New Orleans,2443
14:11,-1,Richard Howell missed Three Point Jumper.,11,13
14:11,2443,Travin Thibodeaux Defensive Rebound.,11,13
14:02,2443,Christavious Gill missed Three Point Jumper.,11,13
14:02,2443,Erik Thomas Offensive Rebound.,11,13
13:56,2443,Erik Thomas made Jumper.,11,15
13:43,2443,Foul on Erik Thomas.,11,15
13:36,-1,Drew Vanderbrook missed Three Point Jumper.,11,15
13:36,-1,Richard Howell Offensive Rebound.,11,15
13:31,-1,Richard Howell made Jumper.,13,15
13:26,-1,Foul on Tyler Langston.,13,15
13:26,2443,Christavious Gill made Free Throw.,13,16
13:26,2443,Christavious Gill missed Free Throw.,13,16
13:26,2443,Erik Thomas Offensive Rebound.,13,16
13:22,2443,Erik Thomas missed Layup.,13,16
13:22,2443,Jorge Rosa Offensive Rebound.,13,16
13:18,2443,Jorge Rosa made Layup.,13,18
13:05,-1,Elijah Adedoyin missed Three Point Jumper.,13,18
13:05,-1,Michael McCauley Offensive Rebound.,13,18
13:03,2443,Foul on Jorge Rosa.,13,18
13:03,-1,Michael McCauley missed Free Throw.,13,18
13:03,-1,LaGrange Deadball Team Rebound.,13,18
13:03,-1,Michael McCauley missed Free Throw.,13,18
13:03,-1,Richard Howell Offensive Rebound.,13,18
13:02,2443,Foul on Jorge Rosa.,13,18
13:02,-1,Richard Howell made Free Throw.,14,18
13:02,-1,Richard Howell missed Free Throw.,14,18
13:02,2443,Michael Zeno Defensive Rebound.,14,18
13:00,-1,Foul on Michael McCauley.,14,18
12:43,-1,Foul on Jared Henderson.,14,18
12:43,2443,Michael Zeno made Free Throw.,14,19
12:43,2443,Michael Zeno made Free Throw.,14,20
12:34,-1,Drew Vanderbrook made Three Point Jumper.,17,20
12:21,2443,Tevin Broyles missed Three Point Jumper.,17,20
12:21,-1,Drew Vanderbrook Defensive Rebound.,17,20
12:05,-1,Michael McCauley made Jumper. Assisted by Elijah Adedoyin.,19,20
11:45,2443,Tevin Broyles missed Three Point Jumper.,19,20
11:45,2443,New Orleans Offensive Rebound.,19,20
11:42,2443,New Orleans  Timeout,19,20
11:36,2443,Michael Zeno Turnover.,19,20
11:33,-1,Elijah Adedoyin Steal.,19,20
11:28,-1,Drew Vanderbrook missed Jumper.,19,20
11:28,2443,Christavious Gill Defensive Rebound.,19,20
11:28,-1,Foul on Tyler Langston.,19,20
11:25,2443,Christavious Gill missed Free Throw.,19,20
11:25,-1,Elijah Adedoyin Defensive Rebound.,19,20
11:15,-1,Tyler Langston missed Three Point Jumper.,19,20
11:15,-1,Drew Vanderbrook Offensive Rebound.,19,20
11:15,2443,Foul on Travin Thibodeaux.,19,20
11:11,-1,Michael McCauley missed Jumper.,19,20
11:11,-1,Jared Henderson Offensive Rebound.,19,20
11:10,-1,Elijah Adedoyin Turnover.,19,20
11:10,-1,Foul on Elijah Adedoyin.,19,20
11:01,-1,Foul on Jared Henderson.,19,20
11:01,2443,Tevin Broyles made Free Throw.,19,21
11:01,2443,Tevin Broyles made Free Throw.,19,22
10:45,-1,Travis Thompson missed Layup.,19,22
10:45,2443,Michael Zeno Block.,19,22
10:43,-1,Duncan Parker Offensive Rebound.,19,22
10:40,-1,Duncan Parker made Layup.,21,22
10:36,2443,Christavious Gill missed Jumper.,21,22
10:36,2443,Michael Zeno Offensive Rebound.,21,22
10:32,2443,Michael Zeno Turnover.,21,22
10:31,-1,Stephen Wagner Steal.,21,22
10:17,-1,Duncan Parker Turnover.,21,22
10:17,-1,Foul on Duncan Parker.,21,22
10:00,2443,Christavious Gill missed Three Point Jumper.,21,22
10:00,-1,Stephen Wagner Defensive Rebound.,21,22
9:54,-1,Stephen Wagner made Jumper.,23,22
9:43,-1,Foul on Richard Howell.,23,22
9:43,2443,Erik Thomas made Free Throw.,23,23
9:43,2443,Erik Thomas made Free Throw.,23,24
9:14,-1,Duncan Parker Turnover.,23,24
9:12,2443,Christavious Gill Steal.,23,24
9:08,2443,Tevin Broyles missed Three Point Jumper.,23,24
9:08,-1,Jamison McCray Defensive Rebound.,23,24
8:51,-1,Travis Thompson missed Jumper.,23,24
8:51,2443,Tevin Broyles Defensive Rebound.,23,24
8:39,2443,Bryson Robinson missed Three Point Jumper.,23,24
8:39,2443,Tevin Broyles Offensive Rebound.,23,24
8:35,2443,Tevin Broyles missed Layup.,23,24
8:35,2443,Makur Puou Offensive Rebound.,23,24
8:32,2443,Makur Puou made Layup.,23,26
8:01,-1,Richard Howell Turnover.,23,26
8:00,2443,Tevin Broyles Steal.,23,26
7:58,2443,Erik Thomas missed Dunk.,23,26
7:58,-1,Duncan Parker Defensive Rebound.,23,26
7:51,-1,Richard Howell made Three Point Jumper. Assisted by Stephen Wagner.,26,26
7:47,-1,LaGrange  Timeout,26,26
7:37,2443,Makur Puou Turnover.,26,26
7:34,-1,Jamison McCray Steal.,26,26
7:25,-1,Richard Howell missed Jumper.,26,26
7:25,2443,Cameron Reed Defensive Rebound.,26,26
7:16,2443,Makur Puou missed Layup.,26,26
7:16,2443,Erik Thomas Offensive Rebound.,26,26
7:11,2443,Erik Thomas made Layup.,26,28
7:05,-1,Travis Thompson Turnover.,26,28
6:46,2443,Cameron Reed missed Three Point Jumper.,26,28
6:46,-1,Jamison McCray Defensive Rebound.,26,28
6:35,-1,Jamison McCray missed Three Point Jumper.,26,28
6:35,2443,Matthew Jiles Defensive Rebound.,26,28
6:25,2443,Bryson Robinson missed Jumper.,26,28
6:25,2443,Erik Thomas Offensive Rebound.,26,28
6:22,2443,Erik Thomas missed Three Point Jumper.,26,28
6:22,-1,Duncan Parker Defensive Rebound.,26,28
6:09,-1,Duncan Parker Turnover.,26,28
6:07,2443,Makur Puou Steal.,26,28
5:44,2443,Erik Thomas made Layup. Assisted by Bryson Robinson.,26,30
5:34,2443,Foul on Matthew Jiles.,26,30
5:28,-1,Jamison McCray Turnover.,26,30
5:16,-1,Foul on Duncan Parker.,26,30
5:16,2443,Erik Thomas made Free Throw.,26,31
5:16,2443,Erik Thomas made Free Throw.,26,32
4:59,-1,Travis Thompson Turnover.,26,32
4:58,2443,Erik Thomas Steal.,26,32
4:55,2443,Erik Thomas made Layup.,26,34
4:42,-1,Jamison McCray Turnover.,26,34
4:40,2443,Erik Thomas Steal.,26,34
4:38,2443,Erik Thomas made Dunk. Assisted by Cameron Reed.,26,36
4:05,-1,Travis Thompson Turnover.,26,36
4:02,2443,Erik Thomas Steal.,26,36
4:02,-1,Foul on Jamison McCray.,26,36
4:02,2443,Christavious Gill missed Free Throw.,26,36
4:02,2443,New Orleans Deadball Team Rebound.,26,36
4:02,2443,Christavious Gill missed Free Throw.,26,36
4:02,2443,Erik Thomas Offensive Rebound.,26,36
3:56,2443,Christavious Gill Turnover.,26,36
3:54,-1,Richard Howell Steal.,26,36
3:52,2443,Foul on Travin Thibodeaux.,26,36
3:52,-1,LaGrange  Timeout,26,36
3:52,-1,Drew Vanderbrook made Free Throw.,27,36
3:52,-1,Drew Vanderbrook made Free Throw.,28,36
3:36,-1,Foul on Drew Vanderbrook.,28,36
3:36,2443,Travin Thibodeaux made Free Throw.,28,37
3:36,2443,Travin Thibodeaux missed Free Throw.,28,37
3:36,-1,Drew Vanderbrook Defensive Rebound.,28,37
3:23,-1,Tyler Langston made Three Point Jumper. Assisted by Drew Vanderbrook.,31,37
3:10,-1,Foul on Elijah Adedoyin.,31,37
3:10,2443,Christavious Gill made Free Throw.,31,38
3:10,2443,Christavious Gill made Free Throw.,31,39
3:01,-1,Jamison McCray missed Jumper.,31,39
3:01,2443,Cameron Reed Defensive Rebound.,31,39
2:56,2443,Cameron Reed Turnover.,31,39
2:27,-1,Jamison McCray missed Jumper.,31,39
2:27,-1,Jamison McCray Offensive Rebound.,31,39
2:23,-1,Jamison McCray made Layup.,33,39
2:15,2443,Matthew Jiles missed Layup.,33,39
2:15,-1,Drew Vanderbrook Defensive Rebound.,33,39
2:08,-1,Jamison McCray missed Three Point Jumper.,33,39
2:08,2443,Erik Thomas Defensive Rebound.,33,39
2:04,-1,Foul on Drew Vanderbrook.,33,39
2:04,2443,Erik Thomas made Free Throw.,33,40
2:04,2443,Erik Thomas made Free Throw.,33,41
1:40,2443,New Orleans  Timeout,33,41
1:40,-1,Duncan Parker Turnover.,33,41
1:40,-1,Foul on Duncan Parker.,33,41
1:26,-1,Foul on Richard Howell.,33,41
1:26,2443,Tevin Broyles made Free Throw.,33,42
1:26,2443,Tevin Broyles missed Free Throw.,33,42
1:26,-1,Jamison McCray Defensive Rebound.,33,42
1:03,-1,Richard Howell missed Three Point Jumper.,33,42
1:03,-1,LaGrange Offensive Rebound.,33,42
1:00,-1,LaGrange  Timeout,33,42
0:56,2443,Foul on A.J. Cheeseman.,33,42
0:56,-1,Richard Howell made Free Throw.,34,42
0:56,-1,Richard Howell made Free Throw.,35,42
0:11,2443,Danny Cohen made Three Point Jumper. Assisted by Michael Zeno.,35,45
0:00,2443,End of 1st half,35,45
19:48,-1,Jacob Gaetanos missed Layup.,35,45
19:48,2443,Travin Thibodeaux Block.,35,45
19:46,2443,Makur Puou Defensive Rebound.,35,45
19:25,2443,Travin Thibodeaux made Jumper.,35,47
19:16,-1,Drew Vanderbrook missed Three Point Jumper.,35,47
19:16,2443,Tevin Broyles Defensive Rebound.,35,47
19:14,-1,Foul on Richard Howell.,35,47
18:49,-1,Foul on Jared Henderson.,35,47
18:43,2443,Christavious Gill made Three Point Jumper. Assisted by Travin Thibodeaux.,35,50
18:23,-1,Richard Howell missed Three Point Jumper.,35,50
18:23,-1,Jacob Gaetanos Offensive Rebound.,35,50
18:21,2443,Foul on Travin Thibodeaux.,35,50
18:17,-1,Richard Howell Turnover.,35,50
18:12,2443,Christavious Gill Steal.,35,50
18:10,2443,Makur Puou made Layup. Assisted by Erik Thomas.,35,52
18:05,-1,Justyn Olson missed Jumper.,35,52
18:05,2443,Tevin Broyles Defensive Rebound.,35,52
17:58,2443,Erik Thomas made Layup. Assisted by Tevin Broyles.,35,54
17:48,-1,LaGrange  Timeout,35,54
17:40,-1,Tyler Langston missed Jumper.,35,54
17:40,-1,Tyler Langston Offensive Rebound.,35,54
17:33,-1,Tyler Langston missed Jumper.,35,54
17:33,-1,Jacob Gaetanos Offensive Rebound.,35,54
17:30,-1,Jacob Gaetanos made Layup.,37,54
17:25,2443,Christavious Gill missed Layup.,37,54
17:25,-1,Justyn Olson Defensive Rebound.,37,54
17:14,-1,Drew Vanderbrook missed Three Point Jumper.,37,54
17:14,2443,Tevin Broyles Defensive Rebound.,37,54
17:01,2443,Venjie Wallis made Three Point Jumper. Assisted by Christavious Gill.,37,57
16:41,-1,Richard Howell Turnover.,37,57
16:39,2443,Venjie Wallis Steal.,37,57
16:37,2443,Venjie Wallis made Layup.,37,59
16:11,-1,Richard Howell missed Layup.,37,59
16:11,-1,Richard Howell Offensive Rebound.,37,59
16:04,-1,Richard Howell Turnover.,37,59
16:04,-1,Foul on Richard Howell.,37,59
15:51,-1,Foul on Justyn Olson.,37,59
15:51,2443,New Orleans  Timeout,37,59
15:39,2443,Makur Puou made Dunk. Assisted by Tevin Broyles.,37,61
15:31,-1,Tyler Langston Turnover.,37,61
15:29,2443,Michael Zeno Steal.,37,61
15:27,2443,Michael Zeno made Dunk.,37,63
15:19,-1,Travis Thompson missed Three Point Jumper.,37,63
15:19,-1,Tyler Langston Offensive Rebound.,37,63
15:10,-1,Elijah Adedoyin missed Three Point Jumper.,37,63
15:10,2443,Christavious Gill Defensive Rebound.,37,63
15:03,2443,Venjie Wallis missed Three Point Jumper.,37,63
15:03,2443,Michael Zeno Offensive Rebound.,37,63
14:58,2443,Michael Zeno made Layup.,37,65
14:39,-1,Elijah Adedoyin made Layup. Assisted by Justyn Olson.,39,65
14:21,2443,Michael Zeno missed Jumper.,39,65
14:21,-1,Drew Vanderbrook Defensive Rebound.,39,65
14:10,-1,Elijah Adedoyin missed Jumper.,39,65
14:10,2443,Christavious Gill Defensive Rebound.,39,65
14:03,2443,Christavious Gill missed Layup.,39,65
14:03,-1,Travis Thompson Defensive Rebound.,39,65
13:53,-1,Travis Thompson Turnover.,39,65
13:51,2443,Christavious Gill Steal.,39,65
13:49,2443,Christavious Gill made Layup.,39,67
13:30,-1,Justyn Olson made Layup.,41,67
13:13,2443,Michael Zeno made Dunk. Assisted by Venjie Wallis.,41,69
12:55,-1,Drew Vanderbrook made Layup.,43,69
12:43,2443,Christavious Gill made Three Point Jumper. Assisted by Tevin Broyles.,43,72
12:40,-1,LaGrange  Timeout,43,72
12:19,-1,Justyn Olson missed Three Point Jumper.,43,72
12:19,-1,Nate Rosetti Offensive Rebound.,43,72
12:05,-1,Nate Rosetti made Layup. Assisted by Justyn Olson.,45,72
11:43,2443,Cameron Reed missed Three Point Jumper.,45,72
11:43,2443,Erik Thomas Offensive Rebound.,45,72
11:40,2443,Erik Thomas made Jumper.,45,74
11:24,2443,Foul on Cameron Reed.,45,74
11:24,-1,LaGrange  Timeout,45,74
11:23,-1,Elijah Adedoyin missed Three Point Jumper.,45,74
11:23,-1,Michael McCauley Offensive Rebound.,45,74
11:18,-1,Michael McCauley missed Jumper.,45,74
11:18,2443,Travin Thibodeaux Defensive Rebound.,45,74
11:12,2443,Jorge Rosa missed Three Point Jumper.,45,74
11:12,2443,Cameron Reed Offensive Rebound.,45,74
10:58,-1,Foul on Michael McCauley.,45,74
10:48,2443,Travin Thibodeaux missed Jumper.,45,74
10:48,-1,Nate Rosetti Defensive Rebound.,45,74
10:46,2443,Foul on Jorge Rosa.,45,74
10:35,-1,Justyn Olson missed Jumper.,45,74
10:35,2443,Coleman Edwards Defensive Rebound.,45,74
10:23,-1,Foul on Michael McCauley.,45,74
10:16,2443,Jorge Rosa missed Jumper.,45,74
10:16,2443,Erik Thomas Offensive Rebound.,45,74
10:12,2443,Erik Thomas made Layup.,45,76
9:48,-1,Nate Rosetti Turnover.,45,76
9:38,2443,Travin Thibodeaux Turnover.,45,76
9:38,2443,Foul on Travin Thibodeaux.,45,76
9:18,-1,Elijah Adedoyin made Jumper.,47,76
9:18,2443,Foul on Coleman Edwards.,47,76
9:18,-1,Elijah Adedoyin made Free Throw.,48,76
9:07,2443,Coleman Edwards made Three Point Jumper. Assisted by Cameron Reed.,48,79
8:59,-1,Elijah Adedoyin Turnover.,48,79
8:57,2443,Jorge Rosa Steal.,48,79
8:54,-1,Foul on Stephen Wagner.,48,79
8:54,2443,Jorge Rosa made Free Throw.,48,80
8:54,2443,Jorge Rosa made Free Throw.,48,81
8:37,-1,Jamison McCray missed Three Point Jumper.,48,81
8:37,2443,Coleman Edwards Defensive Rebound.,48,81
8:25,-1,Foul on Jared Henderson.,48,81
8:25,2443,Erik Thomas made Free Throw.,48,82
8:25,2443,Erik Thomas made Free Throw.,48,83
8:09,-1,Jared Henderson missed Three Point Jumper.,48,83
8:09,2443,Jorge Rosa Defensive Rebound.,48,83
7:51,2443,Erik Thomas Turnover.,48,83
7:51,-1,LaGrange  Timeout,48,83
7:41,-1,Richard Howell missed Jumper.,48,83
7:41,2443,Makur Puou Defensive Rebound.,48,83
7:36,2443,A.J. Cheeseman made Free Throw.,48,84
7:36,2443,A.J. Cheeseman made Free Throw.,48,85
7:30,-1,Foul on Jared Henderson.,48,85
7:24,2443,Foul on A.J. Cheeseman.,48,85
7:21,-1,Jamison McCray missed Jumper.,48,85
7:21,2443,Makur Puou Defensive Rebound.,48,85
7:10,2443,Makur Puou missed Jumper.,48,85
7:10,2443,Michael Zeno Offensive Rebound.,48,85
7:04,2443,Michael Zeno missed Layup.,48,85
7:04,2443,Makur Puou Offensive Rebound.,48,85
7:01,2443,Makur Puou made Layup.,48,87
6:37,-1,Travis Thompson made Jumper.,50,87
6:27,-1,Foul on Travis Thompson.,50,87
6:27,2443,Michael Zeno missed Free Throw.,50,87
6:27,2443,New Orleans Deadball Team Rebound.,50,87
6:27,2443,Michael Zeno made Free Throw.,50,88
6:14,-1,Jacob Gaetanos Turnover.,50,88
6:13,2443,Michael Zeno Steal.,50,88
6:07,2443,Christavious Gill made Jumper.,50,90
5:44,-1,Drew Vanderbrook missed Three Point Jumper.,50,90
5:44,-1,Justyn Olson Offensive Rebound.,50,90
5:40,-1,Tyler Langston missed Three Point Jumper.,50,90
5:40,2443,A.J. Cheeseman Defensive Rebound.,50,90
5:30,2443,Michael Zeno missed Dunk.,50,90
5:30,-1,Elijah Adedoyin Defensive Rebound.,50,90
5:26,-1,Jacob Gaetanos made Layup. Assisted by Elijah Adedoyin.,52,90
5:13,2443,A.J. Cheeseman Turnover.,52,90
5:11,-1,Tyler Langston Steal.,52,90
5:06,-1,Elijah Adedoyin made Three Point Jumper.,55,90
4:52,2443,Christavious Gill missed Layup.,55,90
4:52,-1,Drew Vanderbrook Block.,55,90
4:51,2443,Makur Puou Offensive Rebound.,55,90
4:33,2443,New Orleans  Turnover.,55,90
4:21,-1,Elijah Adedoyin missed Three Point Jumper.,55,90
4:21,-1,Michael McCauley Offensive Rebound.,55,90
4:09,2443,Foul on A.J. Cheeseman.,55,90
4:09,-1,Elijah Adedoyin made Free Throw.,56,90
4:09,-1,Elijah Adedoyin made Free Throw.,57,90
3:48,-1,Foul on Justyn Olson.,57,90
3:48,2443,New Orleans  Timeout,57,90
3:48,2443,Danny Cohen made Free Throw.,57,91
3:48,2443,Danny Cohen made Free Throw.,57,92
3:37,-1,Justyn Olson Turnover.,57,92
3:16,2443,Jorge Rosa made Three Point Jumper. Assisted by A.J. Cheeseman.,57,95
2:52,2443,Foul on Cameron Reed.,57,95
2:52,-1,Duncan Parker made Free Throw.,58,95
2:52,-1,Duncan Parker made Free Throw.,59,95
2:42,2443,A.J. Cheeseman made Layup. Assisted by Bryson Robinson.,59,97
2:29,-1,Foul on Duncan Parker.,59,97
2:29,-1,Duncan Parker Turnover.,59,97
2:22,2443,Danny Cohen missed Three Point Jumper.,59,97
2:22,2443,A.J. Cheeseman Offensive Rebound.,59,97
2:15,-1,Foul on Duncan Parker.,59,97
2:15,2443,A.J. Cheeseman missed Free Throw.,59,97
2:15,2443,New Orleans Deadball Team Rebound.,59,97
2:15,2443,A.J. Cheeseman made Free Throw.,59,98
2:05,2443,Foul on Coleman Edwards.,59,98
2:05,-1,Jamison McCray made Free Throw.,60,98
2:05,-1,Jamison McCray made Free Throw.,61,98
1:51,2443,Coleman Edwards missed Three Point Jumper.,61,98
1:51,-1,Michael McCauley Defensive Rebound.,61,98
1:48,2443,Foul on Venjie Wallis.,61,98
1:48,-1,Michael McCauley made Free Throw.,62,98
1:48,-1,Michael McCauley made Free Throw.,63,98
1:32,2443,A.J. Cheeseman missed Layup.,63,98
1:32,-1,Michael McCauley Defensive Rebound.,63,98
1:18,-1,Michael McCauley made Jumper.,65,98
0:49,2443,Coleman Edwards made Three Point Jumper.,65,101
0:35,-1,Nate Rosetti made Layup. Assisted by Richard Howell.,67,101
0:29,2443,Danny Cohen made Dunk. Assisted by Coleman Edwards.,67,103
0:13,-1,Richard Howell Turnover.,67,103
0:11,2443,Danny Cohen Steal.,67,103
0:00,2443,End of Game,67,103
