Thomas (GA),Error,Georgia State,2247
10:50,2247,Devin Mitchell Turnover.,13,20
10:49,-1,Jalen Bonds Steal.,13,20
10:46,-1,Tre' Ford missed Layup.,13,20
10:46,-1,Jalen Bonds Offensive Rebound.,13,20
10:43,-1,Jalen Bonds made Layup.,15,20
10:27,2247,Jordan Session missed Jumper.,15,20
10:27,2247,Jordan Session Offensive Rebound.,15,20
10:23,2247,Jordan Session missed Jumper.,15,20
10:23,-1,Ivan Tomic Defensive Rebound.,15,20
10:17,2247,Foul on Jordan Session.,15,20
10:17,-1,Tj Rines made Free Throw.,16,20
10:17,-1,Tj Rines made Free Throw.,17,20
10:05,-1,Foul on Javoris Cooks.,17,20
10:01,2247,Jeff Thomas made Free Throw.,17,21
10:01,2247,Jeff Thomas made Free Throw.,17,22
9:43,-1,Javoris Cooks missed Three Point Jumper.,17,22
9:43,2247,Willie Clayton Defensive Rebound.,17,22
9:30,2247,Malik Benlevi made Three Point Jumper. Assisted by Isaiah Dennis.,17,25
9:11,2247,Foul on Jeff Thomas.,17,25
9:08,2247,Foul on Austin Donaldson.,17,25
8:53,-1,Traevon Gresham missed Jumper.,17,25
8:53,2247,Willie Clayton Defensive Rebound.,17,25
8:45,2247,Malik Benlevi missed Three Point Jumper.,17,25
8:45,-1,Javoris Cooks Defensive Rebound.,17,25
8:37,2247,Foul on Isaiah Williams.,17,25
8:37,-1,Javoris Cooks made Free Throw.,18,25
8:37,-1,Javoris Cooks made Free Throw.,19,25
8:16,2247,Jeremy Hollowell made Jumper.,19,27
8:02,-1,Traevon Gresham missed Three Point Jumper.,19,27
8:02,2247,Isaiah Williams Defensive Rebound.,19,27
7:54,2247,Isaiah Williams made Three Point Jumper. Assisted by Malik Benlevi.,19,30
7:34,-1,Ivan Tomic missed Jumper.,19,30
7:34,2247,Willie Clayton Defensive Rebound.,19,30
7:17,2247,Austin Donaldson made Jumper.,19,32
6:54,2247,Foul on Malik Benlevi.,19,32
6:54,2247,Official TV Timeout,19,32
6:54,-1,Ivan Tomic missed Free Throw.,19,32
6:54,2247,Austin Donaldson Defensive Rebound.,19,32
6:44,2247,Willie Clayton Turnover.,19,32
6:34,-1,Traevon Gresham made Layup. Assisted by Katrell Myers.,21,32
6:24,2247,Austin Donaldson Turnover.,21,32
6:09,-1,Jalen Bonds missed Jumper.,21,32
6:09,2247,Isaiah Williams Block.,21,32
6:07,2247,Willie Clayton Defensive Rebound.,21,32
6:02,2247,Jeremy Hollowell made Jumper. Assisted by Isaiah Dennis.,21,34
5:43,-1,Jalen Bonds missed Jumper.,21,34
5:43,2247,Isaiah Dennis Defensive Rebound.,21,34
5:35,2247,Isaiah Dennis missed Layup.,21,34
5:35,2247,Willie Clayton Offensive Rebound.,21,34
5:29,2247,Willie Clayton made Two Point Tip Shot.,21,36
5:24,2247,Foul on Jeff Thomas.,21,36
5:24,-1,Katrell Myers missed Free Throw.,21,36
5:24,2247,Willie Clayton Defensive Rebound.,21,36
5:08,-1,Foul on Dante DiSipio.,21,36
5:08,2247,Jeremy Hollowell made Free Throw.,21,37
5:08,2247,Jeremy Hollowell made Free Throw.,21,38
4:57,-1,Javoris Cooks made Three Point Jumper. Assisted by Katrell Myers.,24,38
4:46,2247,Jeremy Hollowell made Three Point Jumper. Assisted by Isaiah Dennis.,24,41
4:30,-1,Ivan Tomic made Three Point Jumper. Assisted by Tj Rines.,27,41
4:16,2247,Jeremy Hollowell made Three Point Jumper. Assisted by Isaiah Dennis.,27,44
3:55,-1,Albert Goss Turnover.,27,44
3:55,2247,Official TV Timeout,27,44
3:43,2247,Jordan Session missed Three Point Jumper.,27,44
3:43,-1,Jamison Williams Defensive Rebound.,27,44
3:37,-1,Tj Rines missed Layup.,27,44
3:37,2247,Malik Benlevi Block.,27,44
3:36,2247,Georgia St Defensive Rebound.,27,44
3:21,2247,Jeremy Hollowell missed Three Point Jumper.,27,44
3:21,-1,Katrell Myers Defensive Rebound.,27,44
3:14,-1,Foul on Katrell Myers.,27,44
3:14,-1,Katrell Myers Turnover.,27,44
3:05,2247,Jordan Session Turnover.,27,44
2:58,-1,Jamison Williams Turnover.,27,44
2:56,2247,Jeff Thomas Steal.,27,44
2:54,-1,Foul on Jamison Williams.,27,44
2:54,2247,Jeff Thomas made Free Throw.,27,45
2:54,2247,Jeff Thomas made Free Throw.,27,46
2:43,-1,Ivan Tomic Turnover.,27,46
2:41,2247,Jeremy Hollowell Steal.,27,46
2:40,-1,Foul on Javoris Cooks.,27,46
2:40,2247,Jeremy Hollowell missed Free Throw.,27,46
2:40,2247,Georgia St Deadball Team Rebound.,27,46
2:40,2247,Jeremy Hollowell made Free Throw.,27,47
2:36,-1,Tj Rines Turnover.,27,47
2:18,-1,Foul on Dj Roulhac.,27,47
2:18,2247,Jeremy Hollowell made Free Throw.,27,48
2:18,2247,Jeremy Hollowell made Free Throw.,27,49
2:09,-1,Jalen Bonds Turnover.,27,49
2:07,2247,D'Marcus Simonds Steal.,27,49
2:04,2247,Malik Benlevi missed Three Point Jumper.,27,49
2:04,2247,Jeremy Hollowell Offensive Rebound.,27,49
1:56,2247,Jeremy Hollowell missed Layup.,27,49
1:56,2247,Malik Benlevi Offensive Rebound.,27,49
1:52,2247,Malik Benlevi made Dunk.,27,51
1:49,-1,Jalen Bonds Turnover.,27,51
1:48,2247,Jeremy Hollowell Steal.,27,51
1:48,-1,Foul on Tre' Ford.,27,51
1:48,-1,Thomas (GA)  Timeout,27,51
1:48,2247,D'Marcus Simonds made Free Throw.,27,52
1:48,2247,D'Marcus Simonds made Free Throw.,27,53
1:35,2247,Foul on Jordan Session.,27,53
1:35,-1,Katrell Myers made Free Throw.,28,53
1:35,-1,Katrell Myers missed Free Throw.,28,53
1:35,2247,Jeremy Hollowell Defensive Rebound.,28,53
1:19,2247,Jeremy Hollowell missed Layup.,28,53
1:19,-1,Katrell Myers Defensive Rebound.,28,53
1:13,-1,Katrell Myers Turnover.,28,53
1:12,2247,D'Marcus Simonds Steal.,28,53
1:12,-1,Foul on Ivan Tomic.,28,53
1:12,2247,Jeremy Hollowell made Free Throw.,28,54
1:12,2247,Jeremy Hollowell made Free Throw.,28,55
1:03,2247,Foul on Malik Benlevi.,28,55
1:03,-1,Katrell Myers made Free Throw.,29,55
1:03,-1,Katrell Myers made Free Throw.,30,55
0:48,-1,Foul on Ivan Tomic.,30,55
0:48,2247,Isaiah Williams made Free Throw.,30,56
0:48,2247,Isaiah Williams made Free Throw.,30,57
0:41,-1,Katrell Myers missed Jumper.,30,57
0:41,-1,Ivan Tomic Offensive Rebound.,30,57
0:40,2247,Foul on Malik Benlevi.,30,57
0:40,-1,Ivan Tomic made Free Throw.,31,57
0:40,-1,Ivan Tomic made Free Throw.,32,57
0:28,2247,Carter Cagle missed Three Point Jumper.,32,57
0:28,-1,Traevon Gresham Defensive Rebound.,32,57
0:19,-1,Traevon Gresham missed Jumper.,32,57
0:19,2247,Devin Mitchell Block.,32,57
0:16,-1,Traevon Gresham Offensive Rebound.,32,57
0:13,-1,Traevon Gresham missed Jumper.,32,57
0:13,2247,Carter Cagle Defensive Rebound.,32,57
0:09,2247,Foul on Devin Mitchell.,32,57
0:09,2247,Devin Mitchell Turnover.,32,57
0:03,-1,Hezekiah Goodwin missed Layup.,32,57
0:03,2247,Chris Clerkley Block.,32,57
0:01,-1,Thomas (GA)  Timeout,32,57
0:01,-1,Thomas (GA) Offensive Rebound.,32,57
0:00,-1,Traevon Gresham missed Three Point Jumper.,32,57
0:00,-1,Thomas (GA) Deadball Team Rebound.,32,57
0:00,2247,End of 1st half,32,57
19:43,-1,Foul on Albert Goss.,32,57
19:27,2247,Jeremy Hollowell missed Jumper.,32,57
19:27,-1,Tj Rines Defensive Rebound.,32,57
18:57,-1,Javoris Cooks missed Jumper.,32,57
18:57,-1,Thomas (GA) Offensive Rebound.,32,57
18:55,-1,Thomas (GA)  Turnover.,32,57
18:41,2247,Isaiah Williams missed Three Point Jumper.,32,57
18:41,-1,Jalen Bonds Defensive Rebound.,32,57
18:33,-1,Javoris Cooks missed Three Point Jumper.,32,57
18:33,2247,Jeremy Hollowell Defensive Rebound.,32,57
18:20,-1,Foul on Albert Goss.,32,57
18:20,2247,Jeremy Hollowell made Free Throw.,32,58
18:20,2247,Jeremy Hollowell made Free Throw.,32,59
18:04,2247,Jeremy Hollowell missed Three Point Jumper.,32,59
18:04,-1,Thomas (GA) Deadball Team Rebound.,32,59
18:02,2247,Foul on Willie Clayton.,32,59
17:44,-1,Jalen Bonds Turnover.,32,59
17:42,2247,Isaiah Williams Steal.,32,59
17:40,2247,Isaiah Williams missed Layup.,32,59
17:40,2247,Willie Clayton Offensive Rebound.,32,59
17:34,2247,Willie Clayton made Two Point Tip Shot.,32,61
17:25,-1,Katrell Myers made Three Point Jumper. Assisted by Javoris Cooks.,35,61
17:06,2247,Malik Benlevi missed Three Point Jumper.,35,61
17:06,-1,Jalen Bonds Defensive Rebound.,35,61
16:54,-1,Javoris Cooks made Three Point Jumper. Assisted by Katrell Myers.,38,61
16:40,-1,Foul on Javoris Cooks.,38,61
16:40,2247,Georgia St  Turnover.,38,61
16:33,-1,Jamison Williams missed Jumper.,38,61
16:33,2247,Jeremy Hollowell Defensive Rebound.,38,61
16:19,-1,Foul on Jamison Williams.,38,61
16:19,2247,Isaiah Dennis missed Free Throw.,38,61
16:19,2247,Georgia St Deadball Team Rebound.,38,61
16:19,2247,Isaiah Dennis made Free Throw.,38,62
16:07,-1,Tj Rines Turnover.,38,62
15:55,-1,Foul on Tj Rines.,38,62
15:55,2247,Official TV Timeout,38,62
15:55,2247,Isaiah Dennis missed Free Throw.,38,62
15:55,2247,Georgia St Deadball Team Rebound.,38,62
15:55,2247,Isaiah Dennis made Free Throw.,38,63
15:35,-1,Katrell Myers Turnover.,38,63
15:33,2247,Isaiah Dennis Steal.,38,63
15:29,-1,Foul on Katrell Myers.,38,63
15:29,2247,Justin Seymour made Free Throw.,38,64
15:29,2247,Justin Seymour made Free Throw.,38,65
15:17,-1,Katrell Myers missed Dunk.,38,65
15:17,-1,Ivan Tomic Offensive Rebound.,38,65
15:13,-1,Ivan Tomic made Layup.,40,65
15:12,-1,Foul on Katrell Myers.,40,65
15:12,2247,Jeff Thomas missed Free Throw.,40,65
15:12,-1,Thomas (GA) Deadball Team Rebound.,40,65
15:11,2247,Foul on Justin Seymour.,40,65
14:59,-1,Javoris Cooks missed Three Point Jumper.,40,65
14:58,2247,Austin Donaldson Block.,40,65
14:57,2247,D'Marcus Simonds Defensive Rebound.,40,65
14:37,2247,Austin Donaldson made Three Point Jumper. Assisted by Jordan Session.,40,68
14:18,2247,Foul on Justin Seymour.,40,68
14:05,-1,Jamison Williams missed Three Point Jumper.,40,68
14:05,2247,Austin Donaldson Defensive Rebound.,40,68
13:59,2247,Austin Donaldson Turnover.,40,68
13:57,-1,Traevon Gresham Steal.,40,68
13:53,-1,Dj Roulhac made Layup.,42,68
13:41,-1,Foul on Ivan Tomic.,42,68
13:41,2247,Jordan Session made Free Throw.,42,69
13:41,2247,Jordan Session made Free Throw.,42,70
13:25,-1,Traevon Gresham missed Layup.,42,70
13:25,-1,Ivan Tomic Offensive Rebound.,42,70
13:24,2247,Foul on Jordan Session.,42,70
13:24,-1,Ivan Tomic missed Free Throw.,42,70
13:24,-1,Thomas (GA) Deadball Team Rebound.,42,70
13:24,-1,Ivan Tomic made Free Throw.,43,70
13:13,2247,Justin Seymour made Jumper.,43,72
12:48,-1,Jamison Williams missed Jumper.,43,72
12:48,2247,Jordan Session Block.,43,72
12:45,-1,Thomas (GA) Offensive Rebound.,43,72
12:37,-1,Tre' Ford Turnover.,43,72
12:36,2247,Austin Donaldson Steal.,43,72
12:31,2247,D'Marcus Simonds made Layup. Assisted by Justin Seymour.,43,74
12:08,-1,Traevon Gresham missed Three Point Jumper.,43,74
12:08,2247,Austin Donaldson Defensive Rebound.,43,74
12:02,2247,D'Marcus Simonds made Layup.,43,76
12:02,-1,Foul on Tre' Ford.,43,76
12:02,2247,D'Marcus Simonds made Free Throw.,43,77
11:52,2247,Foul on Jordan Session.,43,77
11:52,2247,Official TV Timeout,43,77
11:52,-1,Traevon Gresham made Free Throw.,44,77
11:52,-1,Traevon Gresham missed Free Throw.,44,77
11:52,-1,Traevon Gresham Offensive Rebound.,44,77
11:48,-1,Traevon Gresham made Three Point Jumper.,47,77
11:25,2247,Justin Seymour Turnover.,47,77
11:08,-1,Javoris Cooks made Three Point Jumper.,50,77
10:59,-1,Foul on Traevon Gresham.,50,77
10:59,2247,Austin Donaldson missed Free Throw.,50,77
10:59,2247,Georgia St Deadball Team Rebound.,50,77
10:59,2247,Austin Donaldson made Free Throw.,50,78
10:51,-1,Jalen Bonds missed Jumper.,50,78
10:51,2247,Isaiah Williams Defensive Rebound.,50,78
10:36,2247,Jeff Thomas missed Jumper.,50,78
10:36,2247,Isaiah Williams Offensive Rebound.,50,78
10:30,2247,Jeremy Hollowell made Jumper. Assisted by Isaiah Williams.,50,80
10:08,-1,Traevon Gresham made Layup. Assisted by Javoris Cooks.,52,80
9:57,2247,Jeff Thomas made Layup.,52,82
9:57,-1,Foul on Jalen Bonds.,52,82
9:57,2247,Jeff Thomas made Free Throw.,52,83
9:48,2247,Foul on Jeremy Hollowell.,52,83
9:35,-1,Javoris Cooks made Jumper.,54,83
9:16,2247,Jeremy Hollowell missed Jumper.,54,83
9:16,-1,Jalen Bonds Defensive Rebound.,54,83
9:08,2247,Foul on Jeff Thomas.,54,83
9:08,-1,Javoris Cooks made Free Throw.,55,83
9:08,-1,Javoris Cooks made Free Throw.,56,83
8:51,2247,Willie Clayton Turnover.,56,83
8:28,-1,Hezekiah Goodwin missed Jumper.,56,83
8:28,-1,Jalen Bonds Offensive Rebound.,56,83
8:23,-1,Dj Roulhac Turnover.,56,83
8:20,2247,Willie Clayton Steal.,56,83
8:20,-1,Foul on Traevon Gresham.,56,83
8:20,2247,Jeremy Hollowell made Free Throw.,56,84
8:20,2247,Jeremy Hollowell made Free Throw.,56,85
8:12,-1,Foul on Hezekiah Goodwin.,56,85
8:12,-1,Hezekiah Goodwin Turnover.,56,85
8:04,2247,Isaiah Dennis made Layup.,56,87
7:51,-1,Traevon Gresham Turnover.,56,87
7:49,2247,Willie Clayton Steal.,56,87
7:48,2247,Willie Clayton Turnover.,56,87
7:48,2247,Official TV Timeout,56,87
7:38,-1,Dante DiSipio missed Jumper.,56,87
7:38,-1,Dj Roulhac Offensive Rebound.,56,87
7:33,-1,Dj Roulhac missed Jumper.,56,87
7:33,2247,Willie Clayton Block.,56,87
7:33,2247,Malik Benlevi Defensive Rebound.,56,87
7:33,-1,Foul on Dj Roulhac.,56,87
7:33,2247,Malik Benlevi missed Free Throw.,56,87
7:33,2247,Georgia St Deadball Team Rebound.,56,87
7:33,2247,Malik Benlevi made Free Throw.,56,88
7:27,2247,Foul on Jeremy Hollowell.,56,88
7:27,-1,Tre' Ford made Free Throw.,57,88
7:27,-1,Tre' Ford made Free Throw.,58,88
7:10,-1,Foul on Dante DiSipio.,58,88
7:10,2247,Willie Clayton missed Free Throw.,58,88
7:10,2247,Georgia St Deadball Team Rebound.,58,88
7:10,2247,Willie Clayton made Free Throw.,58,89
7:04,-1,Tre' Ford Turnover.,58,89
7:03,2247,Malik Benlevi Steal.,58,89
7:02,2247,Malik Benlevi missed Layup.,58,89
7:02,-1,Tre' Ford Defensive Rebound.,58,89
6:58,-1,Tre' Ford missed Layup.,58,89
6:58,2247,Willie Clayton Block.,58,89
6:57,-1,Thomas (GA) Offensive Rebound.,58,89
6:50,-1,Hezekiah Goodwin missed Three Point Jumper.,58,89
6:50,-1,Ivan Tomic Offensive Rebound.,58,89
6:46,-1,Ivan Tomic made Two Point Tip Shot.,60,89
6:26,2247,D'Marcus Simonds Turnover.,60,89
6:19,-1,Tre' Ford made Layup.,62,89
5:58,2247,Isaiah Dennis made Jumper.,62,91
5:42,2247,Foul on Devin Mitchell.,62,91
5:42,-1,Dj Roulhac missed Free Throw.,62,91
5:42,-1,Thomas (GA) Deadball Team Rebound.,62,91
5:42,-1,Dj Roulhac missed Free Throw.,62,91
5:42,2247,Jeff Thomas Defensive Rebound.,62,91
5:31,2247,Austin Donaldson made Layup.,62,93
5:14,-1,Hezekiah Goodwin Turnover.,62,93
4:58,2247,Jeff Thomas made Three Point Jumper. Assisted by D'Marcus Simonds.,62,96
4:43,-1,Jamison Williams missed Jumper.,62,96
4:43,-1,Thomas (GA) Offensive Rebound.,62,96
4:27,2247,Foul on Austin Donaldson.,62,96
4:27,-1,Traevon Gresham made Free Throw.,63,96
4:27,-1,Traevon Gresham made Free Throw.,64,96
4:11,2247,Jeff Thomas made Jumper. Assisted by Jordan Session.,64,98
3:57,-1,Ivan Tomic Turnover.,64,98
3:56,2247,D'Marcus Simonds Steal.,64,98
3:52,2247,D'Marcus Simonds made Dunk. Assisted by Jeff Thomas.,64,100
3:33,-1,Traevon Gresham Turnover.,64,100
3:31,2247,Austin Donaldson Steal.,64,100
3:28,2247,Austin Donaldson made Layup.,64,102
3:12,-1,Traevon Gresham missed Three Point Jumper.,64,102
3:12,2247,D'Marcus Simonds Defensive Rebound.,64,102
2:50,2247,Jordan Session missed Jumper.,64,102
2:50,2247,Jordan Session Offensive Rebound.,64,102
2:46,2247,Jordan Session missed Layup.,64,102
2:46,-1,Ivan Tomic Defensive Rebound.,64,102
2:34,-1,Hezekiah Goodwin missed Three Point Jumper.,64,102
2:34,2247,Justin Seymour Defensive Rebound.,64,102
2:30,-1,Foul on Ivan Tomic.,64,102
2:30,2247,Official TV Timeout,64,102
2:30,2247,Justin Seymour made Free Throw.,64,103
2:30,2247,Justin Seymour made Free Throw.,64,104
2:19,2247,Austin Donaldson Steal.,64,104
2:15,2247,Jeff Thomas missed Jumper.,64,104
2:15,-1,Tj Rines Defensive Rebound.,64,104
2:09,2247,Foul on Carter Cagle.,64,104
2:09,-1,Tj Rines made Free Throw.,65,104
2:09,-1,Tj Rines made Free Throw.,66,104
1:45,2247,Austin Donaldson missed Jumper.,66,104
1:45,2247,Georgia St Offensive Rebound.,66,104
1:32,2247,Devin Mitchell made Three Point Jumper. Assisted by Justin Seymour.,66,107
1:21,2247,Foul on Chris Clerkley.,66,107
1:21,-1,Ivan Tomic made Free Throw.,67,107
1:21,-1,Ivan Tomic missed Free Throw.,67,107
1:21,2247,Nile Felton Defensive Rebound.,67,107
1:10,2247,Justin Seymour made Jumper.,67,109
1:01,-1,Ivan Tomic missed Three Point Jumper.,67,109
1:01,2247,Justin Seymour Defensive Rebound.,67,109
0:46,2247,Justin Seymour missed Jumper.,67,109
0:46,-1,Tj Rines Defensive Rebound.,67,109
0:43,2247,Foul on Justin Seymour.,67,109
0:43,-1,Tj Rines made Free Throw.,68,109
0:43,-1,Tj Rines made Free Throw.,69,109
0:34,2247,Carter Cagle missed Three Point Jumper.,69,109
0:34,-1,Dj Roulhac Defensive Rebound.,69,109
0:27,-1,Hezekiah Goodwin missed Layup.,69,109
0:27,2247,Justin Seymour Defensive Rebound.,69,109
0:19,2247,Nile Felton missed Three Point Jumper.,69,109
0:19,-1,Tj Rines Defensive Rebound.,69,109
0:13,-1,Tj Rines missed Layup.,69,109
0:13,2247,Carter Cagle Defensive Rebound.,69,109
0:08,2247,Devin Mitchell made Dunk. Assisted by Carter Cagle.,69,111
0:02,-1,Tj Rines missed Three Point Jumper.,69,111
0:00,-1,Thomas (GA) Deadball Team Rebound.,69,111
0:00,2247,End of Game,69,111
