Central Arkansas,275,Wisconsin,2110
1:51,275,Wisconsin Defensive Rebound.,19,34
1:35,275,Alex Illikainen Turnover.,19,34
1:21,275,Foul on Vitto Brown.,19,34
1:04,2110,Derreck Brooks made Layup. Assisted by Mathieu Kamba.,21,34
0:50,275,Alex Illikainen missed Layup.,21,34
0:50,2110,Mathieu Kamba Defensive Rebound.,21,34
0:44,2110,Jeff Lowery Turnover.,21,34
0:19,275,D'Mitrik Trice Turnover.,21,34
0:17,2110,Derreck Brooks Steal.,21,34
0:14,275,Foul on Khalil Iverson.,21,34
0:14,2110,Derreck Brooks made Free Throw.,22,34
0:14,2110,Derreck Brooks missed Free Throw.,22,34
0:14,2110,Derreck Brooks Offensive Rebound.,22,34
0:04,2110,Derreck Brooks missed Jumper.,22,34
0:04,275,Bronson Koenig Defensive Rebound.,22,34
0:00,275,End of 1st half,22,34
19:48,275,Bronson Koenig missed Three Point Jumper.,22,34
19:48,275,Vitto Brown Offensive Rebound.,22,34
19:26,275,Zak Showalter made Jumper.,22,36
19:26,2110,Foul on Derreck Brooks.,22,36
19:26,275,Zak Showalter made Free Throw.,22,37
19:20,2110,Derreck Brooks made Three Point Jumper. Assisted by Jordan Howard.,25,37
18:59,2110,Foul on Aaron Weidenaar.,25,37
18:59,275,Bronson Koenig missed Three Point Jumper.,25,37
18:59,275,Wisconsin Offensive Rebound.,25,37
18:39,275,Nigel Hayes made Three Point Jumper. Assisted by Ethan Happ.,25,40
18:17,2110,Jordan Howard Turnover.,25,40
18:16,275,Bronson Koenig Steal.,25,40
18:07,275,Vitto Brown missed Three Point Jumper.,25,40
18:07,275,Wisconsin Offensive Rebound.,25,40
17:45,275,Foul on Ethan Happ.,25,40
17:45,275,Ethan Happ Turnover.,25,40
17:26,2110,Aaron Weidenaar missed Three Point Jumper.,25,40
17:26,275,Bronson Koenig Defensive Rebound.,25,40
17:13,2110,Foul on Aaron Weidenaar.,25,40
16:57,275,Vitto Brown missed Three Point Jumper.,25,40
16:57,2110,Albert Christensson Defensive Rebound.,25,40
16:56,275,Foul on Zak Showalter.,25,40
16:39,275,Foul on Nigel Hayes.,25,40
16:26,2110,Albert Christensson missed Jumper.,25,40
16:26,2110,Mathieu Kamba Offensive Rebound.,25,40
16:25,2110,Derreck Brooks Turnover.,25,40
16:25,275,Nigel Hayes made Layup.,25,42
16:08,2110,Mathieu Kamba Turnover.,25,42
16:07,275,Alex Illikainen Steal.,25,42
15:46,275,Nigel Hayes made Three Point Jumper. Assisted by Ethan Happ.,25,45
15:34,2110,C. Arkansas  Timeout,25,45
15:19,2110,Derreck Brooks missed Jumper.,25,45
15:19,275,Alex Illikainen Defensive Rebound.,25,45
14:48,275,Charles Thomas IV missed Jumper.,25,45
14:48,275,Nigel Hayes Offensive Rebound.,25,45
14:33,275,Nigel Hayes missed Three Point Jumper.,25,45
14:33,2110,Derreck Brooks Defensive Rebound.,25,45
14:28,2110,Jeff Lowery Turnover.,25,45
14:27,275,Nigel Hayes Steal.,25,45
14:19,275,Jordan Hill made Three Point Jumper. Assisted by Nigel Hayes.,25,48
14:02,2110,Otas Iyekekpolor missed Jumper.,25,48
14:02,275,Alex Illikainen Defensive Rebound.,25,48
13:50,275,Charles Thomas IV Turnover.,25,48
13:48,2110,Jordan Howard Steal.,25,48
13:48,275,Foul on D'Mitrik Trice.,25,48
13:48,2110,Jordan Howard made Free Throw.,26,48
13:48,2110,Jordan Howard made Free Throw.,27,48
13:21,275,Jordan Hill missed Three Point Jumper.,27,48
13:21,275,Charles Thomas IV Offensive Rebound.,27,48
13:19,275,Charles Thomas IV missed Layup.,27,48
13:19,275,Charles Thomas IV Offensive Rebound.,27,48
13:18,2110,Foul on Ethan Lee.,27,48
13:18,275,Charles Thomas IV made Free Throw.,27,49
13:18,275,Charles Thomas IV made Free Throw.,27,50
12:51,2110,Darraja Parnell made Jumper.,29,50
12:28,2110,Foul on Tanner Schmit.,29,50
12:15,275,Charles Thomas IV Turnover.,29,50
12:02,275,Foul on D'Mitrik Trice.,29,50
12:02,2110,Jordan Howard made Free Throw.,30,50
12:02,2110,Jordan Howard made Free Throw.,31,50
11:48,275,D'Mitrik Trice Turnover.,31,50
11:47,2110,Tanner Schmit Steal.,31,50
11:42,2110,Jordan Howard made Three Point Jumper. Assisted by Tanner Schmit.,34,50
11:20,2110,Foul on Ethan Lee.,34,50
11:20,275,Official TV Timeout,34,50
11:20,275,Charles Thomas IV missed Free Throw.,34,50
11:20,275,Wisconsin Deadball Team Rebound.,34,50
11:20,275,Charles Thomas IV made Free Throw.,34,51
10:51,2110,Ethan Lee missed Jumper.,34,51
10:51,275,Ethan Happ Defensive Rebound.,34,51
10:40,275,Nigel Hayes Turnover.,34,51
10:17,2110,Jordan Howard missed Three Point Jumper.,34,51
10:17,2110,Ethan Lee Offensive Rebound.,34,51
10:16,275,Foul on Nigel Hayes.,34,51
10:01,2110,Derreck Brooks missed Three Point Jumper.,34,51
10:01,275,Ethan Happ Defensive Rebound.,34,51
9:42,275,Bronson Koenig missed Three Point Jumper.,34,51
9:42,2110,Derreck Brooks Defensive Rebound.,34,51
9:40,275,Foul on Zak Showalter.,34,51
9:40,2110,Mathieu Kamba made Free Throw.,35,51
9:40,2110,Mathieu Kamba missed Free Throw.,35,51
9:40,275,Bronson Koenig Defensive Rebound.,35,51
9:20,275,Bronson Koenig made Three Point Jumper. Assisted by Nigel Hayes.,35,54
9:00,2110,Derreck Brooks made Jumper.,37,54
8:49,2110,Foul on Mathieu Kamba.,37,54
8:49,275,Nigel Hayes made Free Throw.,37,55
8:49,275,Nigel Hayes made Free Throw.,37,56
8:24,2110,Derreck Brooks missed Jumper.,37,56
8:24,275,Vitto Brown Defensive Rebound.,37,56
8:13,275,Ethan Happ made Layup. Assisted by Nigel Hayes.,37,58
7:48,275,Foul on Vitto Brown.,37,58
7:48,275,Official TV Timeout,37,58
7:48,2110,Mathieu Kamba missed Free Throw.,37,58
7:48,2110,C. Arkansas Deadball Team Rebound.,37,58
7:48,2110,Mathieu Kamba missed Free Throw.,37,58
7:48,275,Ethan Happ Defensive Rebound.,37,58
7:24,275,Bronson Koenig made Three Point Jumper. Assisted by Nigel Hayes.,37,61
7:00,2110,Thatch Unruh missed Jumper.,37,61
7:00,275,Ethan Happ Defensive Rebound.,37,61
6:42,275,Bronson Koenig made Three Point Jumper. Assisted by Ethan Happ.,37,64
6:30,2110,C. Arkansas  Timeout,37,64
6:22,275,Foul on Alex Illikainen.,37,64
6:22,2110,Otas Iyekekpolor missed Free Throw.,37,64
6:22,275,Zak Showalter Defensive Rebound.,37,64
6:19,275,Zak Showalter Turnover.,37,64
6:18,2110,Aaron Weidenaar Steal.,37,64
6:15,2110,Jordan Howard missed Three Point Jumper.,37,64
6:15,2110,Derreck Brooks Offensive Rebound.,37,64
6:10,2110,Derreck Brooks missed Jumper.,37,64
6:10,275,Zak Showalter Defensive Rebound.,37,64
6:07,2110,Foul on Derreck Brooks.,37,64
6:07,275,Zak Showalter made Free Throw.,37,65
6:07,275,Zak Showalter made Free Throw.,37,66
5:53,275,Foul on Charles Thomas IV.,37,66
5:53,2110,Otas Iyekekpolor made Free Throw.,38,66
5:53,2110,Otas Iyekekpolor made Free Throw.,39,66
5:35,275,Jordan Hill made Three Point Jumper. Assisted by Charles Thomas IV.,39,69
5:10,2110,Darraja Parnell missed Layup.,39,69
5:10,275,Alex Illikainen Defensive Rebound.,39,69
4:49,2110,Foul on Derreck Brooks.,39,69
4:49,275,Charles Thomas IV made Free Throw.,39,70
4:49,275,Charles Thomas IV made Free Throw.,39,71
4:42,2110,Jordan Howard missed Three Point Jumper.,39,71
4:42,2110,Mathieu Kamba Offensive Rebound.,39,71
4:39,275,Foul on Charles Thomas IV.,39,71
4:39,2110,Mathieu Kamba missed Free Throw.,39,71
4:39,275,Andy Van Vliet Defensive Rebound.,39,71
3:59,275,Charles Thomas IV missed Jumper.,39,71
3:59,2110,Tanner Schmit Block.,39,71
3:55,2110,Darraja Parnell Defensive Rebound.,39,71
3:54,275,Brevin Pritzl made Free Throw.,39,72
3:54,2110,Tanner Schmit missed Jumper.,39,72
3:54,275,Brevin Pritzl Defensive Rebound.,39,72
3:54,275,Official TV Timeout,39,72
3:54,2110,Foul on Mathieu Kamba.,39,72
3:53,275,Brevin Pritzl made Free Throw.,39,73
3:50,2110,Mathieu Kamba made Layup.,41,73
3:41,2110,Aaron Weidenaar missed Three Point Jumper.,41,73
3:41,275,D'Mitrik Trice Defensive Rebound.,41,73
3:41,275,Charles Thomas IV missed Layup.,41,73
3:41,2110,Darraja Parnell Block.,41,73
3:41,2110,Aaron Weidenaar Defensive Rebound.,41,73
3:00,2110,Jeff Lowery missed Layup.,41,73
3:00,275,Andy Van Vliet Defensive Rebound.,41,73
2:41,2110,Foul on Darraja Parnell.,41,73
2:41,275,Charles Thomas IV made Free Throw.,41,74
2:41,275,Charles Thomas IV made Free Throw.,41,75
2:17,2110,Darraja Parnell missed Jumper.,41,75
2:17,275,D'Mitrik Trice Defensive Rebound.,41,75
1:49,2110,Foul on Tanner Schmit.,41,75
1:49,275,D'Mitrik Trice made Free Throw.,41,76
1:49,275,D'Mitrik Trice made Free Throw.,41,77
1:32,2110,Thatch Unruh made Three Point Jumper. Assisted by Tyler Simmons.,44,77
1:11,275,Brevin Pritzl missed Three Point Jumper.,44,77
1:11,2110,Thatch Unruh Defensive Rebound.,44,77
0:55,2110,Thatch Unruh made Three Point Jumper. Assisted by Jeff Lowery.,47,77
0:49,275,Wisconsin  Timeout,47,77
0:41,275,Andy Van Vliet missed Jumper.,47,77
0:39,275,Matt Ferris Offensive Rebound.,47,77
0:23,2110,Foul on Tanner Schmit.,47,77
0:23,275,Brevin Pritzl missed Free Throw.,47,77
0:23,275,Wisconsin Deadball Team Rebound.,47,77
0:23,275,Brevin Pritzl missed Free Throw.,47,77
0:23,275,Andy Van Vliet Offensive Rebound.,47,77
0:19,275,Andy Van Vliet missed Jumper.,47,77
0:18,275,Brevin Pritzl Offensive Rebound.,47,77
0:17,275,Brevin Pritzl missed Two Point Tip Shot.,47,77
0:16,275,Andy Van Vliet Defensive Rebound.,47,77
0:15,275,Andy Van Vliet made Layup.,47,79
0:14,2110,Jeff Lowery missed Layup.,47,79
0:13,275,T.J. Schlundt Block.,47,79
0:09,2110,C. Arkansas Offensive Rebound.,47,79
0:08,2110,Thatch Unruh missed Three Point Jumper.,47,79
0:06,275,Brevin Pritzl Offensive Rebound.,47,79
0:00,275,End of Game,47,77
