Sacred Heart,2217,Fairfield,2529
15:56,2217,Amadou Sidibe Defensive Rebound.,40,48
15:32,2217,Jerome Segura missed Jumper.,40,48
15:32,2529,Joseph Lopez Defensive Rebound.,40,48
15:22,2529,De'von Barnett Turnover.,40,48
15:22,2217,Official TV Timeout,40,48
15:13,2217,Matija Milin made Layup. Assisted by Jerome Segura.,40,50
14:57,2529,Joseph Lopez missed Layup.,40,50
14:57,2529,Mario Matasovic Offensive Rebound.,40,50
14:54,2529,Mario Matasovic made Layup.,42,50
14:31,2217,Matija Milin missed Three Point Jumper.,42,50
14:31,2529,Quincy McKnight Defensive Rebound.,42,50
14:05,2529,Chris Robinson missed Three Point Jumper.,42,50
14:05,2217,Matija Milin Defensive Rebound.,42,50
13:39,2217,Tyler Nelson missed Jumper.,42,50
13:39,2529,Quincy McKnight Defensive Rebound.,42,50
13:32,2529,Quincy McKnight made Layup.,44,50
13:10,2217,Matija Milin made Layup. Assisted by Amadou Sidibe.,44,52
12:53,2529,Charles Tucker Jr. missed Three Point Jumper.,44,52
12:53,2217,Fairfield Defensive Rebound.,44,52
12:39,2217,Jerome Segura made Layup.,44,54
12:19,2529,Sean Hoehn missed Three Point Jumper.,44,54
12:19,2217,Tyler Nelson Defensive Rebound.,44,54
12:11,2217,Jerry Johnson Jr. made Three Point Jumper. Assisted by Tyler Nelson.,44,57
11:54,2529,De'von Barnett missed Jumper.,44,57
11:54,2217,Jonathan Kasibabu Block.,44,57
11:53,2217,Jonathan Kasibabu Defensive Rebound.,44,57
11:48,2217,Jerome Segura made Layup.,44,59
11:29,2529,Zach Radz missed Three Point Jumper.,44,59
11:29,2217,Jonathan Kasibabu Defensive Rebound.,44,59
11:04,2217,Jonathan Kasibabu missed Layup.,44,59
11:04,2217,Jonathan Kasibabu Offensive Rebound.,44,59
11:03,2529,Foul on De'von Barnett.,44,59
11:03,2217,Official TV Timeout,44,59
10:59,2217,Matija Milin missed Three Point Jumper.,44,59
10:59,2529,Charles Tucker Jr. Defensive Rebound.,44,59
10:51,2529,Quincy McKnight missed Layup.,44,59
10:51,2217,Matija Milin Block.,44,59
10:50,2217,Jonathan Kasibabu Defensive Rebound.,44,59
10:31,2529,Foul on Mario Matasovic.,44,59
10:31,2217,Jonathan Kasibabu made Free Throw.,44,60
10:31,2217,Jonathan Kasibabu made Free Throw.,44,61
10:07,2529,Charles Tucker Jr. missed Jumper.,44,61
10:07,2217,Jerry Johnson Jr. Defensive Rebound.,44,61
9:58,2217,Tyler Nelson missed Three Point Jumper.,44,61
9:58,2529,Quincy McKnight Defensive Rebound.,44,61
9:48,2529,Mario Matasovic made Layup.,46,61
9:31,2217,Jonathan Kasibabu made Layup. Assisted by Jerome Segura.,46,63
9:17,2529,Sean Hoehn missed Three Point Jumper.,46,63
9:17,2529,De'von Barnett Offensive Rebound.,46,63
9:03,2217,Foul on Jerome Segura.,46,63
9:01,2529,Charles Tucker Jr. Turnover.,46,63
8:45,2217,Matija Milin missed Jumper.,46,63
8:45,2529,Joseph Lopez Defensive Rebound.,46,63
8:38,2529,Sean Hoehn Turnover.,46,63
8:16,2217,Jerome Segura made Layup.,46,65
8:16,2529,Foul on Charles Tucker Jr..,46,65
8:16,2217,Jerome Segura made Free Throw.,46,66
7:52,2529,Joseph Lopez missed Layup.,46,66
7:52,2529,Joseph Lopez Offensive Rebound.,46,66
7:49,2529,Joseph Lopez made Two Point Tip Shot.,48,66
7:34,2217,Jerry Johnson Jr. missed Jumper.,48,66
7:34,2529,Joseph Lopez Defensive Rebound.,48,66
7:22,2217,Official TV Timeout,48,66
7:14,2529,Quincy McKnight missed Layup.,48,66
7:14,2217,Jonathan Kasibabu Defensive Rebound.,48,66
7:07,2217,Curtis Cobb missed Three Point Jumper.,48,66
7:07,2529,Quincy McKnight Defensive Rebound.,48,66
6:56,2529,Chris Robinson missed Three Point Jumper.,48,66
6:56,2217,Jerome Segura Defensive Rebound.,48,66
6:51,2217,Jerome Segura Turnover.,48,66
6:50,2529,Quincy McKnight Steal.,48,66
6:48,2529,Quincy McKnight made Layup.,50,66
6:28,2217,Curtis Cobb made Three Point Jumper.,50,69
6:10,2529,Quincy McKnight made Three Point Jumper.,53,69
5:56,2217,Jerome Segura Turnover.,53,69
5:47,2529,De'von Barnett Turnover.,53,69
5:47,2529,Foul on De'von Barnett.,53,69
5:37,2217,Tyler Nelson made Three Point Jumper.,53,72
5:28,2529,Quincy McKnight made Layup.,55,72
5:13,2217,Curtis Cobb made Jumper.,55,74
5:06,2529,Joseph Lopez Turnover.,55,74
4:55,2217,Jerry Johnson Jr. made Three Point Jumper.,55,77
4:24,2529,Quincy McKnight made Jumper.,57,77
3:52,2217,Jonathan Kasibabu Turnover.,57,77
3:51,2529,Sean Hoehn Steal.,57,77
3:45,2217,Foul on Jerry Johnson Jr..,57,77
3:45,2217,Official TV Timeout,57,77
3:45,2529,Quincy McKnight made Free Throw.,58,77
3:45,2529,Quincy McKnight made Free Throw.,59,77
3:38,2217,Curtis Cobb missed Layup.,59,77
3:38,2529,Joseph Lopez Defensive Rebound.,59,77
3:31,2529,Quincy McKnight made Layup.,61,77
3:16,2529,Foul on Quincy McKnight.,61,77
3:14,2217,Tyler Nelson made Three Point Jumper. Assisted by Jerome Segura.,61,80
2:48,2529,Chris Robinson missed Layup.,61,80
2:48,2217,Fairfield Defensive Rebound.,61,80
2:30,2217,Curtis Cobb made Three Point Jumper. Assisted by Jerome Segura.,61,83
2:18,2529,Sean Hoehn missed Jumper.,61,83
2:18,2217,Jonathan Kasibabu Defensive Rebound.,61,83
2:00,2217,Jerry Johnson Jr. made Jumper.,61,85
1:42,2529,Mario Matasovic Turnover.,61,85
1:28,2217,Thomas Nolan Turnover.,61,85
