Fairleigh Dickinson,2550,Seton Hall,161
11:08,2550,Myles Powell made Three Point Jumper. Assisted by Angel Delgado.,43,55
10:52,161,Stephan Jiggets missed Three Point Jumper.,43,55
10:52,2550,Veer Singh Defensive Rebound.,43,55
10:32,2550,Official TV Timeout,43,55
10:28,2550,Desi Rodriguez missed Layup.,43,55
10:28,2550,Michael Nzei Offensive Rebound.,43,55
10:27,161,Foul on Kaleb Bishop.,43,55
10:27,2550,Michael Nzei made Free Throw.,43,56
10:27,2550,Michael Nzei missed Free Throw.,43,56
10:27,161,Darian Anderson Defensive Rebound.,43,56
10:14,2550,Foul on Michael Nzei.,43,56
10:14,161,Darnell Edge made Free Throw.,44,56
10:14,161,Darnell Edge made Free Throw.,45,56
9:47,2550,Myles Powell missed Jumper.,45,56
9:47,2550,Angel Delgado Offensive Rebound.,45,56
9:43,2550,Angel Delgado made Layup.,45,58
9:42,161,Foul on Malik Miller.,45,58
9:42,2550,Angel Delgado missed Free Throw.,45,58
9:42,161,Stephan Jiggets Defensive Rebound.,45,58
9:21,2550,Foul on Angel Delgado.,45,58
9:20,161,Darian Anderson made Jumper. Assisted by Stephan Jiggets.,47,58
9:05,2550,Ismael Sanogo missed Three Point Jumper.,47,58
9:05,161,Tyrone O'Garro Defensive Rebound.,47,58
8:55,2550,Foul on Madison Jones.,47,58
8:46,161,Darian Anderson made Jumper.,49,58
8:26,2550,Desi Rodriguez made Layup.,49,60
8:26,161,Foul on Mike Holloway.,49,60
8:26,2550,Desi Rodriguez made Free Throw.,49,61
8:17,161,Stephan Jiggets Turnover.,49,61
8:16,2550,Madison Jones Steal.,49,61
8:11,2550,Khadeen Carrington made Free Throw.,49,62
8:11,161,Foul on Darian Anderson.,49,62
8:11,2550,Khadeen Carrington made Free Throw.,49,63
7:59,161,Darian Anderson made Layup.,51,63
7:39,161,Foul on Tyrone O'Garro.,51,63
7:39,2550,Official TV Timeout,51,63
7:39,2550,Ismael Sanogo missed Free Throw.,51,63
7:39,161,Tyrone O'Garro Defensive Rebound.,51,63
7:21,161,Darnell Edge made Jumper.,53,63
6:59,2550,Khadeen Carrington made Three Point Jumper. Assisted by Desi Rodriguez.,53,66
6:52,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggets.,56,66
6:51,2550,Foul on Madison Jones.,56,66
6:51,161,Darian Anderson made Free Throw.,57,66
6:42,161,Technical Foul on Fairleigh Dickinson.,57,66
6:42,2550,Khadeen Carrington missed Free Throw.,57,66
6:42,2550,Seton Hall Deadball Team Rebound.,57,66
6:42,2550,Khadeen Carrington made Free Throw.,57,67
6:30,2550,Khadeen Carrington made Three Point Jumper. Assisted by Madison Jones.,57,70
6:14,161,Malik Miller missed Three Point Jumper.,57,70
6:14,2550,Khadeen Carrington Defensive Rebound.,57,70
6:08,2550,Khadeen Carrington made Layup.,57,72
5:58,161,Fairleigh Dickinson  Timeout,57,72
5:58,2550,Official TV Timeout,57,72
5:48,2550,Foul on Angel Delgado.,57,72
5:37,161,Darian Anderson made Three Point Jumper. Assisted by Tyrone O'Garro.,60,72
5:15,2550,Ismael Sanogo made Layup. Assisted by Desi Rodriguez.,60,74
5:03,161,Tyrone O'Garro made Layup. Assisted by Darian Anderson.,62,74
4:49,2550,Angel Delgado made Layup. Assisted by Madison Jones.,62,76
4:20,161,Mike Holloway missed Layup.,62,76
4:20,2550,Ismael Sanogo Defensive Rebound.,62,76
4:19,161,Foul on Kaleb Bishop.,62,76
4:19,2550,Ismael Sanogo made Free Throw.,62,77
4:19,2550,Ismael Sanogo missed Free Throw.,62,77
4:19,161,Darian Anderson Defensive Rebound.,62,77
4:07,2550,Foul on Michael Nzei.,62,77
4:07,161,Mike Holloway made Free Throw.,63,77
4:07,161,Mike Holloway made Free Throw.,64,77
3:47,2550,Angel Delgado made Layup.,64,79
3:39,161,Darian Anderson made Layup.,66,79
3:22,2550,Khadeen Carrington made Three Point Jumper. Assisted by Madison Jones.,66,82
3:06,161,Stephan Jiggets Turnover.,66,82
3:06,161,Foul on Stephan Jiggets.,66,82
3:06,2550,Official TV Timeout,66,82
2:40,2550,Desi Rodriguez made Layup.,66,84
2:40,161,Foul on Darnell Edge.,66,84
2:40,2550,Desi Rodriguez missed Free Throw.,66,84
2:40,161,Kaleb Bishop Defensive Rebound.,66,84
2:20,2550,Foul on Madison Jones.,66,84
2:20,161,Kaleb Bishop missed Free Throw.,66,84
2:20,2550,Desi Rodriguez Defensive Rebound.,66,84
2:11,2550,Michael Nzei made Layup. Assisted by Madison Jones.,66,86
1:54,161,Stephan Jiggets missed Layup.,66,86
1:54,161,Kaleb Bishop Offensive Rebound.,66,86
1:51,161,Kaleb Bishop made Two Point Tip Shot.,68,86
1:28,161,Foul on DaRon Curry.,68,86
1:28,2550,Madison Jones made Free Throw.,68,87
1:28,2550,Madison Jones missed Free Throw.,68,87
1:28,161,Nadi Beciri Defensive Rebound.,68,87
1:09,161,Nadi Beciri Turnover.,68,87
1:09,2550,Eron Gordon Steal.,68,87
1:05,2550,Madison Jones made Layup. Assisted by Eron Gordon.,68,89
1:05,2550,Seton Hall  Timeout,68,89
0:57,2550,Foul on Rashed Anthony.,68,89
0:57,161,Nadi Beciri made Free Throw.,69,89
0:57,161,Nadi Beciri made Free Throw.,70,89
0:41,2550,Michael Nzei made Layup. Assisted by Myles Powell.,70,91
0:24,161,Kaleb Bishop missed Three Point Jumper.,70,91
0:24,2550,Michael Nzei Defensive Rebound.,70,91
0:21,161,Foul on Kaleb Bishop.,70,91
0:21,2550,Michael Nzei missed Free Throw.,70,91
0:21,2550,Seton Hall Deadball Team Rebound.,70,91
0:21,2550,Michael Nzei missed Free Throw.,70,91
0:21,161,Kaleb Bishop Defensive Rebound.,70,91
0:08,161,Darnell Edge missed Three Point Jumper.,70,91
0:08,2550,Rashed Anthony Defensive Rebound.,70,91
0:00,2550,End of Game,70,91
