Summit,Error,Delaware State,2169
2:27,2169,Delaware St Offensive Rebound.,33,44
2:26,-1,Foul on Nick Peters.,33,44
2:26,2169,Artem Tavakalyn made Free Throw.,33,45
2:26,2169,Artem Tavakalyn missed Free Throw.,33,45
2:26,-1,Kyron Jones Defensive Rebound.,33,45
2:18,-1,Kyron Jones missed Jumper.,33,45
2:18,2169,Kavon Waller Defensive Rebound.,33,45
1:58,2169,Kobe Gantz made Layup.,33,47
1:50,-1,Kyron Jones made Jumper.,35,47
1:50,2169,Foul on Kavon Waller.,35,47
1:50,-1,Kyron Jones missed Free Throw.,35,47
1:50,-1,Kyron Jones Offensive Rebound.,35,47
1:50,-1,Kyron Jones missed Layup.,35,47
1:50,2169,Kavon Waller Defensive Rebound.,35,47
1:50,2169,Kavon Waller made Jumper. Assisted by Artem Tavakalyn.,35,49
1:26,-1,Evan Dougoud Turnover.,35,49
1:13,2169,Artem Tavakalyn made Layup.,35,51
0:43,-1,Clarks Summit  Timeout,35,51
0:40,-1,Evan Dougoud Turnover.,35,51
0:39,2169,Kobe Gantz Steal.,35,51
0:36,2169,Kobe Gantz made Layup. Assisted by Artem Tavakalyn.,35,53
0:26,2169,Foul on Kobe Gantz.,35,53
0:26,-1,Evan Dougoud made Free Throw.,36,53
0:25,-1,Evan Dougoud made Free Throw.,37,53
0:21,2169,Delaware St  Timeout,37,53
0:01,-1,Foul on Evan Dougoud.,37,53
0:01,2169,DeAndre Haywood made Free Throw.,37,54
0:01,2169,DeAndre Haywood made Free Throw.,37,55
0:00,2169,End of 1st half,36,55
19:50,2169,Foul on Demola Onifade.,37,55
19:38,-1,Kyron Jones made Jumper.,39,55
19:13,2169,Kavon Waller made Three Point Jumper. Assisted by DeAndre Haywood.,39,58
18:56,-1,Kyron Jones missed Three Point Jumper.,39,58
18:56,2169,Kavon Waller Defensive Rebound.,39,58
18:23,2169,DeAndre Haywood made Layup.,39,60
18:09,-1,Foul on Kyron Jones.,39,60
18:09,-1,Kyron Jones Turnover.,39,60
17:56,2169,DeVaughn Mallory missed Jumper.,39,60
17:56,-1,Noah Lindsey Defensive Rebound.,39,60
17:48,-1,Evan Dougoud missed Jumper.,39,60
17:48,2169,Devin Morgan Defensive Rebound.,39,60
17:35,2169,Devin Morgan missed Jumper.,39,60
17:35,-1,Evan Dougoud Defensive Rebound.,39,60
17:27,2169,Foul on DeVaughn Mallory.,39,60
17:27,-1,Kyron Jones made Free Throw.,40,60
17:27,-1,Kyron Jones missed Free Throw.,40,60
17:27,2169,DeAndre Haywood Defensive Rebound.,40,60
17:18,2169,Kavon Waller made Three Point Jumper. Assisted by DeVaughn Mallory.,40,63
16:58,-1,Noah Lindsey missed Jumper.,40,63
16:58,2169,Demola Onifade Block.,40,63
16:57,-1,Clarks Summit Offensive Rebound.,40,63
16:52,-1,John McCloskey missed Three Point Jumper.,40,63
16:52,2169,Demola Onifade Defensive Rebound.,40,63
16:43,2169,Kavon Waller missed Three Point Jumper.,40,63
16:43,-1,John McCloskey Defensive Rebound.,40,63
16:33,2169,Foul on DeAndre Haywood.,40,63
16:25,-1,Foul on Brion Elliott.,40,63
16:25,-1,Brion Elliott Turnover.,40,63
16:09,2169,DeAndre Haywood made Dunk. Assisted by Devin Morgan.,40,65
15:46,-1,Kyron Jones missed Jumper.,40,65
15:46,2169,Delaware St Defensive Rebound.,40,65
15:35,2169,DeAndre Haywood missed Jumper.,40,65
15:35,2169,Demola Onifade Offensive Rebound.,40,65
15:28,2169,Devin Morgan made Three Point Jumper.,40,68
15:06,-1,Noah Lindsey missed Jumper.,40,68
15:06,-1,Clarks Summit Offensive Rebound.,40,68
15:05,-1,Kyron Jones missed Jumper.,40,68
15:05,2169,Kavon Waller Defensive Rebound.,40,68
15:00,2169,DeAndre Haywood made Dunk.,40,70
14:48,-1,Evan Dougoud missed Jumper.,40,70
14:48,2169,Kavon Waller Defensive Rebound.,40,70
14:48,2169,Demola Onifade missed Jumper.,40,70
14:48,-1,Noah Lindsey Defensive Rebound.,40,70
14:48,-1,Kyron Jones missed Jumper.,40,70
14:48,2169,DeVaughn Mallory Defensive Rebound.,40,70
14:48,2169,Kavon Waller made Three Point Jumper. Assisted by Devin Morgan.,40,73
14:48,-1,Brion Elliott made Jumper.,42,73
14:46,2169,Kavon Waller made Three Point Jumper. Assisted by Devin Morgan.,42,76
14:28,-1,Brion Elliott Turnover.,42,76
13:19,2169,Official TV Timeout,42,76
12:52,2169,Demola Onifade missed Layup.,42,76
12:52,-1,Brion Elliott Defensive Rebound.,42,76
12:47,-1,John McCloskey Turnover.,42,76
12:30,2169,Kavon Waller Turnover.,42,76
12:29,-1,Brion Elliott Steal.,42,76
12:25,-1,Evan Dougoud made Layup. Assisted by Brion Elliott.,44,76
11:58,2169,Dana Raysor missed Layup.,44,76
11:58,-1,Reed Plantz Defensive Rebound.,44,76
11:39,-1,Brion Elliott missed Jumper.,44,76
11:39,-1,Brion Elliott Offensive Rebound.,44,76
11:37,2169,Foul on DeVaughn Mallory.,44,76
11:27,2169,Official TV Timeout,44,76
11:20,-1,Brion Elliott made Jumper.,46,76
10:57,2169,DeVaughn Mallory missed Layup.,46,76
10:57,2169,DeVaughn Mallory Offensive Rebound.,46,76
10:56,2169,DeVaughn Mallory made Layup.,46,78
10:36,-1,Evan Dougoud missed Three Point Jumper.,46,78
10:36,2169,DeVaughn Mallory Defensive Rebound.,46,78
10:11,2169,DeVaughn Mallory missed Jumper.,46,78
10:11,-1,Evan Dougoud Defensive Rebound.,46,78
9:52,-1,John McCloskey missed Three Point Jumper.,46,78
9:52,2169,Kavon Waller Defensive Rebound.,46,78
9:39,2169,Devin Morgan made Three Point Jumper. Assisted by Dana Raysor.,46,81
9:13,-1,Reed Plantz Turnover.,46,81
9:04,2169,Dana Raysor missed Three Point Jumper.,46,81
9:04,-1,John McCloskey Defensive Rebound.,46,81
8:47,-1,Foul on Kyron Jones.,46,81
8:47,-1,Kyron Jones Turnover.,46,81
8:25,2169,Dana Raysor made Layup.,46,83
7:58,-1,Nick Peters missed Jumper.,46,83
7:58,-1,Noah Lindsey Offensive Rebound.,46,83
7:55,-1,Steven Marvin missed Jumper.,46,83
7:55,2169,Dana Raysor Defensive Rebound.,46,83
7:46,2169,Mrdjan Gasevic made Layup.,46,85
7:34,-1,Johnathan Albury made Layup. Assisted by Kyron Jones.,48,85
7:34,2169,Official TV Timeout,48,85
7:13,2169,Mrdjan Gasevic made Jumper.,48,87
6:49,2169,Foul on Dana Raysor.,48,87
6:49,-1,Evan Dougoud made Free Throw.,49,87
6:49,-1,Evan Dougoud made Free Throw.,50,87
6:27,2169,Artem Tavakalyn made Three Point Jumper. Assisted by Devin Morgan.,50,90
6:13,-1,Johnathan Albury Turnover.,50,90
6:12,2169,Dana Raysor Steal.,50,90
6:10,-1,Foul on Johnathan Albury.,50,90
6:10,2169,Dana Raysor made Free Throw.,50,91
6:10,2169,Dana Raysor missed Free Throw.,50,91
6:10,-1,Donald Miller Defensive Rebound.,50,91
6:00,-1,Evan Dougoud made Jumper.,52,91
5:46,2169,Artem Tavakalyn missed Three Point Jumper.,52,91
5:46,-1,Donald Miller Defensive Rebound.,52,91
5:45,2169,Foul on Quincy Tillinghast.,52,91
5:26,-1,Donald Miller missed Jumper.,52,91
5:26,2169,Artem Tavakalyn Defensive Rebound.,52,91
5:19,2169,Kobe Gantz made Layup.,52,93
4:57,-1,Donald Miller made Jumper. Assisted by Kyron Jones.,54,93
4:41,2169,Artem Tavakalyn missed Jumper.,54,93
4:41,-1,Donald Miller Defensive Rebound.,54,93
4:33,-1,Reed Plantz missed Jumper.,54,93
4:33,2169,Mrdjan Gasevic Defensive Rebound.,54,93
4:26,-1,Foul on Donald Miller.,54,93
4:26,2169,Kobe Gantz made Free Throw.,54,94
4:26,2169,Kobe Gantz made Free Throw.,54,95
4:02,-1,Brion Elliott missed Jumper.,54,95
4:02,2169,Dana Raysor Defensive Rebound.,54,95
3:57,2169,Kobe Gantz made Layup. Assisted by Dana Raysor.,54,97
3:44,-1,Kyron Jones missed Jumper.,54,97
3:44,-1,Donald Miller Offensive Rebound.,54,97
3:42,-1,Donald Miller made Layup.,56,97
3:30,2169,Mrdjan Gasevic missed Layup.,56,97
3:30,2169,Quincy Tillinghast Offensive Rebound.,56,97
3:15,2169,Mrdjan Gasevic made Layup.,56,99
3:05,2169,Foul on Dana Raysor.,56,99
3:05,2169,Official TV Timeout,56,99
3:05,-1,Donald Miller missed Free Throw.,56,99
3:05,2169,Artem Tavakalyn Defensive Rebound.,56,99
2:51,2169,Quincy Tillinghast Turnover.,56,99
2:51,-1,Kyron Jones Steal.,56,99
2:45,-1,Foul on Kyron Jones.,56,99
2:26,2169,Joseph Lewis made Jumper.,56,101
2:00,2169,Foul on Kobe Gantz.,56,101
2:00,-1,Reed Plantz missed Free Throw.,56,101
2:00,2169,Jordan Bushrod Defensive Rebound.,56,101
1:44,2169,Artem Tavakalyn Turnover.,56,101
1:33,-1,Brion Elliott Turnover.,56,101
1:32,2169,Quincy Tillinghast Steal.,56,101
1:30,2169,Artem Tavakalyn made Dunk.,56,103
1:16,-1,Brion Elliott missed Jumper.,56,103
1:16,-1,Brion Elliott Offensive Rebound.,56,103
1:12,-1,Brion Elliott missed Jumper.,56,103
1:12,2169,Joseph Lewis Defensive Rebound.,56,103
0:57,-1,Foul on Johnathan Albury.,56,103
0:29,2169,Joseph Lewis missed Jumper.,56,103
0:29,-1,Johnathan Albury Defensive Rebound.,56,103
0:20,-1,Steven Marvin missed Jumper.,56,103
0:20,2169,Joseph Lewis Defensive Rebound.,56,103
0:13,2169,Artem Tavakalyn missed Dunk.,56,103
0:13,2169,Jordan Bushrod Offensive Rebound.,56,103
0:10,2169,Joseph Lewis missed Three Point Jumper.,56,103
0:10,-1,Reed Plantz Defensive Rebound.,56,103
0:00,-1,Steven Marvin missed Three Point Jumper.,56,103
0:00,-1,Clarks Summit Deadball Team Rebound.,56,103
0:00,2169,End of Game,56,103
