Montana State,265,Washington State,147
0:56,147,Joe Mvuezolo Jr. missed Layup.,21,29
0:56,265,Josh Hawkinson Defensive Rebound.,21,29
0:25,265,Derrien King made Jumper.,21,31
0:07,265,Viont'e Daniels Turnover.,11,19
0:02,265,Foul on Robert Franks.,21,31
0:00,265,End of 1st half,21,31
19:51,147,Tyler Hall missed Three Point Jumper.,21,31
19:51,147,Sam Neumann Offensive Rebound.,21,31
19:41,147,Quinton Everett missed Layup.,21,31
19:41,265,Conor Clifford Block.,21,31
19:39,147,Quinton Everett Offensive Rebound.,21,31
19:39,265,Foul on Josh Hawkinson.,21,31
19:30,147,Tyler Hall missed Jumper.,21,31
19:30,265,Malachi Flynn Defensive Rebound.,21,31
19:11,265,Conor Clifford made Layup. Assisted by Josh Hawkinson.,21,33
18:53,147,Zach Green missed Three Point Jumper.,21,33
18:53,265,Conor Clifford Defensive Rebound.,21,33
18:45,265,Josh Hawkinson made Jumper. Assisted by Malachi Flynn.,21,35
18:26,147,Zach Green missed Three Point Jumper.,21,35
18:26,265,Derrien King Defensive Rebound.,21,35
18:09,265,Conor Clifford made Jumper.,21,37
17:40,147,Harald Frey made Jumper.,23,37
17:24,265,Derrien King missed Jumper.,23,37
17:24,265,Conor Clifford Offensive Rebound.,23,37
17:21,265,Conor Clifford Turnover.,23,37
17:20,147,Zach Green Steal.,23,37
16:56,147,Quinton Everett missed Three Point Jumper.,23,37
16:56,265,Malachi Flynn Defensive Rebound.,23,37
16:50,147,Foul on Quinton Everett.,23,37
16:50,265,Derrien King made Free Throw.,23,38
16:50,265,Derrien King made Free Throw.,23,39
16:37,147,Harald Frey made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,26,39
16:30,265,Malachi Flynn missed Three Point Jumper.,26,39
16:30,265,Derrien King Offensive Rebound.,26,39
16:25,265,Derrien King Turnover.,26,39
16:17,147,Joe Mvuezolo Jr. Turnover.,26,39
16:14,265,Ike Iroegbu missed Layup.,26,39
16:14,147,Zach Green Defensive Rebound.,26,39
16:08,147,Joe Mvuezolo Jr. missed Three Point Jumper.,26,39
16:08,147,Montana St Offensive Rebound.,26,39
15:47,147,Tyler Hall made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,29,39
15:28,147,Foul on Tyler Hall.,29,39
15:28,265,Official TV Timeout,29,39
15:28,265,Derrien King made Free Throw.,29,40
15:28,265,Derrien King made Free Throw.,29,41
15:01,147,Joe Mvuezolo Jr. missed Jumper.,29,41
15:01,147,Devin Kirby Offensive Rebound.,29,41
14:58,147,Devin Kirby missed Layup.,29,41
14:58,265,Conor Clifford Block.,29,41
14:58,265,Washington St Deadball Team Rebound.,29,41
14:43,265,Conor Clifford made Jumper. Assisted by Josh Hawkinson.,29,43
14:22,147,Harald Frey missed Three Point Jumper.,29,43
14:22,265,Derrien King Defensive Rebound.,29,43
13:53,265,Malachi Flynn Turnover.,29,43
13:40,147,Tyler Hall Turnover.,29,43
13:33,265,Derrien King Turnover.,29,43
13:28,147,Foul on Joe Mvuezolo Jr..,29,43
13:28,147,Joe Mvuezolo Jr. Turnover.,29,43
13:16,265,Josh Hawkinson made Layup. Assisted by Viont'e Daniels.,29,45
13:07,147,Joe Mvuezolo Jr. missed Layup.,29,45
13:07,265,Washington St Defensive Rebound.,29,45
12:53,265,Derrien King made Three Point Jumper. Assisted by Josh Hawkinson.,29,48
12:33,147,Tyler Hall missed Jumper.,29,48
12:33,147,Montana St Offensive Rebound.,29,48
12:22,265,Foul on Viont'e Daniels.,29,48
12:16,265,Foul on Derrien King.,29,48
12:16,147,Tyler Hall made Free Throw.,30,48
12:16,147,Tyler Hall made Free Throw.,31,48
11:59,265,Charles Callison missed Jumper.,31,48
11:59,147,Devonte Klines Defensive Rebound.,31,48
11:35,147,Harald Frey missed Layup.,31,48
11:35,265,Jeff Pollard Defensive Rebound.,31,48
11:27,265,Foul on Robert Franks.,31,48
11:27,265,Robert Franks Turnover.,31,48
11:27,265,Official TV Timeout,31,48
11:17,147,Quinton Everett Turnover.,31,48
10:57,265,Josh Hawkinson Turnover.,31,48
10:51,265,Foul on Charles Callison.,31,48
10:37,147,Zach Green missed Layup.,31,48
10:37,265,Washington St Defensive Rebound.,31,48
10:22,147,Foul on Zach Green.,31,48
10:17,265,Josh Hawkinson missed Jumper.,31,48
10:17,147,Zach Green Defensive Rebound.,31,48
10:04,147,Tyler Hall made Jumper.,33,48
9:47,265,Viont'e Daniels missed Layup.,33,48
9:47,147,Tyler Hall Block.,33,48
9:47,265,Washington St Offensive Rebound.,33,48
9:44,265,Josh Hawkinson missed Jumper.,33,48
9:44,265,Washington St Offensive Rebound.,33,48
9:27,265,Ike Iroegbu made Three Point Jumper. Assisted by Malachi Flynn.,33,51
9:09,147,Sarp Gobeloglu made Three Point Jumper. Assisted by Tyler Hall.,36,51
9:02,147,Sarp Gobeloglu missed Layup.,36,51
9:02,265,Josh Hawkinson Block.,36,51
8:59,147,Quinton Everett Offensive Rebound.,36,51
8:57,265,Malachi Flynn Defensive Rebound.,36,51
8:54,265,Ike Iroegbu missed Jumper.,36,51
8:54,147,Sarp Gobeloglu Defensive Rebound.,36,51
8:47,147,Sarp Gobeloglu made Three Point Jumper. Assisted by Tyler Hall.,39,51
8:23,147,Foul on Benson Osayande.,39,51
8:23,265,Jeff Pollard made Free Throw.,39,52
8:23,265,Jeff Pollard missed Free Throw.,39,52
8:23,147,Sarp Gobeloglu Defensive Rebound.,39,52
8:22,147,Tyler Hall missed Three Point Jumper.,39,52
8:22,265,Jeff Pollard Defensive Rebound.,39,52
7:53,265,Malachi Flynn made Layup. Assisted by Charles Callison.,39,54
7:33,147,Devonte Klines missed Jumper.,39,54
7:33,265,Josh Hawkinson Defensive Rebound.,39,54
7:23,147,Foul on Devin Kirby.,39,54
7:23,265,Official TV Timeout,39,54
7:11,265,Malachi Flynn missed Three Point Jumper.,39,54
7:11,147,Tyler Hall Defensive Rebound.,39,54
7:02,147,Devonte Klines missed Layup.,39,54
7:02,265,Conor Clifford Block.,39,54
7:00,265,Charles Callison Defensive Rebound.,39,54
6:57,265,Charles Callison Turnover.,39,54
6:57,147,Joe Mvuezolo Jr. Steal.,39,54
6:54,147,Joe Mvuezolo Jr. made Jumper.,41,54
6:43,265,Derrien King missed Three Point Jumper.,41,54
6:43,147,Sarp Gobeloglu Defensive Rebound.,41,54
6:31,147,Tyler Hall made Jumper.,43,54
6:31,265,Foul on Malachi Flynn.,43,54
6:31,147,Tyler Hall made Free Throw.,44,54
6:15,265,Josh Hawkinson made Layup. Assisted by Ike Iroegbu.,44,56
5:59,147,Sarp Gobeloglu missed Three Point Jumper.,44,56
5:59,265,Ike Iroegbu Defensive Rebound.,44,56
5:45,147,Foul on Sarp Gobeloglu.,44,56
5:45,265,Josh Hawkinson made Free Throw.,44,57
5:45,265,Josh Hawkinson made Free Throw.,44,58
5:25,147,Tyler Hall made Three Point Jumper.,47,58
5:11,265,Josh Hawkinson missed Three Point Jumper.,47,58
5:11,147,Tyler Hall Defensive Rebound.,47,58
5:03,147,Sarp Gobeloglu made Layup.,49,58
5:03,265,Foul on Josh Hawkinson.,49,58
5:03,147,Sarp Gobeloglu made Free Throw.,50,58
5:01,265,Washington St  Timeout,50,58
4:45,265,Derrien King missed Three Point Jumper.,50,58
4:45,147,Zach Green Defensive Rebound.,50,58
4:32,265,Foul on Ike Iroegbu.,50,58
4:32,147,Zach Green made Free Throw.,51,58
4:32,147,Zach Green missed Free Throw.,51,58
4:32,265,Josh Hawkinson Defensive Rebound.,51,58
4:14,265,Josh Hawkinson missed Jumper.,51,58
4:14,147,Tyler Hall Defensive Rebound.,51,58
4:06,147,Tyler Hall made Layup.,53,58
3:44,265,Josh Hawkinson missed Jumper.,53,58
3:44,147,Harald Frey Defensive Rebound.,53,58
3:39,147,Montana St  Timeout,53,58
3:28,147,Zach Green missed Layup.,53,58
3:28,265,Josh Hawkinson Defensive Rebound.,53,58
3:27,147,Foul on Zach Green.,53,58
3:27,265,Josh Hawkinson made Free Throw.,53,59
3:27,265,Josh Hawkinson made Free Throw.,53,60
3:16,147,Joe Mvuezolo Jr. Turnover.,53,60
2:53,147,Foul on Harald Frey.,53,60
2:53,265,Ike Iroegbu made Free Throw.,53,61
2:53,265,Ike Iroegbu made Free Throw.,53,62
2:44,147,Tyler Hall made Three Point Jumper.,56,62
2:12,147,Foul on Sarp Gobeloglu.,56,62
2:12,265,Josh Hawkinson made Free Throw.,56,63
2:12,265,Josh Hawkinson missed Free Throw.,56,63
2:12,147,Tyler Hall Defensive Rebound.,56,63
1:57,147,Quinton Everett made Layup. Assisted by Tyler Hall.,58,63
1:28,265,Malachi Flynn Turnover.,58,63
1:20,147,Harald Frey missed Layup.,58,63
1:20,265,Malachi Flynn Defensive Rebound.,58,63
0:54,265,Josh Hawkinson made Jumper. Assisted by Ike Iroegbu.,58,65
0:53,265,Washington St  Timeout,58,65
0:43,147,Tyler Hall missed Layup.,58,65
0:43,147,Zach Green Offensive Rebound.,58,65
0:43,265,Foul on Ike Iroegbu.,58,65
0:43,147,Zach Green made Free Throw.,59,65
0:43,147,Zach Green made Free Throw.,60,65
0:39,147,Foul on Quinton Everett.,60,65
0:39,265,Ike Iroegbu made Free Throw.,60,66
0:39,265,Ike Iroegbu missed Free Throw.,60,66
0:39,147,Tyler Hall Defensive Rebound.,60,66
0:31,147,Quinton Everett made Three Point Jumper. Assisted by Tyler Hall.,63,66
0:28,147,Foul on Tyler Hall.,63,66
0:28,265,Malachi Flynn missed Free Throw.,63,66
0:28,265,Washington St Deadball Team Rebound.,63,66
0:28,265,Malachi Flynn made Free Throw.,63,67
0:23,147,Tyler Hall missed Three Point Jumper.,63,67
0:23,265,Josh Hawkinson Defensive Rebound.,63,67
0:20,147,Foul on Sam Neumann.,63,67
0:20,265,Josh Hawkinson made Free Throw.,63,68
0:20,265,Josh Hawkinson missed Free Throw.,63,68
0:20,147,Quinton Everett Defensive Rebound.,63,68
0:14,265,Foul on Josh Hawkinson.,63,68
0:14,147,Tyler Hall made Free Throw.,64,68
0:14,147,Montana St  Timeout,64,68
0:14,147,Tyler Hall made Free Throw.,65,68
0:13,147,Foul on Tyler Hall.,65,68
0:13,265,Derrien King missed Free Throw.,65,68
0:13,265,Washington St Deadball Team Rebound.,65,68
0:13,265,Derrien King made Free Throw.,65,69
0:09,147,Tyler Hall missed Three Point Jumper.,65,69
0:09,147,Quinton Everett Offensive Rebound.,65,69
0:05,147,Quinton Everett missed Three Point Jumper.,65,69
0:05,265,Malachi Flynn Defensive Rebound.,65,69
0:00,265,End of Game,65,69
