Toccoa Falls,Error,Troy,2653
12:20,2653,Juan Davis Jr. Defensive Rebound.,7,30
12:02,2653,Jeremy Hollimon missed Jumper.,7,30
12:02,2653,Juan Davis Jr. Offensive Rebound.,7,30
11:58,2653,Juan Davis Jr. made Layup.,7,32
11:49,2653,Foul on Juan Davis Jr..,7,32
11:49,2653,Official TV Timeout,7,32
11:47,-1,Zach Barrett made Jumper. Assisted by Connor Iverson.,9,32
11:30,2653,Juan Davis Jr. made Three Point Jumper. Assisted by Aaron Ariri.,9,35
11:09,-1,Josh Folwell Turnover.,9,35
11:08,2653,Daniel Peace Steal.,9,35
11:07,-1,Foul on Nathan Cox.,9,35
11:07,2653,Daniel Peace made Free Throw.,9,36
11:07,2653,Daniel Peace made Free Throw.,9,37
10:58,-1,Josh Folwell missed Layup.,9,37
10:58,2653,Jordon Varnado Block.,9,37
10:57,2653,Shawn Hopkins Defensive Rebound.,9,37
10:49,2653,Shawn Hopkins made Layup.,9,39
10:30,-1,Nathan Cox missed Three Point Jumper.,9,39
10:30,2653,Aaron Ariri Defensive Rebound.,9,39
10:16,2653,Wesley Person made Three Point Jumper. Assisted by B.J. Miller.,9,42
9:54,-1,Connor Iverson made Layup.,11,42
9:45,2653,Wesley Person missed Three Point Jumper.,11,42
9:45,2653,Shawn Hopkins Offensive Rebound.,11,42
9:36,2653,Aaron Ariri made Layup. Assisted by B.J. Miller.,11,44
9:19,-1,Zach Barrett missed Jumper.,11,44
9:19,2653,Shawn Hopkins Defensive Rebound.,11,44
9:10,2653,Aaron Ariri Turnover.,11,44
9:09,-1,Nathan Cox Steal.,11,44
9:05,-1,Nathan Cox Turnover.,11,44
9:04,2653,B.J. Miller Steal.,11,44
8:59,2653,Shawn Hopkins made Three Point Jumper. Assisted by B.J. Miller.,11,47
8:31,-1,Zach Barrett made Three Point Jumper.,14,47
8:16,2653,Aaron Ariri made Dunk.,14,49
8:03,-1,Zach Barrett missed Layup.,14,49
8:03,-1,Zach Barrett Offensive Rebound.,14,49
8:01,-1,Zach Barrett missed Layup.,14,49
8:01,2653,Aaron Ariri Block.,14,49
7:59,2653,Wesley Person Defensive Rebound.,14,49
7:55,2653,Jordon Varnado made Dunk. Assisted by Wesley Person.,14,51
7:44,-1,Josh Folwell made Three Point Jumper.,17,51
7:30,2653,Jordon Varnado Turnover.,17,51
7:29,2653,Official TV Timeout,17,51
7:16,-1,Josh Folwell made Layup.,19,51
6:59,2653,Jordon Varnado made Layup.,19,53
6:45,-1,Cameron Williams missed Three Point Jumper.,19,53
6:45,-1,Josh Folwell Offensive Rebound.,19,53
6:41,-1,Jovan Morris missed Three Point Jumper.,19,53
6:41,2653,DeVon Walker Defensive Rebound.,19,53
6:32,2653,Wesley Person missed Three Point Jumper.,19,53
6:32,2653,Wesley Person Offensive Rebound.,19,53
6:24,2653,DeVon Walker made Layup. Assisted by Wesley Person.,19,55
5:54,-1,Connor Iverson Turnover.,19,55
5:38,2653,Alex Hicks Turnover.,19,55
5:38,2653,Foul on Alex Hicks.,19,55
5:28,-1,Josh Folwell Turnover.,19,55
5:20,2653,Alex Hicks made Dunk. Assisted by Jeremy Hollimon.,19,57
5:01,-1,Connor Iverson made Three Point Jumper. Assisted by Jovan Morris.,22,57
4:48,2653,Jeremy Hollimon made Layup.,22,59
4:39,2653,Foul on Jaro Moravek.,22,59
4:25,-1,Cameron Williams made Layup.,24,59
4:13,2653,Kevin Baker missed Three Point Jumper.,24,59
4:13,-1,Cameron Williams Defensive Rebound.,24,59
4:04,-1,Jovan Morris made Three Point Jumper. Assisted by Cameron Williams.,27,59
3:51,2653,Alex Hicks Turnover.,27,59
3:50,-1,Connor Iverson Steal.,27,59
3:46,-1,Jovan Morris missed Layup.,27,59
3:46,2653,DeVon Walker Defensive Rebound.,27,59
3:39,-1,Foul on Josh Folwell.,27,59
3:39,2653,Official TV Timeout,27,59
3:28,2653,Juan Davis Jr. Turnover.,27,59
3:08,-1,Josh Folwell Turnover.,27,59
3:08,-1,Foul on Josh Folwell.,27,59
2:59,-1,Foul on Josh Folwell.,27,59
2:59,2653,Aaron Ariri missed Free Throw.,27,59
2:59,2653,Jeremy Hollimon Offensive Rebound.,27,59
2:57,2653,Jeremy Hollimon missed Layup.,27,59
2:57,-1,Cameron Williams Block.,27,59
2:56,2653,Jeremy Hollimon Offensive Rebound.,27,59
2:53,2653,Jeremy Hollimon missed Layup.,27,59
2:53,-1,Jovan Morris Defensive Rebound.,27,59
2:46,-1,Jovan Morris made Three Point Jumper. Assisted by Faizon Jackson.,30,59
2:36,-1,Foul on Connor Iverson.,30,59
2:36,2653,Daniel Peace made Free Throw.,30,60
2:36,2653,Daniel Peace missed Free Throw.,30,60
2:36,-1,Cameron Williams Defensive Rebound.,30,60
2:36,2653,Foul on Aaron Ariri.,30,60
2:12,-1,Cameron Williams Turnover.,30,60
2:11,2653,Daniel Peace Steal.,30,60
2:10,2653,Aaron Ariri Turnover.,30,60
2:08,-1,Cameron Williams Steal.,30,60
2:06,-1,Cameron Williams missed Layup.,30,60
2:06,2653,Aaron Ariri Defensive Rebound.,30,60
1:57,2653,Juan Davis Jr. missed Three Point Jumper.,30,60
1:57,-1,Jaylon Cheffin Defensive Rebound.,30,60
1:48,-1,Connor Iverson made Three Point Jumper. Assisted by Faizon Jackson.,33,60
1:39,2653,Daniel Peace made Layup.,33,62
1:29,-1,Jovan Morris made Three Point Jumper. Assisted by Cameron Williams.,36,62
0:58,2653,Daniel Peace missed Three Point Jumper.,36,62
0:58,-1,Faizon Jackson Defensive Rebound.,36,62
0:40,2653,Foul on Shawn Hopkins.,36,62
0:40,-1,Cameron Williams made Free Throw.,37,62
0:40,-1,Cameron Williams made Free Throw.,38,62
0:24,2653,Daniel Peace Turnover.,38,62
0:23,-1,Jovan Morris Steal.,38,62
0:19,-1,Jovan Morris missed Three Point Jumper.,38,62
0:19,2653,Juan Davis Jr. Defensive Rebound.,38,62
0:16,-1,Foul on Cameron Williams.,38,62
0:16,2653,Juan Davis Jr. made Free Throw.,38,63
0:16,2653,Juan Davis Jr. missed Free Throw.,38,63
0:16,-1,Cameron Williams Defensive Rebound.,38,63
0:16,2653,Foul on Aaron Ariri.,38,63
0:16,-1,Cameron Williams missed Free Throw.,38,63
0:16,2653,Juan Davis Jr. Defensive Rebound.,38,63
0:08,2653,Daniel Peace made Layup.,38,65
0:05,-1,Cameron Williams Turnover.,38,65
0:03,2653,Juan Davis Jr. Steal.,38,65
0:01,2653,Daniel Peace Turnover.,38,65
0:00,2653,End of 1st half,38,65
19:38,-1,Faizon Jackson Turnover.,38,65
19:20,2653,Alex Hicks missed Jumper.,38,65
19:20,-1,Josh Folwell Defensive Rebound.,38,65
19:14,-1,Jovan Morris missed Three Point Jumper.,38,65
19:14,2653,Alex Hicks Defensive Rebound.,38,65
19:07,2653,Jordon Varnado missed Dunk.,38,65
19:07,2653,Kevin Baker Offensive Rebound.,38,65
19:01,2653,Kevin Baker made Three Point Jumper. Assisted by DeVon Walker.,38,68
18:48,-1,Cameron Williams missed Three Point Jumper.,38,68
18:48,2653,Alex Hicks Defensive Rebound.,38,68
18:39,2653,Alex Hicks missed Three Point Jumper.,38,68
18:39,2653,Jordon Varnado Offensive Rebound.,38,68
18:35,2653,Jordon Varnado made Layup.,38,70
18:25,-1,Jovan Morris made Layup.,40,70
18:11,2653,Alex Hicks missed Jumper.,40,70
18:11,2653,DeVon Walker Offensive Rebound.,40,70
18:09,2653,DeVon Walker missed Layup.,40,70
18:09,-1,Cameron Williams Defensive Rebound.,40,70
18:02,-1,Faizon Jackson missed Three Point Jumper.,40,70
18:02,2653,Kevin Baker Defensive Rebound.,40,70
17:52,2653,Kevin Baker made Layup.,40,72
17:45,-1,Jovan Morris missed Layup.,40,72
17:45,2653,Jordon Varnado Block.,40,72
17:43,2653,Wesley Person Defensive Rebound.,40,72
17:38,2653,Jordon Varnado made Dunk. Assisted by Wesley Person.,40,74
17:17,-1,Zach Barrett missed Layup.,40,74
17:17,2653,Alex Hicks Defensive Rebound.,40,74
17:15,2653,Alex Hicks Turnover.,40,74
17:14,-1,Faizon Jackson Steal.,40,74
17:11,-1,Cameron Williams made Layup. Assisted by Faizon Jackson.,42,74
16:52,-1,Foul on Cameron Williams.,42,74
16:50,2653,Wesley Person Turnover.,42,74
16:48,-1,Zach Barrett Steal.,42,74
16:43,-1,Jovan Morris missed Three Point Jumper.,42,74
16:43,2653,Alex Hicks Defensive Rebound.,42,74
16:33,2653,Wesley Person made Three Point Jumper. Assisted by Kevin Baker.,42,77
16:26,-1,Cameron Williams made Three Point Jumper. Assisted by Faizon Jackson.,45,77
16:10,2653,Alex Hicks made Layup.,45,79
16:01,2653,Foul on DeVon Walker.,45,79
16:01,-1,Cameron Williams missed Free Throw.,45,79
16:01,-1,Toccoa Falls Deadball Team Rebound.,45,79
16:01,-1,Cameron Williams made Free Throw.,46,79
15:47,2653,Kevin Baker made Three Point Jumper. Assisted by Wesley Person.,46,82
15:30,-1,Josh Folwell missed Three Point Jumper.,46,82
15:30,2653,Kevin Baker Defensive Rebound.,46,82
15:19,2653,Jordon Varnado made Layup. Assisted by Kevin Baker.,46,84
15:13,2653,Official TV Timeout,46,84
14:53,2653,Daniel Peace Turnover.,46,84
14:53,2653,Foul on Daniel Peace.,46,84
14:29,-1,Connor Iverson missed Layup.,46,84
14:29,2653,Jaro Moravek Block.,46,84
14:27,2653,Jeremy Hollimon Defensive Rebound.,46,84
14:16,2653,Juan Davis Jr. missed Three Point Jumper.,46,84
14:16,-1,Zach Barrett Defensive Rebound.,46,84
14:02,2653,Foul on B.J. Miller.,46,84
14:00,2653,Foul on Daniel Peace.,46,84
13:52,-1,Jaylon Cheffin Turnover.,46,84
13:52,2653,Jeremy Hollimon Steal.,46,84
13:43,2653,Jeremy Hollimon missed Three Point Jumper.,46,84
13:43,2653,Juan Davis Jr. Offensive Rebound.,46,84
13:38,2653,Juan Davis Jr. made Layup.,46,86
13:24,-1,Nathan Cox missed Three Point Jumper.,46,86
13:24,2653,Troy Defensive Rebound.,46,86
13:10,-1,Foul on Kevin Cave.,46,86
13:08,2653,Juan Davis Jr. made Free Throw.,46,87
13:08,2653,Juan Davis Jr. made Free Throw.,46,88
13:02,2653,Foul on Shawn Hopkins.,46,88
12:55,-1,Connor Iverson missed Layup.,46,88
12:55,2653,Juan Davis Jr. Block.,46,88
12:54,-1,Toccoa Falls Offensive Rebound.,46,88
12:48,-1,Zach Barrett missed Jumper.,46,88
12:48,2653,Daniel Peace Defensive Rebound.,46,88
12:40,2653,Shawn Hopkins Turnover.,46,88
12:39,-1,Zach Barrett Steal.,46,88
12:29,-1,Kevin Cave made Three Point Jumper. Assisted by Zach Barrett.,49,88
12:17,-1,Foul on Kevin Cave.,49,88
12:17,2653,Jeremy Hollimon made Free Throw.,49,89
12:17,2653,Jeremy Hollimon missed Free Throw.,49,89
12:17,2653,Jaro Moravek Offensive Rebound.,49,89
12:16,2653,Jaro Moravek made Layup.,49,91
11:58,-1,Daniel Fadool Turnover.,49,91
11:58,2653,Official TV Timeout,49,91
11:48,2653,Juan Davis Jr. made Layup. Assisted by Daniel Peace.,49,93
11:32,-1,Cameron Williams missed Three Point Jumper.,49,93
11:32,2653,Daniel Peace Defensive Rebound.,49,93
11:24,2653,Shawn Hopkins made Three Point Jumper. Assisted by Daniel Peace.,49,96
11:14,-1,Cameron Williams made Three Point Jumper.,52,96
11:06,2653,Jeremy Hollimon missed Three Point Jumper.,52,96
11:06,2653,Troy Offensive Rebound.,52,96
11:00,2653,Shawn Hopkins made Three Point Jumper.,52,99
10:50,2653,Foul on Aaron Ariri.,52,99
10:43,-1,Connor Iverson Turnover.,52,99
10:27,2653,Aaron Ariri Turnover.,52,99
10:19,-1,Kevin Cave missed Three Point Jumper.,52,99
10:19,2653,B.J. Miller Defensive Rebound.,52,99
10:10,2653,Juan Davis Jr. made Layup. Assisted by B.J. Miller.,52,101
9:58,-1,Cameron Williams missed Jumper.,52,101
9:58,2653,Juan Davis Jr. Defensive Rebound.,52,101
9:48,2653,B.J. Miller missed Three Point Jumper.,52,101
9:48,-1,Kevin Cave Defensive Rebound.,52,101
9:33,2653,Foul on Jeremy Hollimon.,52,101
9:33,-1,Daniel Fadool made Free Throw.,53,101
9:33,-1,Daniel Fadool made Free Throw.,54,101
9:25,-1,Foul on Daniel Fadool.,54,101
9:25,2653,Aaron Ariri made Free Throw.,54,102
9:25,2653,Aaron Ariri made Free Throw.,54,103
9:08,-1,Cameron Williams made Layup. Assisted by Connor Iverson.,56,103
8:59,2653,Shawn Hopkins made Three Point Jumper. Assisted by Juan Davis Jr..,56,106
8:33,2653,Foul on Shawn Hopkins.,56,106
8:33,-1,Kevin Cave made Free Throw.,57,106
8:33,-1,Kevin Cave missed Free Throw.,57,106
8:33,-1,Cameron Williams Offensive Rebound.,57,106
8:29,-1,Kevin Cave Turnover.,57,106
8:29,2653,Alex Hicks Steal.,57,106
8:22,2653,Alex Hicks made Layup. Assisted by Jeremy Hollimon.,57,108
8:10,-1,Cameron Williams made Layup.,59,108
8:10,2653,Foul on Alex Hicks.,59,108
8:10,-1,Cameron Williams missed Free Throw.,59,108
8:10,2653,Shawn Hopkins Defensive Rebound.,59,108
7:59,2653,Kevin Baker made Three Point Jumper. Assisted by Shawn Hopkins.,59,111
7:46,-1,Kevin Cave missed Three Point Jumper.,59,111
7:46,2653,B.J. Miller Defensive Rebound.,59,111
7:38,2653,Alex Hicks Turnover.,59,111
7:38,2653,Foul on Alex Hicks.,59,111
7:38,2653,Official TV Timeout,59,111
7:29,-1,Jake Porter Turnover.,59,111
7:29,-1,Foul on Jake Porter.,59,111
7:14,2653,Shawn Hopkins missed Jumper.,59,111
7:14,2653,Jaro Moravek Offensive Rebound.,59,111
7:03,2653,Alex Hicks made Layup. Assisted by B.J. Miller.,59,113
6:49,-1,Connor Iverson made Layup.,61,113
6:25,2653,Alex Hicks made Jumper.,61,115
6:02,-1,Jake Porter missed Three Point Jumper.,61,115
6:02,2653,Kevin Baker Defensive Rebound.,61,115
5:55,2653,Kevin Baker made Three Point Jumper.,61,118
5:39,-1,Connor Iverson Turnover.,61,118
5:24,2653,Kevin Baker missed Three Point Jumper.,61,118
5:24,2653,Jaro Moravek Offensive Rebound.,61,118
5:19,2653,B.J. Miller missed Three Point Jumper.,61,118
5:19,2653,Aaron Ariri Offensive Rebound.,61,118
5:11,2653,Jaro Moravek made Three Point Jumper. Assisted by B.J. Miller.,61,121
4:57,-1,Connor Iverson made Three Point Jumper. Assisted by Zach Barrett.,64,121
4:38,2653,Shawn Hopkins made Three Point Jumper. Assisted by B.J. Miller.,64,124
4:23,-1,Connor Iverson missed Three Point Jumper.,64,124
4:23,2653,Jaro Moravek Defensive Rebound.,64,124
4:13,2653,Kevin Baker missed Three Point Jumper.,64,124
4:13,-1,Jake Porter Defensive Rebound.,64,124
4:01,-1,Connor Iverson missed Layup.,64,124
4:01,2653,Shawn Hopkins Block.,64,124
3:59,2653,Jaro Moravek Defensive Rebound.,64,124
3:51,2653,Shawn Hopkins missed Three Point Jumper.,64,124
3:51,2653,Aaron Ariri Offensive Rebound.,64,124
3:47,2653,Aaron Ariri made Layup.,64,126
3:29,-1,Zach Barrett made Jumper.,66,126
3:26,2653,Troy  Timeout,66,126
3:12,2653,Whit Moreman missed Layup.,66,126
3:12,2653,Whit Moreman Offensive Rebound.,66,126
3:09,2653,Whit Moreman missed Layup.,66,126
3:09,2653,Shawn Hopkins Offensive Rebound.,66,126
3:06,2653,Shawn Hopkins made Layup.,66,128
2:49,-1,Jake Porter made Jumper. Assisted by Zach Barrett.,68,128
2:32,2653,Aaron Ariri missed Three Point Jumper.,68,128
2:32,2653,Aaron Ariri Offensive Rebound.,68,128
2:29,2653,Aaron Ariri made Layup.,68,130
2:16,2653,Foul on Aaron Ariri.,68,130
2:16,2653,Official TV Timeout,68,130
2:16,-1,Zach Barrett missed Free Throw.,68,130
2:16,-1,Toccoa Falls Deadball Team Rebound.,68,130
2:16,-1,Zach Barrett made Free Throw.,69,130
1:53,2653,Whit Moreman made Layup. Assisted by B.J. Miller.,69,132
1:53,-1,Foul on Jaylon Cheffin.,69,132
1:53,2653,Whit Moreman missed Free Throw.,69,132
1:53,-1,Jake Porter Defensive Rebound.,69,132
1:43,-1,Zach Barrett Turnover.,69,132
1:42,2653,Daniel Peace Steal.,69,132
1:39,2653,Aaron Ariri made Dunk. Assisted by Daniel Peace.,69,134
1:25,2653,Daniel Peace Offensive Rebound.,69,134
1:25,2653,Foul on Daniel Peace.,69,134
1:25,-1,Jake Porter made Free Throw.,70,134
1:25,-1,Jake Porter made Free Throw.,71,134
1:14,2653,Whit Moreman Turnover.,71,134
1:04,-1,Connor Iverson made Layup.,73,134
0:56,-1,Foul on Connor Iverson.,73,134
0:56,2653,Daniel Peace missed Free Throw.,73,134
0:56,2653,Troy Deadball Team Rebound.,73,134
0:56,2653,Daniel Peace made Free Throw.,73,135
0:44,-1,Zach Barrett missed Jumper.,73,135
0:44,2653,Shawn Hopkins Defensive Rebound.,73,135
0:31,2653,Whit Moreman Turnover.,73,135
0:13,-1,Connor Iverson made Three Point Jumper.,76,135
0:00,2653,End of Game,76,135
