South Dakota,2181,Drake,233
15:16,233,Trey Burch-Manning made Three Point Jumper. Assisted by Tyler Flack.,10,10
14:56,2181,Reed Timmer Turnover.,10,10
14:55,233,Matt Mooney Steal.,10,10
14:53,233,Tyler Peterson made Layup. Assisted by Matt Mooney.,12,10
14:45,2181,Official TV Timeout,12,10
14:32,2181,Nick McGlynn missed Layup.,12,10
14:32,233,Triston Simpson Defensive Rebound.,12,10
14:25,233,Matt Mooney made Jumper.,14,10
14:08,2181,C.J. Rivers Turnover.,14,10
13:59,233,Matt Mooney Turnover.,14,10
13:58,2181,Reed Timmer Steal.,14,10
13:54,2181,Reed Timmer made Jumper.,14,12
13:31,233,Tyler Flack Turnover.,14,12
13:31,233,Foul on Tyler Flack.,14,12
13:02,2181,T.J. Thomas missed Jumper.,14,12
13:02,2181,Nick McGlynn Offensive Rebound.,14,12
12:57,2181,Nick McGlynn made Layup.,14,14
12:46,233,Triston Simpson Turnover.,14,14
12:44,2181,Nick McGlynn Steal.,14,14
12:29,2181,Reed Timmer missed Jumper.,14,14
12:29,233,Dan Jech Block.,14,14
12:25,2181,T.J. Thomas Offensive Rebound.,14,14
12:24,2181,Reed Timmer missed Three Point Jumper.,14,14
12:24,2181,Nick McGlynn Offensive Rebound.,14,14
12:19,2181,T.J. Thomas Turnover.,14,14
12:06,233,Brandon Armstrong missed Jumper.,14,14
12:06,2181,Drake Deadball Team Rebound.,14,14
12:04,233,Foul on Trey Burch-Manning.,14,14
11:54,2181,T.J. Thomas made Dunk. Assisted by De'Antae McMurray.,14,16
11:43,2181,Official TV Timeout,14,16
11:27,233,Trey Dickerson missed Jumper.,14,16
11:27,2181,Nick McGlynn Defensive Rebound.,14,16
11:25,233,Foul on Austin Sparks.,14,16
11:08,2181,Ore Arogundade missed Jumper.,14,16
11:08,2181,Ore Arogundade Offensive Rebound.,14,16
11:05,2181,Ore Arogundade missed Layup.,14,16
11:05,2181,Ore Arogundade Offensive Rebound.,14,16
11:00,2181,Ore Arogundade made Two Point Tip Shot.,14,18
10:56,233,Brandon Armstrong missed Three Point Jumper.,14,18
10:56,2181,T.J. Thomas Defensive Rebound.,14,18
10:44,233,Foul on Austin Sparks.,14,18
10:44,2181,T.J. Thomas missed Free Throw.,14,18
10:44,2181,Drake Deadball Team Rebound.,14,18
10:44,2181,T.J. Thomas made Free Throw.,14,19
10:28,2181,Foul on De'Antae McMurray.,14,19
10:28,233,Carlton Hurst made Free Throw.,15,19
10:28,233,Carlton Hurst made Free Throw.,16,19
10:13,2181,C.J. Rivers missed Layup.,16,19
10:13,233,Matt Mooney Block.,16,19
10:07,233,Tyler Flack Defensive Rebound.,16,19
10:05,2181,Foul on De'Antae McMurray.,16,19
10:05,233,Trey Dickerson missed Free Throw.,16,19
10:05,233,South Dakota Deadball Team Rebound.,16,19
10:05,233,Trey Dickerson missed Free Throw.,16,19
10:05,2181,Nick McGlynn Defensive Rebound.,16,19
9:45,2181,T.J. Thomas Turnover.,16,19
9:31,233,Matt Mooney missed Three Point Jumper.,16,19
9:31,2181,Graham Woodward Defensive Rebound.,16,19
9:24,2181,C.J. Rivers made Layup. Assisted by Graham Woodward.,16,21
9:07,233,Trey Burch-Manning missed Layup.,16,21
9:07,233,Tyler Flack Offensive Rebound.,16,21
9:03,233,Tyler Flack made Layup.,18,21
8:52,2181,Kory Kuenstling made Layup. Assisted by Graham Woodward.,18,23
8:37,233,Tyler Flack missed Jumper.,18,23
8:37,2181,Ore Arogundade Defensive Rebound.,18,23
8:19,2181,Billy Wampler made Three Point Jumper.,18,26
8:03,233,Trey Burch-Manning made Layup. Assisted by Tyler Flack.,20,26
7:47,233,Foul on Tyler Flack.,20,26
7:47,2181,Official TV Timeout,20,26
7:47,2181,Kory Kuenstling missed Free Throw.,20,26
7:47,2181,Drake Deadball Team Rebound.,20,26
7:47,2181,Kory Kuenstling made Free Throw.,20,27
7:31,233,Trey Burch-Manning made Jumper.,22,27
7:06,2181,Graham Woodward made Jumper. Assisted by Billy Wampler.,22,29
6:56,233,Matt Mooney made Layup.,24,29
6:40,2181,Foul on Ore Arogundade.,24,29
6:40,2181,Ore Arogundade Turnover.,24,29
6:20,233,Tyler Peterson missed Three Point Jumper.,24,29
6:20,233,Trey Burch-Manning Offensive Rebound.,24,29
6:17,2181,Foul on Billy Wampler.,24,29
6:11,233,Tyler Peterson missed Three Point Jumper.,24,29
6:11,233,South Dakota Deadball Team Rebound.,24,29
6:09,2181,Foul on Billy Wampler.,24,29
6:04,233,Tyler Peterson Turnover.,24,29
6:03,2181,C.J. Rivers Steal.,24,29
6:01,2181,C.J. Rivers made Layup.,24,31
5:49,2181,Foul on T.J. Thomas.,24,31
5:49,233,Trey Burch-Manning made Free Throw.,25,31
5:49,233,Trey Burch-Manning made Free Throw.,26,31
5:23,2181,T.J. Thomas missed Layup.,26,31
5:23,233,Dan Jech Defensive Rebound.,26,31
5:07,233,Matt Mooney made Three Point Jumper. Assisted by Brandon Armstrong.,29,31
4:47,2181,Graham Woodward missed Three Point Jumper.,29,31
4:47,233,Dan Jech Defensive Rebound.,29,31
4:37,233,Triston Simpson missed Three Point Jumper.,29,31
4:37,233,Trey Burch-Manning Offensive Rebound.,29,31
4:17,233,Matt Mooney missed Three Point Jumper.,29,31
4:17,2181,Kory Kuenstling Defensive Rebound.,29,31
4:14,233,Foul on Dan Jech.,29,31
4:14,2181,Kory Kuenstling made Free Throw.,29,32
4:14,2181,Kory Kuenstling missed Free Throw.,29,32
4:14,233,Matt Mooney Defensive Rebound.,29,32
4:08,233,Logan Power missed Three Point Jumper.,29,32
4:08,2181,Kory Kuenstling Defensive Rebound.,29,32
3:59,233,Foul on Dan Jech.,29,32
3:57,2181,Official TV Timeout,29,32
3:57,2181,Reed Timmer made Free Throw.,29,33
3:57,2181,Reed Timmer made Free Throw.,29,34
3:36,233,Brandon Armstrong missed Three Point Jumper.,29,34
3:36,2181,Reed Timmer Defensive Rebound.,29,34
3:19,2181,Graham Woodward made Layup.,29,36
3:00,233,Matt Mooney made Jumper.,31,36
2:44,2181,T.J. Thomas missed Jumper.,31,36
2:44,2181,T.J. Thomas Offensive Rebound.,31,36
2:39,2181,T.J. Thomas made Layup.,31,38
2:23,233,Dan Jech missed Three Point Jumper.,31,38
2:23,2181,T.J. Thomas Defensive Rebound.,31,38
2:05,2181,Reed Timmer missed Three Point Jumper.,31,38
2:05,233,Matt Mooney Defensive Rebound.,31,38
1:48,233,Brandon Armstrong made Three Point Jumper. Assisted by Triston Simpson.,34,38
1:46,233,Foul on Logan Power.,34,38
1:46,2181,T.J. Thomas made Free Throw.,34,39
1:46,2181,T.J. Thomas made Free Throw.,34,40
1:25,233,Matt Mooney missed Jumper.,34,40
1:25,233,Carlton Hurst Offensive Rebound.,34,40
1:21,233,Triston Simpson missed Three Point Jumper.,34,40
1:21,233,Trey Burch-Manning Offensive Rebound.,34,40
1:16,233,Trey Burch-Manning made Jumper.,36,40
1:02,2181,De'Antae McMurray made Three Point Jumper. Assisted by C.J. Rivers.,36,43
0:57,233,South Dakota  Timeout,36,43
0:39,233,Matt Mooney made Three Point Jumper. Assisted by Tyler Peterson.,39,43
0:23,233,Foul on Trey Burch-Manning.,39,43
0:23,2181,Kory Kuenstling made Free Throw.,39,44
0:23,2181,Kory Kuenstling made Free Throw.,39,45
0:07,233,Matt Mooney missed Three Point Jumper.,39,45
0:07,2181,T.J. Thomas Defensive Rebound.,39,45
0:00,2181,End of 1st half,39,45
19:40,2181,Billy Wampler made Three Point Jumper. Assisted by Graham Woodward.,39,48
19:20,233,Trey Burch-Manning made Layup.,41,48
19:04,2181,Billy Wampler missed Three Point Jumper.,41,48
19:04,233,Trey Dickerson Defensive Rebound.,41,48
18:57,233,Carlton Hurst made Layup.,43,48
18:25,2181,Graham Woodward missed Jumper.,43,48
18:25,233,Tyler Flack Defensive Rebound.,43,48
18:12,233,Trey Burch-Manning made Jumper.,45,48
17:52,2181,Reed Timmer made Layup.,45,50
17:52,233,Foul on Trey Burch-Manning.,45,50
17:52,2181,Reed Timmer made Free Throw.,45,51
17:33,233,Trey Dickerson made Jumper.,47,51
17:07,2181,T.J. Thomas missed Three Point Jumper.,47,51
17:07,233,Matt Mooney Defensive Rebound.,47,51
16:51,233,Trey Burch-Manning made Three Point Jumper.,50,51
16:23,2181,T.J. Thomas missed Layup.,50,51
16:23,233,Trey Burch-Manning Defensive Rebound.,50,51
16:12,233,Carlton Hurst missed Jumper.,50,51
16:12,2181,Kory Kuenstling Block.,50,51
16:11,2181,Reed Timmer Defensive Rebound.,50,51
16:04,2181,Reed Timmer missed Layup.,50,51
16:04,233,Carlton Hurst Block.,50,51
16:01,233,Tyler Flack Defensive Rebound.,50,51
15:57,233,Matt Mooney missed Layup.,50,51
15:57,2181,T.J. Thomas Block.,50,51
15:56,233,South Dakota Offensive Rebound.,50,51
15:53,2181,Official TV Timeout,50,51
15:48,233,Matt Mooney made Jumper.,52,51
15:23,2181,Nick McGlynn Turnover.,52,51
15:21,233,Trey Dickerson Steal.,52,51
15:17,233,Trey Dickerson missed Three Point Jumper.,52,51
15:17,233,Tyler Flack Offensive Rebound.,52,51
15:09,233,Trey Dickerson missed Layup.,52,51
15:09,233,Tyler Flack Offensive Rebound.,52,51
15:04,233,Tyler Flack missed Two Point Tip Shot.,52,51
15:04,2181,T.J. Thomas Defensive Rebound.,52,51
14:50,2181,Reed Timmer made Three Point Jumper. Assisted by Nick McGlynn.,52,54
14:27,2181,Foul on T.J. Thomas.,52,54
14:14,233,Trey Burch-Manning missed Jumper.,52,54
14:14,233,Tyler Flack Offensive Rebound.,52,54
14:01,2181,Foul on C.J. Rivers.,52,54
14:01,233,Trey Dickerson missed Free Throw.,52,54
14:01,233,South Dakota Deadball Team Rebound.,52,54
14:01,233,Trey Dickerson made Free Throw.,53,54
13:51,2181,Reed Timmer Turnover.,53,54
13:49,233,Tyler Flack Steal.,53,54
13:46,233,Matt Mooney missed Jumper.,53,54
13:46,2181,T.J. Thomas Defensive Rebound.,53,54
13:37,2181,Reed Timmer Turnover.,53,54
13:36,233,Trey Dickerson Steal.,53,54
13:27,233,Trey Dickerson missed Jumper.,53,54
13:27,2181,C.J. Rivers Defensive Rebound.,53,54
13:18,2181,Billy Wampler missed Layup.,53,54
13:18,233,Tyler Flack Defensive Rebound.,53,54
13:17,2181,Foul on T.J. Thomas.,53,54
13:05,233,Tyler Flack missed Jumper.,53,54
13:05,2181,De'Antae McMurray Defensive Rebound.,53,54
12:36,2181,T.J. Thomas made Jumper.,53,56
12:18,233,Brandon Armstrong missed Jumper.,53,56
12:18,233,Tyler Flack Offensive Rebound.,53,56
12:15,2181,Foul on Ore Arogundade.,53,56
12:15,233,Tyler Flack missed Free Throw.,53,56
12:15,233,South Dakota Deadball Team Rebound.,53,56
12:15,233,Tyler Flack made Free Throw.,54,56
12:01,2181,T.J. Thomas Turnover.,54,56
11:56,233,Triston Simpson Steal.,54,56
11:56,2181,Foul on Ore Arogundade.,54,56
11:56,2181,Official TV Timeout,54,56
11:56,233,Carlton Hurst made Free Throw.,55,56
11:56,233,Carlton Hurst made Free Throw.,56,56
11:37,2181,T.J. Thomas missed Layup.,56,56
11:37,2181,C.J. Rivers Offensive Rebound.,56,56
11:29,2181,C.J. Rivers made Two Point Tip Shot.,56,58
11:19,2181,Foul on T.J. Thomas.,56,58
11:05,233,Triston Simpson Turnover.,56,58
10:51,2181,Kory Kuenstling Turnover.,56,58
10:37,233,Brandon Armstrong made Layup.,58,58
10:26,2181,C.J. Rivers Turnover.,58,58
10:04,233,Carlton Hurst made Layup. Assisted by Tyler Peterson.,60,58
9:36,2181,De'Antae McMurray missed Layup.,60,58
9:36,233,Dan Jech Defensive Rebound.,60,58
9:22,233,Triston Simpson missed Layup.,60,58
9:22,2181,Kory Kuenstling Block.,60,58
9:22,233,Triston Simpson Offensive Rebound.,60,58
9:15,233,Brandon Armstrong missed Layup.,60,58
9:15,233,Dan Jech Offensive Rebound.,60,58
9:11,233,Dan Jech made Layup.,62,58
9:09,2181,Drake  Timeout,62,58
8:59,2181,Billy Wampler missed Three Point Jumper.,62,58
8:59,233,Triston Simpson Defensive Rebound.,62,58
8:46,233,Tyler Peterson missed Three Point Jumper.,62,58
8:46,2181,Billy Wampler Defensive Rebound.,62,58
8:24,2181,Reed Timmer missed Layup.,62,58
8:24,233,Dan Jech Block.,62,58
8:21,233,Dan Jech Defensive Rebound.,62,58
8:16,233,Tyler Peterson Turnover.,62,58
8:16,233,Foul on Tyler Peterson.,62,58
7:55,233,Foul on Tyler Flack.,62,58
7:55,2181,Official TV Timeout,62,58
7:55,2181,Graham Woodward made Free Throw.,62,59
7:55,2181,Graham Woodward made Free Throw.,62,60
7:31,233,Matt Mooney missed Three Point Jumper.,62,60
7:31,233,Trey Burch-Manning Offensive Rebound.,62,60
7:25,2181,Foul on Reed Timmer.,62,60
7:25,233,Trey Burch-Manning missed Free Throw.,62,60
7:25,2181,Kory Kuenstling Defensive Rebound.,62,60
7:08,2181,Billy Wampler missed Three Point Jumper.,62,60
7:08,233,Trey Burch-Manning Defensive Rebound.,62,60
6:51,233,Tyler Flack made Dunk.,64,60
6:20,2181,Billy Wampler missed Layup.,64,60
6:20,233,Matt Mooney Defensive Rebound.,64,60
6:00,233,Trey Burch-Manning made Jumper.,66,60
5:44,233,Foul on Matt Mooney.,66,60
5:40,2181,Graham Woodward Turnover.,66,60
5:39,233,Tyler Flack Steal.,66,60
5:36,233,Tyler Flack made Layup.,68,60
5:29,2181,Drake  Timeout,68,60
5:17,2181,T.J. Thomas made Jumper.,68,62
4:52,233,Trey Dickerson made Jumper.,70,62
4:25,2181,T.J. Thomas made Jumper.,70,64
4:04,233,Matt Mooney missed Three Point Jumper.,70,64
4:04,2181,Graham Woodward Defensive Rebound.,70,64
3:39,2181,Nick McGlynn made Jumper.,70,66
3:22,233,Trey Dickerson missed Three Point Jumper.,70,66
3:22,233,Trey Burch-Manning Offensive Rebound.,70,66
3:19,2181,Foul on C.J. Rivers.,70,66
3:19,2181,Official TV Timeout,70,66
3:19,233,Trey Burch-Manning missed Free Throw.,70,66
3:19,2181,T.J. Thomas Defensive Rebound.,70,66
3:02,233,Foul on Carlton Hurst.,70,66
3:00,2181,Graham Woodward made Three Point Jumper. Assisted by Nick McGlynn.,70,69
2:40,2181,Foul on Nick McGlynn.,70,69
2:40,233,Trey Burch-Manning made Free Throw.,71,69
2:40,233,Trey Burch-Manning made Free Throw.,72,69
2:30,233,Foul on Carlton Hurst.,72,69
2:27,2181,Graham Woodward missed Layup.,72,69
2:27,233,Tyler Flack Block.,72,69
2:23,233,Carlton Hurst Defensive Rebound.,72,69
2:14,233,Triston Simpson Turnover.,72,69
2:12,2181,Reed Timmer Steal.,72,69
2:01,2181,Reed Timmer made Jumper.,72,71
1:47,233,South Dakota  Timeout,72,71
1:33,233,Matt Mooney made Three Point Jumper. Assisted by Triston Simpson.,75,71
1:32,2181,Foul on T.J. Thomas.,75,71
1:32,233,Matt Mooney missed Free Throw.,75,71
1:32,2181,Graham Woodward Defensive Rebound.,75,71
1:17,2181,De'Antae McMurray missed Three Point Jumper.,75,71
1:17,2181,Nick McGlynn Offensive Rebound.,75,71
1:10,2181,Reed Timmer made Three Point Jumper.,75,74
0:58,233,Matt Mooney Turnover.,75,74
0:45,2181,Nick McGlynn Turnover.,75,74
0:43,233,Matt Mooney Steal.,75,74
0:28,233,South Dakota  Timeout,75,74
0:19,233,Matt Mooney made Three Point Jumper.,78,74
0:18,233,South Dakota  Timeout,78,74
0:10,2181,De'Antae McMurray missed Three Point Jumper.,78,74
0:10,233,Carlton Hurst Defensive Rebound.,78,74
0:05,2181,Foul on Reed Timmer.,78,74
0:05,233,Matt Mooney missed Free Throw.,78,74
0:05,233,South Dakota Deadball Team Rebound.,78,74
0:05,233,Matt Mooney made Free Throw.,79,74
0:00,2181,End of Game,79,74
