Jacksonville State,202,Tulsa,55
7:01,55,Norbertas Giga missed Layup.,25,18
7:01,202,Martins Igbanu Block.,25,18
6:58,55,Norbertas Giga Offensive Rebound.,25,18
6:57,55,Norbertas Giga made Layup.,27,18
6:50,55,Foul on Andre Statam.,27,18
6:50,202,Junior Etou made Free Throw.,27,19
6:50,202,Junior Etou made Free Throw.,27,20
6:34,55,Erik Durham missed Three Point Jumper.,27,20
6:34,202,Junior Etou Defensive Rebound.,27,20
6:27,202,Junior Etou Turnover.,27,20
6:09,55,Andre Statam missed Jumper.,27,20
6:09,202,Tulsa Defensive Rebound.,27,20
5:51,202,Junior Etou made Three Point Jumper. Assisted by Corey Henderson Jr..,27,23
5:39,55,Jacksonville St  Timeout,27,23
5:26,55,Norbertas Giga missed Jumper.,27,23
5:26,202,Martins Igbanu Defensive Rebound.,27,23
5:15,202,Pat Birt missed Jumper.,27,23
5:15,55,Jacksonville St Defensive Rebound.,27,23
5:13,202,Foul on Junior Etou.,27,23
4:51,55,Christian Cunningham Turnover.,27,23
4:26,202,Travis Atson Turnover.,27,23
4:25,55,Christian Cunningham Steal.,27,23
3:59,55,Greg Tucker Turnover.,27,23
3:59,202,Official TV Timeout,27,23
3:45,202,Junior Etou missed Layup.,27,23
3:45,55,Christian Cunningham Defensive Rebound.,27,23
3:42,202,Foul on Martins Igbanu.,27,23
3:28,55,Norbertas Giga Turnover.,27,23
3:09,202,Corey Henderson Jr. missed Jumper.,27,23
3:09,55,Erik Durham Defensive Rebound.,27,23
3:03,55,Greg Tucker made Layup.,29,23
3:03,202,Foul on Junior Etou.,29,23
3:03,55,Greg Tucker made Free Throw.,30,23
2:50,202,Lawson Korita missed Three Point Jumper.,30,23
2:50,55,Christian Cunningham Defensive Rebound.,30,23
2:36,55,Erik Durham missed Layup.,30,23
2:36,55,Jacksonville St Offensive Rebound.,30,23
2:20,55,Malcolm Drumwright made Jumper.,32,23
2:13,202,Pat Birt missed Three Point Jumper.,32,23
2:13,55,Jacksonville St Defensive Rebound.,32,23
1:49,55,Norbertas Giga missed Three Point Jumper.,32,23
1:49,202,Sterling Taplin Defensive Rebound.,32,23
1:38,55,Foul on Norbertas Giga.,32,23
1:38,202,Martins Igbanu made Free Throw.,32,24
1:38,202,Martins Igbanu missed Free Throw.,32,24
1:38,55,Erik Durham Defensive Rebound.,32,24
1:24,55,Malcolm Drumwright missed Jumper.,32,24
1:24,202,Martins Igbanu Defensive Rebound.,32,24
1:22,55,Foul on Norbertas Giga.,32,24
1:22,202,Martins Igbanu missed Free Throw.,32,24
1:22,202,Tulsa Deadball Team Rebound.,32,24
1:22,202,Martins Igbanu made Free Throw.,32,25
1:02,55,Christian Cunningham made Layup. Assisted by Greg Tucker.,34,25
1:02,202,Foul on Travis Atson.,34,25
1:02,55,Christian Cunningham made Free Throw.,35,25
0:43,202,Geno Artison missed Three Point Jumper.,35,25
0:43,202,Martins Igbanu Offensive Rebound.,35,25
0:39,55,Foul on Christian Cunningham.,35,25
0:39,202,Martins Igbanu made Free Throw.,35,26
0:39,202,Martins Igbanu missed Free Throw.,35,26
0:39,55,Erik Durham Defensive Rebound.,35,26
0:18,55,Greg Tucker made Three Point Jumper. Assisted by Malcolm Drumwright.,38,26
0:04,202,Sterling Taplin made Layup.,38,28
0:00,202,End of 1st half,38,28
19:50,55,Norbertas Giga made Layup.,40,28
19:29,202,TK Edogi made Jumper.,40,30
19:15,202,Foul on Travis Atson.,40,30
19:01,55,Malcolm Drumwright Turnover.,40,30
18:50,55,Foul on Malcolm Drumwright.,40,30
18:43,55,Foul on Norbertas Giga.,40,30
18:43,202,TK Edogi missed Free Throw.,40,30
18:43,202,Tulsa Deadball Team Rebound.,40,30
18:43,202,TK Edogi missed Free Throw.,40,30
18:43,202,Junior Etou Offensive Rebound.,40,30
18:42,55,Foul on Greg Tucker.,40,30
18:35,202,Sterling Taplin made Jumper.,40,32
18:23,202,Foul on Sterling Taplin.,40,32
18:09,55,Christian Cunningham made Dunk. Assisted by Malcolm Drumwright.,42,32
17:50,202,Travis Atson missed Layup.,42,32
17:50,202,Travis Atson Offensive Rebound.,42,32
17:50,55,Foul on Erik Durham.,42,32
17:50,202,Travis Atson missed Free Throw.,42,32
17:50,202,Tulsa Deadball Team Rebound.,42,32
17:50,202,Travis Atson made Free Throw.,42,33
17:39,55,Malcolm Drumwright made Three Point Jumper. Assisted by Norbertas Giga.,45,33
17:25,202,Sterling Taplin missed Layup.,45,33
17:25,55,Christian Cunningham Defensive Rebound.,45,33
17:13,55,Malcolm Drumwright made Jumper.,47,33
16:56,202,Sterling Taplin missed Layup.,47,33
16:56,55,Malcolm Drumwright Defensive Rebound.,47,33
16:39,55,Erik Durham missed Three Point Jumper.,47,33
16:39,55,Christian Cunningham Offensive Rebound.,47,33
16:34,55,Greg Tucker missed Three Point Jumper.,47,33
16:34,202,Junior Etou Defensive Rebound.,47,33
16:17,202,TK Edogi missed Jumper.,47,33
16:17,55,Christian Cunningham Block.,47,33
16:15,202,TK Edogi Offensive Rebound.,47,33
16:15,202,TK Edogi Turnover.,47,33
16:03,55,Erik Durham missed Three Point Jumper.,47,33
16:03,202,Corey Henderson Jr. Defensive Rebound.,47,33
15:59,202,Corey Henderson Jr. Turnover.,47,33
15:59,202,Official TV Timeout,47,33
15:47,55,Malcolm Drumwright Turnover.,47,33
15:36,202,Corey Henderson Jr. missed Layup.,47,33
15:36,55,Norbertas Giga Block.,47,33
15:36,202,Tulsa Offensive Rebound.,47,33
15:36,202,Foul on Junior Etou.,47,33
15:36,202,Junior Etou Turnover.,47,33
15:21,55,Norbertas Giga missed Layup.,47,33
15:21,55,Norbertas Giga Offensive Rebound.,47,33
15:19,55,Norbertas Giga missed Layup.,47,33
15:19,202,Pat Birt Defensive Rebound.,47,33
15:14,202,Junior Etou missed Three Point Jumper.,47,33
15:14,202,Martins Igbanu Offensive Rebound.,47,33
15:02,202,Corey Henderson Jr. made Three Point Jumper. Assisted by Pat Birt.,47,36
14:38,202,Foul on Travis Atson.,47,36
14:38,55,Erik Durham made Free Throw.,48,36
14:38,55,Erik Durham missed Free Throw.,48,36
14:38,202,Martins Igbanu Defensive Rebound.,48,36
14:31,202,Pat Birt missed Three Point Jumper.,48,36
14:31,202,Martins Igbanu Offensive Rebound.,48,36
14:27,202,Martins Igbanu Turnover.,48,36
14:12,202,Foul on Travis Atson.,48,36
14:12,55,Greg Tucker made Free Throw.,49,36
14:12,55,Greg Tucker made Free Throw.,50,36
13:58,202,Geno Artison made Three Point Jumper. Assisted by Corey Henderson Jr..,50,39
13:38,55,Norbertas Giga missed Three Point Jumper.,50,39
13:38,55,Malcolm Drumwright Offensive Rebound.,50,39
13:34,55,Erik Durham made Three Point Jumper. Assisted by Malcolm Drumwright.,53,39
13:20,202,Martins Igbanu made Jumper.,53,41
13:20,55,Foul on Norbertas Giga.,53,41
13:20,202,Martins Igbanu made Free Throw.,53,42
12:55,55,Malcolm Drumwright made Jumper.,55,42
12:39,202,Geno Artison made Three Point Jumper. Assisted by Sterling Taplin.,55,45
12:22,55,Erik Durham missed Three Point Jumper.,55,45
12:22,55,Greg Tucker Offensive Rebound.,55,45
12:20,202,Foul on Pat Birt.,55,45
12:04,55,Greg Tucker Turnover.,55,45
11:49,202,Geno Artison missed Three Point Jumper.,55,45
11:49,55,Erik Durham Defensive Rebound.,55,45
11:28,55,Erik Durham Turnover.,55,45
11:28,202,Official TV Timeout,55,45
11:14,55,Foul on Andre Statam.,55,45
11:14,202,TK Edogi missed Free Throw.,55,45
11:14,202,Tulsa Deadball Team Rebound.,55,45
11:14,202,TK Edogi made Free Throw.,55,46
10:55,55,Andre Statam made Three Point Jumper. Assisted by Malcolm Drumwright.,58,46
10:30,202,Geno Artison made Jumper. Assisted by Pat Birt.,58,48
10:12,55,Malcolm Drumwright made Layup.,60,48
10:00,202,Pat Birt made Three Point Jumper.,60,51
9:34,55,Andre Statam made Three Point Jumper. Assisted by Derrick Green.,63,51
9:22,202,Sterling Taplin Turnover.,63,51
9:04,55,Andre Statam made Three Point Jumper. Assisted by Malcolm Drumwright.,66,51
8:48,202,Pat Birt missed Three Point Jumper.,66,51
8:48,55,Christian Cunningham Defensive Rebound.,66,51
8:23,55,Deshawn Jones made Jumper.,68,51
8:20,202,Tulsa  Timeout,68,51
8:06,202,Corey Henderson Jr. Turnover.,68,51
8:05,55,Deshawn Jones Steal.,68,51
8:02,55,Deshawn Jones Turnover.,68,51
8:02,202,Sterling Taplin Steal.,68,51
7:49,202,Sterling Taplin missed Layup.,68,51
7:49,55,Andre Statam Defensive Rebound.,68,51
7:27,55,Christian Cunningham made Layup. Assisted by Erik Durham.,70,51
7:13,55,Foul on Andre Statam.,70,51
7:13,202,Official TV Timeout,70,51
7:13,202,Junior Etou missed Free Throw.,70,51
7:13,202,Tulsa Deadball Team Rebound.,70,51
7:13,202,Junior Etou made Free Throw.,70,52
6:51,55,Deshawn Jones Turnover.,70,52
6:42,202,Pat Birt Turnover.,70,52
6:19,55,Greg Tucker missed Three Point Jumper.,70,52
6:19,202,Junior Etou Defensive Rebound.,70,52
6:06,202,Martins Igbanu made Layup. Assisted by Corey Henderson Jr..,70,54
5:45,55,Christian Cunningham made Dunk. Assisted by Malcolm Drumwright.,72,54
5:34,202,Junior Etou Turnover.,72,54
5:16,202,Foul on Sterling Taplin.,72,54
5:16,55,Malcolm Drumwright made Free Throw.,73,54
5:16,55,Malcolm Drumwright missed Free Throw.,73,54
5:16,202,Junior Etou Defensive Rebound.,73,54
5:09,202,Junior Etou made Three Point Jumper. Assisted by Sterling Taplin.,73,57
5:09,202,Tulsa  Timeout,73,57
4:47,55,Greg Tucker missed Three Point Jumper.,73,57
4:47,202,Corey Henderson Jr. Defensive Rebound.,73,57
4:40,202,Pat Birt missed Three Point Jumper.,73,57
4:40,202,Junior Etou Offensive Rebound.,73,57
4:30,202,Corey Henderson Jr. missed Three Point Jumper.,73,57
4:30,202,Tulsa Offensive Rebound.,73,57
4:25,202,Pat Birt missed Three Point Jumper.,73,57
4:25,202,Junior Etou Offensive Rebound.,73,57
4:20,202,Junior Etou made Three Point Jumper. Assisted by Pat Birt.,73,60
3:53,55,Malcolm Drumwright missed Three Point Jumper.,73,60
3:53,202,Corey Henderson Jr. Defensive Rebound.,73,60
3:44,55,Foul on Norbertas Giga.,73,60
3:44,202,Official TV Timeout,73,60
3:44,202,Corey Henderson Jr. made Free Throw.,73,61
3:44,202,Corey Henderson Jr. made Free Throw.,73,62
3:41,55,Foul on Malcolm Drumwright.,73,62
3:41,55,Malcolm Drumwright Turnover.,73,62
3:33,202,Martins Igbanu Turnover.,73,62
3:18,55,Malcolm Drumwright missed Jumper.,73,62
3:18,202,Tulsa Defensive Rebound.,73,62
3:03,202,Martins Igbanu missed Layup.,73,62
3:03,202,Martins Igbanu Offensive Rebound.,73,62
2:58,202,Martins Igbanu missed Layup.,73,62
2:58,55,Christian Cunningham Block.,73,62
2:56,55,Erik Durham Defensive Rebound.,73,62
2:46,202,Foul on Pat Birt.,73,62
2:46,55,Greg Tucker made Free Throw.,74,62
2:46,55,Greg Tucker made Free Throw.,75,62
2:36,202,Junior Etou missed Three Point Jumper.,75,62
2:36,202,Tulsa Offensive Rebound.,75,62
2:35,55,Foul on Andre Statam.,75,62
2:35,202,TK Edogi missed Free Throw.,75,62
2:35,202,Tulsa Deadball Team Rebound.,75,62
2:35,202,TK Edogi made Free Throw.,75,63
2:29,55,Greg Tucker Turnover.,75,63
2:18,202,Corey Henderson Jr. made Three Point Jumper.,75,66
1:48,202,Foul on Sterling Taplin.,75,66
1:48,55,Malcolm Drumwright made Free Throw.,76,66
1:48,55,Malcolm Drumwright made Free Throw.,77,66
1:37,55,Foul on Erik Durham.,77,66
1:37,202,Corey Henderson Jr. made Free Throw.,77,67
1:37,202,Corey Henderson Jr. made Free Throw.,77,68
1:12,55,Foul on Malcolm Drumwright.,77,68
1:12,55,Malcolm Drumwright Turnover.,77,68
1:04,202,Corey Henderson Jr. missed Three Point Jumper.,77,68
1:04,55,Derrick Green Defensive Rebound.,77,68
1:02,202,Foul on Junior Etou.,77,68
1:02,55,Erik Durham missed Free Throw.,77,68
1:02,55,Jacksonville St Deadball Team Rebound.,77,68
1:02,55,Erik Durham made Free Throw.,78,68
0:56,55,Foul on Christian Cunningham.,78,68
0:56,202,Corey Henderson Jr. made Free Throw.,78,69
0:56,202,Corey Henderson Jr. made Free Throw.,78,70
0:35,202,Foul on Sterling Taplin.,78,70
0:35,55,Jacksonville St  Timeout,78,70
0:35,55,Deshawn Jones made Free Throw.,79,70
0:35,55,Deshawn Jones made Free Throw.,80,70
0:28,202,Geno Artison missed Three Point Jumper.,80,70
0:28,55,Christian Cunningham Defensive Rebound.,80,70
0:22,202,Foul on Junior Etou.,80,70
0:22,55,Greg Tucker made Free Throw.,81,70
0:22,55,Greg Tucker made Free Throw.,82,70
0:17,202,Corey Henderson Jr. made Three Point Jumper.,82,73
0:14,202,Foul on Sterling Taplin.,82,73
0:14,55,Erik Durham missed Free Throw.,82,73
0:14,55,Jacksonville St Deadball Team Rebound.,82,73
0:14,55,Erik Durham missed Free Throw.,82,73
0:14,202,Travis Atson Defensive Rebound.,82,73
0:08,202,Corey Henderson Jr. missed Layup.,82,73
0:08,55,Christian Cunningham Defensive Rebound.,82,73
0:02,55,Derrick Green made Dunk.,84,73
0:00,202,End of Game,84,73
