St. Thomas (TX),Error,TCU,2628
19:46,2628,Desmond Bane Turnover.,37,45
19:46,2628,Foul on Desmond Bane.,37,45
19:20,-1,Jason Brancato made Layup. Assisted by Paris Marquez.,39,45
19:03,2628,Desmond Bane made Three Point Jumper. Assisted by Jaylen Fisher.,39,48
18:31,-1,Bryon Makel Turnover.,39,48
18:29,2628,Desmond Bane Steal.,39,48
18:26,2628,Malique Trent Turnover.,39,48
18:26,-1,Bryon Makel Steal.,39,48
18:23,-1,Jason Brancato made Layup. Assisted by Bryon Makel.,41,48
18:04,2628,Karviar Shepherd made Layup. Assisted by Jaylen Fisher.,41,50
18:04,-1,Foul on Jason Brancato.,41,50
18:04,2628,Karviar Shepherd made Free Throw.,41,51
17:47,-1,Bryon Makel made Three Point Jumper. Assisted by Jason Brancato.,44,51
17:29,2628,JD Miller missed Three Point Jumper.,44,51
17:29,-1,Paris Marquez Defensive Rebound.,44,51
17:10,-1,Josh Bearden Turnover.,44,51
17:05,2628,Jaylen Fisher made Layup.,44,53
16:37,-1,Paris Marquez missed Jumper.,44,53
16:37,2628,JD Miller Defensive Rebound.,44,53
16:29,2628,Jaylen Fisher missed Jumper.,44,53
16:29,2628,Karviar Shepherd Offensive Rebound.,44,53
16:25,2628,Karviar Shepherd missed Two Point Tip Shot.,44,53
16:25,2628,Karviar Shepherd Offensive Rebound.,44,53
16:23,2628,Alex Robinson made Three Point Jumper. Assisted by Karviar Shepherd.,44,56
16:13,-1,University of St. Thomas  Timeout,44,56
15:52,-1,Jason Brancato missed Three Point Jumper.,44,56
15:52,2628,Alex Robinson Defensive Rebound.,44,56
15:34,2628,Alex Robinson made Jumper.,44,58
15:21,-1,Kennard Robinson missed Three Point Jumper.,44,58
15:21,-1,University of St. Thomas Offensive Rebound.,44,58
15:17,2628,Official TV Timeout,44,58
15:07,-1,Josh Bearden missed Jumper.,44,58
15:07,-1,University of St. Thomas Offensive Rebound.,44,58
15:05,2628,Foul on Karviar Shepherd.,44,58
14:46,-1,Paris Marquez made Jumper. Assisted by Bryon Makel.,46,58
14:28,-1,Foul on Kennard Robinson.,46,58
14:28,2628,Chris Washburn made Free Throw.,46,59
14:28,2628,Chris Washburn made Free Throw.,46,60
14:13,-1,Josh Bearden made Jumper.,48,60
13:38,2628,Alex Robinson missed Three Point Jumper.,48,60
13:38,-1,Kennard Robinson Defensive Rebound.,48,60
13:08,-1,Kennard Robinson Turnover.,48,60
13:07,2628,Chris Washburn Steal.,48,60
13:05,2628,Jaylen Fisher missed Layup.,48,60
13:05,-1,Bryon Makel Defensive Rebound.,48,60
12:59,2628,Foul on Jaylen Fisher.,48,60
12:47,-1,Paris Marquez missed Three Point Jumper.,48,60
12:47,2628,Brandon Parrish Defensive Rebound.,48,60
12:34,2628,Brandon Parrish missed Three Point Jumper.,48,60
12:34,-1,Jason Brancato Defensive Rebound.,48,60
12:18,-1,Jason Brancato missed Three Point Jumper.,48,60
12:18,2628,Dalton Dry Defensive Rebound.,48,60
11:54,2628,Chris Washburn Turnover.,48,60
11:54,2628,Official TV Timeout,48,60
11:38,-1,Josh Bearden made Three Point Jumper. Assisted by Kennard Robinson.,51,60
11:10,2628,Alex Robinson made Layup.,51,62
10:51,-1,Keaton Shaw missed Three Point Jumper.,51,62
10:51,2628,Alex Robinson Defensive Rebound.,51,62
10:30,2628,Desmond Bane made Layup. Assisted by Brandon Parrish.,51,64
10:10,-1,Josh Bearden missed Three Point Jumper.,51,64
10:10,2628,Desmond Bane Defensive Rebound.,51,64
10:03,2628,Desmond Bane made Layup.,51,66
10:03,-1,Foul on Josh Bearden.,51,66
10:03,2628,Desmond Bane made Free Throw.,51,67
9:46,-1,Keaton Shaw made Layup. Assisted by Jason Brancato.,53,67
9:32,-1,Foul on Keaton Shaw.,53,67
9:31,2628,Desmond Bane missed Jumper.,53,67
9:31,2628,JD Miller Offensive Rebound.,53,67
9:26,2628,JD Miller made Layup.,53,69
9:18,-1,Jason Brancato Turnover.,53,69
9:18,2628,Alex Robinson Steal.,53,69
9:10,2628,Vladimir Brodziansky missed Three Point Jumper.,53,69
9:10,-1,Paris Marquez Defensive Rebound.,53,69
9:02,-1,Keaton Shaw missed Three Point Jumper.,53,69
9:02,2628,Vladimir Brodziansky Defensive Rebound.,53,69
8:45,2628,Alex Robinson made Three Point Jumper. Assisted by Jaylen Fisher.,53,72
8:32,-1,Peter Ellwanger Turnover.,53,72
8:11,-1,Foul on Jason Brancato.,53,72
8:11,2628,JD Miller missed Free Throw.,53,72
8:11,2628,TCU Deadball Team Rebound.,53,72
8:11,2628,JD Miller made Free Throw.,53,73
7:47,-1,Jason Brancato Turnover.,53,73
7:45,2628,JD Miller Steal.,53,73
7:43,2628,Alex Robinson made Layup. Assisted by Jaylen Fisher.,53,75
7:27,2628,Official TV Timeout,53,75
7:12,-1,University of St. Thomas  Turnover.,53,75
6:55,2628,Desmond Bane missed Layup.,53,75
6:55,2628,TCU Offensive Rebound.,53,75
6:44,2628,Jaylen Fisher made Jumper.,53,77
6:25,-1,Josh Bearden missed Three Point Jumper.,53,77
6:25,2628,Vladimir Brodziansky Defensive Rebound.,53,77
6:17,2628,JD Miller missed Three Point Jumper.,53,77
6:17,-1,Paris Marquez Defensive Rebound.,53,77
6:08,-1,Josh Bearden missed Layup.,53,77
6:08,2628,Jaylen Fisher Block.,53,77
6:06,-1,University of St. Thomas Offensive Rebound.,53,77
5:57,-1,Nathan Thormaehlen made Three Point Jumper. Assisted by Lennard Robinson.,56,77
5:42,2628,Malique Trent Turnover.,56,77
5:42,-1,Sam Flores Steal.,56,77
5:37,-1,Lennard Robinson Turnover.,56,77
5:26,2628,Jaylen Fisher missed Jumper.,56,77
5:26,-1,Josh Chilo Defensive Rebound.,56,77
5:23,2628,Foul on Brandon Parrish.,56,77
5:07,-1,Sam Flores missed Three Point Jumper.,56,77
5:07,2628,Malique Trent Defensive Rebound.,56,77
5:04,2628,Malique Trent Turnover.,56,77
5:04,-1,Lennard Robinson Steal.,56,77
5:04,2628,Foul on Malique Trent.,56,77
4:48,-1,Josh Chilo made Layup.,58,77
4:24,2628,Jaylen Fisher missed Three Point Jumper.,58,77
4:24,-1,University of St. Thomas Deadball Team Rebound.,58,77
4:21,2628,Foul on Vladimir Brodziansky.,58,77
4:12,-1,Michael Alfred missed Three Point Jumper.,58,77
4:12,2628,Chris Washburn Defensive Rebound.,58,77
4:05,2628,Malique Trent missed Layup.,58,77
4:05,-1,Nathan Thormaehlen Defensive Rebound.,58,77
3:45,-1,Nathan Thormaehlen missed Three Point Jumper.,58,77
3:45,2628,Brandon Parrish Defensive Rebound.,58,77
3:32,2628,Malique Trent missed Three Point Jumper.,58,77
3:32,-1,Lennard Robinson Defensive Rebound.,58,77
3:20,-1,Michael Alfred Turnover.,58,77
3:19,2628,Malique Trent Steal.,58,77
3:16,2628,Brandon Parrish made Layup. Assisted by Malique Trent.,58,79
3:16,-1,Foul on Michael Alfred.,58,79
3:16,2628,Official TV Timeout,58,79
3:16,2628,Brandon Parrish made Free Throw.,58,80
2:50,-1,Nathan Thormaehlen made Layup. Assisted by Lennard Robinson.,60,80
2:36,2628,Alex Robinson missed Three Point Jumper.,60,80
2:36,-1,Lennard Robinson Defensive Rebound.,60,80
2:23,-1,Sam Flores missed Three Point Jumper.,60,80
2:23,2628,Malique Trent Defensive Rebound.,60,80
2:09,2628,Malique Trent missed Three Point Jumper.,60,80
2:09,-1,Lennard Robinson Defensive Rebound.,60,80
2:01,-1,Michael Alfred made Jumper.,62,80
1:42,2628,Alex Robinson made Layup.,62,82
1:15,-1,Lennard Robinson missed Three Point Jumper.,62,82
1:15,2628,Josh Parrish Defensive Rebound.,62,82
1:02,2628,Chris Washburn Turnover.,62,82
0:54,-1,Lennard Robinson Turnover.,62,82
0:42,2628,Dalton Dry missed Three Point Jumper.,62,82
0:42,-1,Lennard Robinson Defensive Rebound.,62,82
0:30,-1,Josh Chilo Turnover.,62,82
0:29,2628,Alex Robinson Steal.,62,82
0:29,2628,Chris Washburn Turnover.,62,82
0:20,-1,Josh Chilo made Layup. Assisted by Nathan Thormaehlen.,64,82
0:00,2628,End of Game,62,84
