Virginia,2430,UNC Greensboro,258
2:38,2430,Diante Baldwin Turnover.,32,17
2:38,258,Kyle Guy Steal.,32,17
2:35,258,Isaiah Wilkins made Layup. Assisted by Kyle Guy.,34,17
2:35,2430,Foul on Malik Massey.,34,17
2:35,258,Isaiah Wilkins made Free Throw.,35,17
2:13,2430,Jordy Kuiper Turnover.,35,17
2:04,258,Kyle Guy made Three Point Jumper. Assisted by London Perrantes.,38,17
1:41,2430,Francis Alonso Turnover.,38,17
1:41,258,Kyle Guy Steal.,38,17
1:35,258,Kyle Guy made Layup.,40,17
1:28,2430,Francis Alonso Turnover.,40,17
1:28,258,Marial Shayok Steal.,40,17
1:25,258,Marial Shayok made Dunk.,42,17
1:14,2430,Diante Baldwin missed Jumper.,42,17
1:14,258,Isaiah Wilkins Defensive Rebound.,42,17
0:50,258,Foul on Jack Salt.,42,17
0:50,258,Jack Salt Turnover.,42,17
0:37,2430,Diante Baldwin missed Jumper.,42,17
0:30,258,Kyle Guy Defensive Rebound.,42,17
0:01,258,Marial Shayok missed Three Point Jumper.,42,17
0:01,2430,Marvin Smith Defensive Rebound.,42,17
0:00,2430,End of 1st half,42,17
20:00,258,Jump Ball won by Virginia,42,17
19:51,258,Isaiah Wilkins missed Jumper.,42,17
19:51,2430,R.J. White Defensive Rebound.,42,17
19:10,2430,Marvin Smith Turnover.,42,17
19:10,258,Devon Hall Steal.,42,17
18:57,258,London Perrantes made Three Point Jumper. Assisted by Jack Salt.,45,17
18:31,2430,Jordy Kuiper missed Jumper.,45,17
18:31,258,Jack Salt Defensive Rebound.,45,17
18:14,258,London Perrantes missed Jumper.,45,17
18:14,258,Jack Salt Offensive Rebound.,45,17
18:08,258,Foul on Darius Thompson.,45,17
18:08,258,Darius Thompson Turnover.,45,17
17:55,2430,Marvin Smith missed Three Point Jumper.,45,17
17:55,258,Isaiah Wilkins Defensive Rebound.,45,17
17:42,2430,Foul on Marvin Smith.,45,17
17:40,258,Isaiah Wilkins made Layup. Assisted by Darius Thompson.,47,17
17:21,2430,Marvin Smith made Dunk.,47,19
16:59,258,Darius Thompson made Three Point Jumper. Assisted by Jack Salt.,50,19
16:44,2430,Francis Alonso made Three Point Jumper. Assisted by Marvin Smith.,50,22
16:28,258,Jack Salt missed Layup.,50,22
16:28,2430,R.J. White Block.,50,22
16:28,258,Jack Salt Offensive Rebound.,50,22
16:17,258,Isaiah Wilkins missed Jumper.,50,22
16:17,2430,Marvin Smith Defensive Rebound.,50,22
16:00,2430,R.J. White missed Three Point Jumper.,50,22
16:00,258,London Perrantes Defensive Rebound.,50,22
15:39,258,Devon Hall missed Three Point Jumper.,50,22
15:39,258,Isaiah Wilkins Offensive Rebound.,50,22
15:25,258,London Perrantes Turnover.,50,22
15:25,2430,Diante Baldwin Steal.,50,22
15:25,2430,Diante Baldwin Turnover.,50,22
15:25,2430,Official TV Timeout,50,22
15:15,2430,Foul on Diante Baldwin.,50,22
15:15,258,Marial Shayok made Free Throw.,51,22
15:15,258,Marial Shayok made Free Throw.,52,22
15:02,2430,Francis Alonso made Layup.,52,24
15:02,258,Foul on Kyle Guy.,52,24
15:02,2430,Francis Alonso made Free Throw.,52,25
14:51,258,Marial Shayok missed Jumper.,52,25
14:51,258,Jarred Reuter Offensive Rebound.,52,25
14:44,258,Jarred Reuter made Layup. Assisted by Kyle Guy.,54,25
14:17,2430,Marvin Smith missed Three Point Jumper.,54,25
14:17,258,Devon Hall Defensive Rebound.,54,25
13:58,258,Darius Thompson missed Three Point Jumper.,54,25
13:58,2430,Diante Baldwin Defensive Rebound.,54,25
13:38,2430,Diante Baldwin missed Jumper.,54,25
13:38,258,Devon Hall Defensive Rebound.,54,25
13:38,2430,Foul on Diante Baldwin.,54,25
13:23,258,Jarred Reuter made Jumper.,56,25
13:06,258,Foul on Marial Shayok.,56,25
12:57,258,Foul on Ty Jerome.,56,25
12:57,2430,Malik Massey missed Free Throw.,56,25
12:57,2430,UNC Greensboro Deadball Team Rebound.,56,25
12:57,2430,Malik Massey made Free Throw.,56,26
12:42,258,Jarred Reuter Turnover.,56,26
12:42,2430,R.J. White Steal.,56,26
12:26,2430,Francis Alonso missed Three Point Jumper.,56,26
12:26,258,Ty Jerome Defensive Rebound.,56,26
12:07,2430,Foul on Jordy Kuiper.,56,26
12:00,258,Kyle Guy missed Jumper.,56,26
12:00,2430,R.J. White Defensive Rebound.,56,26
11:48,2430,Diante Baldwin missed Jumper.,56,26
11:48,2430,Diante Baldwin Offensive Rebound.,56,26
11:30,258,Foul on Kyle Guy.,56,26
11:30,2430,Official TV Timeout,56,26
11:30,2430,Francis Alonso made Free Throw.,56,27
11:30,2430,Francis Alonso made Free Throw.,56,28
11:30,2430,Francis Alonso made Free Throw.,56,29
11:08,258,Kyle Guy made Layup.,58,29
10:52,258,Foul on Ty Jerome.,58,29
10:51,2430,Jordy Kuiper made Layup.,58,31
10:31,258,Ty Jerome Turnover.,58,31
10:31,2430,Francis Alonso Steal.,58,31
10:26,2430,Francis Alonso missed Layup.,58,31
10:26,2430,Marvin Smith Offensive Rebound.,58,31
10:26,2430,Marvin Smith made Two Point Tip Shot.,58,33
9:48,2430,Foul on Kyrin Galloway.,58,33
9:48,258,Jack Salt made Free Throw.,59,33
9:48,258,Jack Salt made Free Throw.,60,33
9:33,2430,Marvin Smith made Three Point Jumper. Assisted by Kyrin Galloway.,60,36
9:04,258,London Perrantes made Jumper.,62,36
8:51,258,Foul on Kyle Guy.,62,36
8:51,2430,Francis Alonso made Free Throw.,62,37
8:51,2430,Francis Alonso made Free Throw.,62,38
8:29,258,London Perrantes made Jumper.,64,38
8:02,2430,Malik Massey made Jumper.,64,40
7:39,2430,Foul on Marvin Smith.,64,40
7:39,2430,Official TV Timeout,64,40
7:20,258,Jack Salt missed Layup.,64,40
7:20,2430,Marvin Smith Defensive Rebound.,64,40
6:56,2430,Jordy Kuiper missed Three Point Jumper.,64,40
6:56,2430,Lloyd Burgess Offensive Rebound.,64,40
6:40,258,Foul on Devon Hall.,64,40
6:40,2430,Jordy Kuiper missed Free Throw.,64,40
6:40,258,Jarred Reuter Defensive Rebound.,64,40
6:37,258,Darius Thompson made Dunk. Assisted by London Perrantes.,66,40
6:18,2430,Francis Alonso missed Layup.,66,40
6:18,258,Jack Salt Block.,66,40
6:18,258,Darius Thompson Defensive Rebound.,66,40
5:57,258,Jarred Reuter made Jumper.,68,40
5:19,2430,UNC Greensboro  Turnover.,68,40
4:59,258,Foul on Jarred Reuter.,68,40
4:59,258,Jarred Reuter Turnover.,68,40
4:36,2430,Jordy Kuiper missed Three Point Jumper.,68,40
4:36,258,Ty Jerome Defensive Rebound.,68,40
4:25,258,Jarred Reuter Turnover.,68,40
4:25,2430,Jordy Kuiper Steal.,68,40
4:17,258,Foul on Darius Thompson.,68,40
4:17,2430,Diante Baldwin made Free Throw.,68,41
4:17,2430,Diante Baldwin made Free Throw.,68,42
4:02,2430,Foul on R.J. White.,68,42
4:02,258,Marial Shayok made Free Throw.,69,42
4:02,258,Marial Shayok made Free Throw.,70,42
3:44,2430,Diante Baldwin made Jumper.,70,44
3:34,258,Ty Jerome Turnover.,70,44
3:34,2430,Francis Alonso Steal.,70,44
3:28,2430,Malik Massey missed Three Point Jumper.,70,44
3:28,258,Devon Hall Defensive Rebound.,70,44
3:03,258,Marial Shayok made Jumper.,72,44
2:49,2430,Francis Alonso made Three Point Jumper. Assisted by Diante Baldwin.,72,47
2:23,2430,Foul on Diante Baldwin.,72,47
2:23,2430,Official TV Timeout,72,47
2:23,258,Devon Hall made Free Throw.,73,47
2:23,258,Devon Hall made Free Throw.,74,47
1:59,2430,Francis Alonso missed Three Point Jumper.,74,47
1:59,258,Ty Jerome Defensive Rebound.,74,47
1:42,2430,Foul on Francis Alonso.,74,47
1:42,258,Ty Jerome made Free Throw.,75,47
1:42,258,Ty Jerome made Free Throw.,76,47
1:21,258,Foul on Trevon Gross Jr..,76,47
1:21,2430,Malik Massey made Free Throw.,76,48
1:21,2430,Malik Massey missed Free Throw.,76,48
1:21,258,Justice Bartley Defensive Rebound.,76,48
1:01,258,Justice Bartley missed Three Point Jumper.,76,48
1:01,258,Jeff Jones Offensive Rebound.,76,48
0:52,258,Trevon Gross Jr. missed Three Point Jumper.,76,48
0:52,2430,Malik Massey Defensive Rebound.,76,48
0:45,2430,Malik Massey missed Jumper.,76,48
0:45,258,Justice Bartley Defensive Rebound.,76,48
0:32,258,Jeff Jones Turnover.,76,48
0:15,2430,Marvin Smith made Three Point Jumper.,76,51
0:00,2430,End of Game,76,51
