UC Davis,2634,Tennessee St,302
9:43,302,Brynton Lemar Defensive Rebound.,8,20
9:29,302,Darius Graham Turnover.,8,20
9:28,2634,Delano Spencer Steal.,8,20
9:14,2634,A'Torey Everett made Three Point Jumper. Assisted by Delano Spencer.,8,23
9:03,302,UC Davis  Timeout,8,23
8:53,302,Lawrence White made Three Point Jumper. Assisted by Garrison Goode.,11,23
8:33,2634,Foul on A'Torey Everett.,11,23
8:33,2634,A'Torey Everett Turnover.,11,23
8:16,2634,Foul on Delano Spencer.,11,23
8:16,302,Lawrence White made Free Throw.,12,23
8:16,302,Lawrence White made Free Throw.,13,23
7:49,2634,Delano Spencer missed Three Point Jumper.,13,23
7:49,2634,Tennessee St Offensive Rebound.,13,23
7:47,302,Foul on Brynton Lemar.,13,23
7:47,2634,Official TV Timeout,13,23
7:33,2634,Darreon Reddick made Jumper.,13,25
7:18,302,Siler Schneider missed Three Point Jumper.,13,25
7:18,2634,Christian Mekowulu Defensive Rebound.,13,25
7:04,302,Foul on Lawrence White.,13,25
7:04,2634,Tahjere McCall made Free Throw.,13,26
7:04,2634,Tahjere McCall missed Free Throw.,13,26
7:04,302,Chima Moneke Defensive Rebound.,13,26
6:50,302,Lawrence White Turnover.,13,26
6:48,2634,Armani Chaney Steal.,13,26
6:45,2634,Armani Chaney Turnover.,13,26
6:45,302,Darius Graham Steal.,13,26
6:40,302,Siler Schneider made Three Point Jumper. Assisted by Darius Graham.,16,26
6:18,302,Foul on Darius Graham.,16,26
6:18,2634,Darreon Reddick made Free Throw.,16,27
6:18,2634,Darreon Reddick made Free Throw.,16,28
6:10,2634,Foul on Christian Mekowulu.,16,28
6:10,302,Garrison Goode missed Free Throw.,16,28
6:10,2634,Christian Mekowulu Defensive Rebound.,16,28
5:50,2634,Wayne Martin missed Layup.,16,28
5:50,2634,Tahjere McCall Offensive Rebound.,16,28
5:47,2634,Foul on Tahjere McCall.,16,28
5:47,2634,Tahjere McCall Turnover.,16,28
5:36,302,Siler Schneider missed Layup.,16,28
5:36,302,Chima Moneke Offensive Rebound.,16,28
5:36,2634,Foul on Christian Mekowulu.,16,28
5:36,302,Chima Moneke missed Free Throw.,16,28
5:36,302,UC Davis Deadball Team Rebound.,16,28
5:36,302,Chima Moneke made Free Throw.,17,28
5:12,2634,Armani Chaney missed Three Point Jumper.,17,28
5:12,302,Chima Moneke Defensive Rebound.,17,28
5:03,302,Siler Schneider made Jumper. Assisted by Lawrence White.,19,28
5:00,2634,Tennessee St  Timeout,19,28
4:45,2634,Foul on Ken'Darrius Hamilton.,19,28
4:45,2634,Ken'Darrius Hamilton Turnover.,19,28
4:25,302,Joe Mooney missed Three Point Jumper.,19,28
4:25,302,Lawrence White Offensive Rebound.,19,28
4:15,302,Chima Moneke missed Layup.,19,28
4:15,2634,Wayne Martin Defensive Rebound.,19,28
4:08,2634,Darreon Reddick missed Layup.,19,28
4:08,302,Chima Moneke Block.,19,28
4:05,302,Chima Moneke Defensive Rebound.,19,28
4:02,302,Lawrence White made Jumper. Assisted by Siler Schneider.,21,28
4:01,2634,Foul on Xavier Williams.,21,28
4:01,302,Chima Moneke missed Free Throw.,21,28
4:01,302,UC Davis Deadball Team Rebound.,21,28
4:01,302,Chima Moneke made Free Throw.,22,28
3:46,2634,Official TV Timeout,22,28
3:33,2634,Darreon Reddick missed Three Point Jumper.,22,28
3:33,302,Chima Moneke Defensive Rebound.,22,28
3:15,302,Joe Mooney missed Three Point Jumper.,22,28
3:15,2634,Wayne Martin Defensive Rebound.,22,28
2:56,2634,A'Torey Everett Turnover.,22,28
2:45,302,Siler Schneider missed Three Point Jumper.,22,28
2:45,302,UC Davis Offensive Rebound.,22,28
2:40,302,Darius Graham missed Three Point Jumper.,22,28
2:40,2634,Wayne Martin Defensive Rebound.,22,28
2:24,2634,Foul on Jordan Reed.,22,28
2:24,2634,Jordan Reed Turnover.,22,28
2:13,302,Chima Moneke missed Jumper.,22,28
2:13,2634,Darreon Reddick Defensive Rebound.,22,28
1:51,302,Foul on Chima Moneke.,22,28
1:51,2634,Wayne Martin missed Free Throw.,22,28
1:51,302,UC Davis Defensive Rebound.,22,28
1:26,302,Darius Graham made Jumper.,24,28
1:22,2634,Armani Chaney Turnover.,24,28
1:12,302,Darius Graham Steal.,24,28
1:09,302,Lawrence White made Dunk. Assisted by Darius Graham.,26,28
0:49,2634,Armani Chaney missed Three Point Jumper.,26,28
0:49,302,Siler Schneider Defensive Rebound.,26,28
0:28,302,Lawrence White missed Three Point Jumper.,26,28
0:28,2634,Wayne Martin Defensive Rebound.,26,28
0:27,302,Foul on Mikey Henn.,26,28
0:27,2634,Wayne Martin missed Free Throw.,26,28
0:27,2634,Tennessee St Deadball Team Rebound.,26,28
0:27,2634,Wayne Martin made Free Throw.,26,29
0:00,302,Lawrence White missed Three Point Jumper.,26,29
0:00,2634,Delano Spencer Defensive Rebound.,26,29
0:00,2634,End of 1st half,26,29
19:49,2634,Wayne Martin made Dunk. Assisted by Ken'Darrius Hamilton.,26,31
19:32,302,J.T. Adenrele Turnover.,26,31
19:32,302,Foul on J.T. Adenrele.,26,31
19:27,2634,Ken'Darrius Hamilton Turnover.,26,31
19:18,302,Darius Graham Turnover.,26,31
19:17,2634,Tahjere McCall Steal.,26,31
19:12,2634,Jordan Reed Turnover.,26,31
19:12,2634,Foul on Jordan Reed.,26,31
18:58,302,Brynton Lemar missed Three Point Jumper.,26,31
18:58,2634,Tahjere McCall Defensive Rebound.,26,31
18:51,302,Foul on Brynton Lemar.,26,31
18:39,2634,Tahjere McCall Turnover.,26,31
18:21,302,J.T. Adenrele made Layup. Assisted by Siler Schneider.,28,31
18:21,2634,Foul on Jordan Reed.,28,31
18:21,302,J.T. Adenrele made Free Throw.,29,31
18:11,302,Foul on J.T. Adenrele.,29,31
18:09,2634,Ken'Darrius Hamilton made Free Throw.,29,32
18:09,2634,Ken'Darrius Hamilton made Free Throw.,29,33
17:52,302,Siler Schneider made Three Point Jumper. Assisted by Lawrence White.,32,33
17:30,2634,Tahjere McCall missed Three Point Jumper.,32,33
17:30,302,Darius Graham Defensive Rebound.,32,33
17:22,302,Darius Graham Turnover.,32,33
17:21,2634,Tahjere McCall Steal.,32,33
17:18,302,Foul on Lawrence White.,32,33
17:18,2634,Tahjere McCall made Free Throw.,32,34
17:18,2634,Tahjere McCall made Free Throw.,32,35
16:59,302,Siler Schneider made Three Point Jumper. Assisted by Darius Graham.,35,35
16:32,2634,Christian Mekowulu missed Jumper.,35,35
16:32,2634,Christian Mekowulu Offensive Rebound.,35,35
16:29,2634,Christian Mekowulu made Layup.,35,37
16:11,302,Siler Schneider Turnover.,35,37
16:10,2634,Tahjere McCall Steal.,35,37
16:10,302,Foul on Siler Schneider.,35,37
15:56,2634,Delano Spencer missed Three Point Jumper.,35,37
15:56,302,Chima Moneke Defensive Rebound.,35,37
15:40,302,Mikey Henn Turnover.,35,37
15:40,302,Foul on Mikey Henn.,35,37
15:40,2634,Official TV Timeout,35,37
15:28,2634,Delano Spencer missed Three Point Jumper.,35,37
15:28,2634,Christian Mekowulu Offensive Rebound.,35,37
15:18,302,Foul on Siler Schneider.,35,37
15:18,2634,Wayne Martin missed Free Throw.,35,37
15:18,302,Chima Moneke Defensive Rebound.,35,37
15:15,2634,Foul on Christian Mekowulu.,35,37
15:15,302,Chima Moneke missed Free Throw.,35,37
15:15,302,UC Davis Deadball Team Rebound.,35,37
15:15,302,Chima Moneke made Free Throw.,36,37
14:44,2634,Foul on Christian Mekowulu.,36,37
14:44,2634,Wayne Martin missed Three Point Jumper.,36,37
14:44,302,Chima Moneke Defensive Rebound.,36,37
14:41,2634,Technical Foul on Christian Mekowulu.,36,37
14:41,2634,Foul on Christian Mekowulu.,36,37
14:41,302,Siler Schneider made Free Throw.,37,37
14:41,302,Siler Schneider missed Free Throw.,37,37
14:41,302,UC Davis Deadball Team Rebound.,37,37
14:25,302,Brynton Lemar made Jumper. Assisted by Siler Schneider.,39,37
14:05,2634,Delano Spencer missed Three Point Jumper.,39,37
14:05,2634,Tahjere McCall Offensive Rebound.,39,37
14:01,302,Foul on Darius Graham.,39,37
14:01,2634,Tahjere McCall made Free Throw.,39,38
14:01,2634,Tahjere McCall made Free Throw.,39,39
13:47,302,Darius Graham Turnover.,39,39
13:35,2634,Wayne Martin missed Layup.,39,39
13:35,2634,Ken'Darrius Hamilton Offensive Rebound.,39,39
13:31,2634,Ken'Darrius Hamilton missed Jumper.,39,39
13:29,302,Chima Moneke Offensive Rebound.,39,39
13:29,302,Foul on Mikey Henn.,39,39
13:29,2634,Wayne Martin missed Free Throw.,39,39
13:29,302,Chima Moneke Defensive Rebound.,39,39
13:18,302,Brynton Lemar made Layup.,41,39
13:08,2634,Darreon Reddick missed Three Point Jumper.,41,39
13:08,2634,Wayne Martin Offensive Rebound.,41,39
13:04,2634,Wayne Martin made Layup.,41,41
12:44,302,Siler Schneider made Three Point Jumper. Assisted by Chima Moneke.,44,41
12:15,2634,Ken'Darrius Hamilton missed Layup.,44,41
12:15,2634,Ken'Darrius Hamilton Offensive Rebound.,44,41
12:15,302,Foul on Garrison Goode.,44,41
12:15,2634,Ken'Darrius Hamilton missed Free Throw.,44,41
12:15,2634,Tennessee St Deadball Team Rebound.,44,41
12:15,2634,Ken'Darrius Hamilton made Free Throw.,44,42
12:06,302,Siler Schneider missed Three Point Jumper.,44,42
12:06,2634,Wayne Martin Defensive Rebound.,44,42
11:49,2634,Ken'Darrius Hamilton made Layup. Assisted by Tahjere McCall.,44,44
11:27,302,Chima Moneke missed Layup.,44,44
11:27,2634,Wayne Martin Defensive Rebound.,44,44
11:11,302,Siler Schneider Steal.,44,44
11:02,2634,Tahjere McCall missed Layup.,44,44
11:02,302,J.T. Adenrele Defensive Rebound.,44,44
10:44,302,Siler Schneider missed Jumper.,44,44
10:44,2634,Wayne Martin Defensive Rebound.,44,44
10:34,2634,Jordan Reed missed Layup.,44,44
10:34,302,J.T. Adenrele Defensive Rebound.,44,44
10:22,302,Siler Schneider missed Three Point Jumper.,44,44
10:22,2634,Tahjere McCall Defensive Rebound.,44,44
10:12,2634,Tahjere McCall Turnover.,44,44
9:54,302,Lawrence White missed Three Point Jumper.,44,44
9:54,2634,Ken'Darrius Hamilton Defensive Rebound.,44,44
9:29,2634,Tahjere McCall missed Layup.,44,44
9:29,2634,Jordan Reed Offensive Rebound.,44,44
9:25,2634,Wayne Martin missed Dunk.,44,44
9:25,302,Lawrence White Defensive Rebound.,44,44
9:21,2634,Foul on Wayne Martin.,44,44
9:21,302,Lawrence White made Free Throw.,45,44
9:21,302,Lawrence White missed Free Throw.,45,44
9:21,2634,Wayne Martin Defensive Rebound.,45,44
9:01,2634,Jordan Reed missed Three Point Jumper.,45,44
9:01,302,Darius Graham Defensive Rebound.,45,44
8:54,302,Darius Graham Turnover.,45,44
8:40,2634,Wayne Martin made Free Throw.,45,46
8:40,2634,Wayne Martin made Free Throw.,45,45
8:40,2634,Wayne Martin missed Jumper.,45,45
8:40,2634,Wayne Martin Offensive Rebound.,45,46
8:39,302,Foul on Garrison Goode.,45,46
8:30,302,J.T. Adenrele missed Jumper.,45,46
8:30,302,Chima Moneke Offensive Rebound.,45,46
8:24,302,Chima Moneke made Two Point Tip Shot.,47,46
8:08,2634,Delano Spencer made Three Point Jumper. Assisted by Tahjere McCall.,47,49
7:49,302,Chima Moneke Turnover.,47,49
7:47,2634,Delano Spencer Steal.,47,49
7:41,2634,Delano Spencer missed Jumper.,47,49
7:41,302,Brynton Lemar Defensive Rebound.,47,49
7:35,302,Brynton Lemar made Layup.,49,49
7:10,302,Foul on J.T. Adenrele.,49,49
7:10,2634,Official TV Timeout,49,49
7:10,2634,Ken'Darrius Hamilton made Free Throw.,49,50
7:10,2634,Ken'Darrius Hamilton missed Free Throw.,49,50
7:10,302,Chima Moneke Defensive Rebound.,49,50
6:59,2634,Foul on Samson Oyediran.,49,50
6:59,302,Chima Moneke missed Free Throw.,49,50
6:59,302,UC Davis Deadball Team Rebound.,49,50
6:59,302,Chima Moneke made Free Throw.,50,50
6:36,302,Foul on Darius Graham.,50,50
6:36,2634,Tahjere McCall made Free Throw.,50,51
6:36,2634,Tahjere McCall made Free Throw.,50,52
6:28,302,Siler Schneider Turnover.,50,52
6:28,2634,Tahjere McCall Steal.,50,52
6:28,302,Foul on Siler Schneider.,50,52
6:28,2634,Tahjere McCall missed Free Throw.,50,52
6:28,2634,Tennessee St Deadball Team Rebound.,50,52
6:28,2634,Tahjere McCall made Free Throw.,50,53
6:28,302,Brynton Lemar missed Three Point Jumper.,50,53
6:28,2634,Tahjere McCall Defensive Rebound.,50,53
5:51,2634,Tahjere McCall Turnover.,50,53
5:42,302,Garrison Goode missed Free Throw.,50,53
5:42,2634,Foul on Tahjere McCall.,50,53
5:42,2634,Ken'Darrius Hamilton Defensive Rebound.,50,53
5:42,302,Siler Schneider missed Free Throw.,50,53
5:42,302,Garrison Goode Offensive Rebound.,50,53
5:42,2634,Foul on Wayne Martin.,50,53
5:25,302,Garrison Goode made Free Throw.,51,53
5:24,2634,Tahjere McCall missed Jumper.,51,53
5:24,2634,Delano Spencer Offensive Rebound.,51,53
5:20,2634,Delano Spencer made Layup.,51,55
5:03,302,Brynton Lemar made Three Point Jumper. Assisted by Lawrence White.,54,55
4:53,302,Foul on Lawrence White.,54,55
4:53,2634,Tahjere McCall made Free Throw.,54,56
4:53,2634,Tahjere McCall missed Free Throw.,54,56
4:53,302,Lawrence White Defensive Rebound.,54,56
4:30,302,Lawrence White made Three Point Jumper. Assisted by Brynton Lemar.,57,56
4:05,2634,Tahjere McCall made Three Point Jumper. Assisted by Darreon Reddick.,57,59
4:00,2634,Tennessee St  Timeout,57,59
4:00,302,UC Davis  Timeout,57,59
3:48,302,Brynton Lemar Turnover.,57,59
3:46,2634,Tahjere McCall Steal.,57,59
3:39,2634,Wayne Martin made Layup.,57,61
3:17,302,Brynton Lemar missed Three Point Jumper.,57,61
3:17,302,Chima Moneke Offensive Rebound.,57,61
3:14,2634,Foul on Samson Oyediran.,57,61
3:14,302,Garrison Goode missed Free Throw.,57,61
3:14,302,UC Davis Deadball Team Rebound.,57,61
3:14,302,Garrison Goode made Free Throw.,58,61
2:56,2634,Darreon Reddick made Jumper. Assisted by Tahjere McCall.,58,63
2:41,302,Lawrence White missed Three Point Jumper.,58,63
2:41,2634,Wayne Martin Defensive Rebound.,58,63
2:21,2634,Samson Oyediran made Three Point Jumper. Assisted by Tahjere McCall.,58,66
2:10,302,Siler Schneider missed Three Point Jumper.,58,66
2:10,2634,Samson Oyediran Defensive Rebound.,58,66
1:44,2634,Wayne Martin made Jumper. Assisted by Samson Oyediran.,58,68
1:41,302,UC Davis  Timeout,58,68
1:38,2634,Foul on Tahjere McCall.,58,68
1:37,302,Siler Schneider made Free Throw.,59,68
1:37,302,Siler Schneider made Free Throw.,60,68
1:36,302,Foul on Darius Graham.,60,68
1:35,2634,Tahjere McCall missed Free Throw.,60,68
1:35,2634,Tennessee St Deadball Team Rebound.,60,68
1:35,2634,Tahjere McCall made Free Throw.,60,69
1:32,302,Darius Graham missed Three Point Jumper.,60,69
1:32,2634,Wayne Martin Defensive Rebound.,60,69
1:28,302,Foul on Lawrence White.,60,69
1:28,2634,Wayne Martin made Free Throw.,60,70
1:28,2634,Wayne Martin made Free Throw.,60,71
1:24,302,Siler Schneider made Layup.,62,71
1:22,302,UC Davis  Timeout,62,71
1:19,2634,Tennessee St  Timeout,62,71
1:14,302,Foul on Lawrence White.,62,71
1:14,2634,Darreon Reddick missed Free Throw.,62,71
1:14,2634,Tennessee St Deadball Team Rebound.,62,71
1:14,2634,Darreon Reddick missed Free Throw.,62,71
1:14,302,Siler Schneider Defensive Rebound.,62,71
1:12,302,Siler Schneider Turnover.,62,71
1:12,2634,Tahjere McCall Steal.,62,71
1:12,302,Foul on Siler Schneider.,62,71
1:08,2634,Tahjere McCall made Free Throw.,62,72
1:08,2634,Tahjere McCall made Free Throw.,62,73
1:08,2634,Foul on Samson Oyediran.,62,73
1:08,302,Brynton Lemar made Free Throw.,63,73
1:08,302,Brynton Lemar made Free Throw.,64,73
1:06,302,Foul on Michael Onyebalu.,64,73
1:06,2634,Ken'Darrius Hamilton made Free Throw.,64,74
1:06,302,Joe Mooney Defensive Rebound.,64,74
1:02,302,Joe Mooney missed Three Point Jumper.,64,74
1:02,2634,Jordan Reed Defensive Rebound.,64,74
0:56,302,Foul on Brynton Lemar.,64,74
0:56,2634,Jordan Reed made Free Throw.,64,75
0:56,2634,Jordan Reed missed Free Throw.,64,75
0:56,302,Joe Mooney Defensive Rebound.,64,75
0:51,302,Siler Schneider missed Jumper.,64,75
0:51,2634,Wayne Martin Defensive Rebound.,64,75
0:21,2634,Tahjere McCall made Three Point Jumper. Assisted by Wayne Martin.,64,78
0:13,302,Siler Schneider missed Layup.,64,78
0:13,2634,Wayne Martin Defensive Rebound.,64,78
0:00,2634,End of Game,64,78
