Howard,130,Michigan,47
12:27,47,Solomon Mangham made Three Point Jumper. Assisted by James Miller.,36,41
12:00,130,D.J. Wilson Turnover.,36,41
11:56,47,James Miller missed Jumper.,36,41
11:54,47,Solomon Mangham Offensive Rebound.,36,41
11:54,130,Official TV Timeout,36,41
11:54,130,Foul on Mark Donnal.,36,41
11:54,47,Howard Deadball Team Rebound.,36,41
11:54,47,Solomon Mangham missed Free Throw.,36,41
11:54,47,Solomon Mangham missed Free Throw.,36,41
11:54,130,D.J. Wilson Defensive Rebound.,36,41
11:30,130,Zak Irvin made Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,36,43
11:30,47,Foul on Marcel Boyd.,36,43
11:30,130,Zak Irvin missed Free Throw.,36,43
11:27,47,Marcel Boyd Defensive Rebound.,36,43
11:14,47,Marcel Boyd made Jumper. Assisted by James Miller.,38,43
10:55,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,38,43
10:52,130,D.J. Wilson Offensive Rebound.,38,43
10:52,130,D.J. Wilson made Jumper.,38,45
10:52,47,Foul on Marcel Boyd.,38,45
10:52,130,D.J. Wilson made Free Throw.,38,46
10:39,47,Solomon Mangham missed Jumper.,38,46
10:38,130,Moritz Wagner Defensive Rebound.,38,46
10:38,47,Foul on Michael Obindu.,38,46
10:38,130,Moritz Wagner missed Free Throw.,38,46
10:33,130,Zak Irvin Offensive Rebound.,38,46
10:23,130,Zak Irvin made Three Point Jumper. Assisted by D.J. Wilson.,38,49
10:16,130,Official TV Timeout,38,49
10:01,47,Dalique Mingo missed Jumper.,38,49
9:59,47,Marcel Boyd Offensive Rebound.,38,49
9:58,47,Marcel Boyd missed Jumper.,38,49
9:58,130,Moritz Wagner Block.,38,49
9:58,130,Moritz Wagner Defensive Rebound.,38,49
9:58,47,Foul on Dalique Mingo.,38,49
9:58,130,Moritz Wagner made Free Throw.,38,50
9:58,130,Moritz Wagner made Free Throw.,38,51
9:47,130,Foul on Muhammad-Ali Abdur-Rahkman.,38,51
9:47,47,Dalique Mingo made Free Throw.,39,51
9:47,47,Dalique Mingo made Free Throw.,40,51
9:20,130,Zak Irvin missed Three Point Jumper.,40,51
9:17,130,D.J. Wilson made Free Throw.,40,52
9:17,130,D.J. Wilson Offensive Rebound.,40,51
9:17,47,Foul on Damon Collins.,40,51
9:17,130,D.J. Wilson made Free Throw.,40,53
8:53,47,Dalique Mingo Turnover.,40,53
8:53,130,Derrick Walton Jr. Steal.,40,53
8:28,47,Foul on Jalen Jones.,40,53
8:28,130,Zak Irvin made Free Throw.,40,54
8:28,130,Zak Irvin made Free Throw.,40,55
8:02,47,Ausar Madison Turnover.,40,55
8:02,130,Moritz Wagner Steal.,40,55
7:58,130,Derrick Walton Jr. Turnover.,40,55
7:58,47,Ausar Madison Steal.,40,55
7:43,47,Charles Williams made Jumper.,42,55
7:22,130,Mark Donnal made Layup. Assisted by D.J. Wilson.,42,57
7:07,130,Official TV Timeout,42,57
7:07,130,Foul on D.J. Wilson.,42,57
7:07,47,Howard Deadball Team Rebound.,42,57
7:07,47,Damon Collins missed Free Throw.,42,57
7:07,47,Damon Collins missed Free Throw.,42,57
7:07,130,D.J. Wilson Defensive Rebound.,42,57
6:46,130,D.J. Wilson made Dunk. Assisted by Zak Irvin.,42,59
6:28,47,Marcel Boyd made Jumper. Assisted by Solomon Mangham.,44,59
6:11,130,Derrick Walton Jr. made Three Point Jumper. Assisted by Zak Irvin.,44,62
5:48,47,Marcel Boyd Turnover.,44,62
5:48,130,Derrick Walton Jr. Steal.,44,62
5:42,130,Derrick Walton Jr. Turnover.,44,62
5:38,47,Damon Collins made Jumper.,46,62
5:16,130,Zak Irvin missed Three Point Jumper.,46,62
5:13,47,Dalique Mingo Defensive Rebound.,46,62
5:02,47,Damon Collins missed Jumper.,46,62
4:58,130,D.J. Wilson Defensive Rebound.,46,62
4:43,130,Derrick Walton Jr. made Three Point Jumper. Assisted by Zak Irvin.,46,65
4:15,47,Marcel Boyd Turnover.,46,65
4:15,130,Mark Donnal Steal.,46,65
4:11,130,Zak Irvin missed Jumper.,46,65
4:11,47,Damon Collins made Free Throw.,48,65
4:11,47,Damon Collins Defensive Rebound.,46,65
4:11,130,Foul on Mark Donnal.,46,65
4:11,47,Damon Collins made Free Throw.,47,65
3:45,130,D.J. Wilson Turnover.,48,65
3:45,130,Official TV Timeout,48,65
3:35,47,Marcel Boyd missed Jumper.,48,65
3:35,130,Mark Donnal Defensive Rebound.,48,65
3:35,47,Foul on Marcel Boyd.,48,65
3:35,130,Michigan Deadball Team Rebound.,48,65
3:35,130,Mark Donnal missed Free Throw.,48,65
3:35,130,Mark Donnal made Free Throw.,48,66
3:18,47,Dalique Mingo made Jumper.,50,66
2:56,47,Foul on Michael Obindu.,50,66
2:56,130,Moritz Wagner made Free Throw.,50,67
2:56,130,Moritz Wagner made Free Throw.,50,68
2:45,47,Charles Williams missed Jumper.,50,68
2:40,47,Solomon Mangham Offensive Rebound.,50,68
2:39,47,Solomon Mangham made Jumper.,52,68
2:23,130,Duncan Robinson missed Jumper.,52,68
2:23,130,Mark Donnal Offensive Rebound.,52,68
2:23,47,Foul on Michael Obindu.,52,68
2:23,130,Mark Donnal made Free Throw.,52,69
2:23,130,Mark Donnal made Free Throw.,52,70
2:06,47,Solomon Mangham Turnover.,52,70
2:06,130,Moritz Wagner Steal.,52,70
1:47,47,Foul on Michael Obindu.,52,70
1:47,130,Moritz Wagner made Free Throw.,52,71
1:47,130,Moritz Wagner made Free Throw.,52,72
1:32,47,Charles Williams made Three Point Jumper. Assisted by Solomon Mangham.,55,72
0:54,130,Xavier Simpson made Jumper. Assisted by Ibi Watson.,55,74
0:49,47,Foul on Michael Obindu.,55,74
0:49,47,Michael Obindu Turnover.,55,74
0:32,130,Ibi Watson made Jumper.,55,76
0:16,47,Charles Williams missed Jumper.,55,76
0:14,47,Howard Offensive Rebound.,55,76
0:09,47,Charles Williams made Jumper.,57,76
0:09,130,Foul on Jon Teske.,57,76
0:09,47,Charles Williams made Free Throw.,58,76
0:00,130,End of Game,58,76
