Cairn University,Error,Liberty,2335
14:19,-1,Brennan Addley missed Three Point Jumper.,36,54
14:19,-1,Seil Park Offensive Rebound.,36,54
14:15,-1,Seil Park missed Two Point Tip Shot.,36,54
14:15,2335,Ezra Talbert Defensive Rebound.,36,54
14:08,2335,Caleb Homesley missed Three Point Jumper.,36,54
14:08,-1,Cairn University Defensive Rebound.,36,54
13:46,-1,Zachary Jackson missed Three Point Jumper.,36,54
13:46,2335,Ezra Talbert Defensive Rebound.,36,54
13:24,2335,Caleb Homesley missed Three Point Jumper.,36,54
13:24,2335,Ezra Talbert Offensive Rebound.,36,54
13:20,-1,Foul on Zachary Jackson.,36,54
13:20,2335,Ezra Talbert made Free Throw.,36,55
13:20,2335,Ezra Talbert missed Free Throw.,36,55
13:20,-1,Chris Uhrich Defensive Rebound.,36,55
13:11,-1,Gerroid Doughty II missed Layup.,36,55
13:11,2335,Brock Gardner Defensive Rebound.,36,55
12:57,2335,Foul on Ezra Talbert.,36,55
12:57,2335,Ezra Talbert Turnover.,36,55
12:49,-1,Gerroid Doughty II Turnover.,36,55
12:32,2335,Myo Baxter-Bell made Layup. Assisted by Brock Gardner.,36,57
12:18,-1,Jeremiah Harris made Jumper.,38,57
11:59,2335,Brock Gardner Turnover.,38,57
11:59,-1,Foul on Chris Uhrich.,38,57
11:59,2335,Official TV Timeout,38,57
11:59,2335,Foul on Brock Gardner.,38,57
11:42,-1,Gerroid Doughty II Turnover.,38,57
11:39,2335,John Dawson Steal.,38,57
11:38,2335,Foul on John Dawson.,38,57
11:38,2335,John Dawson Turnover.,38,57
11:11,-1,Zachary Dolton missed Three Point Jumper.,38,57
11:11,2335,A.C. Reid Defensive Rebound.,38,57
10:47,2335,Myo Baxter-Bell missed Jumper.,38,57
10:47,-1,Gerroid Doughty II Defensive Rebound.,38,57
10:29,-1,Julian Collazo made Layup.,40,57
10:12,2335,A.C. Reid missed Three Point Jumper.,40,57
10:12,-1,Brennan Addley Defensive Rebound.,40,57
9:58,2335,Foul on A.C. Reid.,40,57
9:58,-1,Julian Collazo missed Free Throw.,40,57
9:58,-1,Cairn University Deadball Team Rebound.,40,57
9:58,-1,Julian Collazo made Free Throw.,41,57
9:41,2335,A.C. Reid made Three Point Jumper. Assisted by Brock Gardner.,41,60
9:28,-1,Foul on Julian Collazo.,41,60
9:28,-1,Julian Collazo Turnover.,41,60
9:14,2335,Lovell Cabbil made Layup.,41,62
8:58,-1,Julian Collazo missed Three Point Jumper.,41,62
8:58,2335,A.C. Reid Defensive Rebound.,41,62
8:49,2335,Brock Gardner made Layup. Assisted by Lovell Cabbil.,41,64
8:37,-1,Julian Collazo Turnover.,41,64
8:36,2335,Lovell Cabbil Steal.,41,64
8:36,-1,Foul on JD Zamroz.,41,64
8:22,2335,A.C. Reid made Three Point Jumper. Assisted by Caleb Homesley.,41,67
8:05,2335,Foul on A.C. Reid.,41,67
8:05,-1,Zachary Dolton made Free Throw.,42,67
8:05,-1,Zachary Dolton missed Free Throw.,42,67
8:05,-1,Zachary Dolton Offensive Rebound.,42,67
8:00,-1,Zachary Dolton made Two Point Tip Shot.,44,67
7:50,2335,Josiah Talbert made Dunk. Assisted by Lovell Cabbil.,44,69
7:29,2335,Foul on Josiah Talbert.,44,69
7:29,2335,Official TV Timeout,44,69
7:29,-1,Chris Uhrich missed Free Throw.,44,69
7:29,-1,Cairn University Deadball Team Rebound.,44,69
7:29,-1,Chris Uhrich missed Free Throw.,44,69
7:29,2335,Caleb Homesley Defensive Rebound.,44,69
7:19,-1,Foul on Zachary Dolton.,44,69
7:19,2335,Josiah Talbert missed Free Throw.,44,69
7:19,2335,Liberty Deadball Team Rebound.,44,69
7:19,2335,Josiah Talbert missed Free Throw.,44,69
7:19,-1,Gerroid Doughty II Defensive Rebound.,44,69
7:02,-1,JD Zamroz missed Jumper.,44,69
7:02,2335,Josiah Talbert Block.,44,69
7:02,2335,Liberty Defensive Rebound.,44,69
6:45,2335,Foul on Josiah Talbert.,44,69
6:45,2335,Josiah Talbert Turnover.,44,69
6:45,-1,Seil Park missed Free Throw.,44,69
6:45,2335,Josiah Talbert Defensive Rebound.,44,69
6:27,2335,Georgie Pacheco-Ortiz Turnover.,44,69
6:26,-1,Seil Park Steal.,44,69
6:21,-1,Zachary Dolton missed Three Point Jumper.,44,69
6:21,2335,Ray Chen Defensive Rebound.,44,69
6:10,-1,Foul on Julian Collazo.,44,69
6:10,2335,Ray Chen made Free Throw.,44,70
6:10,2335,Ray Chen made Free Throw.,44,71
5:57,-1,Gerroid Doughty II missed Three Point Jumper.,44,71
5:57,-1,Jeremiah Harris Offensive Rebound.,44,71
5:47,2335,Foul on Lovell Cabbil.,44,71
5:47,-1,Jeremiah Harris made Free Throw.,45,71
5:47,-1,Jeremiah Harris made Free Throw.,46,71
5:31,2335,Georgie Pacheco-Ortiz missed Three Point Jumper.,46,71
5:31,2335,Caleb Homesley Offensive Rebound.,46,71
5:24,2335,Josiah Talbert made Dunk. Assisted by Caleb Homesley.,46,73
5:10,-1,Julian Collazo made Layup.,48,73
4:50,2335,Caleb Homesley missed Layup.,48,73
4:50,2335,Caleb Homesley Offensive Rebound.,48,73
4:46,2335,Caleb Homesley made Two Point Tip Shot.,48,75
4:35,-1,Zachary Dolton made Three Point Jumper. Assisted by Julian Collazo.,51,75
4:02,2335,Caleb Homesley Turnover.,51,75
3:52,-1,Zachary Dolton Turnover.,51,75
3:51,2335,Brock Gardner Steal.,51,75
3:33,2335,A.C. Reid missed Three Point Jumper.,51,75
3:33,2335,Josiah Talbert Offensive Rebound.,51,75
3:15,2335,A.C. Reid missed Three Point Jumper.,51,75
3:15,-1,Brennan Addley Defensive Rebound.,51,75
3:03,-1,Julian Collazo made Layup.,53,75
2:43,-1,Foul on Julian Collazo.,53,75
2:43,2335,Official TV Timeout,53,75
2:43,2335,Ray Chen made Free Throw.,53,76
2:43,2335,Ray Chen made Free Throw.,53,77
2:35,-1,Foul on Julian Collazo.,53,77
2:35,-1,Julian Collazo Turnover.,53,77
2:20,2335,Brock Gardner made Layup.,53,79
2:09,-1,Brennan Addley missed Layup.,53,79
2:09,2335,Brock Gardner Defensive Rebound.,53,79
1:51,2335,Brock Gardner missed Three Point Jumper.,53,79
1:51,-1,Zachary Jackson Defensive Rebound.,53,79
1:34,-1,Brennan Addley missed Three Point Jumper.,53,79
1:34,2335,Zach Farquhar Defensive Rebound.,53,79
1:11,2335,Ray Chen Turnover.,53,79
0:47,-1,Zachary Dolton missed Three Point Jumper.,53,79
0:47,2335,Josiah Talbert Defensive Rebound.,53,79
0:25,-1,Foul on JD Zamroz.,53,79
0:25,2335,Ray Chen made Free Throw.,53,80
0:25,2335,Ray Chen made Free Throw.,53,81
0:09,-1,Brennan Addley Turnover.,53,81
0:07,2335,Zach Farquhar Steal.,53,81
0:00,2335,End of Game,53,81
