Western State,Error,Wyoming,2751
15:04,-1,Collin Smith Defensive Rebound.,7,10
14:51,-1,Collin Smith Turnover.,7,10
14:51,2751,Alexander Aka Gorski Steal.,7,10
14:47,2751,Jason McManamen made Layup. Assisted by Alexander Aka Gorski.,7,12
14:17,-1,Branden Cosby-Lee missed Jumper.,7,12
14:17,2751,Jordan Naughton Defensive Rebound.,7,12
13:51,2751,Jeremy Lieberman Turnover.,7,12
13:50,-1,Branden Cosby-Lee Steal.,7,12
13:42,-1,Monroe Porter missed Jumper.,7,12
13:42,2751,Jordan Naughton Defensive Rebound.,7,12
13:29,2751,Jeremy Lieberman missed Three Point Jumper.,7,12
13:29,-1,Western State College Colorado Defensive Rebound.,7,12
13:26,2751,Foul on Alan Herndon.,7,12
13:24,2751,Foul on Jason McManamen.,7,12
13:22,-1,Patrick Sniff missed Three Point Jumper.,7,12
13:22,2751,Cody Kelley Defensive Rebound.,7,12
13:02,2751,Hayden Dalton missed Jumper.,7,12
13:02,-1,Patrick Sniff Defensive Rebound.,7,12
12:47,-1,Collin Smith missed Three Point Jumper.,7,12
12:47,2751,Cody Kelley Defensive Rebound.,7,12
12:34,2751,Cody Kelley made Three Point Jumper. Assisted by Alexander Aka Gorski.,7,15
12:12,2751,Official TV Timeout,7,15
12:11,-1,Patrick Sniff missed Three Point Jumper.,7,15
12:11,2751,Louis Adams Defensive Rebound.,7,15
11:55,2751,Cody Kelley missed Three Point Jumper.,7,15
11:42,2751,Alan Herndon made Three Point Jumper. Assisted by Cody Kelley.,7,18
11:35,2751,Foul on Justin James.,7,18
11:30,-1,Foul on Patrick Sniff.,7,18
11:29,-1,Patrick Sniff missed Jumper.,7,18
11:29,2751,Hayden Dalton Block.,7,18
11:28,-1,Ben Beauchamp Offensive Rebound.,7,18
11:25,2751,Foul on Louis Adams.,7,18
11:25,-1,Will Duggan Turnover.,7,18
11:19,2751,Alan Herndon Turnover.,7,18
11:01,-1,Will Duggan missed Three Point Jumper.,7,18
11:01,2751,Justin James Defensive Rebound.,7,18
10:57,-1,Foul on Ray Beresford.,7,18
10:32,2751,Hayden Dalton missed Three Point Jumper.,7,18
10:32,2751,Wyoming Offensive Rebound.,7,18
10:22,2751,Justin James Turnover.,7,18
10:20,-1,Ray Beresford Steal.,7,18
10:17,-1,Ray Beresford missed Layup.,7,18
10:17,2751,Hayden Dalton Block.,7,18
10:16,-1,Collin Smith Offensive Rebound.,7,18
10:13,-1,Collin Smith made Layup.,9,18
8:23,2751,Official TV Timeout,9,18
8:23,-1,Brady Subart made Jumper.,11,18
8:22,2751,Louis Adams made Dunk. Assisted by Jeremy Lieberman.,11,20
8:22,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Jeremy Lieberman.,11,23
8:10,-1,Branden Cosby-Lee missed Jumper.,11,23
8:10,2751,Jordan Naughton Block.,11,23
8:08,2751,Jordan Naughton Defensive Rebound.,11,23
8:00,-1,Foul on Branden Cosby-Lee.,11,23
7:57,2751,Louis Adams missed Three Point Jumper.,11,23
7:57,2751,Wyoming Offensive Rebound.,11,23
7:55,-1,Foul on Branden Cosby-Lee.,11,23
7:55,2751,Jordan Naughton missed Free Throw.,11,23
7:55,-1,Collin Smith Defensive Rebound.,11,23
7:47,-1,Ben Beauchamp made Three Point Jumper. Assisted by Brady Subart.,14,23
7:20,2751,Louis Adams missed Three Point Jumper.,14,23
7:20,-1,Patrick Sniff Defensive Rebound.,14,23
7:09,-1,Brady Subart made Three Point Jumper. Assisted by Will Duggan.,17,23
6:47,2751,Jason McManamen made Three Point Jumper. Assisted by Louis Adams.,17,26
6:26,-1,Will Duggan Turnover.,17,26
5:32,2751,Jason McManamen made Three Point Jumper. Assisted by Alexander Aka Gorski.,17,29
5:15,-1,Patrick Sniff made Jumper.,19,29
4:56,2751,Alexander Aka Gorski missed Three Point Jumper.,19,29
4:56,2751,Jordan Naughton Offensive Rebound.,19,29
4:52,2751,Jordan Naughton made Layup.,19,31
4:33,2751,Foul on Alexander Aka Gorski.,19,31
4:29,2751,Foul on Jason McManamen.,19,31
4:29,-1,Monroe Porter missed Free Throw.,19,31
4:29,2751,Alan Herndon Defensive Rebound.,19,31
4:10,2751,Justin James missed Jumper.,19,31
4:10,2751,Jordan Naughton Offensive Rebound.,19,31
4:05,-1,Foul on Collin Smith.,19,31
4:05,2751,Jordan Naughton made Free Throw.,19,32
4:05,2751,Jordan Naughton made Free Throw.,19,33
3:46,-1,Patrick Sniff missed Jumper.,19,33
3:46,2751,Jordan Naughton Defensive Rebound.,19,33
3:35,2751,Jeremy Lieberman missed Three Point Jumper.,19,33
3:35,-1,Monroe Porter Defensive Rebound.,19,33
3:25,-1,James Willis missed Three Point Jumper.,19,33
3:25,2751,Jordan Naughton Defensive Rebound.,19,33
3:02,2751,Justin James missed Layup.,19,33
3:02,2751,Jordan Naughton Offensive Rebound.,19,33
2:59,2751,Jordan Naughton made Layup.,19,35
2:40,-1,Patrick Sniff missed Jumper.,19,35
2:40,2751,Jordan Naughton Defensive Rebound.,19,35
2:24,2751,Alan Herndon missed Three Point Jumper.,19,35
2:24,-1,James Willis Defensive Rebound.,19,35
2:14,-1,Western State College Colorado  Timeout,19,35
2:11,-1,Will Duggan Turnover.,19,35
2:10,2751,Jeremy Lieberman Steal.,19,35
2:08,2751,Jeremy Lieberman made Layup.,19,37
2:08,-1,Foul on Will Duggan.,19,37
2:08,2751,Jeremy Lieberman made Free Throw.,19,38
2:03,2751,Foul on Jeremy Lieberman.,19,38
2:03,-1,Will Duggan made Free Throw.,20,38
2:03,-1,Will Duggan made Free Throw.,21,38
1:51,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Hayden Dalton.,21,41
1:31,-1,Collin Smith made Layup.,23,41
1:17,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Justin James.,23,44
0:54,-1,Collin Smith missed Jumper.,23,44
0:54,2751,Hayden Dalton Block.,23,44
0:52,2751,Alan Herndon Defensive Rebound.,23,44
0:39,2751,Hayden Dalton made Jumper.,23,46
0:26,2751,Foul on Justin James.,23,46
0:26,-1,Ben Beauchamp missed Free Throw.,23,46
0:26,2751,Alan Herndon Defensive Rebound.,23,46
0:06,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Louis Adams.,23,49
0:00,-1,Brady Subart Defensive Rebound.,23,49
0:00,2751,End of 1st half,23,49
19:52,-1,Ben Beauchamp missed Jumper.,23,49
19:52,-1,Ray Beresford Offensive Rebound.,23,49
19:35,-1,Will Duggan made Three Point Jumper. Assisted by Ray Beresford.,26,49
19:08,-1,Foul on Patrick Sniff.,26,49
19:08,2751,Alan Herndon missed Free Throw.,26,49
19:08,2751,Wyoming Deadball Team Rebound.,26,49
19:08,2751,Alan Herndon made Free Throw.,26,50
18:52,2751,Foul on Jeremy Lieberman.,26,50
18:50,-1,Will Duggan missed Three Point Jumper.,26,50
18:50,2751,Alan Herndon Defensive Rebound.,26,50
18:25,2751,Jordan Naughton made Layup. Assisted by Jason McManamen.,26,52
18:11,-1,Ray Beresford missed Three Point Jumper.,26,52
18:11,2751,Jason McManamen Defensive Rebound.,26,52
17:55,2751,Alexander Aka Gorski made Jumper.,26,54
17:55,-1,Foul on Branden Cosby-Lee.,26,54
17:55,2751,Alexander Aka Gorski made Free Throw.,26,55
17:55,-1,Patrick Sniff made Layup. Assisted by Ray Beresford.,28,55
17:52,2751,Jordan Naughton made Dunk. Assisted by Alan Herndon.,28,57
17:22,-1,Collin Smith made Layup. Assisted by Ben Beauchamp.,30,57
17:11,2751,Alan Herndon Turnover.,30,57
17:11,2751,Foul on Alan Herndon.,30,57
16:50,-1,Ben Beauchamp made Jumper.,32,57
16:50,2751,Foul on Jeremy Lieberman.,32,57
16:50,-1,Ben Beauchamp made Free Throw.,33,57
16:35,-1,Foul on Ray Beresford.,33,57
16:35,2751,Andrew Moemeka Turnover.,33,57
16:35,-1,James Willis Steal.,33,57
16:21,-1,Collin Smith Turnover.,33,57
16:17,-1,Foul on Collin Smith.,33,57
16:01,2751,Andrew Moemeka Turnover.,33,57
16:01,2751,Foul on Andrew Moemeka.,33,57
15:31,2751,Foul on Justin James.,33,57
15:31,2751,Official TV Timeout,33,57
15:31,-1,Ray Beresford made Free Throw.,34,57
15:31,-1,Ray Beresford missed Free Throw.,34,57
15:31,-1,Western State College Colorado Deadball Team Rebound.,34,57
15:31,-1,Ray Beresford made Free Throw.,35,57
15:20,2751,Jason McManamen missed Three Point Jumper.,35,57
15:20,-1,Patrick Sniff Defensive Rebound.,35,57
15:03,-1,Collin Smith Turnover.,35,57
15:02,2751,Jeremy Lieberman Steal.,35,57
14:53,-1,Foul on Collin Smith.,35,57
14:53,2751,Justin James missed Free Throw.,35,57
14:53,2751,Wyoming Deadball Team Rebound.,35,57
14:53,2751,Justin James made Free Throw.,35,58
14:28,-1,Ben Beauchamp made Jumper. Assisted by Collin Smith.,37,58
14:11,2751,Hayden Dalton missed Three Point Jumper.,37,58
14:11,-1,Collin Smith Defensive Rebound.,37,58
13:55,-1,Patrick Sniff missed Jumper.,37,58
13:55,2751,Justin James Defensive Rebound.,37,58
13:31,2751,Hayden Dalton made Three Point Jumper. Assisted by Cody Kelley.,37,61
13:13,-1,James Willis missed Three Point Jumper.,37,61
13:13,-1,Collin Smith Offensive Rebound.,37,61
13:07,-1,Collin Smith missed Jumper.,37,61
13:07,2751,Justin James Block.,37,61
13:06,-1,Brady Subart Offensive Rebound.,37,61
12:44,-1,Brady Subart made Three Point Jumper.,40,61
12:39,2751,Justin James missed Three Point Jumper.,40,61
12:39,-1,Ben Beauchamp Defensive Rebound.,40,61
12:33,2751,Jason McManamen missed Three Point Jumper.,40,61
12:33,-1,Western State College Colorado Defensive Rebound.,40,61
12:19,2751,Justin James Turnover.,40,61
12:19,-1,Ben Beauchamp Steal.,40,61
12:09,-1,Ben Beauchamp missed Jumper.,40,61
12:09,2751,Justin James Block.,40,61
12:05,-1,Western State College Colorado Offensive Rebound.,40,61
12:00,-1,Monroe Porter Turnover.,40,61
12:00,2751,Louis Adams Steal.,40,61
12:00,-1,Foul on Ben Beauchamp.,40,61
11:58,2751,Official TV Timeout,40,61
11:43,2751,Louis Adams missed Three Point Jumper.,40,61
11:43,-1,Ben Beauchamp Defensive Rebound.,40,61
11:16,-1,Ben Beauchamp missed Three Point Jumper.,40,61
11:16,2751,Jason McManamen Defensive Rebound.,40,61
11:11,2751,Justin James missed Three Point Jumper.,40,61
11:11,-1,Monroe Porter Defensive Rebound.,40,61
10:44,-1,Monroe Porter missed Three Point Jumper.,40,61
10:44,-1,Collin Smith Offensive Rebound.,40,61
10:32,2751,Foul on Louis Adams.,40,61
10:26,-1,Brady Subart missed Three Point Jumper.,40,61
10:26,2751,Cody Kelley Defensive Rebound.,40,61
10:15,2751,Wyoming  Timeout,40,61
9:59,2751,Justin James Turnover.,40,61
9:44,-1,Brady Subart missed Layup.,40,61
9:44,2751,Jordan Naughton Defensive Rebound.,40,61
9:23,2751,Jordan Naughton made Jumper.,40,63
9:11,-1,Ray Beresford made Jumper.,42,63
8:49,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Alan Herndon.,42,66
8:33,2751,Foul on Jordan Naughton.,42,66
8:33,2751,Jordan Naughton made Dunk.,42,68
8:32,-1,James Willis missed Jumper.,42,68
8:32,2751,Jordan Naughton Defensive Rebound.,42,68
8:16,2751,Jeremy Lieberman made Jumper.,42,70
7:08,-1,Branden Cosby-Lee missed Jumper.,42,70
7:08,-1,Ray Beresford Offensive Rebound.,42,70
7:02,-1,Ray Beresford made Three Point Jumper.,45,70
6:32,2751,Jeremy Lieberman missed Three Point Jumper.,45,70
6:32,-1,Collin Smith Defensive Rebound.,45,70
6:23,2751,Foul on Alan Herndon.,45,70
6:23,-1,Brady Subart made Free Throw.,46,70
6:23,2751,Official TV Timeout,46,70
6:23,2751,Hayden Dalton made Three Point Jumper.,46,73
6:23,-1,Brady Subart missed Jumper.,46,73
6:23,2751,Andrew Moemeka Block.,46,73
6:23,2751,Andrew Moemeka Defensive Rebound.,46,73
6:23,2751,Jason McManamen missed Three Point Jumper.,46,73
6:23,2751,Andrew Moemeka Offensive Rebound.,46,73
6:23,2751,Andrew Moemeka missed Jumper.,46,73
6:23,-1,Branden Cosby-Lee Defensive Rebound.,46,73
6:23,-1,Branden Cosby-Lee Turnover.,46,73
5:10,-1,Foul on Brady Subart.,46,73
5:10,2751,Jonathan Barnes Defensive Rebound.,46,73
5:10,2751,Alexander Aka Gorski made Free Throw.,46,74
4:45,-1,Patrick Sniff Turnover.,46,74
4:44,2751,Jason McManamen Steal.,46,74
4:40,2751,Hayden Dalton missed Jumper.,46,74
4:40,2751,Hayden Dalton Offensive Rebound.,46,74
4:37,2751,Hayden Dalton made Jumper.,46,76
4:25,-1,James Willis missed Three Point Jumper.,46,76
4:25,2751,Wyoming Defensive Rebound.,46,76
4:17,2751,Hayden Dalton missed Three Point Jumper.,46,76
4:17,-1,Brady Subart Defensive Rebound.,46,76
3:45,2751,Foul on Jason McManamen.,46,76
3:45,-1,Ben Beauchamp made Free Throw.,47,76
3:45,-1,Ben Beauchamp missed Free Throw.,47,76
3:45,-1,Western State College Colorado Deadball Team Rebound.,47,76
3:45,-1,Ben Beauchamp missed Free Throw.,47,76
3:45,2751,Louis Adams Defensive Rebound.,47,76
3:39,2751,Jonathan Barnes Turnover.,47,76
3:39,2751,Foul on Jonathan Barnes.,47,76
3:34,-1,Brady Subart Turnover.,47,76
3:34,-1,Foul on Brady Subart.,47,76
3:23,2751,Morris Marshall made Three Point Jumper. Assisted by Sam Averbuck.,47,79
3:00,-1,Branden Cosby-Lee missed Jumper.,47,79
3:00,2751,Jonathan Barnes Block.,47,79
2:57,2751,Justin James Defensive Rebound.,47,79
2:50,2751,Justin James made Jumper.,47,81
2:43,-1,Foul on Monroe Porter.,47,81
2:43,2751,Jonathan Barnes made Free Throw.,47,82
2:43,2751,Jonathan Barnes made Free Throw.,47,83
2:35,-1,Brady Subart made Jumper.,49,83
2:17,2751,Justin James made Three Point Jumper. Assisted by Morris Marshall.,49,86
1:24,-1,James Willis missed Layup.,49,86
1:24,2751,Morris Marshall Block.,49,86
1:22,-1,Collin Smith Offensive Rebound.,49,86
1:17,-1,Collin Smith missed Jumper.,49,86
1:17,2751,Louis Adams Defensive Rebound.,49,86
0:56,2751,Jonathan Barnes missed Jumper.,49,86
0:56,-1,James Willis Defensive Rebound.,49,86
0:37,-1,Zach Madlom missed Jumper.,49,86
0:37,-1,Collin Smith Offensive Rebound.,49,86
0:33,-1,Collin Smith missed Jumper.,49,86
0:33,2751,Louis Adams Defensive Rebound.,49,86
0:27,2751,Alexander Aka Gorski made Free Throw.,49,87
0:27,-1,Foul on Zach Madlom.,49,87
0:27,2751,Louis Adams missed Free Throw.,49,87
0:27,2751,Wyoming Deadball Team Rebound.,49,87
0:27,2751,Louis Adams made Free Throw.,49,88
0:16,-1,James Willis missed Three Point Jumper.,49,88
0:00,2751,End of Game,49,87
